[00000.00-00003.58] 那我们就正式进入到人的历史厂时的一个学习当中来
[01254.22-01258.22] 我們所說的辦第確實的訪問就是這個樣子
[01258.22-01261.72] 就這個樣子,你看上面是中底,然後下面是這樣的
[01261.72-01266.74] 那這麼樣的建築,它的一個特點或者它的一個效果好像有哪
[01266.74-01269.22] 就是我們所說的這種辦第確實的訪問
[01269.22-01272.02] 像個來說,保暖效果會合得好很多
[01272.02-01273.22] 保暖效果好很多
[01273.22-01276.22] 也是我們所說要適應給方的氣候
[01276.22-01278.72] 那這是我們所說的它的一個訪問
[01278.72-01281.22] 到了養小文化的時候,大家注意一下
[01281.22-01282.70] 出现了像的彩桃
[01282.70-01286.06] 也就是不单是单纯的黑头单一的这种颜色
[01286.06-01288.58] 出现了像的彩桃文化
[01288.58-01289.26] 彩桃文化
[01289.26-01291.98] 这个是我们所说的叫做养少文化
[01291.98-01292.86] 就是养少文化
[01292.86-01293.90] 大家就一项
[01293.90-01296.86] 第三一个就是我们所说的大文口文化
[01296.86-01300.06] 当口文化主要是在黄河流域的山东
[01300.06-01303.02] 这个地方如果是有山东的小伙伴
[01303.02-01304.50] 再听这个课程的话
[01304.50-01307.86] 那山东的小伙伴叫记住大文口文化和龙山文化
[01307.86-01309.02] 它具体的特点
[01309.02-01310.02] 而其它的同学
[01310.02-01311.22] 如果你不是山東呢
[01311.22-01312.40] 你只要是記住
[01312.40-01314.78] 喝木度 養熟 大溫口和龍山
[01314.78-01316.74] 把喝木度和養熟終點實際
[01316.74-01319.02] 大溫口和龍山的了解集合
[01319.02-01321.22] 在這裡面的大溫口文化大距下
[01321.22-01323.02] 孤渡到大溫口文化的時候
[01323.02-01324.74] 就已經進入到龍所說的叫做
[01324.74-01326.02] 父系施足社會
[01326.02-01328.18] 而剛才我們所提到的在這裡
[01328.18-01329.74] 所以提到的喝木度文化
[01329.74-01331.38] 以及養熟文化大距下
[01331.38-01333.14] 它是母系施足社會
[01333.14-01336.02] 它不解釋母系施足
[01336.02-01338.02] 而且是母系施足
[01338.02-01339.86] 最繁榮的代表
[01340.02-01348.40] 而且是母系师组,最反弱的一个代表,这是喝很多文化,已经我们所说是养少文化。
[01348.40-01353.84] 而到大部分头文化,就已经进入到了我们所说的农根文名,就是大面积的这种更做,
[01353.84-01362.14] 农根文名就需要更多的劳动力,所以我们的视足公射,就从我们所说的母系师组,过度到了我们所说的父系师组。
[01362.14-01364.66] 而在这种情况之下的大温口文化当中
[01364.66-01366.34] 它的一个主要的特点是什么呢
[01366.34-01368.54] 第一个就是它开始出现了白头
[01368.54-01369.94] 这白色的头气
[01369.94-01371.74] 第二个就是它开始在这里
[01371.74-01372.94] 养残搜私了
[01372.94-01375.46] 也就是开始掌握了相应的司支技术
[01375.46-01376.78] 那除了这个之外
[01376.78-01377.94] 就是在大温口文化
[01377.94-01379.10] 看它的就过程当中
[01379.10-01380.18] 还发现一个问题
[01380.18-01381.78] 就发现他们自己家里
[01381.78-01384.34] 有一些自己家的家庭和家处
[01384.34-01386.34] 有些在大温口文化产生之后
[01386.34-01388.70] 就逐渐的开始有了我们所说的
[01388.70-01389.74] 思有制
[01389.74-01393.58] 这逐漸的有了我们所说的思有值
[01393.58-01394.86] 大肯恐怖文化
[01394.86-01397.94] 在后我们所说的叫做龙山文化
[01397.94-01399.98] 龙山文化也在山东这边
[01399.98-01403.82] 龙山文化主要是黑淘文化
[01403.82-01407.66] 需要同学们去实际的就是第一个同学重点去实际
[01407.66-01410.22] 河谋度已经我们所说的养烧文化
[01410.22-01413.30] 它所对应的特点以及它所所在的地区
[01414.06-01415.58] 第二个就是要知道
[01415.58-01418.96] 和我们读和养少文化是母习师组最繁荣的
[01418.96-01420.16] 这样的一个时期
[01420.16-01421.42] 而大文口和龙山
[01421.42-01423.86] 如果是有山东应世考试的小伙伴
[01423.86-01425.02] 养少为注意一下
[01425.02-01425.92] 稍微注意一下
[01425.92-01428.64] 这里面我们就把新时期时代当中
[01428.64-01431.96] 它的文化和世组给同学进行了一个简单的介绍
[01431.96-01433.92] 但是到这还别愿意地不够
[01433.92-01435.98] 因为针对于这个时代的
[01435.98-01437.28] 我们所说的文化
[01438.28-01440.68] 出现了一些相应的
[01440.68-01442.92] 托展的考察严深的点
[01442.92-01444.38] 那些托展严深的款家点
[01444.38-01446.18] 第一個就是在重置上
[01446.18-01448.90] 在重置上同學不要在這裡有沒有注意到
[01448.90-01449.90] 同學來看一下
[01449.90-01453.26] 我們說了剛才在我們所提到的這個
[01453.26-01454.62] 河門多文化當中
[01454.62-01456.46] 主要重的是水道
[01456.46-01458.70] 而到了我們所說的陽像文化當中
[01458.70-01460.10] 重了就開始重速
[01460.10-01463.58] 從這個時候就意味著中國開始逐漸
[01463.58-01466.70] 形成了我們現在所熟知的什麼呢
[01466.70-01468.22] 無骨的張綿線內容
[01468.22-01470.62] 所以從這兩個重值的內容當中
[01470.62-01472.18] 同學要掌握的第一個點
[01472.18-01474.98] 就是我们所说的 要知道无古有那些
[01474.98-01477.58] 第二个 既然提到的无古 那就不得不提的
[01477.58-01480.54] 就是我们所说的 叫做六处 这都六处
[01480.54-01483.38] 这两个点 需要同学们去稍微注意一下
[01483.38-01485.86] 当然 为了方面 同学们去实际
[01485.86-01490.38] 我把无古和六处其实是在后面 去同学们去进行了一个
[01490.38-01493.98] 书里 咱们先来看一下我们所说的 这一个内容
[01493.98-01497.58] 我们来看一下 整个 考点研身当中
[01497.58-01499.46] 神经低个考点 我刚才给他们说了
[01499.46-01501.76] 說最能反應母席市族社會繁榮的
[01501.76-01502.80] 其實兩個
[01502.80-01504.30] 一個是河木度文化
[01504.30-01505.60] 一個是養少文化
[01505.60-01507.14] 而養少文化最低代表性
[01507.14-01507.86] 就是我們所說的
[01507.86-01508.76] 半潑一指
[01508.76-01509.62] 所以第一個點
[01509.62-01510.46] 同意比較知道
[01510.46-01511.30] 如果他給到
[01511.30-01512.46] 有養少文化想像
[01512.46-01514.46] 宣養少的化就宣
[01514.46-01515.26] 半潑
[01515.26-01516.02] 就選半潑
[01516.02-01516.74] 只第一個
[01516.74-01518.10] 最能繁硬
[01518.10-01520.14] 母席市族繁榮的點
[01520.14-01521.22] 第二個延伸
[01521.22-01522.62] 就是在這裡我剛才說了
[01522.62-01524.54] 養少文化是在中國
[01524.54-01526.46] 境內分布最廣的文化
[01526.46-01526.96] 對吧
[01526.96-01528.14] 那他這個文化的
[01528.14-01530.62] 所在的主要设计的地区包括我们所说的
[01530.62-01534.42] 河南省息 山息 河北 干诉 青海 河 领下
[01534.42-01537.38] 这个主要是养烧文化 它的一个分布地区
[01537.38-01540.62] 但是从这里延伸的点销 同时去实际的是哪个呢
[01540.62-01542.50] 这是在养烧文化当中
[01542.50-01546.06] 在它的中晚期出我们发现了一个巨型
[01546.06-01547.78] 巨落的一个移植
[01547.78-01550.58] 这个巨型巨落的移植就是我们所说的
[01550.58-01552.78] 河落谷国 河落谷国
[01552.78-01555.02] 同时经常会在上谷神化当中
[01555.02-01556.58] 听到河落这两个字
[01556.58-01556.90] 对吧
[01556.90-01562.46] 他其實受不了所說的養小文化的一只不落
[01562.46-01563.62] 一個一只不落
[01563.62-01568.10] 這是第二個我們所說的從養小文化推出去的點
[01568.10-01570.46] 第三個就是我們剛才說了
[01570.46-01571.98] 喝不多一只主要中道
[01571.98-01574.42] 而我們所說的半潑一只主要中速
[01574.42-01578.42] 那就會涉及到在文學廠時當中所提到的無谷
[01578.42-01581.06] 這個無谷在這裡面有兩種說法
[01581.06-01584.74] 同時知道一種叫做道署、金曼書、海一種
[01584.74-01586.74] 叫做馬署、金曼書
[01586.74-01588.98] 这两种说法他其实会有一些不同
[01588.98-01591.22] 后面的几个啊其实都是一样的
[01591.22-01594.78] 那这里面就需要同学们在这里掌握两个考戀
[01594.78-01596.42] 那要考戀呢 第一个
[01596.90-01599.14] 无古到底有哪几种形式啊
[01599.14-01601.98] 就是第一个要去实际无古的那些
[01602.42-01603.50] 这个不说了啊
[01603.50-01605.62] 一个是马属机门属于到属机门书
[01605.62-01608.10] 第二个呢就是在这里面大家要知道
[01608.10-01610.02] 在考察的时候他有的时候
[01610.02-01612.94] 偏向三制衣服考试的时候他就会问到说
[01612.94-01614.18] 为什么会出现
[01614.18-01617.26] 馬屬機梅書和到屬機梅書
[01617.26-01619.42] 大家注意一下主要的原因是什麼呢
[01619.42-01623.38] 主要的原因是因為他們的地獄存在差異
[01625.94-01627.18] 地獄存在差異
[01627.18-01630.74] 到屬機梅書同樣都知道南方擅長中水道
[01630.74-01632.70] 所以到屬機梅書的無谷
[01632.70-01636.02] 其實更加偏向的是南方所強調的無谷
[01636.02-01639.22] 而馬屬機梅書其實更加偏向的是北方
[01639.22-01640.38] 在換句話說
[01640.38-01643.10] 一個是我們所說的是用在長江留月
[01643.10-01645.62] 一个是使用在黄河留域的
[01645.62-01646.74] 所以在这里面
[01646.74-01648.26] 地域差异的不同
[01648.26-01650.26] 导致我们所说的无古不同
[01650.26-01653.18] 在之前的山西的考试过程当中
[01653.18-01655.46] 就考察过一种形式
[01655.46-01656.86] 说按照我们说了
[01656.86-01658.90] 一下ABCD色选当中
[01658.90-01661.18] 哪一个更偏向于我们所说的
[01661.18-01662.06] 黄河留域文明
[01662.06-01663.50] 所延续出来的五五
[01663.50-01664.74] 黄河偏向北方
[01664.74-01665.90] 就说我们所说的
[01665.90-01667.06] 马属及满属
[01667.06-01667.94] 马属及满属
[01667.94-01668.70] 所以大家注意一下
[01668.70-01670.90] 就第二个地域差异导致五不同
[01670.90-01672.58] 第三个就是在这里面
[01672.58-01674.38] 接受无谷
[01674.38-01678.02] 我们就要能够知道这无谷分别代表的是什么
[01679.02-01680.50] 分别代表的是什么
[01680.50-01682.06] 有它的具体内容是什么
[01682.06-01684.74] 那道话中说了就道子
[01684.74-01685.06] 对吧
[01685.06-01687.30] 就是现在我们所熟悉的水道
[01687.30-01688.70] 现在我们所熟悉的水道
[01688.70-01689.90] 这个没想好说的
[01689.90-01692.42] 第二个就是我们所说的属物
[01692.42-01693.94] 这个属指的是啥呢
[01693.94-01694.66] 大家注意一下
[01694.66-01695.50] 这个属物
[01695.50-01696.90] 指的是我们所说的
[01696.90-01697.94] 黄米
[01697.94-01698.94] 是黄米
[01698.94-01700.62] 而既指的是啥呢
[01700.62-01703.56] 这个技就是我们所说的素
[01703.56-01706.54] 刚才不是说我们所说的半颗一角重素嘛
[01706.54-01710.16] 就是我们所说的素就是小米 小米
[01710.16-01711.76] 而卖就是小卖嘛
[01711.76-01713.46] 就是我们现在所见到的
[01713.46-01716.30] 而素指的是什么呢 指的是豆腻
[01716.30-01718.82] 或者是我们常说的大豆
[01718.82-01719.98] 常说的大豆
[01719.98-01723.66] 而这个点在山东时也在为考察的时候考察过
[01723.66-01726.30] 既然它有考察过的这种情况
[01726.30-01729.38] 我们就一定要把它做一个重点来去掌握
[01729.38-01731.18] 所以在整个无谷当中
[01731.18-01733.98] 会有这我们所说的三种考察方式
[01733.98-01736.10] 第一个问无谷有哪些那第二个
[01736.10-01736.78] 这是说
[01736.78-01738.10] 黄和留域代表的无谷
[01738.10-01739.46] 一场将留域不一样
[01739.46-01741.46] 第三个就是它的内容
[01741.46-01742.38] 这是无谷
[01742.38-01743.50] 那除了无谷之外
[01743.50-01744.74] 我们和无谷经常使用的
[01744.74-01745.78] 就是六处
[01745.78-01747.58] 我们经常在家的时候
[01747.58-01750.82] 不要有没有同学有老家是农村的
[01750.82-01752.94] 我的老家就是农村的
[01752.94-01754.70] 以前在农村老家的时候
[01754.70-01756.82] 我们经常会贴那种村里儿
[01756.82-01757.14] 对吧
[01757.14-01758.50] 会是贴那种对了
[01758.50-01759.92] 天哪有对了干什么呢
[01759.92-01761.44] 对了就是干啥呢
[01761.44-01763.88] 这是经常会贴那个
[01763.88-01764.72] 操子那个地方
[01764.72-01765.58] 叫骨操啊
[01765.58-01765.92] 对吧
[01765.92-01766.72] 玉米操啊
[01766.72-01767.90] 像这个地方贴一个
[01767.90-01769.10] 叫做布谷风灯
[01769.10-01770.54] 在自己家的那个
[01770.54-01772.24] 以前老家有那种牛膨
[01772.24-01773.60] 在那个牛膨上呢
[01773.60-01775.14] 就是养牛的地方贴一个
[01775.14-01776.14] 六出星哦
[01776.14-01777.86] 所以布谷风灯和六出星啊
[01777.86-01779.38] 经常是我们所听到的
[01779.38-01780.84] 那六出指的是什么呢
[01780.84-01781.40] 大家就一下
[01781.40-01782.10] 六出
[01782.10-01783.14] 主指的是
[01783.14-01784.26] 牛马洋
[01784.26-01785.58] 还有一个是什么呢
[01785.58-01786.94] 是猪狗机
[01786.94-01790.94] 这是我们所说的6充6充4个贴的
[01790.94-01792.94] 就用情况之下的牛码鸟
[01792.94-01794.54] 还有我们经常吃的
[01794.54-01798.54] 猪和鸡还有我们常见的加鸡狗
[01798.54-01802.94] 所以6充是牛码鸟和猪狗鸡牛码鸡
[01802.94-01806.94] 这是我们所说的有关于5股和6充5和6充
[01806.94-01809.94] 这是第4个考验人身
[01809.94-01811.94] 最后一个考验人身是在什么
[01811.94-01814.94] 它其实是一个比较大的一个考察点
[01814.94-01817.24] 其实有的时候就会考察我们所说的
[01817.24-01819.30] 一下属于黄河流域文明的事
[01819.30-01822.10] 或者是一下属于长江流域文明的事
[01822.10-01825.42] 这种情况之下就要求我们在整个考察的形势上
[01825.42-01829.86] 能够去区分黄河文明以及我们所说的长江文明
[01830.50-01832.34] 黄河我们一起来看一下
[01832.34-01833.22] 人第一个呢
[01833.22-01837.38] 黄河中下有地区是华下文明和中华文明的发行地
[01837.38-01838.98] 所以首先第一个大家知道
[01838.98-01840.70] 文明的发行地在于黄河
[01840.70-01842.70] 他被视为天下的中心
[01842.70-01845.52] 而他既然作为天下的中心,我们就要知道
[01845.52-01848.58] 整个黄河留域的文明,相对来说就会比较多
[01848.58-01850.64] 那他的代表文明有哪些
[01850.64-01852.54] 这个地方为什么要给大家做区分呢?
[01852.54-01853.20] 大家要知道
[01853.20-01854.48] 因为这个点啊
[01854.48-01856.54] 它其实经常是我们在靠
[01856.54-01858.18] 综合性的厂史
[01858.18-01861.90] 以及国神考支持当中,会考察到的一个点
[01861.90-01864.46] 国神考在这个地方考察的时候会怎么考呢?
[01864.46-01867.28] 在过去几年的考试当中,国考和神考
[01867.28-01872.40] 我们要通行没有注意到啊,它经常会考察到时大考古发现
[01872.40-01876.08] 而这十大口谷发现在之前的国好当中命过提
[01876.08-01879.26] 在这里面这十大口谷发现就会有一些
[01879.26-01881.26] 它是同属于黄和留域的文明
[01881.26-01884.16] 有一些它从属于成江留域的文明
[01884.16-01887.04] 在这里面我们就要把它能够结合
[01887.04-01889.64] 我们所说的过程考当中的
[01890.64-01892.04] 主要是国口
[01892.04-01895.84] 我们所里面所给到的叫做十大口谷发现
[01897.32-01898.68] 去结合起来
[01898.68-01899.84] 去结合起来
[01899.84-01903.32] 我们就来看一下首先第一个就是黄河流域的文明
[01903.32-01905.32] 在黄河流域的文明当中
[01905.32-01907.78] 它其实主要有这么极重类型
[01907.78-01908.80] 这么极重类型
[01908.80-01910.84] 第一个就是我们经常听到的
[01910.84-01912.96] 叫做河北的词山文化
[01914.56-01918.00] 这个河北的词山文化
[01918.00-01919.20] 河北的词山文化
[01919.20-01922.36] 相反说是在黄河流域比较早期的一个文化
[01922.36-01925.12] 它主要是处在黄河的中有地区
[01925.12-01928.10] 那第二个呢就叫我们所说的叫做黄河
[01928.10-01930.82] 在磁山文化之后又产生了叫个什么呢
[01930.82-01934.32] 又产生了我们叫做陪李刚文换
[01935.52-01937.28] 叫做陪李刚文换
[01937.28-01940.00] 老人家咱这么肉呢还陪李刚
[01940.00-01941.84] 陪李刚也是一个地区啊
[01941.84-01943.66] 这个陪李刚他这个文化呢
[01943.66-01947.74] 是由一个我们所说的比较住民的少数的四足啊
[01947.74-01950.34] 这是一个少数民族的四足
[01950.34-01952.78] 在这个地方呆过产生的这个文明
[01952.78-01955.38] 这个我们所说的上古的这个世族呢
[01955.38-01955.98] 叫做什么呢
[01955.98-01956.78] 叫做兽点
[01956.78-01958.06] 我不知道他有没有听过啊
[01958.06-01958.98] 兽点世族
[01959.38-01961.26] 看过我像继续存应该都知道
[01961.26-01961.54] 对吧
[01961.54-01963.22] 我就看过这么一步电视剧
[01963.34-01966.14] 应该是那个东宫的男主角
[01966.14-01967.26] 演过的一个剧
[01967.26-01968.18] 叫做
[01969.66-01970.30] 我忘了
[01970.30-01972.86] 叫做什么新落凝成堂吗
[01972.86-01975.14] 反正就是有这么一个电视剧
[01975.14-01975.98] 然后在里面
[01975.98-01976.98] 他的名字叫什么呢
[01976.98-01978.98] 他的名字叫兽点有钱
[01978.98-01981.02] 那一看见提到兽点有钱
[01981.02-01981.86] 这个兽点
[01981.86-01983.66] 它其实就是一个上午的性事
[01983.66-01985.18] 少点这个视组
[01985.18-01987.42] 它其实是女娃和福西的孩子
[01987.42-01988.90] 皇帝和严厉的父亲
[01988.90-01991.90] 所以这个少点视组所在的文化
[01991.90-01993.34] 就叫做赔理刚文化
[01993.34-01994.50] 就叫赔理刚文化
[01994.50-01995.74] 这是第二个
[01995.74-01997.74] 第三个在黄河流域有名的
[01997.74-01999.34] 就是我们所说的养少文化
[01999.34-02001.42] 这个养少文化咱们刚刚接少文
[02001.42-02002.30] 在这不多说了
[02002.30-02002.90] 大家知道
[02002.90-02006.18] 养少文化当中的典型的就是要办坏移植
[02006.18-02007.86] 这是我们所说的办坏移植
[02007.86-02008.86] 除了这个之外
[02008.86-02011.46] 还有我们所说的叫做马加游文化
[02011.86-02015.86] 叫做马家游文化
[02015.86-02017.86] 叫做马家游文化
[02017.86-02019.36] 他只要讲说的是什么呢
[02019.36-02020.86] 为什么会有文化产生
[02020.86-02022.86] 其实大家因为听过那个故事
[02022.86-02023.86] 就是哪个呢
[02023.86-02025.86] 就是大意设日的故事
[02025.86-02026.86] 把它写在下面会清晰一点
[02026.86-02027.86] 大意设日
[02027.86-02029.86] 大意设日的这个故事呢
[02029.86-02031.86] 最开始他是画在哪呢
[02031.86-02032.86] 就是画在马家游文化
[02032.86-02034.86] 出土的一个小盆上
[02034.86-02036.86] 那个我们所说的那个彩桃盆
[02036.86-02038.86] 就是把后一设日的整个故事
[02038.86-02040.86] 都画在这个上面了
[02040.86-02042.34] 这时候我们所说的马加尧文化
[02042.34-02044.74] 马加尧文化说有名的移植
[02044.74-02046.18] 比如说像我们常见的
[02046.18-02047.58] 这个移植了解一下就行了
[02047.58-02049.38] 主要记住它属于什么文化
[02049.38-02052.94] 比如说我们常见的有我们所说的实令下一只
[02054.66-02055.82] 实令下一只
[02055.82-02058.10] 或者叫做半山移植等等
[02058.10-02060.06] 这些都是马加尧文化的代表
[02060.06-02060.82] 那还有呢
[02060.82-02063.26] 就是我们所说的在黄流浴文名当中
[02063.26-02065.82] 我们所提到的大问口文化
[02065.82-02068.50] 或者是我们所说的农山文化
[02068.50-02072.50] 或者是我们所说的叫做奇加冷化
[02074.50-02076.50] 奇加冷化会也称其路文化
[02076.50-02080.50] 在这种情况之下是不是我们所说的在黄河流域的文明
[02080.50-02089.50] 而我们最新的时代靠谷发现当中在山东的林子的照家徐姚姚姚那个地区发现了一个移植
[02089.50-02091.50] 那他其实就属于我们所说的奇加文化
[02091.50-02095.50] 当然黄河流域的文化除了这些比较有名的之外
[02095.50-02097.10] 同们知道怎么去计呢
[02097.10-02100.26] 只要它是和黄河流域相关的
[02100.26-02102.42] 那它都属于我们所说的
[02102.42-02103.94] 黄河流域的文明
[02103.94-02106.86] 比如说我们所说的和黄文化
[02106.86-02108.90] 和落文化和落
[02108.90-02110.22] 落是不是指的落阳
[02110.22-02112.34] 黄是不是指的和是不是指的
[02112.34-02113.14] 黄河
[02113.14-02115.06] 和落文化那一般情况
[02115.06-02115.98] 这些在这个地方
[02115.98-02117.86] 它也属于黄河流域的文明
[02117.86-02119.70] 这是在黄河流域的区个
[02119.70-02121.30] 我这就把在这里面
[02121.30-02122.82] 比较容易考到的
[02122.82-02125.70] 但是我们又不太注意的这几个
[02125.70-02127.74] 给大家在这里进行了一个罗练
[02127.74-02128.58] 同时要知道
[02128.58-02130.62] 这是我们所说的黄河文明
[02130.62-02131.98] 黄河母亲和
[02131.98-02135.10] 所以大家知道这些文化产生在这些地区之后
[02135.10-02136.38] 那逐漸的
[02136.38-02139.54] 我们就说了黄河就成为了天下的中心
[02139.54-02140.90] 那就成为了天下的中心
[02140.90-02141.78] 所以在这情况
[02141.78-02144.34] 这下陆陆在黄河陆绿
[02144.34-02146.30] 就产生了很多的神话故事
[02146.30-02148.02] 就产生了我们所说的
[02148.02-02149.10] 第一个王朝
[02149.10-02150.42] 我们所说的下朝
[02150.42-02153.46] 这是我们所说的 黄河 这是我们所说的黄河
[02153.46-02154.76] 除了黄河之外呢
[02154.76-02156.76] 当然还我们所说的 长江了
[02158.02-02159.38] 长江留育的文明呢
[02159.38-02160.36] 其实很好分
[02160.36-02161.46] 长江留育文明呢
[02161.46-02163.74] 分为上游 中游和下游
[02163.74-02165.78] 长江留育上游的文化
[02165.78-02167.08] 比较长见的
[02167.08-02167.86] 大家注意一下
[02167.86-02169.54] 比如说边晴文化
[02171.74-02172.70] 边晴文化
[02172.70-02173.78] 边晴文化呢
[02173.78-02175.00] 也被称的位叫做
[02175.00-02176.28] 云贵文化
[02176.28-02177.34] 云贵文化
[02177.34-02178.84] 而最先发现的
[02178.84-02182.84] 比如说就是理我们时间最近的实大靠谷发现里面所给到的
[02182.84-02184.64] 它是一个新闻实政设点
[02184.64-02189.84] 就是贵州的贵安心序的大松山出现了一个目前的木权
[02189.84-02191.84] 就是古代的造木一片
[02191.84-02195.64] 这个木权它其实就属于我们所说的叫做丁琴文化
[02195.64-02197.44] 也是我们所说的云归文化
[02197.44-02201.64] 当然了 除了丁琴文化就在还有我们所熟悉的就是八十文化
[02201.64-02203.44] 八十文化前面也是个设点
[02203.44-02205.84] 就是我们所说的三星堆一只
[02205.84-02208.24] 而三星堆一致我在这里的标注
[02208.24-02211.64] 他被称着一叫做长江文明支援
[02211.64-02213.64] 三星堆文化说起来
[02213.64-02215.44] 真的是非常有限力
[02215.44-02217.64] 对吧当时的媒体给他一红报道
[02217.64-02220.84] 就说臣睡三千年一醒今天下
[02220.84-02222.44] 我们大家有没有看过
[02222.44-02225.24] 就是在逼债上有一个手工区的2个主管
[02225.24-02227.64] 在逼债上的经常据完都不行
[02227.64-02229.24] 手工区2个主力没有一个人
[02229.24-02231.64] 他叫做财书学前的财铁
[02231.64-02234.68] 他就用了我们所说的大量的黄金
[02234.68-02235.76] 不客了
[02235.76-02237.48] 我们所说的环境面章
[02237.48-02239.92] 以及环境面照
[02239.92-02242.44] 以及我们所说的黄金的权障
[02242.44-02244.04] 反反复复得去打
[02244.04-02246.44] 然后去用那种贪客的那种方式
[02246.44-02247.48] 去把它客出来
[02247.48-02249.16] 当时所呈现出来的
[02249.16-02251.28] 确实让人感到比较正经
[02251.28-02252.48] 这个就是我们所说的
[02252.48-02254.64] 80人化当中的3对文化
[02254.64-02255.48] 3对文化
[02255.48-02257.68] 轻童帝人轻童神数
[02257.68-02258.92] 轻童神数
[02258.92-02259.96] 有很多人就说
[02259.96-02261.04] 说那个神数
[02261.64-02264.32] 數上應該整個數高
[02264.32-02265.72] 禁高應該是無敏
[02265.72-02268.08] 但上面最上面那個部分缺失了
[02268.08-02270.56] 而那個青銅神數神數
[02270.56-02273.16] 是我們所說的3D的那個
[02273.16-02274.92] 薄管的政管之寶
[02274.92-02276.40] 也就越來越不外界
[02276.40-02278.48] 有人就把他和沙海金當中的
[02278.48-02280.08] 我們所說的服刪數
[02280.08-02281.16] 結合在一塊
[02281.16-02283.00] 就是我們所說的太陽居住的地方
[02283.00-02285.24] 其實從這能看得出來
[02285.24-02287.80] 80文化充滿了神秘的色彩
[02287.80-02289.80] 對人們是機器的就又活力的
[02289.80-02292.62] 这是我们所说的八属文化当中的三星堆
[02292.62-02294.42] 这是我们所说的上有
[02294.42-02297.74] 中有当中比较典型的长江文明
[02297.74-02299.64] 包括那些金处文化
[02299.64-02301.82] 这个是大家最熟悉的了
[02302.86-02304.64] 胡囊胡伟这一段对吧
[02304.64-02305.66] 金处文化
[02305.66-02309.20] 金处文化在最先出的十大考古的
[02309.20-02311.06] 我们所说的发现当中
[02311.06-02312.94] 是胡伟的实验地区
[02312.94-02315.16] 出现了一个两子一只
[02315.16-02316.08] 学堂
[02316.08-02317.96] 我们所说的实验学堂那边
[02317.96-02320.48] 他的一个两子一只在这个地方
[02320.48-02322.88] 他属于精楚文化学精楚文化
[02322.88-02324.88] 当然在常疆又下有
[02324.88-02328.48] 在常疆下有的文化主要包括我们所说的是五月文化
[02328.48-02329.88] 是比较代表性的
[02329.88-02332.04] 五月文化也就是江责文化
[02332.04-02333.16] 同们想一下
[02333.16-02334.40] 仅是江责文化
[02334.40-02336.68] 咱们刚才讲的那些文明当中
[02336.68-02337.92] 河沫渡了
[02337.92-02340.04] 我们所说的养少了
[02340.04-02341.32] 大问口
[02341.32-02342.92] 还有我们所说的隆伤
[02342.92-02344.88] 像这些文化里面哪一个属于
[02344.88-02346.20] 我们所说的江责文化
[02346.20-02347.20] 或者五月文化
[02347.96-02351.92] 特别闲,是我们所说的,河木度,是我们所说的河木度
[02351.92-02355.20] 所以这是我们所说的,有关于长江文明和黄河明
[02355.20-02358.60] 他在考察的过程当中,大家一定要注意
[02358.60-02361.76] 他忙碼,不会我们所说的独立的考察
[02361.76-02365.12] 这个文明的区分,往往会结合我们所说的考古的
[02365.12-02367.80] 是大哈系进行向的考察
[02367.80-02373.04] 好,这个就是我们所说的,有关于中国的文明起源的问题
[02373.04-02374.04] 中国文明起源的问题
[02374.04-02376.64] 咱们简单的做一个书里
[02376.64-02380.36] 我们在讲文明起源的时候首先第一个是放眼世界角度
[02380.36-02381.96] 谈了一下人类的竞话
[02381.96-02384.32] 然后在人类的竞话过程当中
[02384.32-02388.48] 交叉考察我国的文明的竞话是
[02388.48-02389.56] 对吧我们从
[02389.56-02392.84] 就是近时在当中的原始人种当中的四种
[02392.84-02396.48] 到了西时期时代出现了四足和文化
[02396.48-02398.40] 然后我们在这些文化当中
[02398.40-02400.40] 去讲了他所在的地区
[02400.40-02403.64] 他的特点以及相的支持点的眼神
[02403.64-02406.00] 这些点同一们注意相对来说
[02406.00-02407.32] 比较索碎
[02407.32-02408.50] 但是我尽量的
[02408.50-02410.48] 已经给大家服该的非常全面了
[02411.48-02411.80] 好
[02411.80-02413.64] 这个就是我们所说的
[02413.64-02414.64] 第一个部分
[02414.64-02416.84] 这是文化起源的这个部分
[02416.84-02418.56] 那么来做一下题目呗
[02418.56-02419.36] 首先第一体
[02419.36-02422.84] 它说哪一个是位于北京市的人类
[02422.84-02424.36] 化石的这样的一个保护
[02424.36-02425.84] 北京市的人化石的保护
[02425.84-02427.72] 那就只能是北京州口电
[02427.72-02428.36] 对吧
[02428.36-02431.72] 在这里面就属于我们所说的叫做州口电移植
[02431.72-02432.84] 州电移植
[02432.84-02433.20] 好
[02433.20-02434.76] 这是我们所说的第一个
[02434.76-02437.84] DT,A選項的半脫椅子,那半脫
[02438.84-02440.60] 要稍嫌換,大部分是在
[02440.76-02445.64] 河南,對吧,大部分口,山東,山東,對嘛,所以選項和目度
[02445.76-02450.12] 那就是這將,這將,所以DT選私立,那D選私立
[02450.44-02456.76] 第二題,段題,朋友注意,中國境內的質力人,我說質力人,我們那四個元使人種當中
[02457.04-02463.64] 能夠使用人工火的,是我們所說的,山領東人,那山領東人之前的
[02463.64-02464.84] 都是職利人
[02464.84-02467.12] 这是不是就是我们刚才所说的什么考察
[02467.12-02468.88] 我们所说的交差考察
[02468.88-02470.00] 那这个交差考察当中
