[00000.00-00007.68] 好,我们接下来看一下第3个问题,就是我们所说的这个犯罪,他在时间上的这样一个状态
[01088.64-01091.98] 監督分都故事以及他們生活當中承受的一些苦難
[01091.98-01093.50] 我當時一天我說
[01093.50-01095.60] 每個人的生活好像都不容易
[01095.60-01097.40] 我往往就回因為一個沾染
[01097.40-01099.64] 然後影響到我現在的心情不值得
[01099.64-01102.46] 於是我就自動放棄了
[01102.46-01104.36] 沒辦法我就自動放棄了
[01104.36-01106.18] 我說想要去開始怎麼樣
[01106.18-01108.34] 主手實施犯罪殺死狗大人就認為
[01108.34-01110.34] 如果我出於我自己的自願
[01110.34-01111.18] 這個時候我怎麼樣
[01111.18-01112.70] 我自動放棄
[01115.20-01116.24] 我自動放棄
[01116.24-01118.92] 那我如果这个时候自动放弃的话 大助一下
[01118.92-01121.48] 那我自动放弃就成立了什么
[01121.48-01123.36] 就成立叫做中止
[01123.36-01125.20] 这个时候就叫做犯罪中止
[01125.20-01126.64] 只过这个犯罪中止
[01126.64-01127.48] 它属于什么呢
[01127.48-01128.40] 我们注意一下
[01128.40-01129.44] 这个犯罪中止
[01129.44-01131.72] 它属于預備接断的中止
[01131.72-01132.48] 明白了吧
[01132.48-01134.16] 所以在这里面大家要注意一下
[01134.16-01136.72] 而我们中点在考试当中会考察这个
[01136.72-01139.20] 就是犯罪于备这个问题
[01139.20-01140.24] 换个颜色吧
[01140.24-01142.04] 就是中点会考察这个
[01142.04-01144.44] 就是預備接断的犯罪于备
[01144.44-01146.24] 就你要知道什么叫的翻译被
[01146.24-01150.32] 翻译被就是你为了左手实施犯罪
[01150.32-01152.38] 在准备工具制造条件过程当中
[01152.38-01154.94] 因为你一直以外的其他因素
[01154.94-01156.12] 你被破停下来
[01156.12-01157.14] 为能左手
[01157.14-01159.54] 那这个时候就属于翻译被
[01159.54-01160.30] 明白了吧
[01160.30-01161.68] 所以在这里面大家注意一下
[01161.68-01164.44] 我再翻译被当中给大家去讲了两个电
[01164.44-01166.84] 第一个点就是你要知道什么叫做左手
[01166.84-01169.28] 那这个时候左手前
[01169.28-01172.04] 左手后接段不一样翻译形态不一样
[01172.04-01176.14] 第二个你要知道什么叫犯罪 郁被什么叫犯罪 郁被打住一下
[01176.14-01178.44] 这是这两个点
[01178.44-01181.00] 当然这两点光这两点还没有结束
[01181.00-01183.80] 为他标助一下 把这个是第一个 靠点
[01183.80-01185.24] 第二个是第二个 靠点
[01185.24-01186.88] 第三个 靠点在什么呢
[01186.88-01190.48] 第三个 靠点就是在于我们要能够去区分几个基本概念
[01190.48-01194.32] 因为有一些基本概念他特别容易混小 特别容易混小
[01194.32-01198.00] 大家注意一下 这里面我们经常会提到三个基本概念
[01198.00-01199.30] 一个叫做玉贝饭
[01199.30-01200.50] 一个叫做饭之玉贝
[01200.50-01202.10] 一个叫做玉贝行为
[01202.10-01202.80] 你要知道啊
[01202.80-01205.20] 这里面最愿意混小的就是你要去去分
[01205.20-01207.70] 一个是玉贝行为
[01207.70-01208.70] 你一个是什么
[01208.70-01210.50] 一个是饭之玉贝
[01210.50-01212.40] 什么叫做玉贝行为呢
[01213.20-01214.20] 大家注意一下
[01214.20-01215.70] 所谓的玉贝行为啊
[01215.70-01216.70] 就是你
[01216.90-01217.70] 你看
[01217.70-01218.90] 玉贝行为就是你
[01218.90-01220.30] 製造工具
[01220.30-01223.40] 叫准备工具製造调简的行为
[01223.40-01225.50] 那这个时候就叫做玉贝行为
[01225.50-01227.80] 就是为了实实饭最而做的
[01227.80-01228.82] 准备行为
[01228.82-01230.04] 他叫做玉碧行为
[01230.04-01230.98] 而玉碧
[01230.98-01231.80] 而我们所说的
[01231.80-01233.18] 三罪一位他属于什么
[01233.18-01235.24] 三罪一位他属于一种形态
[01235.24-01235.74] 是什么呢
[01235.74-01237.78] 是你在准备这个过程当中
[01237.78-01240.18] 你就是为了去左手时的三罪
[01240.18-01240.46] 对吧
[01240.46-01241.82] 但是因为一直以外的因素
[01241.82-01243.72] 比如说场子把我慈退了
[01243.72-01243.92] 对吧
[01243.92-01244.96] 等到这些细练
[01244.96-01245.56] 那你看
[01245.56-01246.22] 他是一种
[01246.22-01247.96] 三罪形态
[01247.96-01249.42] 他们两个不是一个概念
[01249.42-01250.20] 另外了吧
[01250.20-01251.26] 你看三罪一位是你
[01251.26-01253.80] 没了实施三罪的做的准备行为
[01253.80-01254.52] 而我们所
[01254.52-01255.76] 而这个玉碧行为
[01255.76-01257.12] 而三罪一位是什么呢
[01257.12-01260.80] 三句一位是你為左手實質犯罪的過程當中
[01260.80-01262.16] 你被扣停下來
[01262.16-01263.80] 這個犯罪進行不下去了
[01263.80-01266.04] 這個時候它呈現的一種狀態
[01266.04-01267.40] 我們把的成為犯罪一輩
[01267.40-01268.36] 在這裡面你要知道
[01268.36-01269.72] 它俩不是一個概念
[01269.72-01271.84] 有的時候在判斷體或者在變息
[01271.84-01272.88] 選項當中
[01272.88-01274.52] 經常就會考到一個點
[01274.52-01276.60] 說我們所說的這個
[01276.60-01279.52] 一輩行為就是犯罪一輩
[01279.52-01281.20] 不對行為是行為
[01281.20-01282.36] 是你做的準備行為
[01282.36-01284.56] 而犯罪一輩它是一種狀態
[01284.56-01285.56] 它是一種狀態
[01285.56-01287.04] 你不要把这个整混乡了
[01287.04-01288.56] 那这里面最长考的
[01288.56-01289.24] 其实是哪个呢
[01289.24-01291.24] 就是我们能判则出来
[01291.24-01292.04] 第二个考点
[01292.04-01294.08] 就是它到底属不出于犯罪一位
[01294.08-01294.84] 大家注意一下
[01294.84-01296.40] 就知道在准备阶段
[01296.40-01297.88] 因为一直以外的因素
[01297.88-01298.84] 你被固停下来
[01298.84-01300.48] 他就属于犯罪一位
[01300.48-01301.28] 就可以了
[01301.28-01303.48] 这是第一个叫做犯罪一位
[01303.48-01305.04] 那犯罪一位呢
[01305.04-01307.08] 第四个考虑在于我们来看一下
[01308.12-01308.92] 一位犯
[01308.92-01311.32] 他说对于犯罪一位阶段的
[01311.32-01313.56] 最快我们把它称了就要一位犯
[01313.56-01315.16] 你毕竟已经开始
[01315.16-01316.64] 实行犯罪行为了吗
[01316.64-01318.08] 那你毕竟已经开始了
[01318.08-01319.48] 要准备进行犯罪了吗
[01319.48-01320.92] 那你其实就是已经怎么样
[01320.92-01321.84] 触犯了行法
[01321.84-01323.12] 只问你在这个时候
[01323.12-01324.12] 你被扩停止了
[01324.12-01325.28] 你还没有着手
[01325.28-01327.08] 你对法意的这种亲爱性
[01327.08-01328.08] 还不几迫
[01328.08-01330.32] 所以可以对你的行法
[01330.32-01332.16] 亮行上稍微听一点
[01332.16-01332.68] 你看
[01332.68-01336.24] 说对于預備犯可以比照继随犯
[01336.92-01337.68] 怎么办
[01337.68-01341.16] 还想从轻轻轻或者是面出触犯
[01341.16-01342.20] 尤其把这个面出
[01342.20-01343.00] 给我圈出来
[01343.00-01344.28] 一会儿我们还会讲到
[01344.28-01347.52] 中止犯 还有我们所说的这个位随
[01347.52-01349.64] 他就会在这给你玩文字有信
[01349.64-01352.04] 就是对于这几个犯罪形态之下的
[01352.04-01354.56] 罪犯 我应该如何去亮行的问题
[01354.56-01356.44] 所以预备犯 大家也知道 对吧
[01356.44-01359.80] 你看比如说 我最后没有买到刀
[01359.80-01361.20] 然后因为我没有收入来的
[01361.20-01362.80] 所以没有办法杀了过大
[01362.80-01366.04] 你看在这里面 我的犯罪形为虽然有
[01366.04-01368.52] 但是相对来说 对法意的期还比较怎么样
[01368.52-01370.44] 请问 但我毕竟是怎么办
[01370.44-01371.72] 我毕竟是犯罪了
[01371.72-01374.36] 那这个时候必须要给我相用的成绩
[01374.36-01378.44] 所以对于我的这个成绩就可以比较继续反从轻简简
[01378.44-01381.20] 如果真的是一点结果都没有产生的话
[01381.20-01383.20] 就可以总办面出出反
[01383.20-01385.80] 这个地方我跟大家说他考试的时候
[01385.80-01388.88] 在第四个圈也是第四个靠点这块靠什么呢
[01388.88-01389.80] 文字游戏
[01389.80-01393.48] 就是把这几种犯罪形态下的罪犯状态
[01393.48-01396.16] 他的一个处法给你脚会在一块
[01396.16-01397.28] 你一定要注意哦
[01397.28-01399.88] 这是第一个我们所说的叫做犯罪
[01399.88-01401.36] 预备反对一辈
[01401.36-01403.64] 那第二个我们要讲讲着范罪为水
[01403.64-01406.54] 那你看范罪为水从时间接到上来看
[01406.54-01410.80] 它已经是进入到左手以后的什么阶段实行阶段
[01410.80-01414.48] 所以在实行阶段我们说了也可能存在两种情况
[01414.48-01415.04] 对吧
[01415.04-01418.84] 在实行阶段如果说因为一直以外的因素
[01421.76-01425.02] 没有办法实你追求的那个范罪结果发生
[01425.02-01427.76] 那这个时候就叫做范罪为水
[01428.16-01430.24] 那我们来看一下范罪为水说的是啥吧
[01430.24-01434.20] 但看翻譯院是已經逐手實行了
[01434.20-01436.16] 那這個時候就已經進入了什麼階段了
[01436.16-01437.16] 實行階段
[01437.16-01439.72] 我已經從包裹裏要拋出來
[01439.72-01441.72] 拋去殺死狗大人了
[01441.72-01442.76] 那這個時候你看
[01442.76-01444.12] 是不是已經逐手了
[01444.12-01447.76] 對法義產生了現實緊迫直接的危險
[01447.76-01449.52] 那這個時候就進入了實行階段了
[01449.52-01450.68] 但是我在
[01450.68-01453.44] 我們所說的這個拋同向狗大人的時候
[01453.44-01456.04] 突然天降正義之時
[01456.04-01457.80] 一腳把我吹翻在地
[01457.80-01459.96] 我台后一看是一个
[01459.96-01462.16] 其实我们所说的两米高的大汉
[01462.16-01464.08] 对吧 他大和一声说带
[01464.08-01465.84] 对吧 说你这个小贼
[01465.84-01468.40] 就让你在干在光天化日之下行休
[01468.40-01469.84] 然后呢 最后把我支付
[01469.84-01470.72] 你有受到关注
[01470.72-01471.84] 那你看在这个地方
[01471.84-01474.72] 我追求想杀死狗大的这个结果没有发生
[01474.72-01476.08] 所以他属于什么
[01476.08-01478.28] 主要守之后的实行结段
[01478.28-01480.60] 是不是由于我的因素而放弃的
[01480.60-01482.88] 不是 失因为第三方
[01482.88-01484.88] 失因于我一直以外的因素
[01484.88-01487.12] 导致我追求的反对结果没有发生
[01487.12-01488.36] 这个时候就叫做什么
[01488.36-01490.60] 这个时候就叫做翻作为水
[01490.60-01491.68] 所以大家能够看到
[01491.68-01494.00] 翻作于为和翻作为水
[01494.00-01494.92] 它都属于什么
[01495.84-01498.16] 它都属于一直以外的因素
[01498.16-01499.72] 导致的结果没发生
[01499.72-01501.64] 但是他们两个的区别就在于
[01501.64-01503.04] 一个是在左手之前
[01503.04-01505.00] 也有时在左手之后
[01505.00-01505.48] 明白
[01505.48-01507.04] 所以在这里面大家注意一下
[01507.04-01508.28] 只是翻作为水
[01508.28-01509.08] 所以在这里
[01509.08-01510.96] 第一个考虑节形的题目
[01510.96-01511.84] 你要知道
[01511.84-01512.92] 第二个就是
[01512.92-01514.04] 它说对于为水翻
[01514.04-01514.76] 可以怎么办
[01514.76-01516.84] 可以比照计随翻
[01516.84-01519.08] 同心或者是減轻
[01519.08-01520.68] 有没有面出出发
[01520.68-01521.96] 没有面出出发
[01521.96-01523.96] 我说了在这里就喜欢玩一个什么
[01523.96-01527.08] 就说就喜欢玩一个文字游戏
[01527.08-01528.36] 就喜欢玩一个文字游戏
[01528.36-01534.16] 刚才我们所说的预备方是可以从轻減轻或者是面出出发
[01534.16-01535.48] 这里没有面出
[01535.48-01536.92] 所以大家一定要注意一下
[01536.92-01539.80] 这是我们所说的这个位随番的问题
[01539.80-01542.16] 但在位随番这个地方还有一个点
[01542.16-01544.20] 就是大家很容易把位随
[01544.20-01547.14] 因為未隨他是犯罪結果沒有發生嗎?
[01547.14-01547.84] 對吧?
[01547.84-01551.16] 所以是由於你一直以外的因素犯罪結果沒有發生
[01551.16-01553.64] 但是大家很人一把這個未隨犯
[01553.64-01555.90] 和這個不能犯相混小
[01560.12-01562.92] 不能犯也是犯罪結果沒有發生
[01562.92-01564.52] 但不能犯說的是什麼呢?
[01564.52-01567.16] 說的是我雖然主觀是有犯意
[01567.16-01570.60] 但是客觀行為不會對法醫造成任何侵犯
[01570.60-01572.68] 所以這個時候不能犯他是什麼?
[01572.68-01573.88] 它是5罪的
[01576.88-01578.56] 他们两个经常容易混小
[01578.84-01581.44] 不能翻的一般情况之下有两种情况
[01581.76-01584.16] 第一种情况就叫做对象不能翻
[01588.64-01590.88] 第二种叫做手段不能翻
[01594.60-01596.28] 就是我想要追求的翻就结果
[01596.28-01597.52] 它一定不会发生的
[01597.72-01598.88] 那位随的话
[01598.88-01600.76] 是我已经开始逐手实施犯罪了
[01600.76-01602.16] 因为客观以外的因素
[01602.16-01603.16] 我没有杀死狗大
[01603.16-01604.96] 那这个时候我就叫做魏水饭
[01605.16-01606.56] 但是不能犯是什么呢
[01606.56-01607.36] 不能犯我做了
[01607.36-01608.96] 我是主观上有犯意
[01608.96-01611.16] 但是我做的那些事对他的法意
[01611.16-01612.36] 没有办法造成亲爱
[01612.36-01613.56] 从而导致
[01613.56-01615.96] 我们所说的这种犯罪节我不能出现
[01615.96-01616.56] 第一个呢
[01616.56-01617.96] 叫对象不能犯
[01617.96-01619.36] 什么叫做对象不能犯呢
[01619.36-01620.16] 就是我了
[01620.16-01622.36] 想要侵犯的犯罪对象
[01622.36-01623.56] 根本不存在
[01623.56-01625.56] 所以在这里是不存在
[01627.56-01628.56] 犯罪对象
[01628.56-01630.06] 那我如果是不存在
[01630.06-01631.34] 在犯罪对象的话
[01631.34-01634.14] 怕这个时候我实行了相应的行为
[01634.14-01635.94] 我也没有办法过程是吧
[01635.94-01636.66] 犯罪
[01636.66-01637.94] 举个简单的例子
[01637.94-01640.66] 比如说现在我手里有一把枪
[01640.66-01642.62] 我手里有一把枪之后
[01642.62-01644.78] 我现在就躲在一个杀墨里面
[01644.78-01646.46] 然后在毛毛的大杀墨当中
[01646.46-01647.62] 四下无人
[01647.62-01649.26] 我就看到了一个道炒人
[01649.26-01650.54] 在我前面出现
[01650.54-01652.06] 我当时就想这个道炒人
[01652.06-01652.90] 我当然没看
[01652.90-01654.70] 就是因为你的相当点是表远
[01654.70-01656.42] 我就不知道他是一个道炒人
[01656.42-01657.86] 我也为他是我的仇人
[01657.86-01659.26] 我就举起我手里的想
[01659.26-01660.66] 多安裸裸裸裸裸裸裸
[01660.66-01661.62] 就吵了那个道厂人
[01661.62-01662.54] 连射实响
[01662.54-01663.34] 我当时想
[01663.34-01665.50] 这不是来把这个人给他打死
[01665.50-01667.06] 我以谢我心头之恨
[01667.06-01668.62] 结果在我开箱设计之后
[01668.62-01669.46] 我走进一看
[01669.46-01671.30] 我的天哪是我的仇人
[01671.30-01671.98] 那是什么
[01673.26-01674.66] 那是个道厂人
[01674.66-01675.42] 所以你看
[01675.42-01677.02] 我开箱的这个行为
[01677.02-01678.82] 他在毛毛的沙漠当中
[01678.82-01680.10] 我开箱的这个行为
[01680.10-01682.70] 你看他其实开箱行为是我为害行为的
[01682.70-01684.10] 但是这个为害行为
[01684.10-01686.10] 存不存在亲爱的犯罪的效能
[01686.10-01686.90] 不存在
[01686.90-01687.46] 你看
[01687.46-01689.34] 根本都不存在犯罪对象
[01689.34-01690.98] 你别说你在那个沙漠当中
[01690.98-01692.22] 草道者人开枪了
[01692.22-01693.26] 你就会在沙漠当中
[01693.26-01694.26] 草石头开枪
[01694.26-01696.90] 你也没有办法造成亲爱的什么结果
[01696.90-01698.62] 这个时候由于你
[01698.62-01700.94] 亲爱的犯罪对象不存在
[01700.94-01703.26] 你的结果不能实现
[01703.26-01704.66] 但是由于对象不存在
[01704.66-01707.02] 又导致你的这个行为
[01707.02-01709.02] 不会造成任何的危害结果
[01709.02-01710.54] 也用说了犯罪是什么
[01710.54-01712.10] 主观和科官相同一样
[01712.10-01713.54] 你不仅要实施行为
[01713.54-01714.34] 你还要什么
[01714.34-01715.54] 有社会危害性
[01715.54-01716.66] 所以在这里你看
[01716.66-01719.48] 由于你的行为不具有一定的社会约还行
[01719.48-01723.30] 没有造成法律所不允许的理解
[01723.30-01725.94] 所以在这里面你也不够唱犯罪
[01725.94-01726.86] 这个就叫做什么
[01726.86-01727.78] 对象不能犯
[01727.78-01730.18] 包括我们之前在权利的时候
[01730.18-01731.70] 我看同学们讨论的一道题
[01731.70-01732.78] 其实也是一样的
[01732.78-01734.06] 说这个离谋
[01734.06-01735.46] 他想去杀死王猛
[01735.46-01736.90] 我大概记得很战
[01736.90-01738.30] 说离谋想去杀死猛猛
[01738.30-01739.54] 然后就去买了菜刀
[01739.54-01741.70] 然后就提着刀叫去杀死猛猛
[01741.70-01743.10] 然后结果再去
[01743.10-01744.30] 要实行犯罪的时候
[01744.30-01746.26] 他突然听说王猛怎么样
[01746.26-01746.98] 死了
[01746.98-01748.14] 那这种情况是像你看
[01748.14-01749.34] 他够过程放在
[01749.34-01750.46] 他不够成范子
[01750.46-01751.18] 为什么
[01751.18-01752.34] 因为在这个里面
[01752.34-01753.06] 我们说了
[01753.06-01753.94] 第一个
[01754.34-01755.62] 就是我们所提到的
[01755.62-01756.46] 他切害的对象
[01756.46-01757.58] 跟着你不存在
[01757.58-01759.66] 因为由于他的范子对象不存在
[01759.66-01761.82] 所以他根本不可能够成范子
[01761.82-01762.54] 明白了吧
[01762.54-01763.26] 所以在这里面
[01763.26-01763.86] 大家注意
[01763.86-01765.38] 这叫做对象不能范
[01765.38-01766.66] 第二种叫做什么不能范
[01766.66-01768.10] 就是手段不能范
[01768.10-01769.98] 就是你的这个手段
[01769.98-01771.54] 不会产生任何的危险
[01771.54-01772.94] 导致不可能范子
[01772.94-01774.10] 这个就叫做什么
[01774.10-01775.06] 手段不能范
[01775.06-01778.14] 就是你犯罪的手段不会产生危险
[01780.42-01783.00] 犯罪的手段不会产生危险
[01783.24-01785.54] 这个呢就叫做手段不能犯
[01785.82-01787.86] 你比如说我小了要杀死口袋
[01787.86-01790.16] 那我想要杀死我的钱带有狗带的话
[01790.42-01792.46] 我现在就不要去展前买菜刀了
[01792.46-01794.26] 因为场子已经给我开除了
[01794.26-01795.54] 我也没有地方可以赚钱了
[01795.54-01797.08] 而且我的意图还暴露了
[01797.34-01797.84] 这时候呢
[01798.36-01799.90] 想杀他也杀不成了
[01799.90-01800.92] 于是我就在想
[01801.18-01803.48] 如果说我不能亲自去实施的话
[01803.48-01805.28] 还可以有什么方法呢
[01805.28-01807.06] 然后我定经一想
[01807.06-01809.52] 还有很多方法比如说选学
[01809.52-01811.22] 于是我就去找大西儿
[01811.22-01812.70] 对吧 我就去找大西儿我就说
[01812.70-01813.72] 我这大西儿 你看
[01813.72-01815.00] 我有前面有照片
[01815.00-01816.74] 我就说我说看就是这个战呢
[01816.74-01818.84] 看到了吧 长得在没属演呢
[01818.84-01819.74] 一看就不是个好人
[01819.74-01820.96] 是我一看就这个战呢
[01820.96-01822.32] 他得罪了我 他副罗
[01822.32-01824.20] 他这个副警汉 我想着他死
[01824.20-01825.76] 然后那个大西儿说可以
[01825.76-01827.20] 我说半世多钱
[01827.20-01828.76] 大西儿跟我说半世一千
[01828.76-01830.20] 我说OK 没有问题
[01830.20-01832.28] 对吧 我就把我节悠的一千块钱
[01832.28-01833.60] 然后都转给了大小
[01833.60-01835.76] 我当日这一千都没舍的去满菜的话
[01835.76-01836.92] 然后就转给了大小
[01836.92-01837.92] 大一周说
[01837.92-01838.64] 说你行吗
[01838.64-01839.32] 你回去吧
[01839.32-01840.92] 回去把这个扶水
[01840.92-01842.76] 把这个这张扶回去收
[01842.76-01843.76] 收完了之后
[01843.76-01845.40] 然后给它放在水里脚一脚
[01845.40-01847.52] 然后到马上里冲走
[01847.52-01848.16] 然后就
[01848.16-01849.00] 你的钱呢
[01849.00-01849.92] 有就可以
[01849.92-01850.96] 就就那个意思了
[01850.96-01852.80] 就是没了
[01852.80-01855.00] 就这种就就办完了
[01855.00-01856.64] 然后我就回去按照
[01856.64-01858.36] 它的这个方法去做
[01858.36-01859.84] 结果按照它的方法去做
[01859.84-01860.80] 结果第二天
[01860.80-01862.36] 我的身边朋友跟我说
[01862.36-01863.08] 说你看
[01863.08-01864.00] 你听说了
[01864.00-01865.08] 我说听说什么
[01865.08-01865.92] 让你听说你的钱
[01865.92-01867.08] 他有狗大拙天晚上
[01867.08-01868.40] 因为喝多了一头
[01868.40-01870.40] 炸键的分尺里最后去吃了
[01870.40-01871.44] 然后我当初就想
[01871.44-01873.44] 我有天大小好神
[01873.44-01876.32] 这个时候经过调查之后发现了
[01876.32-01878.16] 他是一个意外事件
[01878.16-01879.68] 你看这种情况之下
[01879.68-01883.20] 我们会发现我听信大小的一系列的话
[01883.20-01884.96] 从而到知我们所说的
[01884.96-01886.84] 第二天狗大小的行为
[01886.84-01889.08] 他算算我够长的跪山人罪
[01889.08-01889.60] 不算
[01889.60-01890.08] 那是吗
[01890.08-01892.08] 因为这是明信范同行们
[01892.08-01894.68] 这是明信什么产生 祖州 玩 捏小点
[01894.68-01896.98] 打小点 他都属于什么 明信范
[01896.98-01900.58] 明信范是非常典型的一种手段不能范
[01900.58-01904.08] 因为这里面的明信无知的这种手段行为
[01904.08-01905.98] 它不可能造成实验结果的发生
[01905.98-01907.58] 受过主义国家的大主义
[01907.58-01911.08] 所以在这里手段不会产生任何的威胁
[01911.08-01913.58] 所以在这里我们把它称为叫手段不能范
[01913.58-01915.48] 最常见的是明信范
[01915.48-01917.48] 所以一旦出现这些大主义下
[01917.48-01919.28] 它也是范对结果不发生
[01919.28-01921.08] 但是它不夠成犯罪
[01921.08-01923.88] 而我們所說的犯罪未誰
[01923.88-01925.88] 和它根本就不是一會事
[01925.88-01927.48] 所以不要搞惠了
[01927.48-01928.08] 好不好
[01928.08-01929.88] 所以在這裡面大家注意一下
[01929.88-01931.88] 所以犯罪未誰一共三個考點
[01931.88-01934.28] 第一個 左手以後一直以外的因素
[01934.28-01936.88] 第二個 比照記者一番重清過減輕
[01936.88-01938.88] 第三一個就是要見完幾位違發聲
[01938.88-01940.88] 還一種狀態就是不能反
[01940.88-01942.68] 但是不能反是無罪的
[01942.68-01944.48] 它包括手段不能反一節
[01944.48-01945.48] 對象不能反
[01945.48-01946.08] 好
[01946.08-01948.08] 這是我們所說的犯罪未誰
[01948.08-01950.48] 第三個就到了犯罪 終止
[01950.48-01952.24] 犯罪終止我們前面說
[01952.24-01954.00] 他可能是預備階段的終止
[01954.00-01956.24] 也可能是實行階段的終止
[01956.24-01957.28] 但是都沒有關係
[01957.28-01960.32] 我們對犯罪終止一般不會化分階段
[01960.32-01962.72] 犯罪終止我們只把握住一個點就可以了
[01962.72-01963.92] 標準一下 圈一
[01963.92-01967.84] 就是在犯罪過程當中自動放棄犯罪
[01967.84-01970.96] 或者是自動有效組織犯罪結果發生的
[01971.92-01974.16] 後面或者是有效組織
[01974.16-01976.72] 自動有效組織犯罪結果發生的
[01976.72-01980.68] 我们这个时候叫做犯罪终止
[01980.68-01983.12] 所以成立犯罪终止大家注意下是什么
[01983.12-01984.32] 是你能做
[01984.32-01986.16] 但是你不想做了
[01986.16-01987.32] 这是你想要
[01987.32-01989.00] 就是你如果继续做下去
[01989.00-01991.96] 能够让犯罪结果继续发生
[01991.96-01992.56] 对不对
[01992.56-01996.72] 但是你自动放弃了犯罪结果的发生
[01996.72-01997.68] 这种情况之下
[01997.68-02000.56] 就叫做我们所说的犯罪终止
[02000.56-02002.48] 所以在这里大家明确
[02002.48-02005.88] 他经常就是我们所说的 能继续而放弃
[02005.88-02010.68] 就简单记 就是能继续
[02010.68-02012.24] 只要再用感一点
[02012.24-02013.96] 追求的番点节我就会发生
[02013.96-02015.28] 但是你只能放弃了
[02015.28-02017.68] 只要能继续而放弃
[02019.28-02021.48] 称这位叫做 终止
[02021.48-02022.48] 称这位叫的终止
[02022.48-02024.28] 所以在这里面大家一定要注意
[02024.28-02026.32] 就是它的前提就是它一定
[02026.32-02028.08] 还有继续犯罪的可能性
[02028.08-02029.88] 而且它如果做下去的话
[02029.88-02033.36] 他一定能追求到他的犯罪及我的发生
[02033.36-02036.00] 但是这个时候他主乌岸上不想做了
[02036.00-02037.44] 这有时候放弃
[02037.44-02040.20] 那我们就是所说的就做犯罪终止
[02040.20-02041.76] 犯罪终止这样的案例
[02041.76-02043.48] 在现身后当中有很多
[02043.48-02048.52] 不要常见比如说像我们在时间里当中经常会看到
[02048.52-02049.08] 看到什么呢
[02049.08-02052.92] 就是有一个经常看的
[02052.92-02055.68] 说是有一个那个巴豆车的那个司机
[02055.68-02057.80] 就是那个开修路的
[02057.80-02059.24] 是什么的那种巴豆车
[02059.24-02061.52] 然后有一个八斗车的这个司机
[02061.52-02063.58] 然后下班的时候
[02063.58-02066.42] 然后他就在那个路边看到了一个女孩子
[02066.42-02069.04] 看到了这个女孩子之后男人是从病人来看
[02069.04-02070.36] 真的非常的好看
[02070.36-02073.04] 然后呢他当时他就起了这个闲念
[02073.04-02075.16] 就是想把这个女孩子找了
[02075.16-02076.88] 就是带到一个荒屁的一个地方
[02076.88-02078.52] 然后实施这个犯罪
[02078.52-02080.22] 然后呢他当时的这个行为是什么
[02080.22-02081.84] 因为他开了是那种八斗机嘛
[02081.84-02083.04] 就是那种翻抖那个车
[02083.04-02085.56] 大家都知道那种小孩玩的那种
[02085.56-02086.84] 因为我们学了咱们的看着
[02086.84-02088.88] 他就以下就把那个女孩
[02088.88-02090.68] 出闪到了这个巴豆机里
[02090.68-02092.20] 然后闪到这巴豆机之后
[02092.20-02093.24] 这个女孩当中猛了
[02093.24-02094.24] 就不知道是怎么回事
[02094.24-02096.56] 然后这个巴豆机就开到了什么呢
[02096.56-02098.28] 就开到了我们所说的这个
[02098.28-02099.44] 激进无人的地方
[02099.44-02101.36] 然后他就把那个巴豆机放下来了
[02101.36-02102.84] 把巴豆机放下来之后
[02102.84-02105.84] 然后这个女孩就从那个巴豆机里面出来了
[02105.84-02107.20] 从巴豆机出来之后呢
[02107.20-02109.60] 这鞋子是谁开车能不承养
[02109.60-02110.76] 开在那一通罢
[02110.76-02113.20] 然后这个时候的司机也从事车上怎么样
[02113.20-02113.80] 下来了
[02113.80-02115.56] 然后这个女孩一般罢这一边回头
[02115.56-02117.04] 结婚一般罢一般回头的时候
[02117.04-02118.52] 这个司机他就看到了
[02118.52-02120.20] 是个女孩的这个正面
[02120.20-02122.60] 其实就没有那个背面那么好看
[02122.60-02125.48] 然后当时的女孩呢又狂骂着
[02125.48-02127.16] 闻他一骂的时候那个气失就上来了
[02127.16-02128.60] 又给这个司机下一跳
[02128.60-02129.48] 然后这个司机呢
[02129.48-02131.48] 这种情况这下就怎么放弃了
[02131.48-02134.32] 他原本想要强连这个女孩的他这个意图
[02134.32-02136.04] 然后就赶紧给人家到歧
[02136.04-02137.04] 然后就说还对不起啊
[02137.04-02138.00] 走路没看到怎么样
[02138.00-02139.64] 然后这个事情就结束了
[02139.64-02140.44] 那你看一下
[02140.44-02142.00] 在这个犯罪案件当中
[02142.00-02143.00] 同时来看一下
[02143.00-02144.32] 他想要实施的是什么
[02144.32-02146.04] 是强监罪对不对
[02146.04-02147.24] 他想要实施强监罪
[02147.24-02149.18] 而常常對的構成模型是什麼
[02149.18-02153.88] 是有暴力協破等手段壓制對方反抗
[02153.88-02155.60] 對方不能反抗
[02155.60-02158.04] 對不對 從而他達到了他的這種
[02158.04-02160.04] 我們所說的小追求犯罪結果的
[02160.04-02161.12] 這樣一個行為
[02161.12-02162.28] 在這裡面你看
[02162.28-02164.60] 他算算在已經開始左手了
[02164.60-02165.28] 注意一下
[02165.28-02167.64] 他把這個女孩產進了這個發動機之後
[02167.64-02169.04] 他算算已經左手了
[02169.04-02170.04] 已經算左手了
[02170.04-02171.68] 因為他已經開始進入到
[02171.68-02172.92] 實行犯罪計段了
[02172.92-02173.96] 大家注意一下
