[00000.00-00003.14] 好的 那我们了解了什么是形容主体之后呢
[00003.14-00005.80] 来看一下第四个问题就叫做形容行为
[01259.26-01261.82] 明白吧 就是他在行政处罚决定书上
[01261.82-01262.84] 他就会写
[01262.84-01268.02] 对吧 某某黏 某黏 某某黏 某越 某越 某日 某十某分
[01268.02-01270.20] 然后姓名 就是我 对吧
[01270.20-01273.60] 然后因什么事有 然后闯了红棟特茲发给多少钱
[01273.60-01276.92] 他形容出发决定 数上一定写的生物的名字
[01276.92-01279.36] 所以你看 他是不是针对特定的人
[01279.36-01280.88] 就是针对特定的我
[01280.88-01283.36] 因为我的什么事象 特定的事象
[01283.36-01284.72] 那这种情况之下
[01284.72-01286.20] 我就是因为闯红棟这件事
[01286.20-01287.68] 他给了我相当的形容出发
[01287.68-01289.44] 所以这个就是针对特定的人
[01289.44-01291.36] 特定的事情做出来的
[01291.36-01293.72] 那这种就叫做具体形状行为
[01293.72-01295.16] 所以它是有人名的
[01295.16-01296.84] 它如果有人名的话就意味着
[01296.84-01298.08] 它就用这一次
[01298.08-01299.40] 它就不能反复释用了
[01299.40-01301.36] 所以你看它针对特定对象
[01301.36-01302.56] 不能反复释用的
[01302.56-01304.76] 就叫做具体形状行为
[01304.76-01305.76] 叫具形状行为
[01305.76-01307.36] 所以这个点大家要注意一下
[01308.16-01310.04] 需要我们去掌握的
[01310.04-01312.52] 我们说了具体形状行为特别多
[01312.52-01314.68] 我们在后面会大家讲几类
[01314.68-01317.52] 比如说形状触发形状徐可形状强制
[01317.52-01319.92] 还会给大家讲形容确认等等这一系列
[01319.92-01323.52] 但是形正我们所说的具体形容形外
[01323.52-01324.92] 它不胜美举的
[01324.92-01326.92] 我没有办法主义去罗列
[01326.92-01329.32] 所以在这里面我们要重点掌握的是什么呢
[01329.32-01332.32] 我们要在这里面重点掌握的是如何去判断
[01332.32-01334.12] 它是不是具体形容形外
[01334.12-01336.32] 要判断它是不是具体形容形外
[01336.32-01340.72] 要根据具体形容形外的特性来判断打住一下
[01340.72-01342.92] 具体形容形外都有哪些特性呢
[01342.92-01344.72] 这几个特性打住一下
[01345.72-01347.32] 需要我们去掌握
[01347.52-01351.00] 这个特性其实很好地能够帮助我们去变息
[01351.00-01354.16] 我们除书上以外的具体形容行为之外
[01354.16-01355.92] 那些是哪些不是
[01358.24-01361.24] 他就可以帮我们去反向排除一些
[01361.24-01363.16] 那首先第一个我们来看一下
[01363.16-01365.32] 具体形容行为他首先第一个
[01365.32-01367.36] 他针对特定的人和特定的事
[01367.36-01369.08] 所以他的第一个特性就是什么像
[01369.08-01371.08] 就是他就有一定的特定性
[01371.08-01372.84] 那如果不具有特定性的
[01372.84-01374.48] 就不是具体形容行为了办
[01374.48-01375.48] 这个能理解吧
[01375.48-01379.06] 因为我们说了针对特定的人和事有人民人的这些菜算
[01379.06-01380.86] 那如果不是的话
[01380.86-01382.52] 如果不就特定性的话
[01382.52-01383.42] 那他就不具
[01383.42-01385.46] 他就不是具体行政行为
[01385.46-01388.02] 那他和他相区份就是哪一个点不是呢
[01388.80-01390.34] 可以反复使用的
[01390.34-01392.12] 不针对特定人和事的做什么
[01392.12-01393.14] 抽象行政行为
[01397.24-01399.04] 所以抽象行政行为
[01399.04-01400.82] 因为不具有什么性
[01400.82-01402.62] 因为不具有特定性
[01402.62-01405.18] 所以他不是具体行政行为
[01405.18-01406.90] 既然不是具体形成行为
[01406.90-01408.58] 能不能直接告
[01408.98-01411.22] 比如说我刚才告示政府出台观力办法
[01411.22-01411.84] 那个
[01411.84-01412.68] 告不了
[01412.68-01415.20] 没有办法告示制施政府出台观力办法
[01415.20-01415.98] 没法
[01415.98-01418.06] 因为它是抽象形成行为
[01418.06-01419.28] 没有办法直接告
[01419.28-01419.86] 没办法
[01419.86-01420.86] 所以这是第一个
[01420.86-01421.90] 它就有特性
[01421.90-01423.26] 这做特定性
[01423.26-01424.26] 大家注意一下
[01425.62-01426.80] 我把它标注出来
[01426.80-01427.82] 第一个叫特定性
[01427.82-01429.26] 这个时候你就分析
[01429.26-01430.58] 它是不是具体形成行为的
[01430.58-01432.26] 它就看它有没有人民
[01432.26-01434.06] 是不是针对的特定人很特定
[01434.06-01437.70] 是,大著想,這是第一個,他的特性叫特定性
[01437.70-01439.70] 第二個呢,這是你看他
[01439.70-01445.22] 針對特定的人和特定的事做出影響該形證權利人義務的
[01445.22-01446.42] 權利義務的什麼?
[01446.42-01448.42] 但想請問,這是他做了這件事情
[01448.42-01450.22] 比如說交警給我發的什麼?
[01450.22-01454.70] 跟我發的這個形證處發的這個單子讓我去攪拿法款
[01454.70-01456.86] 他是不是對我的權利務產生了影響?
[01456.86-01459.66] 他必然對我的權利務產生了影響
[01459.66-01461.38] 因為他影響到了我的什麼?
[01461.38-01462.26] 20块钱
[01462.26-01463.20] 所以在这里面
[01463.20-01463.90] 大家注意
[01463.90-01465.44] 我们所说的具体形容形为
[01465.44-01467.70] 它一定要在事实上
[01467.70-01471.74] 必然对当事人的权利一物产生影响
[01471.74-01473.02] 这个时候就意味着
[01473.02-01475.74] 如果对权利人的权利人的
[01475.74-01478.18] 叫当事人的权利一物产生影响的话
[01478.18-01479.22] 那就意味着
[01479.22-01480.62] 这里面的具体形容形为
[01480.62-01481.98] 它具有一定人什么像
[01481.98-01483.06] 处分性
[01483.06-01484.38] 这个处分性的就是
[01484.38-01487.26] 必然要影响到我的权利一物
[01487.26-01488.62] 那影响到我的权利一物
[01488.62-01489.58] 那就意味着什么
[01489.58-01490.70] 那就意味着
[01490.70-01493.22] 这种权力一无的实际影响
[01493.22-01494.28] 可能是有力的
[01494.28-01495.82] 也可能是无力的
[01495.82-01497.10] 但是不然不管怎么样
[01497.10-01499.34] 他都要求是必然
[01501.46-01502.18] 影响
[01503.82-01505.02] 当时人权力一无
[01509.66-01512.06] 必然要想到当时人的权力一无
[01512.06-01513.74] 那你说老师
[01513.74-01514.52] 他有什么用呢
[01514.52-01517.06] 他的用处在有可以帮我们反向去推
[01517.06-01518.98] 那些没有影响到
[01518.98-01520.98] 我们所说的当时的权力舞
[01520.98-01524.58] 我们最为常见的第一个叫做行政指导
[01525.78-01527.48] 行政指导大家注意一下
[01527.48-01528.98] 行政指导就是
[01528.98-01531.98] 我给你发发短些通知一下你
[01531.98-01533.68] 告诉你你应该怎么办
[01533.68-01536.48] 你要听就听不听就拉到
[01536.48-01537.68] 所以行政指导
[01537.68-01539.68] 它属于一种温柔的建议
[01539.68-01541.28] 它既然是建议你去
[01541.28-01542.88] 那你可以去也可以不去
[01542.88-01545.98] 它会会必然对你的权力舞产生的想
[01545.98-01546.68] 不会
[01546.68-01548.68] 所以在这里行政指导
[01548.68-01551.90] 因为没有办法必然对你的权力无产生影响
[01551.90-01553.90] 所以它是不是具体形狀行为
[01553.90-01554.90] 它不是
[01554.90-01556.86] 如果不是具体形狀行为的话
[01556.86-01558.12] 可不可以直接告
[01558.12-01559.22] 不可以
[01559.22-01559.60] 对吧
[01559.60-01560.20] 所以
[01560.20-01561.40] 形症指导
[01561.40-01563.22] 它不属于具体形狀行为
[01563.22-01564.58] 没有办法直接告
[01564.58-01566.92] 所以它不是形症诉讼的双方法为
[01566.92-01568.32] 后面的时候你就知道这个点
[01568.32-01570.00] 咱们应该反复却说了
[01570.00-01571.38] 这是形症指导
[01571.38-01574.06] 第二个就是形症条件
[01574.06-01579.86] 第二个就是行政条件
[01579.86-01581.16] 使用条件的比如说
[01581.16-01584.12] 咱们两个就土地成包问题发生了争议
[01584.12-01586.36] 土地成包问题发生争议的话
[01586.36-01588.06] 咱们两个可以自行和解
[01588.06-01590.46] 也可以申请相政府怎么样条件
[01590.46-01591.76] 相伙条件就说你看
[01591.76-01593.06] 一共就这一块地
[01593.06-01594.26] 你们两个商量一下
[01594.26-01595.26] 到底应该怎么分
[01595.26-01596.46] 昏你们两个商量一下
[01596.46-01598.06] 看一下这个地应该怎么办吧
[01598.06-01600.26] 你们两个好商量不要打招吗
[01600.26-01602.26] 那你看相众府过来条件我两
[01602.26-01604.46] 它是温柔的条件 还强制的条件
[01604.46-01605.66] 温柔的条件
[01605.66-01606.86] 温柔的条件
[01606.86-01608.46] 会为对我们俩的权利一物产生
[01608.46-01609.66] 是必然影响
[01609.66-01611.26] 不一定 还是一样的
[01611.26-01612.26] 它的条件
[01612.26-01614.26] 我俩想听就听
[01614.26-01615.46] 不想听就拉到
[01615.46-01616.66] 这个时候你看
[01616.66-01618.26] 它没有办法怎么办
[01618.26-01619.26] 没有办法
[01619.26-01621.26] 必然影响当成权利物
[01621.26-01623.86] 所以形正条件可不可以直接告
[01623.86-01624.66] 告不定
[01624.66-01626.90] 如果说这种条件相众
[01626.90-01629.26] 来条件在土地就分
[01629.26-01631.66] 条件完条件去住 土地就分没有解决
[01631.66-01633.14] 发言在这件道的更加了
[01633.14-01635.58] 我们一直诉讼把相众府告告法
[01635.58-01636.78] 也说调理个拼意
[01636.78-01637.06] 对吧
[01637.06-01638.26] 调理的是啥呀
[01638.26-01639.22] 我们都去告他
[01639.22-01639.78] 不行
[01639.78-01640.50] 因为这里面
[01640.50-01641.66] 人家只是调解
[01641.66-01643.42] 愿天就听不愿天就拉倒
[01643.42-01645.02] 所以在这里面怎么办
[01645.02-01647.54] 没有对他全力无产生必然的影响
[01647.54-01649.58] 所以他不属于具体形状性
[01649.58-01651.58] 先不属于具形状性为的话
[01651.58-01652.98] 不能直接告
[01652.98-01654.86] 所以大家注意一下
[01654.86-01656.38] 这是处分性
[01656.38-01657.46] 这处分性
[01657.46-01658.26] 那第三
[01658.26-01659.30] 在这里面
[01659.30-01660.58] 具体形状性
[01660.58-01661.78] 還有一些其他特性
[01661.78-01662.46] 比如說在這裡
[01662.46-01665.22] 進行人行為好具有一定的外部性
[01665.22-01666.54] 什麼叫外部性呢
[01666.54-01667.86] 外部性就意味著
[01667.86-01668.98] 具體形狀行為
[01668.98-01670.30] 它一定是對於什麼
[01670.30-01672.66] 形狀機關以外的人
[01672.66-01673.66] 產生影響
[01673.66-01675.82] 而不能是對形狀機關內部的人
[01675.82-01676.54] 產生影響
[01676.54-01677.46] 所以在這裡面
[01677.46-01680.34] 它一定是管理外部事務
[01680.34-01682.58] 一定是對外部對象做出的
[01687.70-01689.70] 一定是對外部對象做出的
[01689.70-01694.82] 那就意味着如果是来自于行政机关内部的
[01694.82-01697.10] 可不可以走行政诉讼
[01697.10-01699.26] 不可以走行政诉讼
[01699.26-01700.82] 明白了吧 比如说
[01700.82-01703.82] 我因为我入职了公园系统
[01703.82-01706.22] 但是最后我评知称什么的
[01706.22-01707.06] 我没过
[01707.06-01708.34] 这有时候评知称
[01708.34-01710.74] 我能取诉单位告他行政诉讼
[01710.74-01711.34] 不行
[01711.34-01712.82] 因为在这里我们说了
[01712.82-01715.50] 所谓的具体行政行为可以直接告
[01715.50-01717.30] 他必然是针对行政系统的
[01717.30-01718.98] 外部对象做出的
[01718.98-01719.82] 明白了吧
[01719.82-01721.02] 而不能针对的是什么
[01721.02-01723.58] 不能针对的是行政系统内部的
[01723.58-01724.98] 所以在这里比如说
[01724.98-01727.50] 你以后去成为公园当中的一个系统
[01727.50-01728.46] 给你机构
[01728.46-01729.50] 给你处分
[01729.50-01729.74] 对吧
[01729.74-01730.66] 给你警告
[01730.66-01732.06] 你这种情况之下你不满
[01732.06-01733.90] 能不能说把你的单类
[01733.90-01735.70] 把你所在的这个模糊局
[01735.70-01736.70] 告上法院
[01737.34-01739.10] 不能提起行政诉讼方法
[01739.10-01739.94] 你可以告他
[01739.94-01742.10] 但是只能不能走什么行政诉讼
[01742.10-01744.18] 因为行政诉讼针对具体行政行为
[01744.18-01746.42] 必须是针对外部对象做出的
[01746.42-01747.58] 如果是针对于你
[01747.58-01750.10] 即管内部的工作人员,那么不行
[01750.10-01752.70] 最后一个点就是具体形狀行为
[01752.70-01755.22] 它必须还就有一定的什么形症性
[01755.22-01756.74] 还就有一定的形狀性
[01756.74-01758.62] 这个比较长见
[01758.62-01761.50] 大家可以把这个形狀性后面化个小形形
[01761.50-01763.18] 形狀性的就要求
[01763.18-01766.78] 它必须是运用形症质权管理事物
[01769.66-01772.42] 就运用形症质权
[01772.42-01778.92] 它必须是要運用行政直權管理事務
[01778.92-01781.42] 行政行為
[01781.42-01785.42] 把這個行政直權話出來
[01785.42-01787.42] 也就是它必須是政府做出的
[01787.42-01789.42] 它如果是政治行為的話就不行了
[01789.42-01790.42] 明白了吧
[01790.42-01792.42] 所以你看同學們這個點是最為常靠的
[01792.42-01794.42] 判斷它是不是行政行為的
[01794.42-01796.42] 它必須是政府運用行政直權做出的
[01796.42-01799.42] 或行政主體運用行政直權來做出的
[01799.42-01802.22] 你看一下比如说国家行为可不可塑
[01805.50-01806.86] 国家行为可不可塑
[01807.42-01809.58] 比如说宣布战争
[01809.58-01811.74] 你看像我们所说的
[01811.98-01813.78] 现在国际局是动脑补案
[01813.78-01814.14] 对吧
[01814.14-01815.54] 现在国际局是动脑补案的
[01815.54-01817.54] 就是很多国家宣布参加到战争了
[01817.54-01818.62] 比如说李巴嫩
[01818.62-01819.94] 开始对那点宣战了
[01819.94-01821.18] 如果说李巴嫩
[01821.18-01822.62] 他参加宣战
[01822.62-01823.78] 或对待宣战的话
[01823.78-01824.50] 这个时候
[01824.50-01827.46] 李巴嫩的国民能不能把李巴嫩政府高上法院
[01827.46-01830.50] 他因为对待宣战影响到本国人民的利益
[01830.50-01831.42] 所以这个时候呢
[01831.42-01833.58] 我要去告他告行中诉讼
[01833.58-01834.38] 不行
[01834.38-01838.30] 因为这里面宣战停战的战争行为
[01838.30-01839.54] 外交行为
[01839.54-01840.78] 以及我们所说的
[01840.78-01843.90] 为了防止国家分裂所进行的总动员等等
[01843.90-01844.90] 这些都属于什么
[01844.90-01847.26] 国家行为或者叫做政治行为
[01847.26-01849.50] 政治行为这个政治上的事
[01849.50-01851.30] 咱们管不了
[01851.30-01851.58] 对吧
[01851.58-01853.10] 所以在这里面大家注意一下
[01853.10-01854.38] 这里面的国家行为
[01854.38-01856.98] 我们最为常见的就是外交行为
[01856.98-01859.18] 或者是戰爭行為等等
[01859.18-01860.22] 這些怎麼辦
[01860.22-01861.58] 這些是不可蘇的
[01861.58-01862.86] 你不可能直接去告
[01862.86-01864.30] 所以在這裡面大注意下
[01864.30-01865.58] 國家行為不可蘇
[01865.58-01867.18] 所以這是我們所說的
[01867.18-01867.94] 第一個
[01867.94-01869.46] 你看他叫運用行政之選
[01869.46-01872.10] 國家這個是屬於政治性和行政沒有關係
[01872.10-01873.30] 第二個就是什麼呢
[01873.30-01875.22] 第二個就是我們所提到的叫做
[01875.22-01877.38] 中才行為不可蘇
[01880.02-01882.38] 中才行為也不能走什麼
[01882.38-01885.06] 中才行為也不能走行政訴訟
[01885.06-01887.94] 因為你這個是和重裁資源的警局找重裁
[01887.94-01889.54] 你總是所說的這個
[01889.54-01890.90] 你相當的重裁條款
[01890.90-01891.86] 那這種情況之下
[01891.86-01894.06] 它也不屬於具體形容形為當中的
[01894.06-01896.26] 形狀訴訟的內容
[01896.26-01897.94] 那除了重裁形為這個還有什麼
[01897.94-01899.42] 還有形式司法形為
[01902.74-01904.14] 形式司法形為
[01904.14-01906.58] 比如說法院做出了一個什麼什麼事
[01906.58-01907.94] 你這個時候不符
[01907.94-01909.98] 你對法院做出來的事不符
[01909.98-01912.42] 能不能走形症訴訟去告他
[01912.42-01913.62] 也不行
[01913.62-01917.62] 因为形式司法行为他不属于具体形政行为
[01917.62-01918.92] 他不具有形政性
[01918.92-01921.52] 所以这有时候你要去高形式司法行为的话
[01921.52-01923.02] 不行 你可以走诉讼法呀
[01923.02-01925.22] 你可以走其他的这种程序法
[01925.22-01927.02] 你带你不能走形政诉讼
[01927.02-01929.52] 所以在这里你看形政行为
[01929.52-01933.52] 他必须符合就有特定性处分性外不性和形政性
[01933.52-01936.22] 而如果说他不具备这四个特性
[01936.22-01938.42] 他就不属于具体形政行为
[01938.42-01940.92] 那讲这个具体形政行为特性的目的
[01940.92-01942.82] 就是要给大家去讲清楚
[01942.82-01945.18] 如果我们出现了一个行为
[01945.18-01947.58] 你没有办法判断他是具体的出现
[01947.58-01949.74] 他不在我们讲的许可
[01949.74-01954.78] 抢质、处罚、行政协议等等这些犯理之内
[01954.78-01956.70] 他你不知道你没见过
[01956.70-01958.94] 那你要判断他是不是具形的行为
[01958.94-01961.30] 就要从这四个特性上去判断
[01961.30-01963.78] 而这四个特性当中的外部行和行政性
[01963.78-01965.86] 尤其是这个行政性搭住一样
[01965.86-01967.38] 所以到外交战争的
[01967.38-01968.86] 是得到行政司法的
[01969.70-01972.62] 这些都不是行政诉讼法能够调写的
[01972.62-01974.38] 所以在这里大家要明确
[01974.38-01976.02] 这是具体形容行为
[01976.02-01978.74] 现在在我们卸单位当中比较长考的
[01978.74-01980.30] 其实第一类考察方式
[01981.42-01982.34] 就是你就看
[01982.34-01983.38] 它是不是具形容行为
[01983.38-01985.82] 就看它是不是针对特定的人就行了
[01985.82-01987.66] 所以在这里面大家要注意一下
[01987.66-01989.54] 这是具体形容行为
[01989.54-01991.26] 所以在形容行为这一块
[01991.26-01992.54] 咱们就讲了两个点
[01992.54-01994.22] 第一个就形容行为的效率
[01994.22-01995.82] 考察喊一的对应
[01995.82-01996.86] 第一个公订阅里
[01996.86-01998.26] 公订阅里强造的就是什么
[01998.26-02000.58] 只要一经成立也推定合法有效
[02000.58-02002.02] 第二确定确定是指
[02002.02-02005.10] 内容确定,所以内容不得,谁依更盖。
[02005.10-02010.14] 第三个居数,居数就是约数,所以必须遵守服从,最后一个執行,
[02010.14-02014.14] 執行就是该旅行的意义,你不旅行就刻,强制執行。
[02014.14-02018.14] 这里面不太好组辞从自卖解释的就是供定力,第二个,
[02018.14-02025.06] 行政行为按照它是否反复使用和针对特定对象,分为抽象行政行为和具体行政行为。
[02025.06-02029.26] 抽象行政行为就是什么,就是行政立法行为。
[02029.26-02033.62] 国家机关他做了一个形容立法的这样一个事
[02033.62-02034.68] 比如说给大家讲的
[02034.68-02037.90] 某某市政府出台关于什么什么的实施办法
[02037.90-02038.38] 对吧
[02038.38-02039.90] 这个行为你不能去告他
[02039.90-02041.66] 所以他就做抽象行为
[02041.66-02045.62] 因为他针对的是社会上的大多数的社会问题
[02045.62-02046.92] 没有针对特定对象
[02046.92-02050.46] 而抽象行为最重要的特点就是他不能直接起诉
[02050.46-02051.62] 他可以负代审查
[02051.62-02052.74] 但不能直接起诉
[02052.74-02053.90] 抽象行为
[02053.90-02057.90] 和抽象行为相对应能另一个就是具体行政行为了
[02057.90-02061.48] 具体形狀形为是针对特定的相对人和特定的实际上
[02061.48-02062.76] 总叛呢是不是特定
[02062.76-02064.82] 就看他有没有人命就行了
[02064.82-02066.34] 有人命就是特定的
[02066.34-02070.18] 我们说了我们要一大家讲的具体形狀形为包括很多种类
[02070.18-02072.74] 如果不是一些种类当中我怎么去叛乱呢
[02072.74-02075.30] 就看他甚至具有特定性处分性
[02075.30-02076.84] 外部性和形症性
[02076.84-02079.14] 如果同时具备这色的特性
[02079.14-02081.20] 他就属于具体形狀形为
[02081.20-02084.00] 如果这色的特性当中的某一个不具备
[02084.00-02085.54] 他就不属于具体形狀形为
[02085.54-02090.02] 就不能直接提起行政法的訴訟
[02090.02-02091.66] 所以在這裡大家注意一下
[02091.66-02093.06] 這是行政行為
[02093.06-02096.78] 到這我們就把整個行政法的蓋數給他講完了
[02096.78-02097.94] 大家不要覺得說老師
[02097.94-02099.62] 你行政法蓋數講留點慢
[02099.62-02102.06] 這是因為越開始的時候
[02102.06-02103.90] 你就把一些基本原理吃透
[02103.90-02106.86] 你後面再去理解它的時候才會好理解
[02106.86-02108.34] 那在行政法蓋數當中
[02108.34-02109.66] 咱們一共講的四個問題
[02109.66-02111.34] 第一個叫行政法概念
[02111.34-02113.34] 第二個叫行政法原則
[02113.34-02117.54] 对吧,第3个就是关管民当中的关叫做行政主体
[02117.74-02120.90] 管民管社遗盗的就是行政行为
[02120.90-02124.14] 所以行政行为是整个行政法的核心
[02124.34-02126.34] 那首先基本概念不重要
[02126.34-02128.82] 我们在这就不再回忆,基本概念了
[02128.94-02132.82] 重点在行政法的基本原则,我们讲了6大类原则
[02132.98-02135.10] 这6大类原则当中还有几个里面
[02135.10-02136.22] 它是有相应的,是吗?
[02136.22-02137.22] 自原则的
[02137.22-02140.94] 所以我们在这原则当中,也大说了,它的框架非常重要
[02140.94-02144.02] 除了框亞重要之外,它是考察的網亡就是什麼
[02144.02-02145.82] 對應和理解型的題目
[02145.82-02148.46] 首先第一個叫做合法行政
[02148.46-02150.10] 換行政講的三條第一個
[02150.10-02151.58] 不得於法律相底處
[02151.58-02153.18] 那種必須要遵循法規
[02153.18-02155.38] 第二個規定的義務必須要做
[02155.38-02158.10] 第三個法務受權不得活動
[02158.10-02160.06] 所以在這裡不得進行法律收權
[02160.06-02161.90] 這叫合法行政
[02161.90-02164.50] 除了合法還有合理也合理
[02164.50-02165.50] 就是我們要覺得
[02165.50-02166.98] 它實施的這個行為
[02167.62-02168.94] 別太離譜對吧
[02168.94-02172.34] 所以在这里第一个我们强调叫做公平公正
[02172.34-02175.30] 公平公正就是同等平等原则
[02175.30-02177.50] 对吧平等原则当中咱们提到了
[02177.50-02179.14] 可以同能情况同能对待
[02179.14-02181.46] 也可以不同情况怎么样差别对待
[02181.46-02184.38] 所以这是我们所说的公平公正原则
[02184.38-02187.18] 尤其注意一下不同情况差别对待
[02187.18-02190.74] 老人运富玩儿同产阶人
[02190.74-02194.58] 对往会继续它相当的帮福照顾的特殊的政策
[02194.58-02196.90] 那它考虑的是什么 合理行政
[02196.90-02203.04] 那说了合理合理,我们必须只考虑一个因素,就是它一定要符合立法受权的目的
[02203.04-02206.12] 能不能考虑立法受权目的以外的,不行
[02206.12-02223.40] 那这时候我们说了,我们要使行政,行政行为符合立法受权的目的,那它就叫做考虑相关因素,那它也属于合理行政当中的一会,那在合理行政当中最重要的一个就叫做比例原则,比例原则有三个方面,比一个合目的符合什么目的
[02223.40-02224.68] 法律目的
[02224.68-02226.60] 第二个要是什么事当呢
[02226.60-02229.16] 受断要有助于目的的实现
[02229.16-02232.44] 第三个也是最常靠的照損害最小原则
[02232.44-02233.84] 有的是我们常说的
[02233.84-02235.44] 能用最清危的方式
[02235.44-02237.56] 就绝不用最严厉的方式
[02237.56-02240.18] 農队公民的权异监搓的最少
[02240.18-02242.06] 就对公民权异监搓最少
[02242.06-02243.92] 这个就叫做我们所说的
[02244.36-02246.30] 合理行政
[02246.30-02247.98] 除了合法合理之外
[02247.98-02249.94] 我们还讲到了程序政当
[02249.94-02251.32] 在程序政当门则当中
[02251.32-02253.56] 我们提到了第一个就做行政公开
[02253.56-02255.86] 一般指的是信息公开
[02255.86-02256.24] 对吧
[02256.24-02258.42] 行政公开信息公开当中
[02258.42-02260.12] 会不会我们所说的
[02260.12-02262.54] 他所有的信息都一律公开
[02262.54-02263.16] 不是
[02263.16-02264.18] 那公开当中的
[02264.18-02265.58] 可能国家秘密商与秘密个人
[02265.58-02267.28] 也是不公开的
[02267.28-02268.00] 把它注意下
[02268.00-02268.82] 那程序政策
[02268.82-02270.48] 还有要求公众参与
[02270.48-02271.76] 老百姓参与到
[02271.76-02272.66] 决定当中来
[02272.66-02273.62] 决定前
[02273.62-02274.88] 听去意见
[02274.88-02275.98] 决定中
[02275.98-02277.08] 听去身边
[02277.08-02278.70] 决定后说明
[02278.70-02280.38] 一不于采杆的理由
[02280.38-02281.22] 那最後一个呢
[02281.22-02282.38] 主持公务会必
[02282.38-02283.52] 这里面最长考的
[02283.52-02284.94] 新是前两个
[02284.94-02286.70] 这是程序政策
[02286.70-02287.76] 那除了程序政策
[02287.76-02289.20] 咱们提供销变名
[02289.20-02290.42] 高销和变名是两个
[02290.42-02290.96] 第一个
[02290.96-02292.48] 实销销率高销
[02292.48-02293.20] 变名
[02293.20-02294.12] 要的现有力
[02294.12-02296.04] 程时首先也是两个
[02296.04-02298.02] 第一個要成就意味著什麼
[02298.02-02299.24] 信息要真實
[02299.24-02300.50] 你的說真話
[02300.50-02302.02] 第二個就是信
[02302.02-02303.62] 因為你是國家權利局
[02303.62-02305.78] 老百姓對你會有存錢人的信任
[02305.78-02307.18] 所以老百姓對於
[02307.18-02309.18] 國家公權的局官會有什麼
[02309.18-02310.66] 會有信賴利益
[02310.66-02312.10] 但是你不能錯而反而
[02312.10-02313.06] 但不能和信你
[02313.06-02315.16] 你就招令戲感想怎麼而整碼
[02315.16-02316.46] 所以在這裡我們說了
[02316.46-02318.90] 要有信賴利益保護原則
[02318.90-02320.36] 限利益保護兩方面
[02320.36-02321.38] 這個點也總考
[02321.38-02321.84] 對吧
[02321.84-02323.44] 第一個非經法定是由
[02323.44-02324.74] 變經法定程序
[02324.74-02325.54] 不得蓋
[02325.54-02329.88] 如果一定要改的,那就于不常过赔承考察的系列电
[02330.92-02332.20] 什么情况下不常
[02332.70-02336.56] 合法不常,什么情况下赔承,卫法赔承这承手信
[02336.80-02341.66] 最后一个就是权责同意,有权并有责用权受监督
[02341.92-02345.00] 所以提到了权和责,权指的就是什么
[02345.26-02347.56] 权指的就是行政效能,责呢?
[02347.56-02350.88] 承担责任,比如说你主动赔承啊,主动进行
[02351.14-02353.20] 尽督啊,对吧,这个就叫做
[02353.70-02354.72] 行政责任
[02354.72-02359.30] 这里面如果最常靠同们注意一下合法合理以及城市首性
[02359.30-02361.26] 这是原则 原则
[02361.26-02364.08] 这个其实解决了形容法的一些基本问题
[02364.08-02366.92] 除了原则之外我们又提到了就形状主体
[02366.92-02368.28] 形状主体咱们提到了
[02368.28-02371.54] 包括国家形状机关和社会组织
[02371.54-02373.80] 国家形状机关咱们讲了一般机关
[02373.80-02376.08] 讲了专门机关讲了派出机关
[02376.08-02378.36] 社会组织咱们当时讲了
[02378.36-02382.00] 社会组织咱们讲的就是被受据组织和美脱织
[02382.00-02385.52] 那哪一个可以成为民购关当中的官呢
[02386.32-02387.88] 一定是被受选的组织
[02388.16-02389.64] 而我们说了形正主体
[02389.64-02391.24] 他是一个基本概念
[02391.24-02393.64] 和他相应的一些概念的大不了搞惠
[02394.00-02397.00] 形正机关不等于形正主体
[02397.00-02398.56] 也不等于形正法主体
[02398.56-02401.72] 他们就是要大圈炮小圈的关系
[02401.72-02402.80] 大家要注意一下
[02402.80-02404.08] 这是形正主体
[02404.08-02405.80] 形正主体可以进行分类
[02405.80-02408.88] 根据他的资格取得可以变成天生立治形了
[02408.88-02410.60] 就是直权形主体
[02410.60-02412.80] 還有一個就是受全形主體
[02412.80-02414.94] 那他其實就是剛才我們所說的
[02414.94-02419.40] 國家機關派出機關對於對受全形主體就是受全組織
[02419.40-02423.32] 而派出機關和派出機構是我一定差別的
[02423.32-02425.04] 派出機關是政府設立的
[02425.04-02426.92] 派出機構是不滿設立的
[02426.92-02428.68] 派出機關可以直接告
[02428.68-02431.36] 派出機構原則上不能直接告
[02431.36-02433.68] 所以也有例外比如說派出所
[02433.68-02434.04] 對吧
[02434.04-02436.04] 派出所原則上他是什麼
[02436.04-02439.16] 他是關舉的一個內設機構
[02439.16-02441.08] 也就是相当于官局的儿子
[02441.08-02442.82] 官局的儿子犯错了儿子
[02442.82-02444.34] 原则上一该早跌
[02444.34-02445.16] 应该早官局
[02445.16-02446.62] 你找不到派出所
[02446.62-02449.04] 但派出所如果实行的这个问题
[02449.04-02450.94] 是相当来所比较小的
[02450.94-02453.18] 比如说警告和五百亿下的法官
[02453.18-02455.12] 这时候可以直接告派出所
[02455.12-02455.96] 这个是什么
[02455.96-02456.68] 例外
[02456.68-02457.80] 这是行政主体
[02457.80-02460.08] 这是第三个
[02460.08-02462.24] 第四个问题就是刚才我们父席过的
