[00000.00-00005.44] 我们接下来看一下第四个案就是我们所说的这款合同
[01150.60-01151.88] 内容真的不多
[01151.88-01152.90] 那种真的不多
[01152.90-01153.68] 很少
[01153.68-01156.24] 所以咱们来做一个简单的处理和回顾
[01156.24-01158.80] 咱们来看一下咱们在整个境外合同当中说了
[01158.80-01161.48] 有商业借代和民间借代
[01161.48-01162.60] 在民间借代当中
[01162.60-01164.44] 我们比较常见的是企业之间
[01164.44-01166.84] 企业在人之间以及在人之间的
[01166.84-01167.36] 对吧
[01167.36-01170.60] 民间借代我们要从两个角度来看他
[01170.60-01171.24] 第一个呢
[01171.24-01173.04] 就是我们要考虑到民间借代的
[01173.04-01174.04] 第一个问题
[01174.04-01176.16] 就是民间借代的话
[01176.16-01177.40] 他属于什么呢
[01178.64-01179.28] 我呢
[01180.56-01181.92] 把它圈出来 好吧
[01181.92-01184.40] 我用不同的颜色来进行一个输离
[01184.40-01188.64] 民间借代当中,最关心的一个问题就是还款的问题
[01188.64-01192.66] 在民间借代还款的首要考虑,第1个还款的期限
[01192.66-01194.84] 但应该还记得还款的期限是什么?
[01194.84-01200.80] 还款的期限就是按照,约定,对吧,有约,从约5约的话怎么办
[01200.80-01206.60] 5约那这个时候随时要,可以随时请求反还,然后对方也可以随时还你钱
[01206.60-01209.24] 第2就是什么问题,第2就是利息
[01209.24-01212.06] 我们说了民间借代它其实强调是
[01212.06-01213.84] 在人之间企业之间
[01213.84-01216.16] 市场这些人之间它相互帮服
[01216.16-01217.70] 所以利息的话有约
[01217.70-01218.70] 从约
[01220.00-01221.28] 5约的话怎么办
[01221.28-01223.32] 5约就是为5约
[01223.32-01225.36] 5约就是为5约
[01225.36-01227.68] 如果说在这个利息当中
[01227.68-01228.94] 约定了一些
[01228.94-01231.00] 约定利息的话最高是4倍的什么
[01231.00-01233.04] LPR就是市场的
[01233.04-01235.86] 大款包建叫做代款的市场包建力率
[01235.86-01238.16] 对吧就是最高的是4倍
[01238.16-01239.80] 如果是四倍以内的核派有效
[01239.80-01240.96] 四倍以外的属于什么
[01240.96-01241.96] 就是一高利带了
[01241.96-01243.96] 这个时候可以要求它把超过的部分
[01243.96-01246.08] 作为不断得列反昣
[01246.08-01249.00] 立即可会预线扣除不能预线扣除
[01249.00-01251.64] 因为会伤害到谁的利益
[01251.64-01253.28] 因为会伤害到我们所说的
[01253.28-01255.40] 这个败款人的利益
[01255.40-01256.64] 这是我们所说的
[01256.64-01259.20] 有关于利息它的一个七线问题
[01259.20-01261.00] 我们讲完了七线之外
[01261.00-01263.20] 我们又讲到了看一下还有一个点
[01263.20-01265.24] 就是于七利息的问题
[01265.24-01265.92] 现在这
[01265.92-01281.30] 于七立西,我们就说于七立西,它怎么办,这个时候于七立西和借款的利息是不一样的,于七立西你可以约定,但是你只要分清楚它借款的利息不同就行了。
[01281.30-01282.94] 所以这时建款合同
[01282.94-01283.98] 说很简单
[01283.98-01285.66] 一共就这么一个小框架
[01285.66-01286.46] 就搞定了
[01286.46-01287.78] 所以相对来说比较简单
[01287.78-01288.34] OK
[01288.34-01290.26] 这个就是我们所说的这个
[01290.26-01291.30] 建款合同
