[00000.00-00004.60] 今天我们要进入到马斯主义哲学当中的微霧论的内容的学习
[01213.34-01215.52] 其實你在做物質這個題目的時候
[01215.52-01216.40] 問題就不大了
[01216.40-01217.52] 沒辦法
[01217.52-01218.24] 那麼說了
[01218.24-01221.36] 那既然物質就是客觀實在
[01221.36-01223.00] 只要符合這兩個條件
[01223.00-01224.24] 是不是就叫做物质
[01224.24-01228.24] 所以客观实在就在描述物质本身
[01228.24-01231.52] 所以我们得出来一个非常重要的
[01231.52-01233.52] 两星期的实际性的点
[01233.52-01234.88] 标注全三
[01234.88-01237.92] 这个就叫做物质的唯一客性
[01237.92-01239.96] 就叫做客观实在性
[01239.96-01242.24] 你在唯一客性下面在写上另外一个次
[01242.24-01244.48] 叫做本质储性
[01247.16-01248.80] 所以物质的唯一客性
[01248.80-01251.08] 只有物质才有客观实在
[01251.08-01253.16] 因为客玩时在就是物质的定义
[01253.16-01256.80] 所以在这里叫做唯一特行时客官实在行
[01256.80-01257.56] 第二个
[01257.56-01260.28] 既然客玩时在视频描述物质市什么
[01260.28-01263.16] 描述它是什么就叫做本质
[01263.16-01267.08] 所以在这里客玩时在行又叫做本质属性
[01267.08-01268.52] 所以这个点大家要注意
[01268.52-01270.36] 你说老师那它其实很简单
[01270.36-01271.48] 一下就备出了
[01271.48-01275.64] 那这里面的本质就是因为它其实是一个一混小的烤店
[01275.64-01284.54] 他一般情况之下,会和我们一回讲到的运动去进行对比考察。
[01284.54-01290.34] 所以在这里大家知道,所以知道物质的唯一特性或者本质属性就叫做客观实在性。
[01290.34-01300.54] 我们了解了物质的干净是什么,我们今天来看一道题目来看一下,我们一起来做,说马斯主席哲学官与物质的饭炒说法正确的事。
[01300.54-01303.54] A選項說物質是各種食物的總合
[01303.54-01304.38] 咱們前面說了
[01304.38-01306.66] 它是單獨的總合嗎?不是
[01306.66-01308.54] 而從各種食物背後
[01308.54-01311.26] 或者從各種所說的具體實行化背後
[01311.26-01313.46] 抽象出來的一些概念
[01313.46-01313.90] 對吧
[01313.90-01315.86] 所以它說是總合簡單的家族
[01315.86-01317.18] A選項只能錯了
[01317.18-01321.02] 畢選項說物質翻炒是從各種物的總合當中
[01321.02-01321.86] 抽象出來的
[01321.86-01324.74] 抽象出來一個具體的定義對吧
[01324.74-01326.86] 所以畢選項說法正確
[01326.86-01329.46] 所以選項物質的唯一特性是啥來稱
[01329.46-01335.78] 物質的唯一特性或是要本質屬性,就是它的概念叫客觀實在性
[01336.78-01338.66] 所以思想說法也錯了
[01338.66-01339.38] 第四個
[01339.38-01342.34] 說物質是自然界當中的具體形態嗎
[01342.34-01344.82] 物質就只能具體形態嗎
[01344.82-01348.30] 咱們說了剛才的具體形態比說到的人花草書目
[01348.30-01349.46] 它承認是物質
[01349.46-01352.38] 但是咱們也講到了很多比如說像慈喪
[01352.38-01354.94] 想生產力這樣的東西,這種無形的東西
[01354.94-01356.62] 它其實也是物質
[01356.62-01359.84] 所以他说就是自然接当中的聚情态不对
[01359.84-01362.78] 因为物质本身叫客观实在
[01362.78-01366.22] 所以他其实是在考察对于物质的理解
[01366.22-01369.42] 所以第一体宣则的是第2个
[01370.22-01373.82] 了解了物质之后我们就要进入到第2个概念的学校
[01373.82-01377.02] 那在第2个概念学习之前我们其实是要思考一个问题
[01377.02-01380.22] 大家来思考一下你所观测到的这个世界
[01380.22-01382.62] 他是不是每天都是一个样子的呢
[01382.62-01385.14] 那大家给到了答案 一定要是不是的
[01385.14-01387.34] 对吧虽然太陽每天都会东声吸落
[01387.34-01389.34] 但是我们过的每一天都不一样
[01389.34-01391.98] 对吧我们和身边的人来来往往的
[01391.98-01395.54] 去经济往我们有发现人其实本身有个发挥发生变化
[01395.54-01397.42] 人的情感可能会变得更淡
[01397.42-01399.10] 也可能会变得更濃厚
[01399.10-01400.78] 国家在整体的发展上
[01400.78-01403.98] 可能是像我们所说的以前经历了很多的苦难
[01403.98-01407.66] 但是在今天逐渐走向了国家的父亲和灰火
[01407.66-01412.22] 所以这个世界其实一直都是处在不断的变化当中的
[01412.22-01414.52] 而如果世界一旦不再發生變化
[01414.52-01417.26] 這個世界可能就將不付存在了
[01417.26-01419.66] 這個其實就是我們所提到的
[01419.66-01423.06] 第二個點就是我們所觀測到的這種物質世界
[01423.06-01425.66] 我們所觀察到的這種客觀實際情況
[01425.66-01428.54] 它是美食美克都在發生變化的
[01428.54-01429.82] 而這種變化
[01429.82-01433.14] 恰恰就是這種物質的存在方式
[01433.14-01434.70] 所以我們來看一下第二個點
[01434.70-01436.66] 叫物質的存在方式
[01436.66-01438.34] 物質的存在方式是什麼呢?
[01438.34-01441.70] 大家注意一下物質的存在方式是運動
[01441.70-01444.06] 那什么叫做运动来看一下
[01444.06-01446.42] 这个运动后我们日常生活当中所说的
[01446.42-01448.82] 出去打了球跳广场舞对吧
[01448.82-01449.90] 这都不太一样
[01449.90-01452.62] 他说运动是一切事务的变化
[01452.62-01454.18] 也是各种现象的变化
[01454.18-01456.34] 也之外是外无督处在什么当中
[01456.34-01457.62] 变化当中
[01457.62-01459.38] 所以运动的概念不重要
[01459.38-01461.54] 重要的是在运动的概念当中
[01461.54-01463.70] 抽象出一个打提的观念刺
[01463.70-01465.26] 也就是我们之前所说的
[01465.26-01467.02] 你要想要理解他
[01467.02-01468.46] 你就要实现二次转化
[01468.46-01470.90] 所以你就在这里闲爱的理解
[01470.90-01473.26] 運動就等同於變化
[01473.26-01475.66] 所以運動的打擊關鍵次就是變化
[01475.66-01477.22] 如果他們說這個東西
[01477.22-01478.58] 它沒有發生運動
[01479.58-01482.02] 你就看它有沒有發生變化就可以了
[01482.02-01485.66] 所以在這裡大家知道運動就是一種變化
[01485.66-01486.78] 運動就有種變化
[01486.78-01489.54] 在這裡面這是第一個小同學的
[01489.54-01492.22] 第二個我們剛才說過了
[01492.22-01492.58] 我們說了
[01492.58-01495.70] 青萬十萬五都處在變化當中
[01495.70-01497.02] 這個世界唯一的不願
[01497.02-01498.86] 就是事務處在變化裡面
[01498.86-01502.68] 所以在这里,我们就得出来了一个结论,这个点大注意下
[01502.68-01510.26] 它就是刚才,我们在讲物质特性当中对应的一回小点,把这个在这里标注圈一标注两星
[01510.26-01514.24] 说运动是物质的根本属性和顾油属性
[01514.24-01520.30] 啥意思呢?我们刚才说了任何事务都处在变化当中,这种变化是事务从
[01520.30-01523.30] 又有那顆開始就與生具來的
[01523.30-01525.30] 所以它是15本身所自帶的
[01525.30-01529.30] 叫做固有屬性和根本屬性
[01529.30-01531.30] 那麼說了如果這個物質不發生變化
[01531.30-01533.30] 它可能就會停滯了
[01533.30-01535.30] 你說老師這怎麼理解呢
[01535.30-01537.30] 比如說當一個種子
[01537.30-01538.30] 重在土壤裡的時候
[01538.30-01540.30] 它如果依舊是種子
[01540.30-01542.30] 這個種子其實就是活不成了
[01542.30-01543.30] 它長出來
[01543.30-01544.30] 我們所說的麥描
[01544.30-01546.30] 長出來叉天大樹
[01546.30-01548.30] 所以你看一旦事務停滯變化
[01548.30-01550.30] 他其实就一个人走向灭亡了
[01550.30-01551.80] 你比如说做一个人影响
[01551.80-01553.30] 我说我想要实现用声
[01553.30-01555.30] 如果永远停留在现在这一刻
[01555.30-01556.30] 要么我是怪物
[01556.30-01558.80] 要么就是生命结束在这一刻了
[01558.80-01560.80] 所以如果一个事务不发生变化
[01560.80-01563.30] 就意味着他已经停止不险
[01563.30-01565.30] 或者是意味着消亡了
[01565.30-01567.80] 所以事务想要存在必须发生变化
[01567.80-01569.80] 所以在这里我们说了
[01569.80-01573.30] 叫做运动是物质的存在方式
[01573.30-01576.80] 而这里面的一会小考虑是很容易版
[01576.80-01585.06] 这种根本属性顾有属性和刚才我们讲到的唯一特性和本质属性 搞混
[01585.06-01589.74] 物质的唯一特性本质属性叫做客观实在性
[01591.74-01594.46] 所以要把这两个去分开
[01594.46-01598.06] 这个就叫做我们所说的运动 这种我们所说运动
[01598.06-01603.16] 既然是运动是事务的存在方式 或者是叫物质的存在方式
[01603.16-01606.24] 接下来我们要做的就是要去探讨一下
[01606.24-01611.72] 我们所说的这个物质和运动之间到底有什么样的关系
[01611.72-01614.16] 我们首先来看一下在这里他给到了
[01614.16-01618.72] 人家说物质是处在变化当中的物质变化
[01618.72-01620.36] 它是有各种各样的形式的
[01620.36-01623.80] 在这里面他就给到了物质变化的基本形式
[01623.80-01626.92] 这个点了解机梗不需要同学去备送
[01626.92-01629.08] 在这里他说包括机信运动
[01629.08-01633.24] 咱们昨天讲过叫做位置变化简单的位移
[01633.24-01636.90] 第二个物理运动 长见的分子运动 对吧
[01636.90-01639.12] 夏天有人判相选 也从他旁边走过
[01639.12-01642.00] 我觉得相企也习人很相爱 对吧
[01642.00-01643.36] 那这个就要物理运动
[01643.36-01644.84] 又或者我们常说的
[01644.84-01646.72] 化学运动 就是化学变化
[01646.72-01648.72] 比如说压力大的时候
[01648.72-01651.16] 你目于分析点个相选 对吧
[01651.16-01654.04] 又或者很多人压力大的时候出去抽个烟
[01654.04-01656.84] 就像我们之前在科技场上的那种考卫到题目
[01656.84-01658.60] 说家里没其洁漏的怎么办
[01658.60-01660.00] 点个烟冷静一下
[01660.00-01663.28] 那他典阳的那一刻发生的就是化学变化
[01663.48-01665.44] 又或者叫做生物运动
[01665.44-01668.40] 生物运动本身就是生命变化
[01669.40-01671.00] 人的生命周期在变化
[01671.00-01671.44] 对吧
[01671.44-01673.96] 我从小时候出生一直到我长大
[01673.96-01676.00] 所以因为生命在变化
[01676.00-01678.12] 身体在不断的发生心臣戴气
[01678.28-01680.52] 所以我们经常会给大家说一句话
[01680.52-01681.60] 你所拥有的
[01681.60-01683.64] 当下的每一天都是你拥有的
[01683.64-01684.84] 最年轻的一天
[01684.84-01688.32] 所以过去和未来都是两个不可控的概念
[01688.32-01689.72] 能够把握的只有当下
[01689.72-01690.24] 对吧
[01690.24-01692.60] 所以在这里这叫做生物运动
[01692.60-01694.20] 会叫生命运动
[01694.20-01696.76] 那最后一个呢就叫做社会运动
[01696.76-01698.36] 那所谓的社会运动呢
[01698.36-01700.04] 就是社会的根点
[01700.04-01702.64] 从原始社会到努力社会
[01702.64-01703.68] 到封建社会
[01703.68-01705.04] 再到自本主义社会
[01705.04-01705.96] 社会主义社会
[01705.96-01707.52] 最后用实现共产主义
[01707.52-01710.08] 这是更加高级的一种运动形式
[01710.08-01711.92] 是人类社会的根点
[01711.92-01715.12] 所以在这里明确了
[01715.12-01716.08] 物质运动
[01716.08-01718.04] 他不担当只要一种形式
[01718.04-01720.04] 而是多种多样的
[01720.04-01722.04] 这是第二个我们要去了解的
[01722.04-01724.44] 叫做物质运动基本形势
[01724.44-01726.64] 既然物质和运动分不开
[01726.64-01727.84] 我们就来看一下
[01727.84-01730.64] 物质和运动的具体关系应该怎么办
[01730.64-01732.64] 这个点同能标注两星
[01732.64-01734.24] 这个点我给大家说一下
[01734.24-01735.84] 考理解形的题目
[01735.84-01738.64] 居多他很少会考实体形的题目
[01738.64-01740.24] 这里在考理形的题目的时候
[01740.24-01741.24] 两种考察方式
[01741.24-01743.24] 第一个综合考察判断
[01744.84-01745.84] 综合跑转判断
[01745.84-01747.24] 就是说让你去
[01747.24-01751.84] 变形以下关于物质运动关系说法正确的是
[01753.84-01755.04] 这个时候大家注意一下
[01755.04-01756.24] 虽然数上有两句话
[01756.24-01757.84] 但它不一定出原文
[01760.64-01761.64] 不一定
[01763.44-01764.84] 出原文
[01765.44-01768.24] 也说会把这两句话给你变成各种各样的翻译
[01768.24-01770.44] 你需要的是理解这两句话
[01770.44-01771.64] 而不是去背松
[01771.64-01773.64] 所以这第一种第二种考案力
[01773.64-01777.12] 给你干案例
[01777.12-01779.78] 然后在这里面从案例当中去切入
[01779.78-01781.00] 让你去变息
[01781.00-01783.40] 我们所说的不同的运动观点
[01787.40-01789.24] 比如说他考卫到体
[01789.24-01792.20] 说不是封动不是翻动人者心动
[01792.20-01793.76] 那他这里面是个列了
[01793.76-01795.40] 谁和谁之间的关系呢
[01795.40-01796.72] 同学就想不是封动
[01796.72-01798.08] 不是翻动人者心动
[01798.08-01800.20] 想半天只得出一个微信主意
[01800.20-01802.48] 但是他是个列了谁和谁之间的关系
[01802.48-01804.48] 只看到了12名看到是
[01804.48-01806.24] 你只有时候如果不理解的话
[01806.24-01807.28] 做不出来的
[01807.28-01808.64] 这个点大家注意一下
[01808.64-01809.52] 非常重要
[01809.52-01811.12] 因为它是一个理解上的
[01811.12-01814.12] 难点和考试当中的一个长好点
[01814.12-01816.24] 我们来看一下他们之间的关系
[01816.24-01817.20] 他们之间的关系
[01817.20-01818.48] 它给了两句话
[01818.48-01820.80] 叫做物质是运动的物质
[01820.80-01822.32] 运动是物质的
[01822.32-01822.80] 运动
[01822.80-01824.08] 你感觉这两句话
[01824.08-01824.56] 这两句话
[01824.56-01825.12] 都是一样
[01825.12-01826.32] 感觉没啥区别
[01826.32-01827.84] 那小深刻理解这样
[01827.84-01829.28] 就画咱们要拆了它
[01830.56-01832.24] 要有一种黑时奇的精神
[01832.24-01850.64] 好,来,来,来,拿庆的笔写下,第一话呢,他说物质是运动的物质,是不是有两个物质,在这一话里,把后面这个物质拿掉。
[01850.64-01854.64] 那这就话就变成了,物质是运动的。
[01854.64-01859.00] 其實這句話在強調物質是處在什麼當中的運動
[01859.00-01863.04] 同一門兩個字物質是處在變化當中的
[01863.04-01865.64] 所以在這裡面強調誰
[01865.64-01868.84] 物質是運動的強調的物質還是強調的運動
[01868.84-01870.00] 強調的運動
[01870.00-01874.04] 所以它本身是在強調運動
[01874.04-01875.44] 你先搞清楚這個
[01875.44-01877.24] 這句話本身是在強調運動
[01877.24-01879.64] 那我們來看一下怎麼去解析這句話呢
[01879.64-01881.44] 他說物質是運動的
[01881.44-01884.00] 咱们说了运动就是变化的
[01884.00-01885.32] 那翻译过来强调就是
[01885.32-01888.36] 物质就是处在变化当中的
[01888.36-01890.24] 那物质间处在变化当中
[01890.24-01892.44] 是不是没有不变的东西
[01892.44-01893.28] 所以在这里面
[01893.28-01893.92] 我都出来的
[01893.92-01898.84] 第一个点就叫做运动是物质的
[01900.52-01903.64] 顾由首性根本属性和存在方式
[01904.36-01906.08] 从这里也可以退出来
[01906.52-01909.48] 顾由首性根本属性存在方式
[01909.48-01910.44] 我在这里就不写了
[01910.44-01912.20] 好吧因为它和前面是一样的
[01912.20-01913.48] 这都出来的第一个点
[01913.48-01914.12] 第二个
[01914.12-01916.36] 既然运动或者说是变化
[01916.36-01919.08] 是物质的顾油属性跟本手性存在方式
[01919.08-01921.20] 就因为从它出生开始
[01921.20-01922.08] 它就有
[01922.08-01924.96] 而且一定会处在不停的变化当中
[01924.96-01927.36] 所以我们才说了运动是怎么样的呢
[01927.36-01930.32] 叫运动是无条件的
[01933.12-01933.92] 不需要条件
[01933.92-01934.96] 因为是顾有的
[01934.96-01936.64] 第二个用恒的
[01937.48-01939.76] 外示範无处在变化当中
[01939.76-01940.76] 绝对的
[01942.96-01945.56] 所以在这里,这是我们多出来的一个结论
[01945.56-01947.32] 就是看物质是运动的
[01947.32-01950.00] 强调物质处在变化当中
[01950.00-01951.44] 建物质处在变化当中
[01951.44-01954.16] 那这种变化就是无条件的用行的
[01954.16-01954.96] 绝对的
[01954.96-01957.00] 那大家注意一下,这是我们在这里
[01957.00-01960.16] 都出来的第一个点,第一个点,大家要明确
[01960.16-01963.04] 第二个点,就在这,咱们再去进一步分析
[01963.04-01964.40] 同一们考虑一下
[01964.40-01966.88] 说物质是处在变化当中的
[01966.88-01967.28] 对吧
[01967.28-01969.50] 那如果現在物質不變
[01969.50-01970.80] 會怎麼樣呢
[01970.80-01971.40] 咱們前面講
[01971.40-01973.20] 我說老師物質不變物質沒了
[01973.20-01973.72] 忙了
[01973.72-01974.08] 對吧
[01974.08-01975.32] 就到這回憶了
[01975.32-01976.68] 那既然物質不變
[01976.68-01978.08] 那我們換列一個角度來想
[01978.08-01979.20] 物質如果不變的話
[01979.20-01981.20] 它其實就是處在了什麼當中
[01981.20-01982.24] 精指當中
[01982.24-01983.72] 所以如果現在是
[01983.72-01984.96] 抛開了
[01985.96-01986.76] 運動
[01988.48-01989.48] 不談運動了
[01989.72-01991.04] 只抛開運動談什麼呢
[01991.04-01992.52] 談物質 只談物質
[01992.52-01994.48] 那這時候會現入到什麼當中
[01994.48-01997.96] 同时说,偷开运动,是事无不发生变化了。
[01997.96-01999.68] 事无不发生变化就咋了,
[01999.68-02002.60] 事无不发生变化就精指了,
[02002.60-02005.24] 一旦进入到精指就进入到了啥,
[02005.24-02006.20] 咱们前面讲的,
[02006.20-02010.68] 鼓勵骗骗精指就进入到了行尔上学当中。
[02012.68-02014.44] 所以他经常会考到一句话,
[02014.44-02015.20] 说叫,
[02015.20-02020.84] 偷开运动谈误指会陷入到行尔上学当中,
[02020.84-02022.12] 然后问,这句话说,
[02022.12-02022.96] 对不对啊
[02022.96-02024.52] 有很多同学在那个地方
[02024.52-02026.28] 还有白着手指头
[02026.28-02027.16] 抠着手指盖
[02027.16-02028.36] 对了好着头发
[02028.36-02029.96] 也理解不了这句话什么意思
[02029.96-02034.36] 这句话他本身就是从物指是运动的这句话
[02034.36-02035.40] 眼神出来的
[02035.40-02037.08] 物指是屠在变化当中的
[02037.08-02037.80] 你就推啊
[02037.80-02039.20] 那如果物指不变
[02039.20-02041.00] 那就是不谈运动啊
[02041.00-02042.44] 不谈运动你谈物指
[02042.44-02045.00] 那和不变对应的就只剩下禁止了
[02045.00-02046.32] 一旦禁物到禁止
[02046.32-02048.88] 就进入到了12上学当中
[02048.88-02049.88] 所以在这里面
[02049.88-02051.84] 咱们是否回后了前面的考虑
[02051.84-02053.24] 我說的喜歡上學性
[02053.24-02055.80] 他容易結合運動來考察我們
[02055.80-02057.40] 所以在這裡大家注意一下
[02057.40-02061.20] 這是物指是運動的物質當中的低句話
[02061.20-02062.48] 如果大家聽懂的話
[02062.48-02064.08] 一定要記得在單不當中
[02064.08-02065.56] 扣一個1
[02065.56-02066.28] 我這樣的話呢
[02066.28-02069.24] 也可能在後面觀察大家學習的時候
[02069.24-02073.16] 明白或者理解大家在某個地方掌握到什麼程度
[02073.16-02074.52] 這是低句話
[02074.52-02075.80] 不可以不
[02075.80-02076.48] 聽懂嗎
[02076.48-02077.52] 聽懂整整
[02077.52-02080.16] 這是第一個叫物指是運動的
[02080.16-02082.60] 第二句话是想的,来接着才分
[02082.60-02085.56] 第二句话是说,运动是
[02086.56-02088.48] 我不写了,有写字比较慢
[02088.48-02090.76] 在这里,他说有这个平板
[02090.76-02094.28] 叫做运动是物质的运动
[02095.76-02099.24] 一样的,在这里面出现了几个运动,出现了两个运动
[02099.24-02101.64] 出现了两运动,把第二个运动滑掉
[02101.64-02107.12] 这句话就变成了,运动是谁的运动是物质的
[02107.12-02111.16] 明白了,这里面墙掉是谁在发生变化?
[02111.16-02115.88] 墙掉的是运动自身,还是墙掉的是物质在发生变化
[02115.88-02119.16] 那很明显,在这里墙掉的是物质
[02122.24-02124.76] 这里面墙掉的是物质
[02124.76-02128.32] 那今天墙掉物质,我们也可以得出两个结论
[02128.32-02132.64] 第一个运动,或者是同一们觉得变化都行
[02132.64-02134.96] 如果说运动是物质的
[02134.96-02136.72] 也是说白了运动是物质再动
[02136.72-02140.36] 那就意味着物质是运动的主体和承担者
[02141.76-02143.16] 也就是这种变化
[02143.48-02147.08] 一定在本之上是物质在反正变化
[02147.08-02152.60] 所以它在这里墙掉物质是主体是运动的承担者
[02154.76-02155.72] 这是第一个点
[02155.72-02156.92] 大家一定要明确
[02156.92-02158.00] 也就是墙到这种变化
[02158.00-02159.32] 它墙掉是物质在变
[02159.32-02160.44] 那就是说白了物质
[02160.44-02161.48] 地位很重要百
[02161.48-02164.48] 那就墙掉了物质是主体是承担者
[02164.48-02168.48] 如果现在我单独指谈运动
[02168.48-02169.48] 而不谈悟之呢
[02169.48-02171.48] 换句话说呢就在这里出现了一种情况
[02171.48-02173.48] 叫做抛开
[02174.48-02177.48] 我们所说的悟止谈运动
[02180.48-02183.48] 抛开悟止谈运动会怎么样呢
[02183.48-02184.48] 大家想象
[02184.48-02187.48] 这个世界上我们在讲哲学的本人的时候
[02187.48-02189.48] 我们其实一共就讲到了两个点
[02189.48-02190.48] 大家还记得吧
[02190.48-02193.94] 所以这个世界的本源要么是物质 要么是意识
[02193.94-02196.74] 马斯主义是兼信世界的本源是物质的
[02196.74-02199.44] 所以我们认为物质是世界的本源
[02199.44-02202.24] 一切变化 本质上都是物质在变化
[02202.24-02204.84] 那如果现在不是物质在变
[02204.84-02206.80] 而是意识在变的
[02206.80-02208.68] 那这种情况之下就叫做抛开什么
[02208.68-02211.84] 就叫做抛开物质谈运动
[02211.84-02213.00] 你只谈运动啊
[02213.00-02214.32] 但你抛开物质谈运动
[02214.32-02216.08] 这个世界上一共就两个东西
[02216.08-02218.64] 你不谈物质就只能谈什么意识了
[02218.64-02220.52] 而你一旦谈意识
[02220.52-02223.40] 这时候世界不是物质在动
[02223.40-02224.56] 而是意识在动
[02224.56-02225.84] 强调意识的作用
[02225.84-02227.92] 这时候就会线入到什么当中
[02227.92-02231.04] 这时候就会线入到微心主义当中
[02233.44-02234.88] 比如说我们提到的
[02234.88-02236.84] 叫做不是封动
[02236.84-02239.36] 不是翻动、忍者、心动
[02239.36-02240.84] 不是封在变
[02240.84-02242.00] 不是翻在变
[02242.00-02243.44] 是人的心在变
[02243.44-02245.32] 强调、心变
[02245.32-02246.52] 强调、心
[02246.52-02248.00] 你看强调变化
[02248.00-02249.16] 但是意識的變化
[02249.16-02250.56] 那就現無道了什麼當裝
[02250.56-02252.92] 就現無道了微心主義當中
[02252.92-02254.52] 所以在這打住一下
[02254.52-02257.24] 他在理解上是有一定的難度的
[02257.24-02260.56] 但在考試過程當中只要把握住這兩句話
[02260.56-02262.08] 本身他在強調什麼
[02262.08-02263.24] 你想要用對考試
[02263.24-02265.40] 其實是一點難度都沒有的
[02265.40-02266.36] 所以大家在這
[02266.36-02267.72] 一定要反冷服服的
[02267.72-02270.64] 回去把他在進行一個書裡
[02270.64-02273.40] 你就是按照我剛才教大家的這個邏輯
[02273.40-02274.76] 從頭照下去分析
[02274.76-02276.76] 所以這個第二層聽到美
[02276.76-02279.32] 听众用徐教的话来说,听众长声
[02279.58-02283.16] 那这是误指和运动之间关系到这,咱们就解释了
[02283.42-02288.02] 说完误指和运动其实只讲到了一混小关系当中的第一段
[02288.02-02291.60] 这里面我们还要在进一步去谈谈另外一个概念
[02291.60-02292.90] 另外一个概念是啥呢?
[02292.90-02293.92] 咱们刚才说了
[02293.92-02297.50] 这个世界上的事我一直处在变化当中
[02297.50-02299.54] 那这里面就可能会出现一个问题
[02299.54-02305.70] 如果这个事物处在高频的变化当中,你想要去认知这个事物就很难
[02305.70-02307.70] 我就以我为了要实现遇到一个事
[02307.70-02308.90] 我之前遇到一个朋友
[02308.90-02310.50] 我那一号一年没电了
[02310.50-02310.90] 没电了
[02310.90-02311.50] 他说呀
[02311.50-02312.50] 这年没电
[02312.50-02314.30] 你变得和之前不一样了
[02314.30-02315.50] 我说早不一样了
[02315.50-02316.50] 我想说话我
[02316.50-02317.50] 他说你白了
[02317.50-02318.10] 我说呀
[02318.10-02320.30] 这些每一天也不出门导致的
[02320.30-02320.70] 他说呀
[02320.70-02322.30] 我就说怎么好看了呢
[02322.30-02323.70] 一百车白丑
[02323.70-02325.70] 我当时打董的都动
[02325.70-02327.90] 把特对对对打菜屏幕上
[02327.90-02330.30] 所以你看从我俩刚才这支对话里面
[02330.30-02331.30] 其实能够看得出来
[02331.30-02334.30] 他说我发生了变化
[02334.30-02336.30] 那我的這種變化對他來說
[02336.30-02338.50] 他其實有一個感官上的一個差異
[02338.50-02340.50] 那他如何很量這種變化呢
[02340.50-02342.50] 他怎麼知道我和以前變得不一樣了呢
[02342.50-02344.70] 他才知道我比以前更白了呢
[02344.70-02347.30] 就是因為他其實在這個過程當中是有一個什麼
[02347.30-02348.50] 參照在的
[02348.50-02350.30] 他有一個過去對於我的印象
[02350.30-02351.90] 又有一個現在對我的印象
[02351.90-02356.30] 所以兩個方向一塊對比他就知道我是處在變化當中的
[02356.30-02358.50] 這其實給我們提了一個想什麼想的
[02358.50-02359.90] 我們就很量一個事務
[02359.90-02361.70] 他有沒有發生變化
[02361.70-02364.52] 他必须要有一个很良的标准
[02364.52-02367.18] 而家的这个很良和参照就是什么呢
[02367.18-02369.10] 就叫做禁止
[02369.10-02371.24] 所以在这里我们来看一下第四个点
[02371.24-02373.12] 叫运动和禁止的关系
[02373.12-02375.38] 有很多同学在去学习这个地方的时候
[02375.38-02377.50] 就很容易把物质和运动
[02377.50-02379.62] 把运动和禁止搞混
[02379.62-02382.66] 物质和运动是强调物质和运动之间的这种
[02382.66-02385.22] 而运动和禁止说的是谁
[02385.22-02386.92] 其实本身说的是运动
[02386.92-02388.82] 所以在这里
[02388.82-02390.34] 它结是两个概念
[02390.34-02391.42] 大家注意一下
[02391.42-02396.98] 我们来看一下既然要橫凉变化又有一变化加一个参照、加一个概念
[02396.98-02401.38] 我们就来看一下它所说的参照概念,静止到底是怎么回事
[02401.38-02402.38] 我们来看一下
[02402.38-02407.66] 它是静止,是指物质运动在一定条件下的稳定状态
[02407.66-02412.42] 在这里后面说包括空间的相对位置和事务的根本性质
[02412.42-02415.46] 在视微变这两种特殊的运动形态
[02415.46-02417.46] 这个是我们所说的静止
[02417.46-02419.90] 你说老师这有一点通向不处想
[02419.90-02421.22] 咱们来体验一下
[02421.22-02422.66] 我們來看一下鏡子是什麼
[02422.66-02425.70] 他說鏡子本身有兩人情況
[02425.70-02429.02] 第一個就是空間位置相對普遍
[02429.02-02430.70] 什麼叫空間位置相對普遍
[02430.70-02433.22] 比如說你坐在火車上
[02433.22-02434.30] 火車開動的時候
[02434.30-02436.10] 你看到外窗外的風景
[02436.10-02437.22] 跨到跨到跨到再走
[02437.22-02439.58] 但是你發現坐在你對面的那個人
[02439.58-02440.86] 是不是還是坐在你對面
[02440.86-02442.10] 沒有說車一開
[02442.10-02443.38] 我的天你對面那個人
[02443.38-02444.58] 抓了一下消失了
[02444.58-02445.58] 沒有這個樣子
[02445.58-02447.58] 這種情況之下就出現了
[02447.58-02448.94] 窗外的風景在邊
[02448.94-02450.02] 意味著車在動
[02450.02-02451.76] 那被啥坐在女巨面的那個人
[02451.76-02453.56] 他沒有發生位置上的變化呢
[02453.56-02455.52] 那就是因為我們所說
[02455.52-02458.80] 他當時處在相對禁止的狀態
[02458.80-02460.26] 他以你為參照護
[02460.26-02462.96] 護你以他為參照護
[02462.96-02465.40] 你們兩個的位置相對沒有發生變化的
[02465.40-02468.16] 那這個就叫做空間位置沒變
[02468.16-02469.26] 空間位置沒變
[02469.26-02470.96] 第二個他說是5的根本
[02470.96-02472.26] 性質在是位變
[02472.26-02473.38] 什麼叫是5的根本
[02473.38-02474.74] 性質在是位變呢
[02474.74-02475.88] 就是10年前
[02475.88-02476.82] 你在一家門前
[02476.82-02478.18] 在了一刻逃述
[02478.18-02480.58] 10年後這個桃樹依舊是桃樹
[02480.58-02481.94] 沒有變成平果樹
[02481.94-02483.30] 也沒有變成理子樹
[02483.30-02485.98] 那就意味著他的根本性質沒有變
[02485.98-02487.34] 10年前我是個女的
[02487.34-02488.94] 10年後我還是一個女的
[02488.94-02491.34] 那這個也是我的根本性質
[02491.34-02492.46] 沒有發生變化
[02492.46-02494.90] 所以在這裡所謂的精指是啥呢
[02494.90-02495.98] 就是我們剛才所說的
[02495.98-02497.26] 相對位置不變
[02497.26-02500.50] 和我們所說的根本性質不變
[02500.50-02501.86] 但是這兩個不變
[02501.86-02504.10] 他不太利於我們打體
[02504.10-02506.26] 所以我們要在精指這個概念當中
