[00000.00-00006.26] 好,那我們還剩生物醫學長時當中的最後一部分,就是生活中的醫學長時
[01146.50-01148.50] 所以她写这篇文章的时候,她说
[01148.50-01150.30] 我就是想呼籲大家
[01150.30-01153.90] 一定要对于这种事情要引起相当重视
[01153.90-01155.74] 对于某个要商的问题
[01155.74-01159.26] 经常就会有人说说如果说被狗狗商的话
[01159.26-01161.18] 说看这个狗他写不起在病毒
[01161.18-01163.58] 看这个狗狗有人之后他说死掉了
[01163.58-01166.30] 他一个如果说几天之后死掉了之后
[01166.30-01167.38] 就因为这些在病毒了
[01167.38-01169.38] 但是几天之后观察那个狗
[01169.38-01170.38] 那就意味着什么
[01170.38-01172.58] 意味着其实已经晚了
[01172.58-01173.58] 就是已经晚了
[01173.58-01175.42] 所以在这里面大家要注意
[01175.42-01177.62] 这是我们所说的这个猫菇养商
[01177.62-01178.78] 一定要几十处理
[01178.78-01180.02] 那猫菇养商怎么处理呢
[01180.02-01181.22] 首先第一个要注意一下
[01181.22-01185.34] 就做立即用飞造水反复充洗上口
[01185.34-01187.94] 并几把里面的血几个出来
[01187.94-01188.74] 先去而已
[01188.74-01191.02] 叫立即用飞造水反复清洗
[01191.02-01192.14] 清洗多少时间呢
[01192.14-01194.50] 一般情况下说要清洗半个小时一上
[01194.50-01196.66] 这是用那种泡沫飞造水
[01196.66-01197.94] 去反复的清洗上口
[01197.94-01199.30] 大家注意下支第一个
[01199.30-01200.06] 那第二个呢
[01200.06-01201.78] 这是在这里面大家要明确
[01201.78-01204.42] 这是在我们所说的猫菇养商之后
[01204.42-01206.42] 一定要駐射狂拳疫苗
[01206.42-01208.42] 它这个狂拳疫苗駐射首先
[01208.42-01210.42] 大家注意下有两个细节的点
[01210.42-01216.42] 第一个就是第一针駐射的时间就是被猫狗抓上后有伤的当天就一定要駐射了
[01216.42-01222.42] 也就是第一针狂拳疫苗的駐射要在24条时之内駐射
[01222.42-01225.42] 一定要射近早的是在24条时以内駐射这是第一针
[01225.42-01230.42] 狂拳疫苗打几针按照我们在考试当中大駐一下
[01230.42-01233.42] 在考试当中的要求按照正常的
[01233.42-01236.50] 所说的机制来看是庆幸医苗是最少打五针的
[01238.50-01240.98] 那当然在现实生活当中不是这样的
[01240.98-01243.90] 在现实生活当中我们会发现它有打几针的
[01243.90-01245.26] 打三针的对不对
[01245.26-01247.50] 那打三针的话其实没有什么问题的
[01247.50-01249.22] 那大部分情况下都打三针
[01249.22-01250.78] 但是在考试当中
[01250.78-01252.14] 我们一般情况之下
[01252.14-01253.50] 说的是打五针
[01253.50-01254.66] 打贬一下
[01254.66-01256.34] 这是我们所说的外园
[01256.34-01257.34] 庆幸医苗
[01257.34-01259.06] 它的一个基本的情况
[01259.06-01261.06] 只是我们所给到的第二点
[01261.06-01262.54] 第3个点就是
[01262.54-01267.02] 我们再去进行香港的被摩托摇上的伤口出理的时候
[01267.02-01270.10] 他说不可将伤口压迫执取进行包扎
[01270.10-01273.62] 如果说压迫执取包扎的话很容易加重感染
[01273.62-01275.46] 所以在这里面大家一定要注意
[01275.46-01277.62] 这是我们所说的这个黄天一秒
[01277.62-01279.02] 黄天一秒大家注意
[01279.02-01280.14] 他再去注射的时候
[01280.14-01283.50] 他其实也会存在香港的什么免疫情况
[01283.50-01285.74] 一般黄天一秒注射的是三个月内
[01285.74-01287.18] 是绝对安全期
[01287.18-01290.18] 也就是如果说超过这个三个月之后
[01290.18-01292.50] 在被摩托摇上的话就再进行一次
[01292.50-01296.02] 主持,但是在注射的时候,只打加强者就行了
[01296.02-01298.34] 所以在这种情况,大家一定要注意
[01298.34-01301.46] 我们所说的有关于关键一秒免疫的情况
[01302.98-01308.06] 关键一秒免疫的情况,就是一般情况是3个运内
[01309.74-01311.74] 是绝对安全器
[01314.02-01318.02] 于是,被猫狗抓伤或有伤之后打了关键一秒
[01318.02-01321.54] 三月内约被猫狗抓上后搅上的话就不用再去打了
[01321.54-01323.94] 所以在三个月内是绝对安全性
[01323.94-01325.70] 但是如果超过三个月呢
[01325.70-01327.18] 这时候超过三个月
[01327.18-01328.90] 但是是在一年以内的话
[01328.90-01330.30] 这种情况之下
[01330.30-01332.10] 在次被猫狗上的话
[01332.10-01334.18] 这个时候就需要打加强症
[01334.18-01335.62] 所以超过三个月
[01338.82-01340.22] 打加强症
[01342.82-01344.42] 那如果是超过一年呢
[01344.42-01346.86] 那如果说超过一年的话
[01346.86-01350.20] 在此被咬上就是正常主持了
[01350.20-01351.98] 所以在这里面大家注意一下
[01351.98-01353.06] 这是我们所说的
[01353.06-01355.04] 它的免疫情况
[01355.04-01355.82] 免疫情况
[01355.82-01358.10] 所以在这我就给大家说这么多
[01358.10-01360.06] 因为这几个点是在我们考试当中
[01360.06-01361.36] 可能会出现的
[01361.36-01363.06] 也是通过这样一个讲解
[01363.06-01365.08] 像大家能够重使这样的一个情况
[01365.08-01365.58] 好吧
[01365.58-01368.70] 这次针对于毛狗咬上它的一个基本情况
[01368.70-01371.18] 第七一个就是我们所说的
[01371.18-01373.58] 急性呼吸到一无堵色
[01373.58-01375.30] 说白了就是撤东西一二涼了
[01375.30-01376.66] 对吧而且一二的特别严重
[01376.66-01379.54] 如果说 这东西一样的烟的特别严重之后怎么办
[01379.54-01381.42] 它有一个方法叫做
[01382.06-01385.42] 韩武力克副部冲击法也叫做韩武力克极夸法
[01385.66-01386.90] 这个方法是想的
[01386.90-01389.58] 如果是被烟到之后 它给到了说
[01389.58-01392.14] 用手像红格谋试加亚议
[01392.14-01394.34] 像它的魅布上魅布左右
[01394.34-01395.74] 这是那个魅布 那个魅布
[01395.74-01397.62] 那个红格谋实际
[01397.62-01398.62] 给它灴一塔
[01398.62-01400.18] 从红位暴腿灴一塔
[01400.18-01403.14] 然后这种情况之下像我们所说的压缩废谋
[01403.14-01405.46] 这样它就意下的就把这个东西
[01405.46-01406.42] 就可出来了
[01406.42-01407.34] 所以大家注意一下
[01407.34-01409.50] 就是針對於我們所說的耶稿了
[01409.50-01411.26] 也就是它說的呼吸到一路堵色
[01411.26-01414.06] 你知道是運用這個方法就可以了
[01414.06-01415.90] 這是我們所說的生活當中的
[01415.90-01416.86] 醫學常識
[01416.86-01418.90] 這些醫學常識同學能夠看到
[01418.90-01419.90] 它來考試的時候
[01419.90-01422.82] 其實更加特徵的是考察一些細節
[01422.82-01424.78] 把這些醫學常識在同學書裡
[01424.78-01426.58] 首先第一個就是燙傷
[01426.58-01427.14] 燙傷的話
[01427.14-01428.74] 第一個充實也充實
[01428.74-01430.06] 二十度左右的水
[01430.06-01432.06] 我們還給大家講的充實的時間
[01432.06-01433.62] 十五分鐘到三十分鐘
[01433.62-01436.14] 充實的目的是指通修種
[01436.14-01440.86] 要求了凉水称寻能能冰服不能防止动商或组织壞死
[01440.86-01443.86] 在这里面如果汤商的话能不能散制图要
[01443.86-01446.50] 不能散图要能不能散制图一些图方
[01446.50-01448.14] 大将之类了不行
[01448.14-01449.50] 如果有水泡的话
[01449.82-01452.34] 大住也不要挑破尽快送医
[01452.34-01454.50] 这是我们所说的第一个汤商
[01454.50-01457.34] 第二个在这里墙掉的就叫做动商
[01457.34-01460.34] 动商都不知道保持市场的体温
[01460.34-01461.22] 这是第2个
[01461.22-01463.26] 第3一个就是关节纽商
[01463.26-01465.86] 关节纽商要求它的设计大概一定要注意下
[01465.86-01467.90] 是先釘夫在瑞夫
[01467.90-01469.38] 那釘夫的化首先第一個
[01469.38-01470.90] 釘夫是修種
[01470.90-01472.50] 而瑞夫大家注意
[01472.50-01475.46] 瑞夫是三余所以大家也一定要知道
[01475.46-01478.02] 那時間的話就知道是481內
[01478.02-01479.86] 或24到481內
[01479.86-01481.06] 就是關心紐商
[01481.06-01482.26] 那釘余逆水的話
[01482.26-01482.98] 那是第1個
[01482.98-01484.82] 對於19人的要求
[01484.82-01486.34] 是從背後緩暴
[01486.34-01487.70] 第2個就是他的一個
[01487.70-01489.38] 是由社群第一個先清楚
[01489.38-01491.62] 口比中的雜誤防止他智希
[01491.62-01493.70] 第2個就是要進行人工呼吸
[01493.70-01494.98] 人工呼吸我們說了
[01494.98-01497.22] 那承认是12次美分钟
[01497.22-01499.58] 那还有就是如果他已经没有意识的话
[01499.58-01502.34] 那就要进行修外新造案模
[01502.34-01504.02] 也是新费付出案模的话
[01504.02-01504.50] 不说了
[01504.50-01505.50] 案模的位置
[01505.50-01507.50] 25中间稍微偏下一点的位置
[01507.50-01509.98] 怎么案模用资深的重量去
[01509.98-01510.34] 对吧
[01510.34-01511.26] 去进行案影
[01511.26-01512.82] 那案压的频率有要求
[01512.82-01515.90] 案压的频率是120次美分钟
[01515.90-01517.62] 如果说在这个过程中
[01517.62-01519.26] 第一一次压力不够
[01519.26-01520.06] 打不到效果
[01520.06-01521.34] 高于120次
[01521.34-01523.50] 这有时候新造没有回谈的时间
[01523.50-01526.18] 我们是记住外里 让新脏自己去跳起来
[01526.18-01526.58] 对吧
[01526.58-01527.66] 如果说在这里面
[01527.66-01528.90] 超未玩这次的话
[01529.62-01530.34] 就不行了
[01530.34-01531.70] 所以这是我们所说的
[01531.70-01532.54] 你水
[01532.54-01534.30] 那造了现在就给到的叫做
[01534.30-01535.26] 摸构摇上
[01535.26-01536.70] 那针对于摸构摇上的话
[01536.70-01537.74] 大家一定要注意
[01537.74-01540.38] 水ant第一个要立即用水噪水冲鞋
[01540.38-01541.02] 伤口
[01541.02-01542.70] 冲鞋伤口的时间
[01542.70-01545.42] 一般认为是30分钟左右
[01545.42-01546.26] 这是第一个
[01546.26-01547.82] 第二个就是一定要注射
[01547.82-01548.62] 关键一秒
[01548.62-01550.34] 关于一秒在这里注射的时候
[01550.34-01551.94] 第一针是在24时之内
[01551.94-01553.88] 那一般前來全程註射的話
[01553.88-01554.76] 最少要五整
[01554.76-01555.84] 那我們還給大家講了
[01555.84-01557.50] 那針對於貓弓表商
[01557.50-01559.62] 他幾乎產生一定的免疫
[01559.62-01561.66] 免疫絕對安全其實都讓時間
[01561.66-01562.70] 你最起碼要記得
[01562.70-01564.54] 絕對安全其實三個月
[01564.54-01566.02] 也就是被貓弱抓上
[01566.02-01567.42] 註射寬疫苗之後
[01567.42-01569.10] 再被貓弱抓上的話
[01569.10-01570.98] 三月內都不用再次註射了
[01570.98-01572.42] 那如果說超過三月
[01572.42-01573.30] 在一年之內
[01573.30-01575.06] 那就要達兩針加強證
[01575.06-01576.14] 所以在這裡面
[01576.14-01576.78] 大家要注意一下
[01576.78-01578.14] 什麼貓弱上的處理
[01578.14-01580.10] 那如果針對於我們所說的
[01580.10-01581.70] 這個呼吸到一無毒色
[01581.70-01583.38] 充一热肉而且很近键
[01583.38-01584.78] 那这个时候的方法叫什么
[01584.78-01585.86] 就知道叫做
[01585.86-01587.18] 韩母立刻及就法
[01587.18-01588.18] 就OK了
[01588.18-01590.86] 这个就是生活中的一学长史
[01590.86-01593.34] 主要就是会考察这些细节
[01593.34-01595.90] 把它作为综合形的题目来考察
[01595.90-01598.02] 关于它说法正确过错误的事
[01598.02-01598.86] 所以在这里
[01598.86-01600.10] 这说我们所说的
[01600.10-01601.02] 这一节的内容
[01601.02-01602.38] 就是生物一学知识
[01602.38-01603.58] 所以在生物一学知识当中
[01603.58-01604.86] 我们讲的生物是什么
[01604.86-01608.18] 讲了人体又讲了生物中的一学
[01608.18-01608.70] 好的
[01608.70-01610.46] 这是我们的第三节
