[00000.00-00004.26] 那么了解了科技发展的昨天也就是科技发展史
[01244.52-01247.16] 第一个魔叉力的大小和他所说的什么有关
[01247.16-01249.36] 和他所说的压力有关系
[01249.36-01252.04] 压力越大 魔叉力就会越大
[01252.04-01253.60] 所以这是第一个影响影素
[01253.60-01257.36] 第二个影响到魔叉大小的因素就是魔叉的
[01257.36-01261.40] 它的一个这个事务它的接触面的粗糙程度
[01261.40-01263.16] 这个接触面越粗糙
[01263.16-01266.00] 这个时候它受到的磨擦力就会越大
[01266.00-01267.20] 而我们考试的时候呢
[01267.20-01270.80] 就会考察这个压力和接触面的变化
[01270.80-01273.08] 它对于磨擦力的影响
[01273.08-01275.92] 就是会考察这个因素的应用
[01275.92-01277.52] 举个简单的例子来说
[01277.52-01280.72] 比如说在这个过程中最爱考的是这个接触面
[01280.72-01282.60] 上这个接触面的一般情况之下
[01282.60-01283.92] 我们都会考察啥呢
[01283.92-01285.92] 考察轮胎的更坏
[01285.92-01287.92] 比如在北方经常会下大雪
[01287.92-01288.32] 对吧
[01288.32-01289.40] 但下大雪之后
[01289.40-01290.80] 地面很滑
[01290.80-01291.96] 而且也会结定
[01291.96-01294.44] 在这时候我们就会去把这个轮胎换掉
[01294.44-01296.44] 就换成冬天的雪地台
[01296.44-01298.56] 你看你在换掉这个轮胎
[01298.56-01300.12] 换成冬天雪地台的时候
[01300.12-01301.20] 你发现这个轮胎
[01301.20-01303.56] 和你夏天春天秋天的轮胎比
[01303.56-01306.08] 它的轮胎的轮路更宽还是更细
[01306.08-01308.72] 它的轮胎的纹路是更宽的
[01308.72-01310.84] 为什么轮胎的纹路更宽
[01310.84-01311.88] 原因很简单
[01311.88-01314.64] 因为接纯面越粗槽
[01314.64-01317.72] 那在這種情況之下所受到的摩擦力越大
[01317.72-01319.48] 就防滑效果就越很好嘛
[01319.48-01319.80] 對吧
[01319.80-01322.56] 所以在這裡面我就把案例簡化好吧
[01322.56-01326.36] 接觸廟當中我們常見的就是冬天的雪地灘
[01326.36-01328.64] 當然我教雪地灘
[01328.64-01331.80] 大家也知道它也有其他的名字好吧
[01331.80-01333.36] 那這是第一個大家注意下
[01333.36-01335.36] 像雪地灘的花紋路會更大
[01335.36-01336.96] 又或者是老人協
[01336.96-01339.44] 不知道大家有沒有去觀察過那個老人協
[01339.44-01340.96] 像我們常見的這個老人協
[01340.96-01343.88] 它比我們一般所看到的這種運動協
[01343.88-01345.88] 或者是其他的老人血
[01345.88-01349.00] 他血底的那个花瓶也会更大一些
[01349.00-01351.24] 那他血底的花瓶更大的原因是啥呢
[01351.24-01353.72] 增大基屠面的粗粗程度
[01353.72-01356.36] 那在这种情况之下能够增大模擦
[01356.36-01359.08] 那都能起到很好的防滑效果
[01359.08-01359.96] 不然的话呢
[01359.96-01361.32] 就是老人容易睡觉
[01361.32-01362.68] 只是非常可怕的事情
[01362.68-01363.16] 对吧
[01363.16-01365.56] 所以在这里面他往往会考察这个
[01365.56-01368.20] 那这个我们所说的基屠面也好压力也好
[01368.20-01369.80] 他会把这些现象啊
[01369.80-01370.68] 给你变成这样
[01370.68-01372.36] 比如说我解决个简单例子
[01372.36-01373.68] 他写上学地他
[01374.80-01376.12] 当然他不一定会写学地
[01376.12-01377.12] 这是写这个设计
[01377.12-01379.16] 然后后面给到你一个原理
[01379.16-01380.56] 比如说接出面
[01382.08-01383.20] 他就给你这么写
[01383.56-01385.84] 然后他就会把这个变成一个选项
[01385.84-01386.68] 这是A选项
[01386.68-01388.56] 然后还有BCD
[01388.56-01390.28] BCD的设置也和这个一样
[01390.48-01392.08] 然后他在提案当中咋说
[01392.08-01396.08] 说一下关于现象于原理对应说法正确的事
[01396.08-01399.48] 他就会以这样的形式和设问来考察我们
[01399.48-01400.52] 所以同们注意一下
[01400.52-01403.24] 这是在摩擦里当中我们需要注意的
[01403.24-01404.48] 那后面他所给到的说
[01404.48-01406.48] 没有摩擦里洗到发击减
[01406.48-01407.56] 人不能行走
[01407.56-01408.88] 这个简单看一下就行了
[01408.88-01410.76] 主要掌握着这个点
[01410.76-01411.72] 就OK了
[01411.72-01414.12] 这是我们所说的第一个摩擦里
[01414.12-01415.24] 我们来看一下吧
[01415.24-01417.88] 我们在考试当中出现过这样一个提
[01417.88-01419.16] 比如把和比赛
[01419.16-01420.80] 有经验的人在把和比赛的时候
[01420.80-01423.00] 往往要穿有花文的新鲜
[01423.00-01424.76] 为啥要穿有花文的新鲜
[01424.76-01426.12] 因为这个时候有花文
[01426.12-01427.64] 接触面出操
[01427.64-01429.64] 接触面出操防滑
[01429.64-01433.16] 摩擦力就會變大,就把盒的贏面是不是更大呀
[01433.16-01434.50] 所以來看一下,一選像
[01434.50-01437.80] 而增大基屯面的粗超程度沒有問題
[01437.80-01441.66] 閉選像說增加基屯面的質量,那哪和質量有關係呢?
[01441.66-01444.20] 對吧?所以閉選像不對,人說的是花文
[01444.20-01446.80] 人們說把盒的時候,我要找大體中的
[01446.80-01448.32] 對吧?所以閉選像不對
[01448.32-01451.72] 所以像減少基屯面的流體壓墻,流體壓墻在後面
[01451.72-01457.04] 講不努力原理的時候說到這裡面沒有涉及到任何和空氣流體有關的問題
[01457.04-01459.68] 所以这体说正确的是A选项
[01459.68-01461.68] 这个就是它的应用
[01461.68-01462.72] 所以大家也能看到
[01462.72-01463.60] 我刚才说了
[01463.60-01466.12] 考试当中就考现象和原理的
[01466.12-01469.00] 对应这是是单位比较喜欢考察的一种
[01469.72-01473.32] 这是第一个摩擦力
[01473.32-01476.24] 说摩擦力我们再来看一下第二个
[01476.24-01477.64] 就叫做杆杆原力
[01477.64-01479.36] 杆杆原力的华大爷都知道
[01479.36-01481.84] 提到杆杆在一场生活当中比较长线
[01481.84-01483.56] 大家对于杆杆最熟悉的一句话
[01483.56-01484.92] 就是给我一个支点
[01484.92-01486.68] 我可以跳动整个地球
[01486.68-01488.82] 那刚点原理它的原理是啥呢
[01488.82-01491.44] 刚点原理它的原理就是公式
[01491.44-01495.04] 叫做动力成立动力弹于组立成爷组立弹
[01495.04-01496.48] 咱们举个简单的例子
[01496.48-01499.56] 我们就以我们给到大家的图示维力
[01499.56-01501.92] 这个图示是非常典型的翘棍
[01504.92-01506.48] 非常典型的翘棍
[01506.48-01509.04] 那么常见的翘棍比如说现在这个地方
[01509.04-01511.20] 有一个超大的这样的一个石头
[01511.20-01511.68] 对吧
[01511.68-01514.20] 这种情况下我想把这个石头敲动
[01514.20-01516.96] 让这个石头滚远一点 或者是走远一点
[01516.96-01518.54] 对吧 那这个时候我要跳动这个时候
[01518.54-01519.68] 就是会拿一个巧克力
[01519.68-01520.78] 那我拿一个巧克力的时候
[01520.78-01522.60] 我会在跳坏的这个下面
[01522.60-01524.08] 是被电一个东西
[01524.08-01527.08] 然后才能打我们所说的这个石头跳起来
[01527.08-01528.40] 那我电的这个东西
[01528.40-01529.46] 它就叫做啥呢
[01529.46-01530.84] 就叫做支点
[01530.84-01532.00] 那就叫做支点
[01532.00-01533.68] 而我们所说的这个石头
[01533.68-01537.48] 那其实石头以支石头的重量大小
[01537.48-01538.52] 这个是可以确定的
[01538.52-01540.76] 对吧 所以知道了这个石头的重量
[01540.76-01543.32] 就能够知道这个石头所受到的阻力
[01543.32-01546.14] 这个时候所说的祖里就是向下的这个力
[01546.14-01551.26] 而我们所说的从资点从这个点到我们所说的石头
[01551.26-01554.36] 它的这个我们所说的你跳它那个点
[01554.36-01556.44] 这个水平方向的距离
[01556.44-01558.92] 这个就叫做我们所说的祖利弊
[01558.92-01560.04] 这个叫祖利弊
[01560.04-01561.52] 而我们所说想要跳动它
[01561.52-01563.84] 那这个时候你需要手你的小手
[01563.84-01566.40] 是不是要在这个地方去压动这个效果
[01566.40-01567.76] 去压动这个效果的时候
[01567.76-01571.36] 你向这个效果给它施加的力去叫做动力
[01571.36-01573.40] 而祖利和祖利必是一定的
[01573.40-01574.60] 因为支点一定了
[01574.60-01576.20] 是后祖利和祖利必一定了
[01576.20-01578.76] 那这个时候祖利曾以祖利必一定了
[01578.76-01581.96] 那这个时候你想要让你的动力小一点
[01581.96-01583.56] 你的动力必就要怎么样
[01583.56-01586.04] 动力必就是我们所说的这个点
[01586.04-01587.96] 到支点的距离这个就要动力必
[01587.96-01590.00] 你的动力必就要长一点
[01590.00-01591.80] 所以根据这个杆杆原理
[01591.80-01593.56] 我们就可以设计出来什么
[01593.56-01594.76] 省力杆杆
[01594.76-01596.76] 费利杆杆以及等闭杆杆
[01596.76-01598.80] 因为祖利和祖利必
[01598.80-01601.32] 在以值的条件之下是一定的
[01601.32-01602.96] 如果他们两个是一定的话
[01602.96-01605.40] 那这个时候动力和动力比就可以变化
[01605.40-01608.36] 如果你想让你的立体化的小一点
[01608.36-01610.40] 你都动力比较长一些
[01610.40-01613.40] 如果说在这个时候你想让动力比短一些
[01613.40-01616.64] 因为有时候动力比很长 干字很长
[01616.64-01617.44] 不认方便
[01617.44-01619.12] 那这时候施加的利用大一些
[01619.12-01621.12] 所以这个是它的原理
[01621.12-01622.68] 大家知道这个基本公示
[01622.68-01624.16] 有个印象就可以了
[01624.16-01626.40] 叫动力称于动力比等于阻力倉业
[01626.40-01627.20] 阻力比
[01627.20-01629.04] 而我们根据这个公示
[01629.04-01630.24] 我们就能够知道
[01630.24-01633.48] 如果动力比越长就会越省接
[01633.48-01635.16] 所以立比越长
[01635.16-01639.08] 这个时候我们所给出来的就是省立刚感
[01639.08-01639.68] 对吧
[01639.68-01641.48] 如果立比很短
[01641.48-01643.92] 这个时候你施加了动力叫大
[01643.92-01646.32] 它就可能是费立刚感
[01646.32-01648.36] 如果现在我找一个平衡
[01648.36-01651.56] 我让组立比和动力比的立比一样长
[01651.56-01653.12] 这个时候就叫做什么
[01653.12-01654.32] 等比刚感
[01654.96-01656.56] 就叫做等比刚感
[01656.56-01658.60] 所以我们在整个刚耳当中
[01658.60-01659.88] 就画分出来了
[01659.88-01660.76] 这三种
[01660.76-01661.60] 省力
[01661.60-01663.28] 费利和等避杆
[01663.28-01665.08] 我们来看一下这三个杆杆
[01665.08-01666.84] 到底是怎么回事
[01666.84-01668.40] 那在看这三个儿之前
[01668.40-01669.92] 我们先来看一下这个
[01669.92-01671.76] 我们所说的杆杆的提出
[01671.76-01672.64] 杆杆的提出
[01672.64-01673.76] 它其实是有两个
[01673.76-01675.00] 一个叫做发现者
[01675.00-01676.64] 一个叫做提出者
[01676.64-01678.64] 所以我们来看一下发现者是谁
[01678.64-01680.36] 杆杆最早提到的
[01680.36-01681.32] 其实是中国的
[01681.32-01681.84] 墨子
[01681.84-01683.52] 同标主一下圈一
[01683.52-01684.92] 是战国时代的墨子
[01684.92-01686.80] 最早提到了杆杆原定
[01686.80-01687.44] 这个点
[01687.44-01688.56] 它当时考的是什么
[01688.56-01689.72] 考的是后面这句话
[01689.72-01690.44] 所以提干
[01690.44-01691.96] 说恒儿必正
[01693.00-01693.92] 说在德
[01693.92-01697.52] 然后他说恒值得是加重于一旁
[01697.52-01700.72] 比售全重不像弱眼相恒
[01700.72-01703.36] 则本短标诚两家音
[01703.36-01704.44] 白白的所有这么多
[01704.44-01707.48] 而当时给的其实就是后面这边句话
[01707.48-01708.68] 然后他给到的选丢说
[01708.68-01710.96] 这句话描述了什么物理学员力
[01710.96-01712.36] 其实这里说的就是什么
[01712.36-01713.08] 刚刚
[01713.08-01715.48] 这里面的恒其实提到的就是刚刚
[01715.48-01716.28] 所以大家注意一下
[01716.28-01718.60] 吃最早提到刚刚的原理的
[01718.60-01721.60] 而把港港原理所说的明确提出
[01721.60-01723.60] 或者是从一个理论提出来的
[01723.60-01725.20] 其实是阿基米德
[01725.20-01726.92] 所以第二个同标准一下
[01726.92-01728.84] 阿基米德在我们所说的
[01728.84-01732.00] 论平面图形的一书当中提到了港港原理
[01732.00-01733.20] 所以可以说
[01733.20-01733.96] 这么说
[01733.96-01736.24] 可以说第一个就是港港发现者
[01736.24-01738.40] 第二是港港理论的提出者
[01738.40-01741.00] 这两个人大家要能够去给它对用上
[01741.00-01742.60] 如果它在这里面
[01742.60-01745.48] 在港港中如果要考博生考货
[01745.48-01749.96] 選掉生這種負擔性綜合性不要長的強的這種題目
[01749.96-01756.20] 它可能就會設置類似於以下關於港港相關支持說法正確或錯誤的事
[01756.20-01759.24] 然後就把這一兩段變成一個選項
[01759.24-01761.04] 這時候你就要能夠分青按
[01761.04-01763.52] 我們所說最導致誰理論題數者是誰
[01763.52-01764.68] 要能夠對應上
[01764.68-01766.64] 這是我們所說的它的題出
[01766.64-01769.84] 這兩個人物要能夠知道
[01769.84-01772.24] 這是第二點它的題出
[01772.24-01773.52] 那了解他提出呢
[01773.52-01774.80] 我们刚从公事当中
[01774.80-01775.82] 其实分解出来了
[01775.82-01776.84] 杠杠的分类
[01777.10-01778.52] 杠杠的分类在这里
[01778.52-01779.56] 叫做省利
[01779.56-01781.44] 费利一节等闭杠杠
[01781.72-01783.08] 其实说到省利杠杠
[01783.08-01784.52] 同学们能够理解
[01784.52-01785.80] 就要想要省点事
[01785.80-01786.32] 对吧
[01786.32-01788.36] 这个时候就要做省利杠杠
[01788.36-01789.76] 比如说杠杠我们所提到的
[01789.76-01790.56] 确顿
[01790.92-01791.96] 就是杠杠那个
[01792.20-01792.72] 图示
[01792.72-01794.52] 他就是一个非常典型的确顿
[01795.28-01795.96] 又或者
[01795.96-01797.32] 同时把搬手画起来
[01797.32-01799.36] 这个搬手不知道大家有没有见过
[01799.36-01800.04] 那个搬手
[01800.04-01801.16] 我还不太会画
[01801.16-01806.46] 好像大概就是这个样子是它这个可以领的
[01806.46-01807.76] 然后下面是这个样子
[01807.76-01810.90] 这个有点像低椒它们的那个棒
[01810.90-01813.96] 其实不是的那个搬手大概我花了不太像
[01813.96-01815.76] 但是我知道它那个东西是什么样
[01815.76-01818.64] 就是如果你想要把这个螺丝和什么东西领的线来
[01818.64-01820.66] 比如说有那种特别大的那种螺丝
[01820.66-01822.56] 然后你用手领的话不太好领
[01822.56-01824.86] 就可以用这个搬手给它夹几
[01824.86-01826.46] 然后把那个鲁儿给它滑动
[01826.46-01827.86] 然后你这时候一领哦
[01827.86-01829.76] 你这时候就可以把那个螺丝领下来
[01829.76-01830.96] 这个东西就是什么
[01830.96-01833.32] 搬手 又或者我们常见的这个钱字
[01833.32-01835.12] 同时没必要常见 钱字
[01835.12-01836.84] 你现在想要往外把个罗斯丁
[01836.84-01838.64] 或者宁断一条铁丝
[01838.64-01840.36] 你用手其实很难宁断
[01840.36-01841.96] 这时候就可以用钱字
[01841.96-01843.36] 钱字的话您发现
[01843.36-01845.32] 因为花很小一点劲
[01845.32-01846.60] 就可以把它败断
[01846.60-01849.12] 这个其实就是我们所说的 省立杨杆
[01849.12-01850.36] 所以我们去判断
[01850.36-01851.56] 它是不是省立杨杆
[01851.56-01852.96] 我们只需要掌住一个
[01852.96-01854.44] 这是你用这个东西的时候
[01854.44-01855.48] 你会感觉
[01855.48-01857.84] 你日常生活当中所见的这些工具
[01857.84-01859.04] 它到底什么事
[01859.04-01861.24] 如果省事的话就要省立刚感
[01861.24-01863.24] 而省立刚有一个非常明显的特点
[01863.24-01865.24] 就是它的干子特别长
[01865.24-01867.64] 比如说像钱子 钱子头
[01867.64-01869.04] 一定很小
[01869.04-01871.44] 而钱子的那个把手就会很大
[01871.44-01873.12] 包括我们所说的这个
[01873.12-01874.12] 搬手也是一样的
[01874.12-01875.04] 搬手的头很小
[01875.04-01876.96] 但是它下面那个手扁
[01876.96-01878.04] 是不很长
[01878.04-01880.44] 你看像这种动力比较长的
[01880.44-01883.04] 其实就是我们所说的省立刚感
[01883.04-01884.44] 就是我们所说的省立刚感
[01884.44-01886.36] 你包括我们所说的开频
[01886.36-01887.84] 把钉器开频器
[01887.84-01889.88] 开频器也是上那个小头很小
[01889.88-01893.12] 但下面那个后面手柄那个地方是不叫长
[01893.12-01895.60] 那这种情况之下都是为了省色的
[01895.60-01897.56] 所以你就记得省色的
[01897.56-01899.88] 历壁长的它就是省立杆杆
[01899.88-01901.92] 包括我们所说的这个执甲钱
[01901.92-01903.20] 我们减手执甲
[01903.20-01904.76] 减手执甲你可以发现
[01904.76-01908.00] 如果说它执甲钱是这个样子的话
[01910.64-01911.40] 假设
[01911.40-01913.36] 然后这个地方是我的手执甲
[01913.36-01914.40] 如果是这个样子的话
[01914.40-01916.28] 你会发现你在去减执甲的时候
[01916.28-01919.56] 你年的是这个地方,头这个地方还是为这个地方
[01919.56-01923.64] 你简直一下,一定是越靠近,每段往下压的,越省件
[01923.64-01925.48] 你看,原因就是在于什么
[01925.48-01928.60] 原因就是在于你越往后,它的利币就会越长
[01928.60-01931.76] 利币越长,然后,前起来,之下就会越方便
[01931.76-01936.12] 所以你就想,你市场生活当中,看到这种称手的工具
[01936.12-01940.04] 能够省街日的,不费及日的,这种都是要省立港改
[01940.04-01942.72] 所以我有工具没见过,这又省就
[01943.20-01945.60] 看一下它的利币,是不是很长就行了
[01945.60-01946.64] 那这个省力杆杆
[01946.92-01947.76] 那还有一种呢
[01947.76-01948.56] 叫菲利杆杆
[01948.56-01949.80] 有同样就会产生一会
[01949.80-01950.80] 所以老师省力杆杆
[01950.80-01951.56] 我们的理解啊
[01951.76-01952.84] 那这个菲利杆杆
[01953.04-01955.52] 他费半天记念他的意义在哪呢
[01955.72-01956.44] 菲利杆杆
[01956.44-01957.04] 我刚才说了
[01957.04-01957.80] 虽然费利
[01957.80-01958.36] 但他干嘛呢
[01958.36-01959.56] 他省空间
[01959.56-01961.48] 因为他如果施加的历大的话
[01961.60-01962.96] 他是我干子就会短
[01963.12-01964.04] 所以菲利杆杆的
[01964.04-01964.52] 虽然费利
[01964.52-01965.88] 但他省空间
[01965.88-01968.08] 比如说我们在这里所提高的这种
[01968.20-01968.88] 你也子
[01969.28-01971.44] 还有汤熟还有铁炸门
[01971.56-01972.48] 是包括
[01972.68-01973.52] 滑脚
[01973.52-01976.26] 然后脱泥老师的剪刀对吧很快子
[01976.26-01977.56] 他都是肺里杆杆
[01977.56-01979.56] 但是他很小巧 清辨
[01979.56-01980.74] 尤其像这样的滋子
[01980.74-01982.10] 后面所说的汤少
[01982.10-01984.52] 这个汤少不是像我们所说的那种小小子
[01984.52-01986.40] 是成汤的那种大小子
[01986.40-01987.86] 你看像这种汤少的话
[01987.86-01991.68] 他的设计原理就是我们所说的比较节成空间的
[01991.68-01992.84] 所以这是肺里杆杆
[01992.84-01994.52] 大家知道他的具体的话分
[01994.52-01996.48] 那还有一个就是等肺杆杆
[01996.48-01999.88] 等肺杆杆的话就是阻礼笔和动力笔一样长
[01999.88-02001.08] 在这里面大家注意
[02001.08-02003.76] 在之前最开始是一单位考试
[02003.76-02005.18] 就是好多人也以前了
[02005.18-02006.26] 他比较喜欢考说
[02006.26-02008.06] 省力财劲和费钢耳的那些
[02008.06-02010.70] 但是近三年在各地是一单位考试的时候
[02010.70-02014.34] 就没有太考到省力财劲和费钢耳的具体案例了
[02014.34-02015.78] 反而这一年考的相对的时候
[02015.78-02016.94] 比较多的是啥呢
[02016.94-02018.18] 是等闭财敢
[02018.18-02020.44] 他个考察等闭财敢的应用
[02020.44-02021.94] 你看在等闭财耳应用当中
[02021.94-02023.60] 同时在这把他标出来
[02023.60-02025.48] 第一个就是天平
[02025.48-02027.06] 天平为什么是要等闭的
[02027.06-02029.74] 搭其实在以前的时候都见过
[02029.74-02031.66] 对吧,天平就是这个样子的
[02031.66-02033.66] 上面放了两个脱爬
[02033.66-02035.34] 脱爬当中放点东西
[02035.34-02036.98] 那如果天平搭住一下
[02036.98-02038.98] 中间这个点就是支点了
[02038.98-02040.98] 这边就相当于阻力比
[02040.98-02042.74] 假设这边就是动力比
[02042.74-02045.70] 你看它们两个之间的利比一定是一样的
[02045.70-02048.58] 天平撑出来的东西才是准的
[02048.58-02051.34] 如果这两个地方利比不一样长的话
[02051.34-02054.50] 那这个时候撑出来的东西之凉就不准了
[02054.50-02056.50] 所以天平是等避槓
[02056.50-02057.38] 为什么要等避
[02057.38-02059.22] 就是因为要测两张精准
[02059.22-02060.26] 这是第一个
[02060.26-02061.82] 那第二个敲小短也是
[02061.82-02063.62] 那敲小短如果不是等避槓的话
[02063.62-02064.66] 那个太可怕了 对吧
[02064.66-02067.06] 那个敲小短放在那两个小朋友在那做
[02067.06-02068.54] 如果不是等避槓的话
[02068.54-02069.54] 那个小朋友一做
[02069.54-02071.14] 另外一个小朋友费天上成了
[02071.14-02072.86] 那你看像这种情况也不行
[02072.86-02075.10] 所以敲小短也是等避槓啊
[02075.10-02077.02] 还有一个呢就是要定华罗
[02077.02-02077.98] 这个定华罗呢
[02077.98-02079.70] 也是在这一年考试当中
[02079.70-02081.26] 比较长见的一个
[02081.26-02082.74] 定华罗是同样掌握住的
[02082.74-02084.74] 就是第一个他的性质
[02084.74-02085.44] 我们刚才说了
[02085.44-02086.90] 他是等避杆
[02086.90-02087.58] 第二个呢
[02087.58-02088.34] 就订华罗尔
[02088.34-02089.54] 他的一个应用
[02089.54-02091.10] 订华罗尔一般应在哪呢
[02091.10-02091.74] 大主义
[02091.74-02094.58] 订华罗尔一般应在生活期的期盖上
[02097.86-02100.26] 叫生期的期盖上
[02101.22-02103.78] 那他这个订华罗尔放在身体期盖上的
[02103.78-02105.54] 做的就是改变力的方向
[02105.54-02117.54] 比如说电话弄成长长这个样子,就是中间这个点是支点,这两边就相当于动力比较组理别,
[02117.54-02123.54] 那这个时候呢,我在这个电话流上穿上省字,那他们来看一下,我把国企刮在其中的一端,
[02123.54-02130.54] 那如果说国企刮在这一端,假设国企刮在这一端,那就说我出来这边这个省字,国企就会怎么样,往上走,
[02130.54-02133.62] 但是同样发现我是家的历史相下的
[02133.62-02136.14] 但是国企的运动方向是相上的
[02136.14-02139.06] 这种情况之下我们就发现它改变了
[02139.06-02140.22] 历的方向
[02140.22-02142.90] 我向下的立变成了国企相上的立
[02142.90-02145.26] 这个就是我们所说的它的一个应用
[02145.26-02148.46] 这个应用在世界单位考试的时候考察过
[02148.46-02149.18] 考察过
[02149.18-02150.50] 这个就是我们所说的
[02150.50-02151.50] 刚改的分类
[02151.50-02153.34] 如果说同们实在记不住的话
[02153.34-02155.90] 我建议同们在这里把这个等闭刚改
[02155.90-02157.74] 就给它分析清楚
[02157.74-02162.22] 好,这个是我们所说的关于,钢桿的分类,钢分类,
[02162.22-02166.02] 这是第2个大问题,就是我们提到的钢桿原理。
[02166.02-02173.06] 第3个在其他绿血当中,我们要来看一看,想看我们所说的,这个超重和我们所说的失踪。
[02173.06-02179.94] 说的超重和失踪,其实在我们所提到的续单位考试里面,其实是比较简单的。
[02179.94-02184.82] 因为它就会给你一个,我们就要常见的现象,然后问你是超重还是失踪。
[02184.82-02190.00] 主要是男人,主要是男人在国神口考试里面出的体目
[02190.00-02193.58] 他的生活现象或者厉的分析,就会变得五花八门
[02193.58-02196.86] 我们先来看一下什么叫做超重,什么叫做失重
[02196.86-02201.96] 他说所谓的超重是当物体,同样画一下,就做像圣家素
[02201.96-02208.62] 或者像圣家剪肃的时候,物体是处在什么状态,物体是处在超重状态
[02208.62-02211.86] 同们在这里画一下圈一叫向上加速
[02211.86-02215.22] 第二个画一下圈二叫做向下減速
[02215.22-02217.34] 如果是向上加速或向下減速的时候
[02217.34-02218.70] 处在超重状态
[02218.70-02221.94] 这超重的我们不从数例分析上来画
[02221.94-02224.94] 因为从数例分析上来画的要画它的静止时
[02224.94-02226.54] 加速向上运动时
[02226.54-02228.54] 然后来去画它的这个具形幻
[02228.54-02230.42] 还有一道牛顿第二定率
[02230.42-02231.42] 这个没有必要
[02231.42-02233.42] 因为我们在考超重和失证的时候
[02233.42-02235.42] 没有考过它的一个数例分析
[02235.42-02237.70] 因为大家都知道是也单位考试
[02237.70-02241.54] 他本質上就考的是面和日常生活當中的原理
[02241.54-02245.62] 我們只需要去對操重和失重有一個基本概念的感受就行了
[02245.62-02247.38] 大家有沒有這樣一個感受呢
[02247.38-02248.66] 什麼叫做操重?
[02248.66-02252.34] 操重呢就是你突然感覺你的身體好像變重了
[02252.34-02254.34] 那這種情況之下就要做操重
[02254.34-02257.70] 如果呢你有一瞬間那個感覺你感覺你的身體
[02257.70-02259.38] 呼喲一下好像變輕了
[02259.38-02261.22] 那這種情況就是失重
[02261.22-02262.58] 我舉了簡單的例子
[02262.58-02265.06] 這個操重和失重最常見的
[02265.06-02266.86] 就是在我们所说的什么当中
[02266.86-02269.66] 就是在我们所说的日常生活作电梯当中
[02269.92-02270.86] 同们来看一下
[02270.86-02273.06] 在日常生活作电梯的时候
[02273.06-02275.74] 你比如说你现在在电梯的一楼对吧
[02275.74-02277.54] 你现在在电梯一楼的时候呢
[02277.54-02279.38] 你现在住在三十楼
[02279.38-02281.06] 然后你就按了一下电梯
[02281.06-02282.38] 电梯起动的一下
[02282.38-02285.58] 那一下你是否感觉你的身体往下撤累一下
[02285.58-02287.06] 然后踩到了那个地板上
[02287.06-02288.42] 然后那个电梯的地板
[02288.42-02289.70] 然后往上蹲了你一下
[02289.70-02290.74] 然后你开始往上走
[02290.74-02291.94] 那同们来看一下
[02291.94-02293.70] 當你做電梯網上走的時候
[02293.70-02297.54] 你感覺你的身體厭了一下電梯網下燈了一下
[02297.54-02299.16] 那你往下燈的這一下
[02299.16-02301.30] 其實就是我們所說的什麼感覺
[02301.30-02303.38] 這種情況之下就是我們所說的這種
[02303.38-02304.66] 操縱的感覺
[02304.66-02306.40] 因為在操縱的這種情況之下
[02306.40-02308.14] 你比如說你電梯上升
[02310.82-02312.14] 比如說電梯上升
[02312.14-02313.58] 電梯上升的那一刻
[02313.58-02315.38] 你什麼順的電梯網上走
[02315.38-02316.58] 你這時候再做什麼
[02316.58-02318.58] 加速向上運動
[02318.58-02320.66] 就是再做向上加速運動
[02320.66-02324.50] 那这种情况之下是我们所说的这种超重状态
[02324.50-02327.22] 那如果说你做相下解枋运动也是要的
[02327.22-02329.02] 比如说电梯下降
[02333.46-02336.06] 电梯下降停之前
[02338.06-02339.30] 你会有中感觉
[02339.30-02340.38] 什么感觉呢
[02340.38-02342.86] 在电梯下停之前
[02342.86-02344.86] 你到时的感受是啥感说呢
[02344.86-02346.98] 这是你现在从30多下了
[02346.98-02348.30] 你从30多下了的时候呢
[02348.30-02349.86] 你会发现你忽悠一下
[02349.86-02351.34] 对吧你感觉你跳起来
[02351.46-02352.10] 乐里下
[02352.10-02353.06] 然后你就开始
[02353.06-02354.18] 顺着这个电梯往下走
[02354.18-02355.18] 结果电梯到了一个路
[02355.18-02355.70] 电梯看
[02355.70-02356.26] 打一下
[02356.50-02357.10] 开一下
[02357.26-02357.90] 停的时候
[02357.90-02358.38] 女儿发现
[02358.38-02359.82] 你是不是又登了一下电梯
[02359.82-02360.70] 成为又感觉你
[02360.82-02362.06] 让这个电梯登了一下
[02362.06-02362.66] 那这种情况
[02362.66-02364.26] 这下其实就是我们所说的什么
[02364.38-02365.30] 向下检诉
[02365.30-02367.70] 就是他已经到了一路停下来的时候
[02367.82-02369.26] 你的身体由于灌性
[02369.42-02370.30] 电梯是停了
[02370.30-02371.54] 但是你的身体由于灌性说
[02371.54-02372.10] 还往下
[02372.10-02373.14] 你是不是在这个过程中
[02373.86-02374.98] 踩了一下这个电梯
[02374.98-02376.70] 因为你身体自身还有一个什么
[02376.70-02377.86] 还有一个加速度在
[02377.86-02379.50] 所以这有时候你的这个重力
[02379.50-02381.18] 就大于电梯给你的支持练
[02381.18-02383.22] 这时候你就又感觉你采了电梯下
[02383.22-02385.42] 所以电梯下降挺的那一下
[02385.42-02387.10] 你这时候处在什么状态
[02387.10-02389.86] 你这时候处在说我们所说的超重状态
[02389.86-02392.30] 因为你在向下做检素运动
