[00000.00-00005.00] 讲完练学之后,我们再来开一下第二个问题,就是光血
[01206.34-01207.94] 触界人体为生数地的合成
[01207.94-01210.18] 就是多照太多到太
[01210.18-01211.30] 而为生数地
[01211.30-01212.94] 我们在后面会跟大家讲到
[01212.94-01216.02] 他其实是人体能够唯一自行合成的
[01216.02-01216.94] 为生数
[01216.94-01220.30] 这是我们所说的关于子外线的那种
[01220.30-01222.22] 这是我们所提到的
[01222.22-01222.94] 不可健康
[01222.94-01224.42] 不可健康大助理下
[01224.42-01226.90] 这是第一个我们了解了什么时光
[01226.90-01228.58] 聊聊什么时光之后
[01228.58-01230.58] 第二个我们要在这里来看一下
[01230.58-01232.82] 有一宽于光的传播
[01232.82-01235.90] 光的传播其实就是在考察光学现象
[01235.90-01238.58] 在这里面同时没有掌握的这个点
[01238.58-01239.74] 其实两方面
[01239.74-01241.86] 第一个就是这个光学现象
[01241.86-01243.70] 它所对应的具体的应用
[01243.70-01245.14] 这是第一个方面
[01245.14-01247.18] 比如说它提到光严直线传播
[01247.18-01250.06] 你要知道它具体有哪些内容大概什么样
[01250.06-01250.78] 那第二个呢
[01250.78-01252.66] 就是在这里面大家也要去注意
[01252.66-01254.66] 在讲到光的传播的时候
[01254.66-01256.70] 我们还需要掌握的就是
[01256.70-01260.30] 各别光学现象英雄里面的一些小点
[01260.30-01262.58] 要把它做一个破展来掌握
[01262.58-01264.54] 所以它是从两个层面来的
[01264.54-01267.30] 那么先来看一下光学现象当中的第一个
[01267.30-01268.78] 就是光言直现传播
[01268.78-01271.02] 关止人传播的大家都比较常见
[01271.02-01273.02] 我在这里面就不给大家去落缩了
[01273.02-01274.50] 不是光言直现传播
[01274.50-01275.70] 这是我们能够看到的
[01275.70-01277.34] 比如说同步换一下它的应用
[01277.34-01278.90] 常见的手电统的光
[01278.90-01280.02] 我在这里给大家
[01280.02-01284.06] 換 放了一個圖,你看這個光其實就是直線傳播的
[01284.06-01284.46] 對吧?
[01284.46-01286.50] 第二個就是影子的形成
[01286.50-01288.06] 影子的形成也是一樣的
[01288.06-01289.14] 比如說這是你耶
[01289.14-01291.66] 這是太陽當空照話的領效
[01291.66-01292.06] 對吧?
[01292.06-01294.46] 如果是在這個過程當中的話就會導致
[01294.46-01296.38] 如果光源之間傳播你看
[01296.38-01297.38] 正常情況之下呢
[01297.38-01299.66] 它是要透過你的身體的
[01299.66-01301.66] 但是由於光源之間傳播你擋在這
[01301.66-01303.14] 那這個時候光透過來
[01303.14-01305.10] 是不是就會在地面上形成影子
[01305.10-01307.42] 那這個就是影子的形成
[01307.42-01310.88] 第3個呢就在這裡大家都知道小孔成像
[01310.88-01314.06] 小城像是在這裡面需要掌握的第一個細節
[01314.06-01314.98] 他們來看一下
[01314.98-01317.40] 小城像是在這邊放了一個蠟主
[01317.40-01320.26] 然後呢在我們所說這個地方有一個這道物
[01320.26-01321.96] 這道物上的扣一個小動
[01321.96-01325.90] 然後光透過之後呢就會在後面的強尚形成一個像
[01325.90-01327.64] 只會這個像成了是什麼像
[01327.64-01328.84] 成的是道相
[01328.84-01331.84] 因為它在這個光線打過去的時候就錯擺了嗎
[01331.84-01333.44] 所以它成的是道相
[01333.44-01334.74] 所以在小孔成像當中
[01334.74-01338.90] 同床掌握的第一個點就是要知道小孔成像成都像
[01341.18-01342.78] 小孔成像是成立的道相
[01342.78-01347.42] 第二個就知道小孔成像可不是在現代物理學當中才提出來的
[01347.42-01350.42] 小孔成像它是在什麼時候提出的呢?大家注意一下
[01350.42-01353.30] 小孔成像它主要是在我們所說的
[01353.30-01355.02] 墨子那個時候就已經有了
[01357.42-01360.30] 是在墨子這個時期它就已經有了小孔成像了
[01360.30-01361.82] 所以大家一定要注意一下
[01361.82-01365.22] 这是我们所说的有外图控成像一面的
[01365.22-01367.38] 莫子是最早提出来的
[01367.38-01370.02] 这是我们需要掌握的两个细节
[01370.02-01371.06] 这是第一个
[01371.06-01372.58] 第二个就是在这里面
[01372.58-01374.10] 我们会提到日时和月尸
[01374.10-01375.86] 日时和月尸是一个重点
[01375.86-01377.10] 日时和月尸
[01377.10-01379.62] 它往往会结合地理之时来考察
[01380.62-01381.90] 结合地理之后
[01381.90-01384.90] 一会儿我们来详细的讲讲日时和月尸
[01384.90-01385.98] 这是它的应用
[01385.98-01388.26] 在我下关键之前传播我在这里
[01388.26-01390.34] 能够看到打准止线
[01390.34-01392.26] 对吧,那就是极光准止
[01392.26-01394.46] 所以在这里同一们第一个层面就掌握
[01394.46-01397.46] 光眼直线传播,拍到哪些拥用啊
[01397.46-01399.86] 那第二步,咱们讲的小诚笑
[01399.86-01401.90] 接着来看一下日词和月词啊
[01401.90-01403.66] 我们来看一下日词和月词
[01403.66-01407.70] 日词和月词其实在现实生活当中还是比较长见的
[01407.70-01410.86] 比如说在今年其实就发生了好几次月词
[01410.86-01414.30] 你在古代的时候,我们都把月词叫做天狗10月对吧
[01414.30-01417.90] 而我们在这几年的时候也发现有一些日词对吧
[01417.90-01419.58] 这些都是日词和月词
[01419.58-01421.22] 那我们要去掌握的是什么呢?
[01421.22-01423.26] 就是要掌握日时和月时
[01423.26-01425.22] 为什么会形成
[01425.22-01426.90] 那日时和月时的形成呢?
[01426.90-01431.90] 其实是和太阳月亮和地球之间的这种位置和相对关系分不开
[01431.90-01433.90] 从来看一下一般情况之下
[01433.90-01435.38] 我们说了这个是太阳
[01437.38-01439.30] 中间的这个是地球
[01439.30-01442.18] 然后再小一点被到地球的就是月球
[01442.18-01443.46] 那当然应该知道啊
[01443.46-01445.70] 我们所说的月球本身发发光的
[01445.70-01447.06] 月球本身不发光
[01447.06-01449.88] 大家知道在整个天体与周当中只有谁发光
[01449.88-01452.86] 在整个天体与周当中只有红星是发光的
[01452.86-01456.52] 就换句话说在太阳系当中只有太阳才会发光
[01456.52-01458.46] 而太阳发光越球不发光
[01458.46-01461.40] 那越球们看到它的这个增量的这一面
[01461.40-01464.14] 其实通过反射太阳的光形成的
[01464.14-01469.20] 那如果现在我们所说的整个太阳越来和地球处在这样的位置
[01469.20-01471.90] 越球发光是反射来自太阳的光
[01471.90-01474.72] 也就是太阳正常情况下照到越球上
[01474.72-01476.50] 我们就能看到越球的样子
[01476.50-01482.40] 但現在我會發現如果地球運動在太陽核月亮中間的話
[01482.40-01485.20] 原本設想越球的光就被誰當出了
[01485.20-01486.50] 就被地球當出了
[01486.50-01488.02] 如果被地球當出了
[01488.02-01490.96] 這時候越球上還沒有反射的光了沒有了
[01490.96-01494.10] 越球上沒有反射的光越球就看不到
[01494.10-01495.70] 如果越球看不到的話
[01495.70-01496.98] 這個時候就發生了什麼
[01496.98-01498.26] 這時候就發生了
[01498.26-01499.30] 越時
[01499.30-01502.90] 所以第一個點我們標準一下越時當中的第一個點
[01502.90-01507.50] 我们要知道 月时是它的一个相对的位置是地球
[01509.30-01512.64] 那注意下 是地球处在太阳
[01513.90-01515.70] 月月月球中间
[01519.80-01522.10] 是地球处在太阳月月球中间
[01522.10-01524.40] 这是第一个我们的相对位置
[01524.40-01527.22] 这个一定要明确 是地球在中间
[01527.22-01530.30] 地球在中间 那这是第一个大家知道的
[01530.30-01532.80] 第二一個就是在這裡沒有要知道
[01532.80-01536.96] 發生越使我們最為不能說最常見
[01536.96-01539.20] 就是最容易發生越使的時間是什麼呢?
[01539.20-01540.50] 是濃力的食物
[01540.50-01541.80] 老生大不對
[01541.80-01543.10] 我們經常會聽到
[01543.10-01544.50] 這個食物的越量食物圓
[01544.50-01546.80] 這個時候食物圓量被他證明完了
[01546.80-01547.60] 其實不是的
[01547.60-01548.80] 因為一般情況之下
[01548.80-01550.10] 我們所看到食物圓
[01550.10-01551.80] 食物圓是大部分普遍的情況
[01551.80-01554.10] 而容易發生越使的情況
[01554.10-01555.30] 就是在濃力食物
[01555.30-01556.10] 所以大家注意一下
[01556.10-01557.30] 這是第二個點
[01557.30-01558.30] 第三個點
[01558.30-01559.80] 在考察日時和越使的時候
[01559.80-01562.62] 会考察啥呢?会考察越使的内心
[01562.62-01566.20] 我们就会发现我们的越使呢?要么就是一种情况
[01566.20-01567.98] 就是我们总能看到一半的越量
[01567.98-01569.52] 就像图片给大家展示的
[01569.52-01572.08] 对吧?那这种就叫做越偏使
[01574.90-01576.96] 要么就是越量一点的看不到
[01576.96-01579.52] 对吧?这种就叫做越全使
[01581.30-01582.58] 还有一种情况是什么?
[01582.58-01583.86] 还有一种情况就是
[01583.86-01584.64] 同没有知道
[01584.64-01586.42] 越量可能处在什么呢?
[01586.42-01589.76] 越量可能处在我们所说的这个地球的
[01589.76-01591.04] 因應當中
[01593.08-01594.48] 你看正常情況之下
[01594.48-01597.68] 太陽的過岸可能是四面八方傳過來的
[01597.68-01598.28] 對不對
[01598.28-01600.88] 這時候就會形成這樣一個狀態
[01600.88-01603.32] 如果越來越運行到什麼呢
[01603.32-01604.92] 運行到這個位置的話
[01604.92-01607.92] 我們就能看到有那種有點放紅的
[01607.92-01609.96] 但是看不到整個越來越這種
[01609.96-01612.52] 我們把它稱為叫做半影越遠使
[01615.64-01617.72] 把它稱為叫做半影越使
[01617.72-01618.96] 所以這是我們所說的
[01618.96-01621.48] 第一个月使 第一种情况
[01621.48-01624.04] 说月使之后我们再来看一看日使
[01624.04-01625.76] 日使就是一个什么状态
[01625.76-01627.36] 日使就是另外一个状态了
[01627.36-01632.16] 我们说了月球为绕专地球为绕太阳转
[01632.16-01635.68] 这时候月球一定会发生转动的
[01635.68-01638.24] 当月球转在中间的时候会发生什么呢
[01638.24-01639.40] 我们来看一下
[01639.40-01641.76] 现在如果说月球为绕地球转
[01641.76-01643.88] 这时候月球转到了中间
[01643.88-01646.16] 而地球转到了这边
[01646.16-01648.08] 这种情况之下我们会发现
[01648.08-01650.08] 原本我们站在地球上
[01650.08-01650.60] 对吧
[01650.60-01653.26] 我们站在地球上之后能够看到太阳的光
[01653.26-01655.64] 那如果现在越球处在中间的话
[01655.64-01659.28] 就会把原本来自照车到地球的光怎么样
[01659.28-01660.88] 照车到地球的光
[01660.88-01661.68] 折擋住
[01661.68-01662.72] 那这个时候你看
[01662.72-01665.68] 越球处在中间太阳就看不见了
[01665.68-01668.40] 太阳看不见就发生了叫做日史
[01668.40-01671.64] 所以在这里同时要记得第一个就是日史时
[01671.64-01677.92] 越球处在太阳和地球中间
[01677.92-01684.28] 就越球处在太阳和地球中间
[01684.28-01686.68] 所以叫越球在中间
[01686.68-01687.68] 越球在中间
[01687.68-01688.52] 那第二一个呢
[01688.52-01690.60] 就是很容易发生越使的
[01690.60-01692.36] 或者是日时
[01692.36-01694.28] 日时常见的时间是
[01694.28-01695.24] 濃力出一
[01695.24-01698.00] 所以在这里面把这两个时间去做一个区分
[01698.00-01698.88] 那第三个呢
[01698.88-01701.12] 就是它会考察一些日时的类型
[01701.12-01702.56] 日时有哪些类型呢
[01702.56-01702.96] 一样的
[01702.96-01705.52] 首先就可能太阳整个个看不见了
[01705.52-01707.16] 如果老师做怎么可能呢
[01707.16-01708.76] 说这个月球这么小
[01708.76-01709.48] 太阳那么大
[01709.48-01710.80] 它能够把汤都党中
[01710.80-01711.72] 是可以的
[01711.72-01713.52] 因为地月之间的距离
[01713.52-01715.92] 以及太阳和地球之间的距离
[01715.92-01718.00] 它们的距离是2分之一的关系
[01718.00-01719.24] 就是非常微妙
[01719.24-01720.72] 所以在这样的一个距离里面
[01720.72-01721.92] 这个月球的阴影
[01721.92-01724.28] 其实就能够把太阳全部折住
[01724.28-01727.12] 所以这时候就可以发生日权使
[01729.52-01730.76] 会发生日权使
[01730.76-01734.16] 只是太阳整个都在月亮的阴影当中了
[01734.16-01736.52] 那还有可能发生什么的日骗使
[01737.16-01741.96] 偏使也是有的,还有一种,就是为太阳所都有的。
[01741.96-01748.20] 就在这里,我给大家看到的这种情况,你看太阳现在处在这个状态收,外面留了一层编的,对吧?
[01748.20-01757.12] 这个编,就是越球正中间的党主的太阳,但是没完全该住,因为太阳太大了,那这种情况,这下就叫我什么,这叫做金编日史。
[01757.12-01760.12] 或者叫做日环史。
[01760.12-01764.80] 或者叫做日环史。
[01764.80-01767.24] 所以这是我们所说的日时和月时
[01767.24-01770.96] 它的本质都是由于光言直现传播所导致的
[01770.96-01773.40] 所以大家要知道这事日时和月时
[01773.40-01776.52] 那这里面同种除了掌握它的一个相对月时
[01776.52-01779.44] 它的类型和时间之外还有一个点一定要注意
[01779.44-01783.00] 就在这里面半影月时只有谁有
[01783.00-01784.36] 只有月亮有
[01784.36-01788.40] 而今边日时或者是叫日环史只有太阳才有
[01788.40-01790.16] 它有的时候在考试的时候
[01790.16-01791.48] 出过这么一个选项
[01791.48-01793.04] 当日月的选项说的是啥呢
[01793.04-01794.32] 大幼圈的说的是
[01794.32-01796.04] 说日时可分为
[01796.04-01798.80] 日全使日骗使和我们所说的
[01798.80-01799.72] 半影日使
[01799.72-01801.44] 你看这一看就是胡说八道
[01801.44-01801.80] 对吧
[01801.80-01804.16] 所以在这里面注意下这两个细节就OK了
[01804.16-01805.64] 这日时和月使
[01805.64-01807.40] 也是光言直播当中
[01807.40-01808.84] 我非常需要注意的
[01808.84-01810.12] 他的一个应用
[01810.12-01810.96] 这是第一个
[01810.96-01812.24] 叫直线传播
[01812.24-01814.28] 光除了能够直线传播之外
[01814.28-01816.12] 还会发生反射
[01816.12-01817.12] 反射
[01817.12-01818.32] 它分凉重情况
[01818.32-01819.16] 一种情况
[01819.16-01821.36] 同标主一下就做静面反射
[01821.36-01823.96] 金面反射就比如说有一束光
[01823.96-01825.72] 现在打在这个镜子上
[01825.72-01827.56] 由于这个镜面比较光滑
[01827.56-01830.32] 所以这个光就会严着这套法线
[01830.32-01832.88] 想另一个方向一箱同的角度射除
[01832.88-01834.96] 这种情况之下就镜面反射
[01834.96-01837.04] 金面反射的特点非常的明显
[01837.04-01840.00] 就是这个光它反射的方向只有一个
[01840.00-01841.08] 所以出场说了
[01841.08-01843.52] 说当反射面比较光滑的时候
[01843.52-01846.60] 人会平行的像一个方向射除
[01846.60-01848.64] 所以在这里面同一标主一下穿一
[01848.64-01852.32] 正面反射光的方向只有一个
[01852.32-01854.24] 所以在这里大家注意下这是第一个
[01854.24-01855.84] 第二个就是在这里
[01855.84-01858.20] 我们藏看到的静面反射的应用
[01858.20-01859.72] 首先第一个就是是静子
[01859.72-01862.12] 这静子能看到静子能看到静子能自解
[01862.12-01862.52] 对吧
[01862.52-01864.72] 主要就是光的反射所形成的
[01864.72-01867.72] 第二个就是越下的水坑
[01867.72-01869.24] 越下的水坑会怎么样
[01869.24-01870.20] 会很亮
[01870.20-01872.44] 这个地方考察过一个生活现象
[01872.44-01874.96] 就是我们经常说晚上如果在外面走
[01874.96-01876.20] 你没有手电桶的话
[01876.20-01877.40] 你要踩在什么地方
[01877.40-01879.96] 你是踩在比较黑的地方,还采在比较亮的地方
[01880.22-01882.26] 一定是踩在比较黑的地方,为啥
[01882.52-01886.10] 比较亮的地方是水坑,为什么水坑会比较亮?
[01886.36-01893.02] 因为在这种情况下,水面是比较光滑的,当月光照到水面上,它会严一个方向设出
[01893.28-01896.08] 这个时候我们能看到那个水面就是非常亮
[01896.34-01898.64] 但是土地不一样,土地奥突不平的
[01898.90-01904.28] 所以土地发生的不是静面反射,而是慢反射,所以我们就会发现走路的时候走
[01904.28-01906.28] 月下沒有亮光的地方
[01906.28-01907.92] 就是不能往水離彩
[01907.92-01908.62] 所以在這裡
[01908.62-01910.76] 月下的水控和靜子的原理是一樣的
[01910.76-01913.04] 造型就是我們所提到的叫做
[01913.04-01914.08] 前往靜
[01914.08-01915.12] 這個前往靜
[01915.12-01916.80] 它所調調的其實也是
[01916.80-01918.40] 比如說現在是這個樣子
[01918.40-01920.00] 你現在是在水下
[01920.00-01921.36] 你要通過前往靜
[01921.36-01922.92] 觀測到水面上的東西
[01922.92-01923.64] 怎麼辦呢
[01923.64-01924.80] 你就要在這個
[01924.80-01926.04] 我們所說的
[01926.04-01927.52] 這裡面安裝兩面靜子
[01927.52-01928.40] 第一面靜子呢
[01928.40-01929.44] 就是在這
[01929.44-01931.00] 外部事務的光線
[01931.00-01932.04] 打到這個靜子上
[01932.04-01934.32] 在第一个镜子上发生反射
[01934.32-01936.88] 因为镜面反射方向一定
[01936.88-01938.16] 打到第二名镜子上
[01938.16-01940.32] 然后第二名镜子再发生一次反射
[01940.32-01942.28] 然后应受到你的眼睛领
[01942.28-01943.92] 真是你的卡字栏眼睛
[01943.92-01944.76] 这种情况之下
[01944.76-01946.60] 就能够看到外面的事务了
[01946.60-01948.52] 所以前浪镜它也是什么
[01948.52-01949.68] 它也是反射
[01949.68-01952.44] 还有一个大助一下烤的比较多的
[01952.44-01953.60] 这里面烤得比较多的
[01953.60-01954.92] 前浪镜所以一个
[01954.92-01956.48] 还比一个烤得比较多的是
[01956.48-01959.52] 就车前边的车窗波里要做造成
[01959.52-01960.80] 做成清写的
[01960.80-01963.48] 我們都發現自己小教車那個玻璃都是清寫的
[01963.48-01965.00] 它為什麼沒有做成數值的
[01965.00-01966.68] 因為就車特別要安
[01966.68-01969.92] 而且在這個過程當中如果他做成數值的話
[01969.92-01971.04] 那這種情況之下
[01971.04-01973.28] 形容的影像就會應在這個什麼
[01973.28-01974.24] 小教車上
[01974.24-01976.28] 或者你自己的影像會應在小教車上
[01976.28-01977.72] 就是干擾你的駕駛
[01977.72-01979.36] 所以他才做成的是什麼
[01979.36-01980.36] 是清寫的
[01980.36-01983.16] 這樣清寫的話就不會在前導從玻璃上成像
[01983.16-01984.52] 你說也不會扮演
[01984.52-01986.84] 或者是平時開車的時候干擾到你
[01986.84-01988.84] 這個就是我們所說的這兩個
[01988.84-01990.00] 而这两个点呢
[01990.00-01993.00] 大家注意一下经常会考他的现象
[01993.00-01993.60] 现象
[01993.60-01994.88] 那这是我们所提到的
[01994.88-01996.36] 第一个就面反正
[01996.36-01998.56] 不是反射面比较光滑的时候
[01998.56-01999.60] 比如说一下镜子了
[01999.60-02001.08] 水烤了这样的东西
[02001.08-02003.96] 光线只能研以一个方向反射出去
[02003.96-02005.12] 但是问题就在于
[02005.12-02007.40] 我们所接触的很多的事物
[02007.40-02010.00] 它的表面其实并不是说光滑的
[02010.00-02010.80] 而是怎么样
[02010.80-02011.96] 奥突不平的
[02011.96-02015.16] 当光线照射到这些奥突不平的事物上的时候
[02015.16-02016.20] 就会发生什么呢
[02016.20-02018.76] 同标主一下就会发生漫反射
[02018.76-02021.62] 所以漫反射把它画出来是反射面
[02021.62-02024.60] 比较粗粗比如说强壁比如说猪面
[02024.60-02025.44] 比如说衣服
[02025.44-02027.08] 它这个反射面可能是这样的
[02027.08-02028.84] 如果反射面比较粗粗的话
[02028.84-02031.44] 它的这个光线就不会沿着单一的方向射出
[02031.44-02032.52] 而是会沿着什么
[02032.52-02034.64] 而是会沿着四面帮方射出去
[02034.64-02036.60] 所以在这里同标主一下圈一
[02036.60-02040.64] 就是漫反射的光的反射方向是各个方向都会射出去
[02040.64-02042.72] 所以大家标主一下这是圈一
[02042.72-02045.08] 那第二个就是我们需要注意的就是
[02045.08-02047.66] 在这里就是漫粉色它的一个应用
[02047.76-02048.74] 它的应用呢
[02048.74-02050.76] 同时我们看一下酥上酥给到的
[02050.76-02053.58] 同一标主全二第二点长过他的应用
[02053.58-02056.14] 说在自然光下的观测不同的物体
[02056.14-02058.32] 颜色名案不会有明显的差别
[02058.32-02059.52] 然后再往下他说了
[02059.52-02063.30] 白天有时没有阳光照镜这个房子里
[02063.30-02063.94] 房间呢
[02063.94-02065.10] 人会很亮
[02065.10-02067.66] 这里面其实强调了都是我们所说的
[02067.66-02068.68] 漫粉色
[02068.68-02070.48] 所以在这个地方大家
[02071.76-02072.52] 注意一下
[02072.52-02074.56] 这是漫粉色它的一个基本情况
[02074.56-02075.08] OK吧
[02075.08-02077.38] 在这个漫粉色当中除了在白天
[02077.38-02078.98] 说看到这个东西很亮之外
[02078.98-02080.58] 它最长考的其实是什么
[02080.58-02082.88] 是电源的木部把这个起来旁边
[02086.46-02087.24] 电源的木部
[02087.50-02090.66] 电源的木部或者是我们所说的头影的那个部
[02090.66-02091.90] 我不知道大量就见过啊
[02091.90-02094.34] 就是现在应该没有这种东北体了
[02094.34-02095.30] 或者是比较少了
[02095.30-02097.10] 我记得我小学的时候
[02097.10-02098.74] 其实也有些大学里面也有
[02099.02-02101.30] 就是大家想想那个电源的木部
[02101.30-02103.10] 或者是我们在学校里面
[02103.54-02105.02] 高小教材当中
[02105.02-02106.62] 或者是我们现在的高中出中
[02106.62-02108.34] 它在用那种头影的时候
[02108.54-02110.34] 用木部那个头影的那个面
[02110.58-02112.22] 因為頭有的面是柯力感
[02112.22-02113.98] 就是一個另一個列人的這種感覺
[02113.98-02115.82] 那這種情況之下其實就是
[02115.82-02117.78] 為什麼要用這種柯力壯的
[02117.78-02120.74] 奧突不平的這種東西做放硬的頭射
[02120.74-02123.22] 為啥不在那邊畫面進入了這個方式的頭射呢
[02123.22-02124.50] 其實很簡單
[02124.50-02125.70] 原因就是在於
[02125.70-02127.38] 如果說像電源的木部
[02127.38-02130.22] 或者是我們所說的這種頭硬的這種木部的話
[02130.22-02131.74] 它表面奧突不平
[02131.74-02133.22] 那當那個頭硬的光
[02133.22-02135.38] 或者是電源放電源的那個機器的光
[02135.38-02136.82] 打在這個木部上的時候
[02136.82-02139.78] 這個光線會掩著四面八方頭射出去
[02139.78-02143.36] 那也就意味着你坐在这个电源当中的各个方向
[02143.36-02145.36] 你其实都能看到这个电源吧
[02145.36-02148.16] 那如果在前面挂的不是这种奥突不平的目播
[02148.16-02149.00] 而是镜子呢
[02149.00-02152.82] 这种光打在镜子上只有坐在那的人能够看到电源
[02152.82-02154.82] 正中间的人能够看到电源
[02154.82-02156.34] 所以在这里面我们就说了
[02156.34-02158.34] 当然是要挂这种奥突不平的
[02158.34-02160.08] 因为它反射的方向非常多
[02160.08-02161.68] 四面八方你都能看到到
[02161.68-02163.28] 所以这是慢反射
[02163.28-02165.38] 所以慢反射也是反射的一种
[02165.38-02166.66] 在这里面大家注意啊
[02166.66-02168.14] 今年的反社和漫粉社
[02168.14-02170.02] 没有考过特别难的地方
[02170.02-02171.78] 就在这里面没有像前面说
[02171.78-02174.26] 日时和月时做拖战争
[02174.26-02174.98] 考察
[02174.98-02176.74] 而在这里面仅议就只是考察过
[02176.74-02178.66] 它的现象和原理的对应
[02178.66-02180.58] 大家在这儿都对用上就行了
[02180.58-02183.38] 这是我们所说的叫做漫粉社
[02183.38-02186.50] 第三种的光学现象就叫做指额社
[02186.50-02188.26] 这个折瘦它强的的是
[02188.26-02191.30] 光在不同的戒指当中传播的结果
[02191.30-02193.62] 它说光从一种透明戒指
[02193.62-02195.78] 写射入另一种透明戒指时
[02195.78-02203.34] 在两种阶纸的传播处会发生光的传播方向会发生改变的一个现象
[02203.34-02207.82] 举个简单的例子 假设现在的有一个水面 水面
[02207.82-02211.94] 然后呢 这个是下面就是水 上面就是什么 就是空气
[02211.94-02216.38] 空气和水是两种不同的东西 也是两种不同的阶纸
[02216.38-02220.86] 正常情况之下 光应该是在空气当中研執线传播的
[02220.86-02223.26] 正常情况下 光应该是研執线传播
[02223.26-02227.52] 但是如果说 折磊社就是从一种阶止社到绿种阶止的时候
[02227.52-02229.42] 光线就不是这种直线的了
[02229.42-02230.62] 而是会发生什么
[02230.62-02233.50] 而是会发生相应的天折
[02233.50-02235.26] 那这种情况之下你看
[02235.26-02237.58] 这种发生天折的这种现象
[02237.58-02240.10] 光的传播方向发生变化的这种现象
[02240.10-02242.02] 就叫做光的折磊社
[02242.02-02243.22] 那叫光的折磊社
[02243.22-02243.98] 那折磊社呢
[02243.98-02246.22] 它主要考的就是它的一个应用
[02246.22-02247.18] 我们来看一下
[02247.18-02249.62] 折磊在线社和当中的应用特别多
[02249.62-02251.54] 比如说土透镜和烤透镜
[02251.54-02255.70] 这个突透镜就是放大镜大家能够看到对方的东西
[02255.70-02257.30] 所以突透镜和奥透镜
[02257.30-02261.22] 还有我们所说的彩红形成一核折穴关
[02261.22-02264.26] 又或者我们常说的是是老春圈圣景
[02264.26-02266.10] 看到假的影像
[02266.10-02268.34] 它是折穴和光的全放圣形成的
[02268.34-02270.98] 所以点形成是把那个块子插到水里
[02270.98-02272.66] 反而快个好像是咋的
[02272.66-02274.10] 好像是蛇了 对吧
[02274.10-02277.22] 这个地方其实强调了都是我们所说的折穴
[02277.22-02278.66] 所以你看它后面说了
[02278.66-02282.38] 水中的筷子彎者 水中的鱼比实际要大
[02282.38-02285.50] 水很轻的 使用的看上去比实际要浅
[02285.50-02288.86] 这都是由于光线 在水中发生偏折之后
[02288.86-02292.10] 所导致的 因演就所看到的这种现象
[02292.10-02293.58] 就叫做光的折瘦
[02293.58-02295.90] 那像这里面的 还是顺楼啊
[02295.90-02299.94] 筷子彎者 鱼比叫大啊 或者是水底看起标钱的
[02299.94-02303.38] 是比较常间的现象 也是生活当中比较常间的
[02303.70-02305.90] 这个地方它不会出太难的体制
[02305.90-02307.52] 只是需要我们出现这种现象的时候
[02307.52-02309.42] 知道是光的折瘦就可以了
[02309.42-02310.50] 重点在什么呢
[02310.50-02311.38] 大助一下
[02311.38-02313.46] 重点在于突透金奥透金
[02313.46-02316.54] 它的一个应用以及彩虹它的形成
[02316.54-02318.22] 这两个点是在考试当中
[02318.22-02321.18] 很容易做外言托展出去的地方
[02321.18-02322.10] 那么现在这
[02322.10-02324.18] 先来看一下突透金和奥透金吧
[02324.18-02325.58] 突透金和奥透金
[02325.58-02329.58] 它往往容易对比突面进和欧面进来考察
[02329.58-02330.54] 大助爷
[02330.54-02332.46] 突透金它是一种透金
[02332.46-02333.46] 比如说在这个地方
[02333.46-02334.86] 它所给到的这个突透金
[02334.86-02338.34] 我们来看一下这个地方的突透机我给大家画了一个图
[02338.34-02339.94] 它有什么样的作用呢
[02339.94-02341.66] 你看红色的这个线啊
[02341.66-02342.86] 这是这个红色的线
[02342.86-02345.30] 它代表的是我们所说的光线
[02345.30-02347.26] 当光线通过突透机的时候呢
[02347.26-02350.10] 会具交你看最终交具在什么点上
[02350.10-02351.94] 最终具在iF点上
[02351.94-02353.22] 所以在注意下
[02353.22-02355.02] 红约标着一下圈一啊
[02355.02-02356.82] 突透机它的作用
[02359.14-02360.66] 突透机能作用啊
[02360.66-02363.86] 一定要知道你看它让能够让光线会计到一点
[02363.86-02365.50] 所以土土金的做人就是什么
[02365.50-02367.18] 就是居光
[02367.18-02368.94] 土土金的做人就是居光
[02368.94-02372.62] 最常见的土土金的英雄是放大金
[02372.62-02374.50] 但应该小的时候
[02374.78-02377.10] 讨计的时候应该用放大金玩过来
[02377.10-02378.58] 有时候考个数液
[02378.58-02379.98] 外面天气特别挺的时候
[02379.98-02381.34] 拿出液放在石头上
[02381.34-02383.10] 然后把这个放大金给着放一会
[02383.10-02384.42] 归一会这个数液就咋的
[02384.42-02385.10] 冒煙了
[02385.10-02386.06] 没啥能够冒煙
[02386.06-02389.10] 而且你也能看到那个数液上有一个原源的桶点
[02389.10-02390.98] 那其实就是土土金在干嘛
[02390.98-02391.98] 在居光
[02391.98-02393.62] 这是因为土土金在居光
[02393.62-02394.90] 那支持我们所说的
[02394.90-02396.94] 途徒境它的英远就是放大景
[02396.94-02398.42] 或者是我们所说的
[02398.42-02399.50] 老花镜
[02399.50-02400.54] 都是途徒境
[02400.54-02402.54] 所以大家距下它的作用是什么
[02402.54-02403.70] 这是第一个途徒境
[02403.70-02404.62] 那第二个呢
[02404.62-02405.78] 就是我们所说的这个
[02405.78-02406.66] 偶逃境
[02410.10-02411.54] 第二个就是偶逃境
[02411.86-02412.82] 偶逃境的话
[02412.82-02414.34] 你看一下就是下面这个途
[02414.34-02415.26] 当光线
