[00000.00-00004.90] 大家好,我是截出青年的截瑞,欢大家来进行新的本块学习。
[01231.18-01232.58] 他不是一张训维报吗
[01232.58-01235.02] 岁报的中间不是会有一些家层吗
[01235.02-01236.86] 在这里面就写了高斯的故事
[01236.86-01238.90] 然后当时那个高斯的故事说的是什么呢
[01238.90-01241.02] 说高斯他有一个外号叫什么
[01241.02-01242.06] 同票是在旁边
[01242.06-01244.26] 这个点在学校当中还真的出现过
[01244.26-01246.26] 就是数学王子
[01246.66-01248.86] 没随了 对吧 相当之牛了
[01248.86-01250.14] 高斯这个小孩
[01250.14-01251.90] 高斯打小就聪明
[01251.90-01253.94] 然后就是这个孩子打小儿就聪明
[01253.94-01256.66] 这是它小学,它不能是小学的实际随的时候
[01256.66-01260.14] 就破解了困扰欧洲人很难的这个难体,什么难体呢?
[01260.14-01263.54] 如果给你一堆数从一家到家二
[01263.54-01265.46] 然后加三加加加加加加加加加加加加加加加加
[01265.46-01266.82] 假设了,一只加到一百
[01266.82-01270.78] 那以前的话,人们都怎么算呢?都是一个一个去算
[01270.78-01273.94] 但是公司突然就发现来我可以加组去为留中间
[01273.94-01276.02] 就是一家一百
[01276.02-01279.14] 然后成也我们所说的一百
[01279.14-01280.14] 然后再出一二
[01280.14-01282.94] 就是它发现了其实可以用这种变击的方式算
[01282.94-01284.22] 所以他打小就聪明
[01284.22-01286.02] 他当然高斯的数学成就
[01286.02-01287.54] 原远不止这些
[01287.54-01288.94] 但咱们只需要记住
[01288.94-01290.86] 高斯他是要数学王子就行了
[01290.86-01292.10] 就是这些科学家
[01292.10-01293.58] 只是还是答有意思的
[01293.58-01294.90] 这是我们所说的
[01294.90-01295.54] 第一个点
[01295.54-01296.18] 大家要注意一下
[01296.18-01297.02] 只高斯
[01297.02-01299.50] 第二个就是我们所提到的叫做
[01299.50-01300.50] 牛顿
[01300.50-01302.50] 牛顿你说老实他不是个数学家吗
[01302.50-01303.58] 那不是屏幕我打脑的
[01303.58-01304.30] 上那个吗
[01304.30-01304.78] 对
[01304.78-01305.46] 大注意
[01305.46-01307.50] 这是以前的人聪明聪明在
[01307.50-01308.98] 他真是一通百通的
[01308.98-01310.22] 这像我们好的说的说
[01310.22-01310.98] 学好数理花
[01310.98-01312.38] 走边天下都不太一样
[01312.38-01317.46] 它物理特别好 它前提就数学特别好 又要很多大量的测算
[01317.46-01319.42] 所以牛顿它的数学也很好
[01319.42-01322.02] 牛顿的数学成就是什么呢? 同标出一下
[01322.02-01325.10] 和牛顿有关还有另外一个人就说来不你资
[01325.10-01327.74] 所以牛顿的与来不你资
[01331.18-01334.90] 他们两个分别独立的发现了 危机分
[01337.10-01338.66] 是分别独立发现的
[01338.66-01340.54] 所以说危机分的创立者说
[01340.54-01342.74] 是牛盾和来不离子对不对
[01342.74-01343.78] 是对的
[01343.78-01344.94] 所以在这里面
[01344.94-01346.82] 这是牛盾的他成就
[01346.82-01347.62] 这个VG分了
[01347.62-01349.30] 我现在除了有这个概念之外
[01349.30-01350.78] 就是他具体怎么算的
[01350.78-01351.82] 我一点儿
[01351.82-01352.62] 我就记不住了
[01352.62-01354.22] 我就只记得什么有VG分定
[01354.22-01354.62] 几分
[01354.62-01356.10] 然后我们上学的时候
[01356.10-01358.98] 总听学金融和经济的同学说
[01358.98-01360.62] 说什么大学里有一科数
[01360.62-01361.70] 叫做高数
[01361.70-01362.82] 上面挂了很多人
[01362.82-01364.30] 估计就挺难学的
[01364.30-01364.54] 对吧
[01364.54-01367.34] 但是牛盾他发现和发明了
[01367.34-01368.38] 这样的那种算法
[01368.38-01369.02] 那就说白了
[01369.02-01374.06] 我们所说的创造力和这种对于真理的追求
[01374.06-01378.54] 这是我们所说的 忘成墨级的
[01378.54-01380.14] 所以在这个地方大家注意一下
[01380.14-01381.74] 这是第二个人物 阿基米的
[01381.74-01386.14] 阿基米的 它的这个成就主要是两个方面
[01386.14-01388.06] 大家要注意一下 那这是第二个
[01388.06-01390.62] 但是我们刚才说了无论是太乐思 还是阿基米的
[01390.62-01393.82] 它都是什么 古西拉的主要的 科学家
[01393.82-01395.74] 那么再来看一下第三个人叫什么的
[01395.74-01396.86] 叫做哥外宁
[01396.86-01398.86] 这个时候同学们会很好奇啊
[01398.86-01400.20] 或许你不好奇
[01400.20-01401.56] 但是你假装好奇一下
[01401.56-01403.02] 这是我们刚才说了
[01403.02-01404.32] 太了思也好
[01404.32-01406.66] 还有我们所提到了这个阿基米的也好
[01406.66-01408.56] 他都是公圆钱的人物
[01408.56-01409.36] 大家有发现吧
[01409.36-01411.66] 他都是作为公圆钱的人物存在的
[01411.66-01413.10] 但是你看
[01413.10-01415.86] 到了个白米的时候就到了一五四三年
[01415.86-01418.68] 也就是从公园前几倍几倍年
[01418.68-01419.96] 公园前几年
[01419.96-01422.00] 一干字知道了一五四三年
[01422.00-01424.82] 中年是过出缺了一千多年的时间
[01424.82-01426.60] 这个时候同学们
[01426.60-01427.38] 就是说老师呢
[01427.38-01428.92] 这一千多年的时间里面
[01428.92-01430.96] 他难道没有一些其他的成就吗
[01430.96-01432.50] 大家注意一下其实也有的
[01432.50-01433.78] 但是问题出在哪儿呢
[01433.78-01434.80] 问题出在
[01434.80-01437.10] 就是在中世记等欧洲
[01437.10-01440.94] 它是神学统治时机比较长的这种时间段
[01440.94-01444.52] 所以神学统治就不允许
[01444.52-01448.08] 科学家对于神学产生一定的质疑
[01448.08-01449.78] 大家都知道科学是怎么来的
[01449.78-01452.48] 科学最开始是为了证明神的存在
[01452.48-01455.16] 然后在我们所说的神学也好和宗教内部
[01455.16-01457.00] 选了一些人说你们去研究研究
[01457.00-01458.32] 然后就证明神的存在
[01458.32-01460.84] 结果被选出来的这些人就叫做科学家
[01460.84-01462.76] 结果他们研究了研究发生
[01462.76-01463.48] 奇怪啊
[01463.48-01464.04] 对了
[01464.04-01465.88] 这神好像评不存在
[01465.88-01468.36] 所以在这里面才有了我们所说的吧
[01468.36-01471.68] 我们所提到的科学和神学分开
[01471.68-01473.56] 因为原本科学和神学是在一起的
[01473.56-01474.88] 后来才分开了
[01474.88-01477.44] 所以到了中世纪就神学统治结束
[01477.44-01479.60] 科技才逐渐的进步发展
[01479.60-01481.44] 于是才到了中世纪之后
[01481.44-01483.12] 科学有了极大的进步
[01483.12-01484.40] 在这个时期
[01484.40-01486.60] 突显了一个非常优秀的人物是谁呢
[01486.60-01487.56] 大家注意一下就是
[01487.56-01488.56] 哥白尼
[01488.56-01489.36] 来看一下
[01489.36-01490.20] 哥白尼
[01490.20-01491.48] 他也有自己的一些
[01492.24-01493.28] 我们所说的成就
[01493.28-01494.20] 同们画一下
[01494.20-01495.64] 说1543年
[01495.64-01498.40] 发表了天体运行论提出了日系说
[01498.40-01500.16] 同们注意这里面两个点
[01500.16-01501.16] 第一个点是啥呢
[01501.16-01501.88] 1543年
[01501.88-01504.00] 你说老师我要把这个时间背下来吗
[01504.00-01504.84] 同时不需要
[01504.84-01505.72] 你就大概知道
[01505.72-01507.60] 哥白你是科技革命之前的人
[01507.60-01508.44] 还之后的人
[01508.44-01511.44] 你就记得哥白你是科技革命之后的人就OK了
[01511.44-01513.76] 那哥白你他的主要的成就在于
[01513.76-01515.76] 他提出了叫做日行说
[01515.76-01517.32] 同时在日行说旁边写上
[01517.32-01518.96] 也叫做地动说
[01522.20-01524.32] 日行说也叫做地动说
[01524.32-01526.48] 这是在以前宗教神学当中
[01526.48-01528.96] 人们认为谁才是宇宙的中心
[01528.96-01530.76] 人们认为地球才是宇宙的中心
[01530.76-01532.30] 那为啥在宗教神学当中
[01532.30-01533.82] 认为地球才与州中心呢
[01533.82-01535.80] 因为生命当中说了
[01535.80-01537.92] 说因为神创造了地球
[01537.92-01539.80] 然后在这个时候呢
[01539.80-01541.40] 就只有地球上的生命
[01541.40-01543.82] 所以在这里地球才是与州的中心
[01543.82-01544.76] 但是哥白你啊
[01544.76-01545.66] 他去研究的时候
[01545.66-01547.16] 他发现观测的时候
[01547.16-01548.28] 他好像是观测到说
[01548.28-01551.72] 好像地球他不是与州的中心
[01551.72-01553.88] 所以他把他的这个想法写在哪呢
[01553.88-01555.80] 写在了天体运行论当中
[01555.80-01557.16] 所以天体运行论里面
[01557.16-01558.44] 他就开始在那里面
[01558.44-01559.80] 是画各种高度图
[01559.80-01561.34] 然后说什么
[01561.34-01562.94] 太地球不是与州的中心
[01562.94-01564.92] 关锁到了好像是太
[01564.92-01566.28] 当然他的这种想法
[01566.28-01567.98] 他当时其实是不敢说的
[01567.98-01569.52] 虽然当时是我们所说的
[01569.52-01571.68] 这个宗教神学他出现了示威的
[01571.68-01573.48] 或失落的这样的情况
[01573.48-01574.84] 但是如果说
[01574.84-01577.20] 个万一也就公开发表说日兴说的话
[01577.20-01580.28] 那其实也会受到宗教的迫害
[01580.28-01582.64] 所以他就没敢发表他的天体运行论
[01582.64-01584.64] 以及天体运行论当中提到的
[01584.64-01587.20] 太阳是与州的中心的日兴说的这种说法
[01587.20-01589.32] 什么时候这个住作才发表呢
[01589.32-01591.56] 就是到了我们所说的一五四三年
[01591.56-01593.52] 就个班你是在这一年去世的
[01593.52-01594.56] 传说啊
[01594.56-01596.88] 传说天你原行乐运行完了之后
[01596.88-01598.92] 正好是个班你去世的那一天
[01598.92-01601.84] 但是也不知道个班你有没有看到他的这个注作
[01601.84-01603.28] 所以就提到了日兴说
[01603.28-01605.24] 日兴说就是咱们现在所看到的
[01605.24-01607.96] 对吧,在整个太阳系当中
[01607.96-01609.56] 太阳是整个中心
[01609.56-01610.76] 当然他那个时候没有说
[01610.76-01611.52] 他用系列的概念
[01611.52-01613.96] 那个时候说太阳是与州的中心
[01613.96-01616.00] 但是现于他的所观测的角度
[01616.00-01618.08] 在日兴说之前的叫做地兴说
[01618.08-01620.18] 就是这个蓝色的看到没有
[01620.18-01621.56] 这个蓝色的是地球
[01621.56-01623.12] 所以太阳美肉地球转
[01623.12-01624.64] 这是以前的我们所说说
[01624.64-01627.24] 就所有的天体都是为肉地球转的
[01627.24-01628.44] 这个叫地心说
[01628.44-01630.68] 但是它通过观测发现其实不是这样的
[01630.68-01632.40] 有提出的叫日心说
[01632.40-01634.52] 所以提到日心说和地动说
[01634.52-01636.64] 大主意下说的是一个点
[01636.64-01638.72] 这既然是它是中心嘛
[01638.72-01640.36] 那谁本而要谈一段地球吗
[01640.36-01641.24] 所以地动说
[01641.24-01642.72] 它们两说的是一个
[01642.72-01643.56] 那这是第一个点
[01643.56-01644.64] 大家要注意一下
[01644.64-01646.96] 那第二个点就在这同一标注意一下
[01646.96-01651.32] 就是他的天体运行路的发表有什么样的意义
[01651.32-01654.00] 他的天体运行路的发表其实就运试着画一下
[01654.00-01657.20] 叫近代在科学的诞生
[01657.20-01661.28] 也就是这个时候我们就把神学和科学怎么样
[01661.28-01662.52] 剥离开来了
[01662.52-01664.52] 所以神学说的并不都是对的
[01664.52-01668.20] 所以在这里他说叫宣标志的近代诞科学的诞生
[01668.20-01671.56] 而哥伴你这个人标注一下全三这个地方
[01671.56-01674.48] 就会考察任务和他描述的对应版
[01674.48-01675.80] 那个本来你就是什么
[01675.80-01683.24] 第一个公开向神学发几条战并画宣告战科学独立的学科
[01683.24-01686.32] 这个宣告战科学独立其实就是近代战科学单手
[01686.32-01688.96] 有时候意味着科学不在衣服于神学
[01688.96-01690.96] 他不是神学的一个内容了
[01690.96-01693.32] 所以他是第一个公开向神学发几条战人
[01693.32-01694.40] 他做作的发表了
[01694.40-01694.92] 对吧
[01694.92-01696.88] 然后最后宣告战科学独立
[01696.88-01698.48] 所以他如果给到说
[01698.48-01700.76] 第一个公开向神学发几条战
[01700.76-01703.16] 并宣告战独立的科学家是谁
[01703.16-01704.64] 要知道是个白泥
[01704.64-01706.20] 所以这是我们所说的
[01706.20-01707.56] 它身上的三个电
[01707.56-01708.64] 当然除了个白泥
[01708.64-01710.20] 只在大家还要注意另外一个电
[01710.20-01711.08] 同时在个白泥
[01711.08-01712.48] 旁边标主缺死
[01712.48-01714.68] 也是对于它我们需要掌握的
[01714.68-01716.08] 第四个方面的内容
[01716.08-01718.44] 说说和个白泥有一个人
[01718.44-01719.92] 和个白泥特别的效
[01719.92-01720.92] 这个人是谁呢
[01720.92-01723.68] 大家在口电上总认把他搞惠
[01723.68-01725.92] 这个人就是不炉落
[01730.20-01730.80] 不炉落
[01730.80-01731.52] 大家注意一下
[01731.52-01732.60] 不炉落是谁呢
[01732.60-01734.60] 不容易是个班尼的迷逼
[01734.60-01736.40] 这是他的投号粉丝
[01736.40-01738.32] 不容易他这个人是天生
[01738.32-01740.16] 就有一些反抗就是人在的
[01740.16-01742.08] 这是他家其实是相当人说
[01742.08-01743.84] 不要传统的种目视的家庭
[01743.84-01746.28] 但是不容易的从小就喜欢看技术
[01746.28-01747.28] 什么叫技术呢
[01747.28-01749.16] 就是当时宗教不让看得署
[01749.16-01750.12] 他都喜欢看
[01750.12-01751.48] 就我在这个技术当中
[01751.48-01753.08] 发现了个班尼的天体语语语语
[01753.08-01754.36] 后来他就发现话
[01754.36-01755.76] 这不说话说得好道理
[01755.76-01758.52] 然后他就要去倒出去演讲
[01758.52-01759.32] 然后就说
[01759.32-01760.36] 个班尼说的是对的
[01760.36-01762.04] 然后当然他这个人自己
[01762.04-01764.64] 也是一个非常了不起的这样的一个理论学家
[01764.64-01767.34] 然后他在物理层面上有很多的层件
[01767.34-01769.48] 然后他就去发表自己的一些观点和间谍
[01769.48-01773.16] 所以他走到哪儿他就把宗教採判就是打宗教骂到呢
[01773.16-01775.92] 所以当时这个宗教就像抓住这个人
[01775.92-01777.72] 专出这个人就是因为这个布魯龙
[01777.72-01779.40] 他天天都说宗教会话说
[01779.40-01781.76] 什么地球是与这种中心
[01781.76-01782.76] 然后就说放屁吧
[01782.76-01784.24] 对吧然后他人就说啊
[01784.24-01785.48] 人神说了什么什么什么
[01785.48-01786.48] 什么神早就没了
[01786.48-01788.68] 就类似于这种工开跟他对着干
[01788.68-01790.64] 所以当时宗教就抓这个布魯龙
[01790.64-01792.18] 不符轮的就满欧洲跑的
[01792.18-01793.64] 先后在欧洲赚了6000
[01793.64-01794.66] 就是为了逃避
[01794.66-01797.48] 我们所说的总叫对他的这个迫害
[01797.48-01799.20] 但是到了后来的时候的不符轮
[01799.20-01800.66] 就被宗教骗回去了
[01800.66-01801.92] 最终就被逮捕了
[01801.92-01802.66] 被逮捕了之后
[01802.66-01804.98] 因为他在整个他跑跑
[01804.98-01807.54] 欧洲的路线上发表了很多的住座
[01807.54-01809.54] 甚至去到很多的大学做演讲
[01809.54-01811.30] 当时的牛心大学
[01811.30-01812.92] 还想拼请他做这个
[01812.92-01814.22] 我们所说的客作教授
[01814.22-01815.30] 但当时不符轮说
[01815.30-01816.50] 你们这个学校
[01816.50-01818.68] 不是你想拼请我我就去的
[01818.68-01819.04] 对吧
[01819.04-01820.44] 你我带看看你
[01820.44-01822.16] 你们这个学校顾不够资格
[01822.16-01824.00] 然后他说当时在这个学校里面
[01824.00-01825.84] 公开发起了一场辩论
[01825.84-01826.56] 什么辩论呢
[01826.56-01829.24] 就辩论客学理论和宗教神学
[01829.24-01830.32] 之间的这个关系
[01830.32-01834.40] 他就要用他的理论来印着所谓的宗教学学啥也不是
[01834.40-01836.64] 后来给这个学校搞的这个辩论是开完了
[01836.64-01839.28] 结果大家真的就类似于绝醒了吧
[01839.28-01840.92] 但是当时这个学校特别害怕
[01840.92-01843.36] 因为破语当时的语论压力
[01843.36-01845.00] 所以他当时就跟这个布魄弄声
[01845.00-01845.84] 实在抱歉啊
[01845.84-01847.32] 说我们没有办法拼你
[01847.32-01849.12] 不容易意识到了这个结果
[01849.12-01850.44] 但是他觉得没有关系
[01850.44-01852.84] 所以这个布龙弄的继续在欧洲
[01852.84-01855.00] 然后不断地去跑
[01855.00-01856.16] 然后不断地发表诸作
[01856.16-01857.52] 他的影响就会越来越大
[01857.52-01860.16] 对于宗教的这种汉动就会越来越大
[01860.16-01861.64] 后来宗教实在说不行了
[01861.64-01864.16] 所以在把这个布龙弄的隔壁放着那完了
[01864.16-01864.56] 对吧
[01864.56-01866.48] 那这行了的天下就是他布龙弄的了
[01866.48-01868.76] 谁还听我这个宗教神学的呢
[01868.76-01869.60] 他给他骗过去
[01869.60-01870.48] 骗去的抓起来
[01870.48-01872.56] 抓起来之后就要出死这个布龙弄
[01872.56-01873.40] 然后呢
[01873.40-01875.12] 这个布龙弄说杀我就杀了我
[01875.12-01875.92] 我没再怕的
[01875.92-01876.72] 一条命而已
[01876.72-01879.80] 但宗教当时的宗教才说就跟布魯木说
[01879.80-01882.86] 他说你要不这样说我们也不是布江里的人
[01882.86-01885.16] 你现在只要发表一片文章
[01885.68-01887.22] 在这个文章当中说
[01887.48-01890.54] 你布魄诺之前说的那些话全都是不对的
[01890.54-01894.12] 我们就杀了我们就杀了你了不对我们就放了你
[01894.38-01896.44] 当时布魄诺怎么说呢布魄诺说
[01896.68-01898.22] 不用给我机会
[01898.22-01903.86] 说我不需要对吧说我亲中的回应就连高加所的这个山川都难于融化
[01903.86-01905.66] 真是他对于真与追求的回应
[01905.66-01908.34] 他说哪怕像三人一样被烧死
[01908.34-01909.50] 我也绝不妥协
[01909.50-01910.90] 后来宗教一听我的天哪
[01910.90-01911.22] 对吧
[01911.22-01912.70] 这是一名勇是斗事
[01912.70-01913.82] 还有这种要求
[01913.82-01916.02] 后来不如诺就被宗教採饭所
[01916.02-01916.98] 活会烧死了
[01916.98-01918.70] 所以再不诺诺旁边写上
[01918.70-01922.42] 就是被宗教採饭所
[01925.58-01927.86] 宗教採饭所
[01928.54-01929.66] 烧死的人
[01930.70-01932.22] 是不诺诺
[01932.22-01933.46] 而不是个本你
[01933.46-01935.10] 考试的时候经常会把他俩
[01935.10-01935.74] 搞混
[01935.74-01937.06] 所以在个外尼宣上
[01937.06-01937.98] 一共有四个点
[01937.98-01939.10] 一个是他的成就
[01939.10-01940.78] 以及他的粉丝
[01940.78-01942.06] 所以在这里大家注意
[01942.06-01943.22] 第三个个外尼
[01943.22-01944.38] 记得他是钱
[01944.38-01945.82] 科技革命时期的人物
[01945.82-01947.66] 第四个人就叫做
[01947.66-01948.30] 甲里瑞
[01948.30-01950.58] 他被称为欧洲的压力十多个
[01950.58-01951.82] 甲里瑞年烧的时候
[01951.82-01953.02] 就已经文明欧洲了
[01953.02-01955.10] 二十多岁刚出头
[01955.10-01957.30] 就在欧洲已经非常非常有名了
[01957.30-01958.10] 咱们来看一下
[01958.10-01959.02] 有关于甲里瑞
[01959.02-01961.82] 他有哪些我们所说的具体的成就
[01961.82-01963.38] 首先第一个同胜标准一下
[01963.38-01965.78] 就加励率开创了近代实验科学
[01965.78-01967.98] 标注权于这个点非常重要
[01967.98-01970.34] 然后把这个实验去复划出来
[01970.34-01974.86] 同时知道现在很多科学的这样的一些理论或者是物理的理论
[01974.86-01976.10] 化学的理论等等
[01976.10-01977.10] 它是怎么来的
[01977.10-01978.94] 它是不是科学家拍脑们说
[01978.94-01980.54] 我用理论推导理论
[01980.54-01982.86] 然后就得出了新的结论的不施了
[01982.86-01985.58] 它往往是通过大量的实验得出来的
[01985.58-01987.38] 比如说我们经常会提到说
[01987.38-01990.02] 按照化学物质之间产生发生反应
[01990.02-01991.94] 那这有时候化学物质间产生反应
[01991.94-01994.74] 我不能说美条在空气中燃烧当中
[01994.74-01997.58] 我就在猜測说美条在空气中燃烧
[01997.58-01999.54] 生成什么东西发出什么光
[01999.54-02000.90] 这是猜測
[02000.90-02004.86] 而我们所说的美条到底在空气中燃烧会产生什么效果
[02004.86-02007.50] 你说要通过把美这个美条
[02007.50-02008.70] 这是一个金属美
[02008.70-02010.90] 这个金属美点燃之后就关锁它
[02010.90-02012.42] 比如说金属美看一下点燃之后
[02012.42-02014.58] 发现大量的白光放出大量的热
[02014.58-02015.90] 如果要去做一做
[02015.90-02018.78] 你才知道我们所说的这个结论是什么样子
[02018.78-02020.86] 通过实验去验证几个热会
[02020.86-02023.00] 通过实验去得出结论的这个
[02023.00-02024.80] 我们所说的这条路径
[02024.80-02026.04] 从谁开始呢
[02026.04-02027.34] 是从家里的开始
[02027.34-02028.44] 比如家里的那个时候
[02028.44-02030.00] 搞近代科学实验
[02030.00-02032.64] 从他往后所的科学家
[02032.64-02034.20] 在想去得出新的结论
[02034.20-02036.00] 都要通过做实验去
[02036.00-02038.00] 这个就是开闭了现代的
[02038.00-02039.04] 我们所说的什么
[02039.04-02041.00] 现代实验科学的一个路径
[02041.00-02045.18] 包括现在我们一一一靠这条传统的程度进
[02045.18-02047.48] 所以从那个时候开始就知道要做实验了
[02047.48-02049.92] 所以它是近代实验科学的开创者
[02049.92-02052.16] 所以也被称为较近代科学支付
[02052.16-02053.00] 原则在这
[02053.00-02053.96] 考试的时候
[02053.96-02054.96] 考进代实验
[02054.96-02056.12] 考过恩多次了
[02056.12-02057.32] 同一名一定要注意一下
[02057.32-02059.36] 要知道开创者是谁这是第一个
[02059.36-02061.60] 那加努力率他做的近代实验是什么呢
[02061.60-02062.80] 就是我们所说的
[02062.80-02063.80] 比撒鞋塔实验
[02063.80-02065.44] 所以同一根标注一下缺二
[02065.44-02066.84] 就在这里他说推翻了
[02066.84-02068.56] 样里是多的物体越周
[02068.56-02070.04] 落的越快的礼润
[02070.04-02070.92] 得出来了
[02070.92-02071.92] 自由落体
[02071.92-02072.36] 定率
[02072.36-02073.28] 这个自由落体定率
[02073.28-02074.28] 就是他做的实验
[02074.28-02075.20] 同一根标注一下
[02075.20-02077.00] 就比撒鞋塔实验
[02079.92-02084.72] 就比较协谈
[02084.72-02086.28] 所以在这里大家注意
[02086.28-02089.12] 比较协谈时间当时是推翻了
[02089.12-02090.32] 压力是多得
[02090.32-02092.32] 大家知道压力是多得是古夏邦
[02092.32-02093.72] 非常有名的一个人物
[02093.72-02095.72] 他说推翻了压力是多得
[02095.72-02098.72] 他的一个我们所说的物体越重
[02098.72-02100.32] 落的越快的这样的一个想法
[02100.32-02102.12] 为什么会有这么一个想法
[02102.12-02103.72] 当时压力是多得得出来
[02103.72-02104.92] 物体越重落的越快
[02104.92-02106.12] 这个结论是怎么那么呢
[02106.12-02107.52] 是靠想的
[02107.52-02108.72] 是靠想象的
[02108.72-02110.00] 就是它当时去想
[02110.00-02111.80] 所以有东西如果特别重的话
[02111.80-02112.84] 然后在这种情况之下
[02112.84-02114.36] 它受到了立刻的就会大
[02114.36-02116.40] 所以它向下的速度就会变快
[02116.40-02118.12] 所以它在这里面它就在想
[02118.12-02120.44] 是物体越重落的越快
[02120.44-02121.64] 这是它的推露
[02121.64-02122.16] 明白了吗
[02122.16-02122.48] 同学们
[02122.48-02123.68] 它没有经过实验的
[02123.68-02124.72] 后来压力是个的
[02124.72-02125.64] 说真的这不可能
[02125.64-02128.08] 不可能说物体越重就落的越快
[02128.08-02130.28] 所以它就在比赛鞋台上做了一个实验
[02130.28-02131.04] 什么实验呢
[02131.04-02132.40] 找了两个金属球
[02132.40-02133.56] 然后这两个金属球呢
[02133.56-02134.84] 是同一个制地的
[02134.84-02135.80] 同一个财制的
[02135.80-02137.60] 但是大致量大小怎么样
[02137.60-02138.04] 不一样
[02138.04-02141.02] 然后同时往下承发现 同时落地
[02141.02-02143.42] 所以在这里面就推翻了它原个结论
[02143.42-02145.88] 你看样的石头都是靠推论 靠想象
[02145.88-02150.42] 但是我们所说的比赛时代实验是通过实际去做的出来的结论
[02150.42-02150.78] 对吧
[02150.78-02153.90] 所以在这里它就说了并不是物体越重 落的越快
[02153.90-02155.96] 而是有走落体运动在里面
[02155.96-02158.20] 所以大家注意一下 这是我们所说的它
[02158.20-02159.24] 所给到的
[02159.24-02161.40] 第一个 和第一个层次的点
[02161.40-02163.40] 就是我们所说的它的成就
[02163.40-02164.76] 它除了这些成就之外
[02164.76-02168.16] 也就是换句话说 家里列他除了是一个非常丘秀的
[02168.16-02169.88] 我们所说的物理学家之外
[02169.88-02171.88] 他也是非常丘秀的天的学家
[02171.88-02173.40] 就是以前的这些人呢
[02173.40-02174.84] 他对各方面都感兴趣
[02174.84-02176.44] 包括各外你也是个外你呀
[02176.44-02177.56] 数学
[02177.56-02179.20] 然后我们所说的一学
[02179.20-02182.16] 那时候各外你也在他所在当地被称罪神一样
[02182.16-02183.96] 而且他的格斗也特别好
[02183.96-02186.12] 这各外你十七十七岁的时候
[02186.12-02188.04] 那真的也是相当的原经文明的
[02188.04-02189.20] 只剥他对于天文学
[02189.20-02191.08] 更加感兴趣才在去研究这个
[02191.08-02192.36] 包括家里列也是
[02192.36-02194.56] 家里列不僅在物理学上成就非常
[02194.56-02196.24] 我们所说的这种非常高
[02196.24-02198.04] 他在天文学上的成就也很高
[02198.04-02199.04] 来标助一下
[02199.04-02199.68] 看一下
[02199.68-02202.12] 所以家里认得在1699年
[02202.12-02204.44] 大家也知道他是前科一个面世期就行
[02204.44-02205.64] 说在1699年
[02205.64-02208.36] 画下发明人类历史上
[02209.20-02210.92] 第一台天文忘记
[02210.92-02211.96] 同时把这个画出来
[02211.96-02214.04] 然后把天文这个词标助出来
[02214.04-02215.92] 日第一台天文忘记就
[02215.92-02217.56] 是家里认发明的
[02217.56-02219.92] 是否他发明了第一台忘远就呢
[02219.92-02220.80] 大家注意一下
[02220.80-02223.04] 不是第一台忘远就
[02223.04-02226.12] 第一台望遠景是一個眼鏡商發現的
[02226.12-02227.80] 它發現的是天文望遠景
[02227.80-02230.60] 天文望遠景可以可以觀測天景運行
[02230.60-02232.56] 所以這是第三個點辣注意
[02232.56-02234.12] 那同時在天文學當中
[02234.12-02235.20] 它發現了什麼呢
[02235.20-02237.56] 它發現了木星的四顆衛星
[02237.56-02239.56] 以及太陽黑子
[02239.56-02240.40] 非常了不起
[02240.40-02241.40] 這是它通過
[02241.40-02243.36] 它的這個望遠景觀測得到
[02243.36-02245.12] 天文望遠景當時
[02245.12-02247.80] 加率天文望遠景並沒有像今天的天文
[02247.80-02250.08] 能夠觀測到那麼精確
[02250.08-02251.48] 然後能夠觀測到
[02251.48-02252.36] 只能夠遠
[02252.36-02255.94] 他那个方法也就好像说只有几十倍的放大力这样的一个效率
[02256.96-02258.50] 当然他确实是看到了
[02258.76-02259.78] 木星的思科卫星
[02260.04-02262.10] 就是木卫一木卫二木卫三木卫四
[02262.34-02263.12] 这个就是木星
[02263.36-02264.90] 木星地球的手护星
[02265.16-02267.20] 大家知道他有一个红眼镜
[02267.46-02269.26] 这个红眼镜是一个超大的气权
[02269.26-02272.32] 说是几万年了这个汽选一直在专业自在传一只在做
[02272.32-02275.14] 对吧 但是我们没有办法靠近孟星去观测它
[02275.40-02278.22] 同时呢 这是这里面的木位一二三四
[02278.22-02280.02] 大家能看到这几颗小的星星
[02280.26-02282.32] 这个就是我们所说的木星的
[02283.08-02286.16] 卫星啊 这些木位一木位二木为三木为四
[02286.16-02287.94] 说它这几颗的卫星啊
[02287.94-02290.00] 可以说是地域之星啊
[02290.00-02292.56] 有的上面就是到处噴的种火山
[02292.56-02293.84] 就天天火山噴发
[02293.84-02296.14] 然后有的上面就是冰凍了
[02296.14-02297.42] 就是全都是冰川
[02297.42-02299.72] 還有的上面的就是全都是病毒
[02299.72-02300.76] 就是這種
[02300.76-02301.84] 這是我們所說的
[02301.84-02303.56] 陸星 這些司科衛星
[02303.56-02305.10] 大主義 這是第四點
[02305.10-02306.18] 那第五個點呢
[02306.18-02307.14] 有關於加利率
[02307.14-02307.66] 大家注意一下
[02307.66-02309.20] 它的發明成就還在於什麼呢
[02309.20-02311.26] 就是加利率發明了中比
[02311.26-02311.76] 哦
[02313.04-02314.82] 或者說是中百
[02315.86-02316.38] 大家不知道
[02316.38-02319.44] 建立建議我以前的那種上显的那種表
[02319.44-02320.46] 我覺得我那個
