[00000.00-00002.82] 那无全变弄的基本规则咱们说了
[01175.04-01176.52] 你不能说这个东西
[01176.52-01181.44] 因为是我从低汤买到所以不还给人家不想人家是有权
[01181.44-01182.60] 追回的
[01182.60-01183.88] 人家是有权追回的
[01183.88-01186.04] 这就意味着他不能善意去的原因
[01186.04-01187.48] 这是第二个点
[01187.48-01188.60] 大家一定要注意一下
[01188.60-01190.12] 那第三个点是什么呢
[01190.12-01193.28] 第三个点就是在这里面可能会出现一个情况
[01193.28-01195.60] 这个情况就是这个疑失误
[01195.60-01198.72] 比如说我丢了我的小天才而同手表
[01198.72-01200.72] 我的小天才而同手表
[01203.44-01204.40] 现在这样
[01204.40-01205.88] 我的小天才
[01205.88-01206.60] 丢了
[01206.60-01208.36] 小天在丢了之后呢
[01208.36-01209.96] 这是我的小天才丢了
[01209.96-01212.52] 我的小天丢了之后被小A时的
[01213.52-01216.12] 被小A时的之后呢
[01216.12-01218.12] 小A把他妹给了小B
[01218.12-01219.44] 并交付给了小B
[01219.44-01220.72] 那妹给了小B
[01220.72-01222.16] 并交付给了小B的话
[01222.16-01223.04] 那这种情况之下
[01223.04-01224.44] 小B能不能善意去的
[01224.44-01226.56] 大住一下小B不能善意去的
[01226.56-01228.08] 竟然小B不能善意去的
[01228.08-01229.84] 我就可以朝小B怎么样
[01229.84-01230.96] 把东西要回来
[01230.96-01232.96] 那我就可以朝小B把东西要回来
[01232.96-01234.12] 那这是一种情况
[01234.12-01235.32] 他卖给了小B
[01235.32-01238.36] 但是现在可能会有一种比较复杂的情况
[01238.36-01239.28] 什么情况呢
[01239.28-01241.20] 我在这里把小闭关掉
[01241.20-01243.36] 现在可能有一个比较复杂的情况
[01243.36-01244.60] 这个复杂的情况就是
[01244.60-01247.60] 小A10的我的小天才是用手表
[01247.60-01249.44] 它卖给了一个手表店
[01250.72-01252.48] 它卖给了手表店之后
[01252.48-01255.04] 然后这个手表店又把这个手表
[01255.04-01256.04] 出卖给了谁呢
[01256.04-01257.72] 出卖给了小闭
[01257.72-01259.12] 那这种情况之下
[01259.12-01259.96] 我一看
[01259.96-01263.48] 我的手表已经到了小闭的这个手里了
[01263.48-01265.40] 那这里面我们来看一下
[01265.40-01268.28] 我能能朝小闭追回这个东西呢
[01268.28-01270.08] 首先第一个大家知道
[01270.08-01271.56] 这是我丢的手表
[01271.56-01273.32] 他无论是经级手
[01273.32-01275.08] 他都是我丢的手表
[01275.08-01277.00] 他本身上都是一时物
[01277.00-01278.72] 一时物能不能上一期的
[01278.72-01280.28] 一时物不能上一期的
[01280.28-01282.20] 所以我作为所有权人
[01282.20-01286.20] 又全向小闭也要回手表
[01286.20-01287.96] 但是这里面问题出现了
[01287.96-01289.36] 和刚才直接
[01289.36-01291.84] 我们所说的小A10的那个小闭不同
[01291.84-01293.92] 这里面的小毕视桃门买的
[01293.92-01296.56] 小毕视朝手表店买的
[01296.56-01300.24] 也是它是像有经营资质的人购得一食物的
[01300.24-01303.20] 那就说我朝小毕要手表的时候
[01303.20-01304.16] 我就应该怎么样
[01304.16-01307.92] 我应该给小毕支付箱的钱
[01307.92-01309.52] 所以在这里面大家注意一下
[01309.52-01312.08] 第三个点就是说人这个就小毕
[01312.08-01315.36] 如果说受让人通过
[01317.20-01317.92] 拍卖
[01320.00-01320.96] 或者
[01321.84-01341.44] 通过排卖或者有经营通过排卖或者是有经营资格的经营资出购
[01341.44-01346.44] 我可不可以要回来这个东西
[01346.44-01348.44] 可要东西可以要回来
[01348.44-01352.44] 有的是权力人有权
[01352.44-01356.44] 请求反昬远物
[01356.44-01358.44] 我就是让小闭把手标给我
[01358.44-01359.44] 这个叫反昬远物
[01359.44-01361.44] 但是人家是从收个点买的
[01361.44-01363.44] 人哪知道这个东西是到座物
[01363.44-01365.44] 对吧是我们所说的意思物
[01365.44-01367.44] 人家是有从经过资计义买的
[01367.44-01369.44] 那这个是我请求发微页物的时候什么
[01369.44-01371.60] 阴当支付
[01373.60-01375.28] 数上人所付的肥油
[01378.00-01382.08] 阴当支付数上人所付的肥油
[01382.08-01385.04] 也就是我朝小毕业要手表的时候
[01385.04-01385.80] 怎么办
[01385.80-01387.84] 我朝小毕要手表的时候
[01387.84-01390.32] 我今天该给小毕业复款
[01390.32-01391.76] 我今天给小毕复款
[01391.76-01393.04] 所以在这里明一定要知道
[01393.04-01394.52] 它如果是通过拍卖
[01394.52-01396.80] 或有进行资质的这个时候够得的时候
[01396.80-01397.72] 要把钱给人家
[01397.72-01399.12] 因为人家的上手
[01399.12-01400.00] 他属于什么
[01400.00-01402.04] 他属于我们所说的有精神资格的
[01402.04-01404.16] 这时候人家也不知道这个东西
[01404.16-01405.72] 是以食物
[01405.72-01408.00] 所以基于我们所说的成是性源者
[01408.00-01409.20] 你应该把钱给小笔
[01409.20-01410.00] 给小笔
[01410.00-01411.72] 也就是在这里面大住一下
[01411.72-01412.92] 以食物的大量走
[01412.92-01414.64] 可不能善意趣的
[01414.64-01415.48] 不能善意趣的
[01415.48-01416.76] 就意味着所有权人
[01416.76-01417.52] 或其他权人
[01417.52-01418.32] 就是物
[01418.32-01419.36] 作为所有权人
[01419.36-01420.96] 无论他责任几首
[01420.96-01422.60] 我都可以把这个东西
[01422.60-01423.36] 要回来
[01423.36-01424.72] 只过去要回来的时候
[01424.72-01426.16] 就看给钱不给钱
[01426.16-01430.32] 如果它没有通过有进行资质人那个地方获得的
[01430.32-01432.12] 这个时候我就不理钱
[01432.12-01435.28] 如果是通过有进行资质的那个地方的买到的
[01435.28-01436.16] 那我就要给钱
[01436.16-01437.68] 其实就是分这种情况
[01437.68-01438.52] 你卖了吧
[01438.52-01439.64] 所以这是一食物
[01439.64-01441.52] 它身上的相应的考察店
[01441.52-01442.32] 大家注意一下
[01442.32-01444.52] 那这是一食物
[01444.52-01447.52] 它不能塞取得以及它身上的考虑
[01447.52-01449.08] 那一食物的话
[01449.08-01449.96] 我们说了
[01449.96-01452.08] 有我们所提到的这种
[01452.08-01453.24] 我可以去追锁
[01453.24-01455.28] 或者是一食物不能塞取得这种情况
[01455.28-01456.88] 这里面还不睡到另外一个问题
[01456.88-01458.48] 就是出现一个中间环节
[01458.48-01460.12] 就是这个所有权
[01460.12-01462.48] 这个一书它有可能被时得
[01462.48-01463.52] 所以是我的东西
[01463.52-01465.36] 如果被人渏回去了之后
[01465.36-01468.08] 这个时候时得一书的十个人
[01468.08-01469.04] 它应该怎么办
[01469.04-01470.04] 一般请玩之下
[01470.04-01471.28] 你看看这个点
[01471.28-01472.52] 简单了解一下就行了
[01472.52-01473.56] 通常时得一书
[01473.56-01474.88] 应当反环权力人
[01474.88-01476.84] 这个其实是十个人的一个什么
[01476.84-01478.08] 时得人的一个意误
[01478.08-01479.92] 就是我们从小就学
[01479.92-01481.08] 我在马路边
[01481.08-01482.04] 简单一分钱
[01482.04-01483.92] 把它交到警察叔叔手里面
[01483.92-01486.00] 对吧 书熟拿着钱对我把头点
[01486.00-01488.08] 我高兴地说了 说书熟再见
[01489.20-01490.08] 所以
[01490.08-01492.40] 所以你看 在这里面其实我们都知道
[01492.40-01494.00] 讲东西要即使上交
[01494.00-01495.44] 那这是石头人的
[01495.44-01496.64] 他的一个什么呢
[01496.64-01498.64] 石头人他的一个权利
[01498.64-01500.00] 他的一个一五
[01500.00-01501.44] 叫做英当反环
[01501.44-01502.08] 权利人
[01502.08-01504.64] 那他不解药反环的一五
[01504.64-01506.00] 同时把反环化出来
[01506.00-01507.92] 他不单有反环的一五
[01507.92-01509.28] 他同时还有什么一五
[01509.28-01512.80] 他还有同即使通知权利人灵取
[01512.80-01513.68] 所以在这
[01513.68-01517.26] 他不仅要即使通知零取同时还有妥善保管
[01517.26-01519.56] 所以在这个时候如果你把东西剪到了
[01519.56-01522.64] 剪到这里没有妥而保管你可能要重量相当的责任
[01522.64-01523.92] 所以在这里面
[01524.18-01527.76] 同时标注一下这是10多人的一五
[01528.52-01529.80] 这是10多人的一五
[01530.06-01532.12] 这是犯还加即是通知
[01532.12-01534.16] 如果他不知道全力人是谁的话
[01534.16-01535.18] 你要怎么办
[01535.44-01537.74] 即是宋交有关部门
[01538.00-01539.02] 即是宋交有关部门
[01539.02-01540.82] 所以在这里面大家要注意一下
[01540.82-01542.36] 这是10多人的一五
[01542.36-01545.04] 那时段人有15,那时段人就一定有什么
[01545.04-01546.48] 时段人就一定有权利
[01547.12-01548.08] 因为我们说了
[01548.08-01551.04] 敏法或者是整个法律就是研究权利用的
[01551.04-01553.12] 你光有15,没有权利不闪用王
[01553.12-01555.48] 所以时段人有15,他就一定有权利
[01555.48-01556.76] 时段人权利是什么呢?
[01556.76-01559.24] 首先第一个叫做必要费用请求权
[01559.24-01560.16] 现在旁边
[01561.08-01564.08] 叫做必要费用请求权
[01565.64-01567.12] 叫必要费用请权
[01567.12-01569.60] 比如说你时段乐我的小天才收票
[01569.60-01570.92] 然后咱们两个的还认识
[01570.92-01575.12] 我跟妳講完客之後我就把小天才那首表放在那個
[01575.12-01578.72] 我喝水的那個桌子旁邊結果下客的時候我就太聰盟了
[01578.72-01580.72] 對吧當代年輕人不能夠加班
[01580.72-01582.32] 我下客的時候為一看我天了
[01582.32-01585.52] 9月下客了我現在必須說話我6月都就跑了
[01585.52-01588.52] 結果那個小天才那首表放在那個桌子旁邊
[01588.52-01590.52] 你拿起這個小天才那種身本的段想
[01590.52-01592.72] 你就覺得我的氣質非常的搭配
[01592.72-01594.52] 於是就給我打了個電話
[01594.52-01596.32] 打電話就說什麼都說了事
[01596.32-01598.32] 說你今天下班就走太聰盟了
[01598.32-01601.60] 对这个小天才是从手表还放在我的桌子上
[01601.60-01604.92] 我现在要把这个小天才是从手表给你送过去
[01604.92-01605.64] 我是行吧
[01605.64-01606.72] 我说你给我送过来吧
[01606.72-01607.84] 你说老是你住在哪儿
[01607.84-01610.20] 我说我在北京还订市
[01610.20-01611.44] 我在北京还订市
[01611.44-01615.12] 我叫北京市还订去某某交区的一个大别数里面
[01615.12-01617.24] 你看到二十英的大别数就是我
[01617.24-01620.52] 你进来之后你就像那个重地的那个大妈打听
[01620.52-01622.32] 他们都是我家顾的
[01622.32-01624.88] 这个跟我一红柱的这些人
[01624.88-01626.72] 然后你就把手表给我送来就行了
[01626.72-01627.32] 然后你说
[01627.32-01629.60] 行吧 热老声功发个例如发电了
[01629.60-01630.80] 结果我家太偏了
[01630.80-01633.24] 然后你给我打电话过来
[01633.24-01635.44] 然后打车费 花了两位都会陷
[01635.44-01637.40] 然后把这个手表拿过来之后呢
[01637.40-01639.72] 你说老师 手表给你
[01639.72-01641.60] 我是好的 我是谢谢你同学
[01641.60-01643.80] 你真善良 祝你考试成功啊
[01643.80-01647.40] 你说好的老师 老师 我是打车过来的
[01647.40-01649.40] 我说我知道 打车过来问辛苦了
[01649.40-01650.56] 我说我家挺愿的
[01650.56-01651.60] 你说好办
[01651.60-01653.16] 热老师 我是打车过来的
[01653.16-01655.48] 我说好的 你回去路上住眼去
[01655.48-01657.24] 你看你比外赢在干嘛
[01657.24-01659.28] 老师我是打车过来的
[01659.28-01660.76] 我换了两位多刀
[01660.76-01662.16] 对吧你把这个钱包给我
[01662.16-01665.20] 你有没有权利像我主张这个打车钱
[01665.20-01666.60] 有因为他是什么
[01666.60-01668.16] 他是必要飞用
[01668.16-01669.40] 这个必要飞用呢
[01669.40-01673.24] 他就是我权利人在零取一失误的时候
[01673.24-01675.04] 然后我应该像你支付的钱
[01675.04-01677.40] 所以你有必要飞用请求选
[01677.40-01680.08] 如果我的小天前的这种手表对我来说太重要了
[01680.08-01681.28] 对吧我家主传的
[01681.28-01682.88] 从上一边传到我这边了
[01682.88-01683.76] 如果他丢了的话
[01683.76-01685.00] 我一定会发什么
[01685.00-01685.88] 宣传广告
[01685.88-01687.60] 那这有时候如果宣传广告当中
[01687.60-01687.88] 我说了
[01687.88-01690.84] 所以有人时到小天大人说不要请立即送王
[01690.84-01692.04] 然后哪个哪个地方
[01692.04-01693.68] 二十一的这个骗人
[01693.68-01695.20] 就要去的这个四月当中
[01695.20-01696.12] 并有重线
[01696.12-01697.32] 拿这个手票来找我了
[01697.32-01697.92] 你说老师
[01697.92-01699.00] 这个手票你忘了
[01699.00-01699.92] 我剪刀了
[01699.92-01700.44] 对吧
[01700.44-01701.28] 然后还给你
[01701.28-01701.96] 我是好待
[01701.96-01702.56] 谢谢你
[01702.56-01703.12] 你说老师
[01703.12-01705.12] 你这个宣传广告当中给我
[01705.12-01706.88] 这个十分一的这个
[01706.88-01708.92] 请求算算算算算
[01708.92-01710.08] 因为这有时候你有什么
[01710.08-01711.68] 你有宣传抱重去求去
[01713.48-01714.68] 你有宣传
[01715.00-01716.00] 报仇
[01717.44-01718.40] 请求选
[01720.96-01722.84] 你有宣伤报仇请求选啊
[01723.16-01727.28] 所以在这里面我们所说的十多人有权力就有15啊
[01727.28-01728.08] 有权力就有15
[01728.08-01731.16] 所以在这大住一下这是第一个它的权力15
[01731.16-01735.08] 那第二个呢就是这个一书它的规数的问题啊
[01735.08-01737.08] 那一般情况之下像这个一书呢
[01737.08-01738.72] 如果你知道权力人
[01738.72-01741.80] 那你就把即使通知权力人去领去就行了
[01741.80-01743.34] 但如果有很多情况之下
[01743.34-01745.04] 就是没有权利人怎么办呢
[01745.04-01746.72] 在这里它的规处在这
[01746.72-01747.76] 同胶住一下
[01747.76-01748.96] 如果在这
[01748.96-01750.32] 不知道权利人的
[01750.32-01751.28] 这个时候怎么办
[01751.28-01753.04] 国家应该即使发布照顶公告
[01753.04-01754.60] 如果一年内无人认领
[01754.60-01756.00] 这个东西规谁做了
[01756.00-01757.40] 这个东西就归
[01757.40-01758.52] 我加速了
[01758.52-01759.72] 几个国家说了
[01759.72-01761.36] 那这个就是我们所说的
[01761.36-01762.52] 有关于搜权
[01762.52-01764.16] 它的一个取得问题
[01764.16-01765.72] 所以在搜权的取得
[01765.72-01766.96] 我们规娜下来了
[01766.96-01768.24] 其实就这么几个点
[01768.24-01769.12] 朋友来看一下
[01769.12-01770.60] 第一个点是啥
[01770.60-01774.44] 第6点就是基于我们所说的搜权的变动
[01774.44-01776.24] 我们就俩的理解上搜权变动
[01776.24-01779.04] 对吧搜权的变动的话有两种
[01779.30-01780.12] 现在这吧
[01780.12-01782.24] 咱们做一个回顾搜权的变动
[01782.24-01784.68] 搜权变动有两种情况
[01784.68-01787.96] 第一种情况是基于合通的搜权变动
[01787.96-01790.56] 一种是飞机于合通的搜权变动
[01790.56-01794.40] 也只是飞机于民事法律行为的变动
[01794.40-01796.44] 基于合通的无权变动
[01796.44-01799.12] 合通签订阵制产生战略效率
[01799.12-01802.70] 小发生目前效率要进行公施对不对
[01802.70-01805.52] 所以在公施当中我们讲了两个
[01805.52-01808.32] 公施的方式和标利务有关
[01808.32-01809.88] 如果是不动产的换
[01810.64-01811.40] 登记
[01811.66-01813.02] 如果是动产的换
[01813.02-01814.22] 原则是要干嘛
[01814.22-01815.32] 原则是要
[01815.32-01816.02] 就复
[01816.52-01818.58] 飞机与合通的我们讲了
[01818.58-01819.86] 正说讲了
[01819.86-01821.66] 采访文书等等这些
[01821.66-01824.72] 那这是搜全变动这是一个大原则
[01824.98-01826.20] 那这里面我们所说的
[01826.20-01827.78] 鸡与合通的无全变动
[01827.78-01829.54] 它其实是什么取得方式
[01829.54-01831.50] 它是技术取得的一种
[01832.14-01833.66] 对吧 技术取得的一种
[01833.94-01835.34] 那除了技术取得之外
[01835.34-01836.30] 我们说了搜据的
[01836.30-01838.42] 还有一种叫做原实取得
[01838.70-01840.70] 原实取得当中我们只讲一个
[01840.70-01841.50] 就叫做什么
[01841.50-01843.62] 就叫做善意取得之度
[01843.86-01845.78] 善意取得什么叫善意取得
[01845.78-01846.66] 大型体验
[01846.78-01848.30] 无权、处分
[01848.30-01849.38] 第二个善意
[01849.38-01850.38] 主客关相结合
[01850.38-01852.02] 主观上他要不知请
[01852.02-01853.30] 客观上支付和劉德价
[01853.30-01854.58] 第三个取得
[01854.74-01855.62] 取得怎么办
[01855.78-01857.02] 要进行公式
[01857.02-01859.12] 不动产登记动产
[01859.12-01859.84] 就复
[01859.84-01862.14] 这时候就可以也善意去得了
[01862.14-01863.94] 那善意去得的法律后果是什么
[01863.94-01866.18] 想想为大家画的那个阿里模型
[01866.18-01868.90] 我的手表丢了
[01868.90-01870.54] 被小弊
[01870.54-01871.42] 我的手表丢了
[01871.42-01873.26] 我的郁责交给小弊
[01873.26-01875.06] 保管小弊用自己的名义
[01875.06-01876.50] 把我的郁责给卖给了
[01876.50-01877.58] 交给小业保管
[01877.58-01878.50] 小丽自己的名义
[01878.50-01879.90] 把我的郁责卖给了善
[01879.90-01880.94] 卖给了小弊
[01880.94-01882.54] 这个时候小弊
[01882.54-01884.22] 他们不能善意去得了
[01884.22-01885.18] 可以
[01885.18-01887.86] 他只要否刪一起的挑剑小必须可以刪一起的
[01887.86-01889.30] 小必刪一起的个之后
[01889.30-01890.86] 能不能超小必要遇赚
[01890.86-01891.54] 不行
[01891.54-01893.34] 所以我无权像
[01893.34-01895.22] 受让人申请反合严务
[01895.22-01897.58] 但是毕竟我和小艾之间
[01897.58-01898.74] 还有一个宝货和
[01898.74-01901.14] 我可以请求小艾配上我的损失
[01901.14-01901.42] 对吧
[01901.42-01902.58] 所以在这里他的反对后果
[01902.58-01904.90] 就是无权像受让人
[01904.90-01905.90] 请求反合严务
[01905.90-01907.86] 但可以像无权储富人
[01907.86-01909.50] 请求损失配场
[01909.50-01910.70] 那这是刪一起的
[01910.70-01911.34] 那刪一起的
[01911.34-01913.38] 是不是所有的情况都是用不行
[01913.38-01915.38] 有一些东西不能上去的
[01915.38-01916.20] 比如说
[01916.20-01918.30] 一师务比如说道贓物
[01918.30-01920.58] 这种东西如果不能是用上去的话
[01920.58-01922.82] 那如果完全令人像你追锁
[01922.82-01924.98] 那这种应该把东西还给人家
[01924.98-01926.82] 那这里面的重点就在什么
[01926.82-01928.34] 重点就在于我们所说的
[01928.34-01929.50] 一师务
[01931.50-01932.14] 重点啊
[01932.14-01933.98] 你看不小心又点到他了
[01934.38-01936.82] 重点呢就在于我们所说的这个
[01936.82-01937.82] 一师务
[01937.82-01939.66] 重点就在于我们所说的这个一师务
[01939.66-01942.50] 那一师务首先第一个不能是用上去的
[01942.50-01945.94] 第二個就是所有全人或其他全力人有全安
[01945.94-01948.98] 追回 第三一個就是如果我把這個東西賣出去了
[01948.98-01950.90] 那就看有賣給誰了
[01950.90-01952.86] 如果說是賣給了
[01952.86-01954.26] 一個服務通通的人
[01954.26-01957.02] 這時候可以追回且不用付錢
[01957.02-01961.38] 如果說這個稍忍他是從有金銳資製的地方買到的
[01961.38-01964.34] 那真你要回來東西要支付人家和劉堅家
[01964.34-01965.82] 那這個叫移食物
[01965.82-01968.66] 移食物在這個地方就是會考一個
[01968.66-01970.82] 篩取得和移食物的一個綜合
[01970.82-01974.62] 那如果这个东西被别人剪去的话就会设计到一十五的十德
[01974.62-01978.10] 那这个一十五的十德我们叫做到十德任务权利和一五
[01978.10-01980.58] 第二要知道这个一十五的规数
[01980.58-01984.82] 知道权利人的给权利人不得权利人的那就要进行公示
[01984.82-01987.62] 如果公告一年无人认联归国家所有
[01987.62-01990.42] 你看顶过来倒回去咱们讲的这么长时间
[01990.42-01993.62] 其实也就这三句换或者这三个小的模块
[01993.62-01995.22] 大家就给他鼠里清楚
[01995.22-01997.22] 那这个是所有权的去德
