[00000.00-00004.34] 好的 那我们就从红官概念上其实是了解了
[00004.34-00006.64] 我们所说的整个迷侍法律员关键
[01183.20-01189.80] 没有遗产,但一定要注意,这是在这里面,这是第二个点,那还一种情况是什么呢?
[01189.80-01199.20] 这寶导升起来的时候是活的,刚免出实是活体,但是在法律上说了,面出实为活体,但是选及死亡的。
[01199.20-01229.10] 免出實施活體,但是選擇死亡的,這種情況之下就比較複雜了吧,免出實施活體的,那我們剛才說了,免出實施活體它有用的一場,什麼叫選擇死亡,就生下沒多久之後又死了,那我們一步一步去分析,免出實施活體,有沒有一場,免出實施活體它有一場,但是選擇死之後,這個錢怎麼辦,這個錢就按應耳的,
[01229.10-01230.10] 一产处理了
[01230.10-01232.30] 有一产 但他死亡之后
[01232.30-01234.22] 一产处理
[01234.22-01235.30] 死亡后
[01235.30-01240.86] 一产处理
[01240.86-01242.46] 一产处理的话
[01242.46-01245.10] 他法定机程就变成了他谁
[01245.10-01246.46] 变成他的母亲
[01246.46-01249.02] 所以在这里面他的一产就归母亲了
[01249.02-01250.26] 我就简单写在下面
[01250.26-01252.34] 一产归母亲了
[01254.34-01255.66] 这个就是我们所说的
[01255.66-01257.02] 有关于一产机程
[01257.02-01258.14] 无论是法定机程
[01258.14-01259.26] 一如即成都是用
[01259.26-01261.62] 大家就记得对于宝宝好的
[01261.62-01262.74] 它出生之前
[01262.74-01265.50] 我们所说的对于宝宝好的有利的这些事
[01265.50-01267.98] 这种情况之下我们都认的
[01267.98-01270.30] 所以看无论是接受增于还是我们所说的
[01270.30-01271.90] 遗产的问题
[01271.90-01273.42] 所以在这里大家注意一下
[01273.42-01275.66] 这是第二个遗产机程
[01275.66-01277.90] 第三个问题就是回忆到刚才
[01277.90-01280.78] 我在给大家去讲解案例的时候所说的一个问题
[01280.78-01282.62] 就是如果在这种情况之下
[01282.62-01285.38] 在宝宝出生之前受到了侵权行为
[01285.38-01286.46] 这种情况之下
[01286.46-01289.28] 寶寶的全意应该如何去保护呢
[01289.28-01292.94] 刚才为大家讲到的这个例子是样的对吧
[01292.94-01295.74] 妈妈呢因为生病去愿去救折
[01295.74-01298.80] 然后呢一生的由于他的这个失质的这个行为
[01298.80-01301.30] 导致我们所说的这个妈妈开错了要
[01301.30-01303.38] 回去之后呢就吃了这个要之后呢
[01303.38-01305.10] 小宝宝身体就收到了水上
[01305.10-01306.38] 分面出来之后
[01306.38-01307.82] 宝宝出生之后就有了残忌
[01307.82-01310.54] 那这种情况之下应该怎么办
[01310.54-01312.62] 那在这里面其实我们所说的
[01312.62-01313.54] 它的一个救急呢
[01313.54-01315.26] 其实是分两种情况的
[01315.26-01316.18] 什么情况呢
[01316.18-01318.18] 就是首先我们刚才说了
[01318.18-01319.74] 妈妈去医院开药
[01319.74-01321.30] 医院给他开错药了
[01321.30-01321.62] 对吧
[01321.62-01322.66] 这种情况之下
[01322.66-01323.98] 医院其实对这个
[01323.98-01326.54] 运富妈妈要承担相的什么
[01326.54-01327.54] 亲战者认了
[01327.54-01328.34] 因为在这里面
[01328.34-01328.82] 我们说了
[01328.82-01329.94] 你给人家开错药了
[01329.94-01331.54] 你对人身体造出損害了
[01331.54-01333.54] 是不要追究医院的亲战者
[01333.54-01335.22] 也可以追究医院的什么
[01335.22-01336.18] 伪约者人
[01336.18-01338.26] 也可以追究医院的相的伪约者人
[01338.26-01339.90] 那这个其实都是在强调
[01339.90-01341.78] 我们所说到妈妈和医院的关系
[01341.78-01343.10] 但是我们刚才要说了
[01343.10-01344.82] 这里面还会摄一道谁的问题呢
[01344.82-01347.64] 还有一道保暴和医院之间的关系
[01347.64-01348.04] 对吧
[01348.04-01348.92] 所以在这里面
[01348.92-01349.86] 我们来看一下
[01349.86-01351.46] 有关于保暴和医院的关系
[01352.38-01354.18] 在这里面的清清行为
[01354.18-01355.70] 我们就一言
[01355.70-01357.06] 我在这里给大家捕一干厉
[01357.06-01357.46] 好吧
[01357.46-01358.50] 就是你回头看的时候
[01358.50-01359.86] 你有知道怎么合适
[01359.86-01361.86] 比如说运富妈妈
[01363.26-01364.54] 运富母亲
[01365.54-01367.18] 然后医院开错药
[01370.22-01371.10] 然后最后呢
[01371.10-01373.02] 这个药造成了这个保暴
[01373.02-01374.18] 生下来残忌
[01374.82-01378.82] 在这里会涉及到如何为全的问题
[01378.82-01379.82] 我跟前面给大家说了
[01379.82-01381.82] 我们再去掌握一个支点的时候
[01381.82-01383.82] 要把这个支点尽量的怎么样
[01383.82-01385.82] 尽量的以案例的形式
[01385.82-01387.82] 以我们所说的这样一个图视拆解的行数
[01387.82-01389.82] 我说了你要能够话图
[01389.82-01390.82] 对吧
[01390.82-01393.82] 那你就在这里就已经数立起来这样一个概念了
[01393.82-01394.82] 你看这家里怎么处理呢
[01394.82-01396.82] 它其实在这里有两层法理关系
[01396.82-01398.82] 第一层法理关系是这个医院
[01398.82-01402.82] 和这个目前他们之间的法理关系
[01404.82-01406.36] 我先在写第一層
[01406.36-01408.40] 就是这个医院和这个母亲
[01408.40-01409.86] 他们之间的法律关系
[01409.86-01411.48] 医院和母亲的法律关系呢
[01411.48-01413.58] 首先第一个就是我们所说的
[01413.58-01415.70] 本来妈妈去医院看定
[01415.70-01418.14] 是不是走的是我们所说的法律
[01418.14-01419.78] 那个合同当中的非点合同
[01419.78-01421.54] 就是它有一个医疗符合同
[01421.54-01424.34] 但是因为你的医疗符合同造成了问题
[01424.34-01425.54] 所以在这个过程当中
[01425.54-01428.10] 我们可以让妈妈追究医院的什么走人
[01428.10-01430.26] 可以让妈妈追究医院的每月走人
[01430.26-01432.38] 因为你医疗符合同关系
[01432.38-01434.26] 在这里医院那一方没有做好
[01434.26-01437.02] 对吧 所以在这里可以让医院承担每月责任
[01437.02-01439.70] 那第二个就是我们也会看到
[01439.70-01440.50] 这个母亲
[01440.50-01443.26] 他确实是造成了实质上的身体的伤害
[01443.26-01445.38] 那这个时候也可以让医院承担什么
[01445.38-01446.90] 承担心前责任
[01446.90-01448.98] 所以对于这个母亲来说
[01448.98-01451.90] 他可以在这两种究竟方式当中选择
[01451.90-01452.70] 一个
[01452.70-01454.58] 那这是我们所说的有关于
[01454.58-01456.54] 医院和母亲之间的关系
[01456.54-01457.82] 这个点他要注意
[01457.82-01459.86] 但是我们说了我们现在要探讨的是什么
[01459.86-01461.50] 这个医院因为开错误了
[01461.50-01463.22] 他对谁也造成了伤害
[01463.22-01465.90] 这个医院他其实对保保也造成了伤害
[01466.94-01468.70] 我们在这里就要来看一下
[01468.70-01471.14] 他如果对保保造成伤害了之后
[01471.14-01474.34] 保保出生的时候如何为全的问题
[01476.02-01477.10] 我在这里写伤啊
[01477.10-01478.78] 医院对于保保
[01481.70-01483.30] 那他们之间应该怎么办
[01483.30-01485.54] 那首先在这里面之后是有一个问题
[01485.54-01487.54] 就是保保出生了之后是残忌的
[01487.54-01491.30] 我们认为保保是生完了之后就是活下来的对吧
[01491.30-01496.22] 这种情况之下,寶寶可不可以,请求医院承担相应的青春责任
[01496.94-01508.70] 可以了,因为在这里面搭住一下,因为医院实施青春行为导致寶受到伤害,这时候是为寶导,他具有名式权利、能力,那这时候出生之后,就可以追究医院的什么?
[01508.70-01513.98] 就可以追究医院的青春责任,所以在这里面搭住一下,寶寶
[01515.86-01516.86] 可以
[01517.74-01518.62] 追究
[01518.62-01521.62] 1月
[01521.62-01524.62] 清全责任
[01524.62-01526.62] 如果是这也太夸张了吧
[01526.62-01528.62] 说保光能够追究1月呢清全责任吗
[01528.62-01530.62] 那这里面大家注意一下
[01530.62-01532.62] 我们所谓的保保追究1月的清全责任
[01532.62-01533.62] 保光自己能不能去启塑
[01533.62-01535.62] 保光自己启塑不了的
[01535.62-01537.62] 但是保光有什么有法定在里人呢
[01537.62-01539.62] 可让保光的爸爸妈妈再保光去启塑
[01539.62-01541.62] 那这样保光的权益是不是就得到维护了
[01541.62-01543.62] 所以在这里面大家注意一下
[01543.62-01545.62] 如果睡一到清全行为的话
[01545.62-01547.62] 我们在这里就记这个案例模型就可以了
[01547.62-01548.42] 就可以了
[01548.42-01550.02] 就记这个按钮幕行就可以了
[01550.02-01550.70] 也就是
[01550.70-01552.38] 依愿和母亲之间
[01554.66-01556.38] 依愿和母亲之间
[01556.62-01557.66] 还有我们所说的
[01557.66-01558.98] 依愿和宝宝之间
[01558.98-01560.70] 在这里面他到底会
[01560.70-01563.14] 承擔什么样的责任
[01563.14-01564.50] 所以你看法律的规定
[01564.50-01565.98] 其实相对来说还怎么样的
[01565.98-01567.06] 这是还是
[01567.38-01569.66] 我是感觉是非常的清晰的
[01569.66-01570.46] 因为在这里面
[01570.46-01572.38] 他其实能够一层一层的玻璃
[01572.38-01573.10] 他的关系
[01573.30-01574.22] 同时没有的时候
[01574.22-01575.46] 在做迷法题目的时候
[01575.46-01576.74] 你会觉得这个题目很难
[01576.74-01578.98] 就是因为它的主体和关系太多了
[01578.98-01584.02] 但是我们说了你要徒势化,你要暗力化,你要能够把关系一层层拆下来
[01584.02-01585.86] 这时候就去找什么,找主体
[01585.86-01589.22] 这个暗力当中的主体有医院,有母亲,有保望
[01589.22-01593.06] 那我们去分析他们关系的时候就一层一层去分析,就可以了
[01593.06-01596.10] 所以这只有关于太儿利益保护的终结
[01596.10-01598.42] 这地方考试的时候,同时同时一定注意一下
[01598.42-01600.82] 他就考一个理解形的题目
[01600.82-01604.22] 而跑一件提目的时候不考常态考变态
[01604.22-01605.90] 就会考三个例外
[01605.90-01608.20] 分别是接受增与
[01608.20-01610.10] 基层一产
[01610.10-01611.70] 还有我们所说的侵券行为
[01611.70-01613.42] 我建议同学们回去的时候
[01613.42-01614.90] 就根据我刚才的讲解
[01614.90-01617.06] 自己去一层一层把弹关起话出来
[01617.06-01618.86] 这个地方你会更深刻一点
[01618.86-01621.22] 这是对于第一个叫Terry的保护
[01621.22-01623.22] 到这咱们就说完了
[01623.70-01624.38] 那么说了
[01624.38-01626.02] 我们刚才其绕给大家讲的是
[01626.02-01627.86] Terry保护在这接触了
[01627.86-01631.02] 有外民是权力有叫做生前和死后
[01631.02-01634.70] 生前是他耳死后就需要保护死者的权力
[01634.70-01637.02] 保护死耳权力的时候射一道的就是什么
[01637.02-01640.74] 死者人格利益的保护
[01640.74-01643.58] 死者人格利益保护在这里首先来看一下
[01643.58-01644.86] 这是一个人去世之后
[01644.86-01647.66] 他并非所有的权力都会受到法律的保护
[01647.66-01650.14] 只有以下欺向会受到法律的保护
[01650.14-01653.06] 这欺向在考试过程当中很少会考到
[01653.06-01654.46] 同位运向就可以了
[01654.46-01656.58] 在这欺向不需要背过
[01656.58-01662.08] 而这期向的包括性明、效象、明喻、隐私、一体和
[01662.58-01663.38] 一顾
[01663.38-01667.98] 所以如果有人对于死者,他这期向选业之一实施侵权的话
[01667.98-01670.78] 在这里面就购成侵权,就可以有谁
[01670.78-01672.58] 就可以有死者的进清数
[01672.58-01673.98] 提出相应的什么
[01673.98-01675.28] 提出相应的数据
[01675.28-01678.48] 比如说在这里面,我刚才说了经常有关于明喻的造谣的
[01678.48-01680.48] 大家在网上有没有看过
[01680.48-01682.78] 我之前看过一个新闻,我特别的生气
[01682.78-01685.68] 這是現在有關於一直形態深透的問題
[01685.68-01688.12] 或者說是我們經常能夠看到的
[01688.12-01690.52] 這什麼商 革命歷史和革命英雄
[01690.52-01692.62] 我之前看到在網上有一篇文章
[01692.62-01695.02] 只是他居然在網上去說
[01695.02-01695.98] 說什麼呢說
[01695.98-01700.02] 秋少元 黃濟光是我們讀賺出來的人物
[01700.02-01701.98] 我不知道他這個文章發出來
[01701.98-01703.02] 他意譽和委
[01703.02-01704.98] 但是很明顯 居心破策
[01704.98-01707.18] 然後他就在這個地方就開始去說
[01707.18-01708.90] 秋少元 黃濟光
[01708.90-01710.02] 不存在這個人
[01710.02-01711.52] 然後還有一些文章說
[01711.52-01714.04] 这里面的凑少约还是黄几光怎么样
[01714.04-01715.52] 就是说说了一些
[01715.52-01717.44] 根本就是没标的一些东西
[01717.44-01719.32] 所以在这种情况下当时
[01719.32-01720.80] 这个厉势的家人
[01720.80-01722.80] 就看到文章之后就特别的生气
[01722.80-01724.48] 大家想一下这些东西的是
[01724.48-01727.12] 英雄留学留汉牺牺牲掉了生命
[01727.12-01729.60] 就有后人有些不是人的人
[01729.60-01732.12] 就在这里面中商或者是抹黑弹
[01732.12-01733.92] 所以他的家属就特别生气
[01733.92-01735.44] 后来就像法院替苏苏
[01735.44-01737.20] 最后反映就判决了
[01737.20-01738.76] 我们所说的是否过程清选
[01738.76-01740.64] 要求就是配上和苏还配上
[01740.64-01743.46] 所以在这里面我会发现对于死者人格利益
[01743.46-01746.08] 他死后的一些我们所说的这些利益
[01746.08-01747.76] 应该去几个箱的保护
[01747.76-01752.84] 所以就包括性命、效象、命运、隐私、一体和一股
[01752.84-01754.32] 你看像我们生活当中
[01754.32-01756.04] 你说老是一体和一会也保护吗?
[01756.84-01757.80] 也保护
[01757.80-01760.60] 这个世界是世界之大无其不有
[01760.60-01763.24] 就是有的我们所说的这种斗子
[01763.24-01764.68] 它真的就会到什么
[01764.68-01766.76] 到一体到一体之后拿去卖
[01766.76-01768.28] 或者就是到一股
[01768.28-01770.64] 到了后就一次来威胁人家的家人
[01770.64-01773.00] 这种情况在现成物当中也是有的
[01773.00-01775.92] 所以它的一体和一股也会受到相打保护
[01775.92-01778.12] 如果说是侵犯了这七项的话
[01778.12-01779.76] 大家注意一下在这里画一下
[01779.76-01781.92] 它其实是够成清权的
[01781.92-01784.72] 有的是在这里面可以像法院提起诉送
[01784.72-01786.92] 然后保护我们所说的它的权益
[01786.92-01788.60] 但是在这里面大家注意一下
[01788.60-01790.24] 这里面清权的
[01790.24-01792.16] 就不是说我们所说的
[01792.16-01793.92] 它的这这样提起诉送之后
[01793.92-01795.96] 会对死者造成什么样的
[01795.96-01797.24] 我们所说的赔偿
[01797.24-01802.48] 而是对于死者的一个情感力
[01802.48-01804.04] 进行了一个保护
[01804.04-01805.32] 所以在这里面大家注意一下
[01805.32-01806.60] 首先第一个我们就知道
[01806.60-01807.56] 请问这期象
[01807.56-01809.32] 让教购成亲选
[01809.32-01810.60] 第二个如果购成亲选
[01810.60-01812.32] 小围护死者人格利益的话
[01812.32-01814.36] 一般谁来提起书松呢
[01814.36-01816.20] 大家注意一下是进亲书
[01816.20-01817.20] 现在旁边
[01818.60-01819.64] 是我们所说的
[01819.64-01821.64] 进亲书提起书松
[01821.64-01827.28] 我们的进期速
[01827.28-01829.44] 进期速大都知道
[01829.44-01832.64] 配奥父母子女兄弟姐妹祖父母
[01832.64-01833.64] 外祖父母
[01833.64-01835.64] 孙子女和外孙子女
[01835.64-01838.04] 所以在这里面需要大家掌握的第二个点
[01838.04-01839.64] 就是在于这个进期速会
[01839.64-01841.24] 地区速送当中的进期速
[01841.24-01842.24] 都有谁
[01842.24-01847.64] 民法或者是民速法上的进期速和行速和行法上的进期速不一样
[01847.64-01849.24] 在这里面民法上进期速
[01849.24-01850.78] 现在旁边包括
[01850.78-01852.06] 培游
[01853.60-01854.88] 纸女
[01856.66-01858.52] 应该是配偶父母
[01858.72-01859.74] 配偶
[01860.50-01861.78] 父母
[01862.80-01864.34] 然后纸女
[01864.34-01866.38] 然后祖父母
[01867.16-01868.70] 来辣了一个兄弟
[01868.96-01871.26] 兄弟姐妹一定是成年的
[01872.02-01873.56] 兄弟姐妹
[01875.60-01877.14] 还有祖父母
[01879.24-01880.44] 外组父母
[01883.44-01886.04] 还有一个就是我们所说的孙子女
[01887.64-01889.44] 和外孙子女
[01892.84-01894.24] 孙子女和外孙子女
[01894.24-01897.04] 这个是我们所说可以提起苏松的进去说
[01897.04-01898.24] 一共是巴累
[01898.24-01899.64] 这巴累咱们怎么记呢
[01899.64-01902.44] 大家注意一下以死者为中心
[01903.04-01904.24] 上下左右吧
[01904.24-01905.84] 你看在这里面
[01906.24-01907.04] 配偶
[01909.24-01913.24] 然后再往上是父母
[01913.24-01918.24] 然后子女还有我们所说的兄弟姐妹
[01920.24-01927.24] 然后上两代下两代再往上是祖父母或者是外祖父母
[01929.24-01935.24] 下两代孙子女或者是我们所说的什么外孙子女
[01935.24-01939.06] 也就是以死者为中心上下左右
[01939.06-01943.40] 然后宋向往上属往下属在有这么一个就可以了
[01943.40-01945.04] 这个是我们所说的什么
[01945.04-01947.50] 就是有关于迷法上的进行数
[01947.50-01948.50] 它的一个概念
[01948.50-01950.80] 所以这个概念还是要同学们去掌握的
[01950.80-01952.54] 在这里考试的时候
[01952.54-01954.80] 它有时候会考察案例
[01954.80-01956.10] 这张考察案例的话
[01956.10-01957.50] 就会给你跟你说
[01957.50-01959.18] 谁做了一个成妙的行为
[01959.18-01960.46] 侵犯了死者的人格利
[01960.46-01961.10] 它会给到
[01961.10-01963.14] 以下ABCD4人当中
[01963.14-01966.78] 哪一个人有权像法院提起诉讼为和权利
[01966.78-01968.94] 那在这里面就会给到说什么呢
[01968.94-01971.06] 说这个死者的妻子
[01971.06-01972.54] 那死者妻子算不算
[01972.54-01973.22] 配我了
[01973.22-01975.54] 或者说死者的爷爷奶奶
[01975.54-01976.38] 可能可以啊
[01976.38-01977.62] 祖父母为祖父母吗
[01977.62-01979.86] 或者说是死者的孙子女
[01979.86-01980.74] 是不是都OK啊
[01980.74-01981.62] 那在这里面
[01981.62-01983.66] 他会给到居体的案例让你往里带
[01983.66-01986.02] 那这个时候你一旦想到这个之后
[01986.02-01988.94] 你就记住我们所说的这个近亲属
[01988.94-01990.94] 他就包括上下左右
[01990.94-01992.34] 然后上两带下两带
[01992.34-01993.22] 明白这个意思吧
[01993.22-01994.82] 所以在这里大家注意一下
[01995.54-01997.14] 这是我们所说的有关于
[01997.42-01999.98] 死者一般死者的人格利益保护
[02000.74-02002.94] 大家这里还有另外一个点什么点呢
[02002.94-02005.06] 这是一般死者的人格利益保护
[02005.06-02006.34] 是最绝我们刚才所说的
[02006.34-02007.54] 圈一共成群权
[02007.54-02009.78] 圈儿有进行所来去提到
[02009.78-02012.18] 但这里面还会有一些特殊的死者
[02012.18-02013.54] 那就是我们所说的什么
[02013.54-02014.74] 英雄列式
[02014.74-02016.02] 比如说刚才我们所说的
[02016.02-02017.94] 这个环境光处少云
[02017.94-02019.26] 或者是我们所说的总人
[02019.26-02020.34] 哪列式开玩笑
[02020.34-02022.86] 之前有一个在逼战上还是什么啦
[02022.86-02023.66] 我忘了啊
[02023.66-02025.26] 什么叫张尼满还是什么
[02025.26-02027.70] 就是有那个暴走还是啥的
[02027.70-02029.10] 他们是不是都开过
[02029.10-02031.10] 这是甚至有包括很多的这种
[02031.10-02032.74] 网络上的工作人
[02032.74-02034.14] 我它说都开过这种
[02034.14-02036.14] 我们所说的这个烈士的玩笑
[02036.14-02038.10] 那如果是开这种烈士玩笑的话
[02038.10-02038.94] 大家注意下
[02038.94-02040.38] 除了我们所说的
[02040.38-02042.22] 有金金属可以提起诉讼之外
[02042.22-02043.50] 谁还可以提起诉讼呢
[02043.50-02045.14] 同位在旁边标注一下
[02045.14-02047.06] 人民检察院还可以提起公余诉讼
[02047.06-02049.42] 有的是优秀烈士他也是思织
[02049.42-02051.86] 但是他比较特殊有关于英雄历史
[02051.86-02054.46] 他的权力的维护在提起诉讼的时候
[02054.46-02056.22] 有两个可以提起诉讼
[02056.22-02057.46] 第一个就是进清鼠
[02057.46-02060.10] 这个进清鼠和前面强调的一样
[02060.10-02062.14] 以私着为中心上了下左右
[02062.14-02063.38] 上两代下场代
[02063.38-02066.66] 这进清鼠第二个就是人民检察院可以提起公益诉讼
[02070.22-02073.14] 叫人民检察院可以提起公益诉讼
[02073.14-02082.14] 以后在这个地方当他的家人可能没有办法支撞这个事情的时候
[02082.14-02086.14] 这里面人民检察院可以提起公益诉讼
[02086.14-02091.14] 因为在这种情况下 物乳烈士不单单伤害的是进行数的情外利益
[02091.14-02093.14] 也是伤害了我们所说的 是吧
[02093.14-02099.14] 也伤害了社会公共理人民群众对于是英雄的这样的这一种追思和情感
[02099.14-02102.14] 所以在这里人民检察院可以提起公益诉讼
[02102.14-02108.84] 这个就是我们所说的有关于整个明视权力能力当中的生钱和死后
[02108.84-02112.24] 所以大家就记得一个图时间节点的花分
[02112.24-02116.44] 在这里明视权力是与出生中约死亡
[02116.44-02119.54] 在这个地方是它的明视权力一般的情况
[02119.54-02122.14] 考点就在与出生和死亡时间的节定
[02122.14-02125.94] 如果是在生钱力的保护生钱就是台耳
[02125.94-02127.30] 他二的話咱們說了
[02127.30-02131.94] 叫做一個原則,一個原則三個例外
[02131.94-02135.18] 這三個例外遺產基礎結束增緣侵犯行為
[02135.18-02137.82] 這裏面每一個都要從頭去分析
[02137.82-02140.30] 那第二就是他的死後的利益
[02140.30-02142.30] 那死後的利益就是死者
[02142.30-02143.82] 死者就分情況了
[02143.82-02146.10] 對吧?有一般死者還有我們所說的
[02146.10-02149.30] 歷史英雄歷史
[02149.30-02151.38] 那在這裏面有外一般死者的話
[02151.38-02154.34] 購成侵犯有金金屬來提起訴訟
[02154.34-02157.42] 如果是歷史的話不僅傷害了進行數的清幹
[02157.42-02158.94] 也傷害了社會公務力
[02158.94-02163.30] 這有時候傷害的社會公務力就可以有檢察院來提起公務易訴訟
[02163.30-02164.98] 所以在這裡面大家注意一下
[02164.98-02168.18] 這是有關於整個民視權力能力
[02168.18-02170.10] 他的一個相應的考點
[02170.10-02172.78] 這個生前和死後考理行題目
[02172.78-02176.34] 中間的時間考實際行題目
[02176.34-02180.14] 這是我們所說的第一個權力就做民視權力能力
[02180.14-02182.70] 當說了在人的民視權力能力
[02182.70-02188.58] 他就是在法律上或者是能夠成為法律上的人的這樣的一個資格的能力
[02188.58-02190.62] 是於出生終於死亡
[02190.62-02194.34] 那這個資格他是從出生開始到死亡結束
[02194.34-02198.26] 但是有了這個資格是不是因為他做的事情就會被法律所認可呢
[02198.26-02199.10] 其實不是的
[02199.10-02203.02] 那這種情況之下還要求在人不僅具有民視權力能力
[02203.02-02205.26] 還要具有民視行為能力
[02206.62-02208.30] 那民視行為能力
[02208.30-02210.06] 那這個民視行為能力
[02210.06-02213.28] 大家注意一下,它其实强调的就是你做一个,
[02213.28-02216.16] 既然你又没有独立做事的资格,
[02216.16-02220.26] 也就是你自己的行为,能不能取得明示权力承担明示并有,
[02220.26-02222.52] 所以它是独立做事的资格,
[02225.46-02228.16] 独立做事的资格,也认为自己做了一个事,
[02228.16-02230.96] 它会会产生相当的法律效力,
[02230.96-02233.56] 那这个时候就叫做独立做事的资格,
[02233.56-02235.96] 所以这个就叫做明示行为能力,
[02235.96-02238.16] 所以看明示行为能力的电影视杀,
[02238.16-02240.98] 他说是指虽然能够以自己的行为
[02240.98-02243.28] 享有明是权力成弹明是用的能力
[02243.28-02247.38] 也计虽然人叫做独立进行明是活动的资格
[02247.38-02249.16] 也就是独立做事的能力
[02249.16-02251.48] 因为在这个过程中我们就要去分析
[02252.24-02255.56] 不分析我们刚才说了他是一个什么样的权力能力人
[02255.56-02256.84] 不分析这个而是分析什么呢
[02256.84-02258.40] 一个人他做了今天事
[02258.40-02260.18] 这件事他到底有没有效
[02260.18-02262.74] 一个小孩拿着两万块钱去买了一个赚劫
[02262.74-02265.56] 对八岁的小孩拿两万块钱去买了一个赚劫
[02265.56-02269.14] 这个迷事法律行为到底产产生迷事法律效果
[02269.14-02272.36] 这个就是行为能力要考虑的问题
[02272.36-02274.00] 那在迷事行为能力当中
[02274.00-02277.42] 我们把整个迷事行为能力按照联令
[02277.42-02279.76] 它的这样一个意思能力表达的
[02279.76-02281.94] 花分就画分出来了三种情况
[02281.94-02283.28] 比如说我们所说的
[02283.28-02285.04] 根据迷事行为能力
[02285.04-02287.26] 它的一个联令之力竟然撞靠
[02287.26-02288.14] 为画分标者
[02288.14-02289.80] 我画分出来了三种情况
[02289.80-02291.12] 这三种情况分别是
[02291.12-02293.66] 第一个叫做完全迷事行为能力人
[02293.66-02296.66] 叫做完全民事
[02296.66-02297.66] 不行了
[02297.66-02298.66] 行为能力
[02298.66-02300.66] 就是用它代表这个
[02300.66-02301.66] 完全民事行为能力人
[02301.66-02303.66] 第二个最终做
[02303.66-02306.66] 限制民事行为能力人
[02306.66-02308.66] 第三个就是我们常说的叫做
[02308.66-02310.66] 无民事行为能力人
[02310.66-02311.66] 这种情况
[02311.66-02312.66] 这几个概念
[02312.66-02314.66] 咱们咱们就上生活当中总听吧
[02314.66-02316.66] 考试的时候怎么考
[02316.66-02317.66] 大家注意一下
[02317.66-02319.66] 这个我们所说的民事行为能力人
[02319.66-02322.66] 它在考试的时候有两层考脸
[02322.66-02323.66] 有两层考点
[02323.66-02325.86] 第一层考演就是去判断
[02327.86-02329.34] 判断这个人
[02329.34-02332.38] 他属于哪种民事行为能力人
[02335.06-02337.66] 判断这个民事行为能力
[02337.66-02340.86] 他判断他属于完全还是现名还是5名
[02340.86-02342.46] 这是第一个判断他属于哪种人
[02342.46-02346.46] 第二个是我们在他是哪种人的记录事上来
[02346.46-02350.86] 判断他所实施的行为的
[02352.66-02354.26] 法律效率
[02355.26-02357.58] 这是这个小孩花了两万块钱
[02357.58-02358.06] 对吧
[02358.06-02359.46] 他去买了一个大赚借
[02359.46-02362.26] 他的花钱买赚借的行为
[02362.26-02364.58] 到底被迷返任不任可
[02364.58-02366.74] 这种情况之下就是判断他个什么
[02366.74-02368.14] 法律效率的问题
[02368.14-02370.46] 考试当中的第一种比较简单了
[02370.46-02371.38] 一看就能看出来
[02371.38-02372.38] 根据年龄华粉
[02372.38-02374.38] 难典在什么难典在第二种
[02374.38-02375.38] 考察方式
[02375.38-02377.70] 在这里会考察理解形的题目
[02377.70-02377.98] 好
[02377.98-02380.26] 那这是从红官上了解了这个知识电
[02380.26-02382.30] 那从红官上了解这个知识电之后
[02382.30-02386.02] 我们接下来看一下有关于这三种人的华分
[02386.02-02388.54] 首先第一个叫做完全民事行为能力人
[02388.54-02392.02] 完全民事行为能力人当中有一个考虑点达注意下
[02392.02-02395.86] 完全民事行为能力人第一个是年党18周岁以上的
[02395.86-02397.22] 再人是承认人
[02397.22-02400.22] 这个时候他就叫做完全民事行为能力人
[02400.22-02403.54] 比如说一个小孩大学厉害了高伦弊了
[02403.54-02405.10] 高伦弊了之后18亿满
[02405.10-02409.70] 18亿满之后他在社会上以后在做的任何事情
[02409.70-02412.44] 那他都要独自位自己做的事情覆则
[02412.44-02413.80] 那他就属于一个什么人
[02414.56-02417.74] 他就属于一个完全民事行为能力人
[02417.74-02420.60] 那这是18周岁以上的能够
[02420.60-02424.18] 完全变任自己行为能力的精神正常的一个成立人
[02424.18-02425.94] 他属于完全民事行为能力
[02425.94-02428.90] 在这里面,大助一下是大育等于18岁
[02428.90-02431.96] 那考试的时候不考这种正常情况下
[02431.96-02434.08] 而考什么呢,而考一个法律抑制
[02434.08-02435.04] 同时标助一下
[02435.56-02437.50] 也就是完全民事行为能力人
[02437.50-02439.86] 除了年滿18週所以精神正常的
[02439.86-02441.50] 我們所說的這個承認之外
[02441.50-02442.30] 他有一種情況
[02442.30-02443.86] 就是他如果不滿18
[02443.86-02445.78] 就是年滿16週所以上
[02445.78-02449.38] 第二個以自己的勞動收入為主要生活來源的
[02449.38-02450.58] 他也被視為什麼
[02450.58-02453.70] 被視為法律上的完全民視性命能力人
[02455.10-02460.82] 視為完全民視性命能力人
[02463.94-02466.14] 那他是法律你至少的考試的時候
[02466.14-02467.10] 就願意考察這個
[02467.10-02471.26] 比如说现在有一个人小孩小爷今年多少呢
[02471.26-02472.70] 小爷今年16岁
[02472.70-02474.30] 小爷今年16岁
[02474.30-02476.10] 小爷非常有天赋
[02476.10-02477.50] 他的天赋在什么呢
[02477.50-02479.70] 他的天赋在于写作
