[00000.00-00007.80] 我们了解完了整个行政法的基本原则之后,我们来看一下第三个大问题,就叫做行政主体
[01268.80-01271.76] 所以咱们就不说了那么多了 咱们就说省机政府
[01271.76-01272.26] 好吧
[01275.76-01278.56] 是由省意级的政府
[01278.56-01280.52] 设立的我们所说的这个
[01280.52-01281.36] 太书记官
[01281.36-01283.28] 这个就叫行政公署
[01283.28-01285.56] 因为说目前在行政公署当中
[01285.56-01287.64] 在新疆那边是个比较多
[01287.64-01289.36] 比如说和田行政公署
[01289.36-01290.64] 目前我们国家还有三个
[01290.64-01292.68] 开始和田和大小安慮
[01292.68-01295.12] 你说这几个地区为什么要设行政公署
[01295.12-01296.72] 因为他地方太大了
[01296.72-01297.56] 他不好管
[01297.56-01300.56] 比如说就以我们所说的新疆美丽
[01300.56-01305.04] 大家都知道新疆是中国领土面具最大的什么
[01305.04-01308.00] 省意级的这样的一个形容去换 对吧
[01308.00-01310.56] 但是大家知道新疆那么大个地方
[01310.56-01312.04] 它只有几个省政府
[01312.04-01315.08] 它其实只有一个就是新疆自治区人民政府
[01315.08-01317.52] 其实它只有一个省意级别的政府
[01317.52-01319.32] 但是它要全管的是什么事
[01319.32-01321.32] 全管整个新疆内部的事务
[01321.32-01323.08] 所以有的时候省政府之后
[01323.08-01324.60] 它就忙活不过来
[01324.60-01330.20] 所以它为了能管更好的管理整个新疆自治区范围内的事
[01330.20-01333.00] 所以在這種情況之下,他就會設立一個什麼東西
[01333.00-01334.04] 行政公署
[01334.04-01336.60] 行政公署,他其實就相當於什麼
[01336.60-01340.44] 他就相當於我們所說的事意及的
[01340.44-01345.04] 這種政府,因為他是誰設立的,他是審及政府設立的呀
[01346.32-01348.88] 對吧,所以他是審及政府設立的
[01348.88-01352.28] 但是我們說了,審意及政府就是新疆自取人民政府
[01352.28-01355.04] 我就不說這麼多字,大家知道我這個意思
[01355.04-01357.08] 他其實是審意及政府設立的
[01357.08-01358.88] 那審意的政府設立的就相當於什麼
[01358.88-01361.56] 相当于世一级的政府版
[01361.56-01362.84] 你说老师你们点猫了
[01362.84-01364.96] 你看 省级政府就在这儿了吗
[01364.96-01367.44] 对吧 省级政府设立的政府是哪一集别
[01367.44-01368.44] 是世一集别
[01368.44-01370.36] 所以行政公主就相当于什么
[01370.36-01373.00] 就相当于世一级别的政府了
[01373.00-01374.32] 你说老师他为什么设这个
[01374.32-01375.40] 我刚才不会大说了
[01375.40-01377.20] 就是因为他太大了
[01377.20-01379.64] 他真的不好管 他不得怎么样管不过来
[01379.64-01380.92] 所以在这里会设置
[01380.92-01382.72] 叫做行政公主
[01382.72-01384.56] 那第二个呢就叫做驱公所
[01384.56-01385.60] 驱公所是什么呢
[01385.60-01386.64] 同位标主一下
[01386.64-01390.20] 去工作太是有权益籍的政府设立的
[01390.20-01392.20] 这个是哪一籍政府设立的呢
[01392.20-01394.60] 大主意下是线级政府设立的
[01396.20-01397.60] 当然也包括自线
[01399.40-01401.88] 是线级政府设立
[01401.88-01403.12] 那同们来看一下
[01403.12-01405.08] 线级政府设立的政府
[01405.08-01406.08] 他相当于那了
[01406.08-01408.00] 早见现在这了
[01408.00-01409.20] 线级政府设立的
[01409.20-01410.24] 他就相当于有啥
[01410.24-01413.44] 他就相当于一个相当于一个相当于一个相当于一个相当于一个相当于一个相当于的政府
[01413.44-01415.24] 所以在这里面大主意下
[01415.24-01416.92] 這是我們所提到的
[01416.92-01418.92] 第二個就是線
[01418.92-01421.12] 第三一個就是我們所說的什麼
[01421.12-01423.00] 就是我們所提到的叫做
[01423.00-01424.16] 街道辦處
[01424.16-01427.24] 但是現在區工所在中國已經幾乎是沒有了
[01427.24-01428.92] 第三個就是街道辦處
[01428.92-01430.40] 街道辦處就相當於什麼
[01430.40-01433.56] 就是視峽區的政府設立的
[01435.16-01437.32] 太相當於鄉政府
[01437.32-01439.68] 是視峽區政府設立
[01439.68-01445.68] 是市産區的政府
[01445.68-01446.68] 涉及的
[01446.68-01448.68] 你把這個施産區花過來
[01448.68-01451.68] 說老師什麼叫做施産區
[01451.68-01453.68] 比如說他有很多的地區
[01453.68-01456.68] 他其實沒有線這個級別
[01456.68-01458.68] 比如說你看我的這個老家
[01458.68-01460.68] 叫基因省白山市江源線
[01460.68-01461.68] 對吧
[01461.68-01462.68] 他以前是個線
[01462.68-01464.68] 但是後來改完了之後
[01464.68-01466.68] 他就變成了江源區
[01466.68-01469.68] 他这个线和这个区本质上是什么
[01469.68-01470.88] 是一个级别的
[01470.88-01472.88] 但是我刚才所说这个将援线
[01472.88-01473.88] 他是一个独立的线
[01473.88-01475.28] 但是改成了区的话
[01475.28-01477.48] 那就是白山市的某些什么
[01477.48-01480.28] 事想起了某些事情起了
[01480.28-01481.80] 那这种情况之下你看
[01481.80-01484.88] 事想起他其实是相当于现一集的这种单位
[01484.88-01487.68] 那他如果再去设立一些管理数捕的话
[01487.68-01489.08] 那这有时候他就会设什么
[01489.08-01490.08] 寄到办出
[01490.08-01491.28] 那寄到办大都知道
[01491.28-01494.08] 他就相当于什么相一集的这个政府了
[01494.08-01495.68] 因为现在这样在我下设数
[01495.68-01497.48] 相以纶级别了
[01497.48-01499.28] 所以就是拍出级观
[01499.28-01500.64] 所以拍出级观大家知道
[01500.64-01501.92] 它是谁设立的
[01501.92-01504.32] 它是有全政府设立的
[01504.32-01506.12] 它是政府设立的
[01507.24-01508.72] 所以省一级政府设立的
[01508.72-01510.32] 叫行政公署
[01510.32-01512.56] 线一级政府设立的叫去工作
[01512.56-01514.32] 如果是事材区
[01514.32-01516.60] 比如说摩穆世某某区
[01516.60-01518.20] 它要设立一个街道办
[01518.20-01519.24] 那这有什么
[01519.24-01520.24] 摩穆世某某区
[01520.24-01522.00] 它要设立一个拍出级观
[01522.00-01522.96] 那这个就要什么
[01523.60-01524.76] 街道办处
[01524.76-01526.44] 所以在这里大家知道
[01526.44-01528.44] 你把这个给我旅顺清楚了
[01528.44-01529.88] 旅顺清楚了之后
[01529.88-01533.52] 变于我们后面再去学习形容夫亿的内容
[01533.52-01535.32] 这个地方对于来说就收于一籽了
[01535.32-01537.88] 这个就叫做派出习官
[01537.88-01539.08] 派出习官党说了
[01539.08-01540.60] 它是有权中复社里的
[01540.60-01541.72] 政府能社里
[01541.72-01542.68] 那我问一下大家
[01542.68-01544.28] 政府的职能部门
[01544.28-01546.72] 能不能社里一定的形容机构
[01547.96-01548.88] 大主要
[01548.88-01551.00] 政府的职能部门也能社里
[01551.00-01552.40] 政府的职能部门
[01552.40-01555.24] 社里的机构是什么呢?就叫做派出机构
[01555.24-01557.28] 所以大家注意一下,在旁边注意一下
[01557.28-01560.52] 派出机构他是什么?政府的只能部门社里的
[01563.52-01565.20] 我简单写部门了,好了
[01565.20-01567.80] 叫政府部门社里
[01570.72-01571.60] 政府部门社里
[01571.60-01573.76] 那你看,是不是就区分了?
[01573.76-01574.80] 就区分出来了
[01574.80-01577.04] 因为咱们刚才所说的派出机关
[01577.04-01578.16] 他是政府社里
[01578.16-01580.24] 而现在他是什么?部门社里的
[01580.24-01582.24] 风格三点了,风格结款了
[01582.24-01585.36] 你看在这儿,就要一步交易听交易举交易分局
[01585.36-01587.04] 公安庭,公安局和公安分局
[01587.04-01588.84] 这是不是我们所说的这个部门呢?
[01588.84-01591.12] 那我们最为常见的其实就是在什么?
[01591.12-01593.88] 就是在部门当中去势力
[01593.88-01595.64] 比如说我们经常会听到
[01595.64-01596.80] 我这把他写在旁边
[01596.80-01598.00] 好吧,我把案例写的旁边
[01598.00-01600.20] 比如说我们常听到的叫做派出说
[01602.48-01605.08] 派出所在一个现里面,什么太多了
[01605.08-01607.08] 这随初可见到处都是派出所呀
[01607.08-01609.24] 但是一个现里面的公安局就一个
[01609.24-01614.14] 大家注意一下,比如说某某线关局,如果是某某线关局的话
[01615.14-01621.74] 这个线里面关局就只有一个,这个线里面关局就只有一个,但是它通管整个线遇内的这个事物
[01621.74-01629.24] 那还有的时候呢,如果距离比较远,它触见也不上很方便啊,于是它就会在这个地区设一个什么,设一个派出所啊
[01629.24-01638.04] 那你看我们经常就能看到,某某接到的派出所,对不对,某某相争的派出所,那这种情况之下,它给我们设置到这个派出所,它本身就是什么
[01638.04-01643.52] 就是只能不闻把它的这种权力分化出去一部分
[01643.52-01646.36] 对不对所以在这里面这时候我们所说的太出所
[01646.36-01649.04] 而太出所 它的考虑大家应该知道
[01649.04-01650.56] 一般情况这些派出所
[01650.56-01653.00] 它是能不能比如说派出所给你发款的
[01653.00-01654.76] 派出所给你抓起来了
[01654.76-01657.36] 你对于派出所给你的这个法款的处发
[01657.36-01658.24] 你不服
[01658.24-01659.52] 能不能够派出所
[01660.84-01661.68] 大主要
[01661.68-01663.88] 如果说这里面的一般形容机关
[01663.88-01665.52] 专门形容机关以及派出机关
[01665.52-01667.12] 它其实都可以成为什么
[01667.12-01669.68] 獨立的背貢或者獨立的主體
[01669.68-01670.88] 獨立的形證主體
[01670.88-01672.36] 比如說在這裡面
[01672.36-01674.20] 教育部給了你一個什麼處分
[01674.20-01675.88] 你不符你可以直接告就要一部
[01675.88-01676.76] 比如說
[01676.76-01679.60] 何北省人民政府給了你一個什麼樣的處分
[01679.60-01681.48] 你不符或者給了你一個什麼樣的形證
[01681.48-01682.20] 決定你不符
[01682.20-01684.64] 你可以直接告何北省人民政府
[01684.64-01686.08] 甚至包括
[01686.08-01689.20] 在這個裡面我們所提到的這些派出機關
[01689.20-01691.84] 你在某種程度上也可以直接告
[01691.84-01693.56] 但是大注意一下
[01693.56-01696.08] 你能能直接告派出所
[01696.08-01697.84] 不行的 原则上是不行的
[01697.84-01699.80] 所以在这里面 大一调注意
[01699.80-01701.72] 我们所说的这里面所提到的
[01701.72-01702.80] 我都给大家标注出来
[01702.80-01703.28] 好吧
[01704.28-01705.36] 派书机关
[01705.36-01707.56] 我标的红色的这些部分
[01707.56-01710.16] 就是我拿红色的这种机号比标注的部分
[01710.16-01711.44] 派一般情况之下
[01711.44-01713.60] 都可以成为独立的背购
[01713.60-01715.12] 都可以直接去告他们
[01715.12-01717.64] 都可以直接去怎么样 直接去副一他们
[01717.64-01719.28] 但这里面有一个是例外
[01719.28-01720.24] 这个是谁呢
[01720.24-01722.68] 这个地方大住一下这个派出机购
[01722.68-01725.12] 他就不能直接告原则上
[01725.12-01726.14] 派出机构
[01726.14-01728.20] 他不能做行政主体
[01728.20-01730.34] 如果老师为啥不能做行政主体
[01730.34-01731.94] 你看这里面的政府
[01731.94-01733.38] 只能不门和派出机关
[01733.38-01735.14] 他都行为啥派出机构不小
[01735.14-01736.24] 他们来看一下
[01736.24-01737.92] 派出机构他本身上
[01737.92-01739.02] 其实是一个什么
[01739.02-01741.68] 他是不是一个独立的行政主体
[01741.68-01743.52] 不是他只是
[01743.52-01746.24] 现功安局的一个
[01746.24-01748.32] 我们所说的只能的眼神
[01748.32-01749.12] 欢迎话说呢
[01749.12-01751.48] 他就相当于一个现功安局的什么
[01751.48-01752.76] 内涉机构
[01752.76-01755.88] 你竟然派出所是归属现关极管
[01755.88-01757.36] 现关极管的
[01757.36-01759.16] 你这个时候你做错了事
[01759.16-01760.00] 就相当于什么
[01760.00-01761.92] 就相当于派出所事儿子
[01761.92-01763.16] 关极是跌
[01763.16-01765.08] 小孩做错了事你找谁
[01765.08-01766.44] 能把小孩打一堆吗
[01766.44-01767.08] 不行
[01767.08-01768.60] 小孩做错了身造谁
[01768.60-01769.88] 你早就加长
[01769.88-01771.40] 所以派出所做错了事儿
[01771.40-01772.32] 你原子上找谁
[01772.32-01774.00] 找他跌去找谁
[01774.00-01776.64] 去找现关极就可以了
[01776.64-01778.08] 但是也有例外
[01778.08-01779.68] 这是派出所做什么事
[01779.68-01781.16] 咱们可以直接告派出所
[01781.16-01783.40] 一般想想派出所给你警告
[01783.40-01784.74] 你不服对吧
[01784.74-01786.14] 因为警告都输面儿的
[01786.14-01788.34] 所有的警告都是输面儿的触发
[01788.34-01790.58] 你不可能说警告给你口头警告那不是的
[01790.58-01792.46] 所以如果他给你警告你不服
[01792.46-01793.36] 你告派出所
[01793.36-01796.18] 或者他给你无百块钱一下法款你不服
[01796.18-01797.46] 你也可以执行告派出所
[01797.46-01798.28] 所以大家注意
[01798.28-01802.92] 这个派出机构原则上不能成为独立的形狀主体
[01802.92-01804.46] 你就是原则上你不能告他
[01804.46-01805.46] 因为他就是什么
[01805.46-01808.90] 他就是原本的只能不闻的一个只能缘身而已
[01808.90-01811.06] 他就是相当于人家一个内设机构
[01811.06-01813.66] 他就相当于原本的只能部门的一个儿子
[01813.66-01816.14] 儿子错了找谁找跌
[01816.14-01817.86] 明白吧儿子错了找跌
[01817.86-01819.90] 你不能说小孩啊小孩怎么做错事
[01819.90-01821.02] 上一点还完了
[01821.02-01821.70] 你不行的
[01821.70-01823.06] 所以在这里大家注意啊
[01823.06-01824.86] 我标红色的和标律色的
[01824.86-01826.14] 你要知道是什么意思
[01826.14-01828.22] 那这个呢就是形容主体
[01828.22-01829.98] 这个形容主体在概念这儿
[01829.98-01831.50] 为大家讲了这么多
[01831.98-01833.74] 大家一定要充分掌握啊
[01833.74-01834.50] 这个点
[01834.50-01837.86] 无论是从靠实际形提目的角度来看
[01837.86-01841.78] 还是说从后面的形容副意形容诉讼的角度来看
[01841.78-01843.86] 还是从大家学习管理公文当中
[01843.86-01847.02] 我们所说的那一个什么极大关系的角度来看
[01847.02-01849.06] 这个内容都非常重要
[01849.06-01851.74] 所以在这一定要把它输离清楚
[01851.74-01852.74] 给它吃透
[01852.74-01853.42] 咱们在这
[01853.42-01855.66] 给大家煮了很多的比末去讲解
[01855.66-01858.62] 已经尽可能给大家把这个地方做得很细了
[01858.62-01859.66] 明白这个意思吧
[01859.66-01863.06] 这个就叫做形装主体当中的低类
[01863.06-01864.14] 形容主体当中低类
[01864.14-01865.22] 咱们才强了一个啥
[01865.22-01865.94] 在这
[01865.94-01869.70] 咱們才講了一個叫做國家行政機關
[01869.70-01871.20] 但是行政主體說了
[01871.20-01873.28] 除了行政主體是關嘛
[01873.28-01873.54] 對吧
[01873.54-01875.84] 這個關除了國家行政機關之外
[01875.84-01877.14] 包括剛才所說的
[01877.14-01880.70] 這幾類當然還包括一些什麼社會組織
[01880.70-01883.18] 你說老師天拉路對不對
[01883.18-01885.02] 那簡直了這是一個什麼呢
[01885.02-01887.14] 這簡直是一個不可失憶的問題
[01887.14-01889.14] 你如果說關的話我能理解
[01889.14-01891.14] 對方因為畢竟他們都是機關單位
[01891.14-01893.02] 那這裡面的社會組織
[01893.02-01895.70] 咱還能成為關管民眾的關呢
[01895.70-01900.18] 打住一下这里面的形政主体就是红官议上的官
[01900.18-01903.26] 这个红官议上的官除了国家形政机关之外
[01903.26-01905.18] 还有一个就是社会组织
[01905.18-01907.66] 这社会组织它有两种形式
[01907.66-01910.14] 第一种是被受权的社会组织
[01910.14-01911.82] 就是形政机关有一些事
[01911.82-01913.02] 它自己忙不过来
[01913.02-01915.62] 它就可以收权一些社会组织
[01915.62-01917.46] 帮它做这些事
[01917.46-01919.94] 那如果它受权这些形政组织
[01919.94-01921.46] 帮它做这些事的时候
[01921.46-01922.50] 那这种情况之下
[01922.50-01923.90] 这个形正组织
[01923.90-01926.22] 他就拥有了形正直权
[01926.22-01927.50] 他就可以做什么
[01928.50-01929.86] 就可以做为形正主体
[01929.86-01930.90] 那他如果做事的时候
[01930.90-01932.10] 他没有做好就可以怎么办
[01932.10-01933.70] 你就可以去告这个组织
[01933.70-01934.98] 举个简单的例子
[01934.98-01936.34] 最长见的中什么呢
[01936.34-01937.54] 我把第一字寫着旁边
[01937.54-01937.90] 好吧
[01937.90-01939.46] 我如果把第一字寫着呢
[01939.46-01942.14] 你就相对来说会方便一些
[01942.14-01944.06] 比如说我们比较长见的
[01944.06-01945.14] 我其实想换个颜色
[01945.14-01947.42] 但是我这个颜色掉不出来了
[01947.42-01948.54] 我就寫在这吧
[01948.54-01950.02] 比如说最长见的高校
[01952.50-01955.90] 说高校还是不够直摆,大学吧?
[01955.90-01958.42] 大学啊,大学
[01958.42-01961.14] 我先把他写在这儿,好吧?
[01961.14-01966.86] 就是这个社会组织有两个第一种是第一种形式的手组织是被受权组织
[01966.86-01972.86] 是被受权的组织
[01972.86-01978.62] 第二种组织就是委托形成机关委托的组织,他们两个还有两部一样
[01978.62-01981.66] 如果说在这里面是被受权的组织的话
[01981.66-01983.94] 最为常见的就是什么呢 就是大学
[01983.94-01985.46] 你看大学他一般情况下
[01985.46-01987.26] 他是不是国家形认机关
[01987.26-01988.98] 大学不是国家形认机关
[01988.98-01990.78] 大家都知道学校他属于什么
[01990.78-01992.34] 他属于世界单位
[01992.34-01995.22] 形认机关就是杨梦口
[01995.22-01996.98] 对吧就是咱们传统印象杨梦口
[01996.98-01998.34] 比如说大家考的公园
[01998.34-01999.86] 就是考到形认系统里面了
[01999.86-02001.98] 所以你想有的叫做形认辨知
[02001.98-02003.90] 但是如果你考到什么音乐呢
[02003.90-02005.30] 考到什么暴失二了
[02005.30-02006.30] 考到什么大学了
[02006.30-02007.54] 你也想有辨知
[02007.54-02009.70] 但这首你的编制叫做事业编
[02009.70-02012.66] 事业单位是搞工艺服务的
[02012.66-02013.54] 类伪这种
[02013.54-02016.34] 而我们所说的形认诊官是搞社会管理的
[02016.34-02017.14] 明白了吧
[02017.14-02019.46] 所以你看像这种比如说我们以前
[02019.46-02021.14] 我们现在所看到这个大学
[02021.14-02023.54] 它其实不能算做形认诊官
[02023.54-02024.74] 那就因为这个大学
[02024.74-02027.22] 它能不能随时变成大街上反人抓起来
[02027.22-02028.10] 只能不行啊
[02028.10-02029.30] 因为你只是事业单位
[02029.30-02030.10] 你不是形认诊官
[02030.10-02030.82] 你没有执权
[02030.82-02032.02] 你怎么能抓人呢
[02032.02-02034.34] 所以你看像这种情况一般大学
[02034.34-02035.38] 它属于什么
[02035.38-02037.34] 他属于世业单位
[02037.34-02039.22] 他属于社会组织一类的
[02039.22-02040.34] 那你从老师
[02040.34-02042.86] 那大学他居然属于社会组织
[02042.86-02044.42] 他不是形容机关
[02044.42-02046.38] 那为啥有些事情
[02046.38-02048.14] 我又可以告大学呢
[02048.14-02049.46] 原因很简单
[02049.46-02051.50] 大学想要成为形容主体
[02051.50-02052.54] 他必须要干嘛
[02052.54-02053.50] 他有个前体
[02053.50-02054.38] 大距像
[02054.38-02055.98] 大学要想成为形容主体
[02055.98-02057.58] 他在这里他必须要干嘛
[02057.58-02058.50] 被受权
[02058.50-02059.50] 被谁受权呢
[02059.50-02060.62] 被教育部手权
[02060.62-02063.54] 所以教育部经常受权给大学什么事
[02063.54-02066.88] 经常数权给大学给大家发币也正如嘛
[02066.88-02067.24] 对吧
[02067.24-02068.32] 发币也正如呢
[02068.32-02070.04] 你看像那个上面你的币正上
[02070.04-02072.44] 应该卡的都是教育部的这个高音
[02072.44-02073.04] 对不对
[02073.04-02075.58] 你没有看到说那个币正上卡的是什么
[02075.58-02077.46] 某个什么的私应长
[02077.46-02078.18] 这个没有的
[02078.18-02079.16] 所以搬情况下
[02079.16-02080.62] 发币也正的事应该是什么
[02080.62-02082.08] 应该是教育部来做
[02082.08-02082.74] 但是呢
[02082.74-02084.48] 全国好几百所高效
[02084.48-02085.04] 挖呢
[02085.04-02087.04] 只剪直成千上万的高效学子
[02087.04-02089.06] 你不可能每一个高效学子
[02089.06-02089.64] 币也了
[02089.64-02090.84] 我们就开始排期嘛
[02090.84-02092.34] 就等教育部部长
[02092.34-02093.66] 然后呢 这个大家发别这样
[02093.66-02095.34] 那类似了 那一年啥也不应该了
[02095.34-02096.98] 就搞给大家发挣就行了
[02096.98-02098.78] 所以你看像发挣书的这种事
[02098.78-02101.06] 原的应该是叫一步去做的
[02101.06-02102.38] 那叫一步盲过来呀
[02102.38-02105.10] 于是他就会把它发挣的这个什么
[02105.10-02106.98] 发挣的这个直权
[02107.38-02108.82] 收权给高校
[02108.82-02110.58] 那他把发挣的直权
[02110.58-02111.82] 收权给高校之后
[02111.82-02112.90] 高校就好了
[02112.90-02115.06] 搬发挣书的这像直权
[02115.06-02117.14] 于是这个时候的高校
[02117.14-02119.30] 就在搬发挣书这像事上
[02119.30-02120.42] 就成为了什么
[02120.42-02122.06] 就成为了形政主题
[02122.06-02125.26] 因为他享有教育部的受权
[02125.26-02126.70] 所以这种手的大学
[02126.70-02127.70] 他就成为了什么
[02127.70-02130.22] 他就成为了我们所说的形狼主体
[02130.22-02131.98] 那如果大学不给你发变症
[02131.98-02133.86] 你就可以提起的是什么素素
[02133.86-02135.78] 你就不能提起民事素素素了
[02135.78-02136.98] 大学不给你发变症
[02136.98-02138.86] 你就要提起形症素素了
[02138.86-02140.18] 因为这种手的大学
[02140.18-02142.78] 他不在是一个平时的事业单位
[02142.78-02144.86] 这个手的大学已经是背付于了
[02144.86-02146.94] 形症直权的授权组织
[02146.94-02147.86] 他不给你发
[02147.86-02148.66] 你就去告他
[02148.66-02150.54] 你看在网上经常不是有正事吗
[02150.54-02153.54] 整个学校一学生不通过斯柳吉,不给办法别证
[02154.54-02156.54] 这个时候的新闻,你再看一下就会觉得
[02156.54-02161.54] 我以后,胆子大得了,不是一点半点,对吧?你怎么那么能,不给学生办法别证
[02161.54-02167.54] 你不给我发,我就告诉你,我就可以提起什么诉讼,我就可以提起醒症诉讼
[02167.54-02171.54] 明白了吧,所以这个叫做被受权的组织,被说很组织
[02171.54-02173.54] 所以这种情况之下,他一定是有什么
[02173.54-02175.54] 他一定是有形容机关受权的
[02175.54-02179.54] 他把自己的一项的直权富裕给了大学
[02179.54-02183.26] 这时候此时的大学就不再是一个普通的施业单位了
[02183.26-02185.36] 此时的大学在发挣这件事上
[02185.36-02186.64] 他就是一个形容主体
[02186.64-02190.74] 那如果他不给你发挣你就提起的叫做形正诉讼
[02190.74-02191.64] 因为他是啥了
[02191.64-02192.74] 他是形容主体了
[02192.74-02194.44] 这个就叫做被受权的组织
[02194.44-02195.74] 所以被受权的组织
[02195.74-02198.34] 你可以直接去告他
[02198.34-02199.64] 那可以直接去告他
[02199.64-02200.74] 这被受权组织
[02200.74-02203.34] 那还有一种组织类型的叫为脱组织
[02204.54-02205.34] 大际下
[02205.34-02206.34] 这个为脱组织是啥呢
[02206.34-02207.34] 在旁边写上
[02207.34-02210.42] 美托组织其实就是形正机关给自己找帮手
[02212.20-02215.02] 你在旁边写上因为我写不下了啊这个委托组织
[02215.02-02217.42] 它其实就是我把它写在这 好吧
[02217.84-02220.40] 虽然这一一板出很慢但是我不太舍得擦
[02220.40-02221.68] 它同学们我擦掉了之后
[02222.18-02223.98] 到时候结平的时候就乱了
[02224.48-02228.08] 那你看这里的委托组织其实就什么呢就是形正机关
[02230.88-02231.92] 形正机关
[02232.42-02232.94] 给
[02233.70-02234.22] 自己
[02235.50-02236.26] 找帮手
[02237.34-02241.06] 把这句话试来旁边
[02241.06-02243.82] 他就是形证机关给自己找了个帮手
[02243.82-02248.10] 那你看如果是形证机关给自己找帮手帮自己做事的话
[02248.10-02251.82] 如果这件事做错了或者是做的不好
[02251.82-02253.10] 那你告诉谁
[02253.10-02255.98] 形证机关找的帮手你能够帮手吗
[02255.98-02257.42] 比如说你是我的打手
[02257.42-02259.74] 我估你出去打个人估你出去杀个人
[02259.74-02261.78] 然后你也知道这个人是我的打手
[02261.78-02263.70] 给你做了那这个时候你告诉谁
[02263.70-02266.18] 你只能是够打手背后的我
[02266.18-02268.50] 所以形正机关给自己找帮手
[02268.50-02269.58] 这些就要什么
[02269.58-02270.74] 就要做委托组织
[02270.74-02271.82] 因为有些事务呢
[02271.82-02273.10] 我们所说的政府
[02273.10-02274.10] 他不可能怎么样
[02274.10-02275.54] 他不可能事务就系的
[02275.54-02276.82] 所以他有很多的事情
[02276.82-02278.14] 他在找人帮他做
[02278.14-02279.66] 那委托别人来做的时候
[02279.66-02280.42] 这个时候
[02280.70-02283.06] 如果接受委托的这个组织
[02283.06-02283.70] 侵权了
[02283.70-02284.90] 侵犯了公民的权益
[02284.90-02285.90] 公民告谁
[02285.90-02288.58] 公民只能是高组织背后的那个
[02288.58-02289.06] 对吧
[02289.06-02291.58] 所以这个时候形正机关给自己找帮手
[02291.58-02293.98] 这个时候形正机关就是什么机关
[02293.98-02295.50] 形正机关就是
[02295.50-02299.84] 尾脱极关 而帮手他就属于什么 数尾脱的组织
[02299.84-02304.26] 如果做错事了 找谁 找机关 做错了事 找机关
[02304.26-02307.50] 所以在这里面 大家注意一下 这是我们所说的
[02308.06-02311.68] 有关于行政主体 他的两种形式
[02311.68-02314.82] 说了行政主体就是关管民当中的关
[02314.82-02316.82] 这个关就分成两种
[02316.82-02319.38] 第一种就是 传统一样 下一的关
[02319.38-02322.42] 就是扬门口的这些 就是国家行政主体关
[02322.42-02324.30] 你要知道咱国家行政主体关长了
[02324.30-02326.66] 一般习官讲了专门行政机关
[02326.66-02329.68] 派出机关还有一个和派出机关相类似的
[02329.68-02331.24] 派出机构他们之间的
[02331.24-02335.14] 第二一个就是我们所说的这些行政主体
[02335.14-02338.06] 除了国家警案,国家行政机关之外
[02338.06-02340.54] 还有一些就是什么?社会组织
[02340.54-02341.98] 那这里面我们就知道
[02341.98-02343.02] 这个社会组织
[02343.02-02343.78] 它有两种
[02343.78-02345.50] 第一个叫被受权的组织
[02345.50-02346.26] 可以直接告
[02346.26-02347.34] 你想想那个大学
[02347.34-02348.30] 它不给你发证
[02348.30-02351.30] 你就直接告大学提起行政诉讼就行了
[02351.30-02352.14] 老师不对呀
[02352.14-02353.10] 大学是世界单位
[02353.10-02354.34] 不是国家行政机关
[02354.34-02355.34] 我怎么能告他呢
[02355.34-02356.18] 他又不是关
[02356.18-02357.98] 我说了他经过受权之后
[02357.98-02359.58] 他就就这样只能
[02359.58-02360.30] 他就有了什么
[02360.30-02361.50] 他就有了行政管理的
[02361.50-02362.22] 这样一个属性
[02362.22-02363.02] 所以就告他
[02363.02-02364.10] 但是有一个
[02364.10-02365.26] 另外一种阻止形式
[02365.26-02366.22] 就是委托阻止
[02366.22-02367.02] 委托阻止呢
[02367.02-02367.82] 大家注意一下
[02367.82-02369.50] 委托阻止不能直接告
[02369.50-02370.78] 因为委托阻止做事
[02370.78-02372.54] 还是是帮别人做事
[02372.54-02374.62] 他不能以自己的名预区
[02374.62-02375.86] 实实相当的指
[02375.86-02377.42] 这时候你帮别人做
[02377.42-02378.86] 那他你如果做错事
[02378.86-02380.10] 是人家要告你怎么办
[02380.10-02381.58] 那你帮谁做
[02381.58-02382.46] 他就告谁就行了
[02382.46-02383.70] 这个是委托组织
[02383.70-02385.50] 他们两个之间会有不一样
[02385.50-02386.58] 这个点的注意
[02386.58-02388.06] 这是行政主体
[02388.06-02390.22] 行政主体看似只有一个概念
[02390.22-02392.54] 但它其实内涵的考点特别多
[02392.54-02394.14] 我这里面讲的所有的点
[02394.14-02395.22] 都需要同学去记住
[02395.22-02397.18] 因为它有可能是一个独立的考点
[02397.18-02399.18] 同时它也在后面
[02399.18-02401.02] 我们去学行政诉讼法里面
[02401.02-02402.42] 会有非常重要的作用
[02402.42-02404.22] 这一件内容必须要消化
[02404.22-02406.86] 这是我们所说的行政主体
[02406.86-02408.50] 行政主体在这里面
[02408.50-02410.98] 我们要去分几个概念
[02410.98-02412.10] 咱们来看一下
[02412.10-02413.64] 在这里面大家把这个
[02413.88-02415.42] 在输上给它标注出来
[02415.42-02416.44] 就是我们所提到的
[02416.44-02421.06] 叫行政机关不等于行政主体不等于行政法主体
[02421.56-02424.12] 它其实是三个上下位的概念
[02424.38-02425.92] 首先行政机关怎么说了
[02426.18-02428.22] 行政机关的话它指的是什么
[02428.48-02430.28] 指的是这里面的国家机关
[02430.54-02433.08] 行政机关指的是国家机关比如说政府
