[00000.00-00003.08] 好了 那我们接着 把下看 俗话说了 好啊
[00003.08-00006.04] 官门能够官门过 同一门坚持了这么久
[00006.04-00010.52] 咱们把刑法说完了 咱们还剩下刑法总论当中的最后一个内容
[00010.52-00013.64] 就叫做亮刑 那什么是亮刑呢
[00013.64-00015.80] 我们之前给大家说过 这是如果
[00015.80-00020.96] 我真的够成了杀人 道歉 抢节等等这些最想
[00020.96-00023.24] 那我要不要考虑一些其他的一些情况
[01156.86-01157.86] 自己的最性化出来
[01157.86-01158.86] 这是第二条件
[01158.86-01160.86] 如实共数字里的最性
[01160.86-01163.86] 这事你说的要和你做的是什么
[01163.86-01164.86] 你知道
[01164.86-01165.86] 就是要承实共数
[01165.86-01166.86] 把你的这个事情
[01166.86-01167.86] 你从头到北去说出来
[01167.86-01169.96] 说出来这个就叫做如实共说
[01169.96-01171.36] 这个名砂好说的 对吧
[01171.36-01174.52] 而共述的话只要是共述自己的主要犯罪事实
[01174.52-01176.60] 如果这个事实你自己一个人做的话
[01176.60-01178.22] 那其实无红非 对吧
[01178.22-01179.86] 你就把他说明白就可以了
[01179.86-01182.36] 他就是想到于我们所说的如实共述
[01182.36-01184.16] 这里面主要是问题是什么呢
[01184.16-01185.56] 这里面主要问题是在于
[01185.56-01187.76] 如果他是共同犯罪的话怎么办
[01187.76-01189.36] 如果他是共同犯罪的话
[01189.36-01192.46] 你除了共述自己的还要共述什么
[01192.46-01195.26] 同案犯的才算做如实共述
[01195.26-01197.46] 这个细节的点就给他掌握住
[01197.46-01202.74] 所以一般自首的成立條件 大助一下 一般自首的成立條件就是自動頭按
[01202.74-01207.38] 你要知道自動頭按的時間以及自動頭按的方式 第二就是如時公數
[01207.38-01211.78] 所以它的條件是兩個 這兩個條件必須要記住 這是一般自首
[01212.02-01216.10] 那還有一種叫什麼叫準自首 準自首就可以一般自首不一樣了
[01216.34-01220.82] 準自首他是一般自首是你每輩控制之前 而準自首是什麼
[01220.98-01224.98] 你已經被控制住了 你就被抓起來了 你就被訓問才去強制措施了
[01224.98-01229.46] 所以这里面的准置手,它的条件是是,你已经被采取强制作师了
[01229.46-01231.70] 这种情况之下,你想要成立自首
[01231.70-01235.58] 那你还能不能说,我要成立自首我就把我之前做的事
[01236.30-01238.06] 然后给它说一遍的
[01238.42-01240.78] 不行,你这种情况之下大住一下
[01240.78-01244.06] 你被采取强制,确实之后,你要如实共出什么了
[01244.06-01245.98] 你要如实共出司法机关
[01245.98-01249.02] 稍微掌握的,你的其他最小
[01249.02-01252.06] 比如说司法机关,因为你强劲的罪
[01252.06-01253.34] 把你請去喝茶了
[01253.34-01255.54] 你被訓問或採取強制措施了
[01255.54-01256.02] 對吧
[01256.02-01257.10] 那這種情況之下
[01257.10-01259.10] 你如果說已經被抓到了
[01259.10-01260.94] 然後你是被動被抓的
[01260.94-01262.14] 你被動被抓了之後
[01262.14-01264.74] 你去共述了你搶劫罪的所有的犯經過
[01264.74-01266.90] 成不成立特別自首不成立
[01266.90-01268.10] 你要去公署什麼
[01268.10-01269.90] 他就是因為搶劫罪抓你的
[01269.90-01272.50] 你就是說要如時共述你的其他罪行
[01272.50-01273.78] 你出搶劫罪之外
[01273.78-01275.30] 公安計官上位掌握的
[01275.30-01276.26] 你道歉
[01276.26-01277.26] 你搶奪
[01277.26-01279.66] 你殺人,故意傷害,實行詐騙
[01279.66-01282.02] 你要去共述另外的罪行
[01282.02-01283.82] 所以在这里面大家注意一下
[01283.82-01284.84] 一定要知道
[01284.84-01287.40] 他要是上位掌握的
[01287.40-01288.94] 上位掌握的不同种
[01288.94-01290.10] 那说老师能不能这样
[01290.10-01291.50] 我能不能给他供数这种
[01291.50-01292.26] 比如说
[01292.26-01294.04] 他今天因为抢结抓了我
[01294.04-01296.10] 我给他供数我去年抢结的事
[01296.10-01297.12] 行不行
[01297.12-01297.64] 不行
[01297.64-01298.40] 大家注意一下
[01298.40-01299.94] 这里面如实共数
[01299.94-01302.50] 四百几块上位掌握的其他最想
[01302.50-01303.26] 这个
[01303.26-01304.54] 要求就是
[01304.54-01306.34] 第一个他一定是上位掌握的
[01306.34-01307.36] 第二个是什么
[01307.36-01311.20] 这是你原来的最是不同种的最想
[01312.02-01315.30] 你只他因为到切抓的你公署你去年的道歉
[01315.30-01315.70] 那不行
[01315.70-01316.78] 你要公署的是吗
[01316.78-01318.82] 与之前的道歉不统
[01318.82-01321.50] 所以要公署的是不统种罪行
[01323.06-01324.30] 不统种罪行
[01324.30-01326.94] 这个就成立了特别之手
[01326.94-01328.74] 所以特别之手和一般之手的
[01328.74-01330.38] 借现在的在哪
[01330.38-01332.30] 在于你适服有被控制
[01332.30-01334.78] 如果你没有被采取强租错失
[01334.78-01335.66] 没有被控制
[01335.66-01337.62] 那你就可以成立一般自首
[01337.62-01338.50] 如果你被控制
[01338.50-01339.82] 那你就可以成立什么
[01339.82-01340.78] 准自首
[01340.78-01343.96] 这个大概要注意一下 这是自首的条件
[01343.96-01346.24] 这个时候大家注意一下 自首是说明了
[01346.24-01349.14] 你都主观恶心比较小
[01349.14-01350.82] 你现在是相当于什么
[01350.82-01352.62] 你有这种回改的这种表现
[01352.62-01354.42] 那你如果有回改的这种表现的话
[01354.42-01357.70] 我们可以从轻或者是渐轻触发
[01357.70-01358.14] 对吧
[01358.14-01360.74] 所以在这个地方大家注意一下 这是自首
[01360.74-01363.98] 所以自首的考察方式和累翻的考察方式一样
[01363.98-01366.38] 一个就是给你问你他处于
[01366.38-01368.10] 要行中的买一个情解
[01368.10-01368.94] 你要能判断出来
[01368.94-01370.30] 第二个就是去对比
[01370.30-01371.58] 一般自首和准置首
[01371.58-01373.34] 它的一个条件差异
[01373.34-01373.88] 这是
[01373.88-01374.66] 第二
[01374.66-01376.18] 二个 这首
[01376.18-01377.22] 第三一个呢就叫做
[01377.22-01377.86] 立功法
[01377.86-01379.26] 立功咱们在现实生活当中
[01379.26-01380.54] 也经常会听到
[01380.54-01381.70] 在对于这个立功
[01381.70-01383.34] 大家有一个概念就可以了
[01383.34-01385.26] 比如说立功是指接发
[01385.26-01386.02] 放这份子
[01386.02-01387.26] 是放这份子接发
[01387.26-01388.74] 他人的放这些
[01388.74-01390.14] 并协助司法机关
[01390.14-01391.50] 抓过其放这些人的
[01391.50-01392.94] 那就分为我们所说的
[01392.94-01393.46] 立功
[01393.46-01394.62] 就接发别人
[01394.62-01395.78] 比如说
[01395.78-01396.66] 你被抓了
[01396.66-01397.06] 你被抓了的时候
[01397.06-01397.86] 你说我要立功
[01397.86-01398.66] 我要兼具
[01398.66-01399.38] 你要兼具谁呢
[01399.38-01400.26] 你要兼具别人
[01400.26-01402.26] 什么贪污 炸天等等
[01402.26-01404.90] 然后你还给关机关提供了中大的线索
[01404.90-01406.62] 帮助 关机关抓货了
[01406.62-01408.30] 那这种情况之下你就成立了嘛
[01408.30-01409.74] 你就成立我们所说的
[01409.74-01412.10] 理工 你就成立我们所说的理工
[01412.10-01413.06] 只问你看
[01413.06-01414.54] 在共同犯罪当中
[01414.54-01416.74] 你可能是自首也可能是理工
[01416.74-01418.78] 你看如果说共同犯罪当中
[01418.78-01419.82] 你自首了
[01419.82-01420.98] 那这种情况之下
[01420.98-01422.54] 自首是如实共数
[01422.54-01423.82] 如果是理工的话
[01423.82-01424.90] 你就是要把
[01424.90-01425.34] 怎么样
[01425.34-01426.66] 你除了出卖兄弟
[01426.66-01427.94] 实实要了共同犯罪外
[01427.94-01428.94] 你还要把这个
[01428.94-01429.70] 我们所说的
[01429.70-01430.70] 他其他的最小
[01430.70-01431.78] 给国安局官说
[01431.78-01434.50] 然后帮助国安局官抓住你的其他的这个兄弟
[01434.50-01435.62] 你才可能成练
[01435.62-01436.26] 李宫
[01436.26-01437.42] 所以李宫的这个地方
[01437.42-01439.06] 他只是一个基本概念
[01439.06-01440.74] 在这个地方大家了解一下就行了
[01440.74-01441.82] 这是我们所说的
[01441.82-01442.46] 李宫
[01442.46-01443.82] 这我们所说的李宫
[01443.82-01444.42] 好
[01444.42-01446.22] 这是第3个
[01446.22-01447.26] 两个听见李宫
[01447.26-01448.74] 那造像我们来看一下
[01448.74-01449.58] 那对于李宫的话
[01449.58-01450.42] 我们说怎么办
[01450.42-01451.30] 李宫太是
[01451.30-01453.02] 从今减轻的这样一个清箭
[01453.02-01454.82] 所以有李宫表现的
[01454.82-01469.82] 从轻或者是渐轻,如果重大利工的话,这时候就可以渐轻或者是面厨,这个点大家一定要注意,这没有什么太难的点,这个地方就是考察一个基本概念,这是利工,这利工
[01469.82-01473.82] 到这就把第三个量性秦结,利工也达说完了
[01473.82-01477.40] 那说完利工之后我们再来往下看第四个点
[01477.40-01479.44] 第四个点就是我们所说的
[01479.44-01481.76] 亮行当中的环形
[01481.76-01483.04] 亮行当中的环形
[01483.04-01486.10] 我们经常听到说被判除几年有期图形
[01486.10-01488.16] 然后环形多少时间
[01488.16-01490.46] 我们就还有听说什么各种各样的环形
[01490.46-01492.50] 这个环形到底说的是怎么回事
[01492.50-01493.54] 咱们来看一下
[01494.04-01495.84] 他说环形是指
[01496.34-01498.40] 人民法院对于被判处
[01498.40-01501.40] 把一下被判處激液3年有期吐息
[01501.40-01504.00] 3年以下有期吐息的犯罪分子
[01504.00-01506.34] 在符合一定的條件前提下
[01506.34-01507.80] 暂管職政刑法
[01507.80-01509.30] 并設定一定的考驗期
[01509.30-01510.40] 在考驗期內
[01510.40-01512.24] 如果沒有發生法律規定的
[01512.24-01513.04] 撤銷市有
[01513.04-01514.96] 原判刑法就不在執行
[01514.96-01516.06] 你可以簡單的計量
[01516.06-01517.60] 幻形你可以給他繼承什麼呢
[01517.60-01518.80] 你在旁邊標準一下
[01518.80-01521.40] 他就是負條件的不在執行
[01525.00-01528.20] 叫負條件的不在執行
[01528.40-01531.46] 这个是幻形的一个本质的概念啊
[01531.46-01535.44] 幻形的本质其实就是副条件的不在執行原判刑法了
[01535.44-01540.94] 这个叫幻形
[01540.94-01542.34] 那幻形它的室用呢
[01542.34-01544.02] 只能是有一定的要求的
[01544.02-01545.04] 大家一定要注意一下
[01545.04-01547.60] 幻形的室用呢首先第一个大家要明确
[01547.60-01550.48] 它的室用的对象必须是被判处
[01550.48-01553.48] 居意或者是三年一下有期徒形的罪犯
[01553.48-01555.02] 也就是它犯了一定是什么
[01555.02-01557.32] 它犯了一定是清罪才可以
[01557.32-01559.12] 如果翻重罪的话一万是不行的
[01559.12-01560.72] 所以这里大家一定要注意
[01560.72-01562.96] 那这个三年以下它包包过三年
[01562.96-01565.36] 三年以下其实是包裹三年的
[01565.36-01567.04] 这是第一个点大家要注意一下
[01567.04-01569.04] 第二个大家一定要明确
[01569.04-01570.72] 这里面如果对判出管制
[01570.72-01572.44] 或单处扶加行的最败
[01572.44-01573.64] 它只不能升管行的
[01573.64-01575.68] 这里面的管行只对的是谁
[01575.68-01579.64] 仅仅针对的是居一和三年以下的去图行的
[01579.64-01581.32] 如果说它是管制
[01581.32-01582.24] 或者扶加行
[01582.24-01583.28] 那没有必要还行
[01583.28-01584.44] 大家一定要注意一下
[01584.44-01587.28] 如果它现在是成立特别严重的
[01587.28-01617.28] 大一条主要,如果他现在是雷翻,雷翻,我们说了他都主观恶性大不大,那这时候主观恶性大要不要放松对他的主法,不要,所以在这里面大家一定要注意一下,我们说了他的圣条就是军意和三年以下,就是犯清楚的这些,如果他是雷翻,雷翻主观恶性多大,对吧,如果是雷翻或者是什么,犯最集团的主要分子,也就是我们所说的主犯当中的低类,犯最集团,
[01617.28-01619.28] 主要分子
[01619.28-01622.88] 我们要承罚的就是分子集团的首要分子
[01622.88-01624.36] 我们要承罚的就是他
[01624.36-01626.36] 因为他社会拨一心太大了
[01626.36-01627.48] 所以在这种情况之下
[01627.48-01629.16] 像这种恶性特别大
[01629.16-01630.92] 社会微还承论特别高的人
[01630.92-01632.20] 不是用环形
[01634.32-01635.04] 大家注意一下
[01635.04-01636.76] 这是第2个细节的点
[01636.76-01637.76] 大家要明确
[01637.76-01639.64] 第3个细节的点就是在这里
[01639.64-01640.52] 大家注意
[01640.52-01642.56] 我们说了所谓的环形
[01642.56-01644.00] 他其实本身上是什么
[01644.00-01646.16] 是副条件的不再之形
[01646.16-01648.56] 如果环形考驗器已經過了的話
[01648.56-01651.64] 那就示威原判刑法不再執行
[01651.64-01653.52] 他原判刑法不再執行
[01653.52-01656.88] 就說你後面那些我就不再執行了
[01656.88-01657.84] 這個明白吧
[01657.84-01659.48] 那這個就是成功的話行
[01659.48-01662.24] 他等不等於原刑法執行完變
[01663.44-01668.56] 原判刑法執行完變
[01668.84-01669.56] 不等於
[01669.56-01672.00] 大致下他完全是兩個概念
[01672.00-01673.40] 這個地方一定要分歧
[01673.40-01675.56] 他只說後面的那些刑期
[01675.56-01677.28] 我就不再给你执行了
[01677.28-01679.84] 他不等于原判刑法执行完毕
[01679.84-01680.32] 明白吧
[01680.32-01681.84] 他情是两个概念
[01681.84-01683.48] 所以在这里面我就说了
[01683.48-01684.32] 那你看
[01684.32-01686.28] 如果说还行成功的话
[01686.28-01687.20] 在环境器碗之后
[01687.20-01688.04] 你啥事都没做
[01688.04-01689.36] 然后还行成功
[01689.36-01691.44] 成功的环境器碗之后
[01691.44-01693.16] 原判刑法不再执行
[01693.16-01694.92] 那在环境器结束之后
[01694.92-01697.28] 能不能成立了一番的同学们
[01697.28-01698.04] 不腦
[01698.04-01698.60] 因为武说了
[01698.60-01700.12] 了一番的大前提示什么
[01700.12-01701.16] 了一番的大前提示
[01701.16-01703.40] 是原刑法执行完毕
[01703.40-01705.08] 是执行完了
[01705.08-01707.28] 这个地方是什么是不在執行
[01707.28-01709.08] 那就因为这你剩下的行稀
[01709.08-01711.44] 就给你放在那儿不在執行了
[01711.44-01713.60] 而不是说是为執行完毕了
[01713.60-01715.28] 这两个概念
[01715.28-01716.28] 所以我们才说了
[01716.28-01717.12] 为什么
[01717.12-01718.96] 我们所说的这个换行
[01718.96-01720.12] 他在起码之后
[01720.12-01721.84] 不成立了一番的原因就在这儿了
[01721.84-01722.16] 对吧
[01722.16-01723.44] 换行起码
[01724.92-01725.52] 后
[01726.64-01727.48] 犯罪
[01729.80-01730.88] 不成立
[01731.52-01732.20] 了解
[01732.20-01732.80] 为什么
[01732.80-01734.72] 因为了解的大线提示
[01734.72-01737.42] 原形法執行完畢
[01737.42-01739.06] 这个点它又出现了一次
[01739.06-01739.90] 就起满后
[01739.90-01741.00] 不成立雷饭
[01741.00-01742.28] 不成立雷饭
[01742.28-01745.38] 因为它是为是不在執行
[01745.38-01748.88] 而雷饭的成立大前提是原形化執行完畢
[01748.88-01750.84] 这个点一定要给我客在脑子里
[01750.84-01751.54] 所以在这
[01751.54-01752.74] 这是我们所说的换形
[01752.74-01754.68] 所以换形就是副条件的怎么样
[01754.68-01756.98] 副条件的不在執行了
[01756.98-01758.52] 这是副条件的不在執行
[01758.52-01759.62] 所以在这个地方
[01759.62-01761.08] 大家一定要注意一下
[01762.12-01764.12] 所以这是我们所说的关于换形的
[01764.12-01764.84] 概念
[01764.84-01765.88] 对于换形
[01765.88-01767.68] 它的进指形是因为我们刚才说了
[01767.68-01768.84] 对谁不是用呢
[01768.84-01771.68] 对于雷伴或贩罪集团的手奉子不再使用
[01771.68-01772.96] 这个刚才我们讲过了
[01772.96-01774.84] 这是我们所说的叫做换形
[01774.84-01775.60] 大助亚
[01775.60-01776.20] 这个换形
[01776.20-01777.68] 它在本身上其实什么呢
[01777.68-01778.44] 换形
[01778.44-01780.40] 它也是亮形的情节
[01780.40-01781.20] 大助亚
[01781.20-01781.64] 换形
[01781.64-01783.56] 它也是我们所说的亮形的情节
[01783.56-01785.08] 这是我们所说的换形
[01785.08-01786.32] 所以在亮形情节当中
[01786.32-01787.16] 我们讲了
[01787.72-01788.44] 雷伴
[01788.44-01789.04] 讲了
[01789.04-01789.60] 自首
[01789.60-01789.92] 讲了
[01789.92-01790.32] 立功
[01790.32-01790.68] 讲了
[01790.68-01791.32] 换形
[01791.32-01792.20] 这在这
[01792.20-01793.48] 在第五个点当中
[01793.48-01796.56] 再來看一下就有關於行法的執行問題
[01796.56-01798.16] 在行法的執行當中
[01798.16-01800.04] 我們會講到行法的執行和消滅
[01800.04-01801.44] 在行法的執行當中
[01801.44-01802.76] 我們會涉及兩個概念
[01802.76-01803.96] 一個是減行
[01803.96-01805.36] 比如講事
[01805.36-01806.96] 減行的話沒啥好說的
[01806.96-01807.96] 就是有期
[01807.96-01810.12] 減為我們所說的無期減
[01810.12-01811.40] 也有期有期
[01811.40-01813.40] 他在縮減他的行期等等
[01813.40-01814.84] 這就是減行
[01814.84-01816.56] 那行法的執行當中
[01816.56-01817.92] 剛才講的是量行
[01817.92-01818.72] 同樣注意
[01818.72-01819.56] 剛才講的是量行
[01819.56-01821.24] 到是從重還是從輕
[01821.24-01822.24] 他是量行
[01822.24-01825.06] 我们现在要讲的这个问题是刑法的直刑问题
[01825.30-01828.12] 在刑法的直刑当中会涉及到一个问题,就要什么呢?
[01828.38-01830.18] 就叫做我们所说的假事
[01830.44-01832.74] 什么叫假事呢?在假事旁边写上
[01833.00-01834.78] 假事它是副条件的
[01836.58-01839.64] 假装释放把假如释放吧,对吧,我们现在不是说
[01839.90-01841.70] 如去嘛,怎么这样的,对吧?
[01841.96-01842.98] 那是副条件的
[01843.24-01845.02] 与业提前释放
[01846.56-01848.36] 同学们提前释放就意味着什么?
[01848.60-01850.92] 你刑法执行完毕了,给你方出来了
[01850.92-01852.96] 这个时候就叫做假视
[01852.96-01857.84] 所以假视是相当于叫做副条件的提前释放了
[01857.84-01859.12] 给你提前放出来了
[01859.12-01862.00] 就意味着你的刑法已经晚事了
[01862.00-01862.60] 明白了吧
[01862.60-01863.60] 什么情况的给你放出来
[01863.60-01865.20] 刑法制定完毕才放出来
[01865.20-01867.24] 那说老师刚才那个换刑是吗
[01867.24-01871.40] 换刑换刑是给你相当换刑考察期
[01871.40-01873.64] 如果说换刑成功你表现好
[01873.64-01877.48] 原谈刑法不在职情并不意味着他职刑完毕了
[01877.48-01878.84] 如果你换刑失败了
[01878.84-01880.56] 那就抓回去继续关
[01880.56-01881.58] 是这个意思
[01881.58-01882.86] 所以在这里大家注意一下
[01882.86-01884.66] 它是两个概念
[01884.92-01885.94] 刚才换行
[01885.94-01887.36] 富挑建的
[01887.36-01888.36] 我们所说的什么
[01888.36-01889.36] 不在职行
[01889.36-01891.56] 而这个假设是富挑建的提前实方
[01891.56-01892.76] 这是两个概念
[01892.76-01894.56] 那么来看一下假设針对的是什么呢
[01894.56-01896.36] 首先第一个同标主圈一
[01896.36-01898.48] 假设針对的是对判处有期
[01898.48-01899.92] 或无期的犯罪分子
[01899.92-01901.36] 标注一下这是第一个
[01901.36-01902.66] 針对有期和无期
[01902.66-01906.36] 而刚才的换行針对的是居忆和有期三件一下
[01906.36-01907.06] 轻罪了
[01907.06-01907.26] 对吧
[01907.26-01908.56] 所以这是第一个点
[01908.56-01909.46] 后面他说了
[01909.46-01912.02] 说对于假视在執行一定欺骗之后
[01912.02-01914.14] 引起遵守监归技术改造
[01914.14-01916.50] 不再只社会危险了
[01916.50-01918.50] 从而提前释放的制度
[01918.50-01920.54] 这个就是我们所说的有关于
[01920.54-01922.10] 它的一个释放条件
[01922.10-01923.46] 这这里面大家注意一下
[01923.46-01925.38] 第一个是针对于它的对象条件
[01925.38-01926.22] 有气候武器
[01926.22-01928.34] 第二个就是它的实质条件
[01928.34-01931.18] 它不再有人身危险性和再放可能性的
[01931.86-01933.26] 这个时候可以提前怎么样
[01933.26-01934.54] 提前给他放出来
[01934.54-01936.18] 这个就是我们所说的假视
[01936.18-01938.66] 所以叫做副条件的提前释放
[01938.66-01939.68] 副调整前时方
[01939.68-01941.26] 大家在提前时方当中
[01941.26-01942.38] 也不能说你刚关键局
[01942.38-01943.26] 他表现良好
[01943.26-01944.22] 咱们就给他怎么样
[01944.22-01945.30] 咱们就给他放出来了
[01945.30-01946.12] 所以他在
[01946.62-01949.30] 我们所说的假视執行当中
[01949.30-01950.94] 他其实有相当的執行条件
[01950.94-01951.98] 你看说
[01951.98-01954.22] 被判除有期图形的犯罪分子
[01954.22-01955.54] 執行原判刑法
[01955.54-01958.38] 2分之一以上的才可以实行假视
[01958.38-01959.66] 如果是无期的
[01959.66-01961.30] 实际要執行多年
[01961.30-01963.38] 实际要執行13年以上
[01963.38-01965.02] 这种情况之下才能
[01965.02-01966.62] 实行假视
[01966.62-01968.30] 所以在这里面大家要注意一下
[01968.30-01969.70] 并不是说判有区图形
[01969.70-01970.98] 你关进去没两天
[01970.98-01972.58] 我就给你提下释放了不小
[01972.58-01974.98] 你了要原判刑发执行2分之一上
[01974.98-01976.94] 比如说我判有区图形5年
[01976.94-01978.62] 那你什么时候可以开始假设呢
[01978.62-01980.26] 第5年结束以后第6点
[01980.26-01983.86] 所以他要求原判刑发执行2分之一上
[01983.86-01985.02] 那无区图形是什么呢
[01985.02-01986.10] 无区图形呢
[01986.10-01987.06] 反对分子
[01987.06-01989.46] 使我们所说的执行13点
[01989.46-01991.34] 执3点就已经是有区图形
[01991.34-01993.30] 最高型25年以上了
[01993.30-01994.66] 25年的一半以上了
[01994.66-01994.98] 对吧
[01994.98-01997.30] 所以在这里他说是13点
[01997.30-01998.62] 这两个点大家要明确
[01998.78-02001.06] 那这是我们所说的第3个条件
[02001.26-02002.46] 第4条件的就是
[02002.62-02005.18] 我们说了无论是假事还是换行
[02005.34-02007.30] 它其实都相当来说会宽松一些
[02007.46-02009.66] 而假事又是副条件的预示式方
[02009.66-02010.98] 我们说了有些人
[02010.98-02012.38] 它不能提前释放出来
[02012.38-02014.38] 因为我们说了假事的条件是什么
[02014.54-02015.62] 假事的条件是
[02015.86-02017.82] 第1个对象条件有757
[02017.82-02020.66] 第2个实质条件是你不能再有社会危害了
[02020.82-02022.94] 但是我们看有些人它其实不是这样的
[02023.14-02024.46] 你还想这里的累饭
[02024.46-02026.46] 它的主观恶性特别的强
[02026.46-02027.74] 能不能给他提前放出来
[02027.74-02028.26] 那不行
[02028.26-02029.54] 天放在他犯罪怎么办
[02030.54-02032.34] 所以真的有我们所说的雷犯
[02032.62-02033.82] 不得是用假视
[02034.02-02034.78] 还有什么呢
[02034.90-02036.30] 还有故意杀人
[02036.46-02037.98] 抢抢抢抢
[02038.18-02038.74] 保架
[02039.26-02040.42] 放火爆炸
[02040.42-02041.70] 投放威胁物质的话
[02041.70-02042.82] 暴力性犯罪
[02042.82-02045.02] 并叛出10年以上有期无期了
[02045.42-02046.42] 那这种情况之下
[02046.58-02047.26] 主观恶性
[02047.26-02048.98] 社会微还行社会太强了
[02049.18-02051.02] 那主观恶性社会微还行太强
[02051.02-02051.66] 怎么办
[02051.78-02052.42] 不能放
[02052.42-02053.22] 不能放
[02053.22-02053.90] 所以在这里面
[02053.90-02054.62] 大家注意一下
[02054.62-02055.90] 这是第五个点
[02055.90-02057.90] 这第五个在假视条件当中的点
[02057.90-02061.50] 那我说了假视它是副条件的提前是放
[02061.50-02063.90] 所以如果说假视成功了
[02066.30-02067.02] 那注意一下
[02067.02-02068.98] 如果说假视成功了的话
[02068.98-02070.14] 那它就是示为什么
[02070.14-02073.70] 示为原刑法原判刑法
[02076.70-02077.90] 执行完毕
[02079.70-02080.74] 那同一边来看
[02080.74-02084.34] 如果说原判刑法执行完毕的话
[02084.34-02087.68] 執行完畢是成立雷方的大前提
[02087.68-02090.74] 所以在這裡面如果是在假成功假設之後
[02090.74-02092.00] 可不可以成立雷方
[02092.00-02094.00] 可能會成立雷方
[02096.90-02098.94] 所以這就是我們所說的假事
[02098.94-02100.20] 它不能成立雷方
[02100.20-02103.54] 但是換行它不能成立雷方
[02103.54-02106.68] 但是假事它可能會成立雷方的原因
[02106.68-02108.14] 這個點大家一定要注意
[02108.14-02110.88] 這個就回後到了我們前面所說的那個知識點了
[02110.88-02111.34] 好
[02111.34-02114.98] 这个就是我们所说对关于亮形和形伐的執行消灭
[02114.98-02116.52] 我们来快速的回顾一下
[02116.52-02120.00] 我们首先第一个我们讲了亮形的情节 对不对
[02120.00-02121.06] 讲亮形情节
[02121.06-02125.46] 第二个我们就讲了我们所说的形伐的執行问题
[02125.46-02128.50] 在亮形的情节让我们讲了雷伐
[02128.50-02131.82] 我说了雷伐就考理解形题目和条件的对比 对不对
[02131.82-02133.54] 前后最多是故意
[02133.54-02135.98] 第二一个就是有期图形以上
[02135.98-02137.70] 執行物年已经18周岁
[02137.70-02139.98] 特殊雷伐和他就差在什么
[02139.98-02148.98] 特殊了解,无什么要求,无行度和时间要求都是故意,但是同样是国恐黑,第二个都必须满18周岁上。
[02148.98-02162.72] 如果没有所说的,特殊了解,比如说国家安全犯罪,恐怖,活动犯罪以及黑社会犯罪的话,他在刑法執行完毕后任何时候都能成立特殊了解。
[02162.72-02164.96] 第二个就是我们在这里墙掉的
[02164.96-02167.64] 说雷范他应当怎么办从重处发
[02167.64-02168.96] 因为他主观恶心很大
[02168.96-02171.04] 所以不得假事不得换行
[02171.04-02172.16] 只是雷范
[02172.16-02173.52] 第二个是自首
[02173.52-02174.88] 他知道自首是吗
[02174.88-02175.92] 自首分为两种
[02175.92-02178.40] 第一个是你被控制之前自动鬼案的
[02178.40-02179.36] 第二个不愿之后
[02179.36-02181.04] 如实共受自己的最醒的
[02181.04-02182.56] 这个时候成立一般自首
[02182.56-02184.08] 如果你已经被抓了
[02184.08-02185.36] 被拆去强自自自自
[02185.36-02186.08] 措施之后
[02186.08-02189.52] 你要是如实共受自己人家还没有掌握的
[02189.52-02190.64] 你的其他最醒
[02190.64-02194.48] 你也可以成立这首这个时候叫特别自首过准制首
[02194.48-02199.08] 自首主观恶性或者是我们所说的争毁过些还是比较明显的
[02199.08-02200.88] 对吧所以可以重庆和啊 简秦
[02200.88-02205.36] 和自首相关的一个概念啊 这个点给大家露掉了这个叫做坦白
[02205.36-02210.28] 坦白和自首的区别在什么 自首是一主动交代主动归
[02210.28-02212.80] 而坦白是什么 是你被抓了之后
[02212.80-02215.16] 如时共述人家一掌握的这行
[02215.16-02218.04] 那这个时候就叫做坦白
[02218.04-02219.04] 比如说
[02219.04-02220.08] 他把我抓了
[02220.08-02221.24] 他把我抓了之後說
[02221.24-02222.38] 警察大人問員
[02222.38-02222.88] 對吧
[02222.88-02224.08] 我跟你說我都說
[02224.08-02225.04] 他說你說吧
[02225.04-02226.08] 然後我說你看
[02226.08-02228.64] 你我這次不是因為搶劫進來的嗎
[02228.64-02229.48] 然後他說
[02229.48-02232.12] 說那個因為搶劫進來的話
[02232.12-02233.32] 我其實還有一些事
[02233.32-02234.72] 就是我去年為搶劫了
[02234.72-02235.96] 然後警察說我都知道
[02235.96-02236.64] 所以你繼續說
[02236.64-02238.80] 你看他已經找握了的
[02238.80-02239.60] 我們所說的
[02239.60-02240.40] 本人的最想
[02240.40-02241.32] 那這種情況之下
[02241.32-02242.20] 我再去說是
[02242.20-02243.00] 探待
[02243.00-02243.96] 如果他把我抓了
[02243.96-02244.76] 我就說警察大人
[02244.76-02246.24] 我說我說我都說他說說
[02246.24-02247.92] 如果去年我還犯毒了
[02247.92-02250.54] 警察当时吃惊了我听了你还犯毒了
[02250.54-02252.88] 那就说我说的是他怎么样
[02252.88-02254.38] 上位掌握的
[02254.38-02257.20] 我这个时候如果说了一些他没有掌握的事
[02257.20-02258.28] 那我就成立了嘛
[02258.28-02260.18] 我就成立了自首
[02260.18-02260.78] 明白吧
[02260.78-02262.26] 所以坦白和自首就看
[02262.26-02266.36] 你是否承认的是人家没有掌握的东西
[02266.36-02267.36] 这是自首
[02267.36-02268.52] 造成像就是立功
[02268.52-02270.04] 立功就是接发他是犯罪
[02270.04-02271.56] 协助死法机关版抓住
