[00000.00-00005.12] 好的,我们接着来学习,第二节的内容,咱们做一个简单的红官回顾
[01154.96-01155.24] 對吧
[01155.24-01156.48] 我把房子賣給你
[01156.48-01158.88] 我的主題服務就是交付
[01158.88-01161.16] 但是我只是把房子交付給你的時候
[01161.16-01162.32] 咱俩買那盒棟簽訂之後
[01162.32-01164.96] 你只有一個買賣合作的債權
[01164.96-01167.44] 房屋還沒有給你辦理過互燈劑
[01167.44-01169.56] 所以你有沒有這個房屋的所有權
[01170.28-01170.96] 沒有
[01170.96-01173.00] 那你既然我把房子给你了
[01173.00-01174.56] 比如房子卖给你之后千万合同
[01174.56-01176.76] 你把钱给我就把房屋的钥匙给你了
[01176.76-01178.60] 但是我说了我说爱的最近
[01178.60-01182.16] 你这好也感上这个办登记的这个地方他休息
[01182.16-01182.96] 我说要不这样吧
[01182.96-01184.76] 今天是周六咱们周一的时候
[01184.76-01187.04] 再去那个房管局去办理过复登记
[01187.04-01188.92] 然后这个时候房子是你冷车行
[01188.92-01190.16] 反正他们也不上班
[01190.16-01190.92] 结果呢
[01190.92-01192.28] 就是咱们就知道
[01192.28-01193.60] 这个突发情况就比我多
[01193.60-01195.32] 结果周六我把房子卖给你
[01195.32-01197.36] 然后把钥匙给你了之后呢
[01197.36-01200.44] 周日那一天就发生了地震红水什么的
[01200.44-01202.76] 我的房子就一下被充滑了
[01202.76-01205.20] 或者是它就被震倒了就回損灭失了
[01205.20-01207.24] 那这个时候就会睡到一问题
[01207.24-01209.80] 你一个房子你还没有拿到所有权
[01209.80-01211.16] 但是它已经回損灭失了
[01211.16-01215.36] 那这个时候你有没有权力要把钱退给你
[01215.36-01217.88] 或者说这个房子回損灭失的风险
[01217.88-01219.52] 它应该有谁来承担
[01219.52-01221.52] 那这个时候去说就是要有一个问题
[01221.52-01222.96] 就是标地误
[01223.68-01224.80] 风险的傅丹
[01224.80-01226.68] 而标地误风险的傅丹
[01226.68-01228.04] 它其实这里面的风险
[01228.04-01229.20] 今天指的是什么
[01229.20-01231.24] 今天指的是嫁金风险
[01231.24-01233.40] 就是这个損失应该是由
[01233.40-01234.76] 谁来承担的问题
[01234.76-01236.56] 所以咱们从概念上来看一下
[01236.56-01238.48] 什么叫标地巫铋巫单
[01238.48-01240.84] 她说标地巫的风险巫单是指
[01240.84-01244.00] 买了河通旅行过程中发生的标地巫
[01244.00-01245.20] 意外会随便是
[01245.20-01246.28] 同们这句话很重要
[01246.28-01246.92] 话出来
[01246.92-01249.28] 叫做意外会随便是的风险
[01249.28-01250.72] 有哪一方来承担
[01250.72-01251.96] 这里没有两个点
[01251.96-01254.24] 第一个点的就是她属于意外
[01254.24-01257.48] 就是认为她不规则于任何一方
[01258.04-01261.84] 不规则语任何一方
[01261.84-01264.64] 也就是双方有没有过错呀
[01264.64-01267.44] 双方当时没有过错
[01267.44-01268.28] 没有过错
[01268.28-01271.64] 所以它是不可规则语任何一方的
[01271.64-01274.84] 这个时候就叫做意外
[01274.84-01276.24] 这次主管要件
[01276.24-01277.24] 而客外要件是什么
[01277.24-01278.64] 是这个标击规则灭事了
[01278.64-01280.24] 他要么是没了
[01280.24-01281.84] 要么就是破碎了
[01281.84-01282.24] 对吧
[01282.24-01284.44] 这种情况之下叫意外规则灭事
[01284.44-01290.58] 那这里面所谓的意外或者是我们所提到的在不主观上不可规则于任何一方常见的是什么呢
[01290.58-01293.92] 常见的情况有两种第一种就是不可抗力
[01293.92-01301.08] 比如说我们经常看到了红水台风地震这些人力所不可空的这些东西导致标的会所面识的
[01301.08-01302.86] 那他就属于我们所说的什么
[01302.86-01303.90] 意外情况
[01303.90-01307.98] 那除了这些失火红水还笑地震你是留累计的
[01307.98-01309.08] 还有可能是一个为什么
[01309.08-01311.58] 还有可能是因为第三人原因造成的
[01311.58-01315.16] 也就是不是咱俩双方的原因是第三人的原因
[01315.42-01316.44] 造成标凌物的
[01316.70-01317.46] 会顺利时
[01317.72-01319.00] 你说老师什么叫第三人呢
[01319.26-01321.32] 大家还记得小天才会从手表吧
[01321.58-01321.82] 对吧
[01322.08-01323.10] 我这个组团
[01323.36-01325.40] 价值200块钱的小天才会从手表
[01325.66-01327.96] 我要把他卖给你咱俩签订了买卖活动
[01328.22-01329.24] 签订买卖活动之后呢
[01329.50-01330.02] 约定
[01330.26-01330.78] 有什么呢
[01331.04-01332.56] 说这个小天才会从手表呀
[01332.82-01334.10] 我呢是要交付给你的
[01334.36-01336.42] 但是呢这一天我家还要考试对吧
[01336.66-01338.20] 你就把这个手表再接他待两天
[01338.46-01340.24] 然后呢他可能是我就把这个表给你
[01340.24-01342.28] 你看小朋友要考試
[01342.28-01347.48] 就觉得小孩就是还是要咱们多多考虑一下孩子在考详上的感受
[01347.48-01349.72] 所以说OK 没问题 都 problem
[01349.72-01352.08] 然后我给你冤定是两天后交付给你
[01352.08-01354.56] 结果呢 我家小孩考虑是之后呢
[01355.08-01358.16] 带着小天上去说不要从那个考详当中出来了
[01358.16-01359.72] 从看上去出来了之后呢
[01359.72-01361.56] 然后就看着这个表一不舍
[01361.56-01362.76] 说说这个表呢
[01362.76-01365.12] 不知道马上就是哪个阿姨或者是哪个叔叔
[01365.12-01366.80] 哪个哥哥或者是哪个姐姐的了
[01366.80-01368.56] 然后就留戀的看着这个手表
[01368.56-01370.80] 然后他在看着这个手表的时候呢
[01370.80-01372.32] 他看我在外面等他
[01372.32-01373.76] 这把这个手表解下来
[01373.76-01375.12] 做到自己的手里
[01375.12-01375.76] 结果他说
[01375.76-01376.76] 慢慢我考完了
[01376.76-01378.28] 他把表交付给我的时候
[01378.28-01380.00] 突然从旁边来类个人
[01380.00-01380.44] 对吧
[01380.44-01381.48] 来无影去无踪
[01381.48-01383.28] 这把这个表搜了一下就强走了
[01383.28-01383.92] 强走了之后
[01383.92-01384.80] 看了一下
[01384.80-01385.20] 就说
[01385.20-01386.64] 笑天才是从手表
[01386.64-01387.84] 我都没有
[01387.84-01388.84] 然后这个声器
[01388.84-01390.76] 一小子把我这小天才是从手表
[01390.76-01392.00] 这个人正到将你去了
[01392.00-01392.76] 那这种情况
[01392.76-01394.20] 这下小天才是从手表
[01394.36-01395.64] 有没有回水面事
[01395.64-01397.00] 正到将里了我上的牢
[01397.00-01397.32] 对吧
[01397.32-01398.20] 牢不上来了
[01398.20-01403.44] 那这种情况之下是不是因为我或者是你的原因导致这个标准会随便是呢
[01404.44-01405.00] 都不是
[01405.16-01406.72] 这个就要做第三人的原因
[01406.72-01409.76] 那因为第三人的原因导致标准会随便是了
[01409.88-01411.12] 咱咋整个通行吧
[01411.28-01413.40] 这个价金的风险又是来承担的问题
[01413.60-01417.92] 那这个时候就会涉及到标准我风险敷担的问题
[01418.04-01419.44] 所以标准物的风险敷担
[01419.44-01423.00] 咱们来看一下具体价金风险又是来承担
[01423.80-01426.24] 首先第一个咱们来看在这里面他说了
[01426.24-01428.80] 说说标地务的风险到承单啊
[01428.80-01429.76] 一般情况之下
[01429.76-01430.60] 他们来看
[01430.60-01432.56] 他说一般情况之下
[01432.56-01434.60] 标地务的回损灭失的风险
[01434.60-01435.64] 在标地务
[01435.64-01436.54] 同们标主一下
[01436.54-01438.40] 标地务交付之前
[01438.40-01440.04] 你可以把之前据出来
[01440.04-01443.76] 在标地务交付之前有出卖人承单
[01443.76-01445.56] 在标地务交付之后
[01445.56-01446.52] 把之后换出来
[01446.52-01447.60] 有谁来承单呢
[01447.60-01449.44] 有买收人来承单
[01449.44-01451.44] 那这里其实是出现了一个问题
[01451.44-01452.28] 什么问题呢
[01452.28-01456.76] 这是我们所说的这个标地误的所有权
[01456.76-01460.64] 他和风险可能是不一致的
[01460.64-01462.36] 你说吧 这等一下我稍微有点乱
[01462.36-01464.32] 我现在是脑子这个感觉
[01464.32-01466.20] 就是开始旅行了
[01466.20-01467.20] 咱们一点点女
[01467.20-01468.04] 他们来看一下
[01468.04-01470.24] 先根据一般规定来看
[01470.24-01471.44] 一般情况之下
[01471.44-01473.80] 我们所说的标地误回此灭思的风险
[01473.80-01474.76] 由谁来承担
[01474.76-01475.80] 在天安当中说了
[01475.80-01477.32] 说交付之前
[01477.32-01478.96] 有出卖人承担
[01478.96-01481.68] 交付之后有满受人承担
[01481.68-01482.56] 这个没有问题吧
[01482.56-01484.08] 这是那个小天才会通手表
[01484.08-01484.96] 交给你之前
[01484.96-01486.24] 是不是还在我的手里
[01486.24-01487.08] 那这个时候
[01487.08-01489.36] 标地回損灭失的嘉经风险
[01489.36-01490.64] 就有我来承担
[01490.64-01492.32] 这个损失就我来担着了
[01492.32-01492.80] 明白了
[01492.80-01494.00] 虽然在前面了百分之后
[01494.00-01495.32] 都在标地回損灭失之后
[01495.32-01496.32] 旅行不能
[01496.32-01497.28] 这个时候
[01497.28-01498.60] 这个回損灭失的风险
[01498.60-01499.28] 有我来承担
[01499.28-01500.32] 我要把钱退给你
[01500.32-01501.08] 明白这个意思
[01501.08-01502.52] 那这个出卖人承担
[01502.52-01503.68] 那交付之后呢
[01503.68-01504.88] 如果那一天
[01504.88-01506.32] 你就特别破气地想要
[01506.32-01507.92] 这个小天才会通手表
[01508.52-01510.24] 然后你就做了一个啥事呢
[01510.24-01510.96] 你就再门
[01510.96-01515.88] 好和我一块等着我的女儿那个考虑是出来
[01515.88-01518.00] 然后等着这个文女儿考虑出来之后
[01518.00-01520.32] 那个女儿也看到了你站在这个门口啊
[01520.32-01522.80] 她是非常新闻的站下这个小天才而从手表
[01522.80-01525.48] 然后呢她就出到了学校门外
[01525.48-01526.80] 出到了学校门外之后
[01526.80-01529.40] 然后我的女儿就把这个小天才而轮出表
[01530.56-01531.68] 交到了你的手上
[01532.80-01534.00] 交给到你的手上之后呢
[01534.00-01536.36] 她跟你说哥哥或者是姐姐
[01536.36-01540.08] 说你要好好对待她说这是我们家组传的
[01540.08-01541.76] 然后你说 ok no problem
[01541.76-01545.72] 你就从我女儿的手里结过了这个小天才是从手表
[01545.72-01551.00] 结果当你刚拿到小天才是从身表的时候还是刚才的那个人来为有区无忠对吧
[01551.00-01553.92] 然后看到你拿着而从手表从按一下铃墙过来
[01553.92-01556.48] 然后放生大小说哈哈哈哈
[01556.48-01559.64] 小天才是从手表我都没有你还想要
[01559.64-01560.96] 然后把这个小天才说的
[01560.96-01562.96] 不要打一下 扔到了 将你
[01562.96-01564.92] 那这个时候不要对我回损面是
[01564.92-01567.08] 且不是咱俩双方任何一方的原因
[01567.08-01568.76] 就要意外回损面是
[01568.76-01569.92] 那我问一下同学们
[01569.92-01571.40] 意外回損灭失的话
[01572.28-01573.88] 这个时候已经交给你了
[01573.88-01575.04] 风险又是来承担
[01575.24-01576.40] 风险有你来承担
[01576.40-01577.20] 能不能刷呀
[01577.36-01578.08] 表没有了
[01578.08-01579.64] 我没有要到春半前退个我
[01579.64-01580.28] 可不可以啊
[01580.28-01580.92] 不可以
[01580.92-01581.80] 那在这里面
[01581.80-01582.00] 你看
[01582.00-01583.20] 家军风险就是有
[01583.20-01584.40] 每受人来承担
[01584.40-01586.00] 那这个时候大家就要知道
[01586.00-01586.80] 我们在这里
[01586.80-01588.16] 归纳出来的第一个考虑
[01588.16-01588.88] 同标证一下
[01588.88-01589.64] 想圈一
[01589.64-01591.24] 在一般情况之下
[01591.24-01592.64] 我们所说的这个
[01592.64-01594.56] 家军风险的这个承担
[01594.56-01596.04] 我们说了有约从约
[01596.04-01598.28] 五约先看一般规定
[01598.28-01599.56] 一般规定当中
[01599.56-01602.76] 我们采取的叫做战友者承担风险
[01606.04-01607.48] 叫战友者
[01608.28-01609.24] 承担风险
[01612.04-01613.84] 也就是我们所提到的是吗
[01613.84-01614.92] 看交付
[01614.92-01615.76] 看交付
[01615.76-01617.48] 如果交付给你
[01617.48-01618.52] 那就说你承担
[01618.52-01620.20] 如果没交付就是要我承担
[01620.20-01621.80] 所以叫战友者承担风险
[01621.80-01624.52] 也就是我们所说的看交付
[01624.52-01625.32] 看交付
[01625.32-01626.20] 这是这个店
[01626.20-01627.20] 那这个交付
[01627.20-01627.80] 大家注意一下
[01627.80-01629.08] 即包括观念角复
[01629.08-01630.32] 又包括现实角复
[01630.32-01631.64] 也就是记可以直接交付
[01631.64-01632.56] 剪一交付
[01632.56-01634.04] 只是交付战友改定
[01634.04-01635.12] 哪一种都可以
[01635.12-01636.32] 而且这种情况
[01636.32-01637.72] 它是不动产和动产
[01637.72-01638.72] 都是用的
[01638.72-01641.00] 那这里面就可能会出现一个问题
[01641.00-01642.44] 就是我们所提到了
[01642.44-01644.76] 这里面竟然说了谁战友
[01646.12-01648.40] 我们所说的谁承课空线
[01648.40-01651.48] 那这里面就会可能会出现一些情况
[01651.48-01652.32] 什么情况
[01652.32-01657.24] 就是所有权和风险分离的情形
[01657.24-01659.54] 收成分线分离的情形
[01659.54-01662.62] 我们来看一下它可能会有哪种情况
[01662.62-01663.74] 因为这个情形
[01663.74-01665.88] 同时注意一下我在这里面可能写不下了
[01665.88-01667.04] 我把它写在前一眼
[01667.04-01668.24] 咱们写来看一下
[01668.24-01669.78] 我把它写在这
[01669.78-01670.30] 写在这
[01673.62-01675.58] 我这个PTT不知道咋的
[01675.58-01676.18] 它这个
[01677.20-01679.00] 我们把这个情形写在这
[01679.00-01679.50] 好吧
[01679.50-01682.08] 它这个情形可能会分为集中情况
[01682.08-01683.30] 但是我们就以什么呢
[01683.30-01685.40] 我们就以房屋满满美麗利好不好
[01685.96-01687.36] 咱们一起来分析一下
[01688.72-01690.12] 咱们就以防空买不要吝吝梁
[01690.44-01691.92] 咱们如果以防空买不要吝吝梁的话
[01691.96-01692.76] 咱们来看一下
[01692.76-01694.76] 它可能会出现这么击兑情况
[01701.00-01701.12] 首先
[01704.72-01705.28] 行行imbap
[01708.92-01709.44] 行行
[01710.44-01711.24] 01
[01711.24-01711.96] 唯一的话呢
[01711.96-01713.24] 我们说了房屋呢
[01713.24-01714.36] 它其实分两不走的
[01714.36-01714.72] 对不对
[01714.72-01716.00] 千里买来合同之后
[01716.00-01717.04] 先交付
[01717.04-01719.00] 然后再登记对不对
[01719.00-01720.36] 那我们说了这个房屋
[01720.36-01722.08] 它的所有权的这个取得
[01722.08-01722.88] 大家要知道
[01722.88-01725.56] 房屋所有权的取得是以登记为标准的
[01725.56-01727.68] 那如果现在出现了重情况
[01727.68-01729.36] 就是我们所看到的
[01729.36-01730.16] 第一种情形
[01730.16-01731.20] 我把房屋卖给你
[01731.20-01733.08] 我把房屋交付给你
[01733.08-01733.96] 但是呢
[01733.96-01734.96] 交付给你之后
[01734.96-01735.96] 没有给你办理
[01735.96-01736.84] 过互登记
[01736.84-01738.48] 那同我们在这里面分析
[01738.48-01739.28] 第一个
[01739.28-01740.04] 我有没有取得
[01740.04-01742.32] 武权这是第1个要分析的
[01742.32-01745.24] 第2个风险有没有转移
[01748.24-01750.56] 分析下边同时来看一下
[01750.56-01753.44] 之前第1个第一种前程是我把房屋交付给你了
[01753.44-01755.32] 房交付是买来合头
[01755.32-01757.68] 千里万之后我要旅行的主席服录
[01757.68-01760.32] 所以我在这里就把房屋交付给你了
[01760.32-01762.68] 把房屋交付给你但没有办理过互动机
[01762.68-01763.84] 那同时来分析一下
[01763.84-01765.08] 我有没有取得搜权
[01765.92-01767.68] 或者你有没有取得搜权
[01767.68-01769.48] 你没有取得搜权
[01769.48-01775.88] 明確吧,但是房屋交付給你了,雖然你沒有取得所謂錢,但是風險有沒有轉一給你
[01776.64-01779.46] 我們說了,誰戰友?誰
[01779.98-01787.14] 承擔通線?雖然誤權沒有怎麼樣?沒有轉一,但是風險怎麼辦?轉一給你了,那如果同一門看一下
[01787.14-01795.34] 此時如果出現了什麼?如果出現了無所說的標地務的回損滅時,把房子都贏給你了,要是給你了,你東西都贏了搬進去了
[01795.34-01798.42] 这有时候打雷下雨失火 房子回随灭失了
[01798.42-01800.02] 风险由谁来承担
[01800.02-01801.86] 风险必然由你来承担
[01801.86-01802.70] 明白这个意思吧
[01802.70-01803.86] 所以这是第一种情况
[01803.86-01804.42] 大家注意一下
[01804.42-01805.70] 你看他最旋就什么
[01805.70-01806.54] 就是较富
[01806.54-01807.06] 就是较富
[01807.06-01808.26] 这是第一种情况
[01808.26-01809.78] 我只把房交给你了
[01809.78-01811.54] 但是还没有办理过胡东西
[01811.54-01812.66] 这是第一种情况
[01812.66-01814.06] 那第二种情况是什么呢
[01814.06-01815.66] 是我没有给你较富房屋
[01815.66-01817.54] 我说这个房子你在融线我几天
[01817.54-01818.90] 我把东西往外掰一把
[01818.90-01819.66] 咱俩这样吧
[01819.66-01820.30] 你要不放心
[01820.30-01822.86] 我先去房外给你做过胡东西
[01822.86-01825.06] 先把房子过胡道你的名项是OK
[01825.06-01826.54] No problem 對吧
[01826.54-01828.42] 那在這裡面我沒有交付給你
[01828.42-01829.42] 但是我跟你辦了什麼
[01830.22-01831.34] 並辦了登記
[01831.34-01832.30] 那輪分析下
[01832.30-01832.94] 辦了登記
[01832.94-01834.22] 有沒有取得防守權
[01834.22-01835.90] 不動產登記
[01836.54-01838.14] 你取得了防務的守權
[01838.14-01839.70] 但是風險有沒有轉業
[01840.66-01841.98] 風險沒有轉業
[01841.98-01843.90] 如果在這的時候給你辦理完
[01843.90-01844.86] 登記之後
[01844.86-01846.22] 標地務會順便失了
[01846.22-01847.26] 你就是這個防務
[01847.26-01847.90] 他會了
[01847.90-01849.10] 他不在了他他了
[01849.10-01850.74] 那這有時候風險又出來承擔
[01850.74-01852.10] 風險有果來承擔
[01852.10-01854.70] 有我這個出賣人來承擔
[01854.70-01856.30] 在这里面大家要注意一下
[01856.30-01858.06] 这是我们所说的第二种情况
[01858.06-01859.62] 那第三种情况是什么
[01860.78-01862.38] 那第三种情况就是
[01862.90-01864.10] 我们所提到的
[01864.10-01865.54] 我计把房子交给你
[01865.54-01866.90] 也给你把你的国库登记
[01866.90-01868.34] 误权去们去得了
[01868.34-01869.94] 风险状状专业占一了
[01870.18-01871.42] 所以在这里大家注意一下
[01871.42-01873.14] 我们具体在这个地方
[01873.14-01873.90] 给大家去讲
[01873.90-01875.54] 不要场面的其实就是什么
[01875.54-01876.70] 就是我们所提到的
[01876.70-01877.62] 这个房屋买卖
[01877.62-01878.86] 它的风险转移的问题
[01878.86-01880.22] 然后它如果在这里面
[01880.22-01881.78] 它就会考虑个案例
[01881.78-01882.58] 给你这家立
[01882.58-01884.30] 它就会严着这种情形
[01884.30-01886.34] 你要在體肝當中圈出兩關鍵子
[01886.34-01887.26] 因為叫做交付
[01887.26-01888.26] 也有叫做登記
[01888.26-01889.42] 然後再去看
[01889.42-01890.66] 他到底有沒有交付
[01890.66-01891.86] 如果交付的話
[01891.86-01894.06] 那這個時候風險就一六會轉業
[01894.06-01895.86] 如果不動產在這裡
[01895.86-01897.34] 沒有辦理過胡登記的話
[01897.34-01897.74] 沒有轉
[01897.74-01899.06] 沒有去到搜權
[01899.06-01900.02] 那就意味著
[01900.02-01901.66] 對於不動產來說
[01901.66-01903.98] 搜權和風險可能是怎麼樣
[01903.98-01905.06] 分離的
[01905.06-01905.66] 明白了吧
[01905.66-01906.70] 對於不動產來說
[01906.70-01908.94] 搜權和風險是分離的
[01908.94-01910.34] 然後他就會給你一個案例
[01910.34-01911.18] 然後說
[01911.18-01913.26] 即後把要是給你
[01913.26-01914.98] 然後你幾乎入住
[01914.98-01916.42] 然後幾乎的時候
[01916.42-01918.38] 發生了地震防護會怎麼樣的時候問
[01918.38-01918.82] 說
[01918.82-01920.58] 那這個時候防護會損灭失了
[01920.58-01921.42] 這個買房的人
[01921.42-01923.46] 他要不要繼續支付假款呢
[01923.46-01924.06] 那你看
[01924.06-01926.54] 他要施否要繼續支付假款
[01926.54-01928.86] 就看防護有沒有交付到他的手裡
[01928.86-01931.58] 如果防護交付到買收人的手裡
[01931.58-01934.14] 那他就要承擔嫁進的風險
[01934.14-01936.14] 他就要繼續支付假款
[01936.14-01938.98] 這有地方給他不要主情形一情緒情緒三
[01938.98-01940.82] 他就有一點類似於什麼感覺呢
[01940.82-01943.06] 就是他就考这种模型案例
[01943.06-01944.30] 这时候我们就能判判
[01944.30-01945.78] 他要不要继续支付加款
[01945.78-01948.50] 我要不要继续率行房屋极服的意识
[01948.50-01949.58] 如果房屋会随便是
[01949.58-01951.66] 我要不要给对方配上损失的问题
[01951.66-01952.34] 明白了吧
[01952.34-01954.14] 那这里面的损失就在什么
[01954.90-01955.86] 风险转移
[01955.86-01956.90] 所以我们说了
[01956.90-01958.34] 在风险转移当中
[01958.34-01959.34] 一般情况之下
[01959.34-01960.38] 有约定从约定
[01960.38-01961.82] 没有约定的话就看了
[01961.82-01962.66] 交付主义
[01962.66-01964.86] 谁占有谁承待风险
[01964.86-01966.78] 所以在这里我们就给大家说了
[01966.78-01968.62] 你看谁占有谁承待风险的话
[01968.62-01969.94] 这里面的情形
[01969.94-01973.08] 我们给大家列举了这三种一定要明确
[01973.08-01974.28] 把他记下来
[01974.28-01975.20] 把他记下来
[01975.20-01976.34] 这是我们所说的
[01976.34-01978.14] 关于第一种情况
[01978.14-01978.90] 我把它插掉了
[01978.90-01979.66] 同学们
[01979.66-01981.94] 这个PTT今天不是很关键
[01981.94-01983.42] 所以在这里大家注意
[01983.42-01984.86] 这是一般规定
[01984.86-01985.50] 一般规定
[01986.50-01988.70] 那有一般规定就有特殊规定
[01988.70-01990.46] 一般规定就是交付主义
[01990.46-01991.94] 谁战友谁承担
[01991.94-01992.38] 风险
[01992.38-01994.26] 但在这里面有一些特殊规定
[01994.26-01996.06] 我们来看一下特殊规定是什么
[01996.06-01998.50] 特殊规定它主要强调两个点
[01998.50-01999.66] 虽然他给到了四个
[01999.66-02001.06] 但是我们一般请问之下呢
[02001.06-02003.02] 认为难点其实只有两个地方
[02003.02-02005.22] 咱们先分别来看一下这四个是什么
[02005.22-02006.14] 首先第一个呢
[02006.14-02006.82] 他说
[02006.82-02010.02] 说买收人亲自体取标地误的
[02010.02-02011.82] 就是说在买卖当中
[02011.82-02013.46] 我亲自去拿的对吧
[02013.46-02016.06] 说出卖人将标地误至于冤定
[02016.06-02018.30] 或法定冤定地点时
[02018.30-02019.94] 买受风险
[02019.94-02020.98] 由谁来承担
[02020.98-02023.74] 风险他是由买收人来承担的
[02023.74-02026.22] 这个就是我们所说的以外低重情况
[02026.22-02028.46] 那这个时候其实强调的就只有一个点
[02028.46-02033.14] 就是如果我在去进行买卖的时候我到电取货
[02034.14-02036.38] 这里面或者是我们约定
[02036.38-02039.10] 我说你把这个东西给我放在楼下的那儿吧
[02039.10-02039.42] 对吧
[02039.42-02043.10] 这个时候比如说我还是外面下单买菜的这个事
[02043.10-02045.58] 我终了这个公约
[02045.58-02047.82] 他电梯没有办法上来
[02047.82-02050.54] 所以他就只能把这个东西
[02050.54-02052.22] 因为他刷卡
[02052.22-02054.38] 就是大家相当对吧
[02054.38-02055.66] 你懂的
[02055.66-02056.62] 然后他上不来
[02056.62-02057.66] 他刷表那个电梯
[02057.66-02059.62] 然后我就跟他说
[02059.62-02061.96] 咋小哥亏把这块菜重好
[02061.96-02063.22] 一起冬血外卖
[02063.22-02064.92] 盛丁购放在外卖贵核
[02064.92-02066.18] 如果外卖核放不下的话
[02066.18-02068.82] 就够放在外卖贵赴的旁边
[02068.82-02070.06] 我就这么跟他说的
[02070.14-02071.72] 你看这个时候
[02071.72-02072.84] 其实就相当于什么
[02072.84-02074.44] 就是我亲自提出
[02074.50-02084.38] 哈米抱员
[02084.38-02085.68] 我说就就够放在外卖贵核的旁边
[02085.74-02087.62] 如果这个时候是震叠亲自赔粋的
[02087.62-02089.16] 我没有机制下路去拿
[02089.16-02090.30] 但我在下路去拿的时候
[02090.30-02091.72] 说无野好家伙
[02091.72-02094.02] 我的东西让人家连走了
[02094.02-02097.10] 这个时候我风险是来承担
[02097.10-02098.36] 只能说我来承担
[02098.36-02099.40] 因为他就属于什么
[02099.40-02101.52] 我亲自去提取标准我
[02101.52-02104.00] 人家已经把东西放在冤定地点了
[02104.00-02105.28] 你没有机制下去拿
[02105.28-02106.48] 这时候风险有我承担
[02106.48-02108.44] 我能不能再说再给卖家打电话
[02108.44-02109.88] 我说我没有收到你家的东西
[02109.88-02111.08] 陪欠我退货
[02111.08-02112.08] 行不行
[02112.08-02112.44] 不行
[02112.44-02113.48] 所以大家注意一下
[02113.48-02116.80] 这是我们所提到的叫做亲自提取标准物的
[02117.62-02118.34] 我们就这样吧
[02118.34-02120.90] 叫做致于约定地点的
[02120.90-02122.22] 人家都已经给你放好了
[02122.22-02124.54] 这时候有满收了来承担
[02124.54-02126.90] 这个是比较好理解的 对不对
[02126.90-02128.66] 那么再来看一下第二点
[02128.66-02130.34] 说出卖人出卖
[02130.34-02132.18] 交由成运人运输的
[02132.18-02133.62] 再图标地务
[02133.62-02135.82] 说除当时人六有约定卖
[02135.82-02137.50] 自合同成立时
[02137.50-02139.98] 然后再图风险由满收人来承担
[02139.98-02141.18] 这里面出现了一个情况
[02141.18-02143.42] 就是出卖人出卖
[02143.42-02145.90] 在运的货物的
[02145.90-02150.46] 那这个时候有买受人来承担
[02150.46-02152.06] 下面还有一个和他很像
[02152.06-02154.66] 说对于需要运输的标地务
[02154.66-02157.30] 然后出卖人办理拖运的
[02157.30-02160.62] 这个时候他说没有约定
[02160.62-02161.62] 我画上的话啥
[02161.62-02163.42] 没有约定标付地点或标付地点
[02163.42-02164.10] 不明白
[02164.10-02165.38] 自出卖人将标地务
[02165.38-02168.22] 交付地医承运人开始
[02168.22-02170.42] 有买受人来承担了
[02170.42-02171.06] 风险
[02171.06-02172.02] 这两个点
[02172.02-02173.42] 他比较喜欢
[02173.42-02174.78] 考一个联合
[02174.78-02176.00] 它如果考得比较难的话
[02176.00-02178.34] 它就会在这里给你考一个大连招
[02178.34-02178.88] 这个呢
[02178.88-02180.38] 它其实是两种情况
[02180.38-02181.14] 一种情况呢
[02181.14-02182.16] 上面这个叫做
[02182.16-02183.88] 在图护预说
[02187.70-02189.14] 叫在图护预说
[02189.14-02190.78] 那下面的这种叫什么呢
[02190.78-02192.38] 下面的这种叫做
[02192.38-02193.68] 代贯脱运
[02198.14-02198.98] 下面的这种呢
[02198.98-02200.58] 叫做代贯脱运
[02200.58-02201.66] 那么来看一下
[02201.66-02203.14] 它是一个什么情况呢
[02203.14-02205.02] 在这里面它所给到的第一个
[02205.02-02206.86] 就做在图货和代本推运
[02206.86-02209.94] 我们先来看这个代本推运的这种情况
[02211.54-02212.42] 代本推运
[02212.66-02214.26] 这个代本推运它是啥呢
[02214.26-02216.90] 它其实就是我委托
[02216.90-02218.34] 就是买收人委托
[02218.34-02220.06] 出卖人帮它运一批货物
[02220.06-02221.78] 那这种就要做代本推运
[02221.78-02223.38] 我这么说可能有一点抽象
[02223.38-02224.10] 这样吧
[02224.10-02226.10] 我把这个擦掉
[02226.66-02227.78] 这个是总理合同了
[02227.78-02228.90] 我把这个擦掉
[02228.90-02229.82] 我现在哪儿哪儿哪儿哪儿哪儿
[02229.82-02230.02] 哪儿哪儿哪儿哪儿哪儿哪儿哪儿
[02230.02-02230.82] 没有情况写了
[02230.82-02234.16] 那咱们就错误看着我就写来这吧
[02234.16-02234.50] 好吧
[02234.50-02236.46] 那你看代本推运他有点理随什么情况
[02236.46-02237.30] 我把这个案情啊
[02237.30-02238.96] 写在这个地方写在右上角
[02238.96-02239.78] 他们来看一下
[02239.78-02242.08] 假设的现在有咱们两个啊
[02242.08-02242.88] 就是我和你
[02242.88-02244.18] 或者是我们提到的
[02244.18-02245.42] 还是咱们的老朋友吧
[02245.42-02246.04] 比如说
[02246.04-02247.38] 牟融光场
[02248.66-02249.68] 咱们的老朋友啊
[02249.68-02250.98] 牟融光场和谁呢
[02250.98-02253.08] 牟融光场和住个见过吧
