[00000.00-00006.94] 我们今天来往下看,我们说具体形狄行为没有给大家讲三大类,刚刚我们讲了形容处伐。
[01181.00-01183.44] 全力处于缩率所以把谁的
[01183.44-01184.96] 我们所说的全现达掉了
[01184.96-01186.38] 规章的全现达掉了
[01186.38-01187.40] 所以大家注意一下
[01187.40-01188.94] 这是经常性的徐刻
[01188.94-01189.84] 大家要明确
[01189.84-01192.78] 那第二种徐刻就叫做非经常性徐刻
[01192.78-01194.68] 说老师傻是非经常性徐刻呢
[01194.68-01195.84] 就是凌智的
[01195.84-01198.66] 比如说现在突然爆发了一个突发的这种事件
[01198.66-01200.72] 你看比如说像我们所说的
[01200.72-01204.72] 爆发了突然爆发了什么大规模的这种机梁
[01204.72-01208.62] 那这种情况之下的国务院他可能会紧急制定一个决定
[01208.62-01212.22] 对于这种相应的这种事件进行一个应对
[01212.22-01216.12] 那你看这种针对突发性的事件他没有我们所说的什么
[01216.12-01220.22] 他没有我们常见的这种法律的现行的这种规定
[01220.22-01222.72] 那他就要设定什么 铃石性的许可
[01222.72-01224.72] 那种铃石性的许可大家注意一下
[01224.72-01227.02] 铃石性的许可他有两个限制
[01227.02-01229.82] 第一个就是谁可以设定铃石性许可
[01229.82-01231.48] 大家注意一下就是要國務院
[01231.48-01233.48] 國務院可以設定聯繫性的學科
[01233.48-01234.40] 那大家有一個知道
[01234.40-01235.62] 國務院他屬於什麼
[01235.62-01237.56] 全國範圍之內的
[01237.56-01238.02] 對吧
[01238.02-01241.72] 那這時候他可以設定全國性的聯繫性學科
[01244.72-01247.06] 他可以設定全國性的聯繫性學科
[01247.06-01249.16] 那你說這是針對於比如說
[01249.16-01252.56] 現在這是在中國範圍之內突然爆發了情侮感
[01252.56-01254.98] 那這時候就要對我們所說的消得什麼
[01254.98-01256.50] 加情進行檢疫
[01256.50-01258.04] 那對加情進行檢疫的話
[01258.04-01261.04] 所以他所谓行政许可吧
[01261.04-01263.04] 你就兼义和格的才能
[01263.04-01265.04] 我们所说的流通才能买卖才能怎么样
[01265.04-01269.04] 这个时候你看对这个兼义是不要对进行许可设定
[01269.04-01270.04] 那真的是全国的问题
[01270.04-01273.04] 那这个时候又是一个突然性的一个时间
[01273.04-01275.04] 那谁来设定相的许可要求和标准
[01275.04-01276.04] 就国务院来决定
[01276.04-01279.04] 那如果说他这个事不是在全国犯人之内
[01279.04-01281.04] 而是就在某一个地区
[01281.04-01283.04] 比如说就在某某眸眉
[01283.04-01284.04] 这个时候就有谁来搞
[01284.04-01286.04] 那就来省政府来搞百
[01286.04-01288.04] 那省政府之定的叫做什么?
[01288.04-01290.20] 規章所以省政府之定的規章
[01290.20-01293.44] 可以制定地方性的联系许课
[01297.08-01299.28] 可以制定地方性的联系许课
[01299.28-01301.40] 这个就是我们所说的形容许课
[01301.40-01303.80] 它的设定考察的也是什么?同学们
[01303.80-01308.12] 考察的也是设定和相应的规范性法文件
[01308.12-01309.56] 它的一个对应问题
[01309.56-01311.64] 这个地方很明显考察的和前面一样
[01311.64-01312.64] 也是一个对应
[01312.64-01314.48] 大家相对来说就比较简单了
[01314.48-01316.48] 你就知道 到了形容徐可这一块
[01316.48-01319.52] 他的这个全线一定是比形容处发越缩越小的
[01319.52-01320.84] 因为越往后
[01320.84-01323.32] 我们对于相应的法律设定问题
[01323.32-01324.36] 就会越紧摄
[01324.36-01326.08] 就会越线缩它的权利
[01326.08-01327.20] 越线缩工权利
[01327.20-01328.36] 你看 到了这
[01328.36-01329.64] 这规章就拿掉了
[01329.64-01332.12] 我们在后面学形容强制的时候
[01332.12-01332.92] 你就会发现
[01332.92-01335.56] 有的地方只有法律可以设定了
[01335.56-01337.36] 你看他就是要口子越加越紧
[01337.36-01339.20] 为什么要控制工权利
[01339.20-01340.68] 所以在这里面大家注意一下
[01340.68-01343.00] 这是形容徐可的设定问题
[01343.00-01344.32] 就是行政徐克
[01344.32-01346.40] 他从无道有是怎么产生的
[01346.40-01349.00] 哪些法律可以去创设行政徐克
[01349.00-01350.24] 那这里目叫去看
[01350.24-01352.00] 他师傅是经常性的
[01352.00-01353.24] 还是灵石性的
[01353.24-01355.20] 灵石性的就是突发事件
[01355.20-01356.76] 这个点大家要注意一下
[01356.76-01357.56] 你说老师
[01357.56-01359.20] 那灵石性的突发事件
[01359.20-01360.96] 5月发决定
[01360.96-01361.40] 对吧
[01361.40-01363.60] 那为什么不由全国人大集成会回来搞呢
[01363.60-01364.68] 大家注意一下
[01364.68-01366.48] 人大集息常委会
[01366.48-01367.72] 他是国家立法机关
[01367.72-01369.84] 他每年开会的时间是有限的
[01369.84-01371.24] 如果说爆发了突发事件
[01371.24-01372.80] 你找人大集息常委会
[01372.80-01375.88] 那你在等他开会的时候他必会的时候他决定不了
[01375.88-01377.36] 你说你不能说
[01377.36-01379.16] 那他必会他刚开玩会对吧
[01379.16-01380.24] 突然爆发凌晨时间
[01380.24-01382.08] 说那我们等下一次人大开会吧
[01382.08-01383.16] 你等一年
[01383.16-01384.32] 黄沙太多了了
[01384.32-01385.32] 所以一般情况之下
[01385.32-01387.48] 我不找人大和人长
[01387.48-01388.24] 而找谁
[01388.24-01389.24] 而找国元
[01389.24-01390.48] 而找地方政府
[01390.48-01390.96] 你看
[01390.96-01392.28] 有权地方人大
[01392.28-01394.04] 人大和人长会必会的
[01394.04-01395.36] 所以不找人大和人长
[01395.36-01396.52] 地方有事找谁
[01396.52-01397.44] 找省政府
[01397.44-01398.64] 人人住在这
[01398.64-01399.48] 所以大家注意下
[01399.48-01400.76] 这是行政许可的
[01400.76-01405.16] 設定,這是第二問題,我們知道它到底是怎麼來的
[01405.16-01409.16] 說了,知道了,這個形證許可,它的設定是怎麼來的問題
[01409.16-01413.16] 那第三個我們要解決的就是,到底誰可以來實施許可
[01413.16-01417.16] 這裡面也是一樣的同學們和前面一樣,不再做過對的最收了
[01417.16-01420.96] 觀管民,那這件是觀管民,誰能夠設定許可
[01420.96-01424.96] 在這裡面就給到了,我們所說的,形證機關,這個面上好說的
[01424.96-01428.20] 第二个 授权组织法律法规授权的组织
[01428.20-01430.04] 第三一个就是 委托
[01430.04-01432.08] 但在注意 在这里面你看
[01432.08-01434.68] 他和行政处法不一样的地方是在什么呢
[01434.68-01437.64] 行政处法你可以委托其他组织来帮你处法
[01437.64-01439.96] 比如说他可以把相应的
[01439.96-01442.04] 我们所说的这种警告的权力
[01442.04-01444.32] 委托给其他的社会组织
[01444.32-01446.44] 但是到了这儿我们来看一下
[01446.44-01449.48] 行政徐可的委托就不能委托组织了
[01449.48-01451.00] 这是一个小的细节区分
[01451.00-01452.00] 知道就可以了
[01452.00-01455.00] 比如说他的权力会越来越选说
[01455.00-01457.56] 权力的口子会越差越減
[01457.56-01461.84] 所以对于形容处罚最先成立最先出台的法案来看的话
[01461.84-01463.72] 形容处罚可以委托社会组织
[01463.72-01464.92] 说放得比较快呢
[01464.92-01467.16] 只能记得委托给其他形容器官
[01467.16-01468.84] 也可以委托给社会组织
[01468.84-01470.80] 那就意味着放得比较快范
[01470.80-01472.32] 但是到了形容虚可之
[01472.32-01475.24] 还可不可以委托给社会组织了
[01475.24-01475.88] 不可以了
[01475.88-01477.08] 口子越加越減
[01477.08-01479.68] 委托你就一定要细织游戏
[01479.68-01481.32] 所以在这里面我们来看一下
[01481.32-01482.46] 他只能委託誰
[01482.46-01484.86] 他只能委託其他形狀局官
[01484.86-01486.36] 所以在這裡注意一下
[01486.36-01487.90] 如果到了形狀局刻
[01487.90-01490.36] 他委託社會組織去搬發
[01491.00-01492.66] 我們所說的相的虛可證說
[01492.66-01495.48] 鄉下比如說我通過了法律這些資格考試
[01495.48-01498.44] 司法部委託高校給我發司法證
[01498.44-01499.64] 鄉下不想
[01499.64-01501.28] 高校是社會組織不想
[01501.28-01502.84] 所以在這裡面大家注意一下
[01502.84-01506.04] 所以社會組織不能成為形狀局刻的委託對象
[01506.04-01508.76] 這個點叫區分形狀處罰了
[01511.32-01514.40] 这个点就要出分行动处罚了
[01514.40-01516.70] 因为在行动处罚当中咱们当时打说的
[01516.70-01519.64] 在行动处罚当中咱们当时提到的是什么
[01519.64-01523.48] 咱们当时提到的是行动处罚是可以为拖社会阻止的
[01526.68-01529.24] 是可以为拖社会阻止的
[01529.24-01531.04] 那这里面就不行了
[01531.04-01532.20] 所以大家注意一下
[01532.20-01533.84] 这是实施的主题
[01533.84-01535.20] 大家注意一下这是第1个电
[01535.20-01538.48] 那么说了 那形证徐可知道了关管联
[01538.48-01540.84] 那些官可以去办法徐可证
[01540.84-01542.88] 我们就也针对人的徐可证没力
[01542.88-01544.68] 那么就会看一下这个形证徐可
[01544.68-01546.52] 到底是怎么一步一步来的
[01546.52-01550.32] 这里面就会设计到形证徐可的程序问题
[01550.32-01552.16] 在形证徐可的程序当中
[01552.16-01554.40] 我们来看一下这个徐可的到底是怎么一步一步
[01554.40-01555.64] 到你手里呢
[01555.64-01558.56] 我们就来看在这里他说给到底一般程序
[01558.56-01559.92] 这个一般程序的话
[01559.92-01562.28] 大家注意一下 他可分成这么几个环节
[01562.28-01563.60] 第一个呢 一般情况之下
[01563.60-01564.64] 说了虚可之后呢
[01564.64-01567.68] 你符合相的资料小件扭先去申请
[01567.68-01569.00] 申请完了之后呢
[01569.00-01570.40] 他要怎么办
[01570.40-01571.56] 他要受理念
[01571.56-01573.60] 就是他拿到你的这个材料了吗
[01573.60-01574.20] 不是
[01574.20-01575.56] 那这个过程就叫做什么
[01575.56-01576.12] 受理
[01576.12-01577.72] 如果你的材料符合要求的话
[01577.72-01580.52] 他会针对你的材料进行相当的审查
[01580.52-01582.44] 审查就是看这个材料合不合格
[01582.44-01583.56] 符合条件
[01583.56-01586.00] 然后审查就决定之后就看
[01586.00-01587.56] 要不要给你办法虚可之后
[01587.56-01589.16] 要不要给你办法驾驶声
[01589.16-01591.20] 那这个时候就睡到决定
[01591.20-01593.48] 如果说要给你办法驾驶声的话
[01593.48-01594.88] 有正书的话
[01594.88-01596.40] 它是不要给你办法序口证
[01596.40-01597.60] 但是大家注意一下
[01597.60-01601.04] 办法徐口证并不是每一个徐口都有的
[01601.04-01602.60] 比如说我们刚才所说的
[01602.60-01604.04] 那个猪肉的剪一问题
[01604.04-01604.60] 对吧
[01604.60-01606.40] 猪肉的剪一叫做合作的
[01606.40-01607.44] 它修不少给那个
[01607.44-01608.52] 已经被宰了的小猪
[01608.52-01609.48] 办法一个
[01609.48-01610.80] 我们所说的徐口证
[01610.80-01611.36] 不需要
[01611.36-01612.68] 所以办法徐口证
[01612.68-01614.68] 不是所徐口证有的环节
[01614.68-01616.48] 所以我但是我在这里给它写出来
[01616.48-01619.64] 就是为了方面大家去加深理解
[01619.64-01620.48] 所以最后一步
[01620.48-01621.44] 就是说OK给你发
[01621.44-01625.44] 那就搬他去口证 加盖印章或者是表侵而的
[01629.76-01631.12] 那加盖印章会表侵
[01631.12-01633.16] 那这个呢就是我们所提到了什么
[01633.16-01636.16] 我们所提到了实施的一般成熟问题
[01636.16-01638.16] 所提到了实施的一般成熟问题
[01638.16-01640.32] 那这个呢就是我们所说的形状
[01640.32-01643.36] 许可它的一个实施的主要环境
[01643.36-01645.12] 那我们一个一个环境来看吧
[01645.12-01647.60] 首先第一个环境我们来看一下申请
[01647.60-01649.84] 申请的话呢在这里提到了
[01649.84-01653.74] 如果公民法人要取得去个政治必须向机关提出申请
[01653.74-01656.34] 这是咱们说的 它有一申请性
[01656.34-01659.34] 但是你提到申请的时候咱们都知道了提交的是什么
[01659.34-01662.34] 咱们要提交的就是要输面材料 对不对
[01662.34-01666.34] 所以在这里面你看你要提交输面材料的话必须就要有相应的
[01666.34-01667.24] 格式文本
[01667.24-01670.54] 所以申请说需要相应采用相应的 格式文本
[01670.54-01671.84] 就是你要填个表格
[01671.84-01673.24] 就类随这种 对不对
[01673.24-01676.44] 但是在这里面大家注意 这个格式文本是谁提供的
[01676.44-01678.74] 格式文本的標準它是由
[01678.74-01679.96] 形成一般來提供的
[01679.96-01683.24] 比如說我去申請我的法律直接這個證說
[01683.24-01685.08] 我申請我的法律直接這個證書
[01685.08-01686.58] 我只要下載相的表格
[01686.58-01688.98] 這個就是這個表格其實就是它的什麼
[01688.98-01690.00] 文本格是
[01690.00-01692.20] 這個文本格是我在它的官方網站上
[01692.20-01693.60] 是否可以免費下載
[01693.60-01694.86] 所以這個文本格是
[01694.86-01696.84] 就是由司法布來提供的
[01696.84-01698.20] 由司法布來提供
[01698.20-01699.18] 我去下載
[01699.18-01701.08] 我下載這個表格它說不說非
[01702.24-01703.64] 它指定是不說非的
[01703.64-01704.64] 所以在這裡面
[01704.64-01706.64] 注意一下,这个格式文本
[01706.64-01708.64] 注意,不受费
[01708.64-01710.64] 就是不利用形收费
[01711.64-01714.64] 这是一个判断体或者是判断选项
[01714.64-01715.64] 经常会出现的点
[01715.64-01717.64] 所以大家注意一下,这个身形上的
[01717.64-01720.64] 细节就是身形一定要疏面
[01720.64-01722.64] 疏面的交财用格式文本
[01722.64-01724.64] 格式文本不受费
[01724.64-01726.64] 所以大家注意一下,人第一个,身形
[01726.64-01728.64] 除了身形调表格之外
[01728.64-01731.64] 我要去身形我的法律直接做个正书
[01731.64-01733.64] 在这里面我说还要提交相那些材料
[01733.64-01737.12] 比如说教一下我的毕业了吗
[01737.12-01739.78] 我必须教一下我的毕业征数学位征数
[01739.78-01742.92] 然后我的客观体成绩与主义的成绩单
[01742.92-01743.36] 对吧
[01743.36-01746.70] 这些呢其实就是我们所说的要提交的书面材料
[01746.70-01749.14] 那你他对于你提交的这些书面材料
[01749.14-01750.04] 他进行怎么样
[01750.04-01750.64] 受理
[01750.64-01751.30] 比如说
[01752.58-01753.86] 成绩已经出来了
[01753.86-01755.26] 他告诉我在几月份之前
[01755.26-01756.38] 我要去深圳这个征数
[01756.38-01758.46] 然后我就把箱的资料就代起了
[01758.46-01760.52] 代起了之后我就去到我当地的
[01760.52-01762.24] 比如说我是今天省白山市的
[01762.24-01764.04] 我就去到白山市的箱的
[01764.04-01768.04] 我们所说的这种司法部门去提交箱的材料吧
[01768.04-01770.24] 这个时候我向他提交材料他就要干嘛
[01770.24-01772.24] 他就要对材料进行受礼
[01772.24-01774.44] 他就要去清点我的材料吧
[01774.44-01774.84] 对吧
[01774.84-01776.04] 这个就是受礼的过程
[01776.04-01778.84] 但同时想一下他受礼我的材料
[01778.84-01780.44] 可能存在金融情况
[01780.44-01782.96] 可能会存在三种情况大注意
[01782.96-01784.04] 第一种情况是什么
[01784.04-01786.84] 这是我交的材料完全符合要求
[01786.84-01790.24] 就是我的表格格是正确其他的材料也无理一路
[01790.24-01790.64] 对吧
[01790.64-01794.36] 那这种情况这下是我完全符合它的这种深情标准
[01794.36-01796.12] 那这种情况是我符合的话
[01796.12-01797.84] 它就要受理
[01797.84-01799.00] 只是第一个点
[01799.00-01800.28] 那第二种情况就是
[01800.28-01801.68] 我确实是带着去了
[01801.68-01802.80] 但是我发现了
[01802.80-01804.28] 我身份中飞一件没有
[01804.28-01806.48] 那这个时候我是不是缺一部分材料
[01806.48-01807.84] 那我缺一部分材料的话
[01807.84-01808.80] 这种情况怎么办
[01808.80-01810.80] 它就可以要求我补证
[01810.80-01811.84] 可以怎么办呢
[01811.84-01812.40] 告诉我说
[01812.40-01813.84] 你缺了什么种材料
[01813.84-01814.76] 就要求我补证
[01814.76-01816.84] 可以补证后受理
[01816.84-01821.84] 那可以补征後收理
[01821.84-01823.84] 那這個時候补征的話就兩種情況
[01823.84-01826.84] 就是第一個就是我能夠在當場补征的
[01826.84-01827.84] 我就在當場补征
[01827.84-01828.84] 如果我當場补征不了
[01828.84-01831.84] 他五日內一次性告訴我
[01831.84-01832.84] 要把那些材料不起
[01832.84-01834.84] 那這個時候就是我們所說的
[01834.84-01836.84] 可以补征後再收理
[01836.84-01837.84] 要么就是我當場补征
[01837.84-01838.84] 要么就是呢
[01838.84-01840.84] 申請的人太多了
[01840.84-01841.84] 他就先把材料放在這吧
[01841.84-01842.84] 然後我就放在這走了
[01842.84-01844.84] 他告訴我給我打電話
[01844.84-01845.88] 打电话告诉我说
[01845.88-01848.48] 按你要几天之内把那些材料再不弃
[01848.48-01848.88] 对吧
[01848.88-01850.68] 那如果不弃之后他也可以收理
[01850.68-01851.88] 那还有一种情况是什么
[01851.88-01853.08] 还有一种情况就是
[01853.08-01856.20] 我根本都不符合主乱提的这样的一个条件
[01856.20-01857.88] 比如说主乱提10000%过
[01857.88-01859.48] 对方我考了100007.5
[01859.48-01861.68] 那这个时候我就拿着我这些正书
[01861.68-01864.04] 主乱提客完击所有的这种爬网的一放
[01864.04-01864.76] 然后我说行了
[01864.76-01865.60] 给我发正嘛
[01865.60-01866.40] 你们使合过了之后
[01866.40-01867.64] 就给我发正哦
[01867.64-01868.64] 然后我就走了
[01868.64-01869.40] 结果他一看
[01869.40-01871.08] 我成绩差00.5%不合格
[01871.08-01872.28] 那这种情况之下
[01872.28-01873.28] 他怎么办
[01873.28-01875.28] 我不符合申请条件
[01875.28-01877.76] 这时候他就可以不受理
[01880.08-01881.04] 他可以不受理
[01881.04-01882.12] 所以大家注意一下
[01882.12-01884.16] 这是我们所说的有关于
[01884.16-01885.36] 受理的问题
[01885.36-01886.40] 这是第二个点
[01886.40-01889.08] 我如果说这些材料都符合要求
[01889.08-01889.84] 他受理了
[01889.84-01892.16] 他要对经材料进行审查
[01892.16-01893.00] 审查的话
[01893.00-01895.20] 一般情况是对实质内容的审查
[01895.20-01896.64] 这个点了解一下就行了
[01896.64-01897.80] 审查之后
[01897.80-01899.64] 如果说我符合要求的话
[01899.64-01900.64] 他就可以干嘛
[01900.64-01903.12] 他就可以去进行相对决定
[01903.12-01905.26] 就是決定到底給不夠發證這個問題
[01905.26-01907.68] 但是決定裡面有個細節同學來看一下
[01907.68-01910.36] 決定裡面的細節就大家所看到的口號二
[01910.36-01913.12] 他說可以當場決定的徐口外說
[01913.12-01914.32] 形容機關營當字
[01914.32-01916.44] 受理形容許可申請快下
[01916.44-01918.36] 二十日內做出
[01918.36-01920.00] 如果二十日內做不出的
[01920.00-01922.48] 競機關批准可以延長十日
[01922.48-01924.80] 比如說我交完了這些材料
[01924.80-01926.72] 他決定發證還是不發證
[01926.72-01927.60] 他有一個什麼
[01927.60-01928.72] 他有一個時間限制
[01928.72-01930.32] 我不可能說把材料交給他
[01930.32-01931.72] 他無限的拖下去
[01931.72-01934.80] 他這個時間限制是什麼 正常情況是20日內
[01934.80-01938.90] 你要去給我怎麼樣 你要去給我一個答覆 到底能發還是不能發
[01938.90-01942.92] 你不能無限的推下去 如果20日內搞不定這個虛擬症很複雜
[01942.92-01947.60] 是一道多方問題的話 可以在怎麼樣 可以經過集官批准在
[01947.60-01950.42] 集官負責人的批准在延長時日 比如說
[01951.42-01955.28] 大家去申請一個什麼開發虛擬症 或者是各種各樣的虛擬症說
[01955.28-01958.60] 什麼永夜直到證說 涉一道的這個情況非常的複雜
[01958.60-01959.98] 因為我也非常負擋的話
[01959.98-01961.16] 你把材料交給它之後
[01961.16-01962.08] 20內搞不定
[01962.08-01963.08] 那這個時候
[01963.08-01964.30] 你也他可以怎麼辦
[01964.30-01966.96] 他可以向工商局的局長
[01966.96-01967.42] 對吧
[01967.42-01968.78] 那這個就是機關負擔人
[01968.78-01970.28] 可以向工商局的局長
[01970.28-01971.08] 審批
[01971.08-01971.56] 審批幹嘛
[01971.56-01972.48] 批言欺嗎
[01972.48-01972.76] 對吧
[01972.76-01974.40] 這個就是我們所說的批言欺
[01974.40-01976.44] 所以實在給你演場時
[01976.44-01977.44] 那也就意味著
[01977.44-01978.40] 大家來看一下
[01978.40-01979.76] 整個形證徐可
[01979.76-01981.60] 他辦法的最長時間
[01981.60-01983.24] 我說的是單個徐可
[01983.24-01985.04] 單個徐可的單發的最長時間
[01985.04-01987.04] 最長不得超不多少錢
[01987.04-01989.04] 最长不得超过30日
[01989.04-01991.60] 他有说就会在这给你考个脑件上班
[01991.60-01996.40] 说单个许可办法的最长时间最长不得超过10日
[01996.40-01998.00] 或是最长不得超过20日
[01998.00-01999.00] 不对的
[01999.00-02000.92] 最长不得超过30日
[02000.92-02003.84] 因为在这里可能会中间特殊情况的严批的情况
[02003.84-02005.52] 这说我们所说的决定
[02005.52-02006.76] 那如果决定说
[02006.76-02008.00] OK,你符合要求
[02008.00-02010.24] 可以给我办法法律直接这个正说
[02010.24-02011.88] 那到时候就可以给我办法什么
[02011.88-02013.28] 办法法律直接这个正
[02013.28-02015.32] 下面加代者相当的刚引
[02015.32-02018.26] 然后刚运上是司法部以及司法部长的名字
[02018.26-02018.80] 对吧
[02018.80-02020.24] 这个地方就是搬挣
[02020.24-02022.30] 但是这里面我刚才给大家说了一个细节
[02022.30-02023.84] 就是在这大家要明确
[02023.84-02026.16] 我们所说的这个搬发徐可挣
[02026.16-02028.60] 它针对的是有徐可挣可发的情况
[02028.60-02029.24] 大家注意啊
[02029.24-02032.46] 效果刚所说的那个电梯的检测
[02032.46-02033.64] 猪肉的检疫
[02033.64-02034.88] 它是没有办法发挣的
[02034.88-02036.04] 所以在这里大家注意啊
[02036.04-02038.16] 不是所有徐可都发挣
[02039.32-02039.64] 在这
[02039.64-02040.16] 注意啊
[02040.16-02042.04] 不是所有
[02044.20-02044.92] 徐可
[02045.32-02047.32] 都反正
[02047.32-02050.92] 这个点 大家要明确
[02050.92-02053.12] 好吧 这个点很容易出一个 判断体
[02053.12-02054.72] 所以在这里面大家注意啊
[02054.72-02057.12] 还解大家要大概知道哪些流程
[02057.12-02060.12] 这些流程当中可能会有一些细节点
[02060.12-02062.12] 比如说在这里面申请有细节
[02062.12-02064.32] 数里大概知道它流程就行了
[02064.32-02065.72] 决定上有细节
[02065.72-02067.92] 所以这几个细节点大家要搞明确
[02067.92-02069.92] 通过这样一细节的流程
[02069.92-02071.72] 最后我们就能够拿到相的许可
[02071.72-02072.92] 你需要正书的
[02072.92-02075.52] 这里发挣说,你说要自治的,就给你发自治
[02075.52-02079.52] 对吧,所以在这里面,就是许可的,获得了,许可的获得
[02079.52-02084.92] 好,这是许可,获得的程序,我们可以把它称为叫许可的,一般程序
[02084.92-02086.72] 但许可它也可以听挣的
[02087.72-02090.52] 就是如果说在这个时候,它决定不给你发许可
[02090.52-02092.92] 那这时候你觉得你原谅,就可以要求听挣
[02092.92-02096.32] 那这里面其实许可它有自己的,听挣程序
[02096.32-02099.72] 如果这个听挣程序大家稍微了解一下就OK了,你看一下
[02099.72-02109.72] 他许可的听证,可以是一旨全主动听证,或者是当时申请听证,你要掌握的第一个点就是,许可的听证和行政处罚不同。
[02111.72-02119.72] 和行政处罚不同。行政处罚的听证,咱们说了只能怎么。行政处罚的听证只能一申请。
[02122.72-02126.72] 行政处罚的听证只能一申请,大家注意一下,这是第一个。
[02126.72-02132.10] 第1个,第2个就是我们所说的形证许可它的听证的时间
[02132.10-02138.06] 你看一样,第1个就告知被听证权力无日内提去申请,第2个是
[02138.06-02143.94] 请证机外阴浪在20人内组织,听证,第3一个就是在听证七日前
[02145.68-02148.14] 告知听证的时间地点,对不对?
[02148.14-02155.90] 那这个就是我们所说的在实现,上的要求,这个在实现,实现的要求,考察,也是考什么
[02155.90-02158.26] 也是考形容出发的会小
[02159.62-02161.94] 我们在形容出发会小当中怎么说的
[02161.94-02165.34] 就是我日内申请
[02167.30-02168.10] 然后呢
[02168.10-02169.50] 七日内
[02169.86-02170.70] 告知
[02171.38-02174.62] 有没有要求机关在二十天之内
[02174.62-02176.82] 去举行听证了这样一个限制
[02176.82-02177.62] 没有
[02177.62-02179.74] 因为在形容出来这一块就是你只要
[02179.74-02181.66] 我不管你在多少天内举行听证
[02181.66-02183.50] 你只要听证前七天
[02183.50-02185.98] 告知当时人就行了 单单在这里有一个什么
[02185.98-02187.98] 有一个20内组的听证
[02187.98-02189.98] 同时们这能看出来什么问题
[02189.98-02193.34] 这能能看出来对于公权利有了限制
[02193.34-02195.66] 之前如果说行政主发你要求听证的话
[02195.66-02197.18] 会不会出现行政机关说
[02197.18-02200.62] 我怕麻烦所有对把这个听证给你无限期的怎么样
[02200.62-02201.58] 拖延下去
[02201.58-02203.50] 可能会出现这种情况吗
[02203.50-02207.66] 但是在行政局和这一块就对钱利用加上了一道加索
[02207.66-02211.02] 告诉你你要在20内举行听证
[02211.02-02213.30] 那你在20人内举行听证就意味着
[02213.30-02215.74] 我不允许你搞脱踏
[02215.74-02217.02] 初于行政效率员责
[02217.02-02218.70] 你尽快地把这件事情给我怎么样
[02218.70-02219.86] 给我搞定你看
[02219.86-02222.82] 这是不是对于公权力进行了一些现缩
[02222.82-02225.66] 是不是达到了我们行政法当中要求怎么样
[02225.66-02226.94] 控权的目的
[02226.94-02231.34] 这个就是我们所说的叫做行政徐可的轻政程序
[02231.34-02232.62] 这个行政徐可轻政程序
[02232.62-02233.82] 它不会单独靠
[02233.82-02235.50] 一般靠就是靠回小
[02235.50-02237.86] 就是和行政处法去进行回小
[02237.86-02239.66] 所以在这里面大家就把这个
[02239.66-02241.06] 一会小的点
[02241.06-02243.06] 去给他标注清楚就行了
[02244.06-02244.78] 打个注意一下
[02244.78-02247.86] 这是我们所说的行政徐口的程序
[02247.86-02249.86] 第一个就是你怎么拿到这个政人
[02249.86-02252.38] 我们就以政卫力他经过一些流程
[02252.38-02253.66] 他考察一些细节
[02253.66-02255.86] 第二个就是他有听政程序
[02255.86-02258.26] 听政程序行政处发什么不一样的呢
[02258.26-02261.26] 就是第一个啟动的标准不一样
[02261.86-02263.26] 行政处发指医生情
[02263.26-02264.86] 而这里可以一级直权
[02264.86-02267.86] 第二个就是他的实现不一样
[02267.86-02269.46] 在这里面带要注意一下
[02269.46-02271.34] 这是行政徐可
[02271.34-02272.54] 他的听众程序
[02272.54-02273.54] 大家要注意一下
[02273.54-02274.18] 好
[02274.18-02276.50] 到这我们就把行政徐可怎么来的
[02276.50-02277.46] 咱们就搞清楚了
[02277.46-02279.38] 第一个行政徐可如何获得呢
[02279.38-02281.26] 我们讲了一个一般程序
[02281.26-02283.42] 要先申请在受理
[02283.42-02284.18] 再审查
[02284.18-02284.82] 再决定
[02284.82-02286.98] 然后最后再发酵的正说
[02286.98-02288.14] 那在申请当中说了
[02288.14-02289.58] 必须是说面申请
[02289.58-02290.82] 有格式文本的
[02290.82-02292.14] 格式文本积关题
[02292.14-02293.90] 但是你上网站上
[02293.90-02295.66] 下载表格的时候不许收你钱
[02295.66-02296.98] 所以就不得收费
[02296.98-02297.98] 第二 收理的话
[02297.98-02299.46] 就有这么急种结果
[02299.46-02302.32] 第一种就是你符合要求条件
[02302.32-02304.02] 形势上的材料都符合
[02304.02-02304.90] 他就收理
[02304.90-02305.90] 或者你材料圈
[02305.90-02307.02] 你可以补偵后手里
[02307.02-02308.94] 如果你不属于
[02308.94-02310.70] 比如说我要申请司法征说
[02310.70-02313.30] 我跑到了我跑到了工商局去体调材料
[02313.30-02314.30] 他就可以补收理
[02314.30-02314.70] 对吧
[02314.70-02316.62] 这种情况之下就是我们所说
[02316.62-02317.78] 收理三个情况
[02317.78-02319.18] 对于你体调这个东西
[02319.18-02321.90] 他进行审查后作决定
[02321.90-02323.62] 决定最长不超过多少天
[02324.62-02325.22] 三十日
[02325.22-02325.82] 对吧
[02325.82-02329.04] 那么说了 徐克呢 他也可以举行听证
[02329.04-02331.04] 听证主要考一个 区分
[02331.04-02332.94] 就是区分行证出发
[02332.94-02335.34] 那区分行证主发 第一个就是起动程序
[02335.34-02336.58] 这边可以一直全
[02336.58-02339.38] 第二个呢 就是在欺限上 这里多了一个
[02339.38-02341.50] 对于机关举行听证日期的要求
[02341.50-02344.18] 必须在20日内举行听证
[02344.18-02347.34] 那这里大家要注意一下 只是行证序可他的实施
