[00000.00-00004.00] 今天我們再來看一下第三個就是租栗核桶
[01130.66-01131.62] 你要知道什麼意思
[01131.62-01134.34] 並且在這裡你要知道誰承擔什麼責任
[01134.34-01136.74] 只是第一個合法轉租當中的低筒
[01136.74-01138.58] 合法轉租當中的第二重說的是什麼
[01138.58-01141.86] 如果是超期转租的话超期的部分为了一些无效
[01141.86-01142.62] 啥意思呢
[01142.62-01145.62] 这是原本副过来和大纯之间这个房子
[01145.62-01146.78] 他就只有一年
[01146.78-01149.46] 然后大纯租了死个月是不还剩两个月
[01149.46-01152.10] 他把生气的两个月转租给消满没有问题
[01152.10-01154.90] 但是他如果和小美签订的租立合同事啥
[01154.90-01157.46] 我把这个房子说转租给小美
[01157.46-01159.50] 让小美租6个月可行吗
[01159.50-01160.06] 不可行
[01160.06-01162.38] 因为你原租立合同就只有两个月
[01162.38-01164.50] 你现在给人家说签了6个月
[01164.50-01165.54] 那你签6个月
[01165.54-01166.54] 那只能不行的
[01166.54-01167.26] 你签6个月
[01167.26-01169.26] 但小美实际上只能做几个月
[01169.26-01170.90] 只能做两个月
[01170.90-01174.46] 所以你看超期转租的超期部分没有月收利
[01174.46-01176.26] 所以在这里面大家注意一下
[01176.26-01177.98] 所以转租转租
[01177.98-01180.38] 你不能超过剩余租令期限
[01180.38-01183.10] 所以这个点是比较好理解了
[01183.10-01183.98] 所以大家要注意一下
[01183.98-01186.06] 这是第一个叫做合法转租
[01186.06-01186.86] 没问题吧
[01186.86-01187.74] 同一们注意
[01187.74-01189.26] 我在这里再次强调
[01189.26-01190.70] 寄什么寄案例
[01190.70-01191.58] 建立
[01191.58-01194.30] 这是我们所说的第一个叫做合法转租
[01194.30-01195.18] 那有合法转租的
[01195.18-01196.70] 还有一个非法转租
[01196.70-01199.10] 非法转租就是没有经过谁的同业
[01199.10-01203.90] 非法转租就是没有经过原来的西门富国的同业
[01203.90-01208.06] 咱们就来看一下在非法转租当中会出现什么情况
[01208.06-01210.86] 一样的安形不变只会在这个安形当中
[01210.86-01213.86] 咱们去重新设定一下他们之间的关系
[01213.86-01216.78] 在这个安形当中一样的
[01216.78-01221.62] 最开始的时候是我们所说的这个富国人把这个房子组给了大纯
[01221.62-01222.34] 然后呢
[01222.34-01223.62] 租金不变
[01223.62-01225.14] 然后租令期限也不变
[01225.14-01227.50] 然后这个大纯因为艾牧小美
[01227.50-01229.34] 对吧咱们都看过那个网剧
[01229.34-01230.94] 就知道大纯对小美的艾
[01230.94-01232.10] 一如几岘的深层
[01232.10-01234.62] 所以大纯就是小美没有做过这样的房子
[01234.62-01236.62] 比如把这个房子转租给了小美
[01236.62-01237.90] 然后小美拿到这个房子呢
[01237.90-01240.26] 一样的还是把它给到成了台新农场
[01240.26-01240.94] 按情不变
[01240.94-01242.14] 只剥在这里面
[01242.14-01243.14] 什么发生变化呢
[01243.14-01245.38] 就是没有经过副国人的同意
[01245.38-01247.22] 那如果没有经过副国人的同意
[01247.22-01249.02] 会产生什么样的法律后果呢
[01249.02-01250.22] 咱们来看一下啊
[01250.82-01252.02] 首先在这里面
[01252.02-01252.94] 来看一下
[01252.94-01254.74] 第一個我們先來看一下這個
[01254.74-01257.62] 覆掛和大腸致劍會產生什麼樣的
[01258.02-01258.66] 情況
[01258.66-01262.02] 原本是覆掛把房子租給大腸致
[01262.02-01264.58] 然後告訴大腸致能你租不能別著做
[01264.58-01267.18] 你不能轉租結果大腸致沒聽話轉身的
[01267.18-01268.90] 善自把房子租給的小妹
[01268.90-01270.62] 那這裡面就會出現了一個情況
[01270.62-01271.42] 就是什麼呢
[01271.42-01273.26] 就是這裡面的大腸致
[01273.26-01275.58] 它是不是已經夠成為約了
[01275.58-01277.34] 那如果這裡面的大腸致
[01277.34-01278.98] 夠成為約了的話
[01278.98-01281.02] 這個違約屬於什麼違約形式
[01281.02-01284.02] 支持和同目的不能实现
[01284.02-01285.58] 因为原本和同的目的
[01285.58-01286.74] 是让谁来租房子
[01286.74-01287.98] 上大臣来租房子
[01287.98-01289.82] 但现在大臣把房子转租出去了
[01289.82-01291.26] 是和同目的不能实现
[01291.26-01293.02] 那如果和同目的不能实现
[01293.02-01295.22] 他属于根本的月
[01297.22-01299.30] 同时们来想一下根本的月
[01299.30-01300.22] 什么后果
[01300.22-01301.94] 和同目的不能实现
[01301.94-01305.46] 这个时候新闻副国可以接触
[01305.46-01307.38] 与麻木与麻木权
[01307.38-01309.18] 与王大臣之间的什么
[01309.18-01310.06] 族令和同
[01310.06-01314.78] 所以根本的约覆过可以解除与大吹之间的合同
[01317.30-01319.66] 那他解除和大吹之间的合同之后
[01319.66-01324.18] 他能不能要求我们所说的这个小妹从他的房子当中搬离出去呢
[01325.18-01329.78] 完全可以的 对吧他可以要求我们所说的小妹从他的房子搬走
[01329.78-01333.26] 因为这个时候我们所说的新闻覆过的是所有权人
[01333.26-01336.66] 而我们这个小妹他已经怎么样他已经是无权战友了
[01336.66-01339.02] 因为他已经把原本的族列核通解除了小妹
[01339.02-01340.66] 它是没有权租力这个房子了
[01340.66-01342.34] 所以这个时候大家注意一下
[01342.34-01345.62] 它可以对于小美它采取一个什么样的态度呢
[01345.62-01348.98] 它是可以请求小美搬离的
[01351.02-01356.02] 叫做要求小美搬走
[01358.18-01360.18] 要求小美搬走
[01360.18-01363.18] 在这里面它可以要求小美搬走这是第二头
[01363.18-01365.54] 那这个时候毕竟出现了一个问题
[01365.54-01370.26] 就是我们所说的这个房子已经让小美拆了给造成开心农场了
[01370.26-01372.18] 那他如果小微选的话怎么办
[01372.18-01376.26] 他可以一方面找到大崔让大崔承担的也责任
[01376.26-01381.38] 对吧他也可以找到小美让小美干嘛让小美承担侵犯责任
[01381.38-01384.74] 那同时他又有他又是搜据人
[01384.74-01388.42] 所以他也可以请求大崔把房屋恢复原装
[01388.42-01391.46] 也可以请求小美把房屋怎么样恢复原装
[01391.46-01394.82] 这个和前面其实是没有什么太大的这样的一个差别的
[01394.82-01397.06] 但是这里面有一个差点的细节点在哪呢
[01397.06-01399.74] 就是我们说了它其实对于大脆可以解决
[01399.74-01402.86] 叫做解除和大脆之间的租利和桶
[01402.86-01406.38] 大脆工程根本的女儿承担每月子任或者是把房屋恢复原状
[01406.38-01408.30] 它也可以请求小美搬走
[01408.30-01410.78] 但是现在问题就在于于期了
[01410.78-01412.58] 或者是让小美搬走的这个时候
[01412.58-01413.78] 小美它不搬
[01413.78-01415.18] 如果小美不搬的话
[01415.18-01416.82] 这个时候新闻服务是怎么搬呢
[01417.70-01418.86] 就小美应该走了
[01418.86-01420.86] 但小美说我偏不我就不走
[01420.86-01422.50] 这么大的房子我没有住过
[01422.50-01425.86] 这个时候小美对新闻赋过程在两项清争
[01425.86-01427.86] 第一个就是你该走你不走
[01427.86-01429.06] 这时候就承担什么
[01429.06-01429.98] 新全责任
[01429.98-01431.34] 这个没有杀好说的
[01431.34-01432.54] 主要是第二个
[01432.54-01435.34] 第二个就是如果小美继续战友这个房子的话
[01435.34-01436.38] 就是他不搬走
[01436.38-01438.18] 是不是于妻还没有搬走
[01438.18-01440.62] 这个时候我们所说的这个新闻赋过
[01440.62-01443.14] 就可以像小美收点钱
[01443.14-01446.34] 让小美支付他相应的战友使用费
[01446.34-01452.98] 支付一定的战友使费
[01452.98-01456.18] 这个就是我们所说的有关于阻力
[01456.18-01457.98] 所以在阻力合同的概念当中
[01457.98-01459.94] 我们看斯塔好像是很简单
[01459.94-01460.14] 对吧
[01460.14-01461.90] 我们在这里画定了它的身份
[01461.90-01464.26] 实际上在这个地方主要考察的
[01464.26-01466.26] 就是我们所谓大家说的
[01466.26-01467.98] 充作人和成作人的一五
[01467.98-01468.58] 回顾一下
[01468.58-01470.98] 充作人的一五就是我们所提到的叫做
[01470.98-01471.98] 维修一五
[01471.98-01472.58] 维修一五
[01472.58-01474.06] 而成作人它有很多一五
[01474.06-01475.18] 其中有一项不作为
[01475.18-01476.02] 不做沒有兩個
[01476.02-01477.18] 一個是禁止天賦
[01477.30-01478.46] 有禁止轉租
[01478.46-01479.50] 但是他們都有禮拜
[01479.50-01481.30] 就是經出自人統一
[01481.46-01483.34] 禁止轉租裡面有兩個電
[01483.58-01484.82] 第一個是合法轉租
[01484.82-01486.82] 我們要知道合法轉租是什麼意思
[01486.82-01488.38] 以及根據剛才的案例
[01488.38-01489.70] 套什麼的法律後果
[01489.86-01491.26] 第二就是非法轉租
[01491.26-01493.70] 非法轉租主要也考察他的法律後果
[01493.86-01495.58] 法律後果怎麼去輸出來
[01495.74-01497.02] 一從一從的輸入
[01497.02-01499.74] 找到當事人之間的關係
[01499.74-01500.86] 你要分多少去拆
[01500.86-01501.86] 這裡有兩個案例
[01501.86-01503.58] 我建議同學們回去的時候
[01503.58-01504.62] 把這個圖
[01504.62-01507.70] 根據我上課講的再去畫一邊
[01507.70-01509.74] 你也可以先把這個視頻暫停
[01509.74-01511.14] 然後自己再去畫一邊
[01511.14-01511.98] 都OK
[01511.98-01513.98] 但是一定要動手畫一下
[01513.98-01516.18] 所以這是我們所說的
[01516.18-01518.38] 有關於第一個租利河通當中的
[01518.38-01519.26] 兩從考點
[01519.26-01521.78] 這樣從考點再轉租這塊
[01521.78-01523.98] 容易考察理解行的題目
[01523.98-01524.42] 好
[01524.42-01525.62] 這個就是我們所說的
[01525.62-01528.26] 有關於第一個叫做租利河通的概念
[01528.26-01529.42] 租利河通概念
[01529.42-01530.74] 租利河通我們所說的
[01530.74-01533.30] 租利河通的對象就是租利物
[01533.30-01536.70] 那你对这个租林物的持有它是有期限的
[01536.70-01539.90] 我们来看一下第二个叫做租立合同的期限
[01539.90-01541.90] 租立合同的期限坏下就行了
[01541.90-01543.90] 就是最长期限不超过多少年
[01543.90-01546.30] 二十年最长租立去十二十年
[01546.30-01551.30] 如果你并利了说我要把这个房子租立你租七三十年
[01552.70-01553.70] 大舟一下
[01553.70-01556.50] 如果在合同当中千斤的租七十三十年的话
[01556.50-01558.30] 你最长只能租几年
[01558.30-01560.50] 最长只能租二十年
[01560.50-01562.70] 因为超过的部分是无效的
[01562.70-01565.98] 所以大家注意一下 第一个叫最床租令七十三十年
[01565.98-01566.90] 这是第一个点
[01566.90-01569.74] 第二点就是我们在租河通的时候
[01569.74-01572.18] 我们在租利房屋也好
[01572.18-01573.14] 租利七车也好
[01573.14-01574.74] 在租利河通的签订的时候
[01574.74-01576.98] 我们为了保证交易的安全
[01576.98-01578.98] 往往会对于不同期限的
[01578.98-01581.66] 租利河通才去不同的方式
[01581.66-01583.46] 所以在这里面 除了七线之外
[01583.46-01584.78] 第二个我们来看一下
[01585.78-01588.26] 我们所说的租利河通
[01588.26-01589.94] 它的一个形式
[01589.94-01591.74] 在这里面租利河通的形式
[01591.74-01593.94] 它其实是分两种情况来討論的
[01596.22-01597.54] 第一种形式是啥呢?
[01597.54-01598.14] 大家注意一下
[01598.14-01601.42] 第一种形式就是租七小于六个月的
[01603.10-01605.06] 如果租七小于六个月的话
[01605.06-01608.54] 这个时候你的合同签训形的形式可以是
[01608.54-01609.66] 書面的
[01609.66-01611.26] 也可以是什么扣头的
[01611.26-01612.46] 因为租七比较短
[01612.46-01613.94] 所以在这种情况之下
[01613.94-01616.22] 你的合同的签训可以是
[01616.22-01617.84] 書面有我们所说的
[01617.84-01618.86] 签训的指制合同的
[01618.86-01619.64] 也可以就是
[01619.64-01623.16] 所謂把房子做給你做
[01623.16-01624.48] 一個月多少錢
[01624.48-01625.52] 電器給我打款
[01625.52-01626.68] 我說OK沒有問題
[01626.68-01628.04] 這個時候我們說了
[01628.04-01628.88] 小於六月
[01628.88-01630.72] 可以書面可以扣頭
[01630.72-01632.56] 如果是超過六月
[01632.56-01635.20] 就是你的租利期是在六個月以上
[01635.20-01637.68] 這個時候你的形式只能是什麼
[01637.68-01639.72] 只能是書面合同
[01639.72-01642.28] 這種形式只能是書面合同的
[01642.28-01643.40] 如果在這裡面
[01643.40-01644.48] 大眾業六個月
[01644.48-01646.24] 你是應當簽訂書面合同
[01646.24-01647.56] 而沒有簽訂的話
[01647.56-01648.96] 這個時候就示威什麼
[01648.96-01651.04] 是为不定期阻礼
[01651.04-01653.20] 做老师不定期阻礼就不定期阻礼办
[01653.20-01653.84] 还有啥呀
[01653.84-01654.56] 大注意呀
[01654.56-01658.36] 不定期阻礼它其实是没有办法更好的保护
[01658.36-01661.04] 我们所说的这个成组人的利益的
[01661.04-01662.40] 因为我们的阻礼合同
[01662.40-01663.88] 按照期限来画分的话
[01663.88-01666.80] 可以画合为定期阻礼和不定期阻礼
[01666.80-01668.80] 定期阻礼就是明显给你写上了
[01668.80-01671.04] 你从几月几号租到几月几号
[01671.04-01673.48] 而不定期阻礼的话就是我们所说的
[01673.48-01677.24] 已经超过你明明在这个时候要租期超过6月
[01677.24-01679.84] 但是你应前定是什么 没有前定是什么
[01679.84-01681.24] 这个不定期租令的话
[01681.24-01685.44] 就意味着双方可以随时解除合同
[01686.64-01693.44] 就是双方可随时解除合同
[01697.84-01699.44] 双方可以随时解除合同
[01699.44-01701.44] 如果双方可以随时解除那件意味着
[01701.44-01702.44] 对于出作人来说
[01702.44-01704.84] 你在这个房子住的还挺感情的
[01704.84-01706.24] 对外面房子住了好友月了
[01706.24-01707.04] 你都感觉
[01707.04-01709.04] 还有太喜欢这房子死不得走了
[01709.04-01710.64] 这个时候他突然说
[01710.64-01711.14] 我不足了
[01711.14-01712.04] 明天就搬走了
[01712.04-01713.14] 只打你个错数不及
[01713.14-01714.64] 这种情况是有可能的
[01714.64-01715.54] 那你这种情况
[01715.54-01715.56] 这种情况
[01715.56-01717.24] 能不能说他比约了
[01717.24-01718.14] 只能不行的
[01718.14-01722.64] 因为他双方可以随时解除合同
[01722.64-01723.54] 所以在这里面
[01723.54-01724.44] 大家要注意一下
[01724.44-01725.44] 这是我们所说的
[01725.44-01727.34] 我关于租栗的期限
[01727.34-01728.14] 租栗的期限
[01728.14-01729.44] 我们要知道第一个
[01729.44-01731.74] 最长是20年
[01731.74-01732.84] 超无部分无效
[01732.84-01734.74] 第二个租栗的形式
[01734.74-01737.94] 小于6月可以扣头可以收灭
[01737.94-01739.42] 超过6月1.2元
[01739.42-01741.70] 幽数面不数面的不定气租力
[01741.70-01743.86] 双方可以随时解冲合同
[01743.86-01745.34] 这个就是租力合同
[01745.34-01747.46] 它的期限和形式
[01747.46-01750.38] 租力期间最为常见的一个点就是什么
[01750.38-01751.86] 就是在租力期间
[01751.86-01753.94] 它把你的租力物卖出去了
[01753.94-01756.10] 这个时候你还想不想要
[01756.10-01758.10] 我们所说的这种成租的权力
[01758.10-01759.94] 这个时候是要有一个点
[01759.94-01762.10] 就做买卖不破租力
[01762.10-01763.38] 在买卖不破租力当中
[01763.38-01766.20] 他说租利物在租利期间发生所有全边动的
[01766.20-01767.34] 你把所有全发出来
[01768.54-01770.80] 在租利期间发生所有全边动的叫做
[01770.80-01773.88] 不影响租利合同的效力
[01773.88-01775.42] 不影响租利合同的效力
[01775.42-01777.72] 也就是我们常说的买卖不测租利
[01777.72-01779.26] 我住的房子呢
[01779.26-01781.80] 租的房子呢结果租到一半时候他把房子卖了
[01781.80-01782.84] 他要求我搬出去
[01782.84-01783.86] 可不可以
[01783.86-01784.62] 不可以
[01784.62-01787.18] 这种就叫做我们所说的所有全
[01787.18-01788.98] 变动不影响合同效力
[01788.98-01791.54] 到这呢有个同学可能就点梦圈了
[01791.54-01797.00] 说老师,我好像之前记得有什么破族令的情况来着
[01797.00-01807.14] 大注意一下,这里面我们强调的是什么,是所有权,变动,买卖不破族令,除分的是所有权,我们前面学到那个什么,是底压权
[01809.74-01811.74] 底压破不破族令
[01813.64-01816.44] 要怎么办,要事情快儿定啊
[01816.44-01825.64] 对不对 我说了如果是先租后压你的底下全设立在后
[01825.64-01828.84] 这个时候能不能破族脸这个时候是不破族脸的
[01828.84-01831.64] 如果是先压呢 已经先底下出去了
[01831.64-01834.84] 你明明知道人家的底下登记套全租争义你还去做
[01834.84-01837.04] 这个时候破破族脸 破族脸
[01837.04-01839.74] 而我这里的买外部破族脸强调什么所有权点
[01839.74-01841.24] 我是把这个东西卖出去了
[01841.24-01842.44] 而不是底下出去了
[01842.44-01845.24] 所以在这里大家知道我们在房屋成族的时候
[01845.24-01848.08] 買賣不破租利買那不是租利
[01848.08-01850.84] 所以發生所有權變動不影響原租利合同的效率
[01850.84-01853.24] 也就是說它把這個房子轉手賣給誰
[01853.24-01854.44] 你都可以怎麼樣
[01854.44-01856.52] 你都可以住在這個房子當中
[01856.52-01858.92] 至租期接著
[01858.92-01860.60] 所以在這裡買賣不破租利
[01860.60-01862.00] 這個點比較簡單
[01862.00-01863.32] 這個看一下就可以了
[01863.32-01865.32] 這是買賣不破租利
[01865.32-01868.84] 那我們在前面講到的無論是租利合同的概念
[01868.84-01871.80] 還是我們講到了租利合同的期限和形式
[01871.80-01873.48] 還是強調買賣不破租利
[01873.48-01875.72] 它其实都有点类似一个大的原则
[01875.72-01877.60] 它是由于所有族令
[01877.60-01879.40] 你的这个族令可以是动产
[01879.40-01880.52] 可以是不动产
[01880.52-01882.00] 可以是动产当中的
[01882.00-01883.24] 我们所说的叫车
[01883.24-01884.76] 戒指衣服
[01884.76-01886.84] 十有什么过距什么难道
[01886.84-01887.76] 啥都可以做
[01887.76-01890.64] 有可能是不动产当中的土地和房屋
[01890.64-01891.68] 这种情况之下
[01891.68-01892.12] 我们就知道
[01892.12-01895.40] 族令河通它的具体表现形势是比较多的
[01895.40-01897.04] 而我们在欲常生活当中
[01897.04-01898.70] 最为常见的一种族令和
[01898.70-01899.84] 从就是什么族令
[01899.84-01902.04] 就是我们所说的房屋族令
[01902.04-01905.80] 那今天我們就從原本的租利河通的紅官視角
[01905.80-01910.48] 轉移到我們所說的其中的一種租利形式就是防務租利
[01910.48-01913.92] 那我們來看一下有關第四個點就叫做防務租利河通
[01913.92-01915.56] 在防務租利河通當中
[01915.56-01919.36] 第一個點他就給到了防務租利河通無效的情況來看一下
[01919.36-01923.16] 說未就未取得建設工程規劃學者
[01923.16-01926.48] 或未按照建設工程規劃學者中規定有建設防務的
[01926.48-01928.92] 與重租人定立的租利河通怎麼樣
[01928.92-01931.84] 無效也是你根本都沒有相當的資質
[01931.84-01934.66] 你自治都没有你就跟我去签订阅族立合同
[01935.16-01940.54] 违法无效明白了吧所以在这里给大家注意一下它是属于违法无效的
[01941.56-01946.18] 所以这个点我们要明确我们要明确所以首先第一个大家知道
[01946.18-01951.30] 未取得相似族立合同的合同无效它属于违法无效这个点了解一下就行了
[01951.30-01953.08] 在这不做过多强调了
[01953.34-01956.68] 第二个点就是在族立当庄可能会数据到一个问题
[01956.68-01959.48] 这个问题就是一防数捉的情况
[01959.48-01961.48] 如果是为什么会出现一房数租
[01961.48-01963.32] 因为我想赚钱
[01963.32-01965.08] 我在租房的时候大家都知道
[01965.08-01966.44] 我们最讨厌的就是什么
[01966.44-01968.68] 最讨厌的就是长房租的问题
[01968.68-01971.08] 但是房东最喜欢就是长房租了
[01971.08-01971.48] 对吧
[01971.48-01972.80] 所以他就给你租房租的
[01972.80-01974.20] 现在就给你长房租
[01974.20-01975.16] 说你看
[01975.16-01976.60] 说我的这个地方
[01976.60-01978.04] 这段时间我又看了一个电视
[01978.04-01979.40] 我不知道他也没有看过
[01979.40-01981.56] 我有一个时候就比较喜欢拘据
[01981.56-01983.52] 这是钱一段时间谁
[01983.52-01984.64] 那个张小匪
[01985.72-01987.84] 和黄小明
[01987.84-01992.08] 他们两个电视局演了一个电视局叫做好事成双吧
[01992.08-01995.80] 然后那里面有一个女孩子长特别漂亮
[01995.80-01998.48] 就是当时演一类有梦里面那个女生
[01998.48-02001.72] 然后他在那里面演了一个女生叫做江喜
[02001.72-02003.36] 然后他就是那种租房子的
[02003.36-02006.04] 然后有一天他就接到了这个房东的电话
[02006.04-02007.64] 要给他去掌房租
[02007.64-02008.96] 然后这个房东这个他说
[02008.96-02010.80] 说如果你不只这个房租
[02010.80-02011.60] 你不能接受的话
[02011.60-02013.24] 我就把这个房子组给别人了
[02013.24-02014.28] 然后这小姑娘就说
[02014.28-02015.24] 说还能没有办法办
[02015.24-02016.72] 说阿姨你看怎么怎么样的
[02016.72-02017.96] 人家那边就把电话挂了
[02017.96-02020.20] 后来他没有办法就被货接受了
[02020.20-02021.96] 这个长房价的房租
[02021.96-02023.56] 对吧 这是这样一个情况
[02023.56-02026.20] 那现实生活当中正情况也是比比接市的
[02026.20-02027.36] 这时候我租这个房子
[02027.36-02029.08] 如果这个房子的地段会比较好
[02029.08-02031.04] 而且它有比较强手的话
[02031.04-02033.96] 它就很有可能把房子终于我一个月两千
[02033.96-02034.64] 然后两千之后呢
[02034.64-02035.52] 突然有人跟他说
[02035.52-02036.68] 说爱国想做你的房子
[02036.68-02037.72] 因为给你三千
[02037.72-02040.28] 那你作为房子你你把房子终于谁
[02040.28-02042.64] 你人把房子终给嫁高者
[02042.64-02045.16] 所以就可能会出现一个房子
[02045.16-02047.96] 签定了好几份租栗合同的情况
[02047.96-02049.36] 这个时候就叫做什么
[02049.36-02051.96] 这个时候就叫做一防数租
[02051.96-02053.76] 那一防数租怎么去处理呢
[02053.76-02055.48] 我们要从两个维度去处理
[02055.48-02056.76] 而它考试的时候呢
[02056.76-02058.24] 也考察两个维度
[02058.24-02060.96] 第二个维度呢就是在一防数租当中
[02060.96-02063.16] 它有多份租栗合同对吧
[02064.16-02066.36] 那它有多份租栗合同
[02068.36-02070.16] 那这个时候我们就要判断
[02070.16-02072.56] 这多份租栗合同有没有效
[02072.56-02074.96] 我们前面在大家讲到明示法律行为的时候
[02074.96-02078.30] 民事法律行為無效的情況只有那麼幾個
[02078.30-02081.60] 要麼就是違反法律或行政法規的強制行規定
[02081.60-02084.86] 要麼就是違背工序兩俗無效
[02084.86-02086.06] 要麼就是什麼呢
[02086.06-02089.00] 要麼就是我們所說的惡意、券、通、無效
[02089.00-02092.20] 要麼就是虛假的意思表示無效
[02092.20-02095.38] 要麼就是無明是行為能力人所實施的
[02095.38-02096.40] 民事法律行為無效
[02096.40-02098.90] 也就是我們所說的強、公、主、意、惡
[02098.90-02100.30] 只有這一集這種情況
[02100.30-02101.96] 它才是無效的謙行
[02101.96-02106.44] 你族令河头有没有规定在无效的民事法律行为当中
[02106.44-02108.32] 千多份族令河头没有
[02108.32-02111.44] 所以它既然不是无效的民事法律行为
[02111.44-02114.28] 就意味着在这里面我们所说的
[02114.28-02118.44] 他哪怕和二十个人就在一个房子签订了二十份族令河头
[02118.44-02121.56] 那么OK 这二十份族令河头都是什么
[02121.56-02123.44] 都是合法有效的
[02127.72-02130.12] 这二十份族令河头都是合法有效的
[02130.12-02131.66] 那这个就是书上所说的
[02131.66-02133.00] 说同意房屋
[02133.00-02135.24] 电有多分有效株力和同烂
[02135.24-02137.54] 那在这里多分有效株力和同
[02137.54-02139.84] 就因为他们都是合法有效的呗
[02139.84-02141.52] 那这个时候比如说
[02141.52-02143.68] 就我还是这个房子呗你足给了我
[02143.68-02145.22] 你把你的房子给了我
[02145.22-02146.76] 又把你的房子足给了小A
[02146.76-02147.78] 又把你的房子给了小B
[02147.78-02149.32] 做给了小C做给了小弟
[02149.32-02150.86] 你就是想找一个
[02150.86-02152.90] 既然自己高的把它组织去
[02152.90-02153.92] 你这个顺序赚钱
[02153.92-02156.48] 那这个时候你跟我们分别签讨了株力和同
[02156.48-02160.08] 等到去做这个房子的时候我们都拿着株力和同去找到你
[02160.08-02163.04] 那谁又先成组这个河通呢
[02163.04-02166.44] 那这个时候是不是就会出现一个什么排序的问题啊
[02166.44-02169.44] 那这个时候如何确定谁是最终的成组人呢
[02169.44-02171.36] 那这个时候就会睡到一个排序问题
[02171.36-02173.12] 所以第二个就是一房数租
[02173.12-02175.92] 他比较长考的时候是在排序上
[02175.92-02177.68] 他在考的这个排序当中啊
[02177.68-02178.44] 他注意下
[02178.44-02179.36] 我们所说的
[02179.36-02182.28] 如果说所有的人在这个都主张
[02182.28-02184.72] 我们所说的成组人的这样一个全一的话
[02184.72-02185.84] 我们谁用先呢
[02185.84-02188.56] 大家注意下是合法战友是最先的
[02190.08-02191.80] 合法戰有是最先的
[02191.80-02194.68] 如果說你跟我之前訂了租利合套
[02194.68-02197.52] 然後跟小A簽訂了什麼呢
[02197.52-02198.60] 簽訂了租利合套
[02198.60-02199.92] 而且沒了小一說
[02199.92-02201.32] 為了保證租利合套有效
[02201.32-02202.60] 他還帶著女
[02202.60-02204.84] 去在租利合套當中去做了什麼
[02204.84-02207.32] 去做了我們所說的這個登記
[02207.32-02209.56] 就是在這個合同上一個做了一個登記
[02209.56-02210.44] 做了備案
[02210.44-02211.72] 而我說了這個合同
[02211.72-02213.40] 這個租利案房屋就是你
[02213.40-02215.44] 然後第三一個人比如說給小貝
[02215.44-02217.76] 你給小貝是繼簽訂了租利合套
[02217.76-02219.04] 同時在這裡面
[02219.04-02221.12] 你还把房子交给了这个小笔
[02221.12-02222.72] 那这种情况之下怎么办
[02222.72-02224.60] 那小笔都已经搬进去了
[02224.60-02226.36] 那我们就优先考虑什么
[02226.36-02228.04] 优先考虑战友者的利益
[02228.04-02229.36] 所以在这里面大家注意下
[02229.36-02231.28] 首先是谁先搬进去
[02231.28-02232.52] 谁是要成读人
[02232.52-02233.60] 所以合法战友
[02233.60-02234.32] 优先
[02234.32-02235.20] 第二个是什么
[02235.20-02237.40] 如果大家都签订了族利合途
[02237.40-02239.00] 那这些族利合途的效率
[02239.00-02239.72] 怎么去看
[02239.72-02241.92] 就是被案登记者优先
[02243.64-02244.64] 签了10分
[02244.64-02245.72] 其中只有1分
[02245.72-02247.96] 我们所说的去进行了相了什么
[02247.96-02248.76] 族利登记
[02248.76-02250.30] 那这种情况之下
[02250.30-02251.84] 这一份合同当中
[02251.84-02252.70] 登记的这个人
[02252.70-02254.14] 他就确定为成组人了
[02254.14-02255.16] 所以在这里叫做
[02255.16-02256.20] Ban登记有限
[02256.20-02257.72] 如果在这里面
[02257.72-02259.26] 都没有合法这种者
[02259.26-02260.54] 谁都没有搬进房子
[02260.54-02262.06] 谁都没有做
[02262.06-02262.64] Ban登记
[02262.64-02263.36] 这种是怎么办
[02263.36-02264.64] 那就是成立在先办
[02264.64-02266.94] 合同成立在先的
[02269.00-02270.40] 合同成立在先的
[02270.40-02271.80] 确定为房子的什么
[02271.80-02272.56] 成组人
[02272.56-02274.88] 合同成立在先的确定为场方座成组人
[02274.88-02275.64] 比如说
[02275.64-02277.28] 你在1月1号
[02277.28-02278.72] 别过千了合同
[02278.72-02282.12] 然后在1月2号给谁给小A钱的合头
[02282.12-02284.12] 在1月3号给小B钱的合头
[02284.12-02286.52] 我们三个谁也没搬去访责
[02286.52-02289.52] 谁也没有多长个新闻说去进行一个族令登记
[02289.52-02294.12] 那这个时候最终我们三个都拿着这个合头找你说访责给我给我给我
[02294.12-02295.72] 那这时候访责做给谁
[02296.12-02296.92] 组给我
[02296.92-02299.52] 因为我的族令合头是成立在先的
[02299.52-02301.92] 所以在这里面他会考察一个排序的问题
[02301.92-02303.92] 如果他这个地方喜欢出什么
[02303.92-02305.52] 喜欢出理解行的题目
[02305.52-02307.92] 同学们喜欢出理解行的题目
[02307.92-02313.54] 在李典提目当中,就是说,谁是最终房子的成组人,他就可以给你设定的特别复杂。
[02313.54-02322.64] 但是我们做提的时候,叫话咱没见,就是先找战友,没有战友找登记,既没有战友没有登记,找时间,找时间。
[02322.64-02328.74] 这个就是一房数捉,那一房数捉只能把你的房子猪给一个人,那剩下的那些人怎么办呢?
[02328.74-02332.46] 这个时候其他的成族人可以解除合同
[02332.46-02335.42] 同时也可以要求你承担相的
[02335.42-02336.50] 维维责任
[02336.50-02338.78] 所以这个时候就是一房数租
