[00000.00-00002.82] 好的 小伙伴们讲完了
[00002.82-00004.34] 新思想的总认之后
[01171.48-01173.20] 所以他更多走的是什么
[01173.20-01174.36] 走的是量
[01175.16-01176.08] 那么也买这个意思吧
[01176.08-01177.52] 就是你原本中国
[01177.52-01179.32] 没有享用的经济发展
[01179.32-01179.64] 对吧
[01179.64-01180.64] 你改革开放之处
[01180.64-01182.00] 你能试试是啥都没有
[01182.00-01183.44] 那时候我们最开啥搞
[01183.44-01184.44] 计划经济了
[01184.44-01185.76] 所以那时候试试没有
[01185.76-01188.08] 那没有我们要做的时候就是让它有哦
[01188.08-01189.80] 但一大这个东西有了之后
[01189.80-01191.52] 你就不单单只是一口速度了
[01191.52-01193.36] 因为我们知道一口速度发展
[01193.36-01195.68] 它会给我们带来很多的什么避端
[01195.68-01197.80] 那你看这个避端就暴露在我刚才说了
[01197.80-01200.12] 人口红利下降资源、护击
[01200.12-01203.08] 而且最正确的这种产业其实不在中国的
[01203.08-01206.76] 我们以前一口速度是因为我们有足够的要素能够往旅去投
[01206.76-01208.84] 比如说你有足够的人就把人对上去
[01208.84-01210.36] 那又说咱人口多呀
[01210.36-01212.72] 但现在中国人口红利没有了
[01212.72-01214.96] 中国的劳动力人口可不比其他
[01214.96-01216.76] 地區的勞動令人口便宜
[01216.76-01220.60] 那這時候對於在中國投資生產的這樣的一個起來說
[01220.60-01222.20] 這不是一個最有選擇
[01222.20-01223.60] 而且我們有沒有發現
[01223.60-01225.20] 我們確實是靠速度增長
[01225.20-01226.84] 而實實是靠藥素體聲
[01226.84-01229.28] 那我們那個時候經濟增長速度很快
[01229.28-01230.76] 投入去了很多藥素
[01230.76-01234.36] 我們看斯中國的經濟好像是發展的很快很賺錢
[01234.36-01236.36] 但最賺錢的領域不在中國
[01236.36-01237.92] 你比如說大家用的之前
[01237.92-01239.52] 咱們現在有國惑華為嗎
[01239.52-01241.40] 華為之前的話我們都知道
[01241.40-01244.56] 在中國市場當中手機照率最大的應該
[01244.56-01247.80] 比如说像那种相对来说 比较高端的那种品牌就是苹果了
[01247.80-01249.40] 对吧 现在苹果也卖了很贵
[01249.40-01252.52] 你看那时候一个苹果手机在中国的组装
[01252.52-01254.80] 中国只能拿到10%的利润
[01254.80-01257.16] 但是组装的工作是在中国完成的
[01257.16-01260.16] 中国只能拿到90%的利润
[01260.16-01260.96] 去到了哪呢
[01260.96-01263.36] 生下90%的利润就去到了美国
[01263.36-01267.08] 中国干的最累的活最多的活只拿到了40%
[01267.08-01271.08] 那就意味着这种经济发展模式对中国吃不油好的
[01271.08-01276.04] 所以在实现经济速度发展让中国的经济体量有么之后
[01276.04-01278.60] 我们接下来要考虑的下一部问题就是
[01278.60-01281.32] 如何让中国经济发展的更幼
[01281.32-01285.24] 如何我们能从原本的这种市场的运行当中
[01285.24-01288.92] 推而出让中国的经济有一个属于自己的发展模式
[01288.92-01291.96] 所以你看我们原本只是追求速度直至追求量
[01291.96-01295.96] 但是问题就是在于你单纯的追求量的这个过程当中
[01295.96-01300.28] 它能不能直抄就是你走要素生产行制有道路
[01300.28-01302.84] 他懂能支撑中国接下来再往后走
[01303.10-01303.86] 答案就是什么
[01304.12-01305.14] 答案就是能诺
[01305.14-01308.98] 就是我们单纯的这首速度是不够的我们还有这球经济发展的什么
[01309.24-01311.54] 质量于是我们又提到了什么发展
[01313.08-01316.66] 不走速度发展就要做质量发展于是我们就提到了叫做
[01316.92-01321.26] 高质量发展你说老实质量做质量本那为什么要提到高质量发展呢
[01321.52-01322.56] 原因很简单
[01322.82-01325.36] 同一来看一下为什么要提到高质量发展
[01325.62-01329.72] 就是因为我们说了改革开放这几年一直到2012年之前
[01329.72-01332.80] 老百姓最明顯的變化就是他的腰包是真古了
[01332.80-01334.48] 你這個你是不得不承認的
[01334.48-01334.88] 對吧
[01334.88-01336.88] 從最開始的時候到平那個時期
[01336.88-01339.16] 人均基地批只有40美元一個人
[01339.16-01341.24] 到了現在我們所說的整體上
[01341.24-01342.52] 國家經濟的發展
[01342.52-01344.88] 那人均那都是上萬元的
[01344.88-01347.40] 那這個時事沒有辦法去對比的
[01347.40-01349.00] 就是老百姓他確實有錢了
[01349.00-01350.76] 老百姓一旦有錢的時候
[01350.76-01352.68] 咱們前面再講指著矛盾的時候
[01352.68-01353.56] 你就明確了
[01353.56-01354.72] 老百姓一旦有錢了
[01354.72-01357.60] 他還僅僅只局限於我們所說的
[01357.60-01360.36] 一般的我吃的上穿的上去行了吗
[01360.36-01361.00] 不是了
[01361.00-01364.64] 我们就从日益增长的物质文化需要转向了什么
[01364.64-01365.80] 美好生活需要
[01365.80-01368.32] 所以才会出现我们前面所说的
[01368.32-01369.48] 说他有钱
[01369.48-01370.56] 他不在中国花
[01370.56-01372.72] 他要去美国日本买个满统个
[01372.72-01375.68] 他要去韩国拿一个电风包回来
[01375.68-01377.12] 这东西都中国都有
[01377.12-01378.64] 但是为什么不在中国买呢
[01378.64-01380.48] 这是因为他产品质量跟不上
[01380.48-01383.32] 有时当经济得以相应的发展的时候
[01383.32-01384.04] 我们说了
[01384.04-01386.52] 从速度来看中国的经济体量变得好的时候
[01386.52-01389.08] 他带来了必然是老百姓的腰包也鼓了
[01389.08-01390.88] 而老百姓的腰包鼓了之后
[01390.88-01395.16] 他在这个时候他就不单单只举现于我有这个东西
[01395.16-01397.36] 我要用的怎么样更好
[01397.36-01399.24] 所以有为什么要提到高制法展
[01399.24-01401.84] 因为高制法展要解决的是什么问题
[01402.64-01405.40] 一方面解决中国经济发展模式的问题
[01405.40-01410.80] 另一方面解决人民美好生活需要的问题
[01410.80-01418.64] 另一方面解决人民美好生活需要的问题
[01418.64-01422.68] 所以在这里面我们才说了高质量的发展跟得目的是为了谁
[01422.68-01424.52] 跟得目的是为了人民
[01424.52-01426.52] 其实是从这个角度来论数的
[01426.52-01427.52] 所以大家注意一下
[01427.52-01430.72] 这是我们所说的这做高质量发展的第一个内容
[01430.72-01432.28] 为什么要实现高质量发展
[01432.28-01437.72] 因为它解决的是社会主要矛盾当中的需求的问题
[01437.72-01439.16] 所以我们才先说了
[01439.16-01443.12] 当铁社会的主要矛盾是人民日增长的美好生活需要
[01443.12-01447.68] 同不平衡,不充分发展之间的矛盾
[01447.68-01449.04] 对吧,我们前面说了
[01449.56-01450.84] 我就不写不充分了
[01450.84-01455.04] 我们前面说了美好生活需要是需求一侧的问题
[01455.04-01456.76] 就是老百姓这一边的需求问题
[01456.76-01458.36] 但老百姓提出相当的需求
[01458.36-01459.60] 能不能跟老百姓说
[01459.60-01461.24] 说你每一天怎么死人那么多
[01461.24-01462.40] 臭臭过得了
[01462.40-01464.04] 你还真的要要那闻
[01464.04-01465.00] 是有就行了
[01465.00-01466.36] 能不能跟老百姓说这话
[01466.36-01467.60] 不行,坏话说
[01467.60-01469.32] 你不能让他的需求降级
[01469.32-01471.18] 那你不能让他的需求降级的话
[01471.18-01472.98] 美好生活需要是不能改变的
[01472.98-01474.00] 那你只能改什么
[01474.00-01475.28] 你只能改共级吗
[01477.08-01477.58] 对吧
[01477.58-01479.48] 你不能让消费者这一段降
[01479.48-01480.40] 那你就改成
[01480.40-01481.68] 你改生产者那一段
[01481.68-01482.96] 生产者这一段总办
[01482.96-01484.76] 你要提高产品治量
[01484.76-01486.54] 你要提高产品治量咱们说了
[01486.54-01488.08] 产品治量
[01488.08-01490.64] 提高的这一段是共级这一段的问题
[01490.64-01492.24] 所以小二十些高级让发展
[01492.24-01493.96] 你必须改共级端吧
[01493.96-01494.72] 对不对
[01494.72-01495.52] 必须改共级
[01495.52-01496.52] 共级就生产端吧
[01496.52-01499.48] 因为刚才说了,你不能让消费者去降低它的需要
[01499.48-01502.12] 所以只能改哪一段,你只能改生产端
[01502.12-01504.48] 那你既然只能改生产这一段的话
[01504.48-01508.04] 那我们说了,那在生产这一段时间的改革就要什么改革
[01509.32-01512.12] 同学一定就知道了,在生产这一段的改革
[01512.12-01515.44] 就叫做供级彻结构性改革吗?
[01515.44-01518.60] 所以我们说了,实现高制量发展要实行供级彻
[01518.60-01520.60] 供级这一彻就是生产这一段
[01520.60-01523.16] 因为需求这一段改不了已经成了,对吧
[01523.16-01524.60] 所以要实行供级彻
[01524.60-01527.48] 共理所怎么改革结构性改革
[01527.48-01529.84] 若老是什么叫做结构性问题啊
[01531.48-01532.28] 很简单
[01532.28-01533.44] 我来给大家说一下
[01533.44-01535.92] 你看所谓的结构性问题
[01535.92-01538.48] 它其实在我们生活当中体现的中什么
[01538.48-01540.96] 你看中国的经济中速发展的很快
[01540.96-01542.52] 中国的经济体量很大
[01542.52-01545.32] 所以中国的产品数量多不多
[01545.32-01547.32] 中国的产品数量一定很多的
[01547.32-01549.24] 中国的产品数量多
[01549.24-01552.36] 但是在最开始的时候产品数量多
[01552.36-01554.72] 但是老百姓在国内买东西
[01554.72-01556.16] 不在这几年还好
[01556.16-01556.96] 你回归
[01556.96-01558.24] 你看到像这几年
[01558.24-01559.04] 我们会发现
[01559.04-01559.76] 老百姓
[01559.76-01560.32] 怎么说
[01560.32-01561.72] 咱们中国的国人
[01561.72-01563.84] 对于国货的这种支持的太多
[01563.84-01565.08] 真的变得非常好
[01565.08-01566.48] 就今年来看的话
[01566.48-01567.68] 你看我们支持过什么
[01567.68-01569.36] 你看我们支持过活力28
[01569.36-01570.80] 就是我们说了
[01570.80-01571.56] 花心子
[01571.56-01572.80] 这个事情一旦出现的时候
[01572.80-01573.88] 花心子哪里跪了
[01573.88-01574.12] 对吧
[01574.12-01575.72] 你越要不要考虑一下自己的问题
[01575.72-01576.68] 就是这个问题
[01576.68-01577.52] 但出现说
[01577.52-01579.80] 你看大家都转头去支持其他国会
[01579.80-01580.80] 活力28
[01580.80-01581.32] 对吧
[01581.32-01585.64] 还有子成奶也就是那个太子奶搭配去关注一下对吧
[01585.64-01588.44] 然后等到这些问题说直观间被几包了 等到
[01588.44-01592.92] 你会发现像现在的这种平价的比较便宜的大部分入国货
[01592.92-01594.88] 我们都会发现他治疗怎么样
[01594.88-01597.24] 很好 价格很便宜
[01597.24-01598.96] 于是我们转头去支持国货
[01598.96-01599.96] 对吧 这是在现在
[01599.96-01602.24] 但早几年的时候 这些东西有没有没有
[01602.24-01605.04] 早几年时候是这些东西 量很多
[01605.04-01606.92] 但是中国老百姓都六千了
[01606.92-01608.64] 他就觉得他的治疗怎么样
[01608.64-01610.96] 治疗相对来说比较差
[01610.96-01613.78] 所以你看能够满足人们需要的没有
[01613.78-01615.06] 你才转头出国满
[01615.06-01617.60] 你看我们中国有供结
[01617.60-01620.00] 供结的量多单供结的赤量
[01620.00-01620.70] 跟不上
[01620.70-01623.12] 你这话说你这种东西是供需作为的
[01623.12-01625.44] 你生产出来的东西消费者不满
[01625.44-01627.92] 所以现在供结生产这一段要改
[01627.92-01629.28] 怎么改结构性改革
[01629.28-01631.68] 把原本的量上的问题
[01631.68-01634.32] 维持做把赤量的问题提升上来
[01634.32-01636.80] 所以在这里叫供结策结构性改革
[01636.80-01639.12] 所以实现高质发展以谁为主线
[01639.12-01643.04] 共底测結構性改革為主線
[01643.04-01644.16] 原因就是在這
[01644.16-01645.04] 所以在這裡
[01645.04-01647.28] 當然就能過去明確它的內含了
[01647.28-01648.40] 所以在這
[01648.40-01649.44] 我就把這個擦掉
[01649.44-01651.48] 這個邏輯框架必須要旅順清楚
[01651.48-01653.88] 你就把這個邏輯框架順清楚了之後
[01653.88-01655.48] 你去再去做一些
[01655.48-01658.92] 有關於綜合性的像國考生考這一類的題目的時候
[01658.92-01660.28] 就沒有什麼問題了
[01660.28-01661.32] 所以這是第二個
[01661.32-01662.08] 我們要知道
[01662.08-01663.40] 實現高質量發展案
[01663.40-01664.72] 它必須要解決是
[01664.72-01665.92] 共底测的問題
[01665.92-01667.48] 就生產這段問題
[01667.48-01670.04] 所以他叫做共级测级约改革为主线
[01670.04-01671.06] 第三个问题呢
[01671.06-01673.24] 就在这里有很多人就会认为说老师
[01673.24-01675.40] 既然叫做高质量发展
[01675.40-01676.60] 是不是就意味着
[01676.60-01678.44] 他只看质不看亮呢
[01678.44-01679.32] 其实不是的
[01679.32-01680.20] 同们来看一下
[01680.20-01682.64] 高质量发展一方面我们要看什么
[01682.64-01685.00] 我们要注重商品的质
[01685.00-01686.68] 因为他要实现高质量
[01686.68-01689.00] 对吧满足人们日正冷的美好生活需要
[01689.00-01690.00] 但是另一方面
[01690.00-01691.72] 他毕竟还是要实现什么
[01691.72-01692.56] 发展
[01692.56-01694.00] 那发展要不要亮
[01694.00-01695.08] 当然要亮
[01695.08-01697.36] 所以在这个时候我们才会提到
[01697.36-01701.08] 我们要在整个高纸发展过程当中要做到什么
[01702.22-01706.02] 要做到质的提升和量的扩展
[01706.58-01708.12] 我把它写在旁边 好吧
[01710.68-01712.46] 这个我本来想写的一个括号里
[01712.46-01713.86] 但现在看没有办法
[01713.86-01716.04] 同时盖得到我的这个意思就行了
[01716.30-01720.40] 第1个就是第2个就是关于高纸发展的第3个
[01720.40-01721.16] 就是在
[01722.44-01723.46] 叫做停高
[01723.72-01724.50] 制
[01724.50-01728.50] 至得稳不提升
[01730.50-01733.50] 实现至得稳不提升
[01733.50-01735.50] 因为我们要实现高质量发展
[01735.50-01738.50] 所以要至同时要实现量的什么
[01738.50-01740.50] 稳不增长
[01745.50-01746.50] 稳不增长
[01746.50-01747.50] 不增长
[01750.22-01753.06] 你知道要提升的是产品的治量
[01753.06-01754.54] 但是毕竟要高级了发展
[01754.54-01755.62] 因为发展不能丢
[01755.62-01758.22] 国家受负主义发展的根本任务
[01758.22-01759.66] 就是解放发展生产力
[01759.66-01762.90] 所以你还要实现量的增长
[01762.90-01764.66] 或者是叫量的擴张
[01764.66-01766.86] 都可以能够明白这个意思就行了
[01766.86-01768.58] 他有时候不一定会表输原文
[01768.58-01769.34] 所以在这里面
[01769.34-01771.22] 我们就把整个高级了发展
[01771.22-01772.98] 去给他整体上
[01772.98-01773.66] 就在这里
[01773.66-01776.10] 他的产生以及他整体的发展模式
[01776.10-01777.64] 在这就给大家说清楚了
[01777.64-01778.78] 那我们刚才有说了
[01778.78-01782.34] 说高产发展对现在的中国发展来说中目中央
[01782.34-01783.28] 太重要了
[01783.28-01784.62] 因为它一方面抓制
[01784.62-01786.78] 一方面抓量解决了共区的问题
[01786.78-01789.46] 于解决了中国经济发展循环的问题
[01789.46-01791.22] 所以在这里面我才会提到
[01791.22-01792.94] 高产发展有什么地位呢
[01792.94-01795.22] 在整个20大之前大住一下
[01795.22-01796.94] 在整个20大之前不说了
[01796.94-01800.46] 高产发展是国家经济发展的一个主题
[01800.46-01802.46] 也就是国家所有的经济发展
[01802.46-01804.26] 都是为让高质量展开的
[01804.26-01804.98] 所以你看
[01804.98-01806.62] 因为有了高质量发展
[01806.62-01808.82] 所以才有了共启测球性改革问题
[01808.82-01809.30] 对吧
[01809.30-01810.66] 因为小姐姐高质
[01810.66-01811.78] 质量发展的问题
[01811.78-01814.26] 才有了社会主要矛盾的这样的一个变化
[01814.26-01816.90] 所以那个时候经济发展是为让谁展开的
[01816.90-01818.74] 是为让高质量发展展开的
[01818.74-01820.70] 但是半岁这二十代的提出
[01820.70-01821.70] 我们就会发现
[01821.70-01824.02] 整个高质量发展它的地位
[01824.02-01826.42] 在新的时期有了新的表述
[01826.42-01828.82] 现在在整个高质量发展当中
[01828.82-01829.70] 它的地位是什么
[01829.70-01830.74] 同一面来看一下
[01830.74-01832.98] 在现在整个高质量发展当中
[01832.98-01835.22] 他的地位叫做首要任務
[01835.22-01837.50] 所以他給到第四點就是他的地位
[01837.50-01839.30] 我就在書上直接標準了
[01839.30-01840.74] 大家要去給他點通開
[01840.74-01841.38] 就OK了
[01841.38-01843.02] 那這有的是有關於
[01843.02-01844.02] 高質量發展
[01844.02-01845.14] 他相當的一個知識點
[01845.14-01846.54] 以及他的點動
[01846.54-01848.70] 所以在這裡面我們就要明確
[01848.70-01850.62] 我們所說的整個發展
[01850.62-01851.98] 以及到高質量發展
[01851.98-01852.98] 他的一個變化
[01852.98-01853.82] 以及高質量發展
[01853.82-01854.78] 要解決的什麼
[01854.78-01855.86] 要解決的問題
[01855.86-01857.02] 高質量發展就是解決
[01857.02-01858.38] 沒好生活需要的問題
[01858.38-01859.54] 你要的東西好了
[01859.54-01861.42] 我前面也拿講主要矛盾的時候解了
[01861.42-01862.22] 那麼多的例子
[01862.22-01862.74] 對吧
[01862.74-01863.98] 那你要的东西好了
[01863.98-01866.22] 现在想放设法
[01866.22-01867.78] 就从共产阶测这一端
[01867.78-01869.66] 给老百姓提供好的东西就行了
[01869.66-01870.66] 所以这叫什么
[01870.66-01871.98] 高质量发展
[01871.98-01874.58] 所以你看每一个字都不白贶
[01874.58-01875.58] 没卖这个意思吧
[01875.58-01876.34] 所以在这里面
[01876.34-01879.18] 我们就算是把高质量发展相对全面的
[01879.18-01880.82] 给大家做了一个充分的解读
[01880.82-01882.46] 大家一定要把这个罗局框架
[01882.46-01883.70] 去给它旅顺清楚
[01883.70-01886.10] 这里面可能还会隐藏一个小的考虑
[01886.10-01887.26] 这个小的考虑是什么呢
[01887.26-01889.10] 就在这同样注意一下
[01889.10-01889.86] 我们说了
[01889.86-01892.70] 在之前的时候中国的经济发展强调的是什么
[01892.70-01900.26] 強調的是速度,所以我們說從高速轉向中高速,但是大距下以前是從高速轉向中高速
[01900.26-01908.26] 以前,但是現在在考試當中,它如果還跟你提到說,當前的經濟還是什麼,中高速發展不對
[01908.26-01911.26] 只要說到現在的經濟,我們都是什麼發展
[01911.26-01914.82] 現在,我們都是高治量發展,明白?
[01914.82-01921.10] 因為在之前的會議當中,我們已經說了,說我國以有中高速發展轉向高治量發展
[01921.10-01923.10] 已经完成高质发展的转变了
[01923.10-01926.06] 所以在现在你只要看他考新思想
[01926.06-01927.98] 只要是他考新思想的内容
[01927.98-01929.54] 然后他跟你说到中共复
[01929.54-01930.54] 一律都是错的
[01930.54-01932.06] 只要是在新思想当中
[01932.06-01934.30] 自十八大以来我们的经济不断的调整
[01934.30-01935.82] 都没让谁战台
[01935.82-01937.18] 没让高质发展战台
[01937.18-01938.78] 不然他也不能叫做主题了
[01938.78-01939.82] 明白这个意思吧
[01939.82-01941.34] 所以他在现在的判断体里面
[01941.34-01942.22] 他给你去说说
[01942.22-01943.90] 我国的经济已经实现了
[01943.90-01944.94] 中共复发展
[01944.94-01946.62] 诺大陆特陆
[01946.62-01947.82] 明白了是的意思啊
[01947.82-01949.18] 所以在这里面当然明确
[01949.18-01952.14] 这是我们所说的高长方 这个点非常重要
[01952.14-01954.52] 我把前面出现的点
[01955.16-01957.02] 到现在它到邏輯变高
[01957.02-01959.52] 它要解决的问题 以及它的提出地位
[01960.46-01963.72] 我在这里 都给大家去进行了一个全片的产数
[01963.72-01966.50] 所以大家把邏輯框架取得了率率非常重要
[01966.50-01967.96] 所以现在你就能够理解
[01967.96-01970.02] 我们所说的高知道发展的问题了
[01970.02-01970.50] 对吧
[01970.50-01974.06] 好 这个就是我们所说的就做高治量发展
[01974.06-01976.26] 明确了高治量发展之后
[01976.26-01979.14] 我们接下来看下第二个内容
[01979.14-02007.46] 既然要实现高这个发展,我们说了必须要在制度框架之下,所以我们就要讲讲社会主义的基本经济制度,社会主义的基本经济制度,有且这种有且这种三个,第一个公有制,第二个,阿老分配,第三个社会主义市场经济体制,我们在10个明确里面,把公有这位主体,阿老分配主体讲得非常的清晰,因为这个地方,我给大家说了,他比较喜欢考理解行的题目嘛,对吧,所以在这个地方,我们前面也大家讲了。
[02007.46-02008.94] 收入主义市场经济体制
[02008.94-02011.22] 我们也在前面就给大家去产出过了
[02011.22-02013.62] 所以这个地方要结合前面的
[02013.62-02015.06] 10个明确去看
[02015.06-02017.70] 我在这就是把10个明确之外的
[02017.70-02019.74] 另外的高质发展的内容
[02019.74-02020.66] 拿出来给大家去
[02020.66-02021.94] 详细的说了说
[02021.94-02023.58] 所以这是我们所说的
[02023.58-02025.38] 小时先高质发展
[02025.38-02027.46] 要在制度宽价之下进行
[02027.46-02029.02] 那光有制度还不行
[02029.02-02030.18] 我们还要看一下
[02030.18-02032.66] 哪些措施能够推动高质发展
[02032.66-02034.58] 我们说了高质量发展
[02034.58-02036.46] 它是一种新的发展模式
[02036.46-02040.30] 新的发展模式就必须有新的经济理念来引力
[02040.30-02041.46] 所以我们说了
[02041.46-02043.94] 叫灌撤新发展理念
[02043.94-02046.18] 讲不讲过 什么时候讲过
[02046.18-02047.50] 10个明确 对吧
[02047.50-02048.62] 所以在这里面
[02049.26-02051.18] 我们提到了10个明确
[02051.58-02053.62] 讲到了新发展理念
[02053.62-02054.70] 第二个说了
[02054.70-02056.54] 在新的发展理念之下
[02056.54-02057.94] 小时先高制了发展
[02057.94-02060.02] 治疗问题是哪一端的问题
[02060.02-02064.26] 治疗发展的问题是在哪一端生产端
[02064.26-02067.84] 所以我们说了小时先高责发展要推动生产内的改革
[02067.84-02069.38] 最终共产品的小时先改革
[02070.66-02072.20] 共产品的小时先改革是啥
[02073.22-02073.98] 主线
[02074.24-02076.28] 办水热高责发展始终的
[02076.28-02078.86] 所以提到了共产品的小时先改革为主线
[02079.10-02080.38] 然后再来一下我们说了
[02080.38-02082.96] 第3个点就是小时先高质量发展
[02082.96-02086.52] 产品的质量必须衣服于实业经济
[02086.52-02089.60] 所以在这个时候没有提到了介绍性的话经体系
[02089.60-02091.90] 这里面有一个细节点通常注意一下
[02091.90-02093.54] 比如导耳朵是在包裹指出
[02093.54-02096.26] 所以要把經濟发展的主要力脸放在什么上
[02096.26-02097.54] 放在实际经济上
[02097.54-02100.02] 你把这句话话出来给它标注两星
[02100.02-02101.82] 也是实现高质发展
[02101.82-02103.78] 这个发展它必须有一个抓手
[02103.78-02105.50] 你不能只是说嘴上谈发展
[02105.50-02107.26] 我说还有中国经济发展老号好了
[02107.26-02109.50] 怎么发展发展的性领域呢
[02109.50-02111.10] 这个时候大家要知道
[02111.10-02114.10] 我们想要实现高质发展的重点绿育放在什么
[02114.10-02115.18] 实体经济上
[02115.18-02116.58] 说老实为啥是实体经济
[02116.58-02118.26] 因为实体经济安全
[02118.26-02119.98] 我们所看到的什么房地产
[02119.98-02121.62] 专前千年太专前了
[02121.62-02122.02] 对吧
[02122.02-02123.62] 又或者我们说之前看到的
[02123.62-02124.62] 除了房地产之外
[02124.62-02125.90] 我们还看到了一些其他的
[02125.90-02126.78] 比如说股票
[02126.78-02128.78] 这圈基金金融行业
[02128.78-02130.18] 金融经济被称率
[02130.18-02131.38] 叫做虚拟经济
[02131.38-02132.38] 大家注意一下
[02132.38-02134.30] 中国高质量发展
[02134.30-02135.30] 它必须要求
[02135.30-02136.70] 第一个稳
[02136.70-02137.74] 第二个发展
[02137.74-02141.10] 它阻止是称中国的整个经济发展的进程
[02141.10-02141.74] 这样的话
[02141.74-02142.78] 虚拟经济是不行的
[02142.78-02143.82] 因为虚拟经济
[02143.82-02145.98] 它是以实体经济为一托的
[02145.98-02148.14] 虚拟经济大多数情况之下
[02148.14-02149.46] 沒有實體經濟作為一脫
[02149.46-02150.04] 他就是什麼
[02151.04-02152.66] 他就是燈子其唱的手割
[02153.04-02154.24] 全都是泡墨
[02154.58-02156.26] 如果泡墨一旦被壓碎的話
[02156.26-02158.32] 中國經濟面臨的風險性會特別大
[02158.54-02161.14] 所以想要保證中國經濟行為之遠
[02161.14-02163.46] 評為影響他的抓手著力點
[02163.66-02165.54] 不能是虛擬經濟而是什麼
[02165.74-02166.46] 實體經濟
[02166.46-02168.46] 你又同學說老師閃實體經濟
[02168.78-02170.46] 實體經濟在生活當中常見
[02170.62-02172.18] 比如說這一版當的生產
[02172.30-02173.54] 比如說建讉公司
[02173.66-02174.06] 對吧
[02174.06-02176.74] 我們看到了日常的什麼一無小商品成
[02176.74-02178.34] 他那些商品从来来的
[02178.34-02180.02] 不都是从场子里出来的
[02180.02-02181.66] 那这些都叫做什么
[02181.66-02182.62] 实体经济
[02182.62-02183.58] 所以你看
[02183.58-02185.14] 以前的经济
[02185.74-02187.34] 在最开始发展那几年
[02187.34-02189.22] 我们经济速度发展特别快点击点
[02189.22-02190.10] 你看那个时候
[02190.10-02191.66] 比如说2012年左右
[02191.66-02194.50] 2010年到2015年之间
[02194.50-02196.30] 你看2010年到2015年之间
[02196.30-02198.86] 那个时候你爆给孩子爆针艺
[02198.86-02199.26] 对吧
[02199.26-02202.06] 不知道大家有没有在那个时间多少上个大学的
[02202.06-02203.58] 那个时候你给孩子爆针艺
[02203.58-02205.74] 你看大多数都爆什么针艺
[02205.74-02209.14] 包好着眼 包什么呢 就是和经济口相关的
[02209.14-02211.54] 快解 金融 才睡
[02211.54-02214.14] 然后呢 嗯 我经贸以等等这一些
[02214.14-02216.34] 为什么学这些呢 因为没有时候呢
[02216.34-02218.34] 金融发展得特别的好
[02218.34-02221.14] 尤其是你还那个时候我当时是在上海上学吗
[02221.14-02223.94] 感上上海很多的那种高球力性快学院
[02223.94-02226.94] 对吧 还有上海的很多的上什么同技等等这些大学
[02226.94-02228.94] 那大学里面那个时候就是金融最弱
[02228.94-02230.94] 你甚至包括很多采计学院的话呢
[02230.94-02233.14] 它每天都播那种采计新闻
[02233.14-02234.54] 然后呢 给大家说了
[02234.54-02236.78] 我们以后毕业了之后要干嘛
[02236.78-02238.50] 除了去做快乐之外
[02238.50-02239.78] 你还有很多的选择
[02239.78-02242.02] 比如说在上海有很多的投行
[02242.02-02242.98] 什么花齐
[02242.98-02244.38] 模耕的等等
[02244.38-02246.02] 然后会风等等
[02246.02-02247.14] 去这些地方
[02247.14-02248.74] 然后去干嘛去做正确
[02248.74-02249.66] 相应的交易
[02249.66-02250.90] 所以那个时候我记得
[02250.90-02253.14] 在我们选择当中考证考最多的
[02253.14-02255.06] 其实就什么就很财劲这一口
[02255.06-02256.94] 什么CPA,CF,A,F,A
[02256.94-02260.26] 还有很多的那种正确相关的这一类
[02260.26-02262.26] 为什么大抹组了这次做这些
[02262.26-02263.74] 因为这个东西它赚钱
[02263.74-02265.54] 那贞钱他在本质上什么的
[02265.54-02267.84] 他贞钱他在责钱他本质上都是什么
[02267.84-02269.12] 都是虚拟经济
[02269.12-02271.50] 这是抛诺我问一下大家炒房立场
[02271.50-02272.44] 他一脱的是什么呢
[02272.44-02274.34] 他不非就是炒那个地皮炒房价
[02274.34-02276.54] 他们实体的支撑没有啊
[02276.54-02279.10] 所以我们看从那个时候开始是中国经济
[02279.10-02282.18] 他在外在的表现上是推食效虚
[02282.18-02284.56] 但是发展虚拟经济分析很高
[02284.56-02286.54] 前车之间后世之事
[02286.54-02289.22] 当时被美国抗得不行的
[02289.22-02290.50] 就是小日本
[02290.50-02294.84] 当时本那个国家整体上发展虚拟行业发表特别的好
[02294.84-02301.10] 因为当时日本经济在中国超越日本之前当时的世界第二大经体是日本
[02301.10-02305.12] 对吧,但蓝小国但是在经济体量上是世界第二大经济体
[02305.12-02311.32] 你看那个时候在我们看来整个日本是不是还相当的是有一点实力在身上呢
[02311.32-02315.16] 但是你看他成为世界第二大经济体的时候他并不满足于此
[02315.16-02317.94] 所以当时的日本就提出了一个概念,上概念了
[02317.94-02319.94] 我要成为世界第二大政治大国
[02319.94-02322.34] 我要和他小日本要和他跌一样
[02322.34-02322.82] 对吧
[02322.82-02324.10] 要和他跌他跌当时
[02324.10-02325.34] 他跌大都知道是谁了
[02325.34-02328.18] 当然美国是世界第一大的我们所说的
[02328.18-02329.14] 无论是从经历上
[02329.14-02331.06] 政治上 军事实力上都是最强的
[02331.06-02332.26] 所以他是小日本这说
[02332.26-02333.06] 要和他跌
[02333.06-02333.94] 建立人间
[02333.94-02334.34] 对吧
[02334.34-02335.22] 和太阳笔间
[02335.22-02335.78] 就是这种
