[00000.00-00006.80] 我们讲完了联系之后我们来看一下第二个变成法的特征就是我们所说的发展
[01302.52-01304.04] 它有没有变了
[01304.04-01305.76] 变了之后有运动选动
[01305.76-01306.64] 没有运动选啥
[01306.64-01307.80] 选发展就行了
[01307.80-01309.96] 所以在发展考虑节形题目的时候
[01309.96-01311.52] 就这三个技巧
[01311.52-01314.12] 一般小孩都是从这三个角度出题的
[01314.12-01317.72] 但是比较常见的其实前两个
[01318.44-01321.32] 这个就是我们所说的发展
[01321.32-01322.96] 这个就是我们所说的发展
[01322.96-01325.60] 所以我们来回顾一下有关于发展的知识点
[01325.60-01327.12] 第一个发展的喊一
[01327.12-01329.28] 发展的喊一只有一个考点
[01329.28-01331.08] 就是第一句话我们要知道
[01331.08-01333.52] 只是发展是好的运动
[01333.52-01334.88] 前进的上升运动
[01334.88-01338.40] 判断运动和发展之间的关系
[01338.40-01340.88] 那从它是好的前进的上升运动
[01340.88-01342.00] 可以看得出来
[01342.00-01345.80] 发展的实质是新书的产生和救数的灭亡
[01345.80-01347.80] 那新又是无交替的
[01347.80-01351.96] 信用是5区分的标志在什么,在有两个区试
[01351.96-01354.36] 和时间早晚和另一张大小都没有关系
[01354.36-01359.52] 所以只要看到什么,信用是5交体的根源根本在哪,就在区试上
[01359.52-01364.32] 他说的再花,你就有死了,就是区试,这是三句话
[01364.32-01368.32] 那还有三个技巧 三个技巧应用在理解一下题目当中
[01368.32-01374.32] 什么情况之下 选发展 新舅的交体 时间变成严与时基金创新理念的
[01374.32-01377.32] 或者是在填浪浪体下 树发生变化的
[01377.32-01379.32] 这个就是我们所说的
[01379.32-01383.32] 有运动选动 没有运动选 反正
[01383.32-01386.32] 这个就是有关于发展的全部的考察点了
