[00000.00-00005.00] 好,我們再來看一下國際經濟當中,第二節內容就是經濟全球化
[01140.24-01143.34] 原來我們比如說咱們國家在途書領域行業
[01143.34-01146.54] 對吧?比如說途書印刷我們有相當的事實説優惠
[01146.54-01150.14] 那如果現在是血我們所說的成員國當中的一個國家
[01150.14-01153.84] 比如說我們的靈國俄羅斯他在中國
[01153.84-01156.66] 去开印刷场 去进行相对徒出印刷
[01156.66-01158.44] 那我们要不要给他合理的
[01158.44-01160.64] 和我们国家一样的这样的一个视率
[01160.64-01161.26] 当然要
[01161.26-01163.64] 你不能说人家来了你真人家那么高的神
[01163.64-01164.20] 那不行
[01164.20-01165.62] 那这个叫国民代表
[01165.62-01167.80] 就是让他想说到和本国一样的
[01167.80-01169.46] 而我们所说的最会国代表
[01169.46-01170.22] 强调的是
[01170.22-01172.52] 国家和国家之间的评论
[01172.52-01175.50] 强调的是国余国之间的
[01175.50-01176.62] 你有我就代表
[01176.62-01178.82] 而我们所说的这个国民代表是什么
[01178.82-01180.46] 是外国和中国
[01180.46-01184.46] 你外国在香港黄业当中投资办场
[01184.46-01187.50] 就要想着到和本国他所怎么样
[01187.50-01190.02] 他相同的这样的一些待会有会
[01190.02-01191.22] 这个叫做什么
[01191.22-01194.70] 这个叫个国民待遇叫做非事性原则当中的一个
[01194.70-01198.94] 所以这里面重点其实是贸组之原则当中的内容
[01198.94-01199.86] 好 那到这呢
[01199.86-01202.10] 我们就把第二节第三节跟大家讲完了
[01202.10-01203.82] 整体上第二节和第三节呢
[01203.82-01207.06] 他相对来说他会比较简单一点
[01207.06-01210.18] 也不是我们在学习当中要去掌握的一个重点
[01210.18-01213.40] 那在这里面我们来整体的回顾一下整个国际经济
[01213.40-01214.82] 国际经济我们讲的三节
[01214.82-01217.08] 第一个是国际经济的基本知识
[01217.08-01218.74] 在国际经济基本知证中
[01218.74-01222.14] 我们考察了第一个就是国际贸易他的喊异
[01222.14-01224.38] 他的喊异在这里面有顺差
[01224.38-01225.62] 以及我们所说的逆差
[01225.62-01226.98] 同们知道顺差是什么
[01226.98-01228.10] 逆差是什么就行了
[01228.10-01229.58] 第二他给到了很多措施
[01229.58-01231.22] 也是一个基本概念的掌握
[01231.22-01233.38] 但是我们说了国际贸易变化会睡到
[01233.38-01234.06] 区率问题
[01234.06-01235.70] 所以区率是一个重点
[01235.70-01237.74] 第一个叫知道区率的形式
[01237.74-01239.66] 有两种一种是固定区率之
[01239.66-01241.00] 一种是服动会律制
[01241.00-01243.62] 我们国家是有管理的服动会律
[01243.62-01245.30] 而会律它一定会变动
[01245.30-01247.34] 它变动就会产生影响
[01247.34-01249.20] 如果是本币变职的话
[01249.20-01250.38] 它会影响到什么呢
[01250.38-01253.14] 出口、进口、选择
[01253.14-01255.46] 同时自本流出去了
[01255.46-01257.58] 自本流出外会必然減少
[01257.58-01259.66] 但从长期境外投资来看
[01259.66-01260.38] 便宜
[01260.38-01262.54] 从长期来看成本地要增加
[01262.54-01265.26] 它同时也不利于出国旅游和流血
[01265.26-01267.46] 这是国际经济的基本支持
[01267.46-01269.10] 而国际经济基本只是讲完了
[01269.10-01270.38] 我们有讲的经济全球化
[01270.38-01273.14] 同样能够去分这集种全球化就行了
[01273.14-01275.26] 什么叫生产什么叫冒义
[01275.26-01278.62] 那国际经济的运行要需要国际组织来为户
[01278.62-01280.82] 那这里我们有讲到了重要经济组织
[01280.82-01283.18] 那这里面就给到了三个
[01283.18-01284.58] 国际货币经组织
[01284.58-01286.10] 世界一行以及失贸组织
[01286.10-01289.90] 被川普为拉洞世界经济增长的三架马车
[01289.90-01291.50] 那这三架马车当中
[01291.50-01294.14] 同时没有能够去去分总部
[01294.14-01297.90] 我们所说的只能以及它的地位是不联合国的下手机构
[01297.90-01299.86] 对吧 那世界严谎也是总部
[01299.86-01302.58] 它的作用严谎行就是提供贷款
[01302.58-01304.38] 那它也是联合国的机构
[01304.38-01307.62] 那最后一个相对来说哪一点就是世界贸易组织
[01307.62-01308.78] 总部舍在哪
[01308.78-01309.78] 是内码
[01309.78-01311.06] 它既然是内码
[01311.06-01314.74] 它就不是我们所说的联合国的一个组织
[01314.74-01316.66] 它是一个不是联合国的机构
[01316.66-01317.94] 而是一个独立的组织
[01317.94-01319.22] 那是贸组织管什么
[01319.22-01319.98] 贸易秩序吗
[01319.98-01322.82] 所以在这里头面要知道会会原则
[01322.82-01326.02] 透明度原則以及在這裡面的非其實現原則
[01326.02-01330.74] 這三個原則通常都知道它會考察相應應
[01330.74-01333.90] 或者是給你問描述讓確定它符合什麼原則
[01333.90-01335.70] 這些原則通常有印象
[01335.70-01338.70] 因為它有的時候在初級的時候就會把這些原則拿出來
[01338.70-01340.58] 口中核心的題目
[01340.58-01342.02] 把它變成一個選項
[01342.02-01344.66] 你要知道最起碼要知道什麼組織的原則
[01344.66-01345.06] 好吧
[01345.06-01347.90] 所以這是最後一張我們的國際經濟
[01347.90-01350.26] 所以國際經濟相對來說比較簡單
[01350.26-01353.90] 吃点标守 同把重点放在第一节就可以了
[01353.90-01357.10] 好的 这个就是国际经济的全部内容了
