[00000.00-00002.82] 放弱犯罪是主观和客观的同意
[01137.96-01140.84] 叫應當從清或者是簡清
[01140.84-01142.56] 所以在簡清
[01142.56-01143.68] 責任年齡這塊
[01143.68-01144.84] 大助理下是什麼
[01144.84-01145.96] 是從簡
[01145.96-01147.44] 在年齡要求上是
[01147.44-01149.24] 應當還是可以
[01149.24-01150.32] 這個大家要分清楚
[01150.32-01151.36] 就是文字有性
[01151.36-01152.84] 这个必须挤杂识了
[01152.84-01154.44] 它没有其他的方法
[01154.44-01155.24] 大注意
[01155.24-01157.04] 那还有一个就是在这里面
[01157.04-01158.72] 它没有年龄上的限制
[01158.72-01159.92] 只割在这里他说了
[01159.92-01161.52] 又龄又亚的人
[01161.52-01162.56] 或者是什么
[01162.56-01163.24] 忙人
[01163.24-01164.96] 换下可以从轻轻轻
[01164.96-01166.96] 或者是面囚
[01166.96-01168.44] 他就是给你混
[01168.44-01170.72] 所以这个地方没有什么新鲜的考法
[01170.72-01172.96] 他就是玩一些文字有性
[01172.96-01174.28] 就是玩一些文字有性
[01174.28-01176.16] 所以在这里面大家要明确
[01176.16-01177.96] 首先第一步你要知道
[01178.28-01180.04] 形式责任年龄的分类
[01180.04-01183.08] 分成什么三大内原则上分为三大内
[01183.08-01185.40] 就減轻则人年龄咱不给的话会到一块
[01185.40-01187.72] 所以完全十六完全不复
[01187.72-01190.40] 就是十二所以相对复就是什么
[01190.40-01193.24] 就是十二到十六这个阶段的本
[01195.04-01198.20] 就是十二到十六这个阶段
[01198.20-01201.56] 于是又分成了那十二到十六分成
[01201.96-01204.04] 第一个就是十二到十四
[01204.04-01206.12] 第二就是十四到十六
[01206.12-01209.48] 所以十二到十四两顾行为十四到十六
[01209.48-01213.16] 两顾两抢 两抚 二抚 二抚再去腿
[01213.16-01214.96] 这个框架一定要理事
[01214.96-01217.44] 这个就是我们所说的叫做形式
[01217.44-01219.68] 责任联令 行则人联令
[01219.68-01221.84] 有了形式责任联令之后
[01221.84-01223.28] 我们说了 只是一方面
[01223.28-01226.16] 第二个他必须要有形式责任能力
[01226.16-01228.12] 所以形式责任能力就只
[01228.12-01231.44] 行为人对自己行为的变任能力和控制能力
[01231.44-01234.32] 就是你能能意识到你正在做这件事
[01234.32-01235.68] 能不能变任清楚
[01235.68-01238.08] 这有情况之下叫形式责任能力
[01238.08-01240.56] 行人责任能力的是变任和控制能量
[01240.56-01244.20] 他其实在翻译过程康中一般考的是精神病人和最久的人
[01244.20-01246.00] 精神病人的话来看一下
[01246.00-01247.04] 说第一个
[01247.04-01252.00] 说精神病人在不能变任和控制自己行为时候造成的社会为外结果怎么样
[01252.00-01253.04] 不复行人责任
[01253.04-01257.28] 这也是现在我们经常在网上能够看到的说一代什么形式安静出现了
[01257.28-01258.32] 仅僅通报出现了
[01258.32-01261.12] 然后最后他可能会给到一个说他是什么
[01261.12-01263.12] 他是我们所说的这种精神病人对吧
[01263.12-01265.28] 所以他最终不承担相的形式责任
[01265.28-01267.28] 这个时候就叫做我们所说的什么
[01267.28-01271.64] 形式形式情绪能力
[01272.92-01274.12] 这种形为能力的话
[01274.12-01278.12] 就是要求看他能的变热或者控制自己的这种形为
[01278.12-01279.92] 所以精神病人在不能变
[01279.92-01283.12] 就是他的精神病的这种状况
[01283.12-01284.16] 如果发作的话
[01284.16-01285.44] 发作非常严重的话
[01285.44-01286.92] 他其实一直不知道自己在做什么
[01286.92-01289.44] 这时候他造成了社会外界国国人
[01289.44-01291.20] 比如说把人中商了
[01291.20-01292.20] 把人商害了
[01292.20-01292.52] 对吧
[01292.52-01294.72] 这时候他不成的形式责任的
[01294.72-01296.96] 所以精神病人只在什么情况下承担
[01296.96-01298.16] 就是上承担责任
[01298.16-01299.16] 清醒时单子
[01299.16-01300.36] 就简单写就行了
[01300.36-01301.96] 就清醒时单子
[01306.80-01308.36] 那这是这一种
[01308.36-01310.08] 这个针对的一般情况之下
[01310.08-01311.28] 就是我们所说的
[01311.28-01313.28] 类似于那种全风的那种人
[01313.28-01313.92] 那搭配有一种
[01313.92-01315.84] 就是我们传统一上眼后的办法
[01315.84-01316.80] 就是我们所说的
[01316.80-01318.56] 这种借费性的精神病人
[01318.56-01319.76] 那借费性的这种病人
[01319.76-01322.16] 它说精神正常使造成的
[01322.16-01322.88] 社会危害结果
[01322.88-01323.72] 应当不清是责任
[01323.72-01324.64] 是不是还是一样呢
[01324.64-01325.40] 就是精神病人
[01325.40-01327.12] 他只要是清醒时
[01327.12-01329.52] 或者是能够变人精神正常时
[01329.52-01330.52] 他造成的未来结果
[01330.52-01331.48] 他都要单走
[01331.48-01333.96] 是不是我们就简单记清醒时单走就行了
[01333.96-01335.24] 那你看第三种情况
[01335.24-01336.92] 说上位完全
[01336.92-01340.04] 上时会变人控制自己行为能力的精神病人
[01340.04-01340.36] 对吧
[01340.36-01341.64] 这个情况之下你看
[01341.64-01343.04] 上位完全上时
[01343.04-01345.92] 那这个时候他应当重单行丝责任
[01345.92-01347.44] 所以这两个点话到一块
[01347.44-01348.80] 就是清醒时单走
[01348.80-01352.40] 但如果说他再去对他人进伤害的时候
[01352.40-01354.40] 它是上位完全喪失
[01354.40-01355.72] 把喪伴全喪失化出来
[01357.20-01359.08] 喪慾完全喪失
[01359.08-01361.24] 变任何控制自己的能力的精神变人
[01361.24-01361.88] 怎么办呢
[01361.88-01364.56] 它是阴灯富行失责任的
[01364.56-01366.44] 只我可以在形式处罚当中
[01366.44-01369.12] 可以从经货的事面清处罚而已
[01369.12-01370.60] 所以在这里面大家注意一下
[01370.60-01373.44] 这是有关于精神病人的这种情况
[01373.44-01374.60] 一共是有这三种情况
[01374.60-01376.36] 但是大家只剧两句话就行了
[01376.36-01378.44] 就精神病人,它承担责任要求
[01378.44-01380.64] 清醒是经常正常是单子
[01380.64-01386.56] 如果是上位 上位 上位 上位 完全 上失邊人能力
[01386.56-01394.84] 那這個時候 應當單子 那上位 上位 上位 上位 上位 上位 完全 上失的情況之下
[01394.84-01397.20] 就是因為他什麼 清醒的情況
[01397.20-01400.64] 所以大家注意一下 這是精神病人的第一種情況
[01400.64-01403.24] 那第二種就是我們所說的 最久的人
[01403.24-01406.00] 這個最久的人 他就會相對來說有一點麻煩
[01406.00-01408.84] 因為這種最久的情況 它分成兩種情況
[01408.84-01412.02] 一种叫做我们所说的生理行罪酒
[01412.02-01414.10] 一种叫做病理行罪酒
[01414.10-01415.20] 什么叫生理行罪酒
[01415.20-01417.54] 就是常见的日常无所说的喝多了
[01417.54-01419.50] 这种叫做生理行罪酒
[01419.50-01422.22] 现在旁边最久的人
[01422.22-01424.10] 最久的人应当父行是责任
[01424.10-01425.08] 一般情况之下
[01425.08-01426.90] 最久分为生理行罪酒
[01428.02-01430.34] 还有一种就是病理行罪酒
[01434.82-01437.06] 生理行罪酒
[01437.06-01439.38] 还有就是我们所说的并有理性了
[01439.38-01440.14] 追求
[01440.90-01443.66] 那这里面我们所说的这种生理性追求的话
[01443.66-01445.10] 就是我们日常所见的说
[01445.10-01446.30] 这个人他喝多了
[01446.30-01446.66] 对吧
[01446.66-01447.50] 那这种情况之下
[01447.50-01449.78] 他如果说这种生理性追求
[01449.78-01452.10] 他对别人造成其害的话
[01452.10-01453.06] 那就是怎么样
[01453.06-01455.82] 就应该承担相应的形式责任
[01455.82-01457.30] 那这有时候就叫做
[01457.30-01458.14] 生理性追求
[01458.14-01459.50] 比如说喝多了
[01459.50-01460.74] 侵犯他人的什么
[01460.74-01462.30] 全演那很常见
[01462.30-01463.82] 我们说了
[01463.82-01464.86] 他比如说他喝多了
[01464.86-01465.46] 他啥酒风
[01465.46-01466.26] 他出去像个人
[01466.26-01467.76] 搶接人家的这种东西
[01467.76-01468.12] 对吧
[01468.12-01469.14] 那他这种情况之下
[01469.14-01470.10] 他出一搶结
[01470.10-01471.14] 实施到谢
[01471.14-01472.80] 实施其他的一些犯罪
[01472.80-01474.94] 那他最近当复相应的形务者人
[01474.94-01476.76] 你不能说你科久了
[01476.76-01477.82] 你不是故意的
[01477.82-01478.94] 那这都不算
[01478.94-01480.14] 所以在这里面大家注意
[01480.14-01481.26] 这要生理性追究
[01481.26-01481.74] 第二个呢
[01481.74-01483.50] 主要做病理性追究
[01483.50-01484.62] 那病理性追究的话
[01484.62-01486.10] 就是把他和什么
[01486.10-01487.50] 从结在一块儿的精神病
[01487.50-01488.38] 那这种情况之下
[01488.38-01489.54] 他就可以不承担
[01489.54-01490.58] 相对者人
[01490.58-01491.66] 就是他一喝多了
[01491.66-01493.06] 他都犯病了
[01493.06-01494.92] 就是他没有办法控制自己的相应的
[01494.92-01495.78] 这种行为了
[01495.78-01498.34] 当法这种称就为叫做并利性罪酒
[01498.34-01499.86] 那这种并利性罪酒的话
[01499.86-01502.98] 它其实就不是我们所说的普通意义上的这种罪酒
[01502.98-01506.66] 在这里面大家能够把他们两个去去分开就可以了
[01506.66-01511.06] 那这是我们所说的叫做行李能力
[01511.06-01513.10] 所以同一条分休处
[01513.10-01514.98] 一个是则任年龄
[01514.98-01517.34] 一个是我们所说的则任能力
[01517.34-01518.26] 一个是则任能力
[01518.26-01521.14] 这两个还是要给它去去分开的
[01521.14-01522.66] 所以大家一定要明确
[01522.66-01524.22] 那这是我们所说的
[01524.22-01525.50] 特殊人权的问题
[01525.50-01527.42] 就是我们所说的行事则人能力
[01527.42-01528.98] 这是在人犯罪
[01528.98-01530.86] 所以则人犯罪你就判断
[01530.86-01533.18] 比如说就是单个个警就判断
[01533.18-01534.06] 两条线
[01534.06-01535.82] 第一个就是他在体上当中
[01535.82-01536.70] 他也会单独好
[01536.70-01537.62] 他会伙着你考
[01537.62-01539.46] 因为我们毕竟是施业单位考试
[01539.46-01541.30] 他不会想法考会法说
[01541.30-01542.42] 给你来个大连招
[01542.42-01543.42] 给你来个大套吧
[01543.42-01543.82] 不会的
[01543.82-01546.18] 所以你就单着去把框架进行出就行了
[01546.18-01547.18] 第一条线年龄
[01547.18-01549.06] 要知道完全富
[01549.06-01550.06] 相对富
[01550.06-01551.10] 然后还有就是吗
[01551.10-01551.98] 完全不富
[01551.98-01553.30] 然后还有简行则人年龄
[01553.30-01554.02] 第二条路
[01554.02-01555.50] 就是责任能力
[01555.50-01557.22] 那责任能力当中就去看
[01557.22-01558.26] 他是不是经济面
[01558.26-01559.10] 他是不是最有
[01559.10-01560.54] 那经济并清醒时
[01560.54-01561.30] 就要单折
[01561.30-01563.10] 上位上师就要单折
[01563.10-01564.02] 而最有分为
[01564.02-01564.66] 收理行最久
[01564.66-01565.62] 便利行最久
[01565.62-01566.46] 收理行最久
[01566.46-01567.46] 就是生活当中
[01567.46-01568.26] 日常喝酒
[01568.26-01569.38] 那这有时候你喝多了
[01569.38-01571.02] 完全是有形式责任能力的
[01571.02-01571.86] 那这个时候
[01571.86-01572.90] 你就承担责任
[01572.90-01574.10] 没有任何
[01574.10-01576.78] 減轻或从轻的厨台规定
[01576.78-01578.34] 而便利行最久是什么呢
[01578.34-01580.66] 就是你酒精中毒产生患觉了
[01580.66-01582.54] 这时候这产生的一种邦想着
[01582.54-01583.02] 你就觉得
[01583.02-01585.70] 全世界都要害你,你这种说出于自卫保护
[01585.70-01587.50] 你这就是就像到一个精神病症状
[01587.50-01588.74] 这种情况就像
[01588.74-01591.30] 他没有形式责任努力不负责任
[01591.30-01591.78] 明白吧
[01591.78-01593.02] 你说老师他提案当中
[01593.02-01595.18] 他没给我说他是生理前还定理性啊
[01595.18-01597.34] 如果提案当中没有特别去分的话
[01597.34-01600.62] 我就误人了,他属于生理性追求
[01600.62-01601.78] 他要单走的
[01601.78-01604.06] 这是责任犯罪,这是第一个
[01604.06-01605.54] 除了责任犯罪之外
[01605.54-01607.94] 我们说了犯罪的主体除了责任还有什么
[01607.94-01610.30] 还有单位,单位也可以犯罪
[01610.30-01611.82] 你说老师单位也可以犯罪
[01611.82-01614.34] 当那可以到我们来看一下单位分析打说的
[01614.34-01616.94] 单位分析是指公司企业
[01616.94-01618.62] 是业单位机关团体
[01618.62-01620.78] 依法承担的形式责任的位置
[01620.78-01623.62] 社会的行为这个就要做单位分析
[01623.62-01625.90] 有时是业我们所说的什么呢
[01625.90-01627.06] 是一整个
[01627.06-01630.70] 我们所说的单位一直为主的
[01630.70-01633.58] 这样的一些实施犯罪的一些情况出现
[01633.58-01635.10] 这个时候就要做单位分析
[01635.10-01638.42] 它说单位分析主要是双法治为主
[01638.42-01641.14] 单法制作为单位犯罪的不充
[01641.14-01642.46] 这个点大家注意一下
[01642.46-01645.22] 那针对于单位犯罪的很多人可能会存在一个
[01645.22-01647.06] 想反说老师单位怎么犯罪呢
[01647.06-01648.86] 什么样算做单位犯罪呢
[01648.86-01651.30] 单位犯罪他一个非常明显的赫点
[01651.30-01654.06] 就是你看他是不是为了单位的集体力
[01654.06-01658.22] 也就是说他是出于单位意志的需要实施的犯罪
[01658.22-01660.06] 那就用情况这个单位犯罪
[01660.06-01662.62] 单位这里面是否购成单位犯罪的话
[01662.62-01664.14] 他要从两个角度去犯断
[01664.14-01665.06] 第一个你要犯断
[01665.06-01667.34] 他是不是存罪的自然人犯罪
[01667.34-01669.46] 如果存罪的自然人犯罪的话
[01669.46-01671.70] 他是沒有辦法構成單位犯罪的
[01671.70-01674.54] 比如說有一些犯罪就只能自然人去做
[01674.54-01676.90] 比如說我們比較常見的道歉
[01676.90-01678.54] 你就單位能道歉嗎?
[01679.34-01680.58] 單位不能道歉
[01680.58-01681.06] 對吧
[01681.06-01682.18] 單位是沒有辦法道歉
[01682.18-01684.58] 就說你把那個公司推出去道歉不行的
[01684.58-01686.10] 所以看道歉
[01686.10-01687.38] 搶結
[01687.38-01688.98] 我們所說的故意殺人
[01688.98-01690.18] 單位可以殺人嗎?
[01690.18-01691.22] 單位不能殺人
[01691.22-01692.78] 所以像這些都是什麼
[01692.78-01694.94] 都是純粹的自然人犯罪
[01694.94-01696.90] 所以純粹的自然人犯罪
[01696.90-01698.06] 不能成為
[01698.06-01698.62] 不能
[01698.62-01699.66] 我们所说的什么
[01699.66-01701.82] 不能成立单位反对
[01701.82-01702.50] 那你说老师
[01702.50-01704.30] 那他如果出现这种情况
[01704.30-01705.34] 你什么情况呢
[01705.34-01706.74] 比如说单位
[01707.74-01708.54] 都说
[01708.54-01710.34] 比如说他们单位有个特别好的员工
[01710.34-01712.14] 然后他们这个领导
[01712.14-01713.18] 也特别喜欢这个员工
[01713.18-01714.42] 然后这一天这个员工
[01714.42-01716.86] 在工作的时候就一直心情不好
[01716.86-01718.06] 然后工作状态
[01718.06-01719.06] 也特别不好
[01719.06-01720.14] 于是在这个时候
[01720.90-01722.42] 这个领导就过来学韩文耀
[01722.42-01723.26] 准备很坦说
[01723.26-01724.38] 你说你最近怎么了
[01724.38-01725.98] 他说我最近他身份一些事
[01725.98-01726.58] 然后他就问他
[01726.58-01728.34] 说你最近他身份一些什么事
[01728.34-01730.42] 他就说了我和一个人结仇了
[01730.42-01732.14] 然后我天天就看了那个人
[01732.14-01733.58] 只要他还活在这个市上
[01733.58-01734.98] 我这个工作就不好做
[01734.98-01737.30] 当时这个领导的出去人们关好这个人说
[01737.30-01738.42] 说那就弄死他吧
[01738.42-01738.94] 对吧
[01738.94-01740.62] 然后这个人就说那我怎么弄死他
[01740.62-01741.70] 然后这个单位就说
[01741.70-01742.54] 咱们开个会
[01742.54-01743.18] 给你商量一下
[01743.18-01744.34] 出一个杀人方案
[01744.34-01746.54] 绝对让你能够投购法従的制裁
[01746.54-01747.06] 然后呢
[01747.06-01748.42] 这个单位就组着开会
[01748.42-01749.06] 开会之后
[01749.06-01749.86] 然后就跟他去说
[01749.86-01750.54] 怎么去杀人
[01750.54-01751.78] 给他提供什么样的帮助
[01751.78-01752.42] 最后呢
[01752.42-01752.90] 这个人
[01752.90-01754.70] 他把他的这个仇人
[01754.70-01755.78] 也跟他的死对头
[01755.78-01756.82] 然后怎么办呢
[01756.82-01757.74] 就是给杀掉了
[01757.74-01759.50] 那这种情况下我们来看一下
[01759.50-01762.70] 这种情况下能不能定当为犯罪杀人
[01762.70-01763.18] 不行
[01763.18-01765.58] 因为杀人罪只能是存在的责任犯罪
[01765.58-01767.30] 那说老实当里也猜有了
[01767.30-01768.34] 当里怎么办
[01768.34-01770.06] 没有办法定当为犯罪的话
[01770.06-01772.58] 但是可以定当为的主要负责人的罪
[01772.58-01772.90] 对吧
[01772.90-01775.78] 那这种情况之下可以定主要负责人罪的话
[01775.78-01776.78] 那这种情况
[01776.78-01779.86] 就主要负责人承担相的罪罪罪就可以了
[01779.86-01781.38] 就是贡义杀人的那个人
[01781.38-01782.58] 他只定要贡义杀人罪
[01782.58-01785.14] 那当为的主要贡义要承担相的罪罪罪
[01785.14-01786.54] 所以在这里面大家注意一下
[01786.54-01789.34] 这是单位犯罪他比较重要的一个特点
[01789.34-01792.44] 这是单位实施的纯正的个人犯罪
[01792.44-01795.74] 有很多犯罪只能是自然人共层的
[01795.74-01797.44] 比如说戴款炸片罪
[01797.44-01799.74] 每造货币罪到切罪
[01799.74-01801.34] 到切罪是比较常见的
[01801.34-01803.74] 炸我们所说的抢结罪抢脱罪
[01803.74-01805.74] 这些都是纯罪的自然犯罪
[01805.74-01808.54] 所以单位实施了只能有个人犯罪的话
[01808.54-01810.64] 追究责任人的责任就行
[01810.64-01812.14] 但是不够成单位犯罪
[01812.14-01813.54] 这个点点注意一下
[01813.54-01815.30] 那这是第一个点答案明确
[01815.30-01816.30] 我给他写旁边
[01816.30-01818.22] 这个地方没有给办法给大家系统的讲
[01818.22-01820.50] 因为单位犯罪本身考虑就不要少
[01820.50-01821.66] 所以只掌握住
[01821.66-01823.78] 他考试当中可能考得点就行了
[01823.78-01826.42] 第一个 标助一下就是单位时师了
[01828.50-01831.02] 这单位时师了
[01832.54-01838.82] 只能有个人的犯罪
[01840.50-01842.18] 这个时候能不能定单位犯罪
[01842.18-01843.34] 不能定单位犯罪
[01843.34-01844.94] 追究责任就可以了
[01846.82-01847.62] 追究
[01848.38-01849.18] 直接
[01850.82-01851.54] 责任人
[01851.54-01852.62] 所以在这里面
[01852.62-01854.34] 第一个点就是让大家能过去去分
[01854.34-01855.70] 就是什么样情况之下
[01855.70-01856.90] 可以是单位犯罪
[01856.90-01858.06] 什么情况之下呢
[01858.26-01859.70] 没有把过程单位犯罪
[01859.70-01861.70] 就是纯粹的责任犯罪
[01861.70-01863.38] 没有办法过程单位犯罪
[01863.38-01865.54] 这个就是只能有个人使用的犯罪
[01865.54-01867.22] 这个里面包括什么呢
[01867.22-01867.98] 你在旁边记归
[01867.98-01868.86] 不要常见的吧
[01868.86-01869.98] 比如说道歉
[01869.98-01873.38] 比如说贷款扎片
[01873.38-01877.78] 他没有办法构成单位翻推的
[01877.78-01879.98] 我就不写罪了
[01879.98-01880.38] 大家知道了
[01880.38-01882.14] 还有一个是比糟货币等等
[01882.14-01884.58] 抢毒呀等等啊
[01884.58-01886.18] 这些很多
[01886.18-01888.98] 你只要看到新华当中说行为人怎么怎么样
[01888.98-01890.18] 他其实都是语啊
[01890.18-01891.98] 这是第一种情况
[01891.98-01893.38] 那第二种情况就是
[01893.38-01895.78] 那老师如果他真的构成单位翻推的话
[01895.78-01897.78] 我怎么判断他是不是单位翻推呢
[01897.78-01900.92] 大桌一下当为犯罪他主要的目的
[01900.92-01902.96] 或者他的主观的条件是什么呢
[01902.96-01905.46] 就是他必须是体现单位意志的
[01905.46-01908.08] 就是单位犯罪必须体现单位意志
[01913.12-01914.62] 必须体现单位意志
[01914.62-01917.14] 那我怎么体看看他是不是体现单位意志
[01917.14-01918.76] 你就看他是为了谁的利益
[01919.56-01921.70] 如果他是为了单位的利益的话
[01921.70-01924.24] 那他这种情况之下就可能会够成什么
[01924.24-01926.90] 那他这种情况之下就可能会够成
[01926.90-01927.74] 單位反對
[01927.74-01930.30] 那這有時候就是為單位利益
[01930.30-01932.14] 這種位單位的利益
[01932.14-01934.10] 他表現出來的就是對這個單位當中
[01934.10-01935.02] 每個人都有好處
[01935.02-01937.06] 就是我們場所的羽露軍戰品
[01942.90-01945.90] 如果是這種羽露軍戰的這種情況的話
[01945.90-01947.86] 他就構成單位反對了
[01947.86-01949.78] 所以在這裡面大家一定要明確
[01949.78-01952.86] 他是為全體成員某球的非法利益
[01952.86-01954.50] 所以在這裡面他一定是體現
[01954.50-01956.42] 單位意識為單位利益的
[01956.42-01958.14] 如果说是这样一个情况
[01958.14-01959.78] 说我为了我个人的利益
[01959.78-01961.10] 然后我给当地开会
[01961.10-01962.78] 我说你们以后都出去造假
[01962.78-01964.18] 我成立一个诈骗公司
[01964.18-01965.38] 增加怎么总的
[01965.38-01967.38] 那这种情况是为了我个人利益的需要
[01967.38-01969.70] 那能不能定单位犯罪不行
[01969.70-01971.62] 因为单位犯罪他一定要体现
[01971.62-01972.70] 单位意旨
[01972.70-01973.82] 为单位利益
[01973.82-01974.98] 怎么体现为单位利益呢
[01974.98-01977.74] 就是他一定是与陆军章的
[01977.74-01979.26] 所以在这里面大家注意一下
[01980.50-01982.78] 那第三个点就是单位犯罪的处罚
[01982.78-01984.50] 那在单位犯罪处罚当中
[01984.50-01986.14] 他就有两种
[01986.14-01988.06] 第一种就说双法制原走
[01988.06-01989.58] 双法制原走就是
[01989.58-01991.58] 既要法个人
[01991.58-01993.06] 要宜奥法单位
[01993.06-01994.66] 第二个就是单法制
[01994.66-01995.66] 就是单法制
[01996.14-01997.50] 这里面的双法制
[01997.50-01998.78] 既法个人也法单位
[01998.78-02000.82] 单位能不能给他关起来判刑
[02001.14-02002.62] 单位关起来判不了刑
[02002.62-02004.62] 所以在这里处罚当中的双法
[02004.62-02005.34] 大注意下
[02005.34-02007.38] 对单位只能判处
[02007.38-02008.18] 法金
[02008.18-02010.02] 对单位只能判处法金
[02010.02-02011.38] 楼着在旁边就行了
[02011.38-02012.26] 双法制当中
[02012.26-02013.38] 就是对单位
[02014.94-02015.82] 只能
[02016.14-02020.48] 判除法金
[02020.48-02025.62] 对单位只能判除法金
[02025.62-02027.78] 单法制的话只是只法个人了
[02027.78-02031.50] 只法单位的主管人员和直接责任人就行了
[02031.50-02032.78] 这里面大家注意一下
[02032.78-02034.78] 偷二也会考察理解行的题目
[02034.78-02038.94] 比如说单位集体商业去隔壁的场资去偷电
[02038.94-02041.50] 你偷人间的电你偷电数偷人财人前业
[02041.50-02042.62] 这属于道气罪
[02042.62-02044.66] 那道气罪能不能过程单位犯罪呢
[02044.66-02046.42] 道歉最不能够成单位反对
[02046.42-02048.66] 所以如果真的开会商量去隔壁场
[02048.66-02051.14] 举头电去隔壁串头电这种情况
[02051.14-02052.02] 那不好意思
[02052.02-02055.10] 你只能追究单位的主要负责人的责任
[02055.10-02056.38] 但是他构不成什么
[02056.38-02057.26] 单位反对
[02057.26-02058.42] 所以这个点单明确
[02058.42-02060.54] 若书考虑言题目比方喜欢考的
[02060.54-02062.30] 往往是点
[02062.30-02063.82] 比方喜欢考虑这些题目
[02063.82-02065.70] 但是整体上单位反对
[02065.70-02067.94] 它其实只是一个医心级的执士点
[02067.94-02069.58] 大家在这要明确
[02069.58-02070.70] 这说我们所说的
[02070.70-02071.54] 有关于
[02071.54-02074.54] 犯罪主体内容犯罪主体
[02075.04-02077.00] 那了解了犯罪主体之后
[02077.00-02079.74] 我们再来看一下犯罪过程要教的最后一个
[02079.74-02081.74] 就叫做犯罪的主观方面
[02081.74-02084.04] 我们来看一下什么叫犯罪主观方面
[02084.04-02087.24] 他说犯罪主观方面是指刑法规定
[02087.24-02089.70] 成立犯罪必备的犯罪主体对这
[02089.70-02093.34] 对其实施的危害行为及其危害结果所吃的什么
[02093.34-02094.34] 心里太多
[02094.34-02096.06] 那罪犯罪的主观方面
[02096.06-02097.46] 同时就可以简单去理解
[02097.46-02102.06] 就是你在去实施危害行为的时候你的心理的状态是什么样子
[02102.26-02106.86] 你是追求结果的发生还是放任结果的发生还是逆已经遇见结果
[02107.06-02110.06] 可能会发生然后你觉得你是可以清新避免的
[02110.06-02111.86] 我们把这种心理状态
[02112.06-02114.46] 归娜起来其实就可以分成两个大类
[02114.66-02116.86] 一个就叫做犯罪故意
[02116.86-02119.06] 还有一个就叫做犯罪过失
[02119.06-02121.06] 这个地方在考试的时候大家注意一下
[02121.26-02124.06] 一般情况之下会考察理解行的题目
[02124.26-02126.26] 怎么考呢给你一个案例
[02126.26-02127.28] 让你去判断
[02127.28-02129.34] 他到底是属于犯罪故意
[02129.34-02130.48] 还是犯罪过士
[02130.48-02133.18] 到底是直接故意建议过意
[02133.18-02134.20] 还是我们所说的
[02134.20-02137.02] 过于自信的过士还是舒护大一个过士
[02137.02-02138.14] 所以他在考试的时候
[02138.14-02140.54] 就会给你按理让我们去做具体的判断
[02140.54-02141.88] 所以对于这个内容
[02141.88-02144.08] 同学们主要是理解他
[02144.08-02145.98] 而不是说在这里把它变下来
[02145.98-02147.52] 这个概念其实不用被的
[02147.52-02150.08] 那么现在开下第一个就是犯罪故意
[02150.08-02153.86] 犯罪故意他说是明之自己的行为会发生为害结果
[02153.86-02157.18] 並且希望或放任這種結果發生的一種心理態度
[02157.18-02160.26] 它可以分成兩種一種叫做直接故意
[02160.26-02162.06] 我們先來看直接故意是什麼
[02162.06-02165.38] 我們在這裡做一個簡單的標準 指標關鍵刺激刻
[02165.38-02169.74] 他說直接故意是指行為人名植把名植化出來
[02169.74-02175.38] 叫行為人名植自己的行為必然或可能發生危害社會的結果
[02175.38-02177.38] 並且話一下希望
[02177.38-02180.74] 希望這種結果發生的心理態度
[02180.74-02184.70] 所以所謂的直接故意就是明知你做的這些事情
[02184.70-02186.62] 他會發生社會還給我比如說
[02186.62-02189.78] 我拿起了我摩的40米的大砍刀
[02189.78-02191.58] 我就去大街上去砍人
[02191.58-02194.22] 我明知我的這個砍刀能砍上人
[02194.22-02197.10] 我還積極的追求結果的發生
[02197.10-02198.54] 我還拿這個刀去砍人
[02198.54-02200.02] 那這個時候我就屬於什麼
[02200.02-02202.14] 我就屬於直接故意
[02202.14-02203.94] 所以直接故意他是希望
[02203.94-02206.18] 他是明知家希望
[02206.18-02209.46] 這個所謂的希望就是積極追求結果的發生
[02209.46-02215.46] 那就是積極追求結果的發生
[02215.46-02218.74] 那這種情況之下就是我們所說的什麼
[02218.74-02219.74] 直接故意
[02219.74-02221.22] 你明明之你做的這些事情
[02221.22-02222.42] 它可能成為它結果
[02222.42-02224.42] 你還繼續實順你的行為
[02224.42-02226.58] 那你這種情況之下不做是
[02226.58-02228.06] 積極追求結果的發生
[02228.06-02229.18] 我們就把它稱為
[02229.18-02231.10] 就是希望結果發生的性格態度
[02231.10-02232.66] 叫做直接故意
[02232.66-02234.26] 那什麼叫做建結故意呢
[02234.26-02235.06] 來看一下
[02235.06-02236.90] 說建結故意是行為人明之
[02236.90-02239.98] 也是已经预料到已经知道自己的行为
[02239.98-02241.38] 可能会发生为海结果
[02241.38-02242.14] 但是怎么办呢
[02242.14-02243.14] 话后面这个死
[02243.14-02247.62] 但是它放任这种结果发生的心理状态
[02247.62-02249.46] 这个就叫做我们所说的
[02249.46-02250.62] 见结故意
[02250.62-02253.10] 在这里面它和刚才的直接故意不同
[02253.10-02253.86] 就不同在
[02253.86-02256.22] 直接故意是积极追求结果的发生
[02256.22-02257.30] 而对于我们所说的
[02257.30-02259.26] 结局故意它处在的是一种什么
[02259.26-02260.86] 它是一种放任的态度
[02260.86-02262.26] 而这种放任的态度就是
[02262.26-02263.50] 它不积极追求
[02263.50-02265.26] 但是它也不避免
[02265.26-02268.80] 这个就是我们所说的这首建节故意
[02268.80-02270.40] 就是明知可能
[02270.40-02271.74] 但是在这种情况下
[02271.74-02273.16] 才觉得发生太多比如说
[02273.16-02275.00] 我现在说6个一感槍
