[00000.00-00005.00] 好的 那了解了前眼知道了民法怎么考怎么学之后呢
[00005.00-00007.00] 我们就正式进入到民法的学习
[01200.26-01202.26] 就是小HB超市买款钱是
[01202.26-01206.26] 那小HB超市是为两个行为人
[01206.26-01207.26] 那他们两个就属于什么
[01207.26-01209.26] 就属于民事主体
[01209.26-01212.26] 那在这个民事法里关系当中
[01212.26-01214.26] 他去超市买款钱是会形成
[01214.26-01215.26] 什么样的民事内容
[01215.26-01222.30] 是内容的,明是内容,只是指的是明是权力和明是一无,你看一下在这里面小夜去超市买水
[01222.30-01228.60] 他们两个之间是有相应的买奶合通的,那买外合通当中小A有什么样的权力呢,同学们
[01229.30-01233.60] 小也花钱了,小也花钱了,小也就会有拿到水的权力
[01236.10-01238.82] 对吧,那这个是小A的明是权力
[01238.82-01241.30] 那这里面超市,它有什么样的意乳呢?
[01241.30-01246.70] 人的把钱给你了是不是带给人水啊是不是他有给水的意误
[01246.70-01257.10] 对吧 那在这里面我们所说的在整个法律关系当中所涉一道的权利意误他其实就是一名是法律的什么
[01257.10-01264.30] 那种所以民事法律关系他本身就是在调整权利和意误啊 正权利和意误
[01264.30-01269.74] 那在这里面大家知道了啊 有权利也有意误 但这个权利和意误他有一个针对的什么
[01269.74-01273.84] 民事客体,这个客体在这里面就是这个短圈事,就是这个
[01274.34-01278.84] 所以我们通关里期知道民事法理关系其实就说什么人
[01278.94-01287.14] 然后他做了什么事,在这个过程中他想要什么样的权力和意误,以及做的这个事,他只想的这个对象就叫做民事客体
[01287.54-01296.24] 所以我们不要去把这个民事法理关系的定义被损了,因为被损没有用,就知道小购成民事法理关系必须要主体内容和客体就行了
[01296.24-01298.76] 不要去被民視法理關係的概念
[01298.76-01300.92] 所以是第一個,大家要知道的
[01300.92-01303.36] 第一個點,民視法理關係到三遙速
[01303.36-01307.28] 這三遙速我們就分別來看一下他的具體內容那些
[01307.28-01309.84] 首先第一個就是民視主體
[01309.84-01313.04] 他們民視主體是只在民視法理關係中
[01313.04-01317.00] 享有民視權力並承擔意物的人
[01317.00-01319.32] 大注意下要做廣義商的理解
[01319.32-01321.92] 在這裡能夠做民視主體的包括那些
[01321.92-01323.16] 同樣把這句話話出來
[01323.16-01325.68] 這是第二個小達就實際的點
[01326.24-01327.28] 同标注意一下
[01327.28-01330.64] 民帅法律主体包括自然人比如说
[01330.64-01331.84] 我和你之间
[01331.84-01334.28] 我送了你一块手表
[01334.28-01336.08] 你送了我一部手机
[01336.08-01336.84] 那这种情况是
[01336.84-01338.16] 我送你手表
[01338.16-01339.44] 咱们两个就是什么
[01339.44-01340.72] 就是民帅主体的
[01340.72-01343.48] 当时我们两个都是纯粹的自然人
[01343.48-01345.80] 所以在这里这是第一个叫做自然人
[01345.80-01348.44] 第二个就是我们所说的法人
[01348.44-01349.88] 法人就是常见的事
[01349.88-01352.28] 法人比如是常见的公司
[01352.28-01353.60] 这是常见的法人族制
[01353.60-01354.32] 比如说
[01354.32-01358.68] 阿里公司和其他的什么公司签订了什么样的满满协议
[01358.68-01360.68] 那这种情况之下就是法人
[01360.68-01362.52] 那又可能是非法人组织啊
[01362.52-01364.20] 非法人组织是我们常见的什么
[01364.20-01365.80] 和国企业这一类的
[01365.80-01367.88] 所以我们所提到的民事主体
[01367.88-01370.28] 可以是在人法人和非法人组织
[01370.28-01373.28] 当然民事主体可不可以包括国家
[01373.96-01374.52] 可以
[01374.52-01376.08] 有同一在这里会产生疑问
[01376.08-01377.84] 除了是国家一旦出现
[01377.84-01380.16] 他不属于行政法的调整犯人吗
[01380.16-01383.00] 大主也行政法律关系的调整
[01383.00-01385.12] 他其实是不平等主体之间的
[01385.12-01386.12] 而我们去看
[01386.12-01387.64] 他是否是平等主体
[01387.64-01388.84] 看行为
[01388.84-01390.12] 而不看他的什么
[01390.12-01392.04] 而不看他的一个定位
[01392.04-01394.12] 比如说现在A政府
[01395.88-01398.24] A政府去商场
[01400.92-01401.76] 满啥呢
[01401.76-01404.24] 满本子吧
[01404.84-01405.36] 对吧
[01405.36-01406.56] 你看在这里面
[01406.56-01407.16] 政府
[01407.16-01409.16] 他是不是国家的一个代表
[01409.16-01411.16] 他是当他去商场满本子
[01411.16-01413.12] 买本子是买买行为吧
[01413.12-01414.48] 买买行为
[01414.48-01415.52] 他其实是什么
[01415.52-01417.80] 买买行为他其实频道主体之间发生
[01417.80-01419.20] 这时候A政府
[01419.20-01421.00] 他就不是国家公权力机关了
[01421.00-01422.88] 他在这里面他的身份做什么
[01422.88-01423.96] 就是我们所说的
[01423.96-01424.72] 民事主体
[01424.72-01426.08] 你去买东西你要付钱
[01426.08-01428.12] 你如果去超市买本子不付钱
[01428.12-01429.60] 超市可以起诉你
[01429.60-01429.92] 对吧
[01429.92-01431.12] 所以在这里你看
[01431.12-01432.92] 国家有的时候也可以什么
[01432.92-01434.96] 国家有的时候也可以参与民事
[01434.96-01436.80] 果动也可以参与民事活动
[01436.80-01438.52] 比如说国家去租利什么东西
[01438.52-01439.88] 国家去买买什么东西
[01439.88-01442.52] 那这个时候国家也可以称为民事主体
[01442.52-01444.04] 这个点在考察当中
[01444.04-01446.04] 最简单的这种考察方法就是
[01446.04-01449.80] 大家能够知道民事主体有的时候也包括国家就OK了
[01449.80-01451.80] 好吧 那这是第一个我们要知道
[01451.80-01454.60] 民事法律关系第一个必须得有人去做
[01454.60-01456.92] 才有平等主体的调整 对吧
[01456.92-01459.00] 所以第一个叫做 民事主体
[01459.00-01460.44] 大家细节点就掌握
[01460.44-01463.40] 民事主义当中国家有可能是民事主体就OK了
[01463.40-01465.24] 这是第一个叫民事主体
[01465.24-01467.08] 第二个就是我们所说的
[01467.08-01468.68] 民事法律關係當中
[01468.68-01470.48] 我們要能夠去界定的
[01470.48-01472.48] 也就是民事法律關係當中的可信
[01472.48-01475.28] 就是我們所強調的民事主體
[01475.28-01476.68] 他小什麼樣的權力
[01476.68-01478.08] 以及像什麼樣的義務
[01478.08-01479.88] 所以在這裡大家注意一下
[01479.88-01480.64] 第二個點
[01480.64-01482.48] 民事法律關係的內容
[01482.48-01483.28] 需要同學們記住
[01483.28-01484.28] 包括兩個方面
[01484.28-01485.68] 一個叫做民事權力
[01485.68-01487.08] 一個叫做
[01487.08-01488.68] 民事義務
[01488.68-01489.68] 這個就很簡單了
[01489.68-01489.88] 對吧
[01489.88-01491.68] 你看他說民事權力
[01491.68-01493.68] 是民事主體為實現某種利益
[01493.68-01495.48] 而依法為或者不為的自由
[01495.48-01496.88] 那這個就是你小的權力
[01496.88-01498.28] 就全力可以也放弃
[01498.28-01502.26] 那明是一五就是满足全力人的利益
[01502.26-01504.00] 为何只是不为的约束
[01504.00-01508.00] 你比如说刚才我们所提到的小H超市满水的事
[01508.00-01509.64] 对吧小H超市满水
[01509.64-01510.64] 小A有没有全力
[01510.64-01512.48] 有小A的全力就是什么
[01512.48-01513.64] 就是拿到水
[01516.76-01517.96] 拿到水的所有全
[01517.96-01519.24] 对吧小A有没有一五
[01519.24-01521.20] 但是有小A的一五是什么是给钱
[01521.20-01522.96] 你必须要几乎金钱的
[01522.96-01523.56] 对吧
[01523.56-01525.48] 那刚才那个必超市
[01525.48-01527.76] 它有没有权力我 必超市又权力我
[01527.76-01529.96] 必超市的权力在什么 在收钱
[01532.44-01535.00] 那它的意义在什么 它的意义在给水嘛
[01535.00-01536.88] 所以大家能够看到
[01536.88-01539.28] 在整个法律关系调整过程当中
[01539.28-01542.20] 我们一直都在强调什么 权力和意义嘛
[01542.20-01543.80] 所以在这里 民事法
[01543.80-01546.40] 民事权力和民事意义是民事法律关系的
[01546.40-01550.28] 内容 这是第二个 民事法律关系的第二个部分
[01550.28-01552.48] 明是法律關係當中第三個部分
[01552.48-01553.82] 大家注意在這裡
[01553.82-01556.56] 我們把它稱之叫明是法律關係的客體
[01556.56-01558.12] 有的是所謂的客體是啥
[01558.12-01561.00] 是權力和義務所指向的那個對象
[01561.00-01563.88] 所以明是權力和民宿義務所指向的對象
[01563.88-01565.04] 就是客體
[01565.04-01569.08] 比如說剛才我們所說的小爺小有權力
[01569.08-01570.68] 還有小爺小義務
[01570.68-01571.88] 他都是針對誰的
[01571.88-01574.88] 他都是針對他每到的那平衡水的
[01574.88-01576.40] 所以在這個案例當中
[01576.40-01577.92] 我們所說的客體就是啥
[01577.92-01579.28] 就是納平水
[01579.28-01580.88] 考试当中考什么呢
[01580.88-01584.00] 就是一下可以是民式法律关系的
[01584.00-01584.88] 课题的是
[01584.88-01585.76] 我们需要掌握的
[01585.76-01588.24] 课题的内容包括哪些了
[01588.24-01589.20] 同标主一下
[01589.20-01590.56] 课题的内容可以15
[01590.56-01592.20] 比如说刚才买的那个水
[01592.20-01594.72] 课题的内容也可以是行为
[01594.72-01595.60] 什么行为呢
[01595.60-01597.12] 比如说启富行为
[01597.52-01598.72] 这种情况之下
[01598.72-01600.48] 就是我们所说的叫做课题
[01600.48-01602.36] 最常见的就是买卖合同
[01602.36-01605.08] 你欠了合同之后对方要女型合同
[01605.08-01607.20] 那女型合同是不是就是一个行为
[01607.20-01609.28] 那这里可以是行为
[01609.28-01611.40] 那也包括我们所说的人格利益
[01611.40-01613.88] 我们一会儿在讲的说会搭去讲到
[01614.40-01616.24] 我们所说的死者的人格利益
[01616.24-01618.56] 那这个他也是我们所说的所指向的
[01618.56-01620.56] 民事法律关系又所指向的对象
[01620.56-01622.00] 也可以是治理成果
[01622.00-01624.16] 比如说你的专利 知识产权 对吧
[01624.16-01626.72] 知识产权法当中最常见的就是治理成果
[01626.72-01628.16] 那需要同们掌握的就是
[01628.16-01630.56] 物行为 人格利益和治理成果
[01630.56-01632.72] 都可能是民事法律关系的
[01632.72-01633.36] 客庭
[01633.36-01635.20] 那考试的时候怎么考呢
[01635.20-01640.00] 那他可能会把这里的物行为人格利益一直治理成果
[01640.00-01641.56] 变成具体团力
[01641.56-01644.40] 然后问一下ABCD4个选当中
[01644.40-01647.36] 哪一个是民事法理关系的课题
[01647.36-01649.12] 那这种情况之下就要去对应
[01649.12-01652.16] 看它是不是物是不是行为是不是治理成果了
[01652.16-01654.16] 所以这是我们所说的有关于
[01654.16-01657.20] 第一节的内容就是民事法理关系的概速
[01657.20-01658.80] 所以内容很简单
[01658.80-01662.40] 第一个点就是我们要能够去通过民法的调整的概念
[01662.40-01664.84] 去拆扶哪些水民法调整篮团位
[01664.84-01665.98] 第二个说了
[01665.98-01667.72] 民法调整篮团位
[01668.48-01671.44] 民法调整对象就是民事法律关系
[01671.44-01674.44] 民事法律关系包括主体
[01674.44-01676.76] 包括内容、包括客体
[01676.76-01678.28] 然后我们在一层一层区
[01678.28-01679.92] 给它不立出来就可以了
[01679.92-01681.96] 好,这是第一层内容
