[00000.00-00003.58] 大家好 我是杰瑞 今天我们来学为温温当中的最后一个部分
[00003.58-00006.40] 就是物质和意识的变政关系
[01219.68-01222.56] 心情好吃东西不胖很容易受
[01222.56-01225.06] 这个就叫做意识的能动作用
[01225.06-01226.54] 所以在伊什能弄作用当中
[01226.54-01227.54] 一共是四个
[01227.54-01228.82] 会有话说是五个
[01228.82-01229.70] 在这五个当中
[01229.70-01231.10] 穿了一粗的最多的
[01231.10-01232.58] 是第二个和第四个
[01232.58-01234.14] 出判的底粗的最多的
[01234.14-01235.14] 是第三个
[01235.14-01235.98] 你说他有目的以前
[01235.98-01237.42] 和计划性考虑考过呢
[01237.42-01237.98] 考过
[01237.98-01239.78] 包子选择性也考过
[01239.78-01241.18] 但是整体来说呢
[01241.82-01242.82] 考得很简单
[01242.82-01244.26] 而且考得频率比较低
[01244.26-01245.30] 两代较知道
[01245.30-01247.58] 只是伊什能动作用
[01247.58-01248.62] 伊什能动作用
[01248.62-01249.90] 这是需要同学们作为
[01249.90-01250.94] 重中之重
[01250.94-01252.70] 去掌握它的内容
[01252.70-01261.22] 这是我们探讨了误值和意识的关系,它的原理,它的关系究竟是啥样,这是在这
[01261.22-01267.70] 那么知道了误值和意识到底是什么关系,它总归对我们的生活能够产生,一定有想办
[01267.70-01276.70] 所以我们说了,叫误值决定意识,要求我们一切从实际触发,你做事不能想当然,你再考虑什么,客观实际情况
[01276.70-01285.46] 你不能说,按照想考,我就一定能考上,我就讨论点想我就考上了,那只能不行,你一定要看一下你的博弱科末在哪里对不对?
[01285.46-01291.78] 那我喜欢一个人,他就能一定跟我在一起了,那不是,你再考虑一下科官条件对方的作误,不要准是什么?对吧?
[01291.78-01305.14] 所以,种种以上都说明,由于物质,他是科官实在,起到决定作用,所以,做事的时候,一定要求实际触犯,不能从经验主义触犯,大量一定要注意,这是第一个,
[01305.14-01307.74] 但是它的考察角度
[01307.74-01309.74] 咱們在前面說過了
[01309.74-01311.10] 在這不多強調了
[01311.10-01312.82] 第二個點需要我們去注意的
[01312.82-01314.54] 就是物質決定意識
[01314.54-01316.14] 意識對物質還有反作用呢
[01316.14-01318.42] 有說白了人的想法觀點情感
[01318.42-01320.50] 這些主觀印象會對現實
[01320.50-01321.54] 產生一定的作用
[01321.54-01322.94] 那要求我們怎麼辦
[01323.34-01324.78] 那就要求我們在
[01324.78-01326.50] 尊重客觀規律的
[01326.50-01327.46] 基礎之上
[01327.46-01330.14] 充分發揮人的主觀能動性
[01330.14-01332.26] 這裡面有兩個點
[01332.26-01333.46] 小同這麼去注意
[01333.46-01336.34] 第一個就是人要發揮主要能弄性
[01336.34-01338.44] 人要發揮意識的反作用
[01338.44-01340.58] 它有一個前提
[01341.06-01343.72] 就是不能說你主要能弄性怎麼發揮都行
[01343.72-01344.86] 它必須有一個前提
[01344.86-01346.16] 它的前提是什麼
[01346.16-01348.46] 是尊重客觀規律
[01348.46-01353.00] 所以我們經常說尊重規律
[01353.00-01354.96] 你看我上來 把這寫錯了
[01354.96-01356.32] 尊重的尊寫錯了
[01356.32-01359.60] 尊重規律是發揮主要能弄性的前提
[01359.60-01361.02] 所以在這 到不醒
[01361.02-01362.26] 我直接給它去標準
[01362.26-01363.90] 同位在書上給他畫出來
[01363.90-01365.90] 書上把尊重客王規律
[01365.90-01367.26] 這幾個字畫出來
[01367.26-01369.26] 然後在上面寫了兩個字
[01369.26-01372.34] 前提在前提上面寫上一個權義
[01372.34-01374.98] 所以在這裡經常會考察一個判斷體
[01374.98-01376.50] 或者是一個理解題目
[01376.50-01378.86] 但是只是一個醫興你要知道
[01378.86-01383.42] 這是發揮主管濃動性的前提是尊重客王規律
[01383.42-01385.58] 那為啥一定要尊重客王規律呢
[01385.58-01387.06] 因為如果你不按規律辦事
[01387.06-01389.06] 你的濃動性是發揮不出來的
[01389.06-01390.54] 我舉個簡單的例子
[01390.54-01392.22] 假設我現在不是一個老師
[01392.22-01394.02] 我现在是一个医生
[01394.02-01395.30] 那我做医生
[01395.30-01397.02] 我人生最大的理想是什么
[01397.02-01398.30] 就是就死服伤
[01398.30-01399.78] 我希望每一个红热
[01399.78-01401.70] 近一元的人都能够数字出去
[01401.70-01403.22] 这就是我人生最大的理想
[01403.22-01404.42] 但是突然有一天
[01404.42-01406.30] 我接到了一个人
[01406.30-01406.94] 这个人
[01406.94-01408.10] 他来的时候
[01408.10-01409.54] 他是受中正情
[01409.54-01411.10] 他来的时候就已经
[01411.10-01412.42] 人就已经没了
[01412.42-01414.30] 就坏的话说就已经两头了
[01414.30-01415.38] 在这个过程当中
[01415.38-01416.50] 我当时就想起来了
[01416.50-01418.90] 我的人生直接生亚的这样的一个追求
[01418.90-01420.46] 我希望他们能够活过来
[01420.46-01422.66] 于是我就想见个人方法
[01422.66-01423.94] 打真吃药
[01423.94-01425.02] 然后做着树等等
[01425.02-01426.34] 所有的方法我都想见了
[01426.34-01428.38] 我就差一点我就开始做法了
[01428.38-01431.30] 我就把我的浓动性已经放回到了极致了
[01431.30-01431.98] 但是这个人
[01431.98-01434.14] 他能不能从这进来数字数选
[01434.38-01435.10] 不能
[01435.10-01436.02] 原因是什么
[01436.02-01437.78] 因为他已经没了
[01437.78-01439.54] 是不是生命体证也完全消失了
[01439.54-01442.66] 那在这里面他的客观生命规律已经没了
[01442.66-01445.66] 我刚才打真吃药手术做法
[01445.66-01447.78] 这都是我主观浓动性的发挥
[01447.78-01448.06] 对吧
[01448.06-01450.58] 那你看我主要能弄性也发挥到极致了
[01450.58-01451.74] 但是人一就打的
[01451.74-01452.66] 活不过来
[01452.66-01453.54] 那这时候
[01453.54-01454.98] 那你的能弄性
[01454.98-01456.26] 没有办法发挥中的
[01456.26-01457.22] 所以我们说了
[01457.58-01460.02] 人的主观能弄性的前提
[01460.02-01462.66] 一定是尊重客观规律
[01462.66-01464.62] 所以在这里这是第一个点
[01464.62-01465.50] 小达下去
[01466.26-01467.06] 掌握的
[01467.06-01468.14] 小达是掌握的
[01468.14-01469.78] 是一个小的细节点
[01469.78-01470.58] 大家要注意
[01470.58-01472.30] 那你说老师你写了个穿了一
[01472.30-01473.42] 那就只得还个穿
[01473.42-01474.30] 那必须的
[01474.30-01474.66] 对吧
[01474.66-01475.18] 这个点
[01475.18-01476.82] 没有我们想象的那么简单
[01476.82-01477.78] 第二点是想
[01477.78-01481.42] 第二点,它本身是在规律自身
[01481.42-01484.82] 这是尊重客观规律,到底合为规律
[01484.82-01487.70] 而规律这个点,在我们的考试当中还特别喜欢考
[01487.70-01489.62] 就需要我们来看一看
[01489.62-01493.50] 在规律这个点上,它到底有哪些考察角度
[01493.50-01496.34] 那我们首先来看一下,第一个到底什么是规律
[01496.34-01498.98] 我们先来看一下规律的喊一
[01498.98-01501.06] 喊一同学们不用被一般请玩一下
[01501.06-01503.26] 在哲学当中的喊一机户都不考
[01503.26-01505.42] 我来说一下,大家来体验一下
[01505.42-01507.82] 他说规律啊 哲学上的规律
[01507.82-01510.26] 规律是世伦本身
[01511.42-01513.22] 是世伦本身
[01513.22-01515.02] 所固有的
[01517.22-01518.22] 所固有的
[01518.22-01519.22] 然后
[01519.22-01520.22] 本质的
[01522.02-01522.82] 最后一个
[01522.82-01524.22] 必然的联系
[01526.62-01529.22] 是伦本身所固有的本质的
[01529.22-01530.02] 必然的联系
[01530.02-01532.22] 说白了规律呢 他就是一种
[01532.22-01532.82] 影响
[01532.82-01535.06] 但这种事务的产生的这种影响
[01535.06-01536.38] 它是势物本身所怎么样
[01536.38-01537.30] 所自带的
[01537.30-01539.38] 这个就叫做本身所酷有的
[01539.38-01541.58] 其实像日常生活当中的规律
[01541.58-01542.30] 有很多
[01542.30-01544.82] 比如说我们观测到的太阳东声
[01544.82-01546.90] 吸落它是万有引力所
[01546.90-01548.10] 解定的 对吧
[01548.10-01549.14] 又或者我们所说的
[01549.14-01550.14] 苹果相下落
[01550.14-01551.78] 它是有万有引力所
[01551.78-01552.54] 解定的
[01552.54-01554.50] 你看这就是我们所说的什么
[01554.50-01555.14] 规律
[01555.14-01556.18] 这个规律
[01556.18-01557.66] 它的考点就在于这
[01557.66-01559.06] 第一个大家注意一下
[01559.06-01560.18] 我们刚才说了
[01560.18-01561.94] 规律是势物本身所
[01561.94-01570.94] 故有的,什么叫做故有,故有就意味着是他,自带的,他不是外界所影响的,这个叫是五本身所故有的。
[01570.94-01575.64] 而考试的时候,大家就意想,就会在这考一个理解性的题目,考察是什么呢?
[01575.64-01583.94] 他说以下,AB,CD,色选的当中,哪一个是哲学上的规律,或者哪一个体现了哲学上的规律?
[01583.94-01592.14] 他如果这么烤的话,他就是集中在谁的考察,这集中在顾有的三个字上坚考察。
[01592.14-01599.54] 我觉得简单厉擋,其实我也把他变成了一道题目,比如说经常会在阿里当中给到这么几个,同时来变弃一下哪一个属于哲学上的规律。
[01599.54-01602.14] 第一个太阳东生希录。
[01605.14-01607.74] 第二个,叫做苹果向下落。
[01607.74-01614.14] 第三个龙生龙 奉生奉
[01614.14-01616.44] 老鼠的日子会打动 哎 不行了
[01616.44-01618.24] 哪一个属于整个上的规律呢
[01618.24-01620.54] 朋友们都觉得说好像都对
[01620.54-01621.74] 但是我刚才说了
[01621.74-01624.14] 考察规律寒异啊 他考虑眼睛
[01624.14-01626.44] 他的观念是在本身做顾有的
[01626.44-01628.14] 一定是这个受所自带的
[01628.14-01629.94] 而不能是外界所影响的
[01629.94-01631.04] 朋友们来看一下
[01631.04-01634.44] 太阳东生虚露他承认是一个现象
[01634.44-01635.94] 承认是一个规律
[01635.94-01638.14] 但他背後的規律叫萬一語定律
[01638.14-01641.74] 是因為萬有眼律定律導致了太陽東升希洛
[01641.74-01642.34] 對吧
[01642.34-01646.54] 那是因為太陽本升具有東升希洛的屬性嗎
[01647.14-01648.06] 不對吧
[01648.06-01651.74] 並不是因為太陽本升具有東升希洛的屬性
[01651.74-01654.34] 因為我們規律要求受本身所固有的嗎
[01654.34-01657.54] 而太陽本升固不固有東升希洛的屬性
[01657.54-01658.54] 不自帶
[01658.54-01661.34] 他是受到了萬有眼律規律的影響
[01661.34-01663.74] 所以他不是受本身所固有的
[01663.74-01665.54] 他不符合哲學上的
[01665.54-01669.06] 跪律,我们充启量说太阳东西虚落是一种现象
[01669.06-01671.86] 它背后体现的是万一里里里里
[01671.86-01674.90] 所以在这里,太阳东西虚落,朋友要注意
[01674.90-01676.58] 它不是事务所顾有的
[01676.58-01679.94] 所以它不能称之为叫做哲学上的跪律
[01679.94-01682.66] 那同理,同理,呗国相下落
[01682.66-01687.06] 呗国相下落,是因为苹果本身自带向下落的属性吗?
[01687.38-01688.58] 也不是吧?
[01688.58-01691.86] 既然不是因为苹果自身的属性
[01691.86-01693.70] 就不符合什么,顾有的
[01693.70-01696.30] 那不符合顾有的算算折血上的规略
[01696.62-01699.62] 不算代表注意这是第2个
[01699.78-01700.50] 那第3一个呢
[01700.50-01702.54] 他们来看一下龙生龙奉生奉
[01702.54-01703.86] 龙位什么生龙
[01703.86-01705.90] 就是因为它本身就有了生龙的属性嘛
[01705.90-01708.94] 这是因为它的基于传所决定的
[01708.94-01709.38] 对吧
[01709.38-01712.66] 所以龙生龙是不是它所顾有的呀
[01712.66-01713.22] 是的
[01713.22-01715.02] 那如果是收本是所顾有的
[01715.02-01717.34] 那就属于折血上的规律
[01717.34-01718.46] 所以在考试的时候
[01718.46-01719.62] 考虑考察过含意呢
[01719.62-01720.38] 考察过
[01720.38-01722.38] 而是在不少地区都考察过
[01722.38-01724.94] 但是大家注意一下,它考规率这个词的时候
[01724.94-01727.26] 一定要抓住是15本身所
[01727.26-01731.10] 固有的这个店,大家注意一下,只是第一个规率的喊一
[01731.10-01732.10] 啊,规率的喊一
[01732.10-01734.54] 那知道了规率喊一之后就从喊一当中
[01734.54-01736.70] 也生出来的规率的特性
[01736.70-01739.54] 规率的特性其实还很多,比如说规率
[01740.30-01744.58] 它具有普遍性,而且规率呢,它强掉了15本身所固有
[01744.58-01746.70] 就强掉它不以人的意志为
[01746.70-01747.74] 转移
[01747.74-01750.38] 不以人的意志为转移就意为着规率就有什么像
[01750.38-01751.62] 客观性
[01752.78-01754.30] 而这个点大注意下
[01754.30-01757.82] 就是理解性题目经常会考察这个点
[01757.82-01761.90] 客观性叫个不以人的一只为赚一
[01763.74-01765.46] 不是你想杂的就杂地的
[01765.46-01767.62] 比如说我们经常会考到的一句话
[01767.62-01769.02] 我们可以理解一下
[01769.02-01772.78] 叫天行有常不为遥存不为结了
[01775.18-01779.90] 不为遥存不为结王
[01780.38-01783.70] 就是天道有他自己運行的規律
[01783.70-01785.94] 不是因為你像有生魚一樣的明軍
[01785.94-01787.22] 就為你多停留一會兒
[01787.22-01789.82] 也不是像你像一樣的像什麼周王啊
[01789.82-01791.14] 和下節上的暴軍
[01791.14-01793.06] 然後馬上就開始早天前
[01793.06-01794.22] 也不是這個樣子的
[01794.22-01795.02] 所以我們說了
[01795.02-01796.82] 天道他自生運行的特性
[01796.82-01798.30] 被人的一只為轉移
[01798.30-01799.06] 然後他問
[01799.06-01801.26] 這句話體現了什麼樣的哲學院裡呢
[01801.26-01803.02] 這句話就體現了啥
[01803.02-01805.70] 就體現了規律就有客觀性
[01805.70-01806.86] 所以這是在這
[01806.86-01808.70] 那承認規律就有客觀性
[01808.70-01810.10] 被人的一只為轉移
[01810.10-01813.50] 那是不是意味者人在規律面前就無能為力了呢
[01813.50-01814.70] 反正呢
[01814.70-01816.50] 天道有他自己運行的規律
[01816.50-01817.90] 自然有他運行的規律
[01817.90-01820.30] 那遇到了自然在海 那就等命吧
[01820.30-01821.70] 看命吧 是這樣嗎
[01821.70-01822.70] 不是吧
[01822.70-01824.90] 你看一當有自然在海來臨的時候
[01824.90-01826.30] 比如說你還想今年呢
[01826.30-01827.70] 我們所說的水災
[01827.70-01829.70] 然後我目前在山多嘛
[01829.70-01830.70] 那你看在山多的時候
[01830.70-01833.10] 前一段時間我的手機還受到了那種
[01833.10-01834.90] 手機預警的那個地震
[01834.90-01836.10] 是在玩了兩年多的時候
[01836.10-01837.30] 他就低低就要夠下了
[01837.30-01837.90] 我都不行了
[01837.90-01839.50] 雖然我是一個微無主義戰士
[01839.50-01842.02] 但是我当时也下得不太敢睡觉 对吧
[01842.02-01843.70] 那你看像这种情况之下
[01843.70-01847.42] 他其实体现了一个点 就是规律这个规律
[01847.42-01850.14] 那怕大载他的这种自然灾害有他自己
[01850.14-01851.22] 运行的走轻的规律
[01851.22-01852.78] 那人在这种自然灾害面前
[01852.78-01853.86] 是不是无能为力的
[01853.86-01855.82] 人在规律面前是不是无能为力
[01855.82-01857.70] 不是他给我做了预警
[01857.70-01859.98] 你比如说现在这个地方下雨
[01859.98-01862.14] 他都会体现给我发预警
[01862.14-01863.42] 那就因为人
[01863.42-01865.14] 规律承认是客观的
[01865.14-01868.66] 但并不意味着人在规律面前是无能美利的
[01869.50-01875.10] 所以把这些话起在旁边就并不意味着人士无能为力的
[01875.10-01878.70] 那人可以发挥主观冷东性
[01878.70-01881.90] 这两个点在考察的时候上面这个客观性
[01881.90-01884.90] 他注意一下考理解行的题目
[01884.90-01891.50] 而下面这句话考的就是一个判断体或者是我们所说的判断选项
[01891.50-01894.90] 经常会考到说人在在面前是无能为力的
[01894.90-01896.90] 什么人在规定面前是无能为力的
[01896.90-01899.72] 人在这面前那面前都是无能为力的错了
[01899.72-01901.28] 一旦强调人是无能为力的
[01901.28-01903.54] 你就只能接受你线有的命运
[01903.54-01905.64] 这时候人就会变得很消解
[01905.64-01907.08] 人并非无能为力
[01907.08-01910.42] 而是能够充分发挥主观能动性
[01910.42-01911.82] 你是能发挥众的
[01911.82-01913.26] 你是万物之灵
[01913.26-01916.98] 所以在这个过程中我们才特别强调意识的作用
[01916.98-01918.26] 意识的反作用
[01918.26-01919.34] 意识的能动作用
[01919.34-01921.70] 就是人一定是会起作用的
[01921.70-01923.10] 所以在这里大家注意一下
[01923.10-01924.90] 所以他说什么什么是无能为力的
[01924.90-01925.92] 你想都不要想
[01925.92-01928.48] 它在马斯里倫当中一定是错的
[01928.48-01929.94] 所以这是第二个
[01929.94-01931.30] 叫做它的特性
[01931.30-01935.66] 而从它的特性当中也可以抽象出来一个打提的技巧
[01935.66-01938.34] 这个打提的技巧就是变于我们
[01938.34-01941.28] 不用看提个也能直接排除
[01941.28-01943.84] 它到底是抽选项还正确选项
[01943.84-01945.50] 因为规律是客观的嘛
[01945.50-01947.44] 所以在这里面我们就会发现
[01947.44-01950.24] 我们如果在规律前面出现了这样的词
[01950.24-01952.54] 比如说规律前面出现了改造
[01952.54-01955.34] 改变
[01955.34-01958.14] 还有创造
[01958.14-01962.90] 消灭
[01962.90-01965.26] 你看我没写一个字他都要跳出来啊
[01965.26-01968.58] 消灭然后出现了
[01968.58-01971.02] 完善天哪
[01971.02-01973.78] 这个时候我和我的事我却都经单了
[01973.78-01974.94] 我身上有点无语
[01974.94-01976.42] 我把他写的上面好吧
[01976.42-01978.14] 咱们重新写一下
[01978.14-01982.90] 就是规律前面出现了比如说改造改变
[01984.18-01985.50] 然后创造
[01987.54-01988.38] 休滅
[01990.06-01991.22] 然后还出现什么呢
[01991.22-01992.06] 完善
[01993.26-01994.06] 发展
[01994.34-01996.62] 这种词出现在规律前面
[01996.62-01997.38] 大家注意一下
[01997.38-01998.78] 这个说法就一定是什么
[01998.98-02000.18] 一定是错的
[02000.18-02000.90] 明白了吧
[02000.90-02002.02] 就一定是错的
[02002.18-02003.06] 你可老实
[02003.38-02004.86] 完善和发展还不对
[02004.86-02005.34] 还不对啊
[02005.34-02007.14] 规律是数本是所顾有的
[02007.14-02008.54] 用我們去玩上發展
[02008.54-02009.70] 它做出那個樣子
[02009.70-02011.78] 所以在規律前面出現這些詞
[02011.78-02013.26] 比如說我們可以
[02013.26-02015.26] 而認識規律並改造規律
[02015.26-02016.78] 你看這種詞一旦出現
[02016.78-02018.42] 上去把這個選項打個差
[02018.42-02019.42] 我們都不用看提幹
[02019.42-02021.22] 你就知道它是錯的
[02021.22-02023.70] 所以在這裡打一定要注意
[02023.70-02026.50] 但是如果規律前面出現另外一句話
[02026.50-02028.78] 比如說我們可以認識規律
[02028.78-02031.38] 我們可以利用規律
[02031.38-02033.86] 然後尊重規律
[02033.86-02035.90] 那這種詞出現在規律面前
[02035.90-02037.70] 这个说法就是政确的
[02037.70-02040.78] 这个技巧可以帮助我们迅速去排除
[02040.78-02042.06] 提干当中的
[02042.06-02043.14] 错选项
[02043.14-02045.14] 其实它可以提升一个大体效率
[02045.14-02046.54] 第二个提高做体速度
[02046.54-02048.26] 所以在这里面大助一下
[02048.26-02049.86] 有关于规律
[02049.86-02051.50] 它自身一共说两个考点
[02051.50-02052.74] 第一个考换一
[02052.74-02054.86] 那第二个就考察它的客观性
[02054.86-02056.30] 从官方线也身出来
[02056.30-02058.30] 就是因为人能充分发挥
[02059.10-02060.46] 主观能弄性
[02060.46-02062.86] 而又是因为我们所说的规律
[02062.86-02063.74] 它具有
[02064.42-02065.74] 一定的客观性
[02065.74-02069.70] 所以在规律前面出现改造改变创造消灭完善发展
[02069.70-02072.58] 出现在规律前面或者和规律搭配使用
[02072.58-02073.94] 这种说法通通多错
[02073.94-02075.46] 但是认识利用尊重
[02075.46-02076.34] 手奥可以的
[02076.34-02078.14] 这个就是我们所说的
[02078.14-02080.02] 物质一使变定关系当中的
[02080.02-02081.82] 最后一个方法论
[02081.82-02082.74] 到这
[02082.74-02085.98] 我们就把物质和一使的关系给大家说完了
[02085.98-02087.30] 说完了这个内容之后
[02087.30-02089.82] 咱们还要对今天讲的
[02089.82-02092.78] 物质和一使变定关系做一个收理和回顾
[02092.78-02103.22] 全第一個叫物質,決定意識,我們給到了一個打提技巧,是和物質是一樣的,三句話,給它翻譯成刻彎時情況起到絕對有,選哪個多性?
[02103.22-02118.12] 但是物質決定意識並為意味著意識完全被動,說意識就有反作用,而我們說了反作用就是能動作用,就等於主觀能動性,就等於人的作用的法規,但是這裡面需要我們去注意,意識的反作用,
[02118.12-02128.56] 两层考点,第一层考点就是,作为判论提出现,意识有正确和错误之分,如果他只说,意识能够促进什么什么的发展就错了。
[02128.56-02135.02] 第2个就是,意识能弄作的具体表现,这里卓重注意一下创造性和调控人的声音和行为。
[02135.02-02138.66] 很喜欢考,理解形容题目,这是原理。
[02138.66-02147.00] 那物质决定意识要求我们从实际触发,意识对物质就反作有要求我们,尊重叫充分发挥,主观能弄性。
[02147.00-02148.24] 左右 两片
[02148.24-02151.12] 首先第一个 发挥主要能弄性的前提
[02151.12-02152.28] 尊重科官规律
[02152.28-02154.24] 第二个 规律到底怎么考
[02154.24-02156.28] 大家要知道 第一个考韩议
[02156.28-02157.32] 第二个考科官性
[02157.32-02159.40] 这里面有一个打提及挑战
[02159.40-02161.08] 这个就是我们所说的
[02161.08-02163.56] 物质和艺术的变成关系
[02163.56-02167.52] 到这我们就算是把整个卫无论都给大家说完了
[02167.52-02168.76] 既然说完了
[02168.76-02171.64] 我们所说的学习是为了做体
[02171.64-02174.64] 咱们就根据以往的打提的技巧
[02174.64-02176.12] 来看一下这些题目
[02176.12-02177.32] 到底宣传
[02177.32-02178.60] 原来看一下第一体
[02178.60-02181.04] 它说巧复南为5米之初一
[02181.96-02184.04] 说那巧复南为5米之初一
[02184.04-02184.88] 咱们说了
[02184.88-02188.28] 巧是它能发挥的能动性
[02188.28-02189.04] 对吧
[02189.04-02193.08] 而我们所说的5米代表的是客观实际情况
[02193.08-02194.48] 巧复南为5米之初
[02194.48-02195.52] 是客观实际情况
[02195.52-02197.72] 至于能动性的发挥
[02197.72-02199.08] 那就是客观实际情况
[02199.08-02200.16] 起到决定作用
[02200.16-02201.32] 所以在这里面
[02201.32-02203.32] 就要去选误之决定意识
[02203.32-02204.36] 这一类的点
[02204.36-02204.80] 对吧
[02204.80-02206.08] 来看一下一选项
[02206.08-02208.48] 说主文能东性的发挥不需要任何条件
[02208.48-02209.92] 那只大错特错了
[02209.92-02210.44] 对吧
[02210.44-02212.48] 他有尊重客观规律
[02212.48-02213.24] 地角效
[02213.24-02216.84] 主文能东性发挥需要依赖一定的客观物这条件
[02216.84-02218.72] 那你觉得不大大的胆的对号吗
[02218.72-02219.12] 对吧
[02219.12-02220.56] 随选项来看一下
[02220.56-02221.96] 说客观能东性
[02221.96-02223.76] 咱讲我客观能东性吗
[02223.76-02226.32] 没有咱们只讲过主观能东性
[02226.32-02227.60] 随合地
[02227.60-02228.80] 在造有
[02228.80-02228.96] 对吧
[02228.96-02230.16] 造有有讲证据的
[02230.16-02230.88] 用东边话来说
[02230.88-02232.40] 这两个选项完全就变出来的
[02232.40-02234.40] 东边话就做变吧
[02234.40-02238.20] 所以在这里大家注意一下第一体选择的是第二个 指第一体
[02239.32-02240.56] 第二体来看一下
[02240.76-02242.52] 说下来符合哲学上的定律
[02242.52-02246.12] 哲学上的规律 它叫做固有的
[02246.40-02247.48] 那既然是固有的
[02247.48-02250.84] 在这里面就是应该是啥 中瓜 北瓜
[02251.20-02253.40] 所以哲体选择的是死地
[02253.40-02255.76] 就看是不是是所自带的
[02256.48-02258.40] 好 再来看一下第三体
[02258.64-02259.80] 三体是个判券体
[02259.80-02262.04] 所以意识的能动作用 考能动作用
[02262.04-02266.60] 叫做能弄的认识世界或者叫做反应世界
[02266.60-02268.04] 认识和反说的是一回事
[02268.84-02271.20] 同时也包括创造世界吗
[02271.84-02273.48] 只能通过世界怎么样
[02273.60-02275.68] 改造世界不能创造
[02275.68-02277.68] 一旦创造线不道为新主意当中
[02278.04-02279.20] 所以第三句说话是
[02279.64-02280.20] 错的
[02280.36-02281.56] 所以答案能够看到
[02281.56-02282.80] 它其实很多
[02282.92-02284.44] 比如说考现在的哲学
[02284.44-02286.12] 它不会像以前考的那么简单了
[02286.12-02287.48] 它现在大部分的要么就是
[02287.72-02289.88] 出案例要么就是考细节
[02289.88-02291.04] 这种会比较多
[02291.04-02295.04] 所以我们所说的提目
[02295.04-02297.04] 提目说了
[02297.04-02300.04] 到这咱就把整个微弱论都给大家说完了
[02300.04-02302.04] 说了整个微弱
[02302.04-02304.04] 其实我们要把微弱论做一个书里
[02304.04-02306.04] 我在这里面把整个微弱的点
[02306.04-02308.04] 就变成了一个狂奸
[02308.04-02309.04] 就是这个狂奸
[02309.04-02311.04] 这个狂奸可能现在这么看着有点小
[02311.04-02314.04] 但它其实有些小小的一张纸
[02314.04-02316.04] 就能扩了咱们以上三节学的内容
[02316.04-02318.04] 我之前不是给大家说过蒙说
[02318.04-02321.44] 我们只要只要6个随导图
[02321.44-02324.44] 导论是一个随导图
[02324.44-02325.84] 维吴论是一个随导图
[02325.84-02328.24] 这其实我们导图当中的第三章了
[02328.24-02329.84] 其实还是老规矩
[02329.84-02332.04] 同一们如果需要这个随导图的话
[02332.04-02333.64] 你就记得给老师点的赞
[02333.64-02336.84] 然后再评论区当中留下维吴论三个字
[02337.64-02339.64] 我就会把整个维吴论的导图
[02339.64-02340.84] 分享给大家了
[02340.84-02343.84] 那如果有同学需要自己画的也行
[02343.84-02345.24] 也同学需要自己画也不是不可以啊
[02345.24-02346.84] 但是如果发了话来的话
[02346.84-02348.52] 我相同能够分享一下
[02348.52-02351.96] 我也看一下大家画了这个思路上没有什么问题
[02351.96-02354.40] 这个就是我们讲到的有论
[02354.40-02358.12] 有物质有意识有物质和意识的变政关系
[02358.12-02360.36] 在物质当中咱们当时讲了啥呢
[02360.36-02362.72] 我们在物质当中讲了物质
[02362.72-02364.76] 讲了运动还讲了
[02364.76-02365.40] 静止
[02365.40-02367.88] 所以在这个物质当中我们抽象出来了
[02367.88-02369.92] 两个打提计巧
[02369.92-02370.92] 大家还记得吧
[02370.92-02372.52] 一个是物质
[02372.52-02374.76] 一个是运动和静止
[02374.76-02376.00] 还有两个杀呢
[02376.00-02378.12] 还有我们所说的两个一混关系
[02378.12-02379.68] 一个是物质运动的关系
[02379.68-02381.56] 一个是运动和静止的关系
[02381.56-02382.88] 从学到这
[02382.88-02384.52] 我是我有点忘了
[02384.52-02385.56] 你不想忘了
[02385.56-02386.64] 如果忘了的话
[02386.64-02388.20] 就回去再把这个
[02388.20-02390.24] 蔣易从头到尾输里变了
[02390.24-02391.76] 那这是两个关系
[02391.76-02393.24] 两个关键子
[02393.24-02395.16] 这是我们之前所提高的
[02395.16-02396.60] 我们讲了误之后
[02396.60-02398.36] 其实为大家讲了意识
[02398.36-02400.48] 所以我们在意识当中讲了这么几句话
[02400.48-02403.12] 第一个是物质世界长期发展的惨物
[02403.12-02405.44] 就包括在任界和人类社會
[02405.44-02407.80] 而人类社會發表過程當中能夠使得
[02407.80-02410.44] 意識產生起到決定做的就是老動
[02410.44-02411.16] 那啥呢
[02411.16-02413.56] 因為老動出使人鬧的生成
[02413.56-02417.48] 於是人鬧就成了意識產生的一個氣面
[02417.48-02419.00] 裝著意識的這個東西
[02419.00-02420.08] 叫做物質氣觀
[02420.08-02422.84] 而同時意識它就是你大老的一個功能
[02422.84-02423.96] 為什麼會產生意識
[02423.96-02425.96] 咱也不知道目前還在研究當中
[02425.96-02426.36] 對吧
[02426.36-02427.92] 這個就是我們所說的
[02427.92-02428.56] 人鬧
[02428.56-02429.72] 而人鬧
[02429.72-02430.80] 它我們所說的
[02430.80-02432.24] 是意識產生物質氣觀
[02432.24-02434.92] 而在人闹旧之上我们对意识的定义
[02434.92-02437.72] 就是对客观存在的主观影响
[02437.72-02438.80] 于是我们当中说了
[02438.80-02440.24] 你的闹子就是一个啥
[02440.24-02441.48] 大大的加工厂
[02441.48-02443.60] 在大大的加工厂里加工厂工压
[02443.60-02443.96] 对吧
[02443.96-02446.48] 在大大的加工厂里面有原料
[02446.48-02447.60] 这个原料呢
