[00000.00-00005.38] 好的,那我们把前面的大概的核通论原理给大家就说完了
[01177.38-01180.84] 它的得利表现在第一个就是一方获意
[01180.84-01184.74] 一方获意相对的就是另一方有所损失
[01184.74-01187.34] 这个就叫做不当得利当中的
[01187.34-01191.02] 它的第二个和第三个要件就是一方获意一方受損
[01191.02-01193.14] 但这个一方获意大家注意一下
[01193.14-01196.86] 里面的获意它只能财产全一个增加
[01196.86-01199.46] 而人生全一个增加不能过程不当得利
[01199.46-01200.50] 所以大家注意一下
[01200.50-01201.50] 这是一方会议
[01201.50-01203.30] 那另一方就是受損
[01203.30-01204.42] 那另一方受損
[01204.42-01205.42] 所以在这里面
[01205.42-01206.98] 这是第3个第4个
[01206.98-01208.66] 那第2个第3个
[01208.66-01209.38] 那第4个呢
[01209.38-01209.82] 就是
[01210.46-01212.38] 获得了立以后受到的损失之间
[01212.38-01214.18] 它有一定的英国关系
[01214.18-01217.14] 那这个就够成了我们所说的不到得立
[01217.14-01218.78] 所以在这里大家主要找过一下
[01218.78-01219.98] 不当得立过程要件
[01219.98-01221.98] 就说没有什么客观原因
[01221.98-01223.14] 一方获得好出了
[01223.14-01224.22] 那这个就不当得立
[01224.22-01225.50] 那中典其实在于什么呢
[01225.50-01226.14] 中典是在于
[01226.14-01227.10] 如果是
[01227.10-01229.62] 在我们所说的双方当审之间
[01229.62-01231.58] 有一方真正的不当得力了
[01232.14-01233.58] 这种情况之下
[01233.58-01234.74] 不当得力它的反
[01234.74-01237.62] 它的我们所说的效率在什么
[01237.62-01239.26] 这个是在理解性题目当中
[01239.26-01241.18] 比较喜欢考察的重点
[01241.18-01242.18] 就给简单的例子
[01242.18-01244.34] 在这里我们先来看一下这个提干
[01244.34-01245.58] 这个内容
[01245.58-01247.06] 它说售一人
[01247.06-01249.30] 它具有什么同胸发反昏化出来
[01249.30-01250.18] 售一人
[01250.18-01252.34] 它是有一定的反昏意目的
[01252.34-01254.58] 你看它说不当得力成立以后
[01254.58-01259.22] 受害人有全情球受亿人反还不当得例
[01259.22-01262.62] 比如说刚才我们在路边減小狗的这个事
[01262.62-01264.02] 我把小狗減回家了
[01264.02-01265.82] 我认为小狗是我自己的
[01265.82-01267.66] 然后我就对这个小狗特别的好
[01267.66-01268.94] 结果小狗是别人的
[01268.94-01269.26] 对吧
[01269.26-01272.10] 这个就是你认为是你的实际是别人的这件事
[01272.46-01273.46] 我在这里面
[01273.46-01276.42] 我给小狗看病一共花了两千多块钱
[01276.42-01279.22] 我说了这个你走无因管理之下要不回来
[01279.22-01280.50] 但是你可以走什么
[01280.50-01282.58] 你可以走不当得例之战
[01282.58-01288.14] 所以可以怎么样 可以请求我们所说的什么 反还不当的
[01288.14-01294.54] 你就可以请求构的主人把这个钱退给你 这个叫做反还以往 这个叫做收医人到反还以往
[01294.54-01297.58] 如果在这里面他在考试的时候会更细细形
[01297.58-01301.46] 我们在进行收医人打还的时候 分成了两种情况
[01301.46-01305.94] 一种是善意的收医人 一种是恶意的收医人
[01305.94-01309.94] 如果是刚才那种钱的话 那很好搞 你换了多少钱
[01309.94-01311.54] 你就像他请求多少钱就行了
[01311.54-01313.02] 只要是必要费用之处
[01313.02-01314.66] 你花多少就请求多少
[01314.66-01316.74] 这个地方就没有什么难度
[01316.74-01317.86] 难度是什么呢
[01317.86-01320.50] 难度就是他不当得立了一个东西
[01320.50-01321.86] 这个东西是一个修后品
[01321.86-01324.02] 那这个时候就比较难稿了
[01324.02-01325.70] 举个简单的例子来说
[01325.70-01326.34] 比如说
[01327.46-01329.06] 我们就以相适为立吧
[01329.06-01329.42] 行吧
[01329.42-01330.62] 我们就以相适为立
[01330.62-01331.22] 假设呢
[01331.22-01333.30] 现在是某某盼相适
[01334.74-01335.66] 咱就本没有
[01335.66-01336.50] 某某盼相适了
[01336.50-01336.82] 好吧
[01336.82-01338.38] 咱们就举个
[01338.38-01341.90] 我最少是不太了解,我还飞在举相水
[01341.90-01345.78] 咱们就说C相水吧
[01345.78-01348.30] 咱们就说C相水
[01348.30-01352.94] 假设C相水它现在有电庆活动
[01352.94-01354.50] 电庆活动是什么呢?
[01354.50-01356.06] 这个电庆活动说的是
[01356.06-01359.10] 如果你是本电的烙客户了
[01359.10-01361.66] 我就给烙客户一个回饿
[01361.66-01363.78] 什么回饿呢?
[01363.78-01366.66] 如果是你老客户
[01366.66-01368.70] 比如说他给你限定
[01368.70-01370.98] 说你在本来消费经过多少钱以上
[01370.98-01373.38] 或者是你成为本来会员多少年以上的
[01373.38-01374.94] 我就给你一个回会
[01374.94-01375.66] 什么回会呢
[01375.66-01376.78] 这是回回座
[01379.06-01379.74] 回座
[01379.74-01381.14] 回座两平
[01383.02-01384.18] 正庄相选
[01384.18-01385.78] 限量版的正庄相选
[01386.26-01387.58] 反正就是这样的
[01387.86-01389.82] 这个就是电轻的活动
[01389.82-01394.58] 然后在电器活动当中他们就去篩选他们电里面的老客户
[01394.58-01396.42] 然后选选到老客户之后
[01396.42-01398.26] 然后有一天这个电脚
[01398.26-01399.82] 他就因为工作特别忙
[01399.82-01401.22] 他就跟电源交代说
[01401.22-01403.02] 因为他跟老客户约好了
[01403.02-01404.94] 让老客户今天来取消水
[01404.94-01407.22] 然后他就跟这个电源交代
[01407.22-01410.98] 说如果明天早上有一个流性的女子
[01410.98-01412.54] 就是流性的女士
[01413.62-01414.62] 来电梨了
[01416.74-01418.22] 我就只写关键死好不好
[01418.22-01419.06] 我就不主持写了
[01419.06-01421.94] 所以如果有一个流星的女士来到跌里了
[01421.94-01424.50] 他们他是咱们跌的老庸户了
[01424.50-01427.86] 然后再跟跌里会员也是通老一年
[01427.86-01430.86] 然后再跟跌里当中消费也消费了好几年
[01430.86-01433.90] 说如果在明天上午
[01433.90-01435.70] 假设上午10点的时候
[01435.70-01437.82] 这个流女士来到咱们跌里面
[01437.82-01440.06] 你就把这个量平的这个销鼠
[01440.06-01441.54] 增给这个流女士
[01441.54-01443.06] 所以在这个地方
[01443.06-01444.66] 他就跟跌人就要再清楚了
[01444.66-01445.62] 然后他就问跌元
[01445.62-01446.34] 听明白了吗?
[01446.34-01447.14] 电影设听明白了
[01447.14-01447.18] 然后电影设听明白了
[01447.18-01450.62] 然后电影设听明白了
[01450.62-01452.90] 然后电影设听上午也没有来到电影
[01452.90-01454.78] 结果真到电影上午的时候
[01454.78-01455.86] 然后来人了
[01455.86-01458.38] 电影上午实践的时候就来了一个女士
[01458.38-01459.66] 来了一个女士之后
[01459.66-01460.82] 然后这个时候电影就问
[01460.82-01462.50] 他跟着你和请问是刘女士吗
[01462.50-01463.30] 然后这个女士
[01463.30-01465.06] 当时一联梦趣说是
[01465.06-01466.42] 说我是刘女士怎么了
[01466.42-01467.82] 他说你是这样的
[01467.82-01469.18] 这是你的两平相选
[01469.18-01470.42] 是我们增给你的
[01470.42-01472.46] 然后当时这个刘兄女士
[01472.46-01473.50] 他对于点梦了
[01473.50-01474.66] 他以为
[01474.66-01480.86] 这是店里面在搞什么我们所说的类似于抽小活动或者是那么幸运大小活动
[01480.86-01481.98] 他也没多问
[01481.98-01484.54] 然后他就把这个香水拿回家了
[01484.54-01487.42] 然后结果到了后面一回来的时候
[01487.42-01490.94] 店长回来就给我们所说的老客户打电话
[01490.94-01494.58] 然后他就打到了原本的那个顾客临女士身上了
[01494.58-01495.54] 他就问这个女士了
[01495.54-01496.26] 他就说
[01496.26-01499.58] 他说我们这个回宗的这两片销水你还满意了
[01499.58-01501.74] 结果当时的那个客户流行女士
[01501.74-01503.02] 这个老客户流行女士
[01503.02-01503.86] 很猛圈
[01503.86-01505.86] 我不知道有相似这个事
[01505.86-01507.62] 说也没有人联系我说
[01507.62-01508.82] 我还帮了跟你说了
[01508.82-01510.50] 说我给你约了早上十点去电量
[01510.50-01511.98] 但结果有点事我就没去
[01511.98-01513.66] 我给忙的就没跟你说
[01513.66-01516.74] 结果是个出现了这种无隆事件
[01516.74-01520.66] 就是原来的这个零女士来电力令相似的意思
[01520.66-01522.06] 不是老客户
[01522.06-01524.70] 也就是此零女士飞零女士
[01524.70-01528.38] 于是不知情的零女士就把这个相似就拿回家了
[01528.38-01529.62] 结果拿回家了之后
[01529.62-01530.90] 他就把这个相似就噴了
[01530.90-01533.30] 还一噴我的天的味道好香
[01533.30-01534.30] 如木春風
[01534.30-01536.30] 直播的味道就是符合他的這個味道
[01536.30-01537.26] 他不知道這個事
[01537.26-01538.30] 於是感近
[01538.30-01539.10] 掉尖控
[01539.10-01540.14] 然後去找這個流女士
[01540.14-01542.30] 大家就知道這兩篇商場價值不負
[01543.14-01545.30] 我也不知道相損能歸到什麼程度
[01545.30-01548.30] 然後大概就是這麼一個案情
[01548.30-01549.30] 大家能理解的
[01549.30-01550.70] 這樣情況之下你看
[01550.70-01551.74] 這個來跌離負
[01551.74-01552.74] 來跌離的
[01552.74-01554.30] 這個幸運而流女士
[01554.30-01555.42] 就是這個新客戶
[01555.42-01557.82] 流女士我把稱為叫新流女士吧
[01557.82-01559.22] 這個新客戶流女士
[01559.22-01560.58] 他拿到了這兩篇銷水
[01560.58-01562.10] 首先來看一下這兩篇銷水
[01562.10-01563.90] 服服不让德力的条件
[01564.14-01564.90] 全第一个
[01564.90-01566.66] 零女是拿到这两片消息
[01566.66-01567.74] 有没有我们所说的
[01567.74-01569.66] 法律的规定或合同的原因
[01570.02-01570.74] 没有吧
[01570.74-01572.86] 因为他就是来到电力看眼
[01572.86-01573.98] 结果就被送了两片消息
[01573.98-01574.86] 所以首先第一个
[01574.86-01576.86] 他惑利没有合法一句
[01577.02-01578.22] 第二个他惑利了吧
[01578.22-01580.02] 他惑利意味着谁受损失
[01580.22-01581.30] 他惑利意味着
[01581.42-01582.58] 电力受损失了
[01582.58-01583.34] 两片消息
[01583.34-01584.50] 价值了五千块钱
[01584.50-01586.38] 或者两片消息价值一千块钱
[01586.38-01587.34] 反正大概就这样
[01587.34-01589.10] 所以一方惑利方受损
[01589.10-01590.42] 而且惑利和数损之间
[01590.42-01591.34] 有没有英国关系
[01591.34-01593.64] 這是因為希流女士獲利了
[01593.64-01596.24] 所以導致電力面什麼呀 受損了
[01596.24-01598.52] 這是他們之間有英文觀想
[01598.52-01603.58] 所以剛才新的客戶流女士拿相損的行為
[01603.58-01604.76] 他就過程了什麼
[01604.76-01605.68] 不當得力
[01605.68-01607.00] 但是這時候我們說了
[01607.00-01608.64] 如果過程不當得力的話
[01608.64-01610.00] 這個數一人
[01610.00-01612.70] 就是這個新客戶流女士
[01612.70-01614.74] 他有反魂相損的什麼
[01614.74-01615.38] 義務
[01615.38-01616.98] 那這時候反魂相損
[01616.98-01617.94] 反魂多少
[01617.94-01618.78] 他就是個問題了
[01618.78-01620.26] 因為我剛才說了這個流女士
[01620.26-01621.42] 把这两瓶销甩
[01621.42-01623.26] 拿回家这块就噴了
[01623.26-01623.90] 报处噴了
[01623.90-01625.42] 没有文货这么香的香水
[01625.42-01626.62] 这个味道很清潔
[01626.62-01628.90] 就帮空气清清进的模拥
[01628.90-01631.30] 结果这个电源
[01631.30-01632.18] 就是这个电脚
[01632.18-01634.02] 找到新客户家里的时候
[01634.02-01635.74] 这个销甩已经噴了一瓶瓣了
[01635.74-01637.34] 那只有时候反昬一瓶
[01637.34-01638.46] 应该怎么反昬呢
[01638.46-01639.86] 这个新客户流泥是
[01639.86-01641.22] 要不要承担两瓶
[01641.22-01642.42] 香水的反昬一瓶
[01642.42-01644.10] 那在这里面就要去判断
[01644.10-01645.30] 这个售一人
[01645.30-01647.14] 也就是这个新客户流泥事
[01647.14-01649.22] 它是不是善意的
[01649.22-01650.06] 来看一下
[01650.06-01652.86] 如果这个新客户留你是它是善意的
[01652.86-01655.56] 也就是它对于这种行为它不知道
[01655.56-01658.96] 且不阴当知道取得的利益没有法律根据的话
[01658.96-01660.86] 那这种手推定它为善意的
[01660.86-01662.16] 那这种手怎么办呢
[01662.16-01665.56] 只反显存利益
[01665.56-01667.36] 也就是在这个地方呢
[01667.36-01669.06] 留你是我刚才说了
[01669.06-01670.86] 这个新客户留你今天的时候
[01670.86-01672.86] 它不知道它不知道这是给老客户
[01672.86-01676.36] 它以为它是被采访的这个性源人
[01676.36-01677.86] 它也确实性流啊
[01677.86-01678.06] 对吧
[01678.06-01679.16] 所以在这种情况下
[01679.16-01680.00] 他就是什么
[01680.00-01681.92] 他就是善意的收益人
[01681.92-01683.48] 那如果在这种情况之下
[01683.48-01687.28] 这个C的相似电要求他反映的话
[01687.28-01688.20] 他只反映什么
[01688.20-01689.52] 只反映现存率就行了
[01689.52-01690.64] 他不是盼了半天吗
[01690.64-01693.52] 那就把生起的一平半还给人家就行了
[01693.52-01695.12] 那这有时候不需要对那半平
[01695.12-01696.80] 要承担相当的责任明白吧
[01696.80-01697.64] 这是善意的
[01697.64-01698.92] 那如果是恶意的呢
[01698.92-01699.80] 恶意收益人呢
[01699.80-01701.40] 就是他知道或者是
[01701.40-01703.20] 阴当知道自己所取得的利益
[01703.20-01705.12] 没有法律上的个根据的话
[01705.12-01706.16] 那这有时候他干嘛
[01706.16-01707.76] 他要反映其得到
[01707.76-01710.64] 一切立意病意法 配上损失
[01710.64-01711.72] 也认为在这里面
[01711.72-01714.16] 你用多少 你就陪多少
[01714.16-01715.00] 明白这个意思吧
[01715.00-01716.40] 就会简单的例子还是
[01716.40-01718.40] 这个伦女士说上午实践的时候
[01718.40-01720.16] 如果跦里来了一个独女师
[01720.16-01721.24] 然后你记得
[01721.64-01722.84] 把这两分上说给他
[01722.84-01723.72] 坏一干净
[01723.72-01725.04] 结果第二天上午实践的时候
[01725.04-01726.00] 确实来了
[01726.00-01726.04] 确实来着了
[01726.04-01727.00] 确实来着之后
[01727.00-01728.64] 然后这个跦里来着
[01728.64-01729.52] 这后上女局说
[01729.52-01730.88] 请问你是伦女师吗
[01730.88-01732.40] 然后这个人呢
[01732.40-01733.36] 他不幸留
[01733.36-01735.04] 然后他假装自己幸留
[01735.04-01735.84] 他说是
[01735.84-01737.12] 说请问有什么事情吗
[01737.12-01739.76] 他說這是我們電力給你準備的兩天相手
[01739.76-01740.68] 我們的老客戶都有
[01740.68-01741.88] 然後結果這個流女士
[01741.88-01744.24] 明知這個東西不是給他的
[01744.24-01745.24] 他還拿回家了
[01745.24-01747.16] 而且他一看這個相鎖的動好
[01747.16-01748.48] 他覺得這個相鎖哇好貴
[01748.48-01750.04] 對吧 兩平常就花一千塊錢
[01750.04-01751.72] 然後拿回家了 趕緊拿回家
[01751.72-01753.28] 拿個家是嗎 移頓噴呢
[01753.28-01754.44] 然後不僅移頓噴
[01754.44-01757.12] 還把這個相鎖到自己的分装頻率去
[01757.12-01759.12] 然後就怕回頭別兒找他要
[01759.12-01760.28] 比如國不期間呢
[01760.28-01763.32] 這個電裡面一旦掉去這個監控路向就發現
[01763.32-01764.92] 這個東西怎麼樣 不是他的
[01764.92-01766.88] 那這種情況之下就像問一下
[01766.88-01771.78] 那跌里面找到这个莫充有女士的这个人让他反归相试的时候
[01771.78-01772.68] 他反归多少呢
[01773.84-01775.52] 多么来看一下他反归多少
[01775.52-01778.40] 他反归我们所说的所受力也
[01778.40-01780.82] 有的是他把这个相试用了一品败
[01780.82-01782.50] 然后还给他分装到其他品率了
[01782.50-01784.64] 那他要反归的就是两品的力
[01784.64-01785.30] 明白了吧
[01785.30-01787.70] 所以在这里面他说他要反归
[01787.70-01789.40] 一切力也就在这
[01789.40-01790.00] 明白了吧
[01790.00-01791.12] 就是你用了多少
[01791.12-01793.76] 你当初所受的受益是多少
[01793.76-01794.68] 你就反归多少
[01794.68-01795.76] 因为你是恶意的嘛
[01795.76-01796.64] 你要反归
[01796.64-01799.86] 不仅反环利,如果说利益不存在的话,那就贴上损失
[01799.86-01805.22] 也就说,你拿走了两片相适,你相适如果没用,就原来他们两片环利人家
[01805.22-01811.74] 如果你用了一片环,用了半片,还生一片半,这种情况之下,你要把那半片的损失,配上给人家
[01811.74-01818.84] 那这时候就看我们所说的不当得利的反环,到底反红多少,就推定它生恶意的还是善意的,就可以了
[01818.84-01822.08] 這是我們所說的不當得利的法律效率
[01822.08-01822.96] 所以大家注意一下
[01822.96-01824.40] 這是我們所說的叫做
[01824.40-01826.24] 受議人的反環義務
[01827.24-01828.44] 這是第一個點
[01828.44-01830.92] 第二點就是第三人的反環義務
[01830.92-01832.52] 第三人的反環義務在於什麼呢
[01832.52-01833.92] 碰到3人化出來
[01833.92-01834.96] 然後把反環化出來
[01834.96-01835.64] 他說了
[01835.64-01836.92] 說得利人
[01836.92-01839.36] 一將取得利物場轉給第三人的
[01839.36-01840.84] 受損失的人可以請求
[01840.84-01843.48] 第三人在相反的那一層單一五
[01843.48-01844.44] 這個案情
[01844.44-01846.08] 咱們就給他具體一點
[01846.08-01846.48] 好吧
[01846.48-01849.20] 嗯 我应该怎么给大家去写呢
[01849.20-01850.68] 我又没给大家写出来呢
[01850.68-01853.72] 应该不用把我就直接把这个暗率去延伸一下好吧
[01853.72-01855.24] 那我还是稍微写一下吧
[01855.24-01857.52] 有时候自己一个人讲课啊
[01857.52-01859.48] 跟大家没有互动的时候呢
[01859.48-01862.56] 就可能会出现这种自言自愉的情况
[01862.56-01864.80] 那我们就把这个暗率稍微丰富一下
[01864.80-01866.20] 如果说是第一种情况
[01866.20-01867.16] 我这想圈一样
[01867.16-01869.52] 就是有一个新来的
[01871.92-01872.96] 伦女士
[01873.96-01875.60] 那就是我说的那个暗率
[01875.60-01878.60] 他拿走了香水 并噴了
[01879.28-01882.60] 拿走香水 然後噴了半瓶
[01886.16-01887.56] 这是第一种情况 对吧
[01887.56-01888.40] 这种情况之下
[01888.40-01890.40] 我们认为新来的牛女士他是什么
[01890.40-01892.40] 他是善意的
[01893.40-01895.52] 这种时候就反昬现存力就行了
[01895.52-01897.12] 那第二种情况就是
[01897.12-01899.12] 假设第二天早上跌累来的是
[01899.12-01900.16] 铃女士
[01900.16-01904.08] 而不是铃女士 铃女士 猫充铃女士
[01905.60-01910.60] 拿走香水冰噴了
[01910.60-01915.60] 拿走消水噴了半天
[01915.60-01917.60] 那这样情况下我们认为理女士他是什么
[01917.60-01919.60] 他是恶意的
[01919.60-01922.60] 那这里面这个恶意就要求他
[01922.60-01924.60] 赔偿所得绿损失
[01924.60-01926.60] 这个地方大家能理解
[01926.60-01927.60] 就是你拿走两天
[01927.60-01928.60] 如果没噴了还好
[01928.60-01929.60] 你把这两天都还个人家
[01929.60-01931.60] 如果你噴了一噴了半天
[01931.60-01932.60] 还剩一噴半
[01932.60-01933.60] 你那半天的鲜腰赔
[01933.60-01934.60] 这是第二种情况
[01934.60-01936.84] 还有什么情况的还有就是第三种情况
[01936.84-01940.76] 第三种情况的就是确实是在第二天上午的10点钟
[01940.76-01942.52] 铃鱼是来了电铃
[01943.80-01946.76] 然后来电鱃之后呢 冒冲 刘女士
[01947.16-01948.20] 冒冲我来
[01948.20-01949.80] 对了 冒冲 刘女士
[01949.80-01951.88] 然后拿走了两瓶相瞬
[01954.12-01956.36] 拿走两瓶相瞬
[01956.36-01957.80] 他不仅拿走两瓶相瞬
[01957.80-01959.24] 他知道这个相瞬不是他的
[01959.24-01961.24] 这时候能推定他都不幸留
[01961.24-01962.28] 对吧 你还冒冲心留
[01962.28-01963.76] 他是惡意的
[01964.08-01965.92] 这是刚才的那个案情的连接
[01966.20-01968.16] 但是他拿走了两平啊
[01968.16-01969.68] 他这个时候他的想法就是什么
[01969.68-01970.92] 有钱一不赚毛袋
[01971.16-01972.52] 他就想到了自己的什么
[01972.64-01973.64] 自己的好朋友
[01973.76-01975.76] 于是他把其中的一平
[01978.08-01979.84] 他把其中的一平
[01980.84-01982.00] 送给了
[01984.84-01987.12] 谁送给了他的好朋友吧
[01987.32-01989.08] 送给了他的好朋友
[01989.68-01990.56] 王女士
[01990.56-01994.14] 那这时候就出现了一个情况,什么情况通行吧?
[01994.14-01996.70] 什么出现了第三人不当的立的情况啊?
[01997.98-02001.64] 在这里面出现了另外一个人就是王女士
[02001.64-02003.62] 现在王女士手里有一篇相适
[02003.62-02006.96] 然后结果电脚来到女女女
[02007.20-02009.50] 看不然,我设了这些
[02009.50-02011.30] I don't even have any problem
[02011.30-02013.60] 他来到这个林女士家里的时候
[02013.60-02015.14] 只拿走了一篇相适
[02015.14-02018.98] 然后电脚就问说,还有一篇,这个林女士就说,我给了王女士
[02018.98-02022.94] 于是店长就开始骑着自己的车又去到了王女士这里
[02022.94-02025.70] 要求王女士来反昬相选
[02025.70-02026.70] 这个能理解吧
[02026.70-02028.54] 那要求王女士来反昬
[02028.54-02031.38] 来反昬相选的时候就去到了王女士家里
[02031.38-02032.66] 王女士就是为什么
[02032.66-02035.18] 就属于受益的第三人
[02035.18-02037.98] 你看这里面的女士是无常转上给第三人的
[02037.98-02040.34] 那受损失的人士谁
[02040.34-02041.98] C相选店
[02041.98-02043.22] 受损失的人
[02043.22-02044.06] 换相案
[02044.06-02045.70] 叫受损失的人
[02045.70-02049.24] 可以请求第三人在相应的范围之内
[02049.24-02050.28] 重担什么
[02050.28-02052.58] 重担反还一物
[02052.58-02053.68] 也认识在这个里面
[02053.68-02055.26] 我们就要能够去明确
[02055.26-02056.84] 如果这里面到王女士
[02056.84-02058.42] 他这个相适没噴的话
[02058.42-02059.78] 你就把相适怎么样
[02059.78-02060.90] 还给人家
[02060.90-02063.38] 如果说他把这个相适噴乐的话
[02063.38-02064.54] 这个时候怎么还
[02064.54-02066.54] 这个相适噴没噴就要看一下
[02066.54-02067.34] 这个王女士
[02067.34-02069.10] 他是善意的还是恶意的
[02069.10-02070.46] 如果这个时候
[02070.46-02072.06] 王女士要分善意恶意了
[02072.06-02073.18] 我就直接写的这儿好了
[02073.18-02074.98] 那毛女是要分善意和恶意的
[02076.24-02077.56] 如果王女是善意的
[02077.56-02078.78] 那你就反昆什么
[02078.78-02079.78] 善存利哦
[02080.66-02082.08] 你就把你你不知情嘛
[02082.08-02083.38] 那这个时候你是善意的
[02083.38-02084.70] 你就反昆善存利
[02089.70-02091.34] 那如果王女是恶意的呢
[02091.54-02092.78] 那这个恶意就在于什么
[02092.78-02095.18] 恶意就在于李女是给他的说完之中
[02095.18-02095.88] 宣耀哦
[02095.88-02097.36] 说我意思说今天有项目电
[02097.48-02098.84] 老傻了对吧
[02098.84-02100.18] 我一去他们我心流漫
[02100.18-02101.68] 我说我当时我就说我心流
[02101.68-02102.88] 他一得都不合查
[02102.88-02104.68] 对吧 那时候都把东西给我了
[02104.68-02107.22] 那这种情况之下 他就来说到时候毛女士一听
[02107.22-02108.52] 哈哈大小说完又
[02108.52-02111.58] 这傻哎 傻子哎 对吧 这事都能当那里碰着
[02111.58-02113.24] 他说就知道这些人不太敢
[02113.24-02118.00] 那就说他属于惡意的 那他如果是惡意的话 那这有时候怎么办
[02118.00-02119.52] 他是属于惡意的力量
[02119.52-02122.60] 那这有时候他又要承担相应的反还一五
[02122.60-02124.64] 在相应的责任之内承担反还一五
[02124.64-02126.96] 但是后面这一统不太会考察到
[02126.96-02130.72] 你只要考察到哪一统呢 就是林女士去分善一个
[02130.72-02132.52] 如果理你是把他送给毛女士的话
[02132.52-02134.36] 毛女士也有反而一无就可以了
[02134.36-02137.00] 但是到往后再去善意还是个一个话呢
[02137.00-02140.00] 我们在世界单位的这一类型的考试当中
[02140.00-02141.04] 其实不太常见
[02141.04-02141.60] 好吧
[02141.60-02144.20] 这个是我们所说的不当得力
[02144.20-02145.40] 所以这个不当得力
[02145.40-02146.32] 大家注意一下
[02146.32-02149.20] 第一个只是要明确不当得力的条件首先不当
[02149.20-02150.44] 没有法律力
[02150.44-02153.36] 得力得力的话就是一方会议方水分
[02153.36-02155.20] 第三个就是有英国关系
[02155.20-02157.08] 那你不当得力你应该反还
[02157.08-02158.16] 所以反还的话
[02158.16-02161.36] 富有反環疫務的人叫分善意還是惡意
[02161.36-02163.28] 如果惡意的人把他又送人了
[02163.28-02164.96] 或善意的人把他又送人的話
[02164.96-02165.96] 這有時候就要看
[02165.96-02168.60] 第三人他也就有相反環疫務
[02168.60-02170.40] 所以這是我們所說的 整合同
[02170.40-02171.60] 所以在整合同當中
[02171.60-02172.68] 我們就講了兩個
[02172.68-02174.92] 有是無因管理一個事不當得例
[02174.92-02176.20] 那到這兒我們就把
[02176.84-02178.64] 第一張就是合同的
[02178.64-02180.16] 基本原理給大家說了
[02180.16-02181.68] 我們在合同的基本原理當中
[02181.68-02182.96] 講了合同的定例
[02182.96-02184.20] 咱們簡單的回顧一下
[02184.20-02186.24] 就是在我們合同的第一張
[02186.24-02188.54] 基本原理这一块我们讲了
[02189.56-02192.38] 第一个点就是合同它的定例
[02192.64-02199.04] 合同定例的话我们说了分析部两部一部是要约一部是我们所说的成弄
[02200.58-02201.86] 这是合同成立
[02201.86-02203.40] 不能叫成立也行定例行
[02203.40-02204.42] 这合同成立不走
[02204.68-02207.48] 这里面的要约要和要约邀请
[02207.48-02208.52] 我就直接写邀请了
[02208.78-02210.30] 要和要约邀请的相举分
[02210.56-02211.58] 看它是否具体
[02211.84-02213.38] 那五论是
[02213.64-02214.90] 要约还是成弄
[02214.90-02217.72] 他和通的生肖都要看时间对不对
[02217.72-02221.04] 所以我们才提到了说要约生肖时间和承诺承诺
[02221.30-02222.84] 以及在这个过程当中
[02223.08-02226.16] 要约的撤回和撤销以及承诺的撤回问题
[02226.42-02229.50] 这个点呢他并不难只过他稍微有点肉
[02229.74-02231.02] 所以我说给大家花了个图
[02231.28-02232.56] 你去把那个图从头到尾
[02232.82-02234.10] 再去搞清楚就可以了
[02234.36-02236.40] 这是我们所说的叫做合同的定例
[02236.66-02238.20] 合同定例讲完之后呢
[02238.46-02241.78] 我们又给大家去讲了我们所说的是吧合同的
[02242.04-02244.34] 他的一个战略战务的一个消灭
[02244.90-02247.00] 就是和同全力一物的终止
[02253.70-02254.62] 全力一物终止
[02254.62-02256.30] 我们说讲了好几个原因
[02256.30-02257.44] 全力一物终止当中
[02257.44-02259.74] 我们讲到了比如说清常
[02259.74-02261.28] 比如说提存
[02261.28-02262.44] 比如说底销
[02262.44-02264.24] 比如说混同棉除
[02264.24-02265.64] 但我们中年讲的是哪一个
[02265.64-02266.86] 我们中年讲的是什么
[02266.86-02268.06] 和同的解除
[02270.88-02271.90] 和同的解除
[02271.90-02274.14] 然后在解除当中我们又开始去讨论了
[02274.14-02275.90] 我们又协议解除
[02275.90-02277.30] 还有单方解除
[02277.30-02280.14] 单方解除当中我们就讲了法定解除全
[02280.14-02282.34] 而在法定解除全当中我们讲的就是
[02282.34-02285.90] 什么情况之下可以解除它的情形一共是5个
[02285.90-02288.10] 并在情形当中确定了谁可以解除
[02288.10-02289.82] 第二个合同解除之后
[02289.82-02292.14] 合同解除它属于形状权
[02292.14-02293.58] 这个权力必须要形使
[02293.58-02294.54] 怎么形使
[02294.54-02296.70] 或才或素或通知
[02296.70-02299.82] 如果合同一旦解除了有什么样的法律后果
[02299.82-02302.42] 對吧我們又給大家去講的香港法律後果
[02302.42-02305.06] 這個法律後果就合同旅行來看的話
[02305.06-02306.14] 已經旅行的
[02306.14-02308.22] 這時候能輝付原裝的輝付原裝
[02308.22-02310.38] 不能輝付原裝的才去補就措施
[02310.38-02311.62] 上位旅行的
[02311.62-02313.22] 我們說了就要終止旅行
[02313.22-02315.22] 這時候都全力以武的終止
[02315.22-02317.42] 我們在和終權力以武終止當中
[02317.42-02319.38] 我們提到了說如果
[02319.38-02320.62] 這個時候有違約方的話
[02320.62-02321.78] 違約方正承擔
[02321.78-02322.90] 違約責任
[02322.90-02324.62] 所以在違約責任當中
[02324.62-02326.18] 我們講了兩個
[02326.18-02326.50] 對吧
[02326.50-02328.54] 一个是我们所说的维月金
[02328.54-02330.84] 一个是我们所说的定金
