[00000.00-00003.18] 好的 那我们讲完了所有权的取得之后呢
[00003.18-00005.38] 今天让我们来看一下有关于
[01155.90-01157.06] 看了大車
[01157.06-01159.02] 沒有停在車位的證中間
[01159.02-01160.50] 然後他就來氣了
[01160.50-01161.70] 拿起塊石頭
[01161.70-01163.38] 就把咱俩的車
[01163.38-01164.26] 給怎麼樣
[01164.26-01165.94] 前套風波裏就給炸碎了
[01165.94-01167.82] 前套風波裏炸碎了之後
[01167.82-01169.38] 這時候咱俩共有車
[01169.38-01170.82] 是不是讓別人給親愛了
[01170.82-01176.42] 这个时候谁有权像杂杂杂的车的人主张赔仓
[01177.62-01179.10] 都有权对吧
[01179.10-01181.54] 因为这两车规杂杂杂杂共有
[01181.54-01182.66] 所以大家注意一下
[01182.66-01184.78] 如果是第三人亲爱购物
[01184.78-01186.42] 有人把杂杂杂杂了
[01186.42-01189.38] 或者是有人把杂杂杂的房子看到那个上面
[01189.38-01190.82] 盆上游期了对吧
[01190.82-01192.38] 说什么批房子装的
[01192.38-01193.22] 一点儿抱看
[01193.22-01194.62] 你看让盆上游期了
[01194.62-01196.66] 这种都是于对杂杂的共同情权
[01196.66-01199.98] 这个时候我们都可以像七海人主张权力
[01199.98-01202.98] 那这个时候咱们想的就是什么联带这权
[01204.82-01207.10] 那小的是联带这权
[01207.10-01211.10] 有日咱们都可以主张配上
[01211.10-01213.58] 那这是第三人亲爱逛误
[01213.58-01218.42] 那如果还一种情况就反过来这咱们的东西给别人正商了
[01218.42-01219.30] 那这种怎么办
[01219.30-01221.22] 那这里面就有共有误
[01222.98-01224.18] 亲爱第三人
[01224.18-01229.98] 郭武青汉第三人
[01229.98-01235.02] 如果郭武青的第三人比如说咱俩我开边咱俩共同有的这个车出去
[01235.02-01239.70] 出去的时候还是一样的因为我开车不仔细所以给人家撞伤了
[01239.70-01243.02] 如果给人家撞伤了是不是人家要赔承啊
[01243.02-01245.42] 这个赔承的话那这时候怎么办
[01245.42-01246.70] 咱们怎么给人赔呢
[01246.70-01247.54] 大家注意一下
[01247.54-01250.70] 这里面就是睡到郭武青汉第三人的问题
[01250.70-01252.58] 大家在这里记住一个原子
[01252.58-01254.42] 就是内外有别
[01256.58-01258.26] 叫做内外有别
[01258.26-01259.74] 什么叫做内外有别呢
[01259.74-01261.78] 就是内部和外部不一样
[01261.78-01264.78] 大家注意虽然咱们两个在享有这个东西的时候
[01264.78-01266.22] 咱们当时缘定的是什么
[01266.22-01267.46] 咱们当时缘定的是
[01267.46-01270.10] 我战18%你战18%是你战20%
[01270.10-01273.22] 但是我开着这个车出去把人撞了时候
[01273.22-01275.46] 人家只不知道在直接有这个缘定
[01275.46-01277.02] 能不能说把人撞了之后你说
[01277.02-01277.38] 哎呀
[01277.38-01277.82] 说哎呀
[01277.82-01278.78] 大哥真不好意思啊
[01278.78-01280.02] 你看这个车是这样的
[01280.02-01282.26] 我和我的小伙伴一起去买的
[01282.26-01282.70] 对吧
[01282.70-01285.26] 然后他战18时我在两这二时
[01285.26-01287.62] 那个大哥在订上头的AU对吧
[01287.62-01288.98] 那都按标走了
[01288.98-01290.62] 对完了头的都直大圈
[01290.62-01292.18] 然后这个是还跟人解释
[01292.18-01294.10] 说爱我战多少比他战多少比
[01294.10-01296.10] 说最后配上的时候咱们咋培呀
[01296.10-01297.34] 我大哥你听我给你说
[01297.34-01299.22] 我给你把法律条款拿出来看
[01299.22-01301.54] 大哥恨不得上了杨泥口 对不对
[01301.54-01303.10] 所以在这里你就会发现
[01303.10-01304.38] 如果是共目
[01304.38-01307.02] 对第三人造成的亲爱的话
[01307.02-01310.70] 第三人他其实不知道咱们两个之间有约定
[01310.70-01313.34] 他就知道这个车是谁装的
[01313.34-01315.58] 我早就车的主人就行了
[01315.58-01317.94] 所以在这里面就会出现一个什么问题
[01317.94-01322.58] 就是对过护造人对第三人亲爱的说我们的对外责任是什么
[01322.58-01325.14] 对外责任是连代责任
[01325.14-01326.98] 你说老是什么是连代责任
[01326.98-01330.86] 就是如果我把这个人给撞了
[01330.86-01332.38] 撞了之后他就抓住不放松
[01332.38-01333.38] 你陪你陪你陪你陪
[01333.38-01334.06] 我是好骂
[01334.06-01335.02] 我说那陪就陪骂
[01335.02-01335.98] 我说你不要激动嘛
[01335.98-01336.98] 对心脏不好
[01336.98-01339.54] 那这个时候我就可以把钱都陪给他
[01339.54-01341.98] 那同时就说说老生这份吃虽了吗
[01342.54-01345.18] 你战80%你陪了人百分之百
[01345.18-01346.70] 如果多拿了百分之二十
[01346.70-01348.70] 那多拿这个百分之二十怎么办呢
[01348.70-01352.10] 那我可以向安分购人之一场
[01352.10-01354.22] 一是把我这百分之二十要回来
[01354.22-01355.10] 所以大家注意一下
[01355.10-01356.18] 所以的内外有点
[01356.18-01357.58] 就是你内部协议
[01357.58-01359.46] 我对外第三人是不知道的
[01359.46-01360.90] 你给我解释也没有用啊
[01360.90-01361.26] 对吧
[01361.26-01363.10] 所以在这里对外点代责任
[01363.10-01364.10] 那对内呢
[01364.10-01364.90] 安分
[01366.98-01372.06] 在这里对内是我们所说的这个案分责任是案分责任
[01372.06-01376.90] 所以就是说我可以就我超出赔常的部分像第三人追尝
[01376.90-01378.10] 那像第三人追尝
[01378.10-01380.02] 那这个呢就是案分责有
[01380.02-01382.26] 所以案分责有同时们几个支持点
[01382.26-01383.62] 一共就三个支持点
[01383.62-01389.14] 这三个支持点的分别是第一个案分责有是我们所说的针对于分额来的
[01389.14-01391.18] 所以在这我把支点总结一下
[01391.18-01394.42] 案分责有在这里是针对的是分额
[01394.42-01398.78] 那然份额当中我们就讲了份额如何确定的问题
[01398.78-01405.94] 我们说了份额的确定就是有约从约5约出资不定案等额
[01405.94-01406.46] 对吧
[01406.46-01411.06] 而这个份额的确定它可以很好地出裂内外部关系
[01411.06-01417.86] 内部关系包括很多比如管理、修善和我们所说的收益分配等等
[01417.86-01420.26] 但我们在内部当中最重要的是什么
[01420.26-01423.14] 就是除分 除分两种情况
[01423.14-01424.10] 第一种情况
[01424.86-01427.30] 除分自己的部分
[01427.30-01430.02] 我把我自己的这个分额转上出去
[01430.02-01432.26] 我除分自己的东西 随便除分
[01432.26-01433.38] 想怎么做完整个转
[01433.38-01433.70] 对吧
[01433.70-01436.90] 这个时候无需经他人同意
[01436.90-01438.90] 但是如果除分的是购物
[01438.90-01440.54] 我现在不把自己的分额除分
[01440.54-01441.82] 我把咱俩撤卖了
[01441.82-01445.70] 这时候要经三分之二以上同意才可以
[01445.70-01447.50] 对不对 这是内部关系
[01447.50-01450.24] 那也会存在外部关系
[01450.24-01452.56] 那在外部关系当中咱们刚才说了
[01452.56-01453.90] 他就有两种情况
[01453.90-01454.96] 是不是回味道这了
[01454.96-01455.86] 第一个是
[01455.86-01459.42] 第三人给咱俩的车迫尤其杂了咱俩的车
[01459.42-01461.80] 那谁可以像第三人主张权烈
[01461.80-01462.56] 都可以
[01462.56-01464.16] 因为咱都是车的主人
[01464.16-01466.76] 那如果是咱俩把别人给欺负了呢
[01466.76-01468.68] 咱俩的车把别人给装了呢
[01468.68-01470.16] 那这个时候就要怎么办
[01470.16-01471.84] 就要共有5700 第三人
[01471.84-01473.78] 我们就把我住一个原则
[01473.78-01474.98] 内外有别
[01474.98-01476.64] 对外是连代走任
[01476.64-01480.46] 因为第三人他没有理由知道咱没有内部协议
[01480.46-01482.96] 那对内的话我可以向你追尝
[01482.96-01484.32] 那考试的时候呢
[01484.32-01485.64] 就会给一个案例
[01485.64-01487.72] 或者是综合性的这样的一个案例出现
[01487.72-01490.92] 然后问关于这个案例说法正确或错误的事
[01490.92-01494.52] 你要做的就是先去判断他属于案份共有
[01494.52-01495.52] 还是共同共有
[01495.52-01498.84] 然后在案图所继续剪所相同规则
[01498.84-01501.00] 我在这个民法的前半部分
[01501.00-01503.40] 其实是没有给大家做这个思维导徒的
[01503.40-01506.88] 我其实是想让大家自己去画一画这个思维道土
[01506.88-01510.20] 大家一定要注意养作题的时候最好是有一个減锁
[01510.20-01513.12] 这个減锁它其实就是一个层层玻璃的关系
[01513.12-01515.76] 而这个层层玻璃这个框架減锁
[01515.76-01518.60] 对于我们去打民法的题目 法律的题目
[01519.00-01520.04] 助力非常大
[01520.04-01521.48] 因为法律它是规则的
[01521.48-01524.04] 无非就是熟悉规则以及规则应用
[01524.04-01525.60] 所以相对来说法律
[01526.28-01527.76] 相对于咱们的非法
[01527.76-01529.92] 咱而多乱的东西
[01529.92-01532.44] 法律相对来说新家比是很高的
[01532.44-01534.40] 所以同時可以回去嘗試
[01534.40-01536.64] 換一下我們所說的這個狂價
[01536.64-01540.00] 你自己就換了之後你的印象會更深刻一些
[01540.00-01541.48] 這個就是我們所說的
[01541.48-01542.44] 按份工有
[01542.44-01544.44] 這是共有當中的第一種情況
[01544.44-01545.88] 除了份工有之外
[01545.88-01547.08] 我們又講了第二個
[01547.08-01548.76] 就叫做共同工有
[01548.76-01550.72] 咱剛剛說了共同工有
[01550.72-01551.36] 啥呢
[01551.36-01553.32] 一共就那五種情況
[01553.32-01554.28] 大家應該還記得吧
[01554.28-01555.48] 那共同工的那五種情況
[01555.48-01557.76] 包括夫妻關係
[01557.76-01558.96] 家庭關係
[01558.96-01560.16] 遺產基層關係
[01560.16-01561.96] 和或關係和同居關係
[01561.96-01563.76] 对吧,这个叫共同共有
[01563.76-01565.48] 那咱们来看一下共同共有
[01565.48-01566.76] 它是怎么定义的
[01566.76-01568.88] 它说共同共有是只两个
[01568.88-01571.16] 或两个以上的民事主体
[01571.16-01573.84] 后面,基于共同关系
[01573.84-01575.16] 咱们刚才说了共同关系
[01575.16-01576.96] 共是五个对吧
[01576.96-01579.44] 基于共同关系对同意财产
[01579.44-01582.76] 怀观点此叫做平等的
[01582.76-01583.96] 享有搜射权
[01583.96-01584.96] 把平等的话出来
[01584.96-01586.60] 它和前面的不同是在什么
[01586.60-01590.16] 前面是分额,这里是平等的
[01590.16-01591.04] 小松一圈
[01591.04-01592.60] 这个就有个共同共有
[01592.60-01594.52] 同学们的破体关键在哪
[01594.52-01596.72] 就是把握住共同关系
[01596.72-01597.64] 是什么
[01597.64-01599.12] 这个就是我们所说的
[01599.12-01600.08] 共同共有
[01600.08-01601.68] 共同共有一样
[01601.68-01604.60] 他也分为内部关系和外部关系
[01604.60-01607.16] 内部关系包括管理的问题
[01607.16-01609.12] 包括收益分配的问题
[01609.12-01610.60] 包括费用问题
[01610.60-01611.64] 当然也包括什么
[01611.64-01612.68] 处分问题
[01612.68-01614.12] 处分在这里
[01614.12-01615.24] 从把处分化出来
[01616.08-01616.88] 说
[01616.88-01618.32] 处分共有的不动产
[01618.32-01621.20] 或动产以及对共有的不动产
[01621.20-01623.24] 和动产做重大修善和维护的
[01623.24-01624.52] 那就和刚才不一样了
[01624.52-01625.88] 刚才那个处分
[01625.88-01626.72] 共有物
[01626.72-01628.40] 按份共有当中处分共有物
[01628.40-01629.40] 或者修善
[01629.40-01631.68] 我们到经三分之二以上同意
[01631.68-01633.40] 而在共同共有个当中
[01633.40-01635.64] 它记得这种共同关系
[01635.64-01638.24] 因为我们是平等的享有共有权的
[01638.24-01640.64] 所以在这里在这里标注一下
[01640.64-01643.12] 我们在这种情况之下要
[01643.12-01646.24] 经全体共同同意
[01646.24-01647.78] 大家都同意
[01647.78-01650.50] 我们东西就可以卖掉
[01650.50-01653.04] 可以修煞,可以改变它的用途
[01653.04-01656.00] 这个是我们所说的内部关系当中
[01656.00-01656.74] 处分
[01656.74-01658.10] 内部有处分
[01658.10-01660.58] 外部就是外部就有责任
[01660.58-01661.54] 还是一样的
[01661.54-01662.96] 比如说在夫妻关系上
[01662.96-01665.60] 夫妻共有的一辆七车板人给装了
[01665.60-01667.60] 夫妻过后的一辆七车板人给装了
[01667.60-01670.36] 存在内部暗分的责任问题
[01670.36-01670.88] 没有
[01670.88-01672.08] 就是对外怎么样
[01672.08-01672.60] 联带
[01673.64-01674.60] 就可以了
[01674.60-01677.64] 你看在这个时候对外关销联带战劝联带
[01677.64-01682.12] 占务别人把夫妻共有的一量车给刮花了
[01682.12-01686.12] 那这个时候夫妻当中的任何一个人都可以相对方最长
[01686.12-01687.56] 这叫联带战劝
[01687.56-01691.00] 那联带责任的就是夫妻共有那量车把这个车
[01691.00-01692.20] 把这个人给装了
[01692.20-01693.88] 或把人家车与刮花了
[01693.88-01695.40] 人早咱赔钱
[01695.40-01697.72] 陪完了之后要么是老婆淘钱
[01697.72-01698.76] 要么是账个淘钱
[01698.76-01701.32] 那这个时候会为存在内部追长的问题了
[01701.32-01702.44] 不会存在的
[01702.44-01705.20] 所以我们所说的共同共有
[01705.20-01708.80] 那在考试当中比较长见的其实是暗分共有会更多一点
[01708.80-01710.96] 因为暗分共有个相对来说规则
[01710.96-01713.96] 他会跟复杂一点在整体上
[01713.96-01716.64] 共同共有的话其实就相对来说比较单一了
[01716.64-01718.08] 就是平等的小友
[01718.08-01721.40] 然后连代战券连代战物所有人同意
[01721.40-01723.60] 对吧相对来说就会比较简单一点
[01723.60-01726.84] 所以在共有上同们只要去能够区分
[01726.84-01729.12] 什么是暗分 什么是共同
[01729.12-01735.64] 在内部关系上 处分做去分 在外部关系上 连带带带去的和连带在乌做好去分就可以了
[01735.64-01738.52] 这个就是我们所说的 共有
[01738.52-01739.72] 讲完了 共有呢
[01739.72-01742.80] 我们就把整个所有权给大家讲完了
[01742.80-01744.80] 我们在整个搜权当中
[01747.56-01748.52] 我们想一下
[01748.52-01750.44] 我们在整个搜权当中给大家讲了
[01750.44-01753.00] 第一个就是 物权变动的规则
[01753.00-01779.00] 我们在武权变动的规则当中我们就给大家讲了,武权变动它整体上分为两种情况,对吧,第一种就是基于,就是给大家重点讲的,就是基于合通的武权变动,还有一种就是非级于合通的武权变动。
[01779.00-01785.00] 我们在基于河通的目前变动当中给大家讲了两个
[01785.00-01788.00] 对吧 第一个呢就是给大家去明确地提到了
[01788.00-01790.00] 我们说了基于河通只发生什么效率
[01790.00-01792.00] 河通只发生战钱效率
[01792.00-01794.00] 但是我们强调所有全和武权变动
[01794.00-01796.00] 那光有战劝还不行
[01796.00-01798.00] 还要发生武权效率
[01798.00-01799.00] 那武权效率交怎么办呢
[01799.00-01802.00] 武权效率就要对外有公事
[01802.00-01805.00] 所以我们在这个时候前面讲了
[01805.00-01810.60] 基于合同,然后说了,合同只发生战犬,我现在上面好吧
[01811.60-01815.00] 而想要发生误权变动,就要进行公示
[01815.00-01819.60] 而我们在公示到中说了,那不同的标地误,它的公示方式不同
[01819.60-01825.60] 于是我们就提到了,就不动产要登记,登记才能发生修权转移
[01825.60-01829.20] 然后动产就要怎么办,动产就要交付
[01831.20-01832.60] 动产交付
[01832.60-01835.80] 而这个角复我们强调的是一般动产
[01835.80-01837.64] 如果是加用小教车呢
[01837.64-01838.76] 加小教车呢
[01838.76-01840.80] 就是不登记不得对抗善意
[01840.80-01841.88] 第三人对吧
[01841.88-01844.88] 这个是基于合通的武权变动
[01844.88-01846.72] 除了举合通武权变动之外
[01846.72-01848.76] 能够讲了飞机合通的武权变动
[01848.76-01850.32] 这个飞机合通武权变动
[01850.32-01852.32] 我们就强调修销公式
[01852.32-01853.40] 不需要公式
[01853.40-01854.40] 无需公式
[01854.40-01858.16] 只要是相应的我们所说的内容做出的时候
[01858.16-01859.64] 直接就发生武权变动了
[01859.64-01862.40] 于是我们讲了政府的征收
[01862.60-01867.60] 我们讲了裁判文书对吧讲了继承等等
[01867.60-01871.60] 这个时候我们就知道无需公式就发生了误权变动
[01872.60-01876.60] 这是非语和通我们所提到的
[01876.60-01877.60] 非语和通提到的
[01877.60-01880.60] 而这个呢他属于一般误权变动的情况
[01880.60-01882.60] 那有一般误权变动就是什么
[01882.60-01884.60] 就有特殊误权变动
[01884.60-01887.60] 于是我们在整个误权变动当中还讲了什么
[01887.60-01889.60] 还讲了善意趣的
[01889.60-01891.20] 因为我们在前面给大家说过
[01891.20-01894.20] 我们想去判断它是主义拿着取得的方式
[01894.20-01895.20] 我们当时说了
[01895.20-01897.20] 首先一个继续合同
[01897.20-01898.40] 然后还有公事
[01898.40-01900.12] 我们当时还给到了大家
[01900.12-01902.20] 一个我们所说的这个
[01902.20-01902.80] 归子
[01902.80-01903.00] 对吧
[01903.00-01904.20] 我们所说的叫做
[01904.20-01905.60] 有权处分
[01908.16-01908.72] 加
[01908.72-01910.88] 我们所说的有效合同
[01913.60-01914.08] 加
[01914.08-01915.20] 公事
[01915.20-01916.40] 等于
[01916.40-01917.60] 目前變動
[01920.32-01923.04] 等於技術器的
[01925.44-01926.44] 等於技術器的
[01926.72-01929.72] 而這裡面有效合同就是機與合同
[01929.96-01931.76] 公視就是發生武權變動
[01931.88-01933.56] 最後你有沒有獲得所全呢
[01933.76-01935.92] 那一定是這兩個同步
[01936.12-01939.60] 然後這時候我們說了這種所全的取得方式叫技術器的
[01939.96-01942.16] 那合這種所全器的方式對應的
[01942.16-01944.28] 還有一種叫做原始器的
[01944.28-01948.62] 原始取得当中我们就给大家特意强调了叫做善意取得
[01948.62-01952.60] 我们说了善意取得和我们所给到的这种
[01952.60-01954.64] 技术其得有合同的这种
[01954.64-01956.00] 对吧有全除分的这种
[01956.00-01957.00] 它的趣别是在什么
[01957.00-01959.90] 就在于善意取得的前提一定是什么处分
[01959.90-01961.12] 无全处分
[01961.12-01961.96] 我还给大家说了
[01961.96-01964.16] 无全处分在提案当中他怎么说
[01964.16-01966.04] 他是以自己的名义
[01966.04-01967.48] 卖了别认的东西
[01967.48-01968.40] 叫无全处分
[01968.40-01968.76] 对吧
[01968.76-01971.52] 无全处分加有效合同
[01971.52-01972.36] 对吧
[01972.36-01976.56] 加工事或者是登记或者是交付等于
[01976.56-01979.56] 误权变动然后等于善意去的
[01979.56-01982.76] 而我们说了善意去的大前提是无权处分
[01982.76-01984.96] 而善意去的善意
[01984.96-01987.96] 它是要主客观相争一致的
[01987.96-01989.76] 主观上你要不知情
[01990.16-01992.16] 我们说了叫主观上是善意的
[01992.16-01993.56] 客观上你要怎么办
[01993.56-01995.36] 客观上你要支付合理的对价
[01995.36-01996.56] 你要有善意的行为
[01996.56-01997.76] 那这个叫善意
[01997.76-01998.76] 而去的呢
[01998.76-02000.36] 去得我们在这里说了
[02000.36-02004.20] 他要我们就进行登记要么就进行教股
[02004.20-02006.00] 这种就要做善意去的
[02006.00-02008.56] 善意去的在这里面就会出现一个问题
[02008.56-02010.08] 我们当说了什么问题呢
[02010.08-02011.76] 就是善意去的
[02011.76-02015.20] 我们说了如果这个东西它没有登记会交付的话
[02015.20-02016.92] 它不能对抗善意第三人
[02016.92-02019.24] 这时候的善意去的就会遇到一个问题
[02019.24-02020.92] 就是原权率人
[02020.92-02023.92] 对于善意第三人所吃有的自己的东西
[02023.92-02025.12] 它有没有办法
[02025.12-02026.60] 朝人家要回
[02026.60-02026.84] 对吧
[02026.84-02029.40] 我们当时说了说善意第三人怎么办
[02029.40-02032.56] 山一地散人可以对抗其他的原权力人
[02032.56-02034.36] 所以我们当时给到的说
[02034.36-02036.76] 小A把我的手表
[02036.76-02038.72] 以他自己的名买给了小B
[02038.72-02040.52] 同时回想一下按立模型
[02040.52-02042.96] 你把这个模型技术的支点就没有问题
[02042.96-02044.60] 小A把我的手表
[02044.60-02045.88] 我的手表
[02045.88-02047.32] 当时我给的是玉鱼铸
[02047.32-02048.32] 对吧
[02048.32-02049.92] 把我的玉铸
[02049.92-02052.48] 然后交给小A薄馆
[02052.48-02054.52] 然后小A以他自己的名义
[02054.52-02056.32] 把这个玉铸交给了小B
[02056.32-02057.40] 卖给了小B
[02057.40-02058.96] 并怎么样并交付了
[02058.96-02061.16] 那正如小必取得了玉珠的所有权
[02061.16-02062.24] 小必就是什么
[02062.24-02063.36] 善意地三人
[02063.36-02065.12] 那小必是善意地三人的话
[02065.12-02066.64] 那这里面的问题就在于
[02066.64-02069.60] 我能不能朝小必把东西要回来
[02069.60-02070.24] 不能
[02070.24-02071.56] 因为人家已经怎么样
[02071.56-02073.68] 已经糾付了
[02073.68-02077.16] 已经是我们所说的玉珠的所有权了
[02077.16-02079.76] 所以原权力人也就是我
[02079.76-02081.84] 不能朝小必把东西要回来
[02081.84-02083.40] 那就说我不损失了吗
[02083.40-02084.48] 那只走谁呢
[02084.48-02087.76] 找核当时和我定力保管合同的小
[02087.76-02089.76] 我可以请求小A
[02089.76-02091.76] 也就是我们所说的亲全人
[02091.76-02093.76] 或者是无权处分人
[02093.76-02094.76] 让他怎么办
[02094.76-02096.76] 让他给我向他配唱
[02096.76-02097.76] 这就他的维织责任
[02097.76-02098.76] 所以在这里
[02098.76-02100.76] 这是善于取得他的法律后果
[02100.76-02101.76] 我们当时说的
[02101.76-02102.76] 给他一个案例
[02102.76-02103.76] 但是是不是善于取得
[02103.76-02105.76] 他是用于所有情况呢
[02105.76-02106.76] 大家要注意
[02106.76-02110.76] 善于取得他也并非是用于所有情况
[02110.76-02112.76] 如果善于取得他是用于所有情况的话
[02112.76-02115.76] 到座物一书买草物之后怎么办
[02115.76-02118.32] 所以我们在山岂的当中又讲了另外一个点
[02118.32-02121.90] 就是它是用的例外就是一师物
[02122.16-02124.72] 一师物不是用于山岂岂的
[02124.72-02126.76] 所以我们讲了一师物它的怎么样
[02126.76-02127.78] 它的一个规则
[02127.78-02130.36] 对吧 首先第一个它不是用于山岂岂的
[02130.36-02132.66] 但是并不意味着它不能去的
[02132.66-02135.22] 第二个我们就在一师物当中给大家讲了
[02135.22-02137.78] 对吧我们说了所全人或其他全力人
[02137.78-02139.58] 又全追回一师物
[02139.58-02140.84] 因为它不用
[02140.84-02142.64] 因为它不是用山岂岂的
[02142.64-02144.42] 所以这个东西我可以怎么样
[02144.42-02148.50] 拿回来所以所有权人和其他权力人可以
[02148.98-02150.78] 追回我们所说的一书
[02150.78-02153.70] 也就是我给大家画的那个按钮模型对吧
[02154.26-02156.94] 小 A 剪了我的手表卖给了小币
[02156.94-02161.34] 那这个手我可不可以朝小币把东西要回来可以的
[02161.34-02164.22] 对吧因为这种情况之下我们说了不適用远 上一期的
[02164.22-02165.38] 那东西就能要回来
[02165.38-02168.38] 但是问题就是在我要回这个东西的时候
[02168.38-02171.50] 我到底要不要给小币支付相当的对家呢
[02171.50-02173.66] 就是小幣说我是从小小一那买的
[02173.66-02175.78] 我的小天才是同手表两百块钱
[02175.78-02178.14] 这个时候他要不要支付合理的对价呢
[02178.14-02182.30] 就看这个小幣他到底是从小A手里之间买的
[02182.30-02185.42] 还是通过有经营资制的地方买的
[02185.42-02187.22] 如果他是在手表店里买的
[02187.22-02189.26] 那么OK 那这个时候就怎么办
[02189.26-02190.02] 就要回来
[02190.02-02191.90] 这个时候要回来要付人钱
[02191.90-02193.46] 那如果直接从小A手里
[02193.46-02195.66] 在天朝底下在火车站那买的
[02195.66-02197.06] 这个时候不好意思
[02197.06-02198.78] 你明明知道隔那买东西
[02198.78-02200.66] 他就不可能是正为的场所
[02200.66-02202.20] 他不可能是正如的来源
[02202.20-02203.48] 我朝你把东西要回来
[02203.48-02205.00] 你有损失,那你活该
[02205.00-02207.32] 那这个时候你如果想陪到你日招
[02207.32-02208.86] 卖给你的小业就行了
[02208.86-02210.40] 所以在这里我们就讲了什么
[02210.40-02211.16] 就讲了
[02211.16-02211.92] 115
[02213.20-02213.98] 15
[02213.98-02215.76] 大家一定要记得那个阿里谋行
[02215.76-02218.84] 这里面的山区德和115的相关规定
[02219.34-02221.14] 还有两个阿里谋行
[02221.14-02222.94] 你只要把这两个阿里搞清楚
[02222.94-02225.24] 那这个点不用去死性被
[02225.24-02229.08] 有很多的法律这是我建议大家去监令会更清晰显
[02229.08-02231.76] 这个就是以食物 以食物相关的
[02231.76-02233.34] 那讲完了以食物相关呢
[02233.34-02235.44] 我们还讲了以食物的食得问题
[02235.44-02237.02] 那在以食物的食得
[02237.02-02240.08] 我们主要讲了食得人的权利
[02240.08-02242.20] 也讲了食得人的意物 对不对
[02242.20-02244.56] 以及食得的以食物
[02244.56-02245.60] 它的规熟问题
[02245.60-02247.52] 就是没人要一年以内的
[02247.52-02248.40] 都没有人要
[02248.40-02249.76] 那后面的话就规则
[02249.76-02250.64] 就规则加了
[02250.64-02252.54] 那这是搜权当中的
[02252.54-02255.00] 以食物是从善意起的当中来的
[02255.00-02256.30] 那搜权最后一个之前
[02256.30-02257.88] 给大家讲了共有
[02257.88-02259.66] 就是刚才说给大家提到的
[02259.66-02260.82] 一个是暗氛
[02260.82-02262.36] 一个是共同
[02262.36-02264.36] 这个点刚才已经给大家回顾过了
[02264.36-02266.88] 在这儿就给大家去过多治疏了
[02266.88-02269.00] 所以在这儿我建议同学们回去
[02269.96-02271.70] 眼睛咱们上课的思路
[02271.70-02273.46] 眼睛自己的理解
[02273.46-02276.20] 同学们不都是有那种听课的那种习惯吗
[02276.20-02276.52] 对吧
[02276.52-02277.88] 就是我听完这一节
[02277.88-02279.88] 然后我就去休息一下
[02279.88-02281.12] 然后晚上我在回顾
[02281.12-02282.32] 那大家与其说
[02282.32-02283.10] 在回顾的时候
[02283.10-02283.92] 再去翻书
[02283.92-02286.42] 你不如看着这个讲异
[02286.42-02288.30] 已经做好了这个笔记标注
[02288.30-02289.74] 在看树过程当中
[02289.74-02291.78] 去给它树里出来一份框架
[02291.78-02293.74] 那也欢迎同学们的把这个框架
[02293.74-02294.86] 跟我读动交流
[02294.86-02296.66] 大家可以发到咱们的打一群闹诺
[02296.66-02299.78] 我来看一下大家这个框架画的这样的一个情况
[02299.78-02300.94] 你画一遍之后
[02300.94-02302.66] 你就把很多之间旅说了
[02302.66-02303.98] 如果你画框架的这个框架
[02303.98-02305.90] 这锅程当中你出现了卡顿
[02305.90-02308.18] 那我就意味着这个点气是没有吃透的
[02308.18-02313.10] 这样也可以方便我们就是找到咱们学习知识的问题所在
[02313.10-02315.90] 这个就是我们所说的整个
[02315.90-02318.50] 授權他的相打內容
