[00000.00-00006.92] 好,那说完了前科的这个文实机之后,我们就来进入到科技革命的时期的学习。
[01187.20-01189.40] 我們第一次科技方面除了有這些
[01189.40-01191.40] 十大十的技术成果在之外呢
[01191.40-01193.40] 我们其实还有很多理论成就
[01193.40-01196.20] 这些理论成就一般请问一下会对比考察
[01196.20-01198.40] 首先第一个我们来看一下拉马克
[01198.40-01202.40] 拉马克呢 画下最早的生活进化思想
[01202.40-01204.00] 所以在这里面大家注意一下
[01204.00-01205.00] 这是拉马克
[01205.00-01206.40] 它也提到的生物进化思想
[01206.40-01209.40] 拉马克在考试的时候很少会单独考
[01209.40-01211.00] 它往往会和一个人对比考
[01211.00-01212.80] 这个人就是我们一会儿要讲到的
[01212.80-01213.40] 当然
[01213.40-01215.80] 这是最早提出进化思想的
[01215.80-01216.60] 所以是拉马克
[01216.60-01217.80] 因为拉马克提出来了
[01217.80-01221.44] 捧捧一下 用盡废退和获得行一传
[01221.44-01225.36] 你现在所有的这些功能 为什么还保留下来
[01225.36-01228.72] 如果按照拉马克的用盡废退的说法来看的话
[01228.72-01230.28] 就是因为你经常使用它
[01230.28-01231.28] 它就不断的竞话
[01231.28-01232.48] 你不用它就怎么样
[01232.48-01233.28] 它就没有了
[01233.28-01238.12] 所以它在最早的竞华乐思想当中提出来的叫做用盡废
[01238.12-01240.00] 但是它这个时候的理论和思想
[01240.00-01242.44] 其实相对而说没有成熟
[01242.44-01244.08] 或者说没有刮熟地落
[01244.08-01246.92] 那真正地上竞华乐思想成熟的是谁呢
[01247.80-01251.52] 大人现在旁边就是进换论 刮属地落了
[01251.52-01253.28] 就是已经成熟了
[01254.56-01257.20] 这个时候是我们所给到的大人
[01257.20-01260.72] 所以这两个人在考试的时候经常会混销来考察
[01260.72-01263.44] 就知道他们的理论不同就OK了
[01263.44-01265.56] 这是第一个非常重要的理论成果
[01265.56-01268.04] 小达去实际 因为他是对比的成果
[01268.04-01270.88] 第二个是孟德尔 孟德尔简单看下就行了
[01270.88-01272.96] 就是我们在宣誤学当中提到的
[01272.96-01275.24] 孟德尔弯斗杂教实验
[01275.24-01277.96] 所以在这里这是第二下理论成就
[01277.96-01281.08] 第三下理论成就需要同学们去掌握
[01281.08-01284.24] 第三下理论成就在这里面大家要注意一下
[01284.24-01286.48] 这个拉拉西拉拉西
[01286.48-01288.28] 拉拉西他说他推翻了
[01288.28-01290.68] 然素说叫做全面产数了
[01290.68-01292.08] 然烧的养换说
[01292.08-01294.28] 所以他的成就的第一个叫做
[01294.28-01296.20] 然烧的养换说
[01296.20-01297.68] 叫做然烧的养换说
[01297.68-01299.88] 这个人烧的养换说的其实当时
[01299.88-01302.32] 他这么回事就是大家都在去想
[01302.32-01305.20] 说为什么这个事物他会发生人烧呢
[01305.20-01309.54] 然后第一批人认为说他之所以能够发生人哨
[01309.54-01313.26] 是因为这个燃烧的东西里面有一个东西叫做啥呢
[01313.26-01314.44] 叫做燃素
[01314.44-01317.26] 所以燃烧之所以产生是因为有燃素在
[01317.26-01319.42] 所以最开始叫了燃素说
[01319.42-01320.86] 然后当时拉了些就想
[01320.86-01324.26] 那如果说真的存在燃素的话
[01324.26-01325.72] 是不是就意味着
[01325.72-01327.84] 这个燃素被烧光了之后
[01327.84-01330.38] 这个东西它就会变得很轻呢
[01330.38-01331.90] 于是它就做了一个实验
[01331.90-01334.00] 它这个人是非常有这种实验就是呢
[01334.00-01337.40] 然后就找到了一个我们所说的燃烧的一个东西
[01337.40-01339.40] 然后把它关在密币的气噪里
[01339.40-01342.20] 你就是然后结果烧了的时候发现一撑
[01342.20-01343.40] 并没有像他们所说的
[01343.40-01345.00] 那个支梁变小了会怎么样
[01345.00-01345.84] 于是他就说
[01345.84-01347.44] 说那就不是燃烧说
[01347.44-01350.00] 而是在这个燃烧的过程当中
[01350.00-01353.12] 应该是有一个什么东西推动了燃烧
[01353.12-01355.20] 于是他就提出来说燃烧
[01355.20-01356.64] 他其实是需要一个什么
[01356.64-01357.72] 株燃记的
[01357.72-01360.04] 然后他就把这个株燃记命没有为什么
[01360.04-01363.00] 把这个株燃记命没为养气
[01363.00-01366.96] 所以在这里他说了 提出了叫做燃烧的养化所
[01366.96-01370.80] 这是我们所说的乱西东中 第一个点小达去掌握的
[01370.80-01374.60] 乱西东中的第二考演人说在这里他提出来了 咱们说了
[01374.60-01377.00] 就是叫做治量守航定律
[01377.00-01380.80] 大家注意一下 他和前面我们所提到的那个动
[01380.80-01383.80] 那个我们所说的守航定律是不是不太一样了
[01383.80-01386.40] 所以在这里他提到治量守航的第一人
[01386.40-01388.80] 这个治量守航定律 从点来的
[01388.80-01391.88] 这个治量手红丁率就是我们从前面
[01391.88-01394.44] 所以提到的那个染稍的氧化说来
[01394.44-01397.24] 就是它染稍的是它把它扣在一个大的这个照子里
[01397.24-01400.32] 等东西稍然之后它发现这个东西的治量没有发生变化
[01400.32-01402.64] 有些未知人染素这个东西它不存在
[01402.64-01404.68] 所以在这里它提到了叫做治量手红
[01404.68-01408.12] 所以治量手红既不是动量手红又不是能量手红
[01408.12-01409.96] 所以把它和前面区分开
[01409.96-01413.12] 只是拉西它所给到的具体成就
[01413.12-01415.16] 我们具体看到的拉马西其实是这样的
[01415.16-01416.96] 对吧,我们再教过出上一看到说爱
[01416.96-01418.00] 它在情形思考
[01418.00-01420.56] 但他在网上也看到了说他其实在本身是干嘛的
[01420.56-01422.88] 是和他在看他的妻子
[01422.88-01424.80] 也是非常有趣的这样的一个情况
[01424.80-01427.04] 这是他在做这个实验的时候
[01427.04-01429.48] 然后他的妻子一起过来
[01429.48-01432.44] 然后他们两个留下的这样的一副话
[01432.44-01432.88] 对吧
[01432.88-01434.84] 就是我们所说的这个拉拉席
[01434.84-01435.76] 拉拉席呢
[01435.76-01439.00] 他其实是非常了不起的一个人
[01439.00-01442.20] 就是他的这种追求真理的这种精神
[01442.20-01444.52] 就是别人很难想象的道
[01444.52-01445.96] 这拉拉席他当然说
[01445.96-01450.00] 他说任何情况下 东英使务我们的推理受到实验的简言
[01450.00-01452.88] 除了通过实验和观察的道路去迅速这里外
[01452.88-01454.16] 比较武他途
[01454.16-01457.28] 拉薪呢 他其实出生在一个律师之间
[01457.28-01460.68] 他确实之后 他母亲确实之后给他留下了大比的遗产
[01460.68-01463.64] 所以他家里人就期待说拉薪以后就做一个律师
[01463.64-01464.64] 他也很听话
[01464.64-01468.16] 所以他18岁的时候就考进了巴黎大学的法学院
[01468.16-01469.80] 但了考进去之后他就说
[01469.80-01470.88] 法学没啥意思
[01470.88-01472.16] 他就改学化学
[01472.16-01475.60] 所以25岁的时候就成了远室
[01475.60-01477.60] 但是他这个人命不好
[01477.60-01478.80] 就是他到后期的时候
[01478.80-01480.20] 他就感受了法国大革命
[01480.20-01481.80] 然后在加上拉西这个人
[01481.80-01483.40] 天赋云比喉人造人记录
[01483.40-01486.20] 所以当时的拉拉西就被推上了断头台
[01486.20-01487.80] 被推上断头台之后
[01487.80-01491.20] 拉西说竟然死亡是不可避免的
[01491.20-01492.60] 他就和贵子手商量
[01492.60-01494.40] 他说我想验证一下
[01494.40-01496.20] 灵魂是不是存在
[01496.20-01497.60] 当时这个贵子手说
[01497.60-01498.60] 那怎么去验证
[01498.60-01500.20] 他说你把我的头看下来之后
[01500.20-01502.20] 你看我的眼睛还长不长
[01502.20-01503.60] 如果我的眼睛不长了
[01503.60-01508.04] 那就意味着,你会都回头落内刻,我人就没了。
[01508.04-01512.00] 如果眼睛还在那边长,那就意味着,我其实还没有死亡。
[01512.00-01516.80] 这个时候还有意识在,后来他就跟那个,我们所说的这个,
[01516.80-01520.04] 贵子说达成了这样的一个结论,后来贵子说把他头看掉,
[01520.04-01521.96] 然后就发现他的眼睛还长了十一次。
[01521.96-01527.16] 然后有此,就说他眼睁了,临婚的存在,或是怎么样的,对吧?
[01527.16-01531.76] 其实这个就是非常有名的拉拉席的断头实验,那拉席的断头实验。
[01531.76-01535.48] 所以我们经常说拉咸 随死 油灾 随死用灾
[01535.48-01537.16] 所以在这里打住一下
[01537.16-01539.16] 这是第3个成就
[01540.36-01541.20] 拉拉咸
[01541.20-01543.12] 然后在我下看第4个成就
[01543.12-01544.96] 第4个在理论上的成就者
[01544.96-01546.84] 就是法拉地打住一下
[01546.84-01550.88] 法拉地一会儿和我们所说的奥斯特要形成先名的对比
[01550.88-01554.12] 法拉地发现了叫做电子感应现象
[01554.68-01557.56] 同把这个电子感应画出来叫做磁生电
[01559.92-01560.80] 磁生电
[01560.80-01566.44] 就是法拉帝的电俗改善向为第二次工与革命电的出现电流的非常良好的基础
[01566.44-01570.40] 所以在这里他说的是死生电而不是电生词
[01570.40-01573.20] 所以在这里他注意下这是法拉帝就OK了
[01573.20-01577.44] 所以他说发炼机的延置电流里能基础
[01577.44-01579.80] 法拉帝年轻的时候找的是相当之帅了
[01579.80-01582.44] 大家能看到图示的样子
[01582.44-01585.12] 和他相对用的另外一个人就是奥斯特
[01585.12-01586.88] 奥斯克大都叫奥斯的电流
[01586.88-01587.12] 对吧
[01587.12-01591.96] 它说通电通电导体周围会产生辞场
[01591.96-01594.40] 所以奥斯克发现的现象叫什么
[01594.40-01596.12] 就不是辞生电了
[01596.12-01598.60] 不是说这个导体在刺上当中
[01598.60-01600.04] 做切割刺案的订诺
[01600.04-01601.24] 它就会产生电
[01601.24-01602.56] 而不是而是反过来了
[01602.56-01604.08] 而是通电的东西会什么
[01604.08-01605.08] 生辞
[01605.08-01607.96] 所以它是电生辞
[01609.36-01610.88] 他们两个正好是反过来的
[01610.88-01612.24] 经常考试的时候
[01612.24-01613.36] 就经常会见到
[01613.36-01615.82] 說詞聲電視奧斯克就錯了
[01615.82-01616.90] 把這兩個人物
[01616.90-01618.04] 他的這個成就
[01618.04-01618.84] 做區分
[01618.84-01620.00] 能夠區分就行了
[01620.00-01620.92] 那至於法拉地
[01620.92-01621.98] 他如何詞聲電的
[01621.98-01623.60] 咱們會在物理知識當中
[01623.60-01624.56] 想起給大家講解
[01624.56-01626.68] 這地方大家只需要知道他的成就
[01626.68-01627.72] 就可以了
[01627.72-01629.92] 在理論成就當中的最後一個人
[01629.92-01631.04] 就是和拉馬克先生
[01631.04-01631.92] 先領對比的
[01631.92-01632.92] 這是達爾文
[01632.92-01634.48] 叫電定了金華論的基礎
[01634.48-01635.36] 發表的駐作
[01635.36-01636.44] 大家都知道叫做
[01636.44-01637.44] 物中取
[01637.44-01638.16] 達爾文
[01638.16-01638.96] 達州一下
[01638.96-01640.48] 人們對他的評價叫做
[01640.48-01641.80] 超級達爾文
[01641.80-01645.76] 就是它不是一个简单的生物学家
[01645.76-01647.52] 它是一个博物学家
[01647.52-01650.00] 怎么博物学家就是它什么头头经同
[01650.00-01651.80] 你无非是说到生物
[01651.80-01654.04] 还说到什么其他的一些科末
[01654.04-01656.52] 还说到什么律师文法天文这些东西
[01656.52-01657.88] 它都很在好
[01657.88-01660.16] 所以它说它是一个博物学家
[01660.16-01661.96] 当然它家的条件非常好
[01661.96-01665.84] 它的父亲和它的母亲都是当时欧洲的两大
[01665.84-01667.56] 非常有名的贵族阶级
[01667.56-01669.04] 属于强强联合
[01669.04-01672.32] 然后他的父亲有非常爱他和他的哥哥
[01672.32-01675.40] 他父亲是非常顾家
[01675.40-01678.44] 他的父亲还是一个医生 还是一个医生
[01678.44-01681.36] 然后他们家族所有人 要么是医生 要么是律师
[01681.36-01683.16] 这种经营节草
[01683.16-01686.96] 然后他的父亲因为非常爱他的哥哥和大人
[01686.96-01688.84] 所以当时他的父亲就努力工作
[01688.84-01690.76] 就想着说这两个孩子拿怕
[01690.76-01693.76] 这个成就不好 学成就不好
[01693.76-01694.64] 其实也没有关系
[01694.64-01695.88] 就是他父亲赚的钱
[01695.88-01698.00] 足够他和他的哥哥花上好几倍子了
[01698.00-01700.60] 就是他们家的条件非常的优物
[01700.60-01704.20] 当时大人确实也学习的时候不打地
[01704.20-01707.60] 后来那个就考上了我们所说的神血
[01707.60-01709.40] 就学了宗教后来想一说
[01709.40-01711.00] 让他去做神父
[01711.00-01712.80] 后来他就对生物有了
[01712.80-01714.00] 龙后的兴趣
[01714.00-01716.60] 后来就跟着一个传对思出去有利
[01716.60-01719.00] 然后在他有利的过程当中发现了这生物
[01719.00-01720.72] 写了一本书教物中去
[01720.72-01721.88] 这是他的物中去
[01721.88-01723.32] 神奇就神奇在什么呢
[01723.32-01724.72] 就神奇在他在他的物中
[01724.72-01727.44] 全当中没有提过任何一次
[01727.44-01730.00] 人是从原好进行来的
[01730.00-01732.24] 说他这个节乐是没在书中写道的
[01732.24-01734.48] 原因很简单就是因为他当时那个年代
[01734.48-01736.60] 这是还是神学才是主流
[01736.60-01738.48] 就是他说人是从原进行来的
[01738.48-01739.76] 他本身他也不敢学
[01739.76-01742.08] 第二个就是他没有缺缺的证据说
[01742.08-01744.00] 证明人是从原进行来的
[01744.00-01746.88] 但是神奇就神奇在所有的人
[01746.88-01748.20] 讀完他的物中起源
[01748.20-01750.04] 出奇得出一个节乐
[01750.04-01752.00] 就是人不是上帝创造的
[01752.00-01754.36] 而是应该是由我们所说的什么
[01754.36-01756.88] 质人也好原人也好有那个进行来的
[01756.88-01759.40] 这是大家独国他的数都会产张的想法
[01759.40-01761.36] 所以这是他的武装区员
[01761.36-01762.68] 所以非常神奇
[01763.08-01763.96] 大家知道
[01763.96-01766.32] 武装区员使得计划论瓜熟地路
[01766.32-01768.96] 就把它合拉碼克做一个对比
[01768.96-01771.60] 这是我们所说的第一次科技革命
[01771.60-01772.84] 所以第一次科技革命
[01772.84-01773.84] 咱们就讲了
[01773.84-01776.36] 理论成就和科技成就
[01776.36-01778.32] 理论成就两段人
[01778.32-01779.80] 一个是拉碼克和大人
[01779.80-01782.24] 一个是法拉地和奥斯特
[01782.24-01783.48] 技术成就
[01783.48-01786.04] 对吧咱们就讲了蒸气机的发明和使用
[01786.04-01789.32] 蒸气机蒸气机车蒸气轮传
[01789.32-01793.72] 还有一个就是模式、模式、有限电报和模式电码
[01793.72-01795.24] 这是第一次工业隔命
[01795.24-01796.40] 第一次工业隔命
[01796.40-01798.16] 我们说了到19世间40年代
[01798.16-01799.48] 1840年节术
[01799.48-01800.72] 隔了30年
[01800.72-01802.84] 到了19世纪70年代
[01802.84-01805.36] 也是1870年左右的时候
[01805.36-01806.80] 到20世纪初
[01806.80-01808.80] 也是1900年初
[01808.80-01812.12] 在这个时候就进行了第二次工业隔命
[01812.12-01812.96] 第二次工业隔命
[01812.96-01815.64] 主要是什么为主 电力为主 为什么又电了呢
[01815.64-01817.78] 因为根据法拉地的此生电效应
[01817.78-01819.56] 严制出来了 法典极
[01819.56-01821.60] 所以第二次工业革命大改的时间
[01821.60-01822.68] 大家要注意一下
[01822.68-01824.60] 那第二次工业革命的主要标志
[01824.60-01827.08] 大家注意一下是电力的 广方应用
[01827.08-01829.92] 大主也每一次科技革命的变革
[01829.92-01832.16] 他必然是有一次新的能源变革
[01832.16-01832.92] 明白了吧
[01832.92-01834.68] 你甚至包括后面我们所说的
[01834.68-01837.48] 第三次可以革命为什么产生能源变革
[01837.48-01839.68] 从原本的人力到争取动力
[01839.68-01842.00] 然后再找到一个比争取动力更强大的动力
[01842.00-01844.24] 然后有了第二次的一个命
[01844.24-01846.36] 找到了比跌立更强大的能源
[01846.36-01848.08] 和能有了第三次共云革命
[01848.08-01850.64] 那第四次共云革命到底行就一否
[01850.64-01852.76] 就看谁能抓了住
[01852.76-01854.60] 我们所说的能源革命建设
[01854.60-01857.04] 为什么国家要开始加进去搞新能源的
[01857.04-01858.36] 这样发展战略更换
[01858.36-01859.56] 其实也在这里面
[01859.56-01859.92] 对吧
[01859.92-01860.92] 所以在这儿打知道
[01860.92-01862.40] 所以第24共云革命
[01862.40-01865.56] 它的主要标志是跌立的狗汤严育用
[01865.56-01867.64] 第四共云革命的主要标志是
[01867.64-01868.76] 争气
[01868.76-01870.64] 我说了每一次共云革命
[01870.64-01872.88] 必然半随着能源革命
[01872.88-01874.16] 所以这是我们所说的
[01874.16-01875.56] 第二次工业革命的概括
[01875.56-01877.00] 大概知道它的时间
[01877.00-01878.28] 这个时间很重要
[01878.28-01879.28] 所以大家注意一下
[01879.28-01880.36] 这是第二次工业革命
[01880.36-01882.64] 那第二次工业革命也是一样的
[01883.64-01887.24] 在这里面我们也要看一下它的技术革命成就
[01887.24-01889.00] 以及我们所说的它的一个什么
[01889.00-01891.08] 它的科学革命成就
[01891.08-01892.72] 那首先第一个就是在技术上
[01892.72-01894.80] 就像看一下都发明出来了什么
[01894.80-01896.00] 在这里面来看一下
[01896.00-01897.92] 它发明出来了东西包括第一个
[01897.92-01898.84] 大飞机
[01898.84-01903.36] 对吧,所以飞机时间注意是在二十世纪初
[01903.36-01907.20] 所以1903年来特兄弟发明了飞机
[01907.20-01910.56] 所以这是在二十世纪初的方面
[01910.56-01912.64] 所以它是比较特殊的
[01912.64-01913.96] 我在这里这么给大家说吧
[01913.96-01915.40] 就除了来特兄弟
[01915.40-01919.56] 它的成就是在第二次公里隔命当中的二十世纪初
[01919.56-01923.36] 其他的都是在十九世纪纪七八十年代八九十年代
[01923.36-01927.04] 所以在这里来特兄弟发明了飞机是在二十世纪初
[01927.04-01928.44] 这个时候稍微地
[01928.44-01929.80] 它和其他的时间节点
[01929.80-01931.16] 可能稍微地有些出入
[01931.16-01933.24] 大家把这个时间稍微注意下就行了
[01933.24-01935.68] 但是我们核心的实际点还是要知道
[01935.68-01937.28] 来特兄弟是在第二次工业
[01937.28-01938.76] 广告中发明了飞机
[01938.76-01940.76] 所以他说飞机加使员
[01940.76-01941.96] 它的出现的数据
[01941.96-01944.20] 那一定是比轮传的
[01944.20-01945.60] 我们所说的传长
[01945.60-01948.40] 和我们所说的蒸气火车的
[01948.40-01951.20] 火车开车的司机要怎么样
[01951.20-01951.96] 肉碗的
[01951.96-01952.24] 对吧
[01952.24-01953.24] 所以在这里大家注意
[01953.24-01954.40] 这是第一个搞出来了
[01954.40-01955.12] 飞机
[01955.12-01956.44] 第二个就是西门子
[01956.44-01960.40] 发电机 新闻子的发电机标志电力时代的到来
[01960.40-01962.04] 这个点减得看一下就可以了
[01962.04-01964.96] 所以第二次公里的名字主要发生在美国和德国
[01964.96-01967.52] 新闻子到今天还有是品牌的代言
[01967.52-01968.52] 对吧
[01968.52-01970.24] 所以这是前两个成就
[01970.24-01972.04] 卓重处一下飞机就行了
[01972.04-01974.24] 然后再往下等我们来看一下
[01974.24-01977.44] 他说在这个基础上还有成就这是电话
[01977.44-01980.08] 同标注一下就背耳发明了什么
[01980.08-01982.92] 有限电话把这个就给的标志出来
[01982.92-01987.28] 背尔方面的有限电话最开始是为了去搞化学实验
[01987.52-01989.06] 它在这个实验时当中
[01989.32-01991.62] 它就为了更好的和它的助手联系
[01991.88-01994.18] 所以就搞出来了我们所说的这个有限电话
[01994.44-01997.00] 你从哪个那个实验时过拿掉什么什么东西过来
[01997.26-01998.28] 它就不用来了回录跑
[01998.54-01999.30] 结成了很
[01999.82-02001.10] 很多的这种时间
[02001.36-02002.88] 所以背尔发明了有限电话
[02003.14-02006.72] 在这里面大家注意一下这是第2个小达期级的成就
[02006.98-02009.28] 第3个小达期级的成就就是无限电报
[02009.54-02012.36] 这无限电报就会和有限电报先区分
[02012.36-02014.36] 咱们前面讲有限电报
[02014.36-02016.00] 有限电报是谁
[02016.00-02018.80] 有限电报是第一次工业革命的
[02018.80-02021.96] 莫斯或者是莫斯所发明出来
[02021.96-02022.96] 我就写一宫了
[02022.96-02023.96] 第一次工业革命
[02023.96-02028.28] 那这个无限电报是在第二次工业革命当中
[02028.28-02028.88] 搞出来的
[02028.88-02029.80] 发明者是谁呢
[02029.80-02031.00] 坏下马肯尼
[02031.00-02033.68] 马肯尼发明了无限电同性
[02033.68-02035.04] 这个就是我们所说的
[02035.04-02036.00] 马肯尼
[02036.00-02038.72] 以前的有限电报大众传都连着各种各样的线
[02038.72-02039.12] 对吧
[02039.12-02040.32] 但这个就不用了
[02040.32-02041.28] 所以在这里面
[02041.28-02042.52] 把他两座区分
[02042.52-02044.16] 汪两部级人物不一样
[02044.16-02045.20] 而且
[02045.20-02047.60] 我们所说的十七也不一样
[02047.60-02049.28] 这是五线电报
[02049.28-02050.44] 在这里面
[02050.44-02051.52] 在发明成就当中
[02051.52-02052.32] 不得不提到
[02052.32-02053.04] 打住一下
[02053.04-02053.68] 还有一个人
[02053.68-02053.92] 就是
[02053.92-02054.56] 爱提声
[02054.56-02055.92] 我们都知道被称的微叫做
[02055.92-02057.12] 发明大王
[02057.12-02057.84] 爱提声
[02057.84-02059.84] 发明大王
[02059.84-02062.24] 在这里他的主要成就两个画一下
[02062.24-02063.44] 一个是流声机
[02063.44-02064.72] 就是我们所说的那种
[02064.72-02066.24] 像黑椒唱片的那种
[02066.24-02067.20] 它可以克录
[02067.20-02067.44] 对吧
[02067.44-02068.72] 这个叫流声机
[02068.72-02070.16] 第二个就是白智灯
[02070.16-02072.00] 我们所看到的灯泡
[02072.00-02074.80] 所以在这里面就是艾滴生的发明
[02074.80-02076.28] 当时艾滴生大助一下
[02076.28-02077.80] 艾滴生它搞出来的
[02077.80-02080.26] 我们所说的王王用的是
[02080.26-02080.96] 直流电
[02080.96-02081.84] 直流电
[02081.84-02083.08] 就是艾滴生它说了
[02083.08-02085.76] 它说它把电力推广向前世界
[02085.76-02088.52] 但是艾滴生在把电力向前世界推广的时候
[02088.52-02089.56] 就遇到了一个问题
[02089.56-02092.56] 直流电它需要铺射很多的我们所说的什么
[02092.56-02093.92] 很多的这种电线
[02093.92-02095.96] 而且它的运输成本特别的高
[02095.96-02096.92] 所以当时
[02096.92-02101.60] 就把他的電力推廣到全世界就遇到了一個阻礙
[02101.60-02104.28] 當時有一個年輕人就給他寫了一封信
[02104.28-02105.68] 他其實非常喜歡愛的一聲
[02105.68-02107.52] 可以說把愛的一聲作為他的偶像
[02107.52-02109.84] 然後他就覺得愛的一聲的這個直流電
[02109.84-02112.60] 他其實是有一定的約束在的
[02112.60-02114.76] 所以他想給愛的一聲提一個建議
[02114.76-02117.40] 然後這個年輕人就給愛的一聲寫了一封信
[02117.40-02118.64] 就給愛的一聲寫的是
[02118.64-02120.52] 說親愛的愛的一聲寫上
[02120.52-02122.68] 說在我熟悉的所有人當中
[02122.68-02125.36] 只有兩個是非常偉大的人物
[02125.36-02129.20] 一个是你另一个就是正在写信的物
[02129.20-02130.80] 给他写正的信的人是谁
[02130.80-02132.52] 是一个更为神奇的人物
[02132.52-02133.04] 对吧
[02133.04-02137.32] 我们在都是传说也好在物理学界也好把他称为接近神的男人
[02137.32-02138.40] 就是特斯拉
[02138.40-02139.36] 当然特斯拉特斯拉特斯拉特斯拉特斯拉
[02139.36-02140.64] 在身体给他写这个信
[02140.64-02143.52] 然后在里面就给他提到了交流电的想法
[02143.52-02146.40] 但是爱地生他虽然是发明成就这样
[02146.40-02149.04] 但是这个人其实多少也有些自负在的
[02149.04-02151.44] 后来他就给特斯拉就回信
[02151.44-02153.60] 然后就说如果你做到什么事情的话
[02153.60-02155.28] 那我就考虑你的建议聘你
[02155.28-02157.60] 结果特斯拉把他这个事情做完了之后
[02158.36-02160.56] 哎 今晚已经生就烦水了
[02160.56-02163.60] 当时呢 这个特斯拉就农圈了说过的天了
[02163.60-02164.96] 我吸入的偶像
[02164.96-02166.80] 在今天居然他访了
[02166.80-02170.40] 对吧 所以当时特斯拉依然决然的就离开了 离生
[02170.40-02172.16] 离开了 离生去找了谁呢
[02172.16-02174.56] 去找了交流电的支持和研究者
[02174.56-02176.72] 就是叫做威儿好死听
[02176.72-02179.04] 所以在这个里面就威儿好死听就
[02179.04-02180.46] 他自己騎下的公司
[02180.46-02183.00] 然後特斯拉們就在那個地方去搞交流點
[02183.00-02185.52] 所以在這裡面這是我們所說的關於
[02185.52-02188.12] 愛提升這個直流點和交流點之中
[02188.12-02190.04] 在這裡面我推了大家看一個電影
[02190.04-02191.80] 我真的是真心的推了大家看這個電影
[02191.80-02192.64] 看完這個電影
[02192.64-02193.96] 就對第二次工業革命
[02193.96-02195.16] 它的電力的發展
[02195.16-02196.96] 裡面的人物科技的成就
[02196.96-02198.88] 都會有一個非常具想化的人之源
[02198.88-02201.00] 這個電影就是我跟大家展現的這個
[02201.00-02203.80] 就是叫做電力之戰
[02205.20-02206.44] 那就電力之戰
[02206.44-02209.00] 這個電影真的拍了我很好
[02209.00-02209.80] 这个非常好
[02209.80-02211.40] 这个跌里之战讲的就是
[02211.40-02212.20] 艾滴生
[02212.20-02213.08] 艾滴生就是这个
[02213.08-02214.80] 捐服本地低头特
[02214.80-02216.12] 就是齐业博士
[02216.12-02217.52] 佛尔门色半言者
[02217.52-02218.80] 他也艾滴生
[02218.80-02220.04] 另外一个人就是
[02220.04-02220.84] 艾斯特很好
[02220.84-02222.64] 艾斯特就好
[02222.64-02223.12] 就是什么
[02223.12-02224.12] 艾斯特好似的
[02224.12-02225.64] 艾斯特好似
[02225.64-02226.24] 好似
[02226.24-02227.20] 我这个嘴
[02227.20-02228.20] 然后就是他们两个
[02228.20-02229.60] 直流电和交流电之中
[02229.60-02230.52] 这里面也讲到了
[02230.52-02232.44] 特斯拉还讲到了其他的
[02232.44-02234.40] 科学的直学成就的人物
[02234.40-02236.24] 这个电影还是挺直的
[02236.24-02237.56] 一看非常好看
[02237.56-02238.56] 所以大家注意一下
[02238.56-02240.40] 这是我们所说的这个ID生
[02240.40-02244.44] 所以在这里它知道ID生它主要推广它的东西用的是16点
[02244.44-02247.84] 同时在这里知道有另外一个人就是特斯拉就OK了
[02247.84-02250.40] 这是我们所说的它的发明成就
[02250.40-02252.92] 除了以上的发明成就之外还有炸药
[02252.92-02255.00] 大主义下炸药这个不给大家多说了
[02255.00-02255.88] 就是诺贝
[02255.88-02257.52] 所以它在创丁了诺贝而讲
[02257.52-02260.20] 然后最后一个点同样注意一下就是轻微速
[02260.20-02263.64] 轻微速它的时间也是在20世纪出
[02263.64-02265.04] 在这里大家注意一下
[02265.04-02267.04] 这个轻微速是在生物当中的
[02267.04-02273.20] 说清美素是扶兰名发现的开创党发现了清美素有很强的秘密军的这样作用
[02273.20-02275.24] 扶兰名当时做实验的时候
[02275.24-02280.36] 天天想搞出来一个说能不能在这里面找到一个抗军的消言的东西
[02280.36-02282.92] 天天也就啥也没演出来
[02282.92-02284.64] 而且气力的都已经不行了说
[02284.64-02286.44] 后来两首一攤
[02286.44-02288.28] 我不演就了对我摆了了
[02288.28-02289.24] 说我再出去玩
[02289.24-02290.96] 然后出去玩的时候就玩了很彻底
[02290.96-02292.40] 他出发之前
[02292.40-02294.64] 他实验是所有的气彩
[02294.64-02296.18] 都扔在水磁里
[02296.18-02297.14] 他都没刷
[02297.14-02298.40] 然后出一玩了好差一段时间
[02298.40-02299.66] 回来做发现我天了
[02299.66-02300.02] 对吧
[02300.02-02302.40] 一进去之后感觉那个味道能影送走
[02302.40-02305.24] 反而水磁里面的所有的气材
[02305.24-02306.64] 都涨毛了
[02306.64-02307.44] 没话了
[02307.44-02308.48] 都涨没军了
[02308.48-02311.28] 但是他再去清理的过程的发现
[02311.28-02314.48] 有一个气面当中有一小一小块
[02314.48-02318.92] 他周围全都是这种涨毛的绿色的毛毛
[02318.92-02320.16] 和其他颜色的绿毛毛
[02320.16-02322.52] 但是只有那一小块一点毛都没涨
[02322.52-02323.92] 于是他又说这一小块
[02323.92-02326.12] 和其他地方指定是不一樣的
[02326.12-02327.36] 你是他把內塊提起
[02327.36-02328.92] 提出來之後發現了
[02328.92-02329.96] 找到了千美素
[02329.96-02331.28] 所以在這裡面大家注意一下
[02331.28-02333.28] 這時候是偶然當中發現的
[02333.28-02335.44] 所以福拉明不要注意一下
