[00000.00-00005.76] 好了,我们终于走到了整个迷法当中的最后一篇就是青权责任
[01135.96-01137.96] 就见到了我们所说的这个
[01137.96-01139.36] 和留的上游
[01139.36-01140.76] 接到和留上游之后
[01140.76-01143.36] 然后他也没有去我们所说的说
[01143.36-01145.44] 调查当地的上法律法规
[01145.44-01146.68] 以及企业的运行
[01146.68-01147.72] 进行环品
[01147.72-01148.96] 这些工作他都没有做
[01148.96-01150.76] 于是给就开始大量的排放污水
[01150.76-01152.36] 他再去排放污水的时候
[01152.36-01155.56] 他就怎么样造成了下游的人员
[01155.56-01158.16] 就是下游的不下游的对不起
[01158.16-01159.16] 最漂亮
[01159.16-01161.16] 造成了下游的居民
[01161.16-01162.56] 他的生态环境饿化
[01162.56-01163.88] 造成下游的什么情况呢
[01163.88-01166.10] 第1个就是有大量的
[01167.02-01168.36] 娱霞死亡
[01170.96-01172.40] 有大量的娱霞死亡
[01172.40-01173.84] 第2个就是我们所说的
[01173.84-01176.36] 这个税流造成了极大的污染
[01179.88-01182.28] 第3个就是居民的生存环境
[01183.08-01184.32] 就是居民的生活
[01184.32-01185.44] 有了很大的困扰
[01185.44-01186.60] 那这个时候呢
[01186.60-01188.92] 如果这个小日子这个企业
[01188.92-01190.36] 它是不是已经造成了环境污染
[01190.36-01191.24] 或生态破坏
[01191.24-01193.24] 这个时候我们就可以怎么办
[01193.24-01196.00] 如果说是居住在当地的居民受不了
[01196.00-01200.00] 居住在当地的居民就可以去起诉这个小日子企业
[01200.00-01201.12] 又或者说什么呢
[01201.12-01204.80] 又或者说我们所说的这个环保的相关的
[01204.80-01206.80] 这样的一系列的协会也好怎么样
[01206.80-01208.92] 也可以去起诉什么小日子这样企业
[01208.92-01210.64] 这时候你去起诉他的小日子
[01210.64-01212.00] 自己就要给自己怎么样
[01212.00-01213.20] 就要给自己打变
[01213.20-01214.84] 就要给自己说做变货
[01214.84-01216.60] 说我也不知道这个情况
[01216.60-01218.68] 那如果是造成环境性神的话怎么办
[01218.68-01219.92] 我管理知不知道的
[01219.92-01221.26] 你只要造成环境物染
[01221.26-01222.50] 你就必须怎么办
[01222.50-01223.84] 你就必须给我消除
[01223.84-01224.72] 像的污染
[01224.72-01227.16] 而且要进行相的什么配上
[01227.16-01228.42] 那这个大家知道
[01228.42-01229.64] 这是环境污染
[01229.64-01231.68] 它的一个我们所提到的
[01231.68-01232.98] 这个无过错责任
[01232.98-01234.46] 所以在这里大家注意一下
[01234.46-01235.34] 首先第一个
[01235.34-01236.18] 我们要知道它是
[01236.18-01237.08] 无过错责任
[01237.08-01237.74] 就是不管它
[01237.74-01239.20] 知不知道它是不是不意的
[01239.20-01240.32] 只要造成了所谓
[01240.32-01241.12] 害结果
[01241.12-01242.96] 它就必须要成的责任
[01242.96-01243.92] 所以同时标注一下
[01243.92-01244.56] 这是
[01244.56-01245.36] 第二
[01245.36-01247.44] 圈儿就是我刚才给大家说的
[01247.44-01248.52] 这个环境污染
[01248.52-01250.16] 他其实是在民诉法当中
[01250.16-01252.10] 是用于举政责任道质
[01255.18-01258.00] 那这个举政责任道质
[01258.00-01260.48] 老师这个地方有一点抽钢了
[01260.48-01264.54] 这是我不太能够理解举政责任道质它的含义是什么
[01264.54-01266.14] 我举个简单的例子来说
[01266.14-01266.86] 大家注意一下
[01266.86-01270.38] 这是我们在法庭上进行相当的辩护的时候
[01270.38-01271.66] 我们经常会听到
[01271.66-01273.74] 有比如说就民事来说吧
[01273.74-01275.40] 就民事诉讼法来说
[01275.40-01276.94] 我们经常会看到有什么
[01276.94-01277.70] 有什么
[01278.52-01279.24] 联告啊
[01281.34-01281.86] 对吧
[01282.10-01283.12] 联告人呢
[01283.38-01284.40] 被告人呢
[01285.68-01286.08] 对吧
[01286.20-01289.02] 这时候经常是我们在这个法庭上看到的
[01289.02-01291.32] 他有两方对吧一个是联告方一个是被告方
[01291.58-01292.34] 那这里面呢
[01292.60-01295.42] 他们两个其实都会承担不同的捣任的
[01295.42-01297.46] 比如说我们你借了一万块钱
[01297.72-01299.50] 然后这个时候呢你就我没有还钱呢
[01299.52-01300.54] 你像法院起诉啊
[01300.80-01301.82] 然后这个时候你说
[01301.82-01302.84] 说法官法官法官
[01302.84-01305.40] 法官大人呢说你可快点给我做主吧
[01305.40-01307.20] 你就是我的青天大老爷爷
[01307.20-01308.22] 然后法文就跟你咋了
[01308.22-01310.02] 他说你看这个不要脸的结贵
[01310.02-01311.30] 他把我借了钱
[01311.30-01312.58] 他有不还我
[01312.58-01315.90] 这个时候法官不能只听你的一面之辞
[01315.90-01318.46] 他就会问我说结贵你们他借钱了吗
[01318.46-01320.00] 我说这么好说
[01320.00-01320.26] 对吧
[01320.26-01321.80] 那借不借的谁知道呢
[01321.80-01322.82] 这很难平了
[01322.82-01323.84] 然后
[01323.84-01325.32] 这个法官这当时就怎么样
[01325.32-01326.14] 这债了 对吧
[01326.14-01327.94] 这个时候他没有办法判断
[01327.94-01331.02] 于是你看你像法官主张的是什么
[01331.02-01333.82] 是我像你借款的这一个事实
[01333.82-01337.02] 那你竟然主张我像你借款的这个机器事实
[01337.02-01339.54] 那你就要向法院舉政
[01339.54-01341.06] 我已經向你借款了
[01341.06-01342.14] 你是不是就要就
[01342.14-01343.98] 我向你借款的這件事
[01343.98-01345.66] 去努力出來
[01345.66-01346.78] 一大堆的材料
[01346.78-01348.26] 然後承擔局政責任
[01348.26-01349.70] 所以在整個民宿當中
[01349.70-01351.10] 會在整個訴訟法當中
[01351.10-01351.74] 我們說了
[01351.74-01352.82] 在法庭辨護當中
[01352.82-01353.58] 我們一般說了
[01353.58-01354.62] 叫誰主張
[01357.02-01358.18] 誰主張
[01358.50-01359.30] 誰舉政
[01360.54-01362.06] 而這個主張是什麼主張
[01362.06-01363.38] 是積極實實的主張
[01363.38-01364.90] 就是誰主張積極實實
[01364.90-01365.50] 比如說
[01365.50-01366.66] 你說我倉借款了
[01366.66-01369.14] 那我问你计划就是一计事实
[01369.14-01370.26] 那什么叫消息事实呢
[01370.26-01371.46] 就是我没有计划
[01371.46-01372.70] 我是法国那人我没有
[01372.70-01374.22] 那这个就有消息事实
[01374.22-01375.94] 那你说我问你计划了
[01375.94-01377.18] 你这个叫计事实
[01377.18-01378.26] 那你就要举证
[01378.26-01380.02] 来证明我向你计划了
[01380.02-01380.98] 而我说的是
[01380.98-01382.46] 我说我可没有问你计划
[01382.46-01383.82] 你可不要训可骗人
[01383.82-01385.42] 你算上最囪的破下囡
[01385.42-01386.74] 你就开始在这无限我
[01386.74-01388.66] 我没见咱可不敢见的钱
[01388.66-01390.22] 你看我如果说我没见
[01390.22-01391.22] 他属于什么事实
[01391.22-01392.26] 那是消息事实
[01392.26-01393.78] 消息事实不消息说
[01393.78-01394.50] 所以我们说了
[01394.50-01395.54] 在整个辩误过程当中
[01395.54-01399.54] 谁主张经济事实
[01399.54-01400.54] 谁承担
[01400.54-01401.54] 主张执政
[01401.54-01402.54] 谁主张谁主张
[01402.54-01404.54] 那如果睡一到的是什么
[01404.54-01406.54] 如果睡一到是我们所说的清权
[01406.54-01408.54] 清权的要素
[01408.54-01409.54] 我们说了
[01409.54-01410.54] 如果是环境污染清权的话
[01410.54-01411.54] 网站
[01411.54-01412.54] 如果是黄金
[01412.54-01413.54] 环境污染清权的话
[01414.54-01415.54] 我就讲了写环境
[01416.54-01417.54] 环境污染清权的话
[01417.54-01418.54] 我们说了清权
[01418.54-01420.54] 昨日一般是行为
[01420.54-01421.54] 对不对
[01421.54-01422.54] 还有什么
[01422.54-01423.54] 还有结果
[01423.54-01426.48] 还有英国关系
[01426.48-01428.18] 还有我们所说的什么
[01428.18-01428.98] 还有过错
[01428.98-01431.18] 但是由于在这里大家看一下
[01431.18-01433.42] 但是由于我们所说的环境物人
[01433.42-01434.78] 它属于无过错责任
[01434.78-01436.22] 所以把过错差掉
[01436.22-01438.54] 在整个环境侵旋起诉过程当中
[01438.54-01440.78] 我们要举征的一共就这三个方面的点
[01440.78-01443.50] 叫行为结果英国关系
[01443.50-01445.50] 对吧 叫行为结果英国关系
[01445.50-01447.74] 这个行为结果英国关系的时候
[01447.74-01449.46] 它的过程要叫是这三个
[01449.46-01450.94] 原则上是什么
[01450.94-01455.36] 原則上,大家注意一下,原則上是誰主張記憶事實,誰舉著?
[01455.36-01462.74] 一個小日子企業排放了什麼污水,造成了下流的雨下、和老百姓的生活
[01462.74-01468.94] 造成一個影響,並且他們直接有音武關系,原則上這三個事實都是什麼?都是積極主張
[01469.94-01480.90] 對不對,原則上這三個事實都是積極主張,那積極主張原則上應該是誰來舉證呢?是原告,對吧?他應該主張、清學行為、舉證、清學行為、結果
[01480.90-01483.30] 以及我們所說的什麼 英國關係
[01483.30-01484.50] 但是我剛才說了
[01484.50-01486.26] 我們在整個環境去年當中
[01486.26-01489.10] 他是用什麼 使用舉政責任 導致
[01490.74-01491.94] 導致的意思就是
[01491.94-01494.94] 原本英當有員告舉政的一些行為
[01494.94-01496.46] 他應該由誰來舉告
[01496.46-01498.06] 應該就有被告來了
[01498.06-01499.82] 那被告他應該舉裝什麼呢
[01499.82-01502.54] 原本在員告當中是不是他要舉張
[01502.54-01504.50] 行為結果 英國關係
[01504.50-01506.90] 那現在呢 英國關係由誰來舉政
[01506.90-01509.50] 英國關係 導致就告給誰了 報告
[01509.50-01510.70] 都給被告了
[01510.70-01514.22] 所以被告來舉證英國和法定面責是有
[01516.38-01520.22] 他來舉證英國以及我們所說的法定面責是有
[01520.22-01523.38] 所以舉證責任道理在旁邊標準一下到什麼呢
[01523.38-01526.18] 舉證責任就環境侵選舉證到英國
[01527.98-01532.02] 如果是被查英國關係要由被告去舉證
[01532.02-01534.94] 他們想一下小日子企業的信任的多多
[01534.94-01536.30] 對吧你現在如果說
[01536.30-01539.82] 老百姓舉證英國關係的有很多東西
[01539.82-01541.82] 你是没有办法去取征的
[01541.82-01542.82] 这个时候就干嘛
[01542.82-01544.42] 你就把这个责任倒是给
[01544.42-01547.22] 被告到这个小日子这个不要脸的企业
[01547.22-01547.62] 对吧
[01547.62-01549.82] 这个时候他如果没有办法证明
[01549.82-01551.42] 下游于下的死亡
[01551.42-01553.22] 居民环境的污染和他没有关系
[01553.22-01554.82] 那他就要承担什么
[01554.82-01556.42] 他就要承担相的责任
[01556.42-01557.42] 所以在这里我们说了
[01557.42-01559.02] 这里有一个叫做举征责任
[01559.02-01560.82] 到制我们就把它归大再一块
[01560.82-01562.62] 这个点如果记不住没有关系
[01562.62-01563.62] 稍微有印象
[01563.62-01564.42] 就可以了
[01564.42-01566.26] 因为他是诉讼法而不是民事
[01566.26-01567.62] 司机法当中的内容
[01567.62-01570.44] 是第二个我们叫做举政责任道质
[01570.44-01571.58] 叫举政责任道质
[01571.58-01572.86] 这个点大家注意一下
[01572.86-01575.58] 那第31个就是如果针对于环境屋然
[01575.58-01577.34] 我们可以提起公益诉讼的
[01579.78-01582.34] 就是针对于我们所说的这个环境屋然
[01582.34-01584.78] 我没有办法找到适合的元高
[01585.02-01587.10] 那这个时候就可以提起公益诉讼
[01587.10-01588.34] 公益诉讼由谁来提呢
[01588.34-01589.82] 由检察院来来提
[01589.82-01592.46] 这个点它也是在诉讼法当中的内容
[01592.46-01594.62] 所以在环境屋然当中一共三个细节
[01594.62-01598.82] 第一个 无过错责任 第二个 举政责任
[01598.82-01602.52] 到制 第三个就是工与诉讼的 检查方
[01602.52-01604.02] 所以在这里面 大家注意一下
[01604.02-01606.92] 这是我们所说的第三个 就是还减肩了
[01606.92-01608.32] 无论 还减肩无论
[01608.32-01612.52] 第四个就是在这里面 提到的叫做产品侵券责任
[01612.52-01614.32] 产品侵券责任 他说了
[01614.32-01619.12] 说产品侵券责任是指产品的生产者销售者
[01619.12-01623.20] 以生產銷售趨線產品造成它人損害的
[01623.20-01626.76] 應當成單損害賠償的責任
[01626.76-01629.08] 這時候就是特殊的財產責任
[01629.08-01630.80] 在這裡說產品責任
[01630.80-01632.20] 是由無過錯責任原則
[01632.20-01633.76] 你把無過錯話出來
[01633.76-01634.80] 在這裡
[01634.80-01637.30] 它說由於產品的生產者或銷售者
[01637.30-01638.20] 成單
[01638.20-01639.84] 然後面他說產品
[01639.84-01642.16] 趨線真損害的說還人可以銷
[01642.16-01643.92] 產品的生產者要求賠償
[01643.92-01647.20] 也可以像我們所說的產品的銷售者要求賠償
[01647.20-01650.40] 这是我们所给到的清晨责任当中的法条
[01650.40-01653.32] 但考试的时候它不会单一的就就这个法条来
[01653.32-01656.28] 咱们来把整个产品责任做一个分析
[01656.28-01659.40] 它也是在清晨责任当中一个难点来
[01660.12-01662.32] 咱们来先解释一下案情
[01662.32-01663.52] 解释一下案情
[01663.52-01664.56] 什么案情呢
[01665.20-01668.60] 假设我买了一个习惊假设别我了
[01668.60-01670.44] 咱们就选电一个人吧
[01670.76-01671.64] 选谁呢
[01672.12-01675.00] 那就是今天是还没有出场了
[01675.00-01677.80] 今天陌生广场全都发生没有处场吧
[01677.80-01678.72] 假设啊
[01679.04-01680.16] 陌生广场吧
[01682.04-01684.28] 假设呢现在陌生广场
[01684.28-01685.64] 搬了新加了
[01685.64-01687.24] 陌生广场搬了新加之后呢
[01687.24-01688.64] 他发现他家里什么都有了
[01688.64-01689.72] 但是却一排什么
[01689.72-01690.44] 习惊
[01690.44-01693.64] 于是陌生广场就像
[01694.80-01696.32] 像每一台习惊
[01698.60-01699.32] 买
[01699.32-01701.20] 习惊
[01701.68-01702.24] 即
[01702.24-01703.32] 那他买习惊
[01703.32-01704.44] 他买的是什么呢
[01704.44-01706.32] 它向所说的
[01706.92-01708.52] A商场的
[01709.80-01712.00] 像A商场去买了一台洗级
[01712.00-01713.20] 买一个什么牌子呢
[01713.20-01717.92] 就要贡买了一台小地压洗级
[01720.12-01721.60] 小地压洗级
[01722.92-01725.20] 然后就拿回家使用了
[01726.60-01727.44] 拿回家了
[01728.52-01729.36] 拿回家了
[01729.36-01731.56] 它就开始用这个洗级洗级洗级
[01731.56-01735.66] 这个时候用这个习机习优可能就会遇到以下这么几个问题
[01735.66-01736.82] 怎么来分析一下
[01736.82-01738.86] 它可能会有这两种情况
[01738.86-01739.88] 习机
[01739.88-01741.46] 第一种情况是什么呢
[01741.46-01743.20] 就是这个牧荣广场
[01744.20-01745.86] 我就简单写广场好不好
[01745.86-01747.66] 咱们亲切的成不太为广场
[01747.66-01749.36] 那如果我在这里面
[01749.36-01751.96] 我说了这个牧荣广场大家注意一下
[01751.96-01753.96] 它就回去把习机办回家了
[01753.96-01754.68] 眼睛好了
[01754.68-01755.96] 它就拿这个习机给完了
[01755.96-01757.36] 拿这个习机习优优呗
[01757.36-01759.76] 结果牧荣广场在习优的时候突然
[01759.76-01762.58] 这个小小地压的滚同习一架
[01762.58-01765.08] 就一下子就里面就赚速特别快
[01765.08-01768.48] 然后滚同就一下 捧了一下就出来了
[01768.48-01769.56] 捧了一下出来了之后
[01769.56-01771.64] 然后就把他家的地板刺装
[01771.64-01772.80] 前面备杂了习罪
[01772.80-01775.32] 反正就是滚同习一句安全性不好
[01775.32-01777.00] 于是就造成了什么
[01777.00-01779.36] 就造成了他家的相当的损失
[01779.36-01780.56] 这时候大家知道
[01780.56-01782.80] 摸上广场再去习一肤的时候
[01782.80-01784.40] 用小地压习一接
[01784.40-01786.00] 去习一肤的时候
[01786.00-01788.24] 这个时候滚同就滚出来了
[01788.24-01789.78] 把他家的地抓啥子
[01789.78-01790.62] 全都杂碎了
[01790.62-01792.08] 这个房子可是心装的
[01792.08-01794.12] 当时装房子可花了不少钱
[01794.12-01796.28] 那这种默认廣场就预酷无类
[01796.28-01797.86] 说我这找谁来陪钱
[01797.86-01798.90] 那同于我们来看一下
[01798.90-01800.02] 我们就分一下
[01800.02-01802.96] 默认廣场滚头襲击滚头跑出来之后
[01802.96-01804.72] 他可以找谁来陪伤他
[01804.72-01806.16] 那首先我们来看一下
[01806.16-01808.08] 首先第一个我们要知道
[01808.08-01809.14] 他可以向谁呢
[01809.14-01810.96] 首先在这里咱们分析
[01810.96-01812.08] 他可不可以去找
[01812.08-01813.60] A商场陪伤他呢
[01814.88-01815.60] 同时我们看一下
[01815.60-01817.36] 他可不可以找A商场来陪伤他
[01817.36-01820.36] 当然可以因为它的习近就是在那买的
[01820.36-01822.48] 就是在A上场买的
[01822.48-01827.16] 那它像A上场请求A上场承担它的
[01827.16-01828.36] 我们所说的这个损失
[01828.36-01830.72] 它有集中市油可以主张的
[01830.72-01831.96] 两种市油
[01831.96-01833.36] 全低有市油那首先低个
[01833.36-01835.40] 它在A上场买的这个习近
[01835.40-01838.36] 那它就与A上场有一个什么
[01838.36-01841.72] 有A上场有一个买卖和同在
[01843.72-01845.00] 任务它对A上场
[01845.00-01846.40] 可以商场有个买卖合同
[01846.40-01848.36] 那我都从你这买东西了
[01848.36-01849.72] 你都有买卖合同了
[01849.72-01852.40] 然后你在买卖合同当中
[01852.40-01854.76] 卖给了我一个治量不好的这样一个东西
[01854.76-01856.12] 那这个时候你可以怎么办
[01856.12-01858.04] 你可以请求它承担
[01858.04-01859.08] 维约责任
[01859.08-01860.76] 你卖了什么拉级东西
[01860.76-01861.32] 对不对
[01861.32-01862.92] 你把我家地装过咋会了
[01862.92-01864.84] 那这个时候就可以请求它承担什么
[01864.84-01865.72] 维约责任
[01865.72-01866.84] 这个没有问题吧
[01866.84-01868.28] 那他这个时候大主意
[01868.28-01869.72] 这是存在买卖合同
[01869.72-01872.12] 那他与A商场不仅有买卖合同
[01872.12-01876.46] A商场卖给他的东西有没有侵犯他的财政权呢?
[01876.46-01877.96] 侵犯了,那就意味着
[01877.96-01881.16] A商场卖给他的东西是不是对他造成了侵权?
[01881.16-01884.16] 那如果侵权的话,那就可以承担什么责任
[01884.16-01885.44] 他就可以承担
[01885.44-01886.96] 侵权责任败
[01888.96-01890.60] 那这个时候我们就会发现
[01890.60-01893.24] 对于A商场我们所说的
[01893.80-01895.56] 这个牧荣广场对于A商场
[01895.56-01897.20] 他既可以要求他承担
[01897.20-01899.52] 委员责任,也可以要求他承担,请求责任
[01899.52-01901.32] 那说老师我到底是用于维月子
[01901.32-01902.72] 让还是用于新加责任呢
[01903.12-01903.92] 看情况
[01903.92-01905.32] 这是哪一个对你有力
[01905.32-01906.56] 你就可以是用于哪一个啊
[01906.56-01908.52] 这是他有A商场之间的爱你清楚
[01908.80-01910.64] 但是他如果在这里不找A商场呢
[01910.64-01912.04] 他当时就生气
[01912.04-01913.52] 许算家A商场啥也不是
[01913.68-01915.72] 你旋品的时候你都不知道好好选
[01915.72-01917.52] 你都没有经过相的课事吗
[01917.72-01919.24] 你这个小DR也是
[01919.24-01921.04] 你都什么品牌了
[01921.04-01923.96] 这么多年那个小DR你还给我整上这个样子
[01924.08-01925.72] 于是他就没有去找A商场
[01925.72-01926.72] 他就找谁了
[01926.72-01928.72] 他就找到了小DR生产商
[01929.52-01933.10] 那找到了小滴亚生产商
[01933.10-01935.22] 那他如果找到了小滴亚的话
[01935.22-01936.88] 他让小滴亚给他配上
[01936.88-01938.56] 小滴亚会会给他配上呢
[01938.56-01940.16] 小滴亚也会给他配上
[01940.16-01940.66] 为什么
[01940.66-01943.44] 因为毕竟是小滴亚生产的东西
[01943.44-01945.32] 给他造成了财产搓失
[01945.32-01947.40] 所以他就可以像小滴亚
[01947.40-01948.26] 请求配上
[01948.26-01950.30] 小滴亚和他这些有妹妹合同吗
[01950.30-01951.22] 没有妹妹合同
[01951.22-01953.24] 那就因为这没有债权
[01953.24-01956.56] 但是他的东西对他造成了什么
[01956.56-01961.40] 清全,那这个时候就可以要用小低压公司重担什么责任
[01961.40-01963.36] 重担清全责任
[01966.96-01967.80] 成担性责任
[01967.80-01970.44] 这里我们来看一下它的这个事情情况是什么呢
[01970.44-01971.84] 就是陌荣广场
[01971.84-01973.04] 陌荣广场是谁呀
[01973.04-01974.52] 陌荣广场是消费者嘛
[01974.52-01974.88] 对吧
[01974.88-01976.68] 陌荣广场是它消费者
[01976.68-01977.80] 那消费者呢
[01977.80-01980.40] 它如果在买卖商品当中
[01980.40-01983.04] 我们所说的买卖的这个商品对它进行清全的话
[01983.04-01984.00] 它可以找谁
[01984.00-01986.40] 人第一个他可以找我们所说的销售者
[01986.40-01988.34] 对吧 他是可以找一张场
[01988.34-01989.56] 就可以找销售者
[01989.56-01990.96] 找销售者的话
[01990.96-01992.66] 他可以够销售者什么
[01992.96-01994.68] 侵犯他的债权
[01994.68-01996.74] 可以用外外合同马可以让销售者
[01996.74-01997.84] 承担为约责任
[01997.84-01999.20] 也可以承担亲现责任
[01999.20-02000.44] 只割两个可以怎么样
[02000.44-02000.96] 责义
[02000.96-02003.68] 他们两个属于责任的静核
[02003.92-02004.80] 那这是在这
[02004.80-02006.12] 那他不找商场
[02006.12-02006.96] 他也可以找些
[02006.96-02007.76] 少小滴亚
[02007.76-02008.68] 小滴亚什么者
[02008.68-02009.64] 生产者
[02009.64-02011.44] 那如果找小滴亚生产者的话
[02011.44-02012.36] 没有外外合同
[02012.36-02013.36] 就可以让小滴亚
[02013.36-02015.16] 成三什么责任 清晨责任
[02015.16-02018.64] 这个是我们所说的 陌荣广场买了这个习疑机
[02018.64-02020.00] 然后拿回家自用了
[02020.00-02022.04] 那假设新的陌荣广场买的这个习疑
[02022.04-02024.40] 不是拿回家自给自用的 是给谁呢
[02024.40-02027.68] 假设这个习疑买回家之后是给猪格见国用的
[02027.68-02030.28] 和见国这么多年的朋友了 对不对
[02030.28-02032.84] 而且还从人就见国那是买了1000到化妃
[02032.84-02035.44] 所以也不知道那个化妃最终风险有谁成搭了
[02035.84-02037.68] 但是他要感谢一下见国
[02037.68-02041.28] 于是他就买了这个习疑机送到了猪格见国家
[02041.28-02047.20] 然后这个猪格建国就拿这个习机习一副结果一样的事情发生了
[02047.20-02049.20] 只过这次更严重 咋的呢
[02049.20-02054.00] 猪格建国在用这个习机习一副的时候那个滚土就一下子跑出来了
[02054.00-02057.28] 滚土跑出来的时候不仅把他记得抓给咋了
[02057.28-02061.76] 还把猪格建国给咋了 猪格建国咋成了我们所说的这个重伤
[02061.76-02064.88] 躺在家里都不了了 猪格建国是谁
[02064.88-02067.04] 这件我是M1化飞场的
[02067.60-02071.24] 我们所说的叫总理里
[02071.24-02074.40] CNO那家伙认进的
[02074.40-02077.28] 现在它受伤的话咱们主义的就是主义
[02077.28-02078.20] 你可杂着
[02078.20-02080.08] 对我造成了损失
[02080.08-02081.72] 我争不了前例出的赔赔
[02081.72-02082.48] 就有时候住了
[02082.48-02084.24] 见过如果想要主张
[02084.24-02085.36] 谁赔常
[02085.36-02086.52] 它地抓的损失
[02086.52-02087.96] 以及它受伤的损失的话
[02087.96-02088.96] 它可以找谁
[02088.96-02089.88] 首先第一个
[02089.88-02090.80] 咱们来看一下
[02090.80-02092.32] 这个见过可以向谁
[02092.32-02094.32] 这里面一共就两个主体
[02094.32-02097.28] 一个是A商场一个是小DR生产公司呗
[02097.28-02099.24] 所以他首先可不一找A商场呢
[02099.24-02100.36] 可以找A商场
[02100.36-02102.00] 你就会一商场一样的理由
[02102.00-02103.36] 选平选的是啥呀
[02103.36-02104.84] 你这个时候你都不好
[02104.84-02105.68] 就看一下嘛
[02105.68-02107.24] 你选了这样的一个破片
[02108.24-02109.52] 给我造成了清全
[02109.52-02110.76] 但是问题就在于啊
[02110.76-02111.64] 大家知道
[02111.64-02113.12] 这个首先他找A商场
[02113.12-02116.08] A商场侵犯了他的财政绝合人生全的话
[02116.08-02118.28] 他可以像A商场组张什么责任
[02118.28-02119.04] 侵犯责任
[02119.04-02121.76] 但是他能不能让A商场去主张
[02121.76-02123.28] 相应到伪约责任呢
[02123.28-02124.28] 不能
[02124.28-02125.28] 因为
[02125.28-02127.28] A商场和住个见过之间
[02127.28-02129.28] 有没有买卖合同
[02129.28-02131.28] 没有买卖合同
[02131.28-02132.28] 既然没有买卖合同
[02132.28-02133.28] 就没有办法招求
[02133.28-02134.28] A商场成大理学责任
[02134.28-02136.28] 所以A商场对于住个见过
[02136.28-02137.28] 只能成大什么责任
[02137.28-02139.28] 只能成大清晨责任
[02139.28-02140.28] 那这个住个见过
[02140.28-02142.28] 可不可以找小低压公司
[02142.28-02143.28] 可以
[02143.28-02144.28] 原因
[02144.28-02145.28] 也是样的
[02145.28-02147.28] 小低压作为生产者生产出来的东西
[02147.28-02148.28] 不符合品词的要求
[02148.28-02150.28] 对他人造成清晨到
[02150.28-02151.28] 要成大相的什么责任
[02151.28-02152.28] 要成大相应的
[02152.28-02156.16] 所以在这里面大家注意一样的
[02156.16-02157.76] 只我比上面那个地方少了一下
[02157.76-02159.32] 如果说是A商场
[02159.32-02160.32] A商场是什么者
[02160.32-02162.20] A商场是销售者
[02162.20-02165.32] 销售者在这里面见过
[02165.32-02166.56] 住了见我是不是
[02166.56-02167.72] 买卖和同雙方当时
[02167.72-02169.60] 不是他不是当时不是销费者
[02169.60-02170.36] 他是什么人
[02170.36-02171.40] 他是第三人
[02171.40-02174.32] 如果第三人对第三人造成
[02174.32-02174.60] 竞选到
[02174.60-02175.84] 第三人可以找销费者
[02175.84-02176.96] 要求销费者承担
[02176.96-02177.84] 竞选者人
[02177.84-02179.24] 也可以找到小滴呀
[02179.24-02180.44] 小滴呀是什么者
[02180.44-02182.28] 小DR是生產者
[02182.28-02184.40] 也可以要求生產者重擔什麼責任
[02184.40-02186.24] 重擔清全責任
[02186.24-02187.24] 所以在這裡面
[02187.24-02188.24] 大家一定要注意
[02188.24-02188.88] 這個題
[02188.88-02190.44] 它可不是簡單的
[02190.44-02191.44] 就是我們說
[02192.16-02193.24] 我就是在這裡
[02193.24-02194.20] 簡單的
[02194.20-02196.76] 就把它按照法條就背下來就可以了
[02196.76-02198.24] 其實不是這個樣子的
[02198.24-02199.60] 因為它在考試的時候
[02199.60-02201.16] 我們要判斷分兩步
[02201.16-02202.44] 第一步就是要看
[02202.44-02203.80] 如果是產品清全的話
[02203.80-02205.36] 首先第一個要明確的是
[02205.36-02207.12] 對誰造成的清全
[02207.12-02207.80] 換個顏色
[02207.80-02208.28] 好吧
[02208.28-02209.20] 首先第一步
[02209.20-02239.10] 产品侵犯责任两步走,第一个是对谁造成了侵犯,这是第一步,这是对谁造成了侵犯,第二步明确是对消费者,第三者,第二步的时候就是看,去找谁,第二步看就是去找谁,你要找消责者的话,那就要看一下他和消责者之间有没有合同,与是不是只是单纯的侵犯,
[02239.10-02240.64] 他如果去找生產者的話
[02240.64-02243.20] 然后再看他和生產之間是什麼責任
[02243.20-02243.70] 對吧
[02243.70-02246.28] 那這第二步就是找誰
[02246.28-02247.68] 明確的第二步找誰的時候
[02247.68-02248.32] 第三步幹嘛
[02248.32-02249.84] 第三步就開始定責了
[02253.44-02253.80] 對不對
[02253.80-02256.00] 第三步就是定責了
[02256.00-02257.26] 那在第三步定責的時候
[02257.26-02259.00] 你就嚴著我們所說的
[02259.00-02260.80] 他所給到的這個
[02260.80-02263.34] 我們所說的責任主體一步一步就發燈
[02263.34-02264.18] 考試的時候
[02264.18-02265.82] 他就容易在這個地方給你試試
[02265.82-02266.70] 給你一個案例
[02266.70-02268.80] 然後說誰誰在哪買了一個什麼東西
[02268.80-02270.08] 你无论是买了一个食品
[02270.08-02272.28] 买了一个家文电器还是买了啥的
[02272.28-02273.60] 它如果在这里提到的说
[02273.60-02274.72] 造成它人青蛮的
[02274.72-02277.44] 这个时候你就要不能过去明确了
[02278.24-02280.08] 按照这三部总 先明确早使
[02280.08-02282.52] 先明确对谁 第二个早使
[02282.52-02283.72] 第三个定责
[02283.72-02285.12] 因为在对谁当中
[02285.12-02287.48] 就确定了你最后再去定责规则的时候
[02287.48-02288.96] 它能不能承担什么责任
[02288.96-02289.72] 维约责任
