[00000.00-00002.82] 我们刚刚讲了刑法该数
[01197.10-01199.14] 那梦油我们经常就看到说
[01199.14-01199.94] 它梦油了
[01199.94-01200.78] 梦油了之后
[01200.78-01201.78] 说什么
[01201.78-01202.78] 它昨天晚上
[01202.78-01204.30] 它去到那个瓜田里
[01204.30-01205.34] 大家就看过这个
[01205.34-01205.74] 对吧
[01205.74-01207.94] 说那个它就说那个瓜田
[01207.94-01210.14] 它早上起来给那个素蛇的兄弟们就说
[01210.14-01211.42] 说兄弟们有多少做梦了
[01211.42-01213.02] 说还用了钱的楼好了
[01213.02-01213.30] 对不对
[01213.30-01214.74] 梦见一大片瓜田
[01214.74-01216.62] 然后就想吃那个西瓜
[01216.62-01218.02] 然后它就爱个派
[01218.02-01219.82] 派它这个说没手
[01219.82-01222.64] 拍拍那个说没手拍拍那个之后又说什么
[01222.64-01225.52] 又没手所以他说哎呀我正于晚上手里有挂填
[01225.52-01227.76] 但是啥也没吃进去有点遗憾
[01227.76-01230.84] 我当时我就想要是有一个手的我都要切瓜了
[01230.84-01233.26] 那当时兄弟们都下死了大家都知道头
[01233.26-01234.92] 没有的毛病大家就跟他说说
[01234.92-01237.56] 做完身哪是切瓜呀那是要切我呢对吧
[01237.56-01238.76] 哪都在苏涉理
[01238.76-01241.18] 爱个拍脑袋看看哪个挂是手了
[01241.18-01242.46] 那同时们来看一下
[01242.46-01244.90] 如果在这种情况之下我们来看一下
[01244.90-01247.58] 他算算你种危害行为呢
[01247.58-01249.22] 你说老师他还不算危害啊
[01249.22-01250.26] 说我都会吓死了
[01250.26-01252.02] 他在他拿着到在素社里
[01252.02-01253.62] 爱个拍划拍舞脑袋
[01253.62-01254.70] 这好像是哪个手了
[01254.70-01256.42] 那我当天可就是开了调了
[01256.42-01257.62] 那同时来看一下
[01257.62-01258.82] 在这种情况之下
[01258.82-01259.78] 这个人的行为
[01259.78-01260.74] 算不上被还行为
[01261.70-01262.42] 算不算
[01262.90-01263.54] 不算
[01263.54-01264.42] 为什么不算
[01264.42-01265.46] 因为我们刚才说了
[01265.46-01266.26] 没还行为
[01266.26-01268.34] 他一定是有意义性
[01268.34-01270.34] 他是你意识支配的结果
[01270.34-01272.46] 如果你是有无意识的动作
[01272.46-01272.78] 对吧
[01272.78-01274.58] 或者是你是外力强制
[01274.58-01275.58] 或者在不可抗力
[01275.58-01277.30] 情况之下所做出来的动作
[01277.30-01278.74] 他都不算做什么
[01278.74-01279.62] 危害行为
[01279.62-01282.70] 所以在这里判论他是不是被害行为第二个就必须他了
[01282.70-01283.94] 要具备一定了什么
[01283.94-01284.82] 有意义性
[01284.82-01286.10] 梦有指定不算的
[01286.10-01288.14] 或者是你被支配的无意识的动作
[01288.14-01289.26] 什么叫无意识的动作
[01289.26-01291.50] 大家往上还能看到这样的一个视频
[01291.50-01292.42] 那种视频呢
[01292.42-01293.42] 早多少年前了
[01293.42-01295.90] 我就给带领大家鼓走考古一下
[01295.90-01297.22] 比如说我们经常会看到
[01297.22-01299.34] 说大家看很多短视频说那个
[01299.34-01300.14] 或者小便
[01300.14-01302.38] 所以有那种西套反身会西套反样
[01302.38-01303.82] 所以一个人他就看病
[01303.82-01304.86] 然后看病的时候他说
[01304.86-01305.46] 他说要戴服
[01305.46-01306.38] 这现在亏森呢
[01306.38-01307.54] 那人不得一些人
[01307.54-01308.82] 那那这儿都不得就是怎么样
[01308.82-01310.10] 他说你看我这个补冷干而已
[01310.10-01310.62] 也不行了
[01310.62-01311.78] 这个腿也不行了
[01311.78-01312.34] 对吧
[01312.34-01313.02] 然后跟说
[01313.02-01314.26] 你看我就腿砸的了
[01314.26-01316.34] 然后那个袋服就拿那个小传一丘
[01316.34-01317.06] 一丘之后呢
[01317.06-01318.50] 他这个腿半天没有反应
[01318.50-01320.02] 过了大概能有个三五秒钟
[01320.02-01321.62] 帮那一项那个腿一下谈起来
[01321.62-01323.06] 给那个医生脆老院
[01323.06-01326.06] 假设现在给这个医生脆成了重伤
[01326.06-01327.38] 能不能够这个人
[01327.38-01329.26] 他属于故意伤害罪
[01329.46-01330.58] 不能缘什么
[01330.58-01332.34] 原住在于他这个西条反应
[01332.34-01333.46] 是无意识的
[01333.46-01335.94] 他竟然是无意识来自于人身体的本能的话
[01335.94-01337.14] 他就不算做什么
[01337.54-01339.78] 联内汉行为都不算
[01339.78-01341.38] 他怎么可能购成犯罪呢
[01341.38-01342.98] 所以在这里大家注意一下
[01342.98-01344.90] 未来行为当中在这个地方
[01344.90-01346.18] 他第二个特征就要做
[01346.18-01348.18] 叫做他一定要具有一定的什么效
[01348.18-01349.06] 有意义性
[01349.06-01350.90] 第三一个就是实施什么
[01350.90-01353.22] 叫实施的威害社会的动静
[01353.22-01353.86] 在这里面
[01353.86-01356.26] 第三个点就是他必须威害到了社会
[01356.26-01358.74] 也要求威害行为他一定要具有什么
[01358.74-01360.42] 他要具有有开性
[01364.42-01366.74] 威害行为他要具有一定的有开性
[01366.74-01369.44] 他至少具備侵害法醫的這種可能
[01369.44-01370.86] 所以在這裡面大家注意一下
[01370.86-01374.78] 這是我們判斷危害行為到三個標準
[01374.78-01378.04] 或者說我們所說的判斷危害行為他的三個特徵
[01378.04-01379.32] 如果是這有什麼用
[01379.32-01380.24] 大家一定要注意
[01380.24-01382.24] 如果他都不算做危害行為
[01382.24-01384.60] 那他在我們所說的行法上
[01384.60-01385.64] 都沒有危害行為
[01385.64-01387.90] 就不可能構成犯罪
[01387.90-01389.30] 所以他也是我們判斷
[01389.30-01391.20] 他是否構成犯罪的一個
[01391.20-01392.14] 很量標準
[01392.14-01392.94] 在做體的時候
[01392.94-01396.04] 這個地方很容易考察一個理解行為題目
[01396.04-01398.60] 所以在这儿同时给他标注出来
[01398.60-01400.52] 这个地方需要大家去理解
[01400.52-01401.52] 需要大家去理解
[01401.52-01403.16] 他帮助我们在后面去变形
[01403.16-01404.80] 是不是犯阶行为考案例的时候
[01404.80-01406.28] 有很大的帮助作用
[01406.28-01407.96] 只是第一个叫做卑害行为
[01407.96-01409.08] 所以你看到后面说了
[01409.08-01410.16] 说无卑害行为
[01410.16-01411.36] 都不能过程犯罪
[01411.36-01412.76] 所以思想无罪
[01412.76-01414.16] 还有梦有的这些
[01414.16-01416.48] 或者说他不是社会卑害行为的
[01416.48-01417.88] 反而对于社会有意的
[01417.88-01419.24] 这种情况之下就不算做
[01419.24-01421.12] 我们所说的卑害行为
[01421.12-01422.96] 所以卑害行为的本质是什么呢
[01422.96-01425.00] 就是根据他这三个特征来看
[01425.00-01426.80] 我在这儿给他抽象出来
[01426.80-01428.20] 为何行为都本质
[01428.20-01429.28] 他其实就是什么
[01429.28-01431.00] 就是看他对反应
[01431.00-01432.92] 是否创设了
[01432.92-01435.40] 是否创设了法律所不允许的危险
[01435.40-01436.60] 如果对法律
[01436.60-01439.40] 增加了或创设了法律所不允许的危险的话
[01439.40-01440.40] 他就属于
[01440.40-01441.20] 为何行为
[01441.20-01444.00] 所以在这个地方打住一看
[01444.00-01444.48] 住一看
[01444.48-01446.80] 这个老师就要小帅
[01446.80-01448.20] 所以在这里打给的标注意下
[01448.20-01448.64] 就是
[01448.64-01451.20] 内还行为的本质是增加了
[01451.20-01452.60] 或者是创设了
[01455.00-01460.40] 法律所不允許的危險
[01466.80-01468.20] 在這裡大家注意一下
[01468.20-01468.92] 就是
[01468.92-01470.56] 危害行為的本質
[01470.56-01472.68] 因為無行為則無什麼
[01472.68-01475.48] 無行為則無犯罪
[01475.48-01477.04] 所以你想要看
[01477.04-01478.20] 他構成犯罪的第一步
[01478.20-01479.84] 就看他是不是危害行為
[01479.84-01481.12] 而危害行為在這個地方
[01481.12-01482.92] 經常就會考慮一些行為體積
[01482.92-01484.32] 所以來看一下
[01484.32-01486.28] 除了根据它的特徵来判断
[01486.28-01488.00] 第二就是根据它的本質来判断
[01488.00-01491.76] 就是看它是否创施了法御所不原袭的危险
[01491.76-01494.04] 是否创施了法律所不原袭的危险
[01494.04-01498.40] 如果它对于这个法意增加了法律所不原袭的危险的话
[01498.40-01499.64] 它就属于危害性味
[01499.64-01501.04] 就有可能过程犯罪
[01501.04-01502.48] 举个简单的例子来说
[01502.48-01504.04] 我们经常会看到
[01504.04-01508.20] 在新闻上 总说有小偷了
[01508.20-01509.24] 有小偷之后
[01509.24-01511.20] 然后这个时候大海之后
[01511.20-01512.08] 快抓一条偷了
[01512.08-01515.00] 然后所有的这种大家的这种正意感的这些勇士
[01515.00-01516.44] 是不是就开始追加小头
[01516.44-01519.28] 那如果说大家在追感小头的过程当中
[01519.28-01521.08] 小脱威了摆脱追感
[01521.08-01522.92] 因为大家的呼呼拉拉的都去追他
[01522.92-01525.96] 他一个人在前面把后面跟了十几二十几个人会吓死了
[01525.96-01528.04] 那这个是小脱威了摆脱追感
[01528.04-01530.76] 然后如果他换不折露
[01530.76-01532.84] 从那个桥上一下挑进去了
[01532.84-01534.40] 挑那个挑到那个桥下
[01534.40-01535.72] 然后挑入水中颜色了
[01535.72-01537.16] 那这种手追感他的人
[01537.16-01539.72] 能不能算做杀人罪呢
[01539.72-01548.88] 偷偷看一下,指定不算,因为在这里面你看,我抓小偷我追干小偷追干行为,他是不是我们所说的危害行为
[01548.88-01554.64] 没有啊,因为追干行为在生活当中,就是随初可见的,我们总能看到追干行为
[01554.64-01560.56] 追干行为,本身没有创施,我把这个此一掉给大家划出来
[01560.56-01568.68] 追干行为本身没有创施法律所必须的危险,你不可能说不让追干,在这上生活当总会出现追我感情况,对吧
[01568.68-01572.78] 追感行为本身他没有创设法律所必须的危险
[01572.78-01575.08] 追感行为本身是不是被害羞委
[01575.08-01578.14] 不是那既然不是被害羞委能不能够成犯罪
[01578.14-01581.74] 不能所以无行为者无犯罪
[01581.74-01583.78] 所以判断他是不是被害羞委
[01583.78-01585.32] 你就从这么几个方面来
[01585.32-01586.60] 第一个看他的特征
[01586.60-01588.38] 首先看一下他是不是思想
[01588.38-01591.46] 如果是思想的话那么OK思想无罪
[01591.46-01594.28] 第二个看他是不是自己个人一直所之配的
[01594.28-01597.88] 如果是自己一直之配不了的什么梦有
[01597.88-01600.12] 我们所说的不可抗力之下
[01600.12-01601.72] 对吧无意义时的这些活动
[01601.72-01603.36] 他也不算无怀为行为
[01603.36-01604.24] 就无罪
[01604.24-01606.84] 如果在这里创设法律所不允许的危险
[01606.84-01607.56] 说老师
[01607.56-01608.36] 他来体肝当中
[01608.36-01610.00] 既没有体现他是不是思想
[01610.00-01611.56] 也没有体现他是不是有意义
[01611.56-01613.68] 他就只给了谁做了一件什么事
[01613.68-01614.80] 只给了行为
[01614.80-01615.92] 这个时候就看
[01615.92-01616.84] 他这个行为
[01616.84-01620.08] 有没有创设法律所不允许的危险
[01620.08-01623.04] 如果创设法律所不允许的危险的话
[01623.04-01624.16] 这个时候
[01624.68-01625.32] 大家注意一下
[01625.32-01626.48] 他就属于危险的行为
[01626.48-01628.84] 就可能够成反罪明白了吧
[01628.84-01631.00] 所以在这里面大家要明确
[01631.00-01632.08] 什么事为下行为
[01632.08-01633.84] 这个点非常重要
[01633.84-01634.44] 非常重要
[01634.44-01636.16] 经常出现咱按理当中问
[01636.16-01637.60] 它是否够成反罪
[01637.60-01639.20] 那你比如说我们在日常
[01639.20-01641.12] 大家开车的时候也总能看到
[01641.12-01642.64] 你在正常开车的时候
[01642.64-01644.64] 突然有人怎么样闯红灯
[01644.64-01645.76] 突然有人闯红灯
[01645.76-01648.00] 你就可能它闯红灯你
[01648.00-01649.04] 有点什么
[01649.04-01650.16] 有点怎么说
[01650.16-01651.20] 你知是触不及防的
[01651.20-01652.24] 对不对咱们就这么说
[01652.24-01654.64] 就是你根本都没有预测到它会闯红灯
[01654.64-01657.78] 那这种情况之下不信把这个人给怎么样挂套了一下
[01657.78-01658.60] 他受伤了
[01658.60-01661.60] 那能不能定你我们所说的这种什么故意伤害罪啊
[01661.60-01664.08] 或者是就要通方面的这种犯罪
[01664.08-01664.88] 只能不能
[01664.88-01667.58] 因为在这个地方你正常驾驶行为
[01667.58-01668.92] 他就不是危害行为
[01668.92-01672.04] 你正常驾驶没有增设法律所不允许的危险
[01672.04-01673.84] 如果你超速你传统的
[01673.84-01675.12] 那这有时候就要增设危险
[01675.12-01676.20] 你这时候没有啊
[01676.20-01677.84] 你竟然没有增设危险的话
[01677.84-01678.72] 那这种情况之下
[01678.72-01681.00] 你的行为就不算做危害行为
[01681.00-01682.32] 就不能定做犯罪
[01682.32-01683.96] 有很多同学在这个地方就说
[01683.96-01686.76] 说啊老师 那他不放罪我就放过他了
[01686.76-01690.52] 同时们不犯罪只是不室用于形法
[01690.52-01692.60] 而不是说不是用于其他法律
[01692.60-01695.32] 他不犯罪但不意味着他不为法
[01695.32-01696.04] 明白吧
[01696.04-01697.00] 因为我们前面说了
[01697.00-01699.16] 为法和犯罪是两个概念
[01699.16-01702.36] 我们说了犯罪他是最典利的一种惩罚方式
[01702.36-01704.60] 他不犯罪但是他是可能为法的
[01704.60-01705.64] 明白这个意思吧
[01705.64-01707.40] 所以在这里面 大家要注意一下
[01707.40-01709.72] 那你看那如果你正常行使的时候
[01709.72-01711.32] 然后有人闯空当不信
[01711.32-01712.44] 就造成了中商
[01712.44-01714.42] 那这时候就要去定了泽了吧
[01714.42-01716.76] 那你这时候你就使用形状法就可以了
[01716.76-01718.16] 它不是不为法
[01718.16-01720.16] 它只是不犯罪犯罪
[01720.16-01723.24] 我们所说的形犯是最眼力的一种
[01723.24-01724.36] 使用方式了
[01724.36-01726.32] 所以在这里面你一定要把他去看看
[01726.32-01727.56] 他们就是会有一种
[01727.56-01728.56] 这种顾有的状况
[01728.56-01730.00] 可能会阻挨你坐铁
[01730.00-01732.16] 所以你再去选项的时候呢
[01732.16-01733.80] 就会出于你
[01733.80-01735.16] 暴棚的正义感去
[01735.16-01737.16] 大家一定要注意一下犯罪犯罪
[01737.16-01738.80] 它是有明确的构成要家的
[01738.80-01740.48] 只有符合这些构成要家
[01740.48-01741.88] 它才能称入也犯罪
[01741.88-01743.52] 而不是贫文的正以来
[01743.52-01746.48] 因为犯罪一旦入了刑法了
[01746.48-01749.36] 这时候我们说了简单一点是管制
[01749.36-01751.60] 如果是我们所说的严重一点
[01751.60-01753.60] 对于他的刑法那都不多它的生命了
[01753.60-01756.36] 所以一定要怎么样有明确的明文规定
[01756.36-01758.24] 但它不犯罪不意味着它不为法
[01758.24-01760.32] 那就其中别的法律来为全就行了
[01760.32-01762.32] 所以在这里大家一定要注意一下
[01762.32-01765.56] 这是我们所说的第一个叫做危害行为
[01765.56-01766.32] 它的含意
[01766.32-01767.16] 所以大家要明确
[01767.16-01769.64] 这个地方考理一些行为题目非常重要
[01769.64-01771.92] 那第二个就是在这里我们要来看一下
[01771.92-01775.00] 那微汉行为它的表现形是有很多种
[01775.00-01777.40] 那具体表现在两种上
[01777.40-01779.56] 第一种就是我们所说的叫做作为
[01779.56-01781.16] 比如说你去做了一件事
[01781.16-01782.84] 侵犯了反应共产的犯罪
[01782.84-01785.44] 我去杀人那我杀人的话
[01785.96-01788.60] 我就激激到这一球杀人结果的发生
[01788.60-01790.36] 那这种情况之下最终做什么
[01790.36-01791.64] 就叫做作为
[01791.64-01793.68] 那我们重点考试考的不是作为
[01793.68-01795.12] 重点考试考的是什么呢
[01795.12-01797.20] 考的是不作为犯罪
[01797.20-01798.44] 考的是不作为犯罪
[01798.44-01801.44] 什么叫不作为咱们来看一下不作为的喊一
[01801.44-01804.04] 它说不作为是消极的行为
[01804.04-01808.44] 是指行为人能够旅行自己拥禁一物的情况之下
[01808.44-01809.44] 而不旅行
[01809.44-01811.24] 这个时候就是不作为
[01811.24-01814.04] 而不作为的话他可能够成不作为犯罪
[01814.04-01815.44] 咱们先来一步一步犯罪
[01815.44-01817.24] 首先第一个什么叫不作为
[01817.24-01819.44] 做做能够旅行自己的犯罪
[01819.44-01821.24] 能够旅行自己拥禁的一物
[01821.24-01822.84] 但是怎么样不旅行
[01822.84-01825.24] 也就是说你拥做而不做
[01825.24-01827.24] 这种情况就是要造成实害结果
[01827.24-01829.24] 就可能够成不作为反对
[01829.24-01831.24] 所以这个点考一个理解型的题目
[01831.24-01832.24] 大家标注在旁边
[01832.24-01835.24] 那个点是不作为犯罪这个点
[01836.24-01839.24] 就是他到底是不是不作为的犯罪
[01839.24-01840.24] 你就要去判断
[01840.24-01841.24] 他自己的判断标准
[01841.24-01843.24] 叫做腌围
[01844.24-01845.24] 腌围
[01846.24-01847.24] 然后怎么样
[01847.24-01848.24] 不为
[01849.24-01851.24] 导致结果发生
[01851.24-01859.24] 这个时候你就够成了什么 浮作为了犯罪 浮作为一个犯罪
[01859.24-01861.74] 什么叫做英为能为不为呢 就是他所说的
[01861.74-01865.24] 你本来应该旅行这个异物 对吧 这是你的责任
[01865.24-01868.24] 就要因为你能够 也有能力去做 但是你干嘛
[01868.24-01872.24] 你偏偏就是浮作呢 那这时候你就可能够成浮作为的犯罪
[01872.24-01875.74] 那这种情况之下 你的这种应该旅行的异物
[01875.74-01878.24] 一物来源有哪些呢 同样把这个点点标注一下
[01878.24-01880.68] 他可能是这个能为的一物来源
[01880.68-01881.44] 我给他放在这
[01881.44-01881.92] 好吧
[01881.92-01884.88] 他可能是一个医生级的实际性的点
[01884.88-01886.88] 你的能为的一物来自于
[01886.88-01888.44] 第一个法律的眉文规定
[01888.44-01889.48] 可能是法律规定
[01889.48-01891.44] 你想有这样的一个意误
[01891.44-01892.32] 你必须去做
[01892.32-01894.00] 什么叫做法律眉文规定
[01894.00-01894.96] 比如说妈妈
[01894.96-01896.68] 如果把宝宝剩下来之后
[01896.68-01897.96] 它是不是就有
[01897.96-01899.80] 不如这个小宝宝的这个意误
[01899.80-01901.20] 就是你带给孩子为奶
[01901.20-01903.40] 这个是什么法律眉文规定的
[01903.40-01905.44] 父母对于孩子的这种服养一物
[01905.44-01907.12] 这是出自于法律眉文规定的
[01907.12-01909.12] 但是如果你有微宝的意误
[01909.12-01909.92] 但是你不去微
[01909.92-01910.52] 你就恶
[01910.52-01911.20] 你就硬恶
[01911.20-01912.68] 这个小孩
[01912.68-01913.92] 对不会不会喜欢
[01913.92-01914.20] 对吧
[01914.20-01915.16] 我不喜欢孩子的
[01915.16-01916.52] 那你被杀发的生意来的
[01916.52-01917.76] 那你不喜欢这个宝宝
[01917.76-01918.32] 那你说
[01918.32-01919.40] 我又不能恰死他
[01919.40-01920.20] 那就说怎么办
[01920.20-01922.04] 你说我恶死他总行办
[01922.04-01922.68] 不好意思
[01922.68-01923.40] 你恶死他
[01923.40-01924.28] 你也够成了什么
[01924.28-01925.64] 不作为的杀人罪
[01925.64-01926.76] 因为在这里什么
[01926.76-01928.36] 你是阴当作这件事
[01928.36-01929.36] 这是阴为
[01929.36-01931.28] 而且你也有旅行意误
[01931.28-01932.20] 但是你不做
[01932.20-01933.72] 导致最后的怎么样
[01933.72-01934.56] 结果发生
[01934.56-01936.68] 这个结果就等同于杀人的结果
[01936.68-01943.38] 那这种情况之下,你看因为能为不为,那这里面到这结果发生,你是不是不作为的故意杀人罪?
[01943.38-01947.18] 对吧,所以在这里面大家注意下,这是第一个,就要法律名文规定的
[01947.18-01958.38] 第二个就是,如果你有职务会用上的要求这样的一个意误的话,那你也应该去做,如果不做到这结果发生,那么不好意思,你也够成相用的不作为的反对
[01958.38-01961.26] 比如说,一生对护士的行为有相用的什么?
[01961.26-01964.08] 減渡一物 这数来自你职业上的要求
[01964.08-01967.40] 比如说这个户士给这个病人注射什么针记
[01967.66-01970.98] 打多少针 然后挂几个掉水 要量是多少
[01971.24-01976.36] 这时候都是根据医生所开举的相应的要方来给他減注车吧
[01976.36-01981.48] 这时候医生就对这个户士有什么減渡一物 他的用要用量用要的生活政策性
[01981.74-01985.32] 如果他没有減渡到位 会没有我们所说的都速到位的话
[01985.32-01988.14] 而是放任这个户士来 比如说这个医生
[01988.90-01989.92] 给这个病人
[01989.92-01992.72] 给这个病人开了一个干净
[01992.72-01993.88] 就开了一个方子
[01993.88-01995.40] 这是终于一种方子
[01995.40-01996.48] 就开了开了药
[01996.48-01997.16] 刚刚是一个户史说
[01997.16-01998.04] 你去给他打吧
[01998.04-01999.04] 然后户说行
[01999.04-02000.24] 然后户史去那个病房
[02000.24-02001.16] 高给打着一看
[02001.16-02001.52] 我的天啊
[02001.52-02002.32] 床堂是谁呢
[02002.32-02003.00] 是他的钱呢
[02003.00-02003.36] 有
[02003.36-02004.12] 他对他的钱呢
[02004.12-02005.60] 有可以说是恨之入股吧
[02005.60-02006.80] 这没见过这种沾南
[02006.80-02008.12] 后来他转头都是回去了
[02008.12-02008.88] 又跟那个医生说
[02008.88-02009.44] 说不好意思啊
[02009.44-02010.08] 说医生说
[02010.08-02011.80] 说我刚才忘了拿什么要了
[02011.80-02012.72] 说我现在呢
[02012.72-02014.20] 从先去对一下
[02014.20-02015.36] 然后那个医生就眼
[02015.36-02017.12] 看着他往这个药里面
[02017.12-02018.96] 去注射了过量的
[02018.96-02020.88] 他所给开了比如说
[02020.88-02022.76] 链定了指痛的这个要品
[02022.76-02023.68] 注射过量了
[02023.68-02025.48] 然后最后给病人去挂水了
[02025.48-02027.16] 然后病人最后就死掉了
[02027.16-02030.84] 那这时候你医生眼看着他在忙理注射你不给他交条
[02030.84-02033.00] 你是不是有监督意误
[02033.00-02034.08] 但是你有没有去做
[02034.08-02036.20] 你有直目上的监督有但明去做
[02036.20-02037.44] 因为能为不为
[02037.44-02038.76] 最后导致时还结果发生
[02038.76-02039.84] 前面都被独死了
[02039.84-02041.32] 那这种情况这下怎么办
[02041.32-02042.76] 那他也属于什么
[02042.76-02044.12] 不做为的杀人
[02044.12-02044.80] 你卖了吧
[02044.80-02046.04] 所以在这里的要明确
[02046.04-02048.32] 这是第二个他的直目上的要求
[02048.32-02052.32] 第三個就是基於法律行為重擔的有
[02052.32-02056.58] 這個就是來自於什麼來自於我們所說的行為人的反律地位
[02056.58-02060.02] 這個時候最為常見的去你把欺負回家
[02066.22-02069.22] 我現在旁邊把欺負回家之後
[02069.22-02071.98] 這時候就對欺負有
[02071.98-02100.98] 如果你把轻松爆回家之后,你没管他,最后这个小孩有饿死了,那你就会有不做了一个杀人,你说老实呀,那我这多元,我本来想做好事,结果发现我们有经济能力,然后我就是故意给他放在这儿,反正这个孩子我剪了,也没有人能够发现,然后最后导致就小孩死掉了,导致为还结果的发生,那这个时候你要不要承担责任,大主意,这种情况之下,你也要承担相应的责任,原因其实很简单。
[02100.98-02103.02] 如果这个欺验是在马路上
[02103.02-02104.38] 你没有相应的这种意误
[02104.38-02106.18] 但是你把这个欺验报回家了
[02106.18-02109.02] 那这个时候你对这个欺验来说什么
[02109.02-02111.06] 你就是他生命当中唯一的光
[02111.06-02112.22] 所以在正情话之下
[02112.22-02114.78] 你对欺验来说你是生命当中唯一的光
[02114.78-02115.90] 你给他报回家了
[02115.90-02118.74] 那你就有相应照顾他的责任
[02118.74-02120.70] 如果你把欺验报回家之后
[02120.70-02121.90] 然后没有好好负弹
[02121.90-02122.78] 他最后导致这小孩
[02122.78-02124.14] 该为不为饿色
[02124.14-02124.98] 不好意思
[02124.98-02126.06] 因为能委
[02126.06-02127.66] 你的能委的意误来罪什么
[02127.66-02130.30] 来自于法律行为所承担的意误
[02130.30-02131.94] 你暴回家就有相的会让你误
[02131.94-02132.86] 但是你不做
[02132.86-02133.98] 导致青热死
[02133.98-02135.26] 危害结果花生
[02135.26-02136.66] 那么不好意思
[02136.66-02138.22] 花生发生
[02138.22-02139.26] 危害结果发生
[02139.26-02140.86] 那么在这里面大家一定要注意
[02140.86-02143.22] 这个就是我们所说的什么
[02143.22-02144.22] 不作为的闪人了
[02144.22-02146.30] 这是我们所说的叫做法律行为
[02146.30-02148.22] 最后一个就是先行行为
[02148.22-02151.38] 先行为就是你先前行为
[02151.38-02152.70] 导致危险发生
[02152.70-02154.62] 那就防止它阻止的
[02154.62-02155.02] 以无
[02155.02-02157.22] 那如果这时候没有防止
[02157.22-02158.86] 而是任期发展
[02158.86-02160.22] 造成危害结果的话
[02160.22-02161.50] 你要承擔相擔责人
[02161.76-02163.04] 举个简单的例子
[02163.04-02165.60] 比如说有很多人有这个抽煙的这个习惯
[02165.84-02166.88] 什么抽煙的习惯呢
[02167.12-02168.66] 这是那个煙抽完了之后
[02168.92-02171.22] 他就不会把那个煙牙灭在热到来同理
[02171.48-02174.04] 或者是把那个煙弄灭之后再给它热掉
[02174.30-02175.84] 他就是习惯走路干嘛呢
[02176.10-02177.12] 走一路点一路
[02177.38-02178.38] 一路抽一路点
[02178.66-02179.94] 就随手就是这个煙头
[02180.18-02181.20] 这会造成很多的活在
[02181.46-02181.98] 搭住一下
[02182.24-02183.52] 随手扔煙头
[02183.76-02185.06] 这是你先秦的行为
[02185.32-02187.10] 你扔煙头的这个先行行为
[02187.36-02188.12] 或者是要先秦行为
[02188.38-02190.18] 如果不小心又发活在的
[02190.22-02191.50] 你这又说穿眼
[02191.50-02193.62] 然后你呢随手印则左右点一路吧
[02193.62-02195.26] 然后你就把他认到拉一头脸
[02195.26-02196.10] 然后你看的
[02196.10-02198.14] 热血腥的一刻你发生有获苗
[02198.14-02199.58] 你看到获苗了你就得还
[02199.58-02200.66] 获苗不用管他
[02200.66-02202.66] 结果你没走过几个拉一头找起来了
[02202.66-02203.42] 然后你说
[02203.42-02204.82] 找拉一头而已你不管
[02204.82-02205.42] 大家注意啊
[02205.42-02206.22] 这种情况之下
[02206.22-02207.38] 你这种间头的行为
[02207.38-02208.26] 所以也发的活在
[02208.26-02209.94] 这种间头是不是先行行为
[02209.94-02210.98] 你的先行行为
[02210.98-02211.98] 所以也发的一无是你
[02211.98-02212.86] 就有什么意误
[02212.86-02213.90] 灭火意误
[02213.90-02215.06] 如果这种情况之下
[02215.06-02216.14] 火是蔓延了
[02216.78-02218.26] 这有时候烧的科大多时
[02218.26-02218.58] 对吧
[02218.58-02220.58] 引起了这种比较大种火灾能不好一損
[02220.58-02223.90] 在形亡上你就够成了不作为的犯罪
[02223.90-02224.66] 明白了吧
[02224.66-02226.30] 所以在这里面打就要明确
[02226.30-02229.34] 所以首先判断它是不是不作为的犯罪
[02229.34-02232.54] 在这个地方就有一个模型大就判断
[02232.54-02235.98] 因为能为不为导致结果发生
[02235.98-02238.94] 那这种情况之下就够成不作为的犯罪
[02238.94-02240.54] 那这里面的核心点就在于
[02240.54-02242.78] 你能为的这个一物来源是什么呢
[02242.78-02244.02] 能为的这个一物来源
[02244.02-02245.62] 要不是法律人规定的
[02245.62-02247.82] 比如说母亲对一二的不如
[02247.82-02249.96] 或者是交警对于事故受害人
[02249.96-02250.76] 他就如意误
[02250.76-02252.08] 如果交警看到交通事故
[02252.08-02253.08] 看到那个人烟一吸了
[02253.08-02254.54] 这样说不管了
[02254.54-02255.18] 转身走了
[02255.18-02255.78] 不好意思
[02255.78-02256.98] 不作为的杀人
[02256.98-02258.08] 这有时候
[02258.08-02261.38] 植物上的要求法律行为所成员的
[02261.38-02262.98] 一无一极先行行为所引发的
[02262.98-02264.86] 这个都是你能为的来源
[02264.86-02267.22] 那你能为不为导致就我发生
[02267.22-02269.46] 就购成不作为的犯罪
[02269.46-02271.70] 那这个就是我们所说的所谓的
[02271.70-02274.18] 客官方面的第一个叫做危害行为
[02274.18-02275.34] 我们说了
[02275.82-02277.02] 整个行法
[02277.02-02279.22] 他主要是犯罪
[02279.22-02280.18] 什么是犯罪呢
[02280.18-02283.18] 我们刚才提到叫亲害法抑的行为
[02283.18-02285.78] 所以法抑是法律所保护的最核心的
[02285.78-02287.74] 蒙法他叫做犯罪客体
[02287.74-02290.14] 那亲害法抑你一定要有一个亲害行为
[02290.14-02291.14] 这个亲害行为
