[00000.00-00003.80] 我们来看一下第一节当中的最后一个直播点
[01211.24-01214.28] 那我家都抵他的第二个我们所说的不定想在什么呢
[01214.28-01217.12] 同们想啊本身攻击的数量
[01217.12-01219.16] 就是两世的产量收拾变多了
[01219.16-01221.12] 两世产量本来就变多了
[01221.12-01223.44] 我本来就吃不了那么多的凉世
[01223.44-01225.72] 就是从整个市场的消费序出来看
[01225.72-01227.96] 他本身就吃不了那么多的凉世
[01227.96-01230.12] 在家上你现在定了这个价格
[01230.12-01232.76] 在消费者心中来说偏高了
[01232.76-01235.12] 那导致原本这些多于的凉世怎么样
[01235.12-01236.40] 就更卖不出去了
[01236.40-01238.44] 如果更卖不出去了话会怎么办
[01238.44-01240.44] 凉世就会越对结越多
[01240.44-01243.44] 那这时候可能就会出现产品盛余的情况
[01245.44-01246.84] 那产品盛余怎么办呢
[01246.84-01248.80] 那国家就不能做事不理
[01248.80-01250.68] 于是国家会出手
[01250.68-01253.64] 所以国家会进行两世的回收
[01254.36-01255.52] 我只以两世为例
[01255.52-01256.92] 当然也包括其他商品
[01256.92-01258.68] 可能是对这些产品进行回收
[01258.68-01260.16] 而国家一旦回收的话
[01260.16-01262.72] 国家能从農民手里白拿嘛
[01262.72-01264.88] 不能所以这时候财政之处
[01264.88-01265.88] 是会变多的
[01267.28-01268.80] 从共同上财政副单呢
[01268.80-01269.96] 一会变大
[01269.96-01271.76] 这个就是我们所说的
[01271.76-01274.84] 最低显甲他可能带来到不利的影响
[01274.84-01276.44] 但我们都说了任何政策
[01276.44-01278.60] 有疑慮他就有疑弊
[01278.60-01280.88] 所以最低显甲和最高显甲
[01280.88-01282.00] 他们在考察的时候
[01282.00-01283.08] 我一拉说
[01283.08-01284.24] Charlie Church Church
[01284.24-01285.56] 包括我们刚才所说的
[01285.56-01287.32] 最高显甲里面的123
[01287.32-01288.24] 这三个点
[01288.24-01290.76] 他本质商都是我们所说的啥呢
[01290.76-01291.60] 这三个点
[01291.60-01294.48] 在本质商都是考察综合性的体目
[01294.48-01297.60] 就是有一点类似于判断体或变息体
[01297.60-01300.80] 就是以下关于最低限量和最高限量说法正确的是
[01300.80-01303.20] 而到了我们所说的这个圈刺这个点
[01303.20-01307.32] 就是最低限量和最高限量可能带来的不利影响这个地方
[01307.32-01310.40] 包括前面这个大助一下考过案例体
[01310.40-01311.56] 考过案例体
[01311.56-01314.00] 就是给你一个限象然后让你去分析
[01314.00-01317.80] 说这个时候政府制定这个价格可能带来什么不利影响
[01317.80-01320.20] 会给到四个选项
[01320.20-01322.20] 让我们去分析它是对面还是错
[01322.20-01328.08] 最常考的就是把最低限价的不利用相和最高限价的不利用相
[01328.08-01329.36] 混在一块的口
[01329.36-01332.28] 同时就要在这里 能够把它量去分开
[01332.28-01335.84] 若老实在在这个地方就已经开始有一点民哄了
[01335.84-01339.60] 大家注意 如果在这里感觉到稍微有点民哄的原因是啥的
[01339.60-01342.36] 就是你没有一层一层的去腿
[01342.36-01344.28] 这个支持点 他要把它搞清楚
[01344.28-01347.56] 他必须需要一个非常清晰的逻辑在里面
[01347.56-01349.12] 要一步一步去来
[01349.12-01351.40] 从喊叶到它的目的
[01351.40-01353.16] 在到他的价格的大小
[01353.16-01355.40] 然后通过我们所说的这个含义
[01355.40-01357.08] 去分析现有的情况
[01357.08-01359.52] 他必须是一个一个邏机来的
[01359.52-01361.84] 如果在这里面任何一个邏机去时
[01361.84-01362.68] 你没有跟上
[01362.68-01364.20] 或者在这里你留号了
[01364.20-01365.28] 或者加速了
[01365.28-01367.72] 那就可能在这个这是点当中
[01367.72-01369.24] 就听不太懂了
[01369.24-01370.68] 所以大家一定要注意一下
[01370.68-01373.16] 这是最低限价和最高限价
[01373.16-01375.00] 需要我们去掌握的点
[01375.00-01376.76] 他是一个难点
[01376.76-01377.92] 他不是考试当中
[01377.92-01378.64] 你说老师
[01378.64-01380.44] 他是不是各个地区都会考察到
[01380.44-01382.72] 他对于我们所说的这种考虑
[01382.72-01384.48] 就要不要高的这些省分
[01384.48-01388.48] 这个点是必须是那无道考试的考察分的张内之内的
[01388.48-01389.48] 但是呢
[01389.48-01391.00] 他也就这么难了
[01391.00-01392.28] 不能再考出花来了
[01392.28-01395.80] 所以在这里面同时没一定要把它理解清楚
[01395.80-01398.52] 那这是我们所说的军侯架格
[01398.52-01401.40] 最低限价或者是最高限价
[01401.40-01402.64] 这是在这里面
[01402.64-01404.60] 我们通过价值军侯来说的
[01404.60-01406.40] 那说了在这个支点中
[01406.40-01408.20] 除了给大家去说清楚
[01408.20-01410.40] 最低限价最高限价是什么
[01410.40-01411.42] 目的是什么
[01411.42-01413.54] 它和市场最后加个之间的关系
[01413.54-01415.36] 以及它带来的不领响之外
[01415.36-01417.06] 我们还要给大家去
[01417.56-01419.80] 书里或者是拖展一个点
[01419.80-01422.28] 这个点在核败山西
[01422.88-01424.94] 就近几年的考试都又考察到
[01424.94-01426.78] 但是以前我们在考试说没有把它做的
[01426.78-01428.54] 所以重点它这一年都考察到了
[01428.54-01430.48] 既然如果都考察到了的话
[01430.48-01432.74] 在这里面我们就要拿出来的大家说一说
[01432.74-01433.52] 就叫做
[01433.52-01435.74] 工球曲线的变动
[01436.76-01438.32] 大主意象在这里就是
[01438.32-01441.04] 供需取限的变动对什么的原想呢
[01441.04-01447.32] 他与军恒价格以及军恒数两之间变化的影响
[01448.92-01450.52] 若老实他这是啥意思
[01450.52-01454.32] 这里面我们可以分这种情况来跑论
[01455.92-01457.40] 首先我们来看一下
[01457.40-01459.80] 在正常情况之下我们说了
[01460.40-01463.40] 这条代表需求这条代表攻击
[01463.40-01465.76] 在正常情况之下我们会发现
[01465.76-01467.88] 他们两个之间有一个焦点
[01467.88-01470.12] 这个点就叫做军衡点
[01470.12-01471.80] 这个价格叫军衡价格
[01471.80-01473.60] 这个价格叫军衡数量
[01473.60-01478.08] 现在我们所说的这条需求取线和供级取线
[01478.08-01479.24] 它其实不便
[01479.24-01480.88] 它不是一便不便的
[01480.88-01483.20] 它可能是会发生相应的什么
[01483.20-01484.76] 相应的便化的
[01484.76-01486.48] 它的便化无非就是
[01486.48-01488.00] 要么就是需求增加
[01488.00-01489.40] 要么就是需求減少
[01489.40-01490.84] 要么就是供级增加
[01490.84-01492.16] 要么就是供级減少
[01492.16-01495.20] 泡王王就会考察这四种情况之下
[01495.20-01498.28] 均衡价格和均衡数量它的变动方向
[01498.52-01501.60] 咱们举个简单的例子假设我在这里给大家
[01502.36-01503.40] 说第一种情况
[01503.64-01504.92] 第一种情况 假设什么呢
[01504.92-01507.24] 第一种情况 假训是我们所说的叫做
[01508.00-01510.04] 假设现在是共级不便
[01512.36-01513.12] 共级不便
[01513.12-01514.64] 共级不便 法是谁呢
[01514.64-01517.20] 法是需求減少
[01519.52-01520.56] 同学们看一下
[01520.80-01523.88] 在这里共级不便而需求減少
[01523.88-01525.66] 在这个地方我们来看一下
[01525.66-01527.46] 这是个原本的需求许件
[01527.46-01529.26] 而需求减少我们刚才说了
[01529.26-01531.56] 那就意味着需求取线
[01531.56-01533.86] 它的位置要发生变化
[01533.86-01537.58] 而在作标当中需求减少是需求取线左右也还是有也
[01537.58-01540.00] 需求取线左右一一
[01540.00-01543.60] 那就在这里面就变成了需求取线往这边一
[01543.60-01545.70] 需求取线如果一大网这边一的话
[01545.70-01546.80] 共启不变嘛
[01546.80-01547.10] 对吧
[01547.10-01548.78] 共启红色就要线不变
[01548.78-01551.52] 这就会产生一个新的军衡店
[01551.52-01553.84] 这个薰的军充脸当中来开一下
[01553.84-01556.64] 军红价格是批一批
[01556.64-01559.12] 军红数量是Q1批
[01559.12-01562.04] 这条新的典上
[01562.04-01565.24] 你会发现原本的军红价格
[01565.72-01567.36] 相对于现在军红价格来看
[01567.36-01569.44] 军红价格怎么样下降了
[01569.44-01571.76] 我们所说的军红数量也怎么办
[01571.76-01573.28] 也下降了
[01573.28-01575.96] 这里面它想考察的就是
[01575.96-01577.28] 当攻击不变
[01577.28-01580.64] 而需求减少的时候是军红价格
[01580.64-01582.12] 我就直接用这么来表示了
[01582.12-01583.72] 就是捐红价格约
[01583.92-01585.72] 捐红数量都怎么样
[01585.92-01587.04] 都减少
[01589.36-01590.24] 它要多减少
[01590.24-01591.92] 就是捐红价格和捐红数量
[01591.92-01593.12] 变化方向怎么样
[01593.32-01594.52] 相同位
[01595.76-01596.52] 这个点
[01596.52-01598.16] 当时就考察过一个
[01598.16-01600.16] 但是我忘了的具体考的是那种情况了
[01600.16-01601.32] 当然他考察过一个点
[01601.32-01602.44] 他当然给了就说
[01602.44-01603.92] 这假设如果说
[01603.92-01605.84] 攻击不变而需求增加还减少
[01605.84-01607.52] 这时候一下关于他的说法
[01607.52-01608.72] 正确或错误的事
[01608.72-01609.84] 就给到说
[01609.84-01614.48] A選項叫軍恆價格 減少 軍恆數量增加
[01614.48-01617.20] 軍恆價格以軍恆數量成反方向變化
[01617.20-01619.44] 如果他這麼說的話是不是錯了
[01619.44-01622.48] 想要做對這樣的題目其實他沒有多大的難度
[01622.48-01624.88] 你只需要把土給他化清楚 是不就行了
[01624.88-01626.64] 這是第一種情況
[01626.64-01628.64] 我們接著在分析第二種情況
[01628.64-01630.48] 第二種情況還是一樣的
[01630.48-01633.84] 我們來看原本有一個軍恆恆
[01634.88-01637.28] 軍恆電 軍恆電
[01637.28-01640.76] 捐行对用的数量和价格分别是这样的
[01640.76-01643.84] 这条代表需求这条代表共级
[01643.84-01645.40] 那么刚才分析的是什么
[01645.40-01646.56] 刚才分析的是
[01646.56-01648.24] 共级不便
[01648.24-01650.36] 需求渐少
[01650.36-01652.88] 我们现在改成共级不便
[01652.88-01654.08] 需求怎么办
[01654.08-01655.72] 需求增加
[01656.72-01658.52] 把这个字写的新写
[01658.52-01659.88] 要共级不便
[01659.88-01661.72] 需求增加
[01661.72-01671.08] 那攻击不便需求增加当中 说了需求增加代表需求的这条取线忙左一网右眼
[01671.08-01673.88] 代表需求的只要取线忙右一
[01673.88-01677.64] 既然代表需求取线忙右一的话 那大家就来看一下
[01677.64-01682.12] 需求取线忙右一 是不是就是往这个方向走啊 那这个叫右一
[01682.12-01686.84] 那我右一当中会有一个新的军党联产生 新的军党点
[01686.84-01689.14] 对应的军兴价格P1P
[01689.14-01691.44] 对应的军兴数量Q1P
[01691.44-01692.36] 那你看一下
[01692.36-01695.28] 军兴价格跟军兴数量相要于之前都是怎么样
[01695.28-01697.08] 都是增加了
[01697.08-01698.76] 这个时候大家注意一下
[01698.76-01703.16] 就是军兴价格增加升高军兴数量
[01703.16-01704.00] 也怎么办
[01704.00-01704.72] 变多
[01704.72-01706.56] 他们两个箭头方向相同
[01706.56-01707.68] 这个时候就是
[01707.68-01709.48] 统方向变动
[01709.48-01711.36] 这是统方向变动
[01711.36-01713.16] 这是我们所说的叫做
[01713.56-01714.60] 供几不变
[01714.60-01716.28] 而需求变化的情况
[01716.28-01718.56] 那你說老師有沒有其他的情況有啊
[01718.56-01720.08] 那我們接下來再接著分析
[01720.08-01722.12] 現在我們就開始分析誰不變
[01722.12-01724.92] 現在就分析需求不變的
[01724.92-01725.48] 對吧
[01725.48-01727.40] 看一下原本的這條曲線
[01728.52-01730.24] 對應的這個點
[01730.24-01731.88] P1和Q1
[01731.88-01734.76] 那我們現在碳頭是需求不變
[01734.76-01737.28] 現在如果說需求不變
[01737.88-01739.36] 而攻擊發生變化
[01739.36-01740.36] 那現在怎麼樣呢
[01740.36-01742.04] 先讓攻擊減少
[01742.04-01743.64] 那攻擊減少同一門
[01743.64-01747.64] 攻击节奥取线左右也出现一切的
[01747.64-01750.14] 那写上上的这条取线是攻击
[01750.14-01752.14] 攻击节奥左右一一
[01752.14-01753.24] 是不是到这儿了
[01753.24-01756.14] 到这儿会有一个新变化
[01756.14-01758.74] 这个新的变化就是有新的价格批一片
[01758.74-01761.64] 有我们所说的新的数量扣一片
[01761.64-01764.44] 你看在这里面我们先分析
[01764.44-01768.04] 据红价格相对于原来是不是变大了
[01768.04-01770.04] 因为网上是不是用上约大
[01770.04-01772.64] 所以这里面据红价格升高了
[01772.64-01773.96] 但巨虎数量怎么样
[01773.96-01775.80] 相对于原来是不是王左了
[01775.80-01777.64] 王左就用数量就是
[01777.64-01778.64] 減少的
[01778.64-01779.48] 那这里面
[01779.48-01780.44] 一个上升一个节奢
[01780.44-01781.68] 同方向反方向
[01781.68-01783.28] 反方向变化
[01784.28-01785.20] 这是在这
[01785.20-01786.56] 我们现在强调的是
[01786.56-01787.44] 共启不变
[01787.44-01789.88] 那么在网后还生最后一种情况
[01789.88-01790.76] 最后一种情况
[01790.76-01791.48] 还是一样的
[01791.48-01792.56] 同们这里
[01792.56-01794.40] 老师签订明明万主复
[01794.40-01795.76] 你料回去化妥
[01795.76-01796.92] 如果回去化妥
[01796.92-01798.04] 把这个图稿定了
[01798.04-01799.20] 这个知识点对你来说
[01799.20-01801.28] 真的是没有难度
[01801.28-01803.84] 一定会去自己嘗試的分析话图
[01803.84-01805.44] 来看一下在这里
[01805.44-01807.64] 在这里假设还是代表谁呢
[01807.64-01811.32] 在这里还是我们所说的叫做需求不便
[01811.32-01813.84] 需求不便的话在这里面是我们所说的
[01813.84-01815.52] 共解不让的渏少
[01815.52-01816.52] 现在共解怎么办
[01816.52-01818.36] 现在共解增加了
[01818.36-01820.40] 如果一旦共解增加来看一下
[01820.40-01822.40] 共解增加共解网右翼王左翼
[01822.40-01824.32] 共解网右翼
[01824.32-01827.56] 那那条共解去现象实际上的这条是共解
[01827.56-01828.56] 右翼落这儿了
[01828.56-01829.04] 对吧
[01829.04-01832.36] 又一到这的话会代表一个新的军充数量的军充价格
[01832.36-01834.16] 来看一下军充价格怎么办
[01834.16-01834.92] 一片
[01834.92-01836.84] 军充数量在这里有一个新的
[01836.84-01838.24] 叫做Q一片
[01838.24-01839.28] 分析一下
[01839.28-01841.36] 军充价格在这里面
[01841.36-01842.56] 比原来低了
[01842.56-01843.00] 对吧
[01843.00-01845.92] 军充数量网友也比原来高了
[01845.92-01846.96] 分析
[01846.96-01848.00] 这种情况下
[01848.00-01849.72] 军充价格下降
[01849.72-01851.40] 军充数量增加
[01851.40-01852.24] 在这里面
[01852.24-01854.40] 建头方向一位一样不一样
[01854.40-01856.28] 就是反方向
[01856.28-01859.36] 所以在这里面考试的时候
[01859.36-01862.42] 就如果单纯的干妈的给你一个提干
[01862.42-01864.72] 你这个时候要通过图示的分析
[01864.72-01866.00] 给它能够分析出来
[01866.00-01867.80] 所以在整个共求军红当中
[01867.80-01870.62] 大助理下两星期的支点其实就在于
[01870.62-01872.10] 军红价格的应用
[01872.10-01874.20] 以及我们刚才所说的
[01874.20-01876.00] 它的一个共激曲线的变化
[01876.00-01880.34] 就这两个点已经是微观进学考察的难度听话版了
[01880.34-01882.14] 目前不会比它更难了
[01882.14-01884.18] 所以同时在这里一定要给它怎么样
[01884.18-01885.34] 能够充分析出来
[01885.34-01888.42] 我建議大家回去的時候自己早上只換一換
[01888.42-01890.70] 如果不換的話你單處的評論想
[01890.70-01893.14] 或者我在這給大家說你也看得明白
[01893.14-01894.76] 那沒有啥用啊
[01894.76-01897.50] 你腿頭自己分析的時候你還是會分析錯
[01897.50-01899.22] 一定要自己動手去換一換
[01899.22-01899.76] 好吧
[01899.76-01901.74] 那這個就是我們所說的這做
[01902.14-01903.58] 工界和需求
[01903.58-01904.46] 就工界和需求
[01904.46-01905.34] 大家要注意
[01905.34-01905.74] 好
[01905.74-01907.54] 這個就要共需軍衡
[01907.54-01909.62] 那共求軍衡點
[01909.62-01910.98] 或者共需軍衡點
[01910.98-01911.86] 咱們講到這
[01911.86-01913.74] 其實就把整個微彎進學
[01913.74-01914.94] 所以大家講完了
[01914.94-01917.22] 所以整个微关键学低级
[01917.22-01918.02] 给大家讲完了
[01918.02-01920.66] 所以低级到我们就讲了三个大的概念
[01920.66-01923.64] 需求供给供求军供
[01923.64-01927.74] 两星期的制定在需求和供求军衡上
[01927.74-01931.02] 供给的话简单了解一下不做中文掌握
[01931.02-01933.74] 好 这是我们整个李录的内容
[01933.74-01935.74] 李录说完了 来看一看
[01935.74-01937.46] 接下来 来看 来看 来看
[01937.46-01938.74] 题目 来做一下
[01938.74-01939.34] 他说
[01939.34-01941.06] 近期说李某英工作
[01941.06-01942.34] 公子上涨的12时
[01942.34-01945.62] 公子上等代表的是收入增加
[01945.62-01948.46] 后面它对拉条的工美将下降的稳制时
[01948.46-01952.26] 下降的百分之时就意味着需求減少
[01952.26-01955.46] 通过来看一下收入增加而需求減少
[01955.46-01958.26] 同方向反方向反方向变动
[01958.26-01960.26] 反方向变动的商品
[01960.26-01961.30] 我们就要什么来着
[01962.26-01964.34] 多数情况之下收入越多
[01964.34-01965.14] 需求按越多
[01965.14-01968.82] 而在这里面我们所说的这种少数情况之下
[01968.82-01971.14] 它是收入越高需求量反越低
[01971.14-01976.10] 那这种产品被称这位叫做第一党品或者叫做列党品
[01976.10-01978.26] 对吧所以这道体宣走的是
[01978.26-01981.94] 你说老师必须便是啥来着
[01981.94-01984.42] 收国必须便说出品和高党品
[01984.42-01986.54] 必须帝他是在考察什么
[01986.94-01989.94] 这个点在考察影响需求的因素
[01991.74-01995.78] 影响需求的因素
[01995.78-01997.34] 而必须帝在考察什么
[01997.34-01999.54] 在考察需求谈性
[02001.14-02003.66] 不是一个点,再玩许后弹性
[02003.66-02005.82] 所以在这里面这要提选择的是
[02005.82-02008.50] A许像大家注意指第一体
[02008.50-02010.66] 第二体来,加个弹性来了
[02010.66-02013.62] 说价格弹性了,表输错误的是A许像
[02013.62-02015.22] 说价格弹性指
[02015.22-02019.58] 价格变动引起市场需求量的变化程度
[02019.58-02021.22] 这个说话没有问题
[02021.22-02025.86] 因为我们说了是要看对价格变动的反应程度
[02027.38-02030.38] 对价格变动的
[02031.14-02033.14] 反应程度
[02033.14-02036.14] 反应程度
[02036.14-02039.14] 这种对价格变动的反应程度
[02039.14-02042.14] 谁对价格变动是需求对价格变动
[02042.14-02047.14] 叫需求对价格变动的反应程度
[02047.14-02050.14] 既然是需求对价格变动的反应程度
[02050.14-02054.14] 既然是需求对价格变动的反应
[02054.14-02056.14] 这里面谁是阴遍量同学们
[02056.14-02058.14] 阴遍量应该是价格
[02058.14-02060.48] 应该是我们所说的什么?
[02060.48-02061.72] 虚求
[02061.72-02064.34] 而价格是我们所说的
[02064.34-02065.24] 自别量
[02065.24-02066.64] 你所说的是这是啥意思?
[02066.64-02068.38] 就是所谓的价格弹性
[02068.38-02069.04] 就理解
[02069.04-02072.50] 是价格变动引起需求量变动的情况
[02072.50-02074.34] 对吧价格变动一点点
[02074.34-02075.80] 需求量变动特别大
[02075.80-02076.76] 就富有弹性
[02076.76-02078.04] 价格变动
[02078.04-02079.68] 一那么老多
[02079.68-02081.14] 虚软变动一小点
[02081.14-02082.78] 这时候就要确发弹性
[02082.78-02084.72] 所以你看是价格变动引起
[02084.72-02086.96] 需求量变动的程度
[02086.96-02087.36] 对吧
[02087.36-02090.18] 价格变动一点点需求量变化特别大
[02090.18-02091.56] 这种说法就是对的
[02091.56-02096.90] 如果有书上的概念来看就是对价格变动的反程度
[02096.90-02098.88] 是需求量对价格变动的反程度
[02098.88-02099.20] 对吧
[02099.20-02102.72] 这里面总归是价格发生变化
[02102.72-02104.52] 需求量采访成变化
[02104.52-02104.92] 对吧
[02104.92-02106.56] 所以A选上说法是正确的
[02106.56-02108.48] 这里面它有一点肉
[02108.48-02111.16] 同一门很容易把它和书上的概念搞混了
[02111.16-02113.56] 咱们在书上一直在里大家强调一点
[02113.56-02115.44] 我说了价格变动一点点
[02115.44-02117.08] 需求量变动程度特别大
[02117.08-02118.40] 对吧等等这一系列的
[02118.40-02119.34] 我是不是一直在想叫
[02119.34-02121.44] 价格变动引起需求论变动
[02121.44-02123.48] 那这里面如果用书上的话来说
[02123.48-02127.52] 就是需求论变动对价格变动的反应程度
[02127.52-02129.62] 他们两个说的是一个意思
[02129.62-02131.16] 本质的核心市傻
[02131.16-02134.44] 就是价格变动才有需求论变动
[02134.44-02137.42] 而用需求论变动的程度来反应
[02137.42-02139.44] 它对于价格的靈命程度
[02139.44-02141.54] 这个就叫做价格谈性
[02141.54-02143.44] 所以在这里面谈性谈性
[02143.44-02145.12] 是阴变量变化
[02145.12-02147.92] 是自辨量变化引起音辨量变化
[02147.92-02150.52] 就知道是价格变动引起需求量变动
[02150.52-02151.12] 就OK了
[02151.12-02153.52] 所以A选项说法是正确的
[02153.52-02155.72] B选项说价格弹性反应
[02155.72-02158.32] 攻击量和需求量对价格性的名外程度
[02158.32-02159.32] 没有问题吧
[02159.32-02162.12] 因为我们主要讲的是需求价格弹性
[02162.12-02163.72] 但是它有攻击价格弹性
[02163.72-02166.12] 但是攻击价格弹性击乎没有考察过
[02166.12-02166.82] 你就知道
[02166.82-02169.92] 是需求量变动对价格变动的反应程度
[02170.72-02172.92] 是吧还是出上的那个汉艳
[02172.92-02174.12] B选说价正确
[02174.12-02174.92] 所以也像
[02174.92-02179.56] 说谈性的曲约约商品替代的数目机可替代性的程度
[02179.56-02181.40] 有没有这个因素有
[02181.40-02183.64] 有想谈性的因素我们再讲需求的什么
[02183.64-02185.84] 第一个就是它的可替代性
[02186.84-02189.16] 第二个它对生活的重要程度
[02189.16-02191.28] 第三个调整时间长短
[02191.28-02191.60] 对吧
[02191.60-02193.12] 这里面它提到了替代性
[02193.12-02194.64] 它说还是正确的
[02195.16-02196.16] 看一下第四个
[02196.16-02200.36] 它说在需求谈性等于一使等于一要同一们
[02200.36-02204.44] 它说将假会引起消费者对这种商品的会议之说
[02204.44-02207.98] 降價能夠引起貨幣之處的應該是什麼?
[02207.98-02210.00] 虛擁彈性大與一吧
[02210.00-02212.28] 大與一是我們所說的
[02212.28-02213.40] 富有彈性
[02213.40-02215.24] 富有彈性才適合什麼?
[02215.24-02217.12] 才適合降價銷售
[02217.12-02219.36] 因為當富有彈性降價銷售的時候
[02219.36-02222.68] 降價會引起虛擎量的極速增加
[02222.68-02225.04] 這種情況下會引發貨幣之處
[02225.04-02227.36] 而虛擎彈性等於一就意味著什麼?
[02227.36-02231.04] 就意味著虛擎量的變動率和價格變動率是
[02231.04-02233.04] 一致的 家是一致的
[02233.04-02236.54] 而且是蓬勻这种类似于我们所说的什么 等比的
[02236.54-02239.94] 这种等比的其实不会在货币手会呈现
[02239.94-02241.54] 特别大的这种变动
[02241.54-02242.94] 所以第四个选项
[02242.94-02246.94] 说话就错误 应该是要大以一而不能是等于一
[02246.94-02248.84] 这个地方靠的就是谈刑
[02248.84-02251.52] 所以给大家说了谈刑它是一个两星期的
[02251.52-02252.84] 理解是能支持点
[02252.84-02254.04] 这是第二题
[02254.04-02256.64] 第三题来谈一下不是和采用降价的
[02256.64-02258.44] 降价 富有谈刑确案
[02258.44-02260.24] 富有谈刑才能降价
[02260.24-02263.06] 对吧 那看一下哪一个是富有弹性的
[02263.32-02265.42] 富有弹性咱们说了要么是说持品
[02265.76-02267.34] 要么是高党耐用品
[02267.50-02269.70] 要么就是有替代的商品料多的
[02269.86-02271.76] 要么就是挑折时间比较长的
[02272.02-02274.72] 那我们主要考的是说持品和高党耐用品
[02274.84-02275.34] 看一下
[02275.60-02278.44] 服势手机叫车是不多属于
[02278.88-02280.98] 说持品或者是高党耐用品啊
[02281.24-02283.60] 那他这种情况之下都是和降价销售
[02283.86-02286.24] 而实言是生活必须品
[02286.52-02288.72] 生活必须品怎么样缺乏弹性
[02290.24-02292.24] 缺乏坦性
[02292.24-02294.24] 在这里面如果缺乏坦性的话
[02294.24-02295.24] 这里面就意味着
[02295.24-02297.24] 它能不能采取降下消失的测语
[02297.24-02298.24] 是不能的
[02298.24-02300.24] 所以第三体不能采降下的是
[02300.24-02302.24] 第四个大家要注意
[02302.24-02304.24] 第四体来看一下
[02304.24-02306.24] 第四体不要被他们一会
[02306.24-02308.24] 它只要体要看四
[02308.24-02309.24] 设得很难
[02309.24-02310.24] 它会想让你说
[02310.24-02311.24] 把照替搞得有多复载
[02311.24-02313.24] 但实际上它没有特别的难
[02313.24-02314.24] 来看一下
[02314.24-02315.24] 在这里面
[02315.24-02321.64] 说如果某种零食的市场捐恒价格为30块钱没合
[02321.64-02326.24] 说市目前市场上这种零食的实际价格为40块钱没合
[02326.24-02328.24] 说要食市场区域捐恒怎么办
[02328.24-02333.24] 如果原本这个零食的价格是30块现在是多少钱 现在是40块
[02333.24-02337.24] 那从30到40就意味着价格是上升了 对吧
[02337.24-02343.24] 价格上升一般情况之下 除了价值军队价格之外就是共求原想价格
[02343.24-02346.60] 能够让价格上升导致供求影响价格的
[02346.60-02351.36] 那一定是出现了供不应求的情况
[02351.36-02352.00] 对吧
[02352.24-02353.64] 叫供不应求的情况
[02353.64-02357.60] 那欢迎话说呢就是供几的数量太少了
[02357.60-02358.88] 供几数量太少了
[02358.88-02360.60] 从而导致我们所说的什么
[02360.60-02362.28] 需求增加了
[02362.28-02364.24] 所以在这里面大家要注意一下
[02364.24-02365.24] 那你看他说
[02365.24-02368.20] 那现在呢是十几价格是四块
[02368.20-02370.44] 那我想让他去与军恒价格
[02370.44-02372.12] 去三是块钱怎么办
[02372.12-02373.52] 那就让他降加
[02373.52-02375.12] 怎能让他降加呢
[02375.12-02376.88] 就是让共挤增加
[02376.88-02377.48] 对吧
[02377.48-02379.24] 那AB只能排除掉了
[02379.24-02380.32] 那共挤增加
[02380.32-02383.12] 从想让他回复军恒
[02383.12-02384.80] 是否想让他回到30块钱
[02384.80-02386.32] 想让他回到30块钱的话
[02386.32-02387.28] 那就应该是什么
[02387.28-02389.92] 那就应该是价格降低
[02389.92-02391.52] 所以第四题选择的是
[02391.52-02392.40] 四弟
[02392.40-02393.32] 选择是四弟
[02393.32-02394.68] 你看就共挤增加
[02394.68-02396.20] 降低价格
[02396.20-02397.48] 所以第四题选择
[02397.48-02398.48] 四弟选项
[02398.48-02399.12] 那这个呢
[02399.12-02400.28] 就是我们所说的
[02400.28-02401.56] 军恒的问题
[02401.56-02402.60] 就是均衡的问题
[02402.60-02404.64] 所以在这里面大家一定要注意
[02404.64-02408.48] 我们在整个微观经济学当中的第一节里面
[02408.48-02410.40] 就强得这三个大的问题
[02410.40-02413.28] 它其实考试的灵火是很多元很多样的
[02413.28-02416.72] 需要同学们是充分的去理解这个方面的知识点
[02416.72-02418.00] 我知道它很多
[02418.00-02420.64] 而这相对来说也会看起来有一点杂
[02420.64-02423.92] 但是需要大家有一个清晰的逻辑和满路
[02423.92-02426.64] 然后通过这个内容一点点去输立
[02426.64-02427.76] 需要大家能够
[02427.76-02429.88] 就是它是事实的把这个知识点卸清处
[02429.88-02431.78] 好吧 那这是第一节的内容
[02431.78-02434.88] 那如果大家在第一节的学习当中呢
[02434.88-02436.48] 存在一些什么样的问题的话
[02436.48-02438.78] 大家也可以在当不去当中
[02438.78-02440.38] 或者是在这个
[02440.88-02442.08] 有论去当中留言
[02442.08-02443.88] 那在评论去当中留言之后呢
[02443.88-02445.88] 回答一下 事情先相应的
[02445.88-02446.88] 接下 好吧
[02446.88-02450.18] 好的 那这个就是我们所说的第一节的全部内容了
