[00000.00-00002.52] 好 那我们接着来往下看
[00002.52-00006.16] 咱们在民宝宫当中讲完了行政副一
[01075.16-01077.60] 这里面我们所说的第一种情况
[01077.60-01078.68] 这是富一
[01078.68-01082.12] 那第二种情况就是你直接向人民反应起诉的
[01082.68-01084.48] 比如说你也不等富一结果
[01084.48-01087.36] 然后你也不是说先富一后起诉
[01087.36-01088.56] 你是直接起诉的
[01088.56-01090.32] 直接起诉的起诉去说什么
[01090.32-01092.96] 是知道他做出行政行为之前
[01092.96-01093.92] 六个月内
[01093.92-01095.92] 所以在这里面大家一定要明确
[01095.92-01097.44] 所以这是第一个起诉
[01097.44-01098.60] 所以起诉有两种情况
[01098.60-01099.36] 第一个直接起诉
[01099.36-01101.44] 第二是你说富一了以后起诉的
[01101.44-01104.48] 这里面,大概注意一下,他俩的时间不一样
[01104.48-01105.76] 这是第一个起诉
[01105.76-01109.64] 起诉了之后,反应就要经过审判开停神里
[01109.64-01112.44] 举政制政,然后平衡
[01112.44-01117.24] 平衡行合意,对外,然后平衡审判,就是大概这么一个流程
[01117.24-01120.40] 那宣判的话,就判决嘛,那他宣判
[01120.40-01122.24] 这个时候就会睡到一个问题叫判决
[01122.24-01127.16] 我们的判决分成三种,一种叫做医审判决,大家都知道
[01127.16-01130.40] 医审判决就是比如说我现在去告
[01130.40-01136.80] 那我是告的时候我是像某某区基层人民法院告的
[01139.10-01142.28] 基层法院告告你法我前的这个事对吧
[01142.28-01145.00] 那我像某某区基层人民法院告告你法我这个全身
[01145.00-01149.12] 基层法院做出的判决就叫做什么就叫做医省判决
[01149.12-01151.66] 但医省判决做出之后不生效
[01151.66-01154.46] 因为判决做出之后不生效要等算出期满
[01154.46-01156.50] 如果医省判决做出之后
[01156.50-01158.50] 我看到这个判决说我不服
[01158.50-01160.30] 我这个时候说不服我还要去告
[01160.30-01161.58] 这个时候就可以怎么样
[01161.58-01163.36] 你就可以像我们所说的
[01164.14-01164.90] 上诉
[01165.42-01166.70] 上诉到什么呢
[01166.70-01167.46] 二成法院
[01169.26-01170.78] 这个是医生法院对吧
[01171.04-01171.54] 医生法院
[01171.56-01172.32] 第一次是人力吧
[01172.58-01173.34] 医生法院
[01173.60-01175.40] 这个时候就会说不服我上诉
[01175.40-01177.44] 上诉到二成法院上诉到什么呢
[01177.44-01178.22] 市中院
[01178.46-01180.52] 市中院看了我的这个情况之后
[01180.52-01182.06] 他也会做出一个判决决定
[01182.30-01183.34] 这个就叫做什么
[01183.34-01184.86] 这个就叫做二成判决
[01185.12-01187.18] 二成判决如果你还不服怎么办
[01187.18-01188.46] 20%就就生效了
[01188.46-01191.28] 20%約一般情況之下,我們國家兩省中省
[01191.54-01192.82] 20%已經生效了
[01192.82-01195.12] 20%就因為判決說要執行
[01195.36-01196.90] 但是我對於這個生效的
[01197.16-01198.96] 這個判決說還不符
[01198.96-01201.52] 因為我覺得他判錯了,那就是我就可以怎麼樣
[01201.52-01203.56] 我就可以體動再省
[01203.56-01204.58] 我就可以再省
[01204.58-01206.38] 我就可以上午我就可以怎麼樣
[01206.38-01208.18] 如果是刑算見到你類罪抗素
[01208.18-01210.22] 對吧,但這個就可以體動再省
[01210.22-01212.52] 那這個時候我就可以體動再省
[01212.52-01214.82] 我說說他判錯了,你們的國會改
[01214.82-01226.22] 对吧,就可以像在这法院申请在时,在时也会给到一个判决决,就像什么,在时判决,所以在这里面待会注意一下,这是判决它的流程,大概知道一下这个情况,
[01226.22-01239.02] 当时来开一下第一种情况,就是如果我现在把它罚我前的这个声一直塑到告到法院,法院这个时候就会受理我的案件,对吧,这时候法院,一舍人民法院,比如说这个区域人民法院,
[01239.02-01240.22] 這個區別沒法院呢
[01240.22-01242.52] 今天在利安知期內壞下時間
[01242.52-01245.82] 六個月內做出低省坦決
[01245.82-01247.32] 這是你不能九通不負
[01247.32-01249.12] 你不能說過脫來脫運或很久
[01249.12-01251.12] 你必須在六月之內給我什麼
[01251.12-01252.72] 給我相用的坦決
[01252.72-01254.42] 六月之內給相用的坦決
[01254.42-01255.52] 這是一省坦決
[01255.52-01257.82] 那我說了你對於低省坦決不服的
[01257.82-01261.02] 這種情況之下你可以像上一集的沒法院上訴
[01261.02-01262.52] 你比如說在這裡對吧
[01262.52-01265.02] 你是限機逢法院
[01265.02-01265.62] 你不服的
[01265.62-01266.82] 你可以上訴到二者法院
[01266.82-01267.82] 二所法院中什麼
[01267.82-01269.38] 就可以告到失忠院了
[01270.22-01270.86] 所以你看
[01271.26-01272.42] 如果你不服的
[01272.42-01273.78] 你这个时候就可以怎么办
[01273.78-01275.18] 不服你就上诉呗
[01275.18-01275.50] 对吧
[01275.50-01276.34] 上诉的话
[01276.34-01276.98] 你就可以
[01277.90-01280.86] 我们所说的像上一集人没法院提起
[01280.86-01281.74] 上诉
[01281.94-01283.90] 但这个上诉在后面说了
[01283.90-01285.74] 说当时不服地审裁定
[01285.74-01287.94] 可以在实内向上级方面提起上诉
[01287.94-01289.66] 也是判决和裁定不一样
[01289.66-01291.90] 这个是在诉讼法当中的那种
[01291.90-01292.78] 判决
[01292.78-01294.86] 是我们所说的经过实体审理了
[01295.34-01296.86] 比如说我已经审了一遍了
[01296.86-01297.22] 对吧
[01297.22-01299.78] 審理便我说人家的行政行为合法有效
[01299.78-01300.74] 发言前就反对了
[01300.74-01302.10] 还不还觉得他发少了呢
[01302.10-01303.62] 但是他不进行合理行审查
[01303.62-01304.66] 所以他就只判
[01304.66-01307.70] 原我们所说的行政行为合法有效
[01307.70-01310.26] 那就要去该搅拿法馆就搅拿法馆了
[01310.26-01313.86] 所以只有时候我给到了经过实体身体的交通判决
[01313.86-01315.14] 但是有的时候呢
[01315.14-01315.70] 叫什么呢
[01315.70-01317.62] 有的时候就是我向法院去够
[01317.62-01319.22] 法院还没有开听实体身体
[01319.22-01320.26] 没有经过实体身体的
[01320.26-01322.02] 他只看了我地交的材料特说
[01322.02-01324.10] 你不符合上诉的条件
[01324.10-01325.06] 那这种情况之下
[01325.06-01326.18] 他就会把我的怎么样
[01326.18-01328.22] 上座裁定博伏
[01328.22-01330.54] 这时候他给我发的就是裁定数
[01330.54-01332.82] 如果对他的裁定不符的怎么办呢
[01333.22-01335.14] 判与不符的15人内上座
[01335.14-01337.38] 裁定不符的10人内上座
[01337.38-01338.50] 这两个时间不一样
[01338.50-01339.50] 大家注意一下
[01339.50-01341.98] 这是我们所说的有关于20判举
[01341.98-01344.34] 但是我们国家是用的是凉審中審
[01344.34-01346.14] 如果你要20判举不符的话
[01346.78-01348.06] 这个判举就要怎么样
[01348.06-01349.42] 就要生效了
[01349.42-01351.18] 所以如果对于生效判举不符的
[01351.18-01354.22] 你看对于已经发生效力的判举不符的
[01354.22-01357.62] 这时候可向上一集也法院在申请在省
[01357.62-01359.14] 但是在省不停止止省
[01359.14-01362.50] 所以这时候在省当中形成的判决就是在省判决
[01362.50-01364.02] 大概了解这个流程就行了
[01364.02-01365.46] 这里面就有科学校的什么呢
[01365.46-01366.42] 是这个时间
[01366.42-01369.66] 做一个医生级的实际形成的制实点去掌握
[01371.06-01372.86] 就自己个细节大家注意一下
[01372.86-01375.06] 这个说我们所说的有关于诉送
[01375.06-01376.82] 那诉送当中最重要的点
[01376.82-01377.42] 大家注意一下
[01377.42-01378.66] 诉送当中最重要的点
[01378.66-01380.66] 其实就是行政诉送
[01380.66-01383.10] 它的一个第一个管砂的问题
[01383.10-01384.42] 是一个两星期的支点
[01384.42-01385.70] 大家注意一下关键
[01385.70-01388.34] 第二个就是行政被告的确认
[01388.34-01389.62] 被告确认两个点
[01389.62-01391.54] 他们两个是两星期的支点
[01391.54-01392.94] 其他的那几个点
[01392.94-01394.74] 还有一个就是行政诉讼它的审查
[01394.74-01395.94] 范围是合法性
[01395.94-01396.78] 就这三个点
[01396.78-01398.34] 大家要记得非常地劳购
[01398.34-01399.46] 其他的这几个点
[01399.46-01400.82] 大家对于有个印象
[01400.82-01403.54] 做一个简单的一星期的实际型的题目
[01403.54-01404.10] 去掌握
[01404.10-01405.02] 就可以了
[01405.02-01407.02] 这个就是行政诉讼
[01407.02-01407.38] 来
[01407.38-01409.38] 咱们看一下行政诉讼的题目
[01409.38-01410.66] 看一下它的难度
[01410.66-01412.86] 所以形容诉讼网要解决的
[01412.86-01415.46] 就分一般发生在什么时候呢
[01415.46-01417.18] 一般发生在谁有一条时间
[01417.18-01419.34] 形容诉讼解决关民之间
[01419.34-01421.78] 所以他一定是关民之间的问题
[01421.78-01422.26] 诶选项
[01422.26-01423.26] 机关之间
[01423.26-01424.42] 不对关民之间
[01424.42-01426.46] 机关与工作人员之间不行
[01426.46-01427.22] 关民之间
[01427.22-01428.30] 工作人员是内部人员
[01428.30-01429.30] 不就无法不信
[01429.30-01431.46] 机关和民之间
[01431.46-01433.46] 所以第一体选择
[01433.46-01434.02] 谁
[01434.02-01435.66] 你一定要老老抓住
[01435.66-01437.18] 形状化的核心
[01437.18-01438.46] 关民
[01438.46-01441.34] 就分关门 关门和门告关
[01441.34-01442.50] 所以第一体选谁
[01442.50-01443.90] 第二体来看一下
[01443.90-01446.98] 数送审查核法行
[01446.98-01448.38] 而我们所说的
[01448.38-01450.42] 富亿审查核法行和核李性
[01450.42-01450.70] 对吧
[01450.70-01451.98] 所以第二体选择的是
[01453.26-01454.06] 第三个
[01454.06-01455.26] 体制行政数送
[01455.26-01456.34] 人民法院不与收理的
[01456.34-01458.06] 人民法院指收理什么行为
[01458.06-01459.42] 具体行政行为
[01459.42-01460.42] 而不收理
[01460.42-01461.70] 我们所说的是吗
[01461.70-01463.10] 不是具体的这些
[01463.10-01464.06] 首先第一个
[01464.06-01464.98] 行政机关
[01464.98-01466.26] 侵犯自助经营权
[01466.26-01466.94] 属不属于
[01466.94-01468.48] 属于有处分析
[01468.74-01469.50] 属于外部
[01469.76-01470.26] 赖选项正确
[01470.52-01472.82] 并选项对工作人员工作人也属于什么
[01473.34-01473.86] 内部
[01474.88-01475.40] 那我们说了
[01475.64-01478.72] 具体形狀行为要具有外部行工作人也是内部人员的
[01478.98-01480.58] 所以不具有外部行
[01480.76-01482.30] 一下子就叛动出来
[01482.56-01483.58] 它不是具体形狀行为
[01483.84-01484.60] 所以并选项不行
[01484.86-01486.66] 所以选项不服行成成成错失
[01486.90-01488.18] 错失可以说离
[01488.44-01488.70] 四个
[01488.96-01489.72] 拒绝
[01489.98-01490.48] 绿形之则
[01490.74-01491.52] 侵犯权一样
[01491.78-01492.54] 他也可以说离
[01492.80-01493.56] 所以这里你看
[01494.08-01495.36] 并选项还是抓住
[01495.86-01496.64] 判断
[01496.94-01498.42] 具体形成形成为怎么判断
[01498.42-01500.74] 第一个他属于咱们讲的那几个种类
[01500.74-01502.54] 第二个符合那几个特性
[01502.54-01503.58] 所以一定要注意
[01503.58-01505.94] 所以第三体选择的是二倍
[01505.94-01507.38] 第四体来看一下
[01507.38-01509.10] 说告国务院部门
[01509.10-01512.42] 国务院部门和线级上人民政府向哪一集别反应过下
[01512.42-01513.58] 我们只讲的这个
[01513.58-01515.94] 相中级人民反应
[01515.94-01518.30] 所以第四体选择二倍
[01518.30-01519.58] 第五体来看一下
[01519.58-01520.82] 加分少结个二倍
[01520.82-01523.14] 环保局一定要化主体
[01523.14-01525.10] 环保局除了两千下的法馆
[01525.10-01527.66] 假不服乡现政府申请服役
[01527.66-01529.98] 服役怎么样 服役为此
[01529.98-01531.50] 哎 他一提到服役为此
[01531.50-01532.78] 雷达就想多 服役为此
[01532.78-01535.02] 服役为此 找边高
[01535.02-01538.62] 我们说了 经过服役的案件 服役为此
[01539.62-01542.78] 共同高 服役改变 单独高
[01542.78-01544.82] 服役不作为 责义高
[01544.82-01546.34] 那你看这里 服役为此
[01546.34-01548.46] 谁做的 环报局做的
[01548.46-01550.58] 谁为此 现政府共同高
[01550.58-01552.18] 把他俩作为共同边高
[01552.18-01554.54] 一直数装高到 法院就可以了
[01554.54-01556.70] 所以这里面应该 环保局也不行
[01556.70-01557.70] 现政府不行
[01557.70-01560.70] 环保局和现政府和还是货和
[01560.70-01562.22] 所以第五体选择的是
[01562.22-01562.98] 谁
[01562.98-01565.38] 这个就是我们所说的行政诉租
[01565.38-01568.02] 所以从整体的难度上来看我们会发现
[01568.02-01569.02] 行政诉租法
[01569.02-01571.06] 它大部分内容都是偏机翼的
[01571.06-01572.98] 而行政实体法
[01572.98-01575.26] 就是我们所说的行政法当中的
[01575.62-01576.94] 触发徐克决定
[01576.94-01580.02] 可能它相当来说可以偏理解和难度高一点
[01580.02-01581.82] 所以我们前面处理给大家处理的
[01581.82-01583.42] 非常细强运很细制
[01583.42-01586.64] 以往后,我们会发现它的难度法是降激了的
[01586.64-01589.96] 所以同样的夫妻的时候,把他的理解重点放在前面
[01589.96-01592.24] 尤其是对于具体宣传行为的理解
[01592.24-01594.52] 它可以帮助我们掃出很大一部分
[01594.52-01597.96] 在行中诉送和行中副一当中的难点
[01597.96-01600.92] 这个就是整个行中发的全部内容了
[01600.92-01604.74] 雙头行文可以严重老师上课给大家总结的这个框架
[01604.74-01607.58] 自己在这书里一遍框架的内容
[01607.58-01612.22] 这样的话,我们的整个行中发行中诉讼法就没有什么太大的问题了
[01612.22-01615.04] 到这,我们就把这个法律模块给大家讲完了
[01615.04-01616.68] 辛苦同学们的联题
[01616.68-01619.90] 希望同学们在预了学习当中的问题的时候
[01619.90-01621.18] 能够跟我读读的交流
[01621.18-01623.28] 我们这个模块到这里就结束了
[01623.28-01625.12] 咱们下一个支持模块再见吧
[01625.12-01625.72] 拜拜
