[00000.00-00005.00] 大家好,欢迎来学习经济学的最后一个板块儿,就是附陆的内容。
[01151.50-01152.94] 还让我把之前的都怎么样
[01152.94-01153.78] 突出来了
[01153.78-01155.86] 我对这个包子的体验感强强
[01155.86-01156.42] 不强
[01156.42-01157.62] 这个包子傻薄的
[01157.62-01158.98] 怎么能有这样的包子呢
[01158.98-01161.02] 我的甜这个包子就是千古最寶
[01161.02-01161.46] 对吧
[01161.46-01162.42] 我们没有千古最人
[01162.42-01163.70] 他就是包子接的持入
[01163.70-01165.22] 我们就说千古最寶
[01165.22-01166.62] 那他说他一套吐了
[01166.62-01167.54] 他说你没事吧
[01167.54-01169.22] 我说没事吃就吃点
[01169.22-01170.78] 见了消石头东西吧
[01170.78-01171.78] 他说在还吐了
[01171.78-01173.06] 我说我已经吃饱了
[01173.06-01174.50] 他说第五个包子好吃吗
[01174.50-01175.22] 我说不好意思
[01175.22-01176.54] 他说那你给他打个粉吧
[01176.54-01179.28] 我说那帝国包组为打多少份 让我们打副三份
[01180.32-01182.90] 对吧 那这个就是单个包组的买一程度
[01182.90-01185.58] 那同样来看一下我现在总体的买一堵是多少
[01185.58-01188.96] 我现在总体买一堵是5个包组家容再一块吧
[01188.96-01193.38] 10加8加2加0.2减减减三
[01193.38-01197.06] 那我总体的消费买一程度变成多少 变成了17
[01197.06-01200.10] 那我在帝国包组所获得的编辑效用呢
[01200.10-01202.74] 我在帝国包组所获得的编辑效用是多少
[01202.74-01205.78] 是現在的消費總量是17吧
[01205.78-01208.12] 簡訊之前的秀林增量是多少
[01208.12-01210.16] 12時之前的秀林增量
[01210.16-01212.76] 然後是增加的單位是5.4
[01212.76-01213.86] 是不是增加了一個寶責
[01213.86-01215.62] 那這時候我的編輯秀要是多少
[01215.62-01216.32] 副三
[01216.32-01217.60] 那我們就寫到這兒
[01217.60-01219.26] 那同時我們在這裡能夠看到
[01219.26-01225.22] 我的編輯秀有是從10到8到2到0
[01225.22-01226.88] 再到解再到副三
[01226.88-01228.28] 我的編輯秀有是什麼
[01228.28-01229.64] 是一路地檢的
[01229.64-01230.28] 明白了吧
[01230.28-01232.28] 所以在這裡他才給到的照顧什麼
[01232.28-01234.80] 这个效用增量是低渏的
[01234.80-01237.72] 但是同们注意一下 我把它考虑了个写的质
[01237.72-01239.84] 这是第一个 大家知道效用是买一程度
[01239.84-01243.04] 第二个就是我们所说的这个边际效用
[01243.04-01246.24] 这个边际效用它是一路低渏的
[01247.52-01249.96] 那边际效用一路低渏
[01251.40-01253.08] 你说老师可不就是一路低渏
[01253.08-01255.64] 把人的规律也就叫做边际效用低減规律
[01255.64-01258.32] 你别急嘛 我知道你很急 但你先别急
[01258.32-01260.60] 咱们一点儿加把这个支枖去了扣出来
[01260.60-01263.10] 編輯效用它是一路地檢的
[01263.10-01265.12] 這個點大家必須要明確
[01265.12-01266.92] 但是在這裡面我們來看一下
[01266.92-01269.00] 除了有編輯效用這個辭職外
[01269.00-01270.20] 它還有另外一個概念
[01270.20-01271.24] 這個概念在這
[01271.24-01274.60] 叫做這個包子給我帶來的整體買一度
[01274.60-01276.76] 整體買一度它只得是啥呢
[01276.76-01279.48] 大家就一下整體買一度只得是要總效用
[01281.64-01284.44] 而單個包子給我帶來的買一度叫編輯效用
[01284.44-01285.96] 你看這個總效用是怎麼樣
[01285.96-01290.04] 總效用是從十到十八到二十到二十
[01290.04-01291.92] 然后再到什么,再到时期
[01291.92-01294.00] 因为发现它是先增增增增增增增增增增
[01294.00-01297.00] 增到我吃饱了之后再让多吃的时候挖一下吐出来了
[01297.00-01299.64] 那这种情况这件是个先增后渏了
[01299.64-01302.12] 所以在这里面同时在后面在写上留言一句话
[01302.12-01303.76] 只是边际小用是一种低点的
[01303.76-01305.12] 但是总绣用
[01307.12-01310.40] 总绣用先增后渐
[01313.20-01314.96] 你说老师这个有什么用
[01314.96-01318.00] 因为在烤边际小用的时候就会把边际小用的
[01318.00-01320.28] 变化规刃和总绣的变化规刃混小
[01320.28-01321.40] 他就往往就会说
[01321.40-01324.72] 说编辑校是先跟后简的那种说话就是错的
[01324.72-01328.12] 所以大家注意一下啊这是在这里面给到了第二句话
[01328.12-01329.72] 那我们同时再来分析一下
[01329.72-01331.76] 你说老实分析编辑校有什么用呢
[01331.76-01334.88] 大家注意一下他其实是对消费者行为去研究的
[01334.88-01336.52] 最消费者他想要的是什么
[01336.52-01339.40] 他就是想花最少的钱想说到最好的服务吗
[01339.40-01341.80] 他就是想自己的买一程度到最大
[01341.80-01344.12] 那从于我们来看一下在这个表格当中
[01344.12-01347.24] 什么时候消费者就说我吃包子这个人
[01347.24-01348.60] 他的买一程度达到最大
[01348.60-01350.16] 是不达到二十的手最大
[01350.16-01351.36] 什么时候是二十
[01351.36-01353.16] 是3的手12时
[01353.16-01354.24] 但是这个时候我们说
[01354.24-01355.16] 它就是最大了吗
[01355.16-01355.72] 不一定
[01355.72-01357.20] 我们还要继续在我后侧梁
[01357.20-01358.92] 看它有没有在增加的可能
[01358.92-01360.52] 于是我们吃了第4个包子
[01360.52-01361.96] 是多少12时
[01361.96-01363.20] 然后我们知道
[01363.20-01364.56] 第4个包子也是12时
[01364.56-01366.64] 那如果我现在在吃第5个包子
[01366.64-01367.88] 手说一个突出来了
[01367.88-01369.00] 那这时候总相有法
[01369.00-01369.72] 会怎么样
[01369.72-01370.36] 下降
[01370.36-01372.64] 所以总相要达到最大的时候
[01372.64-01373.24] 是什么呢
[01373.24-01374.24] 同学标注一下
[01375.40-01376.52] 写上第3句换
[01376.52-01377.32] 第3句换
[01377.32-01379.72] 这是边际秀用维里有人的时候
[01379.72-01385.12] 編輯校有微臉總校用最大
[01391.12-01394.72] 編輯校用微臉的時候總校用最大的
[01394.72-01395.92] 因為到這裡是臉
[01395.92-01397.24] 你看編輯校用是否在這
[01397.24-01398.92] 已經變成臉了到了第四個報紊
[01398.92-01400.44] 第五個時候他就開始
[01400.44-01401.52] 總校也開始下降
[01401.52-01404.12] 總校也開始下降對於消費者的告件是什麼
[01404.12-01406.12] 當你編輯校打到臉的時候
[01406.12-01407.52] 你現在就收手吧
[01407.52-01409.62] 对吧 就像网上收手把他组
[01409.62-01411.32] 你就不要再花钱 不要再消费了
[01411.32-01413.22] 就时候你的买一层都是最高的
[01413.22-01415.42] 你以后再往后如果再多花钱的话
[01415.42-01417.26] 那你就时候你的买一层就会怎么办
[01417.26-01418.22] 就会下降
[01418.22-01420.12] 所以在这里面他给消费者的体制就是
[01420.12-01422.02] 当消费的希望达到最大的时候
[01422.02-01423.92] 就时候就加上只办
[01423.92-01425.42] 杀车吧 不要再花钱了
[01425.42-01426.42] 对吧 那这个时候就是
[01426.42-01429.32] 边际消费零的时候走消有时最大的
[01429.32-01430.52] 总消是最大的
[01430.52-01432.42] 那这是我们所说的第三句话
[01432.42-01434.62] 那当然在边际消的当中还有第四句话
[01434.62-01435.82] 大家一定要注意一下
[01435.82-01437.82] 同时来看一下我这个边境效用呢
[01437.82-01440.30] 它的这个增渏的数值是不太一样
[01440.30-01443.26] 你看边境效用可能是10只低个包子的买程度
[01443.26-01446.06] 第二包子买程度可以是8K19K17
[01446.06-01448.54] 它不一定是按照非常严格的说
[01448.54-01451.18] 減2.3这种等差数列来的
[01451.18-01451.82] 明白了
[01451.82-01454.30] 在这里面这是我们所说的边境效用
[01454.30-01455.50] 它是一路下減
[01455.50-01457.02] 我们能够看到它呈现
[01457.02-01459.42] 地減的这个速度的快慢 对吧
[01459.42-01460.86] 在这里面我们就知道
[01460.86-01461.82] 你说老师为啥
[01461.82-01464.38] 它有的是从10一下子就到5了
[01464.38-01465.38] 有的編列銷案
[01465.38-01466.66] 它是可能是從10到9
[01466.66-01468.26] 編列銷案的地獎的速度
[01468.26-01469.66] 它是有塊 有慢的
[01469.66-01472.22] 為什麼編列銷案的地獎速度有塊有慢呢
[01472.22-01474.06] 同位在旁邊寫上圈四
[01474.06-01475.38] 就是編列銷案
[01475.38-01476.98] 它的一個地獎的速度
[01476.98-01479.38] 也是影響編列銷案的音速
[01480.66-01481.62] 來旁邊
[01481.62-01484.10] 影響編列銷案的音速
[01489.02-01490.62] 影響編列銷案的音速
[01490.62-01491.58] 包括什麼呢
[01491.58-01493.50] 包括最常見的
[01493.50-01494.68] 在旁邊顯上一個因素
[01494.68-01495.74] 就是我們所說的
[01495.74-01497.16] 與消費者的偏好
[01501.42-01503.62] 與消費者的偏好
[01503.62-01505.98] 與消費者的偏好之間是什麼關係呢
[01505.98-01506.86] 大家注意一下
[01506.86-01508.26] 與消費者的偏好就是
[01508.26-01509.82] 如果我對這個東西
[01509.82-01511.86] 寫愛的非常非常的強烈
[01511.86-01512.38] 對吧
[01512.38-01513.58] 那這種情況之下
[01513.58-01514.62] 我們會發現
[01514.62-01516.18] 我寫愛越強烈
[01516.18-01519.10] 邊際需要地檢的速度應該是越慢還是越快
[01519.10-01520.50] 當我寫愛越強烈的時候
[01520.50-01522.38] 我對於這個商品的需求料是
[01522.38-01523.66] 非常非常多的
[01523.66-01526.22] 如果是对于商品的需求量越多
[01526.22-01528.54] 我的买一层度才能被总体的
[01528.54-01530.58] 我们所说的这种买一层度才能够被
[01530.58-01531.86] 我们所说的实现的话
[01531.86-01532.62] 那就意味着
[01532.62-01535.18] 单个商品给我带来的买一层度
[01535.18-01538.50] 它的一个地坚的速度是非常非常小的
[01538.50-01539.74] 也就是说当消费者
[01539.74-01541.34] 偏好特别强烈的时候
[01541.34-01543.10] 我们所说的编辑效用
[01543.10-01544.90] 它的地坚的速度会怎么样
[01544.90-01545.74] 会变慢
[01545.74-01547.22] 因为举个简单例子
[01547.22-01549.46] 比如说我觉得还是一样的特别喜欢马龙
[01549.46-01550.90] 正常人和食品换件事
[01550.90-01552.34] 就已经编辑效能达到最大了
[01552.34-01555.94] 但是我出于对于打球马龙球星的喜爱程度
[01555.94-01556.90] 我太喜欢他了
[01556.90-01560.86] 所以在这里面正常人食品换就是达到宋料最大
[01560.86-01562.02] 就是宋料最大
[01562.02-01562.82] 我得一百平
[01562.82-01565.26] 那你看从食品到100平
[01565.26-01567.10] 100平我的边境宋料才是零
[01567.10-01569.30] 那你就意味着单个商品
[01569.30-01571.14] 他给我带来的买一程度
[01571.14-01573.38] 是不是地坚的速度是变慢的
[01573.38-01574.82] 因为食品他就保了
[01574.82-01576.38] 但是我得喝100平
[01576.38-01577.90] 那我在喝100平的时候你看
[01577.90-01581.50] 我100平我主次地坚的速度就一定会变慢
[01581.50-01583.54] 所以当消费者片和越强烈的时候
[01583.54-01585.14] 边际需要用地坚越慢
[01585.14-01588.86] 所以消费者片和越边际需要的是什么相关呢
[01588.86-01589.70] 是正相关
[01589.70-01592.34] 所以消费者的片号是正相关
[01596.50-01598.74] 于消费者的片号是正相关
[01598.74-01599.70] 所以大家注意一下
[01599.70-01601.98] 当然它也考察过影响边际
[01601.98-01603.54] 效用的一些其他的因素
[01603.54-01605.86] 比如说这个产品的重要程度
[01605.86-01607.14] 它的可替代性等等
[01607.14-01608.38] 但是考的最多的就是
[01608.38-01610.02] 于消费者片和之间的关系
[01610.02-01611.90] 所以大家注意一下,这是边际效用
[01611.90-01616.90] 所以边际效用在这里面,一共四个烤点,第一个要知道效用,代表是买一程度
[01616.90-01622.90] 第二个呢,就边际效用,它是一路地減的,而总效用,它是先增后減的
[01622.90-01625.58] 所以要去分边际效用和总效用
[01625.58-01630.46] 第三个呢,就是边际效用为零的时候,总效用是最大的
[01630.46-01635.10] 第四个呢,就是,与消位者的偏后,成正相关
[01635.10-01639.14] 这四个点,大家注意一下,在之前的考试过程中考察过一次什么呢
[01639.14-01641.66] 在之前考试当中考察过一个综合体目
[01641.66-01644.40] 以下关于边境效应说法增求或错误的事
[01644.40-01647.28] 像这里面的我给大家挖出来的这四个考电选项
[01647.28-01649.74] 当时都是需要卓重去分析的重点
[01649.74-01652.84] 这是第一个考察方式考综合性的挺物
[01652.84-01655.94] 那他又第二种考察方式在这里考的是比较多的
[01655.94-01659.86] 就是什么 就是我们所说的经济学现象
[01659.86-01662.42] 或者叫做考察一些生活当中的案例
[01662.42-01663.94] 所以他在考试的角度上
[01663.94-01666.34] 我在这里给他标注一下他的考察
[01666.34-01669.98] 第1個考察中和性的題目
[01669.98-01672.82] 便理解分析是對概念的理解分析
[01672.82-01674.98] 第2個考察的就是安立
[01676.98-01679.70] 安立當中比較常見的
[01679.70-01680.98] 比如說他說了
[01680.98-01682.98] 我們經常就會說到一句話
[01682.98-01683.50] 叫做
[01683.50-01686.50] 比如說你聽到一個特別香的這種房子當中
[01686.50-01688.94] 叫做九而不文奇香
[01693.22-01694.54] 九而不文奇香
[01694.54-01697.22] 说为什么会出现九尔部门其箱这种情况呢
[01697.22-01699.18] 那就是因为存在边际兄弟姐
[01699.18-01701.62] 你进去债一闻的手术挖好箱啊
[01701.62-01703.14] 对吧 待着在里面待时间长了
[01703.14-01705.62] 你就觉得那个箱儿对你的自己成功不高了
[01705.62-01708.22] 所以在这里他提到一个九尔部门其箱的原因
[01708.22-01711.70] 就是因为边际兄弟姐之后我们再加主罗斯粉是一个概念
[01711.70-01712.74] 对吧 我最开始的时候
[01712.74-01713.86] 我不太吃罗斯粉了
[01713.86-01716.06] 因为我觉得他那个味道 我接受不了了
[01716.06-01718.78] 但自从我主罗之后我就怎样爱吃它
[01718.78-01719.94] 原因就是在于什么
[01719.94-01723.30] 我主的时候低口的时候我把东西放进生活的天呢
[01723.30-01725.06] 我的投概股都快过先开了
[01725.06-01726.90] 但是我越在那带越在那带
[01726.90-01728.26] 我反而闻罗他的臭门了
[01728.26-01730.38] 我吃起来我觉得妈也这个东西好像啊
[01730.38-01730.82] 对吧
[01730.82-01732.54] 那其实到底是一样的
[01732.54-01735.18] 所以在这里面你看出现了什么久而不问题相了
[01735.18-01737.06] 就出现这种边境效用地坚
[01737.06-01739.22] 它就会结合这种我们所说的什么
[01739.22-01740.50] 这种现象来考察
[01740.50-01741.46] 这是第一个啊
[01741.46-01743.26] 这不是不问题相比较长好的
[01743.26-01744.94] 你就记住这个模型
[01744.94-01745.94] 这个按利模型啊
[01745.94-01746.74] 这是第一个
[01746.74-01748.26] 那第二个按利模型是什么呢
[01748.26-01750.70] 就是和生活当中的一些
[01750.70-01754.34] 常见的一些生活现象结合在话就是自助餐
[01758.34-01759.46] 把这个鞋的旁边
[01759.70-01761.58] 这是自助餐
[01761.58-01764.06] 你不信你读一下自助餐不太好头
[01764.30-01765.42] 像这种自助餐
[01765.42-01766.26] 它其实是这样的
[01766.26-01767.94] 它说为什么这种自助餐
[01767.94-01769.62] 我们去吃的时候感觉
[01769.62-01770.66] 它不是特别多贵
[01770.66-01771.14] 对吧
[01771.14-01771.50] 你看
[01771.50-01773.86] 就可能是80块钱100块钱
[01773.86-01775.14] 你就能吃得挺好的
[01775.14-01776.82] 然后它说这种自助餐
[01776.82-01777.46] 它不贵
[01777.46-01779.34] 但是它能有利的原因是什么的
[01779.34-01780.34] 就是因为
[01780.34-01783.30] 这个电加它拿捏住了一个进去学的原理
[01783.30-01784.38] 就是编辑交用
[01784.38-01784.90] 第一件
[01784.90-01786.82] 咱们当时去吃这个自入餐的时候
[01786.82-01787.90] 当然怎么想的是
[01787.90-01789.46] 如果花超过一百五成块钱
[01789.46-01790.46] 为了这个自入餐
[01790.46-01792.06] 其实是稍微价格
[01792.06-01794.98] 它其实是稍微有一点偏
[01794.98-01796.10] 中能以上的
[01796.10-01796.46] 对吧
[01796.46-01799.10] 那如果是150到200左右的自入餐
[01799.10-01801.58] 我当时我就在想什么自入餐能这么规定
[01801.58-01802.42] 然后我就在想
[01802.42-01804.18] 我都花了150花了200了
[01804.18-01806.10] 那我进去必须要吃回味
[01806.10-01807.34] 我当时的计划是什么
[01807.34-01808.70] 我当时的计划就是
[01809.02-01809.82] 我一定
[01809.82-01812.82] 在这个里面先吃食盘肉
[01812.82-01814.98] 再吃20盘大箱
[01814.98-01816.38] 再吃30盘高点
[01816.38-01817.62] 再吃40盘水果
[01817.62-01818.82] 反正我就要给它吃回味
[01818.82-01819.94] 这是我的计划
[01819.94-01821.42] 结果进去框框框辣
[01821.42-01822.78] 但是框框辣的时候
[01822.78-01824.34] 你发现我当我把肉
[01824.34-01825.42] 咱们自助考虹
[01825.42-01827.74] 把这个口肉放在这个脸子
[01827.74-01828.62] 是口
[01828.62-01830.26] 第一片中发一磨油的手
[01830.26-01831.54] 然后我真不认识
[01831.54-01832.82] 没随了吃第一块
[01832.82-01834.90] 我天后又感觉我再吃20盘
[01834.90-01836.46] 结果到我吃完第一盘的时候
[01836.46-01837.18] 飙了
[01837.18-01838.14] 吃不下去了
[01838.14-01841.34] 那你看他其实就是利用你的什么边际效用地坚
[01841.34-01842.90] 你吃第一片的时候怎一想
[01842.90-01844.70] 但是你在约我后吃的时候怎么办
[01844.70-01846.90] 你就会越觉得一般把子里板
[01846.90-01848.50] 到最后你保了之后吃不下去了
[01848.50-01850.22] 但你在往下吃保了之后就在往下吃
[01850.22-01851.14] 手就逆着了
[01851.14-01852.78] 你反而可能就要突出来了
[01852.78-01854.62] 所以在这里面他为什么能够赚钱
[01854.62-01856.50] 他就拿你住了你的这种什么
[01856.50-01858.86] 你的这种消费的这种习惯
[01858.86-01861.98] 所以他就是利用边际效用地坚来赚钱的
[01861.98-01863.66] 那说老师他就做了那吃外
[01863.66-01864.06] 对吧
[01864.06-01865.70] 那是吃到他黄铺的得了
[01865.70-01867.78] 大主要很多自入餐厅
[01867.78-01870.84] 尤其是你看我之前吃的自助的那个
[01870.84-01872.84] 顺川还是那个座啥来
[01872.84-01875.46] 就是一川川的在锅里那个
[01875.46-01877.26] 我把肉汪汪啥啥没有了
[01877.26-01878.80] 就是吃那个东西
[01878.80-01880.58] 它是自助的
[01880.58-01881.86] 它然味道确实很好
[01881.86-01883.64] 当时是200块钱的一位
[01883.64-01885.44] 但是它家现实
[01885.44-01886.98] 言说它吃的时候
[01886.98-01889.02] 你就说一个半号神移的吃完这出来
[01889.02-01890.82] 吃完了 把这个一个半号是
[01890.82-01891.84] 以后你也得出来
[01891.84-01895.42] 所以你看它有力它就是低一个拌据了你的这个
[01895.42-01897.66] 編輯效用的地檢的習慣
[01897.66-01898.78] 對吧 或者是這個規律
[01898.78-01899.78] 那第二樣的就是什麼
[01899.78-01900.78] 它會給你現實
[01900.78-01902.62] 這種情況這要踏不斷顯示專前
[01902.62-01905.66] 所以在這裡這是我們所說的編輯效用
[01905.66-01906.66] 所以在這裡面
[01906.66-01908.38] 第一個理解編輯效用
[01908.38-01909.50] 在這個地方
[01909.50-01911.22] 理解編輯效用
[01911.22-01912.50] 能夠用對中文性提目
[01912.50-01914.06] 第二個 把它用到生活當中去
[01914.06-01916.42] 要我們就是會結合顧而來考察
[01916.42-01918.06] 要我們就會結合生活安慮來考察
[01918.06-01919.46] 最常考的就是這兩個
[01919.46-01921.02] 把這兩個模型記住
[01921.02-01923.50] 編輯效用就沒有什麼太大的問題了
[01923.50-01924.34] 好
[01924.34-01926.70] 這是我們所說的堅訊名詞
[01926.70-01928.68] 絕對的良心幾道重點
[01929.96-01931.90] 這是第一個編輯效用
[01931.90-01934.34] 第二個最叫做機會成本
[01934.34-01935.70] 機會成本說的是啥
[01935.70-01937.92] 他說個人或企業從事
[01937.92-01941.30] 抹上經活動而放棄其他經活動當中
[01941.30-01942.58] 所獲得最大獸業
[01942.58-01943.42] 跑後面一句話
[01943.42-01944.94] 他說為了得到某種東西
[01944.94-01946.22] 而所要放棄另一些東西
[01946.22-01946.74] 是什麼
[01946.74-01949.34] 最大價值就叫做機會成本
[01949.34-01951.94] 首先在這裡我們要從兩個角度去分析它
[01951.94-01953.46] 首先第一個就是大家知道
[01953.46-01954.86] 机会成本机会成本
[01954.86-01956.18] 就是你使用器的
[01956.18-01957.02] 另一个机会
[01957.02-01959.90] 它可能给你带来的结果去上做机会成本
[01959.90-01960.94] 举个简单的例子
[01960.94-01963.30] 比如说它所说的
[01963.30-01965.86] 放弃其它经货的所货的最大效益
[01965.86-01967.26] 其实本质量值得是什么呢
[01967.26-01968.74] 就是你有相同的
[01968.74-01970.30] 我们所说的这个要素
[01970.30-01972.82] 当你去把这个要素用在去做A
[01972.82-01974.06] 而不去做B的时候
[01974.06-01976.82] 那这个时候就必然会有一定的損失
[01976.82-01979.22] 这个要素就包括你的时间
[01979.22-01981.26] 充钱等等这些东西
[01981.26-01983.02] 那我们就以时间为利
[01983.02-01988.38] 比如说我周六今天我有一天的时间
[01988.38-01991.06] 这一天的时间就是我的时间要素
[01991.06-01992.54] 这一天我都能来干嘛
[01992.54-01996.58] 比如说今天我可以出去发唇单
[01996.58-01998.74] 假设我今天可以出去发唇单
[01998.74-02002.94] 我出去发唇单的话在这里面我一天可以抓一百块钱
[02003.94-02004.98] 我今天还可以干嘛呢
[02004.98-02006.86] 我还可以去街头卖唱
[02006.86-02009.06] 去街头唱歌卖唱
[02009.06-02012.54] 在我们所说的我所在地的街头走一走 摸一摸
[02012.54-02013.10] 对吧
[02013.10-02014.46] 然后我就可以去唱歌
[02014.46-02015.02] 我一唱
[02015.02-02017.70] 我再马路边唱歌我一天能照时
[02017.70-02019.14] 那我不唱过还能干嘛呢
[02019.14-02021.54] 我还能够出去给人家画画像
[02022.66-02023.66] 画画像
[02023.66-02024.42] 画画像呢
[02024.42-02025.38] 一张画三分钱
[02025.38-02026.98] 假设我一天就花一张画
[02026.98-02027.58] 三十
[02027.58-02029.14] 那我也可以再加干嘛呢
[02029.14-02030.58] 再加选择给大家讲课
[02030.58-02032.54] 给大家讲课
[02032.54-02034.86] 那我给大家讲课的话
[02034.86-02035.50] 免费的嘛
[02035.50-02036.06] 咱这个课
[02036.06-02036.30] 对吧
[02036.30-02037.38] 而且讲的这些
[02037.38-02039.14] 我不知道大家的三年吗
[02039.14-02041.54] 所以我在这里给大家讲课
[02041.54-02042.74] 我家让给大家讲课
[02042.74-02044.18] 收入多少呢 零人
[02044.18-02045.30] 那大家来看一下
[02045.30-02047.14] 我这一天可以做的事情很多
[02047.14-02050.02] 可以发传的唱歌话话给大家讲课
[02050.02-02051.70] 那我如果一旦做出选择
[02051.70-02054.58] 我现在选择给大家在家中进行讲课
[02054.58-02056.02] 那什么叫做机会成本呢
[02056.02-02058.10] 叫做放弃相同
[02058.10-02060.42] 叫做放弃生产要素所
[02060.42-02062.82] 进行其他生产所获得的最大报仇
[02062.82-02064.42] 也就是当我在这里面
[02064.42-02065.70] 当我选得给大家讲课
[02065.70-02068.52] 我同时要放弃发传倦唱歌和话话
[02068.52-02070.04] 我的机会成本是什么呢
[02070.04-02073.64] 是我放弃使用相同要素所获得的最大价值
[02073.64-02075.80] 最大价值就是这里面的什么
[02075.80-02076.96] 发传单
[02076.96-02078.42] 所以这个时候大家注意一下
[02078.42-02081.66] 所谓的机会成本是放弃使用相同要素
[02081.66-02083.36] 写的旁边它的概念
[02084.38-02085.96] 考试的时候经常会考这句话
[02085.96-02090.34] 就放弃使用相同要素
[02094.06-02095.66] 所获得的最大价值
[02095.70-02099.70] 所以这就是我们所说的机会成本了
[02099.70-02102.70] 叫放弃神兴红要素所获得最大价值
[02102.70-02104.70] 所以在这里第一个考干净大家知道
[02104.70-02108.70] 它的概念有的时候就会在我写的这句话当中来出
[02108.70-02110.70] 第二个就是考理解型的题目
[02110.70-02112.70] 在这里面我刚才说了
[02112.70-02116.70] 机会成本它不是所有的我们所说的这些数的加综
[02116.70-02117.70] 机会成本只是这里面的最大
[02117.70-02119.70] 如果我选择在家中给大家讲课的话
[02119.70-02121.70] 那我发传单
[02121.70-02124.52] 如果我选择加终给大家讲课的话
[02124.52-02128.74] 我发传单就是我给大家讲课的什么机会成本
[02128.74-02131.94] 所以在这里面机会成本代表就是最大的收益
[02131.94-02133.58] 所以在这里面大家注意一下
[02133.58-02135.02] 这个最大的收益这个子
[02135.02-02136.62] 他就会考一个理解形和题目
[02136.62-02138.46] 说小明映他有一些块钱
[02138.46-02142.02] 他能够去用做A也能够去用做B也能够去用做C
[02142.02-02144.16] 他说那他如果选择了做B的话
[02144.16-02146.46] 在这里面他的机会成本是多少
[02146.46-02148.62] 那就比一个A和C里面打的最大
[02148.62-02149.02] 对吧
[02149.02-02150.18] 所以你就去比较
[02150.18-02151.94] 你把你选的那个滑掉
[02151.94-02153.86] 然后在圣形的那个当中去选
[02153.86-02155.06] 最大的就可以了
[02155.06-02158.50] 所以在这里面他会靠具体的理解行的题目
[02158.50-02160.82] 给案例让你去判断他的机会成本事
[02160.82-02162.10] 多少这边个
[02162.10-02163.54] 那还有一个第三一个点
[02163.54-02166.14] 第三个点的其实也偏向理解行题目的靠产
[02166.14-02168.38] 但是我们要理解他才能选出来
[02168.38-02170.22] 有时我们现在要思考一个问题
[02170.22-02172.66] 为什么会存在机会成本呢
[02172.66-02174.66] 比如说我就以周六这一天的一些
[02174.66-02176.10] 那为什么这周六这一天
[02176.10-02178.26] 我会产生一百块钱的发传单的
[02178.26-02179.18] 就像有个经济成本的
[02179.18-02182.10] 主请为一天的时间是有限的
[02182.10-02183.98] 我要给大家去讲知识点
[02183.98-02185.94] 我在这里就没有办法去发传单了
[02185.94-02188.78] 因为时间在一天当中是有限的
[02188.78-02190.58] 所以在这个过程当中
[02190.58-02192.06] 我必须要做出选择
[02192.06-02193.38] 而我要做出选择的话
[02193.38-02195.42] 就意味着一定要付出代价
[02195.42-02197.74] 所以机会成本产生的原因是什么
[02199.02-02200.90] 同时因为时间有限
[02200.90-02202.22] 这个时间代表了什么
[02202.22-02203.34] 代表是资源
[02203.34-02205.46] 所以机会成本产生的原因
[02205.46-02207.82] 就是资源是西缺的
[02207.82-02210.90] 还是前面的句话,这是资源是有限的
[02210.90-02212.62] 而一旦资源是有限的
[02212.62-02216.54] 我要选择,就必须要付出代价
[02218.30-02221.14] 只要我做选择,他就必须要付出代价
[02221.14-02223.54] 而你付出的代价是什么同学们
[02223.54-02227.42] 你付出的代价就是你的机会成本
[02227.42-02229.46] 这句话非常重要,你一定要理解他
[02229.46-02230.82] 有选择就会有代价
[02230.82-02233.62] 你付出的代价就是你的机会成本
[02233.62-02236.22] 只问你付出代价,他可能是有集中可能性
[02236.22-02237.62] 但你这个代价就是你
[02237.62-02240.22] 放异使用相同要素所获得的最大收拾
[02240.22-02242.22] 那最后里面就是我们所说的什么
[02242.22-02244.02] 代价,你付出带来机会成本
[02244.02-02246.02] 我为什么反送给他强调这个点
[02246.02-02248.02] 在有一个地区的施的那位考试
[02248.02-02250.62] 我忘了是在山东还是在四川了
[02250.62-02252.02] 考卫一个题目
[02252.02-02253.22] 考卫题目当时考的什么
[02253.22-02254.62] 说你和你的朋友在下期
[02254.62-02257.02] 然后在下期的时候你的其字可以下在A
[02257.02-02258.02] 也可以下在B
[02258.02-02260.42] 那你下在A就影像在B就说结果
[02260.42-02261.82] 你就选择下在了B
[02261.82-02264.62] 下在了B出导致整盘体也你说了
[02264.62-02266.86] 然后他说你的旗子选择下在币
[02266.86-02269.10] 从而导致结果输了
[02269.10-02271.34] 这时候他体现的进学院里是什么
[02271.34-02273.98] 我们说了你的旗子可以下A可以下币
[02273.98-02275.90] 但是你要在其中做出选择
[02275.90-02277.34] 一旦选择就会有带价
[02277.34-02278.70] 当你选择币的时候
[02278.70-02280.22] 其实你就是放弃了哪个
[02280.22-02282.70] 放弃了A这个贬的价值
[02282.70-02283.18] 对吧
[02283.18-02285.02] 所以选择就会有带价
[02285.02-02287.26] 下旗如此不一一如此
[02287.26-02288.70] 所以在这里面大家注意下
[02288.70-02289.98] 我就在旁边写上
[02289.98-02291.90] 咱们考过的经典的案例
