[00000.00-00002.68] 我们看完了生物技术我们再来看一看
[01143.92-01146.60] 同期相似的這種原理
[01147.60-01148.56] 所以運用的是
[01148.56-01150.24] 同性相似的原理
[01150.56-01151.80] 證實說不對
[01151.80-01153.48] 我們默认它是對的
[01154.12-01156.04] 在考試說默认它是對的
[01156.04-01156.84] 所以在這裡
[01156.84-01159.38] 它的詞元服性或者同性相遲的原理
[01159.38-01160.80] 我們默認它是對的
[01160.80-01163.20] 所以這是第二的它的原理
[01163.20-01165.20] 第三一個就是我們所說的
[01165.20-01169.00] 那詞元服列車它其實就是在這裡面就會有道
[01169.00-01170.92] 那詞元服列車它沒有接觸
[01170.92-01173.12] 那它如何實現這個列車的運行呢
[01173.12-01177.56] 那就是詞元服列車它必須有三大系統來完成這個列車的運行
[01177.56-01181.56] 那這三大系統分別包括我們所說第一個叫做詞元服系統
[01181.56-01183.56] 第二叫做推進系統
[01183.56-01186.68] 第三一個就叫做我們所說的道相系統
[01186.68-01190.68] 由这三大系统来完成我们所说的
[01190.68-01193.04] 全服务列车它的一个运行
[01193.04-01196.28] 第一次一个就是在车服列车上大家知道
[01196.28-01198.04] 全服列车手条
[01199.64-01200.60] 是在哪呢
[01201.80-01204.60] 但这一下手条是在我们所说的长山
[01204.60-01208.20] 所以在这里面这是次全服务列车
[01208.20-01209.88] 这个是和操刀材料
[01209.88-01210.52] 有关的
[01210.52-01211.52] 所以我也操刀材料
[01211.52-01212.76] 同时去掌握它的时候
[01212.76-01214.68] 其实就是这么几个点
[01214.68-01216.20] 第一个操刀现象
[01216.20-01218.00] 第二就是它的用用
[01218.00-01219.00] 它用用
[01219.00-01219.28] 好
[01219.28-01220.40] 这个就是我们所说
[01220.40-01222.20] 第二材料是要超到材料
[01222.20-01224.12] 大家知道是非常了不起的一项
[01224.12-01226.12] 第三个就是我们所说的叫做
[01226.12-01226.92] 耐米材料
[01226.92-01228.84] 我们刚才提到金工程
[01228.84-01230.84] 耐米科技还有人工智能
[01230.84-01232.92] 是21世纪的三大典件技术
[01232.92-01233.16] 对吧
[01233.16-01234.76] 其中就提到我们所说的
[01234.76-01236.80] 耐米材料或者是耐米科技
[01236.80-01238.40] 那么来看一下这里面的
[01238.40-01240.52] 耐米材料会耐米科技说的是什么
[01240.52-01241.80] 它说首先第一个
[01241.80-01243.60] 要了解耐米材料会耐米科技
[01243.60-01245.64] 我们先知道什么叫做耐米
[01245.64-01249.68] 所以那米大駐一下它那米本身和无所说的好米
[01249.68-01250.96] 微米里米是一样
[01250.96-01252.44] 它是一种长护单位
[01252.44-01253.88] 考设的时候考什么呢
[01253.88-01256.16] 说是一那米的多少米大駐一下
[01256.16-01258.76] 一那米的时的副酒次方米
[01258.76-01263.20] 也就是它相当于十一分之一米
[01263.20-01264.96] 你说老师要这么精确吗
[01264.96-01265.76] 要这么精确
[01265.76-01267.84] 之前考过一个体
[01267.84-01269.28] 那个体考的就是说
[01269.28-01272.96] 一那米它的于一一分之一米
[01272.96-01274.88] 通过的当时都给我选对了
[01274.88-01276.16] 我当时看到这个题
[01276.16-01277.60] 我说怎么还都对了呢
[01277.60-01278.64] 同时班受受所
[01278.64-01279.20] 老师你看
[01279.20-01280.00] 九位数
[01280.00-01280.80] 富有次方
[01280.80-01282.44] 各十百千万
[01282.44-01283.64] 十万百万
[01283.96-01284.68] 千万
[01284.68-01285.12] 一
[01285.12-01285.96] 你说老师
[01285.96-01286.64] 九位数
[01286.64-01287.56] 不就是到意吗
[01287.56-01288.24] 但是你想一下
[01288.24-01289.36] 他前面还有个时呢
[01289.36-01290.56] 也就是在这里面
[01290.56-01291.44] 是我们所说的什么
[01291.44-01292.76] 十位数到十一
[01292.76-01293.52] 所以在这里
[01293.52-01295.28] 他是十一分之一秘
[01295.28-01296.84] 而不是我们所说的什么
[01296.84-01298.08] 而不是我们所说的
[01298.08-01299.20] 一一分之一秘
[01299.20-01300.28] 这个点
[01300.28-01301.84] 你一定要给我去问清楚
[01301.84-01303.64] 因为考试的时候当时考过这个点
[01303.64-01304.20] 所以大家知道
[01304.20-01305.00] 第一个
[01305.00-01306.50] 这是耐米它的长度
[01306.50-01308.40] 就相当于时的副有次方
[01308.40-01309.00] 米脸
[01309.00-01310.08] 这是第一个
[01310.08-01311.80] 热老师这是什么概念呢
[01311.80-01312.44] 这个概念了
[01312.44-01314.20] 他后面也说了说一大米就相当于
[01314.20-01315.96] 头发直径的万分之一
[01315.96-01317.40] 就是非常小的
[01317.40-01318.40] 这样一个单位
[01318.40-01320.68] 他研究这么小的单位的意义在什么呢
[01320.68-01321.44] 就是在于
[01321.44-01322.64] 我们会发现科学家
[01322.64-01326.00] 他其实是治力于通过分子和原子的改造
[01326.00-01328.40] 或者是对于分子和原子的研究
[01328.40-01331.00] 从而去改造我们所说的这个世界
[01331.00-01332.00] 那我们说了
[01332.00-01334.60] 那研究我们所说的那米极的
[01334.60-01337.08] 也是分子原子概念当中的
[01337.08-01338.52] 我们所说的一些科学技术
[01338.52-01340.20] 我们就把它称之为叫做什么
[01340.20-01341.08] 那米极说
[01341.08-01342.64] 所以那米极说在这里就给到了
[01342.64-01344.68] 说那米科学是研究
[01344.68-01347.08] 1-100米之间的
[01347.08-01349.64] 原子分子和其他我们所说的
[01349.64-01351.72] 内形物质的运动和变化的什么
[01351.72-01352.48] 学科
[01352.48-01354.48] 这个就叫做那米科学
[01354.48-01357.20] 也就是科学家就治了于研究这种微小的
[01357.20-01359.32] 单位研究他们的运动变化特效
[01359.32-01360.52] 从来改变世界
[01360.52-01362.16] 这个就叫做耐米科学
[01362.16-01364.24] 所以耐米科学的研究范围是多少呢
[01364.24-01366.36] 是一百大米之间
[01366.36-01367.64] 一到一百大米之间
[01367.64-01369.44] 这个就是我们所说的耐米科学
[01369.44-01372.72] 耐米科学我们经常以后在小说当中去看到它
[01372.72-01376.76] 耐米科学或者是耐米技术的最常见的就是耐米材料
[01376.76-01378.96] 耐米技术一旦被掌握了之后
[01378.96-01383.00] 只是让人类感觉到非常精彩的一项技术
[01383.00-01386.16] 大家其实在三体当中也应该还记得
[01386.16-01388.84] 在三体当中的三体人为了禋灭 对吧
[01388.84-01390.12] 然后閃爆整个宇宙
[01390.12-01391.64] 他为什么这么害怕
[01391.64-01392.92] 就是因为我们所说的
[01392.92-01393.64] 什么技术
[01393.64-01394.84] 就是因为我们所说的这个
[01394.84-01395.64] 那我们技术
[01395.64-01397.64] 这三点当时是害怕的是这种
[01397.64-01399.32] 那我们技术之下所形成的
[01399.32-01400.44] 太空电梯 对吧
[01400.44-01402.76] 因为一旦建造了太空电梯之后
[01402.76-01404.84] 那地球就可以突破现有的
[01404.84-01406.68] 这样的一个限制
[01406.68-01409.32] 在太空进行我们所说的军事防御
[01409.32-01411.88] 这才是让当时的三体人比较害怕的 对吧
[01411.88-01415.16] 而这里面太空电梯建造非常关键的一个材料
[01415.16-01415.88] 就是什么呢
[01415.88-01417.16] 就是那里材料
[01417.16-01419.52] 所以在这里再要注意
[01419.52-01421.08] 那其实耐料在电影当中
[01421.08-01422.44] 除了三体里面有提到
[01422.44-01423.96] 你看像我们所说的这个
[01423.96-01425.20] 副头这联盟
[01425.20-01427.76] 刚给想它其实是不是后来的
[01427.76-01430.16] 它的那个战医也是耐料来怎么样
[01430.16-01432.40] 耐料来演至出来的
[01432.40-01434.16] 所以在这里面大家要注意一下
[01434.16-01436.40] 耐米材料又可以做太空电梯
[01436.40-01438.36] 然后又可以做我们所说的这个
[01438.36-01439.68] 耐料的战医
[01439.68-01440.96] 那它主要得预什么呢
[01440.96-01442.80] 它主要就是得预用所说的
[01442.80-01444.48] 耐米材料它的特性
[01444.48-01446.96] 耐米材料它的特性有什么呢
[01446.96-01447.68] 大家注意一下
[01447.68-01450.00] 它的彩特性其实是有两个方面的
[01450.00-01452.44] 那么彩料的第一个特性就是三高
[01453.92-01457.04] 你说老师高血糖高血指高血亚可不敢了
[01457.04-01458.40] 这三高是什么呢
[01458.40-01460.56] 这三高是高强度
[01462.08-01463.92] 那注意是高强度
[01463.92-01465.76] 还有高密度
[01467.92-01469.36] 还有我们所说的什么
[01469.36-01470.96] 高抗军
[01474.24-01476.88] 是高强度高密度和高抗军
[01476.88-01479.56] 这里面的高强度就是我们刚才所说的
[01479.56-01480.20] 强度很高
[01480.20-01482.96] 比如说刚才那个这样一战亿能考虑着灭霸
[01482.96-01485.24] 而它也能够我们所说的什么呢
[01485.24-01486.60] 自作太空电梯
[01486.60-01488.40] 那个太空电梯不就是你在地球上
[01488.40-01489.80] 按一下就给你送到月球嘛
[01489.80-01490.88] 那它在这过程当中
[01490.88-01492.12] 它需要的那个是什么
[01492.12-01493.44] 它需要的那个管道
[01493.44-01494.60] 或者那个蓝神
[01494.60-01496.32] 它能够从地球上
[01496.32-01497.48] 转一个东西都太空
[01497.48-01499.08] 它的强度一定要很大才行
[01499.08-01500.52] 你不然说拉到一半拉断了
[01500.52-01501.40] 这个才行
[01501.40-01503.32] 所以首先第一个就是它的什么
[01503.32-01504.52] 强度非常高
[01504.52-01505.32] 强度非常高
[01505.32-01506.08] 这是第一个
[01506.08-01509.80] 那第二就是它具有一定的特性叫做高密度
[01509.80-01512.88] 它的这个高密度就可以用作防水防潮
[01512.88-01515.72] 它的这种高密度導致的结果就是使暖的材料具
[01515.72-01518.84] 不沾水不沾有和不沾灰的这种特性
[01518.84-01522.00] 也就是说如果说用暖的材料来制作箱的
[01522.00-01524.40] 比如说电子远家製作我们的衣服
[01524.40-01525.80] 製作我们的参举的话
[01525.80-01527.00] 那这种情况之下
[01527.00-01529.44] 它不沾有不沾灰不沾水
[01529.44-01533.20] 那就意味着它可以耐增非常非常耐增
[01533.20-01534.28] 所以这是它的高密度
[01534.28-01536.04] 而它的高抗菌也是一樣的
[01536.04-01539.32] 它可以用在環保食品和醫療當中
[01539.32-01540.92] 環保食品和醫療當中
[01540.92-01541.96] 那這是我們所說的
[01541.96-01543.72] 耐米材料它的特性
[01543.72-01544.44] 這是第一個
[01544.44-01546.92] 這三高高強度高密度和高抗菌
[01546.92-01548.04] 這裡面的高密度
[01548.04-01550.60] 呈現出來就是不只安油不只安復不只安復
[01550.60-01553.24] 這種電視工廣告我記得之前總演過
[01553.24-01556.04] 電視工廣告就說給它那個手機度上納明盒
[01556.04-01557.16] 然後度上納明盒之後
[01557.16-01558.76] 然後把那個手機爭到水頭臉
[01558.76-01560.76] 然後你給那個手機打電話那個手機
[01560.76-01561.72] 一點事沒有
[01561.72-01563.32] 又或者是左麦那种 什么呢
[01563.32-01564.80] 防桑的那种噴木
[01564.80-01568.12] 我不知道答案没有在电视公路的频道看到过这种
[01568.12-01569.62] 噴木防桑的噴木就是
[01569.62-01570.72] 它找了两个人
[01570.72-01571.72] 找了两个人之后
[01571.72-01573.42] 然后就给这两个人身上去噴
[01573.42-01575.32] 一个呢 噴一个什么都没噴
[01575.32-01577.12] 那一个噴它叫做納米噴木
[01577.12-01578.62] 我以为不要是真的是假的
[01578.62-01579.82] 然后给那一噴之后
[01579.82-01581.32] 它就拿了两统酱油
[01581.32-01582.82] 往这两个人身上去噴
[01582.82-01584.72] 然后那个身上啥也没噴的那个人呢
[01584.72-01586.12] 就被酱油打施了
[01586.12-01587.12] 然后另外一个人呢
[01587.12-01589.12] 就是噴了納米噴木的那个人
[01589.12-01590.12] 然后它呢
[01590.12-01592.40] 身上降游一点没关
[01592.40-01595.04] 就是一个一个小露珠的那种感觉
[01595.04-01596.68] 然后拆一拆就干净了
[01596.68-01598.88] 这个其实就是运用了它的什么
[01598.88-01600.64] 它的这个合夜表面的特效
[01600.64-01602.80] 就不沾油不沾回不沾水
[01602.80-01604.56] 而它就和夜表面的特效
[01604.56-01606.48] 就来自于它的高密度
[01606.48-01609.40] 可以防水,可以防炒
[01609.40-01611.08] 第三个就是高抗军
[01611.08-01612.68] 如果就是用那米材料具
[01612.68-01614.08] 只做相的东西的话
[01614.08-01616.60] 比如说制作冰箱,制作参举
[01616.60-01618.36] 它其实记忆就不太会装了
[01618.36-01621.36] 我们就可以实现不习一幅的这样一个要求了
[01621.36-01624.36] 这是耐米材料它的一个特性
[01624.36-01625.36] 耐米材料特性
[01625.36-01626.36] 大家注意一下 只第一个
[01626.36-01628.36] 第二个就是在这里面无所说的
[01628.36-01631.36] 耐米材料特性之外的耐米材料
[01631.36-01632.36] 它哪些应用呢
[01635.36-01638.36] 这个应用呢其实我们刚才讲了一个
[01638.36-01640.36] 这是在石墨西里面去讲了一个
[01640.36-01641.36] 我们说了石墨西
[01641.36-01643.36] 它是那种平坤的那种
[01643.36-01645.36] 六边形的这种
[01645.36-01647.36] 我们所说的风潮式的网状结构
[01647.36-01649.60] 我给吧 但是如果说把这个石墨吸给他
[01649.60-01652.92] 这种六边形的风传的平面的网状就给他据起来
[01652.92-01654.28] 据起来之后他就会变成什么呢
[01654.28-01655.76] 他就会变成贪闭馆
[01659.36-01661.12] 他就会变成贪闭馆
[01661.12-01662.80] 老人贪闭馆长闪药呢
[01662.80-01663.68] 就是这个样子
[01663.68-01667.12] 就是原本的石墨吸他是一层导片嘛
[01667.12-01668.64] 像把这个石墨吸据起来
[01668.64-01669.84] 他就可以变成这种
[01669.84-01670.96] 这是这种形状
[01670.96-01672.64] 这个就叫做贪闭馆
[01672.64-01674.56] 他贪闭馆他其实就是什么
[01674.56-01678.68] 它就是製作太空电梯当中非常重要的一个原料
[01678.68-01680.44] 这是我们所说的第一个它的应用
[01680.44-01683.88] 第二它的应用就是我们所说这个耐米材料还可以用做什么呢
[01683.88-01685.68] 我们所说的复乐吸
[01685.68-01687.40] 这两个点同们注意啊
[01687.40-01689.92] 你只需要有一个基本概念就行了
[01689.92-01691.56] 它在考试的时候
[01691.56-01692.64] 它不会说啊
[01692.64-01693.20] 然后说啊
[01693.20-01695.80] 什么耐米材料它的具体表现是什么
[01695.80-01698.00] 然后让你选是耐米搞不还是复乐吸
[01698.00-01699.40] 你不需要去记这两转名
[01699.40-01700.60] 紫指需要有个印象说
[01700.60-01701.52] 这个耐米材料
[01701.52-01703.32] 它可以用在多方用土
[01703.32-01705.32] 一旦选上到中给到这两个概念
[01705.32-01706.68] 你不默生就行
[01706.68-01708.76] 你只要做到这两个概念不默生就行
[01708.76-01710.28] 所以第二就是附了西
[01710.28-01711.96] 附了西也叫做足球西
[01711.96-01713.16] 比如说在这
[01713.16-01714.20] 他长得像个啥呢
[01714.20-01715.36] 他长得像个球
[01715.36-01716.20] 这是这种啊
[01716.20-01717.64] 这是这种足球西
[01717.64-01719.24] 那像我们所说的这种足球西
[01719.24-01720.76] 或者附了西他可以干嘛呢
[01720.76-01722.76] 就是你看他这个球上面
[01722.76-01725.08] 其实可以去放一些其他的东西
[01726.84-01728.36] 放一些其他的东西元素
[01728.36-01730.04] 比如说生物学家会一学家
[01730.04-01731.64] 就会在这上面放一些什么呢
[01731.64-01736.38] 放一些索索的其他的用于治療癌症的症研肅
[01736.38-01742.00] 它就可以把这个幅乐些用于做抗种流的这些用物
[01742.00-01747.26] 把原本的埋系方给它困起来困起来中央困在我们所说的这个幅乐西方中
[01747.26-01751.36] 这里就能够实现我们所说一直种流声长的作用
[01751.36-01753.28] 所以在这里面它的用用
[01753.78-01755.96] 就是幅乐西是比较长线
[01755.96-01758.72] 它难道是我们所说的太空点替
[01758.72-01762.20] 这是我们所说的耐米材料它的一个具体的应用
[01762.20-01763.32] 这是第二个点
[01763.32-01765.88] 那第三个点就是在有的考试当中
[01765.88-01767.44] 我们也认识到一个点
[01767.44-01771.80] 但现在我们说了耐米技术它其实正向的用途有很多
[01771.80-01775.12] 我们也在针对于这个耐米去做不断的这样的一个晚上
[01775.12-01777.48] 但是在考试当中它还会考到一个点
[01777.48-01781.64] 就是大家知道耐米这一种技术会耐米这种材料
[01781.64-01786.68] 它其实是把我们所说的这种收入控制在分子会原子的层面上
[01786.68-01789.08] 于是从1到100那里之间去研究
[01789.08-01790.80] 这一个长度单位的
[01790.80-01791.80] 我们所说的分子
[01791.80-01793.32] 它的一个运动的这样一个情况
[01793.32-01793.76] 对吧
[01793.76-01795.44] 既然画分的越小
[01795.44-01796.92] 那就因为在这个过程中
[01796.92-01798.40] 它也就具有一定的什么呢
[01798.40-01799.40] 不稳定性
[01799.40-01800.32] 所以第3个点
[01800.32-01801.20] 同样在这
[01801.20-01802.48] 每大去做一个总结
[01802.48-01803.56] 就是那里才料
[01803.56-01805.16] 它还有一些什么其他的特性
[01805.16-01807.40] 首先第一个就是它的不稳定性
[01807.40-01808.04] 它是有的
[01810.48-01812.36] 它是具有一定的不稳定性的
[01812.36-01815.28] 这种情况之下就表现在它的收热之后
[01815.28-01816.82] 他可能會發生一些變化
[01816.82-01819.26] 第三個就是因為他的這輪部穩定性
[01819.26-01821.42] 可能會有一定的危害
[01825.26-01826.26] 可能會有一定的危害
[01826.26-01827.82] 比如說就有人會提到說
[01827.82-01829.66] 那你材料會不會又發癌癌呢
[01829.66-01830.12] 對吧
[01830.12-01832.62] 這個也是有待遇進不去驗證的
[01832.62-01833.70] 所以在這裡面
[01833.70-01835.76] 這兩個點在考試的時候怎麼考
[01835.76-01837.04] 就一般請問一下就說
[01837.04-01838.64] 那你材料雖然是一種好技術
[01838.64-01840.86] 所以他不會有任何的問題
[01840.86-01841.94] 證實話對不對
[01841.94-01842.48] 不對
[01842.48-01844.98] 他說我說那你材料不會有
[01844.98-01846.98] 任何問題
[01846.98-01849.98] 那正說法就一定是錯的
[01849.98-01850.98] 明白了
[01850.98-01852.98] 所以這個點大家要注意一下
[01852.98-01854.98] 而我們所說的那米材料考過
[01854.98-01856.98] 考過綜合性的題目
[01856.98-01859.98] 一下關於那米材料說法正確會是錯誤的事
[01859.98-01861.98] 在這裡面就要能過去變息它
[01861.98-01864.98] 這是我們所說的第三個叫做那米材料
[01864.98-01866.98] 到這我們就把新材料技術給大家說
[01866.98-01868.98] 新材料技術我們來回顧一下
[01868.98-01870.98] 我們一共講的三個
[01870.98-01871.98] 第一個是石墨西
[01871.98-01874.98] 第二是超到第三一个就是那米
[01874.98-01878.78] 那时末西呢我们说了它的特性世界上最薄的
[01878.78-01880.94] 然后以之强度最高的
[01880.94-01882.46] 然后还有偷光性好
[01882.46-01883.74] 还有在这里面我们说了
[01883.74-01885.10] 它的导热导电型好
[01885.10-01886.66] 以及它就有一定的西复性
[01886.66-01890.06] 把它和我们所说的具体应用能够对应上
[01890.06-01891.26] 所以这是时末西
[01891.26-01892.70] 时末西是最薄的
[01892.70-01894.90] 因为它只是单层的太原子
[01894.90-01896.46] 第二就提到了超到
[01896.46-01897.78] 在超到当中同没有长个
[01897.78-01898.90] 第一个是超到现象
[01898.90-01899.90] 谁提出来的
[01899.90-01902.04] 你是第二什么叫超到现象
[01902.04-01903.74] 降到绝对领度的时候
[01903.74-01905.02] 电子率突然结效
[01905.02-01907.22] 但绝对领度能达到达不到
[01907.22-01908.66] 于是人们开启汤所
[01908.66-01910.56] 能不能出现高温超到
[01910.56-01911.72] 或者是我们所说的
[01911.72-01914.14] 常问常亚的这种超到形式
[01914.14-01914.62] 对吧
[01914.62-01916.46] 而如果说一旦
[01916.46-01917.96] 我们刚才所说的内容
[01917.96-01918.86] 什么金属啊
[01918.86-01919.86] 画和物质
[01919.86-01920.90] 在绝对领度的时候
[01920.90-01921.98] 电子率突然结效
[01921.98-01922.94] 那他就变成了什么
[01922.94-01923.86] 超到材料
[01923.86-01925.10] 超到材料就就
[01925.10-01926.98] 领电组和抗辞性
[01926.98-01928.70] 而这抗辞性就是我们所说的
[01928.70-01929.74] 完全抗辞性
[01929.74-01931.90] 就是可以实现词选服
[01931.90-01933.58] 那他就可以用在零电组
[01933.58-01934.86] 可以用在高亚数电
[01934.86-01938.14] 而无所说的抗词性就可以用在词言服列车上
[01938.14-01941.50] 所以在词言服这一块我们就讲到了什么叫词言服呢
[01941.50-01943.34] 车与轨道之间无接触
[01943.34-01945.54] 就是跑空气通电爬一下
[01945.54-01947.34] 然后中间就空气在空气上跑
[01947.34-01948.70] 断电它就落下来
[01948.70-01949.06] 对吧
[01949.06-01950.70] 那这种就是无接触
[01950.70-01951.34] 那我们说了
[01951.34-01955.18] 那它主要利用的是它的词选服性
[01955.18-01956.62] 但是我们在考试的时候
[01956.62-01959.66] 有的时候它说是利用了同性相侧原理
[01959.66-01960.88] 默认它是对的
[01960.88-01962.84] 但仅仅仅仅考试没卖了
[01962.84-01963.68] 第三个就是
[01963.68-01966.28] 传呼列车想要完成它的运行
[01966.28-01967.22] 需要三大系统
[01967.22-01969.64] 而首条传呼是在点市民行的呢
[01969.64-01970.92] 是在长山
[01970.92-01972.38] 这是超的
[01972.38-01974.30] 第三个变革生活的就是
[01974.30-01975.02] 納米
[01975.02-01975.66] 科技
[01975.66-01976.48] 納米的话
[01976.48-01978.22] 首先第一个納米是长度单位
[01978.22-01979.38] 使得富有次方面
[01979.38-01979.82] 第二个
[01979.82-01980.70] 納米研究的是
[01980.70-01981.82] 分子原子层面
[01981.82-01983.66] 科学家们一直想通过改变
[01983.66-01985.90] 微观世界从而改变红观世界
[01985.90-01987.74] 所以納米技术研究的是到
[01987.74-01989.88] 一到100nm分子和原子
[01989.88-01992.38] 它有一个性装的一个变化
[01992.38-01995.38] 那耐米技术它就能够研究出耐米材料
[01995.38-01996.38] 所以耐米材料
[01996.38-01999.38] 最为典型的就是不账有不账会不账水
[01999.38-02002.86] 我再往上沿森那就是耐米它的三高特性
[02002.86-02005.42] 高强度高密度
[02005.42-02006.54] 高抗军
[02006.54-02008.74] 但是耐米材料是一好白好的
[02008.74-02011.18] 不是耐米材料可能具有不穩定性
[02011.18-02013.54] 也可能会对人体造成生害
[02013.54-02015.66] 如果它说耐米材料一点问题都没有
[02015.66-02017.66] 在选项当中他一定是错的
[02017.66-02018.88] 这是我们所说的
[02019.62-02023.02] 有关于我们所给到的新材料
[02023.02-02023.58] 新材料
[02023.58-02024.94] 这是第三件
[02024.94-02027.02] 第四件我们讲完了材料
[02027.02-02028.26] 我们回头来看看
[02028.26-02029.26] 有关于人类发展
[02029.26-02030.66] 不得不提的另外一个问题
[02030.66-02032.30] 就是新能源技术
[02032.30-02033.74] 在新能源技术当中
[02033.74-02034.86] 首先来看一下
[02034.86-02036.98] 首先他给到了什么叫做能源
[02036.98-02039.90] 能源的含义的本身靠性非常弱
[02039.90-02041.94] 他说能源是自然借当中
[02041.94-02045.26] 被人的提供某种形式能量的物质资源
[02045.26-02046.66] 叫做能源
[02046.66-02048.34] 但是能源大家注意下
[02048.34-02049.06] 它就提到
[02049.06-02051.42] 我们现在主要用到的是传统能源
[02051.42-02052.62] 但是传统能源很大
[02052.62-02054.34] 一部分它不是取之不接
[02054.34-02055.34] 用之不接的
[02055.34-02058.38] 所以在这里面它就提到了新能源技术
[02058.38-02059.86] 所以在这里它说了
[02059.86-02062.18] 第一探经济的核心就是什么
[02062.18-02066.18] 第一探经济的核心就是新能源技术
[02066.18-02068.46] 这是第一个叫做能源的含意
[02068.46-02070.06] 那今天提到了新能源技术
[02070.06-02072.66] 那咱们是看看什么叫做新能源
[02072.66-02074.18] 大家注意下首先第一个
[02074.18-02076.42] 提到新冠原就和它有一个相对应的概念
[02076.42-02077.86] 就叫做长规的原
[02077.86-02079.98] 这地方考察的时候考什么呢
[02079.98-02081.54] 那就一下考察
[02081.54-02086.06] 考察新的原和长规的原它的一个分类
[02087.70-02088.82] 这让我们去变息
[02088.82-02090.82] 它到底是新的原还是长规的原
[02090.82-02092.82] 新的原和长规的原
[02092.82-02095.22] 它不是以时间早晚作为画分的
[02095.22-02096.98] 来看一下概念上打说的
[02096.98-02099.94] 但是新的原又成非常规的原
[02099.94-02101.94] 说具有无人小处量大的特点
[02101.94-02102.94] 比如说长说的
[02102.94-02106.02] 可能,地熱風能還能生物只能和河能
[02106.02-02107.30] 那這是新能源
[02107.30-02108.62] 長微能源有叫什麼呢?
[02108.62-02110.62] 長微能源叫做傳統能源
[02110.62-02112.14] 它是指這句話話出來
[02112.14-02114.30] 技術上比較成熟
[02114.30-02116.70] 已經被人們廣泛應用的
[02116.70-02119.06] 這樣的新能源就叫做長微能源
[02119.06-02120.70] 所以在這裡大家注意一下
[02120.70-02125.30] 新能源和傳統能源的分類不在於時間早晚
[02126.42-02127.26] 不能說
[02127.26-02128.98] 越靠近21世紀的
[02128.98-02130.10] 就叫做新能源
[02130.10-02130.78] 不是這樣的
[02130.78-02131.98] 而是以什麼作為話分的
[02131.98-02134.26] 而是看技术是否成熟
[02135.86-02141.14] 现在旁边是看技术是否成熟是否广泛英用
[02146.98-02148.34] 这个点很重要
[02148.34-02151.42] 大家注意一下把这个分类标准去给它写在旁边
[02151.90-02155.06] 技术如果成熟英用很广泛的话
[02155.06-02156.50] 那就叫做长微能源
[02156.50-02159.30] 比如说我们常说的每石油天然气
[02159.30-02160.86] 旁边把每石油天然气化出来
[02160.86-02163.54] 这世界上三大传统能源
[02167.74-02169.30] 我们提到了三大传统能源
[02169.30-02171.74] 叫美食有天然气
[02172.02-02173.02] 那还有一些呢
[02173.58-02174.30] 非常为能源
[02174.30-02175.86] 就是基础运用不成熟
[02175.86-02177.74] 现在这个基础还在记忆不完善
[02177.74-02179.14] 他也没有做到全面推广的
[02179.14-02180.58] 你比如说像我们所说的什么
[02181.14-02183.74] 太阳能 风能 还能生物只能和盒能
[02183.74-02185.26] 每个地区都用到盒能了吗
[02185.26-02186.86] 每个地区都用到太阳能了吗
[02186.86-02187.22] 没有
[02187.22-02188.46] 所以你看像这种
[02188.46-02189.18] 他就是什么
[02189.18-02191.38] 技术还在进一步开发没有广墾用的
[02191.38-02193.78] 我们把这种称的微教组新能源
[02193.78-02195.38] 所以新能源的发生标准
[02195.38-02196.22] 大家注意一下
[02196.22-02197.78] 就是看技术是不是称说
[02197.78-02200.02] 而不是看时间的早晚
[02200.02-02202.38] 这是我们所提到的关于新能源
[02202.38-02204.30] 新能源当中所提到的
[02204.30-02206.62] 有几个能源需要我们去重点掌握
[02206.62-02209.30] 第一个就是我们所说的叫做合能
[02209.30-02211.22] 合能又被称的微教组
[02211.22-02212.86] 原子我们前面以来讲
[02212.86-02214.10] 万一四坦的相对率
[02214.10-02216.50] 对吧 只能方程所提到的
[02216.50-02219.02] 这个合能它有两种
[02219.02-02221.76] 一个就是合列变一个就是合聚变
[02221.76-02224.94] 无论是合列变和合聚变都会释放出巨大的能量
[02224.94-02226.78] 所以在这里面同一标主一个点
[02226.78-02227.42] 他说了
[02227.42-02232.34] 他是合能是世界上目前画下唯一一画出来
[02232.34-02235.30] 说合能是目前唯一现实的
[02235.30-02238.74] 可大规模替代化石然料的能源
[02238.74-02240.58] 这个就是我们所说的合能
[02240.58-02245.18] 合能它根据原子和结构变化所释放出来的能量来运动它
[02245.18-02248.46] 所以在这里面原子和结构变化就两种情况
[02248.46-02249.50] 一种叫做合
[02250.50-02251.28] 裂变
[02251.54-02252.82] 还一种叫做合
[02253.06-02253.32] 具变
[02253.58-02254.60] 什么叫做合裂变呢
[02254.86-02256.40] 合裂变就是找到一个中子
[02256.66-02258.44] 我在这里给大家了一个试一圖对吧
[02258.70-02261.26] 找到一个中子把这个中子打到这个
[02261.52-02263.32] 我们所说的由235上
[02263.56-02266.90] 所以我们经常说游况嘛对吧所以打到这个由235上
[02267.14-02268.68] 然后呢这个由235就会
[02268.94-02269.70] 分出来
[02269.96-02273.30] 分出来比如说在这里变成了一些其他的这种原子合
[02273.56-02275.60] 那就是把一个变成多个的这种过程
[02275.60-02281.74] 把一个变成多个,你打到他的身上,他在列开的内刻,他是不是会释放能量
[02281.74-02284.56] 而他这个时候释放能量就叫做什么?合
[02284.82-02285.58] 列变的
[02285.84-02286.86] 那就合列变的
