[00000.00-00002.82] 咱们就正式进入了我们第三节内容的学习
[01177.18-01178.18] 然後他說多少錢
[01178.18-01179.98] 你誇一下把刀幣拿出來給人家
[01179.98-01181.10] 那麼下人一跳嘛
[01181.10-01181.38] 對吧
[01181.38-01182.68] 所以這種情況之下
[01182.68-01183.78] 沒有統一的
[01183.78-01186.88] 我們所說的這樣一個單類
[01186.88-01188.68] 它其實沒有辦法交易的
[01188.68-01189.68] 所以在這裡
[01189.68-01190.64] 千萬就統一了
[01190.64-01192.48] 賭良恒和貨幣
[01192.48-01194.54] 那说老师为什么要统一文字呢?
[01194.54-01197.88] 统一文字就是为了变于交流和管理
[01197.88-01199.64] 每个地区它的文字都不一样
[01199.64-01202.48] 这样的话文化其实是没有办法共通的
[01202.48-01203.56] 所以统一入文字
[01203.56-01205.96] 这是我们所说的在经济贸易上
[01205.96-01206.92] 大家要注意一下
[01206.92-01208.80] 这是我们所给到的第一个大点
[01208.80-01210.28] 在经济贸易上措施
[01210.28-01211.92] 那第二个呢就是我们所说的
[01211.92-01214.20] 秦熟黄的两大攻击之一
[01214.20-01216.76] 叫做统一车轨和修建池道
[01216.76-01218.52] 统一车轨车轨呢
[01218.52-01221.08] 其实就是我们所说的马车之间
[01221.08-01222.48] 他的那个剧理
[01222.48-01224.92] 那这个马车之间的剧理就叫做车鬼
[01224.92-01225.88] 他捅一这个呢
[01225.88-01227.92] 其实就是为了方便做这样的打扰的
[01227.92-01229.72] 因为他在修尺到的时候呢
[01229.72-01231.44] 那个尺到他在修件多宽
[01231.44-01236.24] 他必须要求那个车之间的那个轮子之间的这个监剧是一样的
[01236.24-01238.88] 那这样其实是变于我们所说的军事做这样的
[01238.88-01241.24] 那这个呢就叫做统一车鬼
[01241.24-01242.24] 就捅一车鬼
[01242.24-01245.80] 而在这里面呢就会出现一个我们所说的代称
[01245.80-01246.64] 什么代称呢
[01246.64-01248.52] 就是刚才所以大家所说的
[01248.52-01251.04] 一个代称呢就叫做我们所说的文鬼
[01251.04-01254.04] 一个就叫做《车书》车书
[01255.04-01257.24] 文鬼和车书带纸什么呢?
[01257.24-01264.04] 大助一下文鬼和车书带纸的是国家文鬼和车书带纸的是国家
[01264.04-01267.44] 这个就是从秦处的攻击当中所得出来的
[01267.44-01269.24] 比如说北位校文地道说了
[01269.24-01272.04] 说说说说富有四海但文鬼被一
[01272.04-01273.64] 在重庭望着下说的就是什么
[01273.64-01276.24] 虽然相对来说经济比较赋独
[01276.24-01277.84] 但是国家上位同意
[01277.84-01279.44] 文鬼被一代主国家被同意
[01279.44-01279.84] 对吧
[01279.84-01282.76] 說江理隧重海抽出本意家
[01282.76-01286.12] 其實袋子還是國家袋子還是國家
[01286.12-01288.76] 在這裡面需要同門掌握的第二個點
[01288.76-01290.08] 就是在這
[01290.08-01292.00] 我們所說的有關於
[01292.00-01294.40] 車軌還有吃到的相當問題
[01294.40-01296.36] 這是我們所說的為了加強統一
[01296.36-01298.16] 它所做的事情
[01298.16-01300.28] 在這裡面我來給同門展示一下
[01300.28-01301.34] 我們所說的這個
[01301.34-01302.40] 情辦兩早什麼樣
[01302.40-01304.48] 情辦兩就這個就是圓形放武器
[01304.48-01307.00] 這個是我在國家補管的時候拍的
[01307.00-01308.76] 它那個好多的貨幣
[01308.76-01309.56] 在這個地方
[01309.56-01311.04] 所有的这些都是情担两
[01311.04-01312.32] 外面是圆
[01312.32-01313.68] 然后里面是方
[01313.68-01314.88] 这种方形的
[01314.88-01316.68] 就是我们遇事天员地方
[01316.68-01318.56] 当时在那个地方介绍的时候
[01318.56-01319.88] 说得还挺好听的
[01319.88-01320.96] 说小小货币
[01320.96-01322.28] 就做方寸之间
[01322.28-01323.68] 土那钱坤
[01323.68-01324.00] 对吧
[01324.00-01325.68] 这是我们想想不透的
[01325.68-01328.20] 所以以前货币设计很有讲究
[01328.20-01329.64] 在这里我们说了
[01329.64-01330.32] 这是货币
[01330.32-01331.84] 钱完统一了文字
[01331.84-01332.36] 文字
[01332.36-01334.28] 这个地方给大家展示的是大赚
[01334.28-01335.16] 是大赚
[01335.16-01335.92] 但这个大赚
[01335.92-01337.04] 大家能看起来
[01337.04-01338.44] 邪起来就很费劲
[01338.44-01339.48] 是不是都不好认呢
[01339.48-01342.28] 所以在这个记录上就演变出了小赚
[01342.28-01344.60] 所以下面这个黑色的这个是小赚
[01344.60-01346.80] 所以小赚相对来说就公整了很多
[01346.80-01349.20] 对吧而且在书写上会方便了很多
[01349.20-01351.08] 这是我们所说的有关于
[01351.08-01353.28] 被人家想统一当中所给到的
[01353.80-01355.08] 这两项措施
[01355.08-01356.04] 这样好像措施
[01356.04-01357.76] 但是我们还是那句话
[01357.76-01359.16] 就是任何一个朝代的
[01359.16-01360.80] 它的这个星期
[01360.80-01364.20] 其实也到最后也会走向我们所说的这个深落
[01364.20-01366.76] 所以在这里面有与琴鼠黄到后面
[01366.76-01368.48] 我们所说的人说他很惨暴
[01368.48-01370.24] 会说到72时的时候
[01370.24-01372.04] 也是相对来说荒于无杜
[01372.04-01372.96] 这种情况之下
[01372.96-01374.72] 老百姓的日子就过不下去了
[01374.72-01376.24] 所以在情末的时候
[01376.24-01378.92] 就爆发了我们所说的農民起意
[01378.92-01381.32] 这个情末的農民起意当中
[01381.32-01381.88] 大家注意一下
[01381.88-01384.00] 它其实点行的历史事件了
[01384.00-01386.84] 在这里面我给大家集中的去总结了一下
[01386.84-01388.72] 我们的历史事件
[01388.72-01391.08] 它在去考察的过程当中
[01391.08-01393.04] 它主要考什么来看一下
[01393.04-01394.56] 历史件的考察方式
[01394.56-01396.72] 第一個考察就是任何事的對應
[01396.72-01398.48] 叫做任務和典枯的隊友
[01398.48-01400.72] 第二個就是事件和地點的對應
[01400.72-01402.72] 誰在哪個家的幹的殺賽
[01402.72-01403.08] 對吧
[01403.08-01405.36] 這個就叫做事件和地點對應
[01405.36-01408.44] 還有就會有個別的事件會考察他的性質
[01408.44-01409.52] 老實性的事實上
[01409.52-01411.96] 就是這個事件這個典枯
[01411.96-01413.28] 或是這件事
[01413.28-01415.16] 他到底是屬於比如說戰爭
[01415.16-01416.92] 他是一少胸多的戰爭
[01416.92-01418.72] 還是防禦戰等等
[01418.72-01419.92] 他會考察性質
[01419.92-01422.16] 那還有一個比較複雜的一種考察方式
[01422.16-01424.40] 就说会考察世界的排序
[01424.40-01426.28] 如果一旦考察世界的排序的话
[01426.28-01427.12] 大家注意一下
[01427.12-01429.40] 它的社问角度就很多了
[01429.40-01432.04] 它哪有多哪些社问角度呢
[01432.44-01434.32] 比如说给你一个选项
[01434.32-01435.44] 然后选项
[01435.44-01436.64] 然后里面放了几个事
[01436.64-01437.84] 就把这几个事比如说
[01437.84-01439.16] 背9视频选案
[01439.16-01440.16] 然后给你写完了
[01440.16-01440.92] 写完了之后呢
[01440.92-01442.76] 就是因为跟写上黄金起液
[01442.76-01444.80] 然后在这边又给你写上什么
[01444.80-01447.48] 什么证关制制等等
[01447.48-01448.36] 就是类似于这种
[01448.36-01449.80] 那你还是在一个选项当中
[01449.80-01450.84] 把他的社区打断
[01450.84-01452.00] 这是第一种考察
[01452.00-01453.74] 那还有一种考察方式是什么呢
[01453.74-01458.48] 在排序的过程当中就给你圈一圈3圈4圈5
[01458.48-01459.56] 就给你这些事件
[01459.56-01460.96] 然后呢说这5个事
[01460.96-01463.28] 你排一下吧给你ABCD4个选项
[01463.28-01465.44] 那如果考得在哪一点怎么办呢
[01465.44-01467.12] 就是不给你这个事
[01467.12-01468.20] 我不给你执说
[01468.20-01469.68] 这个事不给你执说干涯呢
[01469.68-01472.16] 我在这里给你一些秒数
[01472.16-01473.56] 比如说在这个里面呢
[01473.56-01475.00] 我就给你一句时
[01475.00-01476.96] 然后呢说这5圈
[01476.96-01477.64] 我都不给你
[01477.64-01478.84] 我都给你变成10个
[01478.84-01480.56] 或者给你变成其他原的秒数
[01480.56-01482.04] 让你给这五个圈排序
[01482.04-01484.12] 那这样的话难度就会升级到
[01484.12-01486.04] 所以在整个排序的过程当中
[01486.04-01488.12] 大家都知道它的初提的角度
[01488.12-01489.64] 就是会五花八满的
[01489.64-01491.08] 但是它无论怎么出
[01491.08-01492.04] 那我们都知道
[01492.04-01494.84] 它其实在本质上考察的还是排序
[01494.84-01495.88] 考察还是排序
[01495.88-01498.68] 所以这是我们所说的有关于四件类的
[01499.48-01500.72] 这些内容
[01500.72-01502.60] 它在我们考试的过程当中
[01502.60-01504.40] 一些固定的初提方法
[01504.40-01505.60] 固定出一方法
[01505.60-01506.84] 我们来看一下
[01506.84-01508.20] 回到证文当中来
[01508.20-01510.20] 来看一下琴莫的农民企业
[01510.20-01512.00] 行播的能力取引在这里
[01512.00-01513.92] 首先第一个就是我们所说的
[01513.92-01516.32] 陈省无广在大则相企业
[01516.32-01521.20] 那这个大则相其实是现在今天我们所说的这个安徽差不多是在这
[01521.20-01524.28] 那陈省无广为什么会在大则相企业呢
[01524.28-01525.12] 原因很简单
[01525.12-01527.84] 因为他们当时被抓了状丁要去哪
[01527.84-01532.48] 被抓了状丁了要去我们所说的鱼羊去鱼羊修线公电
[01532.48-01533.80] 在这个地方搭住一下
[01533.80-01535.36] 他们是在大则相企业的
[01535.36-01537.84] 他们的目的地是在鱼羊
[01537.84-01539.52] 而在考試的過程當中
[01539.52-01543.54] 他就會把這個目的地和我們所說的旗易地高會
[01543.54-01545.68] 說承認無關是在漁陽旗易
[01545.68-01548.08] 那就錯了是在大澤鄉旗易
[01548.08-01549.50] 那沒什麼在大澤鄉旗呢
[01549.50-01551.52] 因為他們在去漁陽的路上
[01551.52-01553.74] 花花下大雨那雨下落大了
[01553.74-01555.00] 下這麼大雨怎麼辦呢
[01555.00-01557.04] 他們就沒有辦法暗時
[01557.04-01559.10] 就是到達我們所說的漁陽
[01559.10-01562.00] 漁陽就是在今天北京的秘源這個地方
[01562.00-01563.06] 沒有辦法暗時到
[01563.06-01564.84] 但是按照情侶說的是啥呢
[01564.84-01566.96] 如果你沒有辦法暗時到這個地方
[01566.96-01569.64] 那么对不起 我要把你的脑在砍掉
[01569.64-01571.08] 那说躲那么荒灭我
[01571.08-01573.92] 对吧 你说你这个规定躲贸灭呀
[01573.92-01575.92] 所以在这个地方就出现了
[01576.12-01577.96] 我们所说的 他们当时就在想
[01577.96-01579.88] 那完了 我反正我也走不到了
[01579.88-01581.48] 那走不到怎么办呢 就路徒
[01581.48-01583.28] 就在这个往北京走的
[01583.28-01584.84] 这段路上就是害怕了
[01584.84-01586.40] 害怕之后呢 他们就跑了
[01586.40-01587.92] 路徐就跑了很多的人
[01587.92-01589.12] 跑了很多的人之后呢
[01589.12-01591.60] 后来呢 就是是 就是看守他们的人
[01591.60-01592.48] 也害怕了
[01592.48-01594.56] 看他们的害怕就是本来给你二十个人
[01594.56-01596.16] 结果到了北京之海上了解的人
[01596.16-01597.70] 那你这没法交代
[01597.70-01600.20] 所以这种情况之下大家就想该怎么办
[01600.20-01601.80] 后来这里面就两个人
[01601.80-01603.34] 有着承训有叫无过
[01603.34-01604.18] 后来他们就说的
[01604.18-01606.40] 反正就是暗示了道了
[01606.40-01608.32] 反正在暗示了道不了了
[01608.32-01610.88] 这种情况之下去了也需要被杀头的
[01610.88-01613.12] 那目不如咱们就反了
[01613.12-01615.36] 于是他们就接跟而且
[01616.40-01617.88] 所以第一个点过就出来了
[01617.88-01618.68] 大家注意一下
[01618.68-01621.00] 所以他们在这里就接跟而且
[01621.00-01623.80] 接跟而且之后打出了一个想量的口号
[01623.80-01624.04] 对吧
[01624.04-01624.96] 什么口号呢
[01624.96-01627.16] 就是发无道猪爆裙
[01628.16-01631.36] 这发无道猪爆裙
[01632.00-01633.04] 就是意思啊
[01633.04-01634.32] 哪里有压迫
[01634.32-01635.72] 哪里就反抗美
[01635.72-01636.04] 对吧
[01636.04-01637.04] 它不让我们活
[01637.04-01638.04] 我们也不让它好受
[01638.04-01639.80] 那这种情况之下提到是这个
[01639.80-01640.32] 对吧
[01640.32-01641.28] 而在这里的话
[01641.28-01643.00] 还有一句我们非常熟悉的话
[01643.00-01643.76] 这什么话呢
[01643.76-01646.92] 就是王后降向拧有种呼
[01649.32-01652.48] 这王后降向拧有种呼
[01652.48-01654.48] 有啥料不起的呢?
[01654.48-01654.98] 对吧?
[01654.98-01657.12] 这用情况之下就是我们所说的
[01657.12-01660.16] 这两句话大家注意一下经常会把它考察
[01660.16-01662.04] 说这两句话是对用什么事件
[01662.04-01664.56] 大家知道是陈生无光起异
[01664.56-01666.24] 是我们所说陈生无光起异
[01666.24-01667.84] 而在这个里面还有一个
[01667.84-01670.68] 就是我们所说的叫验血、安治、红胡、知志
[01670.68-01673.56] 也是出现在我们所说的陈生无光起当中
[01673.56-01675.12] 所以这是我们所说的
[01675.12-01677.84] 它的这个農民起异
[01677.84-01678.96] 有我们所说農民起异
[01678.96-01681.28] 但臣聖武王企业其实大家都知道
[01681.28-01683.56] 等到后面的时候其实就被震压了
[01683.56-01686.08] 就被震压了臣聖也被杀掉了
[01686.08-01688.96] 但是我们都知道老百姓日子锅都苦了
[01688.96-01692.48] 打倒一个臣聖武王还会有天下万万个臣聖武王站起来
[01692.48-01695.36] 所以这有时候各地都爆发了相应的
[01695.36-01697.36] 我们所说的这种企业
[01697.36-01700.52] 在这里面的这些企业当中其实就有两支
[01700.52-01702.16] 我们所说的军队
[01702.16-01705.16] 其中有一只就是我们所说的相语军队
[01705.16-01707.16] 我们刚才说到臣聖武王企业
[01707.16-01711.50] 這當時陳盛佩莎了以後陳盛手下有一個大將
[01711.50-01712.86] 這個大將就傻了
[01712.86-01714.74] 這個大將就做周平
[01714.74-01719.44] 周平當時其實知道說相與和他的舒服相量
[01719.44-01722.20] 在江蘇那家的奇異奇的挺好的
[01722.20-01725.08] 所以周平就假托說
[01725.08-01727.04] 我們老大陳盛佩莎了
[01727.04-01728.54] 所以他讓我來找你
[01728.54-01731.38] 所以他就敗了相量為上國住
[01732.06-01735.82] 然後讓相量去供達我們所說的這個情果
[01735.82-01739.06] 而且这个象量 它在公打秦朝的过程当中
[01739.06-01741.10] 它先一定要施出有名
[01741.10-01743.22] 所以怕是在京处内带
[01743.22-01745.94] 对吧 所以它当时就找到了处怀网
[01745.94-01747.30] 也就是孙熊心
[01747.30-01748.74] 就是奉他为王
[01748.74-01751.38] 然后说我们现在要帮着你
[01751.38-01753.62] 然后说帮你 把天下躲回来
[01753.62-01755.82] 因为当年陈叔往在旗的时候
[01755.82-01757.82] 陈叔无广给自己立的
[01757.82-01760.18] 这样的一个我们所说的旗
[01760.18-01761.86] 也是叫张处
[01762.34-01764.86] 立的旗呢 张处就是给自己打的
[01764.86-01767.68] 这个号召召出 召大楚国的意思
[01767.68-01768.96] 召大楚国的意思
[01768.96-01772.16] 因为当时 秦国的暴政
[01772.16-01773.04] 已经老百姓苦悔
[01773.04-01774.86] 还有所以大家都比较怀念
[01774.86-01777.02] 就是以前出后争骂的
[01777.02-01777.76] 两个感觉
[01777.76-01779.58] 所以他们自己打出来是召出
[01779.58-01781.74] 然后来占品找到了
[01781.74-01782.66] 像梁之后
[01782.66-01784.40] 其实像梁就去找了
[01784.40-01786.76] 我们所说的出坏王就是孙熊心
[01786.76-01789.44] 这就是我们所说的前半部分
[01789.44-01791.20] 然后后来像梁就在
[01791.20-01793.44] 我们所说的他带领了军队之下
[01793.44-01796.00] 就是在和情均的对抗过程当中
[01796.26-01797.64] 几乎意识在打拥
[01797.80-01799.08] 所以他就有一点散的
[01799.32-01800.60] 他就有一点清敌了
[01800.86-01801.88] 所以他清敌了之后呢
[01802.14-01803.42] 这个时候情均的大将
[01803.68-01805.22] 答应该听过这个人这个人就谁呢
[01805.48-01806.24] 就是我们所说的
[01806.50-01807.78] 张寒就在这了
[01808.04-01808.80] 张寒呢
[01809.06-01810.84] 他其实就开始去搞偷袭了
[01811.10-01812.90] 结果呢这个项链啊就在这里
[01813.92-01815.20] 在定桃一站的时候
[01815.46-01816.74] 你看我在这里给他换个土
[01817.00-01820.06] 在定桃一站的时候呢这个项链呢就被张寒杀了
[01820.32-01823.38] 然后张寒呢在定桃杀了我们所说
[01823.44-01824.98] 向梁之后干嘛呢
[01824.98-01827.54] 在这种情况之下要去宫打照国
[01827.54-01829.58] 于是你看这个监头
[01829.58-01831.38] 这个监头就是张韩军
[01831.38-01835.22] 张韩对领他的军队就一路北上度过了哪呢
[01835.22-01837.02] 就度过了我们所说的张水
[01837.02-01838.30] 你还这个地方是张水
[01838.30-01840.84] 就一路北上度过了这个张水
[01840.84-01841.62] 就是在这
[01841.62-01843.66] 然后去宫打照国的韩单
[01843.66-01845.46] 去宫打照国的这个韩单
[01845.46-01846.66] 那这种情况之下呢
[01846.66-01848.02] 他宫打照国的韩单
[01848.02-01850.32] 然后呢照国就大不过呀
[01850.32-01852.62] 因为这边还有一个王理军也是秦军呢
[01852.62-01854.16] 這種情況之下
[01854.16-01857.36] 韓那個照國就從韓那這個地方就退到那兒
[01857.36-01860.06] 就退到了巨路這裡
[01860.06-01862.52] 於是在巨路這兒就發生了什麼呢
[01862.52-01864.64] 就發生了我們所說的巨路之戰
[01864.64-01866.04] 就發生了巨路之戰
[01866.04-01868.04] 而這個巨路之戰最開始
[01868.04-01869.44] 還沒像李柴斯爾
[01869.44-01870.60] 最開始的時候呢
[01870.60-01872.60] 在打巨路之戰的時候呢
[01872.60-01876.28] 其實最開始我們所說的這個照國不是打敗了
[01876.28-01877.44] 照國沒打贏
[01877.44-01879.28] 然後當時的這個處懷王
[01879.28-01881.14] 其實就命當時有個人交個衫
[01881.14-01882.46] 叫做送疫
[01882.46-01884.54] 说送疫的为上将军
[01884.54-01885.48] 就是主将
[01885.48-01887.10] 相与为附将
[01887.10-01889.18] 然后说你们两个去帮帮
[01889.18-01890.58] 我们所说的这个照顾吧
[01890.58-01891.94] 就是你们两个主团
[01891.94-01893.62] 去举务了那边去帮帮她吧
[01893.62-01894.58] 这是我们所说的
[01894.58-01895.26] 储坏王
[01895.26-01896.50] 当时下得低到面面
[01896.50-01898.62] 传上下得第二道命令是什么呢
[01898.62-01900.18] 这是她同时也命令谁呢
[01900.18-01901.38] 也命令流帮
[01901.38-01902.50] 她跟流帮说
[01902.50-01903.86] 说你看他们两个都去
[01903.86-01905.06] 举务那边去解为了
[01905.06-01906.22] 那你现在你去哪儿
[01906.22-01907.06] 你往西走
[01907.06-01909.38] 你就不要跟着她俩一块在这巨毒人了
[01909.38-01911.58] 说你帽席走去哪儿呢,你去韩古官
[01912.66-01915.26] 你去韩古官,就让他去公路陷阳
[01915.54-01920.04] 然后他就说了,说你们这两只军队,谁先入关灭情者
[01920.04-01921.38] 谁就是关中王
[01921.38-01924.10] 就是当时我们所说的,其实两条线
[01924.38-01928.58] 那第一条主线就是在剧陆之战的,我们所说的相与他这条身上
[01928.90-01931.02] 本来送意的是这个主将
[01931.22-01932.62] 但是送意这个人呢
[01932.78-01936.62] 他其实呢,两个他这个军队,走到门呢,走到了这个安阳这个地方
[01936.62-01939.90] 大助一下是这里的样,而不是这个里可难的样
[01939.90-01942.78] 走到样这个地方,这个军队就不再往前走了
[01942.78-01946.14] 然后就住在原地住杀多少天,住杀了好几十天
[01946.14-01947.78] 但这时候相与做不出了
[01947.78-01950.94] 因为相与的舒服相量是被张寒杀了
[01950.94-01957.78] 他其实就想给他舒服爆炒,然后就跟我们所说的送易就说说赶紧往前走吧
[01957.78-01959.14] 说得在这儿再耗着了
[01959.14-01962.14] 然后结果送易就跟他说说你招牙级
[01962.14-01963.78] 说你打仗可能比我猛,对吧
[01963.78-01966.70] 但是你形均作战不一定有我行
[01966.70-01968.14] 然后这话就所有相比条
[01968.14-01969.42] 相比能受了这期嘛
[01969.42-01970.58] 相比受不了这期
[01970.58-01971.86] 然后相比就怎么样呢
[01971.86-01974.98] 相比就把送一刷掉了
[01974.98-01976.26] 就把送一个刷了
[01976.26-01977.78] 把送一刷了之后的率领
[01977.78-01978.70] 它的军队你看
[01978.70-01980.94] 这里一路北上就达到了那人
[01980.94-01985.62] 就达到了我们所说的这个据路
[01985.62-01988.10] 所以在这个时候就发生了我们所据路之战
[01988.10-01988.86] 所以据路之战
[01988.86-01990.22] 从你们要注意的这么几个点
[01990.22-01990.86] 就是第一个
[01990.86-01991.74] 大家注意一下
[01991.74-01993.38] 据路之战的主人公是谁
[01993.38-01997.38] 我们说了是叫做考世界和人物的对应对吧
[01997.38-02000.74] 那就是相语张韩还有王理
[02000.74-02003.18] 还王理这是第一个大家注意的
[02003.18-02005.22] 那第二个就是在这大家知道
[02005.22-02007.86] 这个占意的性质一定要明确
[02007.86-02010.90] 这一场占意的性质是一少剩多的占意
[02010.90-02012.02] 啊你上程度占意
[02012.02-02015.14] 当时王理和张韩啊这两个军队
[02015.14-02016.74] 一共大概是四个万人
[02016.74-02017.78] 那一共四个万人
[02017.78-02019.70] 但是当时相语的军队
[02019.70-02021.14] 就是万事来着
[02021.14-02022.34] 所以在这种情况之下
[02022.34-02024.34] 一少胜多,一少胜多
[02024.34-02026.16] 那这是我们所说的剧露之战
[02026.16-02028.94] 而在剧露之战当中有很多的点顾
[02028.94-02030.74] 大家要在这里给他记住
[02031.46-02033.44] 我在讲一当中,也大家标注了
[02033.44-02036.24] 一个是迫赴州,一个是坐闭上官
[02036.24-02037.44] 一个是坐闭上官
[02037.44-02038.54] 迫赴州是什么呢?
[02038.54-02041.54] 就是当时相争知道,他的人其实是非常少的
[02041.54-02043.54] 然后他就跟他的军队就说
[02043.54-02045.14] 说任何人都不能退缩
[02045.14-02048.04] 就是一定要给他的舒服向阳报仇
[02048.04-02051.14] 然后就把他们的这个锅煮饭的这个锅具
[02051.14-02054.86] 大家就知道现在我们竟然看到的出行一定要被着
[02054.86-02056.78] 就是以前会要被着这种锅的
[02056.78-02058.46] 这种锅具杂破了
[02058.46-02059.66] 然后把传叶杂了
[02059.66-02061.58] 意思就是不给自己留后路
[02061.58-02064.02] 所以就是我们所说的这个破不成周
[02064.02-02066.18] 可能在讲一道中给大家有一个被水一站
[02066.18-02068.02] 同学们把那个被水一站化掉
[02068.02-02070.46] 好吧如果讲一站有这个化把它就化掉
[02070.46-02072.78] 因为这个我们没有来集给大家去删除
[02072.78-02073.86] 这是破不成周
[02073.86-02076.74] 而我们所说的像与摄能它的军队
[02076.74-02078.74] 打到这个地方的时候
[02078.74-02080.10] 其他的周口国
[02080.10-02081.38] 其实也在这个地方
[02081.38-02082.66] 但是在看热闹
[02082.66-02084.46] 所以在这里叫做作弊上官
[02084.46-02085.46] 在看的时候说
[02085.46-02086.70] 按相于打个楼梦了
[02086.70-02087.66] 大家就在看
[02087.66-02089.82] 这里面就是我们所说的作弊上官
[02089.82-02090.86] 作弊上官
[02090.86-02092.38] 这个大家要注意一下
[02092.38-02093.54] 这是我们所说的
[02093.54-02094.70] 巨路之战
[02094.70-02096.34] 这是我们所说的巨路之战
[02096.34-02097.62] 巨路之战
[02097.62-02098.54] 打完了之后
[02098.54-02099.50] 相于打扁了
[02099.50-02100.46] 相于打扁了之后
[02100.46-02101.10] 再去哪儿呢
[02101.10-02101.86] 再去闲一样
[02101.86-02102.74] 因为当时呢
[02102.74-02103.66] 除王说了
[02103.66-02106.38] 先入关灭情者被关中王
[02106.38-02106.70] 对吧
[02106.70-02109.10] 所以他们在巨路之战结束之后
[02109.10-02111.34] 就开始一路去往显洋走
[02111.34-02112.80] 而这个时候还有一个人
[02112.80-02113.36] 大家没忘了
[02113.36-02114.14] 还有一个人是谁呢
[02114.14-02115.14] 就是刘邦
[02115.14-02117.74] 因为秦军四十万军队的所主力
[02117.74-02119.94] 都被牵制在我们手术的巨路了
[02119.94-02121.90] 所以当时这个刘邦
[02121.90-02123.82] 他一路西区的时候
[02123.82-02126.78] 西线没有啥也就是比较空
[02126.78-02129.58] 所以在这种情况之下就知道显洋
[02129.58-02130.34] 知道显洋
[02130.34-02131.62] 知道显洋之后
[02131.62-02133.42] 大家都知道后来的故事了
[02133.42-02133.82] 对吧
[02133.82-02135.38] 后来的故事就是我们所说的
[02135.38-02140.38] 配军 配军霸上就有了红盐的故事
[02141.38-02144.38] 这是我们所说的有关于这个地方
[02144.38-02148.38] 来看一下在这个地方我给大家出了一个小小听话
[02148.38-02151.38] 这题目也是我们在世界单位考试的时候出现过的
[02151.38-02154.38] 这是我们说了考察人物和点顾的对应
[02154.38-02156.38] 我希望他不单单是一道题目
[02156.38-02159.38] 我也同时希望他能够对同学们有所激烈
[02159.38-02160.38] 在这里他说了
[02160.38-02162.94] 有制者事计成破扶成州
[02162.94-02164.72] 百二情关中属处
[02164.98-02166.48] 苦心人天不复
[02166.48-02169.08] 莫心长的三千月假可通误
[02169.08-02172.38] 就是说坚持就运动我看到希望
[02172.38-02174.20] 所以在这里破证都是谁
[02174.20-02174.96] 向与
[02174.96-02176.34] 莫心长的是谁
[02176.34-02177.02] 估计
[02177.02-02177.54] 估计
[02177.54-02179.46] 所以在这里这套题选择
[02179.46-02180.38] AC
[02180.38-02183.24] 它其实不单单是对两个点顾和人物的描述
[02183.24-02185.18] 其实也是对我们现在的一种
[02185.18-02185.98] 激烈
[02185.98-02187.70] 相同学们能够在学习当中
[02187.70-02190.08] 虽然学习是一个长线的过程
[02190.08-02191.10] 他會很累
[02191.10-02192.60] 但是我希望同樣能夠堅持
[02192.60-02193.16] 好吧
[02193.16-02193.40] 好
[02193.40-02194.50] 這個就是我們所說
[02194.50-02195.20] 這要題目
[02195.20-02197.44] 就說我們點心的人物和點顧的
[02198.28-02199.04] 對應
[02199.04-02199.80] 那文
[02199.80-02202.88] 作案這要題之後再回到我們的主線當中來
[02202.88-02204.40] 咱們的主線就是剛才說了
[02204.40-02206.44] 一個是我們所說的流邦
[02206.44-02207.88] 一直往西走
[02207.88-02209.48] 就是我們所說的直到鮮羊
[02209.48-02211.32] 另外一條主線就是我們所說的
[02211.32-02212.36] 據錄直戰之後
[02212.36-02213.88] 相遇的重新
[02214.60-02215.56] 集合軍隊
[02215.56-02217.72] 然後也是直接出發這鮮羊了
[02217.72-02219.52] 但是當時誰先到了鮮羊呢
[02219.52-02220.24] 大家都知道
[02220.24-02222.34] 当时是流帮新道的鲜羊
[02222.34-02223.62] 流帮到了鲜羊之后
[02223.62-02224.78] 公路都成
[02224.78-02226.06] 所以在这种情况之下
[02226.06-02227.32] 看到了秦王子阳
[02227.32-02230.56] 所以这有时候就把我们所说的秦王子
[02230.56-02231.44] 用抓住了
[02231.44-02234.56] 这时候就意味着秦朝已经灭网了
[02234.56-02236.08] 这意味着秦朝已经灭网了
[02236.08-02237.64] 但秦朝灭网了之后
[02238.32-02239.86] 在这里面大家都知道
[02239.86-02241.56] 发生了一个标有趣的事
[02241.56-02243.84] 就是进到了我们所说的
[02243.84-02245.00] 这个公里面的时候
[02245.00-02246.40] 就是大家都知道
[02246.40-02248.60] 流帮它其实是草莽出身
[02248.60-02250.08] 就类似于我们所说的
[02250.08-02251.40] 手里啥都没有
[02251.40-02252.20] 没有见过金钱
[02252.20-02252.96] 没有见过迷女
[02252.96-02253.92] 所以入了显成
[02253.92-02255.12] 进到这个功率之后
[02255.12-02256.80] 那就是什么都去拿
[02256.80-02258.68] 就是什么都往口袋里去塞
[02258.68-02260.32] 看他的主宝也塞
[02260.32-02261.52] 看到那个捐着
[02261.52-02262.36] 什么的逐渐
[02262.36-02263.20] 一往里塞
[02263.20-02264.24] 然后在那个功念里
[02264.24-02265.52] 收集东西的时候
[02265.52-02267.32] 这个时候就突然听到
[02267.32-02268.32] 这个人跟他说
[02268.32-02269.12] 说你拿吧
[02269.12-02270.16] 多拿一点
[02270.16-02271.36] 你再多拿一点
[02271.36-02272.36] 你再不多拿的话
[02272.36-02273.44] 就没有机会拿了
