[00000.00-00005.00] 好,我们接着来往后来看,咱们在前面的其实是给大家去
[01155.54-01157.06] 这个责任怎么花分呢
[01157.06-01158.70] 他这个地方就给到了
[01158.70-01162.08] 他說 米法典第164條第2款規定
[01162.08-01164.30] 帶人和相對人略傳統
[01164.30-01166.70] 損害被帶人和他權益的
[01166.70-01169.34] 他們兩個承擔連帶 走人
[01169.34-01170.32] 承擔連帶走人
[01170.32-01172.50] 所以在這裡我們把它標準清楚
[01172.50-01173.34] OK了
[01173.34-01176.22] 這使我們所說的有關於
[01176.22-01178.18] 帶領權的爛用問題
[01178.18-01181.18] 也就是我們所說的有關於要善意在你的內容
[01181.18-01183.34] 在這裡方大家要掌握的是
[01183.34-01186.46] 第一個 權利帶領權爛用的情況的哪些
[01186.46-01190.42] 第2例就是他的具体表现能够回扩到案例当中就OK了
[01190.42-01192.26] 这是代理权的兰用
[01192.26-01193.70] 好 那这是第2个点
[01193.70-01199.06] 那讲完了什么是代理也知道了我们的代理人要善意形式代理权
[01199.06-01200.54] 第3例我们就来看一下
[01200.54-01204.46] 那在整个代理过程当中还会出现什么问题呢
[01204.46-01207.50] 大际在整个代理过程当中还会出现两种情况
[01207.50-01209.50] 一种叫做无权代理
[01210.50-01213.14] 另外一种叫做表建代理
[01213.14-01216.22] 首先看下第1个无权代理
[01216.22-01218.22] 在这里大家要能去去分
[01218.22-01220.22] 我们在这里所说的无权代理
[01220.22-01222.66] 它指的是协议的无权代理
[01222.66-01225.50] 而表现代理的它是广意的无权代理的范围
[01225.50-01226.90] 所以我们在做体的时候
[01226.90-01228.14] 如果提到无权代理
[01228.14-01229.74] 我们说的就是协议的无权
[01229.74-01230.94] 没卖了吧
[01230.94-01232.34] 那么来看一下
[01232.34-01233.86] 在协议的无权代理当中
[01233.86-01234.74] 它说的是什么
[01234.74-01235.98] 它说无权代理
[01235.98-01237.14] 咱们前面讲过
[01237.14-01238.90] 说是飞机于代理权
[01238.90-01241.18] 而一本人民也本人指的是谁
[01241.18-01244.18] 被代理人,对吧,而被代理人的名义时时的
[01244.18-01247.58] 将效果归于被代理人的代理,这个就要做无权代理
[01247.58-01248.78] 说白了,就是这个事
[01249.58-01252.98] 他本来,对吧,你没有权去做,但是你去做了
[01252.98-01254.18] 这个就要做无权代理
[01254.18-01256.98] 他说这个无权代理,我们取得是逛应
[01256.98-01261.78] 这个无权代理,他包括两种,一种是下一的无权,一种是表现的无权
[01261.78-01264.58] 什么是下一的无权代理呢?他们来看一下
[01264.58-01268.98] 下一的无权代理,是指除表现代理以外的
[01268.98-01272.90] 那些没有代理权超越代理权线
[01272.90-01277.02] 或者是我们所说的代理权中之以后
[01277.02-01282.02] 然后就做超越代理权或者是代理权中之以后
[01282.02-01283.70] 那这个是协议的无权代理
[01283.70-01284.78] 同时标注一下
[01284.78-01287.10] 需要大家掌握的就是协议的无权代理
[01287.10-01289.78] 有哪些这个点是要大家去实际的
[01289.78-01291.34] 协议无权代理没有代理权
[01291.34-01292.82] 就是你已经被开俗了
[01292.82-01293.30] 对吧
[01293.30-01298.10] 这种情况是向你无权代理公司代表公司去和其他的公司签合同
[01298.10-01300.10] 就叫無權代理,第二超越代理選
[01300.10-01302.60] 我委託你,或者是我受權給你的
[01303.10-01306.10] 是讓你去買杯子,你買了很多的馬統回來
[01306.10-01310.10] 對吧,我讓你去買馬統,你買了很多的皮蠢子回來
[01310.10-01312.10] 這不是我讓你幹的事,對吧?
[01312.10-01314.10] 所以他這個叫屬於超越代理選
[01314.10-01317.10] 第三個就是代理選終止
[01317.10-01321.10] 這件事就只有一次性的受權效率
[01321.10-01324.10] 結果一次性的受權效率,你又打著公司的起號
[01324.10-01326.10] 去跟其他公司簽合通
[01326.10-01327.90] 这个就要带理选中之后
[01327.90-01330.44] 所以下一个无钱带理就是你无钱这么做
[01330.44-01331.48] 不钱这么做
[01331.48-01333.14] 所以这是我们所说的什么
[01333.14-01335.06] 第一个叫个下一个无钱带理
[01335.06-01336.70] 那下一个无钱带理咱们说了
[01336.70-01338.08] 无钱带理的合同
[01338.08-01339.42] 它的效率是什么
[01339.42-01341.98] 它的效率是效率带定的
[01341.98-01342.94] 大家应该还记得吧
[01342.94-01343.76] 我们所说的
[01343.76-01345.06] 没有带理选拆的钱
[01345.06-01346.70] 或者是带理选中之之后
[01346.70-01348.18] 它是效率带定
[01348.18-01349.30] 是效率带定
[01349.30-01351.82] 到底发发生效率法律效果要怎么办
[01351.82-01355.14] 要看被带理人的太短法得量的太短
[01355.14-01356.62] 这个点咱们前面说说过了
[01356.62-01358.62] 那你就知道两个点
[01358.62-01359.30] 第一个要知道
[01359.30-01360.38] 瞎屋全代理
[01360.38-01361.58] 有些情况
[01361.58-01362.78] 第二个它的效率
[01363.78-01365.06] 咱们说了是效率
[01365.06-01365.74] 代定
[01365.74-01366.54] 这个呢
[01366.54-01367.18] 在这
[01367.18-01368.50] 不以为多说了
[01368.50-01370.58] 这个就是瞎屋全代理
[01370.58-01371.50] 但是我们说了
[01371.50-01372.66] 在屋全代理当中
[01372.66-01373.86] 如果去广义的话
[01373.86-01374.62] 他用说了
[01374.62-01375.54] 他还包破什么
[01375.54-01376.50] 表现代理
[01376.50-01377.70] 而且瞎屋全代理说了
[01377.70-01379.26] 也是出表现代理之外
[01379.26-01379.86] 对不对
[01379.86-01382.22] 我们来看一下到底什么是表现代理
[01382.22-01383.62] 他说表现代理
[01383.62-01387.10] 他说无权代理随未经追任
[01387.10-01389.76] 但是由于本人的过失或基于本人
[01389.76-01391.52] 有权代人之间的特殊关系
[01391.52-01393.36] 是要善意相对的
[01393.36-01395.90] 善意第三人确信无权代人相对力权
[01395.90-01398.16] 这个就叫做表现代理
[01398.16-01399.84] 表现代理其实就说什么
[01399.84-01401.64] 你本身是没有权力作政事了
[01401.64-01403.58] 但是你这个人能装
[01403.58-01405.04] 而且你装得特别的好
[01405.04-01406.66] 你让第三方相信了
[01406.66-01407.56] 你是有代力权的
[01407.56-01411.00] 这个时候第三方基于对你的这种信任
[01411.00-01412.80] 然后和你牵的合同
[01412.80-01414.20] 这个时候就够成了什么
[01414.20-01416.80] 这个时候就够成了叫做表建代理
[01416.80-01417.80] 表现代理
[01417.80-01420.40] 所以表现代理在这个地方大家知道
[01420.40-01422.40] 他有这么几个条件
[01422.40-01423.40] 他有这么几个条件
[01423.40-01425.20] 第一个条件是我们所说的什么
[01425.20-01426.60] 没有代理权
[01426.60-01427.40] 在旁边写上
[01427.40-01428.60] 第一个就是
[01428.60-01430.80] 代理人无代理权
[01434.40-01435.40] 没有代理权
[01435.40-01437.20] 你说老是没有代理权什么情况
[01437.20-01438.12] 就是刚才咱们说的
[01438.12-01440.20] 协议的无权代理的三种情况
[01440.20-01442.80] 沒有代理權超越代理權以及代理權終止
[01442.80-01444.80] 所以第一個就是你無代理權
[01444.80-01446.60] 第二個雖然你沒有代理權
[01446.60-01448.60] 但是幹嘛你有權利外國人
[01448.60-01451.20] 其實旁邊你有權利外國人
[01452.00-01453.60] 這個權利外國人是啥意思
[01453.60-01455.00] 雖然你沒有代理權
[01455.00-01457.40] 但是你能夠讓第三方相信
[01457.40-01459.20] 你是已經被受權的
[01459.20-01459.60] 對吧
[01459.60-01461.00] 所以在這裡面我們所說的
[01461.00-01462.40] 你是具有權利外國人的
[01462.40-01464.00] 那這個權利外國人在考試當中
[01464.00-01465.00] 經常會怎麼考呢
[01465.00-01466.20] 比如說你手裡有什麼
[01466.20-01467.60] 你手裡有我們所說的
[01467.60-01469.60] 相當公司的受權委託書
[01470.20-01473.40] 你就被开除了,但是你原来有公司的空白河
[01473.40-01474.40] 还盖着这儿呢?
[01474.40-01476.60] 他既然有空白河,那上面的想起的大信了
[01476.60-01478.00] 想打写的大信了,对吧?
[01478.00-01481.20] 比如说,售学委,说,比如说,介绍信
[01482.40-01485.20] 或者是,盖有公司公张的空白河痛
[01488.00-01493.20] 盖有公司公张的空白河痛
[01493.20-01499.60] 这些你如果拿出来了之后,你足够让我相信,你是有什么?有带里选的
[01499.60-01503.00] 或者是我们所说的 还有一种情况就是基于交易习惯
[01503.00-01505.60] 就是我说了 我们为了捅你去买杯子 对吧
[01505.60-01507.40] 每次都是你 每次都是你
[01507.40-01509.00] 所以都已经形成条件反射了
[01509.00-01511.40] 对方一看到你 买杯子的来了
[01511.40-01513.20] 那这种情况就是基于交易习惯
[01513.20-01516.20] 那他如果说 基于这一以上这种情况
[01516.20-01519.80] 我们所说的第三方 他是游流 相信你是有代理权的
[01519.80-01523.20] 那你在这个时候 你看你没有代理权 你有权利外观
[01523.20-01525.20] 然后在这种情况之下 你还与什么
[01525.20-01528.20] 你还与我们所说的第三方 千病了
[01528.20-01530.20] 我们所提到的什么 代理和通
[01530.20-01531.86] 这个时候你就属于什么
[01531.86-01533.76] 你就属于表建代理
[01533.76-01535.04] 那就属于表建代理
[01535.04-01537.04] 所以在这里代表注意下表现代理
[01537.04-01538.70] 它的一个条件
[01538.70-01540.70] 没有代理全安距率全力外观
[01540.70-01543.24] 这个时候你与第三方签订了
[01543.24-01545.56] 这个权利外观就是我们所说的
[01545.56-01547.16] 史帝战方注意相信
[01547.16-01549.56] 这时候和第三方签订了这个和通
[01549.56-01552.36] 它到底能不能约数费代人呢
[01552.36-01554.72] 这种情况之下就叫做表现代理
[01554.72-01555.92] 所以表现代理大家注意下
[01555.92-01557.64] 第一个明确它的条件
[01557.64-01560.40] 第二个咱们说了,有很多同学到这儿还说得吗?
[01560.40-01565.58] 老师,又代理,又表现代理,又无权代理,又这又难的。
[01565.58-01567.12] 他们之间到底什么关系?
[01567.12-01570.80] 他们注意啊,表现代理和我们刚才所说的,
[01570.80-01572.40] 下一的无权代理,
[01574.44-01575.84] 下一的无权代理。
[01577.36-01579.40] 打住一下,它其实都是什么?
[01579.40-01583.20] 它其实都是广意的无权代理,对不对?
[01585.00-01586.84] 它其实都是广意的无权代理。
[01586.84-01589.52] 那怎么去去分表现和啥一个无形代理呢
[01589.52-01590.56] 他们之间的去分
[01590.56-01591.96] 其实就在一个点同学们
[01591.96-01595.68] 就看对方会不会相信
[01598.36-01600.72] 他们之间的这个去分大注意下
[01601.76-01603.80] 表现代理是啥一个无形代理
[01603.80-01606.08] 他们之间的这个去分就看什么
[01606.08-01610.44] 就看相对人是否能够相信
[01610.44-01611.80] 相对人是否能够相信
[01611.80-01613.32] 就说在这种情况之下
[01613.32-01615.72] 他是不是属于
[01615.72-01617.00] 就有1600万的
[01617.00-01618.54] 第三是否有理由消息
[01618.54-01619.30] 你有带里选
[01619.30-01621.36] 在这里面发的写在哪呢
[01621.36-01623.66] 就是表现带里和下午前带里的去分
[01623.66-01624.68] 我把它发起来再这
[01624.68-01624.94] 好吧
[01624.94-01626.72] 你自己做图都时候你给他做在一块
[01626.72-01628.52] 他们之间的区分就在于什么
[01628.52-01630.82] 就是第三人
[01632.10-01633.64] 是否
[01633.64-01635.94] 有理由
[01635.94-01639.02] 相信
[01639.02-01641.32] 行为人
[01641.32-01645.16] 有带里选
[01645.16-01647.56] 就在第三人世谷相信行为人戴旋
[01647.56-01649.92] 如果第三人相信行为人戴旋的
[01649.92-01651.76] 这个就属于表现戴里
[01651.76-01653.92] 如果第三人不相信他有戴旋
[01653.92-01655.40] 然后这里面就属于什么
[01655.40-01656.44] 下一度无限戴里
[01656.44-01657.00] 没办法
[01657.00-01658.04] 所以在这里面你看
[01658.04-01660.40] 第三人世谷相信戴里旋就看他了什么
[01660.40-01661.76] 就看他的权力卫观
[01662.52-01664.72] 就是你师傅足以让第三人相信
[01664.72-01666.04] 你虽然没有戴旋了
[01666.04-01668.28] 但是看起来是有戴里旋的事情情况
[01668.28-01670.96] 这是我们所说的叫做表现戴里
[01670.96-01672.40] 表现戴里说到底
[01672.40-01673.76] 就是你没有戴旋
[01673.76-01675.30] 和人公司签合同了
[01675.30-01676.58] 这个时候签合同之后
[01676.58-01677.34] 这个钱
[01677.34-01679.14] 我们所说的公司找谁要
[01679.14-01681.18] 找原来的我们所说的
[01681.18-01682.98] 被代人要能不能要到这个情况
[01682.98-01683.48] 对吧
[01683.48-01685.02] 这个就是我们所说的
[01685.02-01686.04] 有关于表现代理
[01686.04-01688.86] 它的一个具体的一个情况
[01688.86-01689.64] 来看一下
[01689.64-01691.42] 那表现代理的过程要就咱们说了
[01691.42-01692.18] 没有受权
[01692.18-01692.96] 有权利外观
[01692.96-01694.24] 第三人善意起
[01694.24-01694.76] 五过十
[01694.76-01696.04] 这个咱们刚才讲过了
[01696.04-01697.32] 那么需要掌握的就是
[01697.32-01699.10] 这个表现代理发生之后
[01699.10-01700.90] 它的法律后果又是来承担的
[01700.90-01701.92] 我们来看一下在这里
[01701.92-01702.94] 它所给到的
[01702.94-01704.94] 第一個就是從外部關係上
[01704.94-01705.82] 外部關係上
[01705.82-01707.86] 他說代理行為所設定的權利物關係
[01707.86-01708.78] 由誰來成熟
[01708.78-01709.78] 由背代人成熟
[01709.78-01711.34] 比如在外部關係上
[01711.34-01713.18] 是背代理人
[01715.74-01717.06] 是背代理人
[01717.06-01718.74] 成熟法律後果
[01718.74-01719.82] 在內部關係上
[01719.82-01720.30] 你看
[01720.30-01722.14] 說本人成熟法律後果
[01722.14-01724.14] 可以向表現代理人怎麼樣
[01724.14-01724.94] 追查
[01724.94-01727.58] 還是一個簡單的例子
[01727.58-01728.54] 就是簡單的例子
[01728.54-01730.70] 比如說還是小A
[01730.70-01733.90] 小 A 它是A公司的員工
[01735.38-01737.70] 是A公司的員工,我把它把它挖在
[01739.02-01740.62] 它在下面空白的地方
[01740.62-01743.90] 比如说小 A 是A公司的員工
[01745.42-01748.62] 然后A公司為拖小 A
[01748.62-01750.78] 是不是就给它相应的数据
[01750.78-01755.54] 让它去代理,干嘛去向B公司去买杯子
[01755.54-01761.32] 那就是未脫A,也我们所说的
[01761.32-01763.94] A公司的免疫向B公司买杯子
[01766.94-01769.78] 这就是一个什么,这就是一个代理的过程
[01769.78-01773.78] 那代理的过程就是小A要也A公司的免疫去买杯子
[01773.78-01776.26] 对吧,但是在买卖合同过程当中
[01776.26-01780.90] 那他给A公司给小A的有权的数权
[01780.90-01783.46] 可以给小一切一个数权里头说
[01783.46-01785.08] 或者小一开介绍谢
[01785.08-01786.50] 或者给小一份空白
[01786.50-01787.94] 给小一几份空白和同说
[01787.94-01789.10] 你拿这个空白和的嘛
[01789.10-01791.24] 以后咱们公司再有业务找闭公司的时候
[01791.24-01792.60] 你就在这个空白和同上
[01792.60-01793.70] 任意去打就行了
[01793.70-01795.18] 然后在上面盖了一个什么
[01795.18-01796.30] 盖了一个工章
[01796.30-01797.78] 那你看在这种情况之下
[01797.78-01799.54] 是不是小一就获得了什么
[01799.54-01800.30] 带你受权
[01800.30-01802.02] 但是由于小一他吃回后
[01802.02-01803.86] 后来就被公司开除了
[01803.86-01805.18] 被公司开除之后
[01805.18-01806.50] 小一手里还剩余什么
[01806.50-01809.26] 小一手里还剩余一些空白和同
[01810.26-01811.98] 那这个时候小一种很生气啊说
[01811.98-01814.22] 我给你公司创造了那么多的业劫
[01814.22-01816.34] 我就因为这一点点小小的错误
[01816.34-01817.62] 你就要把我开除
[01817.62-01818.70] 所以在这种情况之下
[01818.70-01819.78] 它就心怀愿很
[01819.78-01821.62] 它说我一定要让A公司崔
[01821.62-01823.86] 于是被开除的这个小A
[01823.86-01825.46] 它后来被开除了
[01825.70-01827.46] 于是被开除的这个小A
[01827.46-01828.26] 它就干嘛
[01828.26-01831.70] 它就拿着它手里现在有的这个空白河通
[01831.70-01833.54] 然后把这个河通的内容補弃
[01833.54-01835.22] 拿着这个空白的河通
[01835.22-01836.62] 它又去找了B公司
[01836.62-01839.62] 然后干嘛找B公司买杯子
[01839.82-01840.58] 买了多少呢
[01840.58-01842.82] 这次买了30万个杯子
[01842.82-01844.66] 然后买了30万个杯子之后
[01844.66-01845.30] 然后他说了
[01845.30-01845.82] 他说好了
[01845.82-01847.54] 我们都在这个河通上签字了
[01847.54-01850.18] 那最后他说这个钱老规矩
[01850.18-01851.70] 这个钱老规矩
[01851.70-01852.58] 去找谁呢
[01852.58-01855.06] 去找公司要去找A公司要
[01855.06-01856.74] A公司到时候会给你包销的
[01856.74-01858.18] 那这个河通什么钱了
[01858.18-01860.18] 那这个河通签了咱们也都知道
[01860.18-01862.42] 小业已经被A公司开除了
[01862.42-01865.46] 那这个时候他用拿着这个河通去找人B公司
[01865.46-01866.98] 那到时候B公司要钱
[01866.98-01868.82] 就会睡到A公司到底要不要给
[01868.82-01870.74] 这个就叫做表现代理 对吧
[01870.74-01872.10] 表现代理我们说了
[01872.10-01875.18] 在外部关系上对背代理人发生法律后果
[01875.18-01875.98] 也就是
[01875.98-01878.10] 毕攻死他知不知道A公司被开除了
[01878.10-01878.98] 他不知道
[01878.98-01879.26] 对吧
[01879.26-01882.30] 你也没有你A公司也没有通知人家毕攻死
[01882.30-01884.46] 所以他在这里如果说被开除的话
[01884.46-01885.38] 毕攻死不知道
[01885.38-01887.02] 那毕攻死不知道他就是什么
[01887.02-01888.02] 他就是善意的
[01889.54-01890.54] 他是善意的
[01890.54-01892.18] 他不知道他没有过是
[01892.18-01892.70] 对吧
[01892.70-01894.62] 因为每一次都是小A蓝蓝的
[01894.62-01896.02] 他这一次又有足够的理由
[01896.02-01897.38] 认为小A是有权的
[01897.38-01899.78] 所以它是善意的钱无过施的
[01899.78-01901.94] 而且小亚还拿来了什么控外合同事
[01901.94-01902.86] 有权利外观的
[01902.86-01906.02] 所以小亚这种情况下就过程了表建代理
[01906.02-01907.86] 那表建代理的法律后果
[01907.86-01909.30] 规于谁规于A公司
[01909.30-01911.46] 所以到时候B公司去找A公司要钱
[01911.46-01913.66] A公司要不要给A公司要给钱
[01913.66-01915.38] 因为B公司不知道
[01915.38-01916.58] 它仅是善意的
[01916.58-01917.54] 就不能对抗它
[01917.54-01919.10] 所以还是有被代理人代理
[01919.10-01921.30] 那说A公司拿了钱之后就吃了这个亚吧
[01921.30-01921.90] 可以吗
[01921.90-01922.58] 也不可能
[01922.58-01924.22] 所以在内部关心上什么
[01924.22-01926.34] A公司把钱付给B公司之后
[01926.34-01930.68] 他付款 付款了之後要去找小A追尝的
[01930.68-01931.72] 找小A追尝
[01931.72-01936.84] 這個就要內部關係上 要向有權向表現帶領人情球配上
[01936.84-01939.84] 那就是我們剛才所說的 各論上 各論各的
[01939.84-01942.20] 所以在這裡面大家要注意一下
[01942.20-01946.04] 這是我們所提到的叫做無權帶領和表現帶領
[01946.04-01948.60] 所以無權帶領 紛廣義和下一
[01948.60-01951.54] 廣義的無權帶領包括下一路線帶領和表現帶領
[01951.54-01955.52] 那下一路線帶領和表現帶領直接就看第三人失佛
[01955.52-01956.92] 有理由相信了
[01956.92-01958.88] 所以在这个地方大家要注意一下
[01958.88-01960.90] 这是我们所说的关于
[01960.90-01963.56] 无权代理和表情代理它的内容
[01963.56-01964.00] 好
[01964.00-01966.12] 这个是我们所说的有关于
[01967.12-01968.32] 这个代理的问题
[01968.32-01969.52] 咱们做一道题吧
[01969.52-01972.00] 说下列关于代理说法错误的事
[01972.00-01972.68] 看一下
[01972.68-01974.28] 代理人当一字的名言
[01974.28-01975.32] 以谁的名言
[01975.32-01976.68] 以本人的名言
[01976.68-01977.72] 本人也叫做
[01977.72-01978.88] 被代理人的名义
[01978.88-01979.52] 对不对
[01982.44-01983.68] 是以本人的名义
[01983.68-01985.22] 被代理人的免疫来实施
[01985.22-01986.50] 所以遗憲说错误
[01986.50-01988.80] 说一照法律规定
[01988.80-01990.76] 英当有本人实施的行为
[01990.76-01991.50] 对吧结婚
[01991.50-01992.64] 你不能说被错别人
[01992.64-01993.16] 但结婚
[01993.16-01994.04] 不能说被错别人
[01994.04-01994.64] 但离婚
[01994.64-01995.40] 这都不行
[01995.40-01996.22] 那说在这里
[01996.22-01997.72] 英有本人实施的不得代理
[01997.72-01998.32] 没毛病
[01998.32-01999.04] 思选项
[01999.04-02001.20] 说按照双方代理
[02001.20-02002.12] 双方当时
[02002.12-02002.76] 冤定
[02002.76-02003.84] 英当有本人实施的
[02003.84-02004.16] 冤定
[02004.16-02005.64] 英当有本人实施的不得代理
[02005.64-02006.28] 也正确
[02006.28-02006.48] 对吧
[02006.48-02007.24] 第四个
[02007.24-02008.76] 说被代理人对
[02008.76-02009.88] 代理行为成呐
[02009.88-02010.56] 明视责任
[02010.56-02011.16] 对不对
[02011.16-02011.72] 正确
[02013.68-02015.68] 对背待的人发生反对效果
[02016.68-02019.04] 所以这要提说法错误的事
[02019.04-02020.80] 许询像说错误是
[02020.80-02022.32] 那这是第一个
[02022.32-02024.24] 那第二题咱们来看一下
[02024.24-02025.60] 第二题的说了说
[02025.60-02027.68] 摩承又远张某把张某话出来
[02027.68-02028.80] 开除了开除
[02028.80-02030.68] 你开除了这个时候你的
[02030.68-02031.80] 打提的雷的
[02031.80-02032.92] 就应该想起来了
[02032.92-02034.28] 就应该第一第一想
[02034.28-02036.80] 被开除了开除了这个就可能会什么
[02037.52-02038.32] 表现代理
[02038.32-02038.88] 那你看
[02038.88-02040.72] 被开除后背了报复假工厂
[02040.72-02042.00] 你还真跟咱们说的一样
[02042.00-02042.56] 对吧
[02042.56-02045.64] 蓋有假工廠公張的空白和同說
[02045.64-02047.46] 於以廠把一場發出來
[02047.46-02048.70] 签點了一份共相合同
[02048.70-02050.96] 以布織球把布織情發出來
[02050.96-02052.12] 在這裡面你看
[02052.12-02054.08] 在這個地方有權利外觀
[02055.36-02057.92] 而且也是什麼 山一地三人
[02058.44-02060.98] 而且張某是有沒有帶里權無權
[02060.98-02062.52] 對不對 無帶里權
[02062.52-02063.82] 你看三個藥素氣權了
[02063.82-02064.84] 可以照換龍珠了
[02064.84-02066.62] 那這時候就可以能夠明確
[02066.62-02068.16] 他簽了這個合同屬於什麼
[02068.16-02070.08] 屬於表現代理的合同
[02070.08-02070.98] 表現代理
[02072.56-02074.24] 那表建代理怎么说了
[02074.24-02075.28] 表建代理
[02075.28-02078.88] 法律效果外部外部对被代理人有没有效
[02078.88-02081.08] 对被代理人有效的
[02081.08-02082.60] 那内部的话怎么办
[02082.60-02085.44] 可以向表建代理人追尝
[02085.44-02086.32] 那来看一下
[02086.32-02088.12] 他和一场签订了合同
[02088.12-02089.48] 和一场签订合同之后
[02089.48-02091.88] 最后你是不是在早上夹尝要钱
[02091.88-02093.88] 结果一场去上夹想要钱的时候夹尝
[02093.88-02095.48] 拒绝从人引起就分
[02095.48-02097.12] 那到底夹尝要不要付钱
[02097.12-02097.76] 要付钱
[02097.76-02098.68] 因为无说了
[02098.68-02100.00] 对于外部的话
[02100.00-02100.60] 怎么样
[02100.60-02102.36] 外部对被代理人发生
[02102.36-02105.56] 效果和同时有消的
[02105.56-02109.28] 这个时候你夹厂必须给钱
[02109.28-02111.12] 夹厂给完强务之后可以向谁
[02111.12-02113.80] 可以向我们所说的这个招抹之场班
[02113.80-02117.00] 那么来开下一遍向招抹的行为是不全代理和同无效
[02117.00-02118.00] 它属于什么代理
[02118.00-02120.28] 它属于表建代理
[02120.28-02121.44] 它属于表建代理
[02121.44-02121.72] 对吧
[02121.72-02123.24] 所以 A 地排除掉了
[02123.24-02125.16] 那表建代理和同有效无效
[02125.16-02126.52] 和同有没有效
[02126.52-02127.96] 看什么 构成要件
[02127.96-02130.00] 构成要件当中有效交个什么
[02130.00-02133.52] 有效的明式法律行为强、功、主、一
[02134.24-02136.92] 这个合同違反法律强制行为定了吗?没有
[02136.92-02139.72] 对吧,被公诉量工训凉俗了吗?没有
[02140.20-02143.32] 他这个招某案完全明式行为的力量
[02143.32-02144.72] 对吧,符合主体要求
[02144.72-02145.96] 意思表示这么认识
[02145.96-02147.08] 意思表示也真实
[02147.92-02148.44] 对吧
[02148.44-02150.16] 人招某想和人家定力合同
[02150.16-02151.96] 然后呢,一场也跟他定力合同
[02151.96-02153.08] 意思表示真实
[02153.08-02155.04] 在这里面合同有没有效
[02155.04-02156.12] 合同有效啊
[02156.12-02156.56] 对不对
[02156.56-02157.12] 合同有效
[02157.12-02158.52] 所以这要提选择的是
[02158.52-02160.06] 而畢,选项
[02160.06-02161.08] 他说河通无效就错了
[02161.08-02163.90] 河通无效的情况就是强工主义,恶
[02163.90-02165.88] 你看你从哪个角度同一们
[02165.88-02167.74] 其实都能够推的出来
[02167.74-02169.94] 如果是从咱们强面前面讲掉的
[02169.94-02171.84] 明是法律行为的效率来推
[02171.84-02173.38] 有效和无效就说了
[02173.38-02175.16] 明是法律行为的效率
[02175.16-02177.98] 他应用在具体里面就是看河通有效效
[02177.98-02179.12] 看昏昏有效效
[02179.12-02180.36] 看继织有效效
[02180.36-02181.98] 他是不是是100亿个比
[02181.98-02184.48] 他的一个原理和应用的一个问题
[02184.48-02185.92] 那你可以判断河通有效
[02185.92-02187.96] 无效可以从明是法律行为上来判断
[02187.96-02190.16] 你是不是也可以直接从表现代理上来判断
[02190.16-02191.80] 咱们说了表现代理
[02191.80-02194.16] 对被代理人发生效应
[02194.16-02195.80] 那既然对被代理人发生效应
[02195.80-02196.88] 那就是有效的
[02196.88-02197.20] 对吧
[02197.20-02198.60] 所以你无论是从
[02198.60-02200.52] 民事法律行为的角度来打
[02200.52-02202.88] 还是从表现代理的角度来打
[02202.88-02204.64] 这个体它其实都能够怎么样
[02204.64-02205.80] 都能够选得出来
[02205.80-02208.68] 那这个是我们所说的有关于代理的问题
[02208.68-02209.28] 那到这呢
[02209.28-02211.92] 我们就把代理给大家说了
[02211.92-02213.04] 所以大家明确
[02213.04-02214.24] 在代理当中我们讲了
[02214.24-02215.72] 第一个代理到底是什么
[02215.72-02217.92] 从代理的海当中有三个细节一点
[02217.92-02224.20] 被戴脸明夜,被戴人发生法律后果,第三个约定会有本人亲自死死的不得戴脸
[02224.20-02229.80] 第二个我们说了,戴脸出于人生心来关系,就要求戴脸是善意形式戴脸的
[02229.80-02232.04] 就是你不能有惠心的,你不能有惠心的,你不能有惠心的
[02232.04-02238.00] 这有时候就要对戴脸全体形线制,这个对戴脸全体线制,只要防止戴脸的烂肉
[02238.00-02240.72] 戴脸脸用集中情况,三种
[02240.72-02243.52] 戴脸脸用的这三种情况,第一个,自己戴脸
[02243.52-02245.60] 小李代丁第二个收放代理
[02245.60-02248.44] 小李代丁第三个恶意串通五校
[02248.44-02253.20] 英雄说了强工主义恶恶意串通的民事法律行为五校
[02253.20-02255.04] 这个就是权利的练用
[02255.04-02256.44] 那除了权利练用之外
[02256.44-02258.44] 我们刚才又提到了另外一个点
[02258.44-02259.08] 咱们也说了
[02259.08-02262.48] 那就是武权代理和表现代理能够去分析
[02262.48-02265.08] 他想要过程表现代理就那几个要件
[02265.08-02266.88] 反而夫妇给他整清楚就行了
[02266.88-02268.36] 那这是第二题
[02268.36-02271.16] 第三题来看一下说孙某话
[02271.16-02273.96] 委託無抹 把委託化成個抹化出來
[02273.96-02276.52] 只要為代理人共媒體或物
[02276.52-02279.08] 這個時候孫某事實被代理人
[02279.08-02280.44] 或者叫做被人
[02280.44-02282.52] 無抹事實 代理人 委託他了
[02282.52-02283.84] 那下列無抹的行為
[02283.84-02285.32] 違反 違反圈出來
[02285.32-02286.76] 違反法律規定的是
[02286.76-02287.56] 你想想
[02287.56-02290.44] 說無抹生重病 停止了 夠貨
[02290.44-02292.12] 事已並通知了孫某
[02292.12-02293.24] 人都並不起了
[02293.24-02295.12] 你不能法律不強是所難
[02295.12-02296.20] 你不能說你快點
[02296.20-02297.16] 你還有一口圈
[02297.16-02298.76] 你也去過我把核通過丟力了
[02298.76-02299.64] 你還試人嗎
[02299.64-02300.76] 對吧 所以在這裡面
[02300.76-02303.84] 他說生重變停止通知孫猛沒有問題吧
