[00000.00-00004.72] 那我们再来看一下第二个有没有给大家讲解的犯罪就是新卡差骗罪
[01173.50-01175.50] 所以在这里面如果只是单纯的
[01175.50-01177.50] 炸片侵战抢多
[01177.50-01179.50] 敲战了所一张卡
[01179.50-01180.50] 一敲就是拿到这张卡
[01180.50-01181.50] 而不是说其他的才误
[01181.50-01183.50] 它其实本身不够成这些罪
[01183.50-01185.50] 我说想够成新款炸片罪
[01185.50-01188.08] 新款雜品最是这些非法获得的行为
[01188.08-01189.52] 你通过这片墙多
[01189.52-01191.60] 侵占挑战了所的这些行为
[01191.60-01192.54] 拿到了卡
[01192.54-01195.12] 然后把这个卡怎么样使用了
[01195.12-01196.70] 你比如说你去
[01197.70-01200.52] 到在这个时候你去墙多了
[01200.52-01202.92] 你去墙多了一张别人的这种性卡
[01202.92-01204.96] 然后墙多了之后通过获得它的
[01204.96-01205.72] 银行性资料
[01205.72-01207.48] 你知道它的这个性卡的密碼
[01207.48-01208.60] 你去银行去刷
[01208.60-01209.14] 你看
[01209.14-01210.52] 你有了这些行为之后
[01210.52-01212.60] 你要再使用这些卡的时候
[01212.60-01213.66] 你才能够成什么
[01213.66-01215.96] 你才能够成新卡炸片罪
[01217.24-01219.04] 这个地方就是行为模型
[01219.04-01221.60] 我们为什么要在这里面给大家去进行拆解
[01221.60-01223.38] 就说它像一个公式一样
[01223.38-01225.94] 你看体验当中它说的这个案例过程什么罪
[01225.94-01228.26] 你看它服务这个模型就可以了
[01228.26-01229.54] 大家注意一下这是第一个
[01229.54-01231.06] 我们所说的这种情况
[01231.06-01233.38] 叫做炸片轻轻多
[01234.14-01235.16] 挑战乐所
[01235.16-01237.72] 仅仅是这四种行为获得卡之后
[01237.72-01239.52] 你拿到这个卡去使用
[01239.52-01241.06] 无论是去银行刷
[01241.06-01244.26] 就无论是去商场说 还是去银行提前
[01244.26-01247.06] 这种情况之下都购成新卡 炸片罪
[01247.06-01249.18] 非法取得行为除了这种行为之外
[01249.18-01251.66] 大家注意一下 还有什么行为的 还有强节
[01251.66-01253.66] 但是强节都主观 饿行比较大了
[01253.66-01256.46] 我们说了 强节往往是对人暴力
[01256.46-01258.86] 如果是你强节了一张新卡
[01258.86-01262.46] 然后逼破他说出银行卡的密码
[01262.46-01265.86] 然后你再从ATM机上驱走相的鞋
[01265.86-01267.26] 你这个时候就怎么了
[01267.26-01270.46] 你这个时候其实购成本质的是什么 强节罪
[01270.46-01272.00] 所以我们所说的
[01272.00-01274.80] 在这里面非法取得行为的第二种就是我们所说的
[01274.80-01275.58] 强节
[01275.58-01277.38] 所以强节加使用
[01280.18-01281.20] 它定什么罪了
[01281.20-01282.74] 它就不定性卡差平罪了
[01282.74-01285.18] 因为非法取得行为非好几种嘛
[01285.18-01286.58] 所以我们给它拆开了
[01286.58-01288.12] 如果是强节加使用的话
[01288.12-01289.26] 你定的就是什么罪
[01289.26-01291.18] 你定的就是强节罪
[01291.18-01292.98] 而这个时候不能定什么
[01292.98-01294.26] 不能定我们所说的
[01294.26-01295.04] 性卡
[01295.04-01295.80] 炸片罪
[01295.80-01297.10] 所以这是第二种情况
[01297.10-01297.98] 大家要注意
[01297.98-01298.62] 我们所说的
[01298.62-01300.48] 叫做搶接它是性感
[01300.48-01301.56] 那非法起的行为
[01301.56-01302.72] 还有第三种情况
[01302.72-01304.00] 第三种情况就是啥呢
[01304.00-01305.34] 第三种情况就是我们所说的
[01305.34-01306.56] 你抱歉了一张卡
[01306.56-01309.36] 如果只是单全的抱歉卡的行为
[01309.36-01310.24] 不够成犯罪
[01310.24-01311.64] 但是如果你抱歉了之后
[01311.64-01313.16] 你使用了这张卡了
[01313.16-01314.22] 那这种情况之下
[01314.22-01314.96] 大家注意一下
[01314.96-01317.04] 根据行法第一百九十三条
[01317.04-01317.92] 第一百九十六条
[01317.92-01318.76] 第三款规定
[01318.76-01320.76] 说抱歉性卡并使用的
[01320.76-01322.16] 以抱歉的罪论处
[01322.16-01323.48] 所以我们就
[01323.48-01325.12] 那我们就特殊情况
[01325.12-01326.64] 特殊去记就行了
[01326.64-01330.74] 因为原本情况之下到切普通的性卡你的这个普通的到切性为
[01330.74-01331.94] 他不够成犯罪
[01331.94-01334.84] 我说了只有使用的时候才会够成犯罪
[01334.84-01336.24] 那一般情况下来说
[01336.24-01338.64] 他对人使用其实原则生也定炸片
[01338.64-01339.44] 但是呢
[01339.44-01342.54] 这个地方法律上进行了一个你制
[01342.54-01343.94] 就是在这里墙掉
[01343.94-01345.84] 你只要是到切了一张卡
[01345.84-01348.94] 无论是你对人使用还是对机器使用
[01348.94-01351.84] 只要是你到切了这张卡使用了以后
[01351.84-01352.44] 大家注意一下
[01352.44-01353.74] 你都订什么罪
[01353.74-01355.44] 你都订到切罪
[01356.64-01362.64] 这个时候就给大家拆分的很细了
[01362.64-01365.14] 就是你去提干的那种你就从头到
[01365.14-01366.64] 也去分析就可以了
[01366.64-01369.14] 比如说你看他说给你干理
[01369.14-01371.14] 说他是不是购成休法炸片罪
[01371.14-01373.14] 那他一般球下他比较喜欢的
[01373.14-01375.64] 阿利模型其实就是这个贸用真卡的情况
[01375.64-01379.14] 因为其他的那种使用尾造的使用作费的乐意透制的
[01379.14-01380.64] 你眼就看出来了
[01380.64-01382.64] 他都会有一些关键刺体试
[01382.64-01384.14] 反而上这种说
[01384.14-01387.42] 这个小A它先偏了一张性卡
[01387.42-01388.62] 偏了一张性卡之后
[01388.62-01390.06] 它再去用这张性卡
[01390.06-01392.46] 然后它问它购成什么罪
[01392.46-01393.66] 那你还在这种情况之下
[01393.66-01395.34] 你就开始有点梦了说偷卡
[01395.34-01396.86] 是不是购成道歉行为啊
[01396.86-01397.66] 其实不是的
[01397.66-01399.66] 这里面它很明显是属于第二种情况
[01399.66-01401.50] 它属于默用它人真卡
[01401.50-01404.30] 其中一种非法取得
[01404.30-01407.10] 我们所说的这种性卡在加上使用的
[01407.10-01410.78] 那就要去推断这种非法取得的这种行为加使用
[01410.78-01412.86] 在什么情况下过程性卡扎片罪
[01412.86-01417.98] 我们说了,只有在炸片侵占抢多敲炸乐锁家使用才够成新华差品罪
[01417.98-01423.50] 如果你是到期了一张新卡兵使用了,无论是你去延行取钱了,还去商场消费了
[01423.50-01425.98] 这种情况之下,你够成都是抢结罪
[01425.98-01429.58] 如果你是到期了一张卡家使用的话,那就够成什么罪
[01429.58-01434.02] 那就够成我们所说的,到期罪,它是一种法律上的抬制
[01434.02-01437.94] 明白了吧,就法律上的抬制,所以在这里面,大家要知道
[01438.34-01439.98] 我们所说的这个电
[01439.98-01443.34] 一定要把它細細地去給它拆分開
[01443.34-01444.34] 細細的拆分開
[01444.34-01446.14] 所以這是我們所說的關於
[01446.14-01447.74] 新卡詐騙的這個事
[01447.74-01448.98] 新卡詐騙這個事
[01448.98-01451.10] 但是我們說了這是新卡詐騙最
[01451.10-01452.14] 新卡詐騙最
[01452.14-01453.74] 抱歉的話我們在這裡說
[01453.74-01455.02] 道歉的11張什麼
[01455.02-01457.34] 11張相應的銀行卡
[01457.34-01457.98] 對不對
[01457.98-01460.86] 但是在這裡面還會可能出現另外一種情況
[01460.86-01462.70] 就是它道歉的這個東西
[01462.70-01464.26] 它沒有道歉它的銀行卡
[01464.26-01466.22] 以及銀行卡的相當的細細資料
[01466.22-01467.98] 它道歉的是什麼呢
[01467.98-01468.78] 大注意下
[01468.78-01470.22] 它如果在这里面
[01470.22-01473.10] 道切的不是银行卡的信息资料的话
[01473.10-01478.06] 而是在这里面是倒用了它的微信和支付宝的信息资料
[01478.06-01479.50] 比如说妈也花呗
[01479.50-01481.02] 比如说妈也借了呀
[01481.02-01483.10] 比如说你的微信钱包呀
[01483.10-01484.46] 你的支付宝钱包呀
[01484.46-01487.42] 如果在这里面它倒用的是这些信息
[01487.42-01489.02] 然后获得相得财产
[01489.02-01490.78] 然后再去使用的话怎么定
[01490.78-01491.58] 他们注意下
[01491.58-01493.10] 这里面就会考察一个混晓
[01493.10-01494.86] 我刚才说了它道切的这些东西
[01494.86-01496.30] 它一定是针对的是什么
[01496.30-01497.74] 要么是你的银行卡
[01497.74-01499.74] 要的是你的銀行卡信息資料
[01499.74-01500.34] 明白了吧
[01500.34-01502.64] 就是新卡詐片最他一定和卡有關
[01502.64-01505.04] 和銀行卡的信息資料有關系
[01505.04-01508.44] 所以他如果是針對的是銀行卡或銀行卡的信息資料的話
[01508.44-01510.14] 那這裡面他構成的是什麼
[01510.14-01512.14] 他構成的說我們所說的這個
[01513.24-01515.14] 信用卡詐片最
[01515.14-01517.44] 但是如果他在這裡面大注意啊
[01517.44-01518.94] 如果他在這裡面
[01519.94-01521.14] 強調的是什麼
[01521.14-01524.44] 強調的是B-C and支付寶的信息資料
[01527.74-01530.42] 把它写的旁边就是道用
[01534.42-01535.38] 微信
[01537.78-01539.66] 和支付寶的兴趣资料
[01545.62-01547.46] 那主要如果是道具微信
[01547.46-01549.22] 和支付寶的兴趣资料的话
[01549.22-01551.94] 同时想微信支付寶的兴趣资料
[01551.94-01554.10] 和银行卡的兴趣资料一样吗
[01554.10-01556.50] 其實不一樣的吧
[01556.50-01558.18] 到於微信的細細資料
[01558.18-01560.06] 這種情況之下和質素保細細資料
[01560.06-01561.98] 它其實和銀行卡的是不一樣的
[01561.98-01563.98] 銀行卡可能是要你的卡的細細
[01563.98-01565.30] 你的身份的驗證等等
[01565.30-01566.78] 但是你的微信質素保資料
[01566.78-01568.50] 它本質上不是銀行卡資料
[01568.50-01569.62] 若老是怎麼不一樣
[01569.62-01571.14] 反正都是我個人的細箱
[01571.14-01573.90] 但是你要知道你提供的細細的主體不一樣
[01573.90-01576.18] 你如果是去銀行失聯卡的話
[01576.18-01577.50] 你提交是像銀行
[01577.50-01579.14] 銀行是金融機構
[01579.14-01580.70] 但是你看像微信質素保
[01580.70-01582.26] 它是第三方支付平臺
[01582.26-01583.86] 它是不是金融機構不是
[01583.86-01587.06] 所以他到切银行信息资了银行卡的信息资料
[01587.06-01590.34] 和获得微信中保的信息量本身不一样
[01590.34-01594.14] 如果他是在这里到用微信支付宝的信息资料
[01594.14-01596.14] 然后在这个时候再去使用
[01596.14-01598.50] 比如说他到切了某某的手
[01598.50-01601.62] 比如说小 A 比如说小 A 到切了小 B 的手机
[01601.62-01604.34] 然后破解了小 B 手机上的微信支付密碼
[01604.34-01605.70] 然后把钱都花出去了
[01605.70-01608.02] 这种情况之下他属于刀刷行为
[01608.02-01611.62] 但这种刀刷行为是到取了他的微信支付宝的资料
[01611.62-01613.74] 这时候就不能定性卡诈片罪了
[01613.74-01618.02] 而要定什么罪 而定到切罪 疑绿定到切 明白了吧
[01619.82-01622.42] 这个时候你要把微信支付寶的资料
[01622.42-01624.58] 和我们刚才所提到的什么区讯开
[01624.58-01626.74] 我们刚才所提到的银行卡去认识开
[01626.74-01628.78] 所以在这里面大家一定要注意一下
[01628.78-01630.82] 这是我们给大家去讲讲解的
[01630.82-01633.26] 有关于性卡诈片罪它的内容
[01633.26-01635.46] 所以性卡诈片罪你看 他在这里说了
[01635.46-01637.22] 说性卡诈片罪会到切罪
[01637.22-01639.50] 他常考的区论什么 你看
[01639.50-01640.58] 道切并使用卡
[01640.58-01642.70] 我说只要是道切卡并使用
[01642.70-01643.94] 一率并道切
[01643.94-01644.38] 对吧
[01644.38-01645.66] 你还以道切追论处
[01645.66-01647.18] 他使得使用卡并使用
[01647.18-01648.58] 这卡不是你的你使得
[01648.58-01650.22] 是为非法赵目的侵占
[01650.22-01652.02] 那你看使得使用卡并使用的
[01652.02-01652.94] 也什么追论处
[01652.94-01654.54] 也使用卡账片追论处
[01654.54-01656.06] 所以在这儿同分就不用特殊
[01656.06-01657.50] 去计他们之间的区分了
[01657.50-01658.70] 你记住我给你的
[01658.70-01659.98] 这个行为模型就行了
[01659.98-01661.98] 谁第一个就是我们所说的什么
[01661.98-01663.86] 侵喊叫使用尾造的
[01663.86-01664.74] 或作费的
[01664.74-01666.86] 就是使用假卡的这种行为
[01669.50-01672.74] 使用假卡的重型位定什么定道歉
[01672.74-01675.64] 这个假卡样就是为造的卡样子做飞的卡
[01675.64-01677.30] 或者是乐意透支
[01677.30-01679.74] 是不是你只要有透支行为就算是
[01679.74-01681.02] 性卡差别最不适
[01681.02-01682.04] 首先要乐意
[01682.04-01683.42] 怎么判断你的乐意呢
[01683.42-01684.60] 两个条件吗
[01684.60-01687.94] 第一个就是你透支使就有什么
[01687.94-01690.10] 透支使就有飞法征的目的吧
[01690.10-01691.26] 第二个就是什么
[01691.26-01693.06] 我说了你干净环干净环
[01693.06-01694.34] 有的人他只是忘怀了
[01694.34-01695.86] 但是有的人就是故意不怀
[01695.86-01698.68] 所以在我们三个月内
[01698.68-01702.16] 两次推说都没有长款的
[01702.16-01705.28] 我这时候是不是就可以主观推个你有个意义了
[01705.28-01708.64] 这时候就属于问业透支定性看扎片罪
[01708.64-01712.80] 如果性感扎片的位置我们所说的行为主体是合法的卡主
[01712.80-01715.52] 而上面这三种情况是非法的卡主
[01715.52-01717.64] 而第三种也是经常考比较难的
[01717.64-01719.52] 就是冒用它是性感
[01719.52-01721.80] 冒用冒用你要分尽况的
[01721.80-01724.64] 如果它是侵占扎片强度
[01724.64-01726.12] 对吧 挑战了所等等
[01726.12-01727.48] 但挑战了所不太考
[01727.48-01731.52] 如果是最三种行为加上实用卡,你就定什么,新卡扎片罪
[01731.52-01740.72] 如果是道切加使用,如果是强机,加使用电强机罪,如果是道切加使用电,道切罪,只有这极重情况是定有新卡扎片的出意
[01740.72-01742.20] 这就是行为模型了
[01742.20-01744.80] 那我们说了,新卡扎片罪,真对的是什么?
[01744.80-01747.52] 新日的是银行卡的信息资料,对不对
[01747.52-01755.80] 所以他偷了你的卡,他获得了银行卡的卡号密码箱的信息资料,然后最后到刷的,或者最后把钱转出去了,
[01755.80-01757.56] 构成相的新卡扎品罪
[01757.56-01760.92] 但是如果它这里面使用的是微信之后保的信息资料
[01760.92-01767.28] 比如说透了小A的手机把小A手机的支付网密碼和微信密碼都破解了
[01767.28-01768.16] 把钱花了
[01768.16-01772.72] 那它能不能定我们所说的新卡扎品罪不能又说了平台不一样
[01772.72-01775.52] 您航卡 您航机过是金融机构
[01775.52-01778.60] 而这里面微信之后它是第三方平台本身不是一样的
[01778.60-01781.64] 说老师的毕竟是把人家手机偷了把钱给人花了
[01781.64-01783.44] 他花人家前的行为定什么呢
[01783.44-01785.22] 这时候只定什么最就行了
[01785.22-01787.02] 就定到切就行了
[01787.02-01789.20] 这是微信和珠宝的信字料
[01789.20-01791.38] 当然了还有麻意花贝和麻意界贝
[01791.38-01793.56] 如果他是偷论人家手机
[01793.56-01795.46] 然后拿人家手机就办了花贝
[01795.46-01797.52] 对吧 你还他那个微信利用钱
[01797.52-01798.28] 他就不用
[01798.28-01799.96] 他这个时候就用那个花贝
[01799.96-01801.36] 对吧 就想开通花贝
[01801.36-01804.04] 那这个时候他就定了败款差别最
[01804.04-01805.32] 借贝也是败款差别最
[01805.32-01805.96] 是要的
[01805.96-01808.00] 但尝考的时候微信支付宝这个
[01808.00-01809.04] 大家要注意
[01809.04-01810.94] 那这是我们所说的新款差别最
[01810.94-01814.34] 所以它本身上不难就知道几个行为模型
[01814.34-01815.78] 四个模型就行了
[01815.78-01818.18] 这四模型就是1,2,3,4
[01818.18-01819.46] 而第三小类的话
[01819.46-01821.78] 它可能分成具体情况去讨论
[01821.78-01824.54] 你只要把它看体验当中表输往里带
[01824.54-01825.50] 那么就OK
[01825.50-01827.18] 那这个是我们所说的新卡
[01827.18-01827.90] 这片最
[01827.90-01829.30] 那么做一道题
[01829.30-01830.58] 来感受一下吧
[01830.58-01831.78] 我们来看一下这道题
[01831.78-01834.30] 它说离某到切了一张新卡
[01834.30-01836.14] 然后黄称张卡是自己
[01836.14-01837.98] 剪到的让其气的使用
[01837.98-01842.08] 记得拿着心感去商场军消费说两人的行为购成什么
[01842.32-01843.36] 来看下一选项
[01843.62-01845.92] 一选项在这里说他说离某购成到期罪
[01846.18-01847.96] 这个点本身没有问题
[01847.96-01850.28] 因为我们在前面给大家讲了我们在讲
[01850.52-01853.08] 我们所说的心感差平最的时候说到了
[01853.08-01856.66] 说如果我现在存在一个非法取得心感的心委
[01856.66-01857.70] 而这个心委是什么呢
[01857.94-01858.72] 是到期行委
[01858.98-01862.56] 那么说了到期心委加上使用心委
[01862.82-01863.84] 那他一定要订什么
[01864.10-01867.42] 到期的加使用他就等于他就订我们所说的到期罪
[01867.42-01870.70] 所以在这里面我们来看一下离某到期了一张信卡
[01870.70-01872.66] 然后把这张卡给它气死用了
[01872.66-01874.06] 把这个卡里的钱花掉了
[01874.06-01875.62] 这有时候离某定什么
[01875.62-01876.42] 到期罪
[01876.42-01880.18] 但这里面的点就是在于它的妻子到底能不能够成信卡
[01880.18-01882.14] 扎片罪这里面存在两种
[01882.14-01884.78] 我们来看一下这个地方的A选项和地选项
[01884.78-01886.54] A选项和地选项就差的什么
[01886.54-01887.86] 就是它的妻子
[01887.86-01890.14] 一个说它是够成信卡扎片罪
[01890.14-01891.66] 也有说它的妻子是什么
[01891.66-01892.86] 不够成犯罪
[01892.86-01895.18] 这个地方稍微有一点争益
[01895.18-01898.58] 这个争议的点在什么呢?就是有一种情况之下
[01898.58-01901.06] 就说啊说他的妻子属于什么
[01901.06-01902.98] 属于贸用他人的真卡
[01902.98-01907.46] 说去存在一个非法取得卡的这种行为啊
[01907.46-01909.90] 那他同时就使用了这个卡
[01909.90-01911.26] 那他就购成什么?
[01911.26-01912.26] 使用卡扎片罪
[01912.26-01915.16] 但是也有的我们所说的这个题目在这解议
[01915.16-01917.46] 解议的时候说认为他的妻子怎么样
[01917.46-01919.62] 认为他的妻子不购成犯罪
[01919.62-01921.38] 为什么在这里会存在一个
[01921.38-01924.38] 就是不同的机构对于这里的表现会存在一个争议呢
[01924.38-01926.52] 原因就是在于这个提干的表述
[01926.52-01928.06] 它不是特别的精确
[01928.06-01930.22] 这个提干的表述它不精确在哪里呢
[01930.22-01932.72] 这是有关于性価战片罪
[01932.72-01934.62] 它是否構成性価战片罪
[01934.62-01936.54] 它存在一个罪
[01936.54-01939.42] 还有我们所说的约非罪的区分
[01939.42-01941.74] 这里面最有非罪的区分在哪呢
[01941.74-01943.34] 最有非罪的区分
[01944.14-01946.06] 其实就在于一个金额上
[01946.06-01950.18] 这里面提干的那种其实没有非常明确的表述
[01950.18-01952.42] 就是它到刷的这样的一个金额
[01952.42-01954.14] 如果说我们所说的
[01954.14-01957.62] 这个最肥罪他的一个区分其实是区分在两个点上
[01957.62-01958.74] 同时把它写在旁边
[01958.74-01959.62] 第一个呢就是
[01959.62-01961.30] 使用尾造星卡
[01961.30-01963.34] 然后虚假身份骗领性卡
[01963.34-01966.46] 贸用它是星卡数个达到五千元以上的
[01966.46-01967.62] 过程星卡加平罪
[01967.62-01968.50] 再旁标注一下
[01968.50-01969.62] 先上圈一
[01969.62-01972.14] 就是第一个使用尾造的
[01974.14-01974.78] 星卡
[01974.78-01978.14] 或者是在这里说用虚假身份
[01980.78-01983.58] 虚假身份骗领性卡的
[01984.14-01986.14] 这是第二种情况
[01986.14-01987.72] 第三种情况就是
[01987.72-01989.26] 漫用他人心看
[01991.06-01992.58] 漫用他人心看
[01992.84-01995.08] 这里面他的妻子确实是存在
[01995.08-01996.94] 漫用他人心看的行为
[01997.20-01999.50] 但是体感当中没有给到我们数额
[01999.76-02001.04] 如果体感当中说了
[02001.04-02002.82] 说他的妻子拿着这张看
[02003.08-02005.14] 去商场去消费干嘛呢
[02005.38-02007.44] 消费金额达到5,000月以上
[02007.44-02009.48] 这个时候他的妻子就购成了什么
[02009.48-02010.24] 心看咱们最
[02010.50-02012.14] 所以在这里说实用委造的
[02012.14-02014.30] 虚擬身份片里的一筋默用它性感
[02014.30-02015.54] 它有一个数个要求
[02015.54-02018.18] 要求在5,000元以上的
[02018.18-02019.82] 这个时候就购成什么
[02019.82-02020.98] 性感扎评罪
[02020.98-02022.38] 但在这个体感当中
[02022.38-02024.30] 它没有很明确的去表说
[02024.30-02027.86] 说它妻子在商场消费的精俄达到多少
[02027.86-02029.30] 那这里面我们其实没有办法
[02029.30-02031.02] 非常明确的去判断
[02031.02-02033.46] 只要体骂到底是不是购成性感扎评罪
[02033.46-02034.34] 能明白我的意思吧
[02034.34-02037.14] 就现在它不太会考察这样的一个争议的点了
[02037.14-02038.26] 以前在初体的时候
[02038.26-02039.42] 这个点就是争议
[02039.42-02040.94] 现在出了体骂去
[02040.94-02042.94] 刷停属书发现它明确的回替到
[02042.94-02045.28] 所以我在这里面消费了
[02045.28-02046.78] 拿着这张卡消费了多少钱
[02046.78-02048.30] 两万三万五万等等
[02048.30-02050.38] 它一定会在这里有一个明确的数额的
[02050.38-02051.70] 这个点点是注意
[02051.70-02053.50] 那第二个就是我们所说的
[02053.50-02055.26] 在最余最余的区分上的就是
[02055.26-02056.54] 恶意透支的情况
[02056.54-02059.14] 因为我们在新卡查评最当中也提到了恶意透支
[02059.14-02059.66] 对吧
[02059.66-02062.46] 那如果说恶意透支达到五万月以上的
[02064.22-02065.38] 行的旁边
[02065.38-02067.10] 叫做恶意透支
[02068.34-02069.54] 五万元
[02070.94-02074.00] 以上的,这个时候他也购成什么?
[02074.00-02075.04] 新华产品最
[02075.04-02077.34] 如果在这里,我都是
[02077.34-02081.18] 到刷的这种行为,我都是贸用他人真卡的这种行为
[02081.18-02081.44] 对吧?
[02081.44-02083.48] 那我到底能不能购成新华产品最?
[02083.48-02084.52] 就看他的什么?
[02084.52-02086.30] 就看他的数额
[02086.30-02089.88] 所以在这里面,离某购成到期最是无疑的
[02089.88-02092.96] 但他的妻子到底能不能购成新华产品最?
[02092.96-02093.98] 要看他的什么?
[02093.98-02097.82] 具体的数额,所以这双体有争意,所以我们再去做的时候,
[02097.82-02099.60] 就是发现有的机构选了
[02099.60-02101.22] 有的机构选了地
[02101.22-02103.20] 但是现在大家只做听说发现的
[02103.20-02104.30] 初提越来越精确了
[02104.30-02106.82] 你注意一下他在后面提干表示当中呢
[02106.82-02108.50] 他的数额是多少啊
[02108.50-02110.36] 这里面既然他没有说数额
[02110.36-02113.38] 我们就默认他的亲子数额不倒五千
[02113.38-02114.98] 这种情况之下选地
[02114.98-02115.48] OK
[02115.48-02116.52] 但是说老师
[02116.52-02117.98] 我就抹定了
[02117.98-02120.18] 我就想考察他的这个行为
[02120.18-02122.82] 我就觉得他贸用他人心卡变解到刷了
[02122.82-02124.90] 这种情况之下他购成性卡战略罪
[02124.90-02126.64] 如果你只评价行为的话
[02126.64-02130.64] 所以这个点的正一点就在于它的数个有没有表情出来
[02130.64-02133.28] 所以在这里面 选业行 选业行
[02133.28-02135.16] 所以在这个地方大家知道一下
[02135.16-02138.12] 我把这个题拿出来给大家去做了一个扩充
[02138.12-02139.84] 所以大家不要纠结在说老师到底
[02139.84-02141.76] A对还是地对 地对上
[02141.76-02143.84] 因为这里面没有非常明确的表数
[02143.84-02146.96] 这个点大家注意一下 主要是金项卡在进额这了
[02146.96-02148.72] 所以这要题 你说你选A
[02148.72-02151.72] 那你说你有里A也可以 因为只评价性位
[02151.72-02153.48] 你说一选D 也有里
[02153.48-02155.16] 因为在这里没有评价金项
[02155.16-02157.52] 他沒有辦法衡量最非最的界限
[02157.52-02159.76] 所以這兩個點 跌跌是有爭議的
[02159.76-02160.80] 所以大家注意一下
[02160.80-02163.08] 閉著想說 李某和妻子構成
[02163.08-02164.60] 道妻的共同分罪
[02164.60-02165.92] 咱之前給大家講過
[02165.92-02168.60] 說想要構成道妻的共同分罪
[02168.60-02169.96] 他其實有一個要求
[02169.96-02171.48] 就是兩人以上什麼
[02171.48-02173.20] 共同故意分罪
[02173.20-02175.00] 兩人以上共同故意分罪
[02175.00-02176.80] 要求有事前的通某的
[02176.80-02179.00] 你看 李某道妻兄卡這個事
[02179.00-02180.04] 他妻子知不知道
[02180.04-02181.00] 他妻子不知道
[02181.00-02183.24] 既然不知道就不能成為兩人以上
[02183.24-02184.04] 共同故意
[02184.04-02185.36] 没有事情的通谋
[02185.36-02187.24] 所以不能够成共同犯罪
[02187.24-02188.64] 说离某和妻子过程新款
[02188.64-02189.80] 炸瓶罪的共同犯罪
[02189.80-02190.52] 那也不是
[02190.52-02192.44] 因为这里面我们说了
[02192.44-02193.76] 道歉加使用定什么
[02193.76-02195.04] 定道歉
[02195.04-02197.36] 所以离某不能定
[02197.36-02198.48] 进化炸瓶罪
[02198.48-02199.68] 离某只能定什么罪
[02199.68-02200.40] 道歉罪
[02200.40-02201.68] 所以照体塞也不对
[02201.68-02202.60] 所以这个点
[02202.60-02204.48] 还是值得同同稍微注意一下的
[02204.48-02204.92] 好吧
[02204.92-02206.52] 所以照体正一点在
[02206.52-02208.84] AD上选哪个都有理
[02208.84-02211.16] 就看它有没有在平安当中
[02211.16-02213.56] 明确的去评价出它的金額
[02213.56-02214.80] 所以照体的还注意下
