[00000.00-00003.70] 那么了解了什么是形容处罚之后呢
[01165.40-01166.78] 然后你同意吗
[01166.78-01167.96] 我当时看了这个人说
[01167.96-01168.68] 哎哟说
[01168.68-01169.94] 你又叫你眼熟啊
[01170.44-01171.80] 他说哎我怎么眼熟了
[01171.80-01174.22] 他说我说你和刚才我打那个
[01174.22-01176.02] 我打的那个人长得有点像
[01176.28-01177.52] 你不会他家亲近吧
[01177.52-01179.72] 然后你说对于对我呢就是他大哥
[01179.72-01181.32] 你看这种情况之下我说
[01181.32-01182.80] 我说那你这种情况之下
[01182.80-01184.04] 你是不是可能会
[01184.04-01185.96] 直直就是怎么样呢就是
[01185.96-01188.04] 你公报思仇是不是有可能啊
[01188.04-01189.32] 于是我就可以怎么办
[01189.32-01191.08] 于是我就可以
[01191.08-01193.58] 申请他回弊
[01193.58-01194.74] 你看这个人就是什么
[01194.74-01196.34] 与案件有直接厉害关系
[01196.34-01198.94] 或可能只想影响到直法公正的人
[01198.94-01200.56] 我就可以申请他怎么样
[01200.56-01201.72] 申请他回弊
[01201.72-01204.06] 那我这个是我就有权提出申请
[01204.06-01205.34] 所以在这里你看
[01205.34-01206.04] 我们说了
[01206.04-01207.72] 除了刚才的人数要求之外
[01207.72-01208.52] 还有一个就是什么
[01208.52-01210.12] 还有一个就是回弊要求
[01210.12-01211.98] 但是回弊要求他有一个点
[01211.98-01213.58] 就是当时人提出回弊申请
[01213.58-01214.54] 就是说我说
[01214.54-01216.94] 我说他是刚才被打人那个大哥
[01216.94-01217.96] 我要申请他回弊
[01217.96-01219.48] 我是会提出了回弊申请
[01219.48-01221.52] 那这个时候不可能我说啥
[01221.78-01224.34] 只法机关或者形容机关人家就信啥
[01224.34-01227.42] 他说不得去调查这个人是不是真的和刚才被打那个人有
[01227.42-01228.44] 相当的厉害关键
[01228.70-01231.76] 所以形容机关依法调查调查
[01232.80-01234.08] 我所说的这个
[01234.32-01235.10] 过程当中
[01235.36-01240.48] 那这个时候到底要不要回避就要有这个机关所在的负责人来决定
[01240.72-01243.30] 如果决定做出钱是不停止调查的
[01243.54-01246.36] 所以在这里面大家后面这一话就是决定用做出钱
[01246.62-01247.38] 不停止
[01247.64-01248.14] 调查
[01248.14-01251.48] 也就是說我申請剛才那個人回避
[01251.48-01254.86] 然後在這個機關做出這個人回避之前
[01254.86-01258.58] 他依就要參與到我大人這個事件的調查當中
[01258.58-01262.74] 所以這個叫做決定做出錢不停止調查
[01262.74-01265.26] 不能說我提了這個工作就停下來
[01265.26-01267.34] 我一提他就換人為一提他就換人
[01267.34-01268.48] 那這個火灑乾了
[01268.48-01273.22] 所以在這裡啊就這個回避決定做出錢不停止向的調查
[01273.22-01276.42] 就是他该查我还是查我对吧
[01276.42-01279.10] 该对我今天调查该走防该许证
[01279.10-01280.78] 他就是还是要走防许证的
[01280.78-01282.42] 所以在这里面大家注意一下
[01282.42-01284.22] 这是我们所提到的
[01284.22-01286.78] 行动处罚程序当中一般规则有两个
[01286.78-01288.06] 第一个不得少两人
[01288.06-01289.18] 第二个就是回避制度
[01289.18-01290.54] 回避制度里面有个细节
[01290.54-01293.82] 这是回避决定做出钱不停止的调查
[01293.82-01295.18] 那这是我们所说的
[01295.18-01299.98] 有关于第一个总体上的程序原则的一个概数
[01299.98-01301.98] 那了解的程序原则概数之外
[01301.98-01303.78] 接下來我們就來看一下第二個點
[01303.78-01306.08] 就是我們說了叫一種三成學
[01306.08-01307.38] 他到底多哪些成學呢
[01307.38-01309.58] 我們首先來看一下第一個就叫做
[01309.58-01310.78] 檢疫程序
[01310.78-01312.48] 檢疫程序檢疫程序呢
[01312.48-01313.48] 就是相對來說
[01313.48-01315.88] 整個處罰絕定和處罰流程
[01315.88-01317.38] 都會比較簡單
[01317.38-01319.78] 那這種就叫做檢疫程序
[01319.78-01321.48] 那你說老師什麼情況之下
[01321.48-01323.08] 他的這個調查程序
[01323.08-01324.78] 他的這個處罰絕定的處
[01324.78-01327.88] 就是做出相對來說會比較簡單呢
[01327.88-01330.08] 他使用在一些特殊的案件當中
[01330.08-01331.88] 在这里面同时注意一下
[01331.88-01333.80] 解一程序的适用范围
[01334.44-01338.00] 需要同学们去记住解一程序的适用条件
[01339.80-01342.36] 解一程序的适用条件是用在这么久的条件
[01342.36-01343.84] 这个点是一定要背住的
[01343.84-01345.20] 两星期的知识点
[01345.20-01348.88] 第一个是对公民处于200元以下的法款
[01348.88-01352.08] 这种情况之下就不用按照一会我们要讲的
[01352.08-01353.72] 服从程序当中
[01353.72-01357.32] 什么先例按在调查,在设合,在绝地
[01357.32-01358.56] 最后再送打
[01358.56-01361.08] 不需要这么麻烦,他可以省越一些步骤的
[01361.08-01362.08] 所以哪些呢?
[01362.08-01364.44] 第一个对公民处于两百亿下的法款
[01364.44-01365.08] 第二个呢?
[01365.08-01368.28] 就是对法人或其他组织处于三千亿下的法款
[01368.28-01370.64] 首先第一个就是法款,法款发的比较少
[01370.64-01371.68] 第二个就是什么?
[01371.68-01372.64] 于警告
[01372.64-01373.88] 那这种情况之下呢?
[01373.88-01375.40] 他就可以怎么办了
[01375.40-01377.64] 他就可以相对来说
[01377.64-01379.04] 走一些剪一程序
[01379.04-01380.96] 就是不用说先利案在调查
[01380.96-01382.92] 然后再选合,再决定再送打
[01382.92-01386.08] 这是这里面,他就可以省越很多的一些细节了
[01386.08-01387.76] 所以这个就叫做剪一程序
[01387.76-01394.74] 所以檢疫程序的釋用範圍大助一下 法款 法個人兩位下 法主持或者法人三千一項
[01394.74-01398.64] 第二就是警告 大助一下 這是警告 有沒有通貿批評
[01398.64-01401.34] 沒有我們所說的通貿批評
[01403.74-01406.96] 所以通貿批評要走的是普通程序
[01406.96-01409.96] 所以這是第一個 大助一下檢疫程序的釋用條件
[01409.96-01414.12] 第二個就是 竟然你說老師他檢疫檢疫在哪
[01414.12-01417.00] 他的檢疫就體現在他的重序上
[01417.00-01418.20] 他的重序是什麼呢
[01418.20-01419.72] 大家注意在旁邊桌一下
[01419.72-01421.68] 檢疫重序他就檢疫在
[01421.68-01423.72] 他要當長廚房
[01425.16-01426.24] 那檢疫重序
[01426.24-01427.76] 當長廚房
[01428.52-01429.84] 當長廚房
[01433.76-01435.48] 當長廚房當長廚房
[01435.48-01437.92] 因為一般的我們所說的普通程序
[01437.92-01439.96] 比如說現在要對我形容拘留
[01439.96-01440.80] 他要幹嘛
[01440.80-01442.12] 他不能當長廚房
[01442.12-01443.40] 他必須要經過一定的流程
[01443.40-01444.92] 他又聽我陳書身邊
[01444.92-01445.40] 對吧
[01445.40-01447.32] 然後同時他的這個決定說
[01447.32-01448.44] 一般是當場交付
[01448.44-01450.52] 不在場的也可以在規定時間內交付
[01450.52-01452.68] 但是向解一程序他就不是這樣
[01452.68-01453.56] 解一程序是什麼
[01453.56-01457.48] 是當場處罰當場送達處罰決定說
[01457.48-01458.76] 這個是我們所說的
[01458.76-01460.44] 有關於檢疫程序
[01460.44-01462.52] 當場送達處當場交付處罰決定說
[01462.52-01463.72] 這個沒有什麼好說的
[01463.72-01464.60] 所以大家注意一下
[01464.60-01465.64] 這是檢疫程序
[01465.64-01467.00] 解一程序比較簡單
[01467.00-01468.36] 就是直接就告訴你
[01468.36-01470.68] 這是我們對你做處罰決定說
[01470.68-01472.36] 那说OK no problem
[01472.36-01474.36] 那这个就是当场送打 对吧
[01474.36-01476.28] 那支持我们所说的剪医程序
[01476.28-01476.96] 那还有呢
[01476.96-01477.52] 我们说了
[01477.52-01479.80] 那除了法款和警告这些之外
[01479.80-01482.40] 是不是还有一些其他的形容出来的种了呀
[01482.40-01484.00] 比如说他现实从业
[01484.00-01486.40] 比如说我们提到的什么呢
[01486.40-01489.00] 把我的那个鸡匙振给我赞扣了
[01489.00-01491.40] 那你比如说我现在出现了微微的
[01491.40-01493.40] 微微鸡鸡匙的这种情况
[01493.40-01495.48] 他把我的鸡匙振扣了
[01495.48-01497.48] 他赞扣我的鸡匙振
[01497.48-01499.32] 他能不能说把我振扎走了之后
[01499.32-01500.20] 直接拿走了
[01500.20-01500.84] 不行
[01500.84-01501.56] 他这个时候
[01501.56-01502.48] 他对我经历处发
[01502.48-01503.88] 他必须要走一个程序
[01503.88-01506.20] 这个就是我们所说的普通程序
[01506.20-01507.68] 普通程序大家注意一下
[01507.68-01509.48] 他一般包括五个环节
[01509.48-01511.00] 咱们先把这五个环节试什么
[01511.00-01511.92] 给大家说一下
[01511.92-01512.92] 因为这五个环节
[01512.92-01513.44] 他有的时候
[01513.44-01514.76] 可能会考察到排序
[01514.76-01515.60] 有第一个
[01515.60-01517.40] 如果我真的闯红灯了
[01517.40-01518.52] 他是不是先利安呢
[01519.24-01519.76] 对吧
[01519.76-01521.72] 就是形认机关发现了我
[01521.72-01523.96] 出现了闯红灯的这样行为
[01523.96-01525.36] 首先他就必须要干嘛
[01525.36-01526.92] 他必须要掉杀所有宗教
[01526.92-01528.56] 那掉杀收于政决
[01528.56-01530.56] 之前他要先理案
[01530.56-01531.64] 那理案之后呢
[01531.64-01532.36] 第二个嘛
[01532.36-01534.56] 第二个他要进行调查
[01535.36-01537.20] 第二个他要进行调查
[01537.20-01539.64] 调查就包括他要出事政杰成数身边
[01539.64-01540.96] 接受训论保存政绝
[01540.96-01541.44] 对吧
[01541.44-01542.88] 那在我下呢他就要
[01542.88-01544.80] 选合只是第三步
[01544.80-01546.48] 然后选合结束之后呢
[01546.48-01549.52] 第四个环节就是他要做出处罚的决定
[01549.52-01550.72] 还是不处罚的决定
[01550.72-01552.32] 如果做出处罚决定之后呢
[01552.32-01553.40] 最后以不还要干嘛
[01553.40-01554.40] 还有送打
[01554.40-01555.68] 处罚决定数
[01555.68-01556.40] 那还有送打
[01556.40-01557.20] 处罚决定数
[01557.20-01558.32] 所以在整个
[01558.32-01561.60] 我们所说的这种程序当中它一共包括五个环节
[01561.92-01564.48] 前一段时间包大有在网上看过一个视频
[01564.48-01567.08] 反正我觉得视频还是比较大快人心的
[01567.08-01567.80] 什么视频呢
[01567.80-01568.56] 出现有一个人啊
[01568.56-01571.12] 它在路上开车
[01571.36-01573.16] 然后在这个路上开车的时候呢
[01573.16-01574.40] 然后它开的就是
[01574.40-01576.60] 咱们正常出行代步的车
[01576.60-01577.04] 对吧
[01577.04-01578.24] 反正我不太懂这个车
[01578.24-01580.24] 我又觉得这个车哪分什么好坏啊
[01580.24-01580.68] 对吧
[01580.68-01582.08] 我就知道它可能有的特别的贵
[01582.08-01584.12] 但它毕竟就是一个代步的工具
[01584.12-01585.80] 然后可能有个人
[01586.04-01587.04] 买了特别好的车
[01587.04-01589.04] 身分的像州
[01589.04-01591.04] 然后当时他跟陆陆上开车的时候
[01591.04-01593.24] 后面过了一个车主
[01593.24-01594.54] 车主他不认识
[01594.54-01596.54] 然后他也是在车上第一次见
[01596.54-01598.54] 就在陆上第一次见
[01598.54-01600.54] 然后他是一个特斯拉的一个车主
[01600.54-01603.74] 我也不知道这个特斯拉他到底是有多棒
[01603.74-01605.54] 咱们不太能够了解
[01605.54-01606.74] 然后这个车主呢
[01606.74-01608.74] 他就像个变态
[01608.74-01610.34] 然后他就变着这个
[01610.34-01612.24] 我们所说的后面的车
[01612.24-01613.54] 就是包安的这个人
[01613.54-01614.94] 我们就把他成为包安者
[01614.94-01616.54] 就变着包安者的车
[01616.54-01619.26] 然后他原来他在右车上去形式
[01619.26-01620.70] 就是包安的这个人
[01620.70-01621.78] 他在右车上去形式
[01621.78-01623.78] 然后特斯拉就跑到右车上去变他
[01623.78-01627.78] 他以为特斯拉变到可能是有一些他自己的那种
[01627.78-01629.22] 然后他就跑到左车上来
[01629.22-01630.98] 然后那一特斯拉要到左车上去变他
[01630.98-01632.62] 反正都是一系列的搜拨做
[01632.62-01633.94] 然后就特斯拉
[01633.94-01635.26] 然后变了后一次
[01635.26-01635.98] 养场去
[01635.98-01639.38] 后来他的这一切都被什么都被包安的这个人
[01639.38-01641.66] 他的形车记录也给拍下来了
[01641.66-01642.54] 后来那一看
[01642.54-01644.18] 在这个对于这个包安的人说
[01644.18-01645.20] 他首先第一個包案了
[01645.20-01646.48] 這個時候交檢就要怎麼樣
[01646.48-01649.30] 利案 利案之後他要幹嘛去調查對不對
[01649.30-01650.58] 調查之後呢
[01650.58-01652.00] 就是調查前面的特斯拉
[01652.00-01653.66] 他那個車主的所謂
[01653.66-01654.30] 然後呢
[01654.30-01657.18] 在這個時候還要提到相當的保存證據等等
[01657.18-01658.14] 那這個時候
[01658.14-01660.94] 調查結束之後是要對他進行調查的這些
[01660.94-01662.88] 我們所說的這些
[01662.88-01664.66] 怎麼說呢
[01664.66-01666.72] 就是調查所獲得這些材料也好
[01666.72-01669.90] 或者是其他的那種也好證據好說要進行聖合
[01669.90-01671.06] 聖合之後
[01671.06-01672.26] 我們才能決定
[01672.26-01673.76] 到底是對他處罰還是
[01673.76-01675.04] 不处把这个时候的决定
[01675.04-01677.60] 如果针对那个克斯拉车主要进入处罚的话
[01677.60-01678.80] 那一般情况还怎么样
[01678.80-01681.00] 这个处罚决定说
[01681.00-01683.20] 当着这个人的面给他独一遍
[01683.20-01686.28] 原子上要求当场交付给特斯拉的车主
[01686.28-01687.24] 但是如果说
[01687.24-01689.12] 做完了处罚决定说说
[01689.12-01690.56] 特斯拉车主在找不到
[01690.56-01691.00] 那怎么办
[01691.00-01693.24] 在规定的时间之内送打给特斯拉车主
[01693.24-01694.04] 当然了
[01694.04-01696.56] 我们说了这个是在行政法上的这个处罚
[01696.56-01698.28] 但是如果说这个特斯拉车主
[01698.28-01699.16] 当时他其实是
[01699.16-01700.72] 我刚才说的假如说是在
[01700.72-01702.40] 咱们释取的那种开始
[01702.40-01703.80] 它出現這樣的一個情況
[01703.80-01705.48] 那我們就可以繼續行程處
[01705.48-01707.24] 但它如果在高速上怎麼開的話
[01707.24-01709.36] 那就可能會入行法了
[01710.00-01710.96] 所以大家注意一下
[01710.96-01712.64] 這是我們所說的行程處法
[01712.64-01714.56] 它的一個程序先立案
[01714.56-01715.92] 在調查在聖誕
[01715.92-01717.32] 在決定在送打
[01717.32-01719.32] 這是它的一個主要的環節
[01719.32-01721.32] 這個環節的同時沒有注意一下
[01721.32-01722.40] 給它記在旁邊
[01722.40-01724.40] 這裡面除了這些環節之外
[01724.40-01726.00] 它還有一些相用的細節
[01726.00-01726.72] 這個細節
[01726.72-01727.56] 咱們來看一下
[01727.56-01728.28] 首先第一個
[01728.28-01730.96] 它說形容機關應能自行程處法
[01730.96-01735.16] 画下立案之日期90日内做出箱的什么
[01735.16-01737.32] 做出箱的出发决定
[01737.32-01739.16] 所以这个就属于我们所说的什么
[01739.16-01740.76] 决定的期限
[01742.16-01743.96] 所以我比如说因为一个事
[01743.96-01744.72] 我包完了
[01744.72-01746.32] 我比如说我微妙家室
[01746.32-01747.92] 我看到别人微妙家室也好
[01747.92-01749.20] 或者我自己微妙家室也好
[01749.20-01750.04] 我包完
[01750.04-01752.16] 从他立案那天开始到
[01752.16-01754.72] 我们所说的案件支持90日内
[01754.72-01756.36] 他一定要做出箱的什么
[01756.36-01757.32] 行动出发决定了
[01757.32-01758.56] 比如说像我们的
[01758.56-01759.76] 是同化大王
[01759.76-01761.76] 大家也知道了正元杰老师
[01761.76-01762.76] 对吧 正元杰老师
[01762.76-01763.76] 他说了
[01763.76-01765.76] 他有时候心情有会特别的不好
[01765.76-01767.76] 他说他心不好的时候就去看
[01767.76-01768.76] 到底谁没张了
[01768.76-01769.76] 然后他就去播景
[01769.76-01770.76] 就会去播案
[01770.76-01771.76] 对吧
[01771.76-01772.76] 你看自正元老师
[01772.76-01774.76] 他我们所说的通过
[01774.76-01775.76] 我忘了他说的实在那个人
[01775.76-01777.76] 就软家上去是可以看到
[01777.76-01778.76] 然后看到谁没张了
[01778.76-01779.76] 然后这个时候怎么办
[01779.76-01780.76] 那这个时候如果
[01780.76-01781.76] 包含之后
[01781.76-01782.76] 那交据就要利案
[01782.76-01784.76] 利案90日内
[01784.76-01785.76] 就要看对这个
[01785.76-01786.76] 为张价值的人
[01786.76-01788.76] 要不要欲乡的出发
[01788.76-01789.26] 对吧
[01789.26-01792.34] 是我们所说的以关于它的决定欺限的问题
[01792.34-01795.66] 这是第一个大家注意把这个90日确的标准出来
[01795.66-01798.22] 第二个就是在这里面还有一个细节就是
[01798.22-01802.30] 我们说了交警他利暗之后是要对这个世界进行相的什么
[01802.30-01804.62] 对这个世界要进行相的调查
[01805.66-01807.42] 那他调查的话他就一定会什么
[01807.42-01809.74] 他就一定会去走房当时人嘛
[01809.74-01812.54] 所以他去调查的时候就可能会有这么几件事
[01812.54-01813.50] 第一件事干嘛呢
[01813.50-01814.70] 我把它写在下面好吧
[01814.70-01816.22] 就是调查里面有一个细节
[01816.22-01817.42] 调查要做什么呢
[01817.42-01818.70] 第一个你去调查人间
[01818.70-01842.06] 你不能说,哎你好,我是交警,把他发了,跟着说了一大堆,对吧,那不行的,你调查你一定要出事政劲,但是注意一下,他调查一定要出事政劲,要出事他的什么,他的工作政劲以及,我们所说的相的一些调查政名,所以第一个呢,他要出事政劲,第二一个呢,他去调查的时候,他天一停对方的成数身变。
[01842.06-01849.10] 第二个他就要听取臣说身变
[01849.10-01852.30] 那他这个臣数身变里面就有一个细节就是咱们的快好二
[01852.30-01856.98] 他说呢 唯一反告之你做出的形容处法内容事实理有一句或者
[01856.98-01858.82] 具结听取当时人臣数身变的
[01858.82-01862.66] 叫做不得做出形容处法的决定
[01862.66-01864.54] 因为要保证我们所说的什么
[01864.54-01867.10] 保证公众参与你要保证程序政当嘛
[01867.10-01870.82] 所以在这里他必须要进行他必须要听取臣数身变
[01870.82-01873.34] 有一位照未听曲不出发
[01875.62-01878.14] 未听曲不出发
[01878.54-01881.66] 这个是我们所说的这个臣说身变
[01881.66-01882.82] 这是第二个细节
[01882.82-01884.78] 第三个细节就是在这
[01884.78-01886.62] 然后你听他臣说身变之后
[01886.62-01888.18] 你是不是在先听他说
[01888.18-01889.82] 说完了之后你要问一些细节
[01889.82-01891.22] 所以这个时候还要什么
[01891.22-01892.90] 还要接受许问
[01892.90-01894.42] 就当时会有问人员
[01894.42-01896.74] 应当如实回答许问
[01896.74-01897.66] 所以在这里面
[01897.66-01898.78] 在练调查当中
[01898.78-01900.78] 我们所说的当时还要接受许问
[01900.78-01903.78] 最後一個就是直法工作人員問完了
[01903.78-01905.42] 直法紀錄一也有了
[01905.42-01906.58] 筆錄也有了
[01906.58-01907.74] 這時候你要把它怎麼樣
[01907.74-01908.62] 你要把它保存起來
[01908.62-01909.98] 所以在這裡在調查當中
[01909.98-01911.78] 還有一個就是保存證據
[01911.78-01913.38] 所以細節就是在這
[01913.38-01915.58] 就是未聽取不處罰
[01915.58-01916.58] 未聽取不處罰
[01916.58-01917.38] 注意一下
[01917.38-01919.98] 這是我們所說的關於調查環境
[01919.98-01921.78] 那我說了通過調查審合決定
[01921.78-01924.78] 那最後決定這個時候就要去看
[01924.78-01926.78] 你搜集的證據到底服務服合
[01926.78-01928.78] 我們所說的像的處罰條件
[01928.78-01929.98] 如果服合處罰條件的話
[01929.98-01931.88] 你是不是要出去處罰決定說
[01931.88-01933.70] 那你出去處罰決定說之後
[01933.70-01936.78] 處罰決定說就要送達當時了
[01936.78-01939.44] 那這個時候送達就會有送達的細節
[01939.44-01941.10] 送達它有兩個要求
[01941.10-01943.18] 送達要求當中第一個就是
[01943.18-01945.02] 你處罰決定說下達完之後
[01945.02-01947.58] 你就把處罰決定說拿到特斯拉車主的面前
[01947.58-01949.94] 向他宣讀宣讀完了之後
[01949.94-01950.70] 就怎麼樣了
[01950.70-01952.06] 就可以當廠教父
[01952.06-01955.18] 所以送達一般請一下原則上當廠教父
[01955.18-01956.78] 但是我當時人不再廠呢
[01957.98-01958.94] 當時人不再廠
[01958.94-01960.22] 你就没办法给他了
[01960.22-01962.54] 如果当时人不再场的话就可以怎么样
[01962.54-01964.06] 七日内送的
[01964.06-01967.14] 就是应当在七日内依照有关规定送的
[01969.70-01970.46] 七日内送的
[01970.46-01972.70] 说老师他不再场怎么七日内送的
[01972.70-01974.30] 你现在这么发的
[01974.30-01975.58] 你是不是可以给他传扔了
[01975.58-01976.54] 一没有一下对吧
[01976.54-01977.30] 电子有件一下
[01977.30-01978.14] 都OK
[01978.14-01980.30] 所以在这里面大家注意一下这个普通程序
[01980.30-01981.34] 那一看普通程序
[01981.34-01982.50] 他一共是五个环节
[01982.50-01983.66] 他说相对来说
[01983.66-01985.30] 程序会更严近一些
[01985.30-01986.58] 他程序越严近
[01986.58-01988.18] 对于公民的权异的保护的
[01988.18-01989.02] 例如就越大
[01989.02-01991.02] 你相比一下刚才我们所说的
[01991.02-01992.98] 对公民200元下的法款
[01992.98-01995.42] 然后还有对于我们所说的这个组织
[01995.42-01997.66] 三线一下的反怀以及警告来看的话
[01997.66-02000.42] 剪一程去说相对来说就会简单很多了
[02000.42-02002.62] 所以在这里面大家注意一下这普通程序
[02002.62-02003.78] 所以普通程序好像什么
[02003.78-02005.10] 一个环节的派去
[02005.10-02007.10] 第二个他里面个别的细节
[02007.10-02008.90] 比如说这里的调查
[02008.90-02010.70] 那听取不出发
[02010.70-02013.98] 决定多样时间做出90内送答
[02013.98-02015.42] 怎么送答
[02015.42-02016.82] 宣读之后当场送答
[02016.82-02018.10] 如果不能当得送达的话
[02018.10-02019.50] 就要在亲人内送达
[02020.66-02021.94] 这个也是输上有的
[02021.94-02023.46] 我就在这里不给大家说了
[02023.46-02024.74] 我给他整理出来
[02024.74-02027.06] 但只是相对来说会比较方便
[02027.30-02028.90] 这时普通程序
[02028.90-02032.94] 咱们说咱们在整个形容处发程序当中是三个程序
[02033.14-02035.26] 有剪一程序普通程序还有什么
[02035.26-02036.54] 听证程序
[02036.54-02037.82] 听证程序
[02037.82-02038.82] 咱们来看一下
[02038.82-02041.46] 首先第一个就是我们所说的听证
[02041.46-02042.86] 为什么要听证呢
[02042.86-02048.66] 大家注意一下,听证呢,他能吉他的保护,我们所说的是吧,保护相应的权利
[02048.66-02051.46] 就是形证机关对你做出形证处发的决定
[02051.46-02055.26] 那你决定该告知当时人,他有没有要求听证的权利
[02055.26-02058.46] 当时人要求听证了,咱们就应该组织听证
[02058.46-02062.86] 所以听证呢,他其实是对当时的权利的一种保护的体现
[02062.86-02068.26] 那说老是那么多的形证处发,到底哪些形证处发,咱们可以申请听证呢
[02068.26-02070.26] 在这里面他就给到了第一个
[02070.26-02072.10] 就是听证的使用条件
[02072.10-02072.98] 你看他说了
[02072.98-02076.02] 说形证机关做出叫大数额的法款
[02076.02-02078.26] 莫说叫大数额的微华锁德
[02078.26-02079.62] 莫说非法财务
[02079.62-02082.18] 降低资日等级调销续和证件
[02082.18-02083.70] 责令挺业责令关闭
[02083.70-02086.18] 限制从业和其他形证处法之前
[02086.18-02087.14] 应当怎么样
[02087.14-02089.62] 同时要换一个子叫应当告知
[02090.82-02093.46] 当时有举行听证的权利
[02093.46-02094.90] 在这里面咱们来看一下
[02094.90-02096.34] 他有几个细节
[02096.34-02098.34] 細節在這裡面,我們就要知道
[02098.34-02102.94] 聽證,一般情況下是使用在形容處罰,比較中的這種情況之下
[02102.94-02108.24] 但是它有一些是例外的,哪些是例外的你看,在形容在我們所說的這個
[02109.44-02116.74] 資格法裡面,你看,掉銷,資質等級,掉銷許可,就是降低資質等級和掉銷許可證件
[02116.74-02121.44] 它在這個聽證程序當中,有沒有給到我們所說的讚購銷照
[02122.74-02125.94] 沒有,所以在這裡面,大家注意一下,第一個點,就是
[02125.94-02127.58] 听证程序的诗用
[02127.58-02129.14] 诗用当中的第一点
[02129.14-02131.34] 你就几反向就可以了
[02131.34-02132.06] 就是什么
[02132.06-02132.54] 就是
[02132.54-02134.58] 责扣循可证
[02140.02-02141.42] 责扣循可
[02141.42-02144.74] 不是英当告知的范围之内
[02144.74-02146.22] 所以在这里面大家注意一下
[02146.22-02147.42] 如果就写范可循可
[02147.42-02148.14] 打个差就行了
[02148.14-02149.14] 你就知道范可循可
[02149.14-02150.62] 它不是法定
[02150.62-02152.66] 听用证的这样的一个范围
[02152.66-02154.38] 它不是一个法定听证的范围
[02154.38-02156.90] 打住一下,这是我们需要掌握的第一个点
[02156.90-02160.78] 所以如果说,涉一道贪扣徐可货是限制生产之外的
[02160.78-02163.78] 贪扣徐可不是,还有一个不是,就是限生产业不是
[02163.78-02167.82] 这两个之外的,你都应当告知,当时人他有什么
[02167.82-02169.74] 他有申请,听证的权利
[02169.74-02171.98] 申请听证就是你要听当身解认识
[02171.98-02175.62] 对吧,你要听证是人他举征,他承述,对吧
[02175.62-02176.78] 这个就要做听证
[02176.78-02179.98] 所以在这里面大家注意一下,他有两个不是用
[02179.98-02183.70] 第一个就是贪扣徐可不是用,第二个就是现实生产不是用
[02183.70-02186.18] 除了这两个之外你都应当告知
[02186.18-02188.58] 当时他有要求听证的权利
[02188.58-02190.66] 但是你告知当时要求听证
[02190.66-02192.46] 是不是听证就一定要举行呢
[02192.46-02193.86] 不是的大助一下
[02193.86-02197.26] 听证他的一个我们所说的啟动
[02197.26-02198.70] 我只在这里协上第二个
[02198.70-02199.14] 好吧
[02199.14-02200.26] 听证程序的啟动
[02200.26-02201.14] 他有两部
[02201.14-02203.14] 第一个你代高速人家有听证权利
[02203.14-02204.42] 第二个你代看一下
[02204.42-02205.38] 要不要听证
[02205.38-02207.54] 所以在这里面是告知加上什么
[02207.54-02208.50] 加上申请
[02208.50-02209.74] 如果你告知当时
[02209.74-02211.18] 比如说你对我出越
[02211.18-02214.98] 假設對我出議500人的法款吧
[02214.98-02217.66] 如果你對於我出議500到1000塊錢的法款
[02217.66-02219.94] 你是不是對我做出了教達說的的法款
[02219.94-02220.86] 那你就是告訴我說
[02220.86-02221.94] 你看我發你這麼多錢
[02221.94-02223.50] 對了你有沒有什麼要說的
[02223.50-02224.74] 有沒有什麼要舉證的
[02224.74-02226.14] 你有全申請聽證啊
[02226.14-02227.42] 你是不是告訴我
[02227.42-02229.06] 告知我有聽證全列了
[02229.06-02231.62] 那這個時候我說對1000塊錢對我來說太多了
[02231.62-02232.82] 我要求聽證
[02232.82-02234.30] 我申請聽證
[02234.30-02236.26] 這個時候聽證程序才照看
[02236.26-02237.66] 如果說在這個過程當中
[02237.66-02239.34] 你說你看你沒張家時啊
[02239.34-02240.58] 我現在反擊1000塊錢啊
[02240.58-02244.96] 我說OK 然后他說你反應宣傳寫屬於叫大說的法款
[02244.96-02246.58] 你有聽證的權利要我說
[02246.58-02248.16] 去去一千塊
[02248.16-02249.36] 對吧誰會在乎呢
[02249.36-02250.64] 我是直接交了就行了
[02250.64-02252.58] 我沒有要求申請聽證
[02252.58-02254.02] 聽證程序會不會照看
[02254.02-02254.76] 不會照看
[02254.76-02256.18] 所以聽證程序的啟動
[02256.18-02258.50] 他要求告知家申請
[02258.50-02259.50] 告知家申請
[02259.50-02261.76] 大家注意一下 這是第二個
[02261.76-02262.66] 那第三一個呢
[02262.66-02265.86] 就是在這裡面我們所說的聽證程序的要求
[02265.86-02266.56] 來看一下
[02266.56-02267.28] 同學不要注意一下
[02267.28-02271.62] 13 听证程序他的一个要求
[02271.62-02272.66] 程序要求什么呢
[02272.66-02274.64] 这里面主要是一些时间的细节
[02274.64-02275.46] 他要注意一下
[02275.46-02277.64] 说英当在行政机关
[02277.64-02278.38] 他告诉我
[02278.38-02280.46] 想有听证权力多少天
[02280.46-02281.86] 5日内提出
[02281.86-02284.56] 也就是说比如说他是在1月1号告之我
[02284.56-02286.84] 说我想有听证权力
[02286.84-02287.76] 那我就要在什么
[02287.76-02290.02] 我要在1月6号之前
[02291.60-02292.68] 给他打赴
[02292.68-02293.74] 我要不要听证
[02293.74-02295.30] 如果说我反正不太长了
