[00000.00-00004.74] 稍分大家好,今天我們接著來學習民法的內容
[01192.06-01194.66] 不能韓國部卿是相對人難免體業
[01194.66-01197.08] 所以最有情况之下,我们要知道
[01197.08-01198.86] 并不是我有一个想法
[01198.86-01206.14] 他就会構成要约,想过程要约他的特征必须是具体的明确的
[01206.14-01210.62] 比如说,你说老师什么叫的具体明确,这个具体我们如何去判断
[01210.62-01215.10] 在旁边写上几句,在旁边写上一个标准,好吧
[01215.10-01218.66] 这是我们如何去判断这个我发出的意思表示的内容
[01218.66-01221.42] 他是具体的确定的你在旁边写上
[01221.42-01224.22] 只是他必须具备合同的三项避备要素
[01224.22-01226.52] 也就是你判断他是不是一个要约
[01226.52-01227.80] 他是不是具体明确
[01227.80-01229.60] 你就看一下
[01229.60-01233.68] 他居不具备这三层要素
[01233.68-01234.58] 哪三层要素呢
[01234.58-01236.00] 同们在旁边标注一下
[01236.00-01237.54] 就是想要体现他的具体明确
[01237.54-01239.32] 必须具备合同的
[01239.32-01241.12] 三层必备要素就是
[01241.12-01243.68] 当时人
[01243.68-01245.98] 就是在你的意思表示当中
[01245.98-01247.78] 你发出的这个要约当中
[01247.78-01249.42] 他必须有当时人
[01249.42-01250.52] 必须有
[01250.52-01253.92] 标地务
[01253.92-01256.48] 必须有什么必须有数量
[01259.20-01263.04] 这三项都具备了那么你发出的这个就是什么
[01263.04-01266.64] 你发出的这个它就能够确定为要约
[01266.64-01268.84] 你看我刚才一直在强调一个问题
[01268.84-01270.28] 通过我们一直在强调什么问题呢
[01270.28-01271.28] 就是我在跟你说
[01271.28-01277.20] 我是我要把我价值两代人的一个小天才而同手表
[01277.20-01277.96] 终于给你
[01277.96-01279.64] 我说一直在说这样的一段话
[01279.64-01281.28] 你看我刚才的这段话当中
[01281.28-01282.72] 它就能备撑着为什么
[01282.72-01283.52] 要约
[01283.52-01284.72] 因为我在这里说了
[01284.72-01286.20] 我要把我的手表增于你
[01286.20-01287.36] 有没有当时人
[01287.36-01290.00] 有当时人是我和你
[01290.00-01292.04] 想到了礼物宏对对
[01292.04-01294.36] 我和你心练心同助地就存
[01294.36-01295.60] 别管
[01295.60-01298.00] 你看在这里面是不是就出现了当时人
[01298.00-01298.76] 我和你
[01298.76-01299.48] 那这个当时
[01299.48-01300.92] 第二个有没有标地我
[01300.92-01302.16] 有标地我什么
[01302.16-01304.12] 小天才而同手表
[01304.12-01305.28] 第三个有没有数量
[01305.28-01308.28] 有我的一块小天才而同手表
[01308.28-01309.12] 所以你判断
[01309.12-01310.36] 他是不是要约
[01310.36-01311.96] 你在这里面就去看一下
[01311.96-01316.36] 他是不是把这里面的当时标击物和数量都给你去产出清楚了
[01316.36-01318.92] 如果在体肝当中这个都产出清楚了
[01318.92-01320.12] 那他就是什么
[01320.12-01323.40] 他就是要约他就是要约
[01323.40-01324.44] 明白这个意思吧
[01324.44-01326.44] 热闹是那你讲这个干嘛呢
[01326.44-01327.20] 同们注意一下
[01327.20-01329.32] 我给大家讲这个是有原因的
[01329.64-01333.16] 因为经常会把要约和要约邱请
[01333.16-01333.96] 我现在这儿
[01335.08-01337.80] 和要约邱请混销
[01341.96-01343.96] 把要約和要約邀請婚小
[01343.96-01344.66] 大家注意一下
[01344.66-01347.56] 要約它是既有內心的意思表達
[01347.56-01349.56] 又有外在的什麼表示
[01349.56-01351.20] 這個就叫做要約
[01351.20-01351.68] 對吧
[01351.68-01353.76] 而我們所說的內心的意思表達
[01353.76-01355.86] 它必須是具體明確的
[01355.86-01358.96] 所以我們才說了必須有當時人標的誤和數量
[01358.96-01360.36] 而要約邀請是什麼
[01360.36-01362.36] 要約邀請和要約相反
[01362.36-01364.76] 要約邀請的是希望他人
[01364.76-01366.96] 像自己發出要約的表示
[01366.96-01368.36] 我把它的概念寫的上面
[01369.56-01370.56] 叫希望
[01370.56-01383.06] 他人像自己 发出 要约的表示
[01383.06-01386.36] 同学们看一下 他只是一个什么
[01386.36-01388.36] 他只是一个表示
[01388.36-01390.96] 而我们所说的要约是什么
[01390.96-01393.06] 要约是意思表示
[01393.06-01394.66] 你说老师这有什么区别呢
[01394.66-01395.86] 区别就在约
[01395.86-01397.36] 所谓的要约
[01397.36-01399.36] 它是有内心的意思的
[01399.36-01402.60] 也就是它想和你定力合同的这样的一个艺术
[01402.60-01404.20] 它如果想跟你定力合同
[01404.20-01405.12] 那就意味着
[01405.12-01408.20] 我要表达的这个想法一定是明确具体的
[01408.20-01411.88] 而如果是要有请它仅仅是一个外在的表视
[01411.88-01414.44] 那它如果只是一个外在表示的话
[01414.44-01415.24] 同们注意一下
[01415.24-01416.72] 那在这里面就意味着
[01416.72-01419.36] 它缺乏内心的意思
[01419.36-01420.48] 缺乏内心的意思
[01420.48-01422.52] 如果缺乏内心的意思的话
[01422.52-01426.28] 那就体现在它的内容一定是不具体的
[01426.28-01428.98] 第二个在销果上他一定不想什么
[01428.98-01430.92] 他一定不想受到约束
[01430.92-01433.08] 欢迎话说的这个要约邀请就是
[01433.08-01434.18] 举个简单例子
[01434.18-01436.86] 我刚才说想赠于你画我组传的
[01436.86-01438.08] 价值200块钱的小天赞
[01438.08-01440.04] 而通设表资源里只要你考上了
[01440.04-01441.28] 你说OK没有问题
[01441.28-01443.08] 我这个说像你发出的是什么
[01443.08-01444.68] 要约明白了吧
[01444.68-01446.68] 那如果要约邀请什么感觉呢
[01446.68-01447.48] 要约请就是
[01447.48-01449.48] 我说你人不错
[01449.48-01450.78] 我说如果你考上了
[01450.78-01452.08] 我送你点东西了
[01452.58-01453.48] 送什么
[01453.48-01454.98] 知不知道不知道
[01454.98-01456.94] 你还我只说我送你点东西
[01456.94-01458.94] 但是送的标击物是什么
[01458.94-01461.46] 送多少是个都没有在这里体现
[01461.46-01463.62] 那我说如果你考上我送点东西
[01463.62-01464.58] 他就是什么
[01464.58-01466.26] 他就是要于邀请
[01466.26-01468.58] 那这时候你会出于习惯性的
[01468.58-01470.34] 或者出于礼貌你会问一句什么
[01470.34-01472.58] 说你要送我什么呀
[01472.58-01474.02] 我说到时候再看的
[01474.02-01474.98] 然后你这时候你就说了
[01474.98-01476.82] 你说我想要什么什么什么什么
[01476.82-01478.26] 你看我刚才说
[01478.26-01479.46] 我就送你点东西吧
[01479.46-01481.06] 其实我想你发出了什么
[01481.06-01483.06] 要于邀请我的目的是什么
[01483.06-01483.78] 我的目的是
[01483.78-01485.78] 所以也有你跟我定力合同
[01485.78-01486.78] 明白这个意思吧
[01486.78-01490.10] 我就让你先主动说出你内心的意思表示
[01490.10-01492.30] 所以在这里要越和越有要求
[01492.30-01493.74] 他其实是有一个区分的
[01493.74-01495.38] 所以在这里面大家要注意一下
[01495.38-01499.14] 要越有请他就体现在他的内容是不具体的
[01499.14-01501.02] 你说老师他居不具体
[01501.02-01502.22] 我们有没有判断标准
[01502.22-01502.66] 有完
[01502.66-01503.86] 我刚才给到大家了
[01503.86-01506.62] 看他有没有当时人标地如何数量
[01506.62-01507.62] 明白这个意思吧
[01507.62-01510.82] 所以这是第一个大家明确要要请他不具体
[01510.82-01511.62] 那第二个呢
[01511.62-01512.86] 就是我们来看一下
[01512.86-01514.86] 那要約邀請在作體的時候
[01514.86-01516.38] 或在日常生活當中
[01516.38-01519.14] 他經常是以什麼樣的形式出現呢?
[01519.94-01522.30] 我們必要常見比如說拍賣廣告
[01524.54-01525.82] 然後拍賣公告
[01525.82-01528.54] 拍賣公告呢?他其實就屬於要約邀請
[01528.54-01530.30] 或者是招標公告
[01531.98-01533.26] 招標公告是不是指說
[01533.26-01534.78] 說我們要搞一個招投標
[01534.78-01536.22] 換言大家來積極參與
[01536.22-01536.80] 對不對?
[01536.80-01538.86] 又或者這位常見的還有一個
[01538.86-01540.94] 也是在考試當中比較喜歡考的
[01540.94-01543.14] 叫做商業廣告宣傳
[01546.86-01548.34] 商業廣告宣傳
[01548.34-01549.74] 商業廣告宣傳
[01549.74-01550.46] 大家注意一下
[01550.46-01551.58] 它的原則上
[01551.58-01553.34] 我把這個商業廣告宣傳
[01553.34-01554.34] 給它在網外眼
[01554.34-01554.94] 我寫在這
[01554.94-01555.38] 好吧
[01555.38-01557.06] 同學們在去書裡的時候
[01557.06-01559.30] 你就按照我們的框架書裡就行了
[01559.30-01560.34] 我把它寫在這
[01560.34-01561.94] 就是商業廣告宣傳
[01566.14-01567.34] 商業廣告宣傳
[01567.34-01568.54] 它是比較特殊的
[01568.54-01572.38] 大家注意一下他原則上屬於要約邀請
[01575.70-01577.50] 原則上屬於要約邀請
[01577.76-01579.02] 有時候我們經常看到的
[01579.18-01580.50] 比如說哪個樓盤開發了
[01580.50-01582.10] 它是不是經常會給你發傳單
[01582.30-01583.64] 然後它給你發傳單的時候
[01583.64-01586.20] 它就會給你在這個傳單上印象
[01586.20-01590.56] 比如說我們白山什麼廣泽藍廷小區或者什麼小區
[01590.56-01593.36] 它就會給你在那個傳單上給你印象
[01593.36-01594.04] 說什麼
[01594.04-01595.92] 什麼風水機架風水機架
[01595.92-01597.46] 不好意思 口風見明星了
[01597.46-01601.22] 比如说警色即加律化旗权杨老师是配套
[01601.22-01602.06] 把拉拉的
[01602.06-01604.50] 然后在身份写上什么
[01604.50-01608.58] 反正就是宣传他好什么物业又一流而死之类的
[01608.58-01610.26] 然后变一个红色的小传单
[01610.26-01612.38] 然后看一下给你放一个他自己的大漏果
[01612.38-01613.42] 然后发发给你
[01613.42-01615.62] 然后你就看了一下他为于哪个地方
[01615.62-01617.18] 他的地段如何然后怎么样
[01617.18-01619.06] 你看他给你发了这个传单
[01619.06-01621.42] 一般情况之下他只是给你说了
[01621.42-01624.66] 这个我们所说的他这个小区有哪些特点
[01624.66-01627.94] 那这个时候他有没有说他开发了多少楼盘
[01627.94-01630.70] 没有他有没有说在这个楼盘当中
[01630.70-01632.92] 然后给你说了他卖多少楼
[01632.92-01634.06] 他也没有对不对
[01634.06-01635.06] 他有没有跟你说
[01635.06-01636.74] 说什么我现在有优回价格
[01636.74-01637.78] 然后几天的有效
[01637.78-01639.06] 他没跟你说这些没有
[01639.06-01641.66] 他如果只给你发了一个传端宣传
[01641.66-01644.46] 他是哪个房间闪开发生起下的
[01644.46-01646.54] 只是宣传了小区的基本情况
[01646.54-01647.86] 只是宣传了小区
[01647.86-01649.74] 可能他的价格是
[01649.74-01651.02] 计万到几万之间
[01651.02-01652.66] 会几千到几千之间的话
[01652.66-01653.94] 那他就属于什么
[01653.94-01657.78] 要越邀請,為什麼?因為他的內容不具體
[01657.78-01662.38] 你說老師他有沒有可能成為要約呢?大家注意一下
[01662.38-01663.14] 可能
[01663.14-01665.64] 立外就是商業廣告他的立外
[01665.64-01667.00] 他就是要約
[01667.00-01670.58] 那你判券他是不是要約同學們從哪幾個角度去判斷?
[01670.58-01672.18] 三個角度還是
[01672.18-01673.02] 咱們說了
[01673.02-01674.78] 如果他上面有什麼
[01674.78-01676.06] 有當時人
[01676.06-01679.74] 有我們所說的這個數量
[01679.74-01681.58] 標的五
[01681.58-01686.58] 他都在这个宣传的商业广告上给你印上了
[01686.58-01688.58] 那这种情况这些他就是啥了
[01688.58-01690.78] 这种情况这些他就是我们所说的
[01690.78-01691.94] 要约了
[01691.94-01695.98] 举个简单的例子比如说还是小区开发楼盘了
[01695.98-01698.98] 然后他这个时候就发布了一个商业广告
[01698.98-01700.98] 小区开发楼盘商业广告说
[01700.98-01703.18] 我们比如说广泽蓝停
[01703.18-01704.38] 不能广泽蓝停
[01704.38-01707.58] 比如说幸福房地产开发商吧
[01707.58-01708.58] 好了假设
[01708.58-01711.78] 咱說我們說了幸福房地產開發商
[01711.78-01713.58] 發布了一個廣告說什麼呢
[01713.58-01715.22] 說他們要開發
[01715.22-01717.34] 27或37樓盤
[01717.34-01719.34] 然後一共50棟樓
[01719.34-01722.82] 然後美洞美平價格25
[01722.82-01725.46] 然後說現在如果你
[01725.46-01729.30] 現在過來跟我的這個幸福房地產開發商
[01729.30-01730.54] 簽訂合通的話呢
[01730.54-01731.94] 我給你一些優惠
[01731.94-01734.26] 原本25一片我現在給你兩萬一片
[01734.26-01736.58] 然後有效70的多少天
[01736.58-01740.06] 那你看在这个时候他如果在这里给规定特别详细了
[01740.06-01741.14] 第一个是吗
[01741.14-01742.74] 幸福房船开发商
[01742.74-01744.86] 是不是向你发出要约是没有当时人了
[01744.86-01746.46] 第二个标击有没有有啊
[01746.46-01748.86] 他开发的三期楼盘一共五十公
[01748.86-01750.58] 是不是就标击有数量
[01750.58-01752.14] 而且这里还给你标击了价格
[01752.14-01754.42] 那就时候他的内容拒不拒绝贴
[01754.42-01755.58] 内容拒绝贴定
[01755.58-01757.94] 那这个时候的商业广告就成为了什么
[01757.94-01759.78] 就成为了要约
[01759.78-01760.50] 明白了吧
[01760.50-01762.06] 所以在这里面我们要知道
[01762.06-01763.90] 这是定力合同的第一步
[01763.90-01765.78] 就是一定要有一个要约
[01765.78-01768.76] 这里面的考虑就是在于第一个大家要明确
[01768.76-01771.58] 我们所说的要于它属于一种意思表示
[01771.58-01775.22] 就是你内心小和别人定力合同的这个想法
[01775.22-01777.02] 要外在的表示出来
[01777.02-01779.46] 也是在这里面会有一个外在的表示行为
[01779.46-01781.14] 你要么是通过宗念的
[01781.14-01782.54] 要么是通过口头的
[01782.54-01783.54] 明白这个意思吧
[01783.54-01784.98] 所以这个叫要于
[01784.98-01787.98] 那要于最和心的第二考虑就是大家知道
[01788.86-01791.98] 我把这个考虑给大家用不同的颜色圈出来
[01791.98-01794.90] 首先第一个就是我们要知道要于是一种意思表示
[01794.90-01798.10] 第二个我们要知道要约它是具体明确的
[01798.10-01799.82] 怎么判删它是不是具体明确
[01799.82-01801.74] 当时标击我和数量
[01801.74-01805.54] 如果它发出的意思表示不具体不明确
[01805.54-01807.62] 它就属于要约邀请
[01807.62-01809.82] 要约邀请同名要注意两个点
[01809.82-01811.82] 第一个 它的特点不具体
[01811.82-01813.46] 第二个我们常见的
[01813.46-01816.14] 在提案当中去判删它是不是要约邀请
[01816.14-01817.66] 就看有没有判卖广告
[01817.66-01819.62] 招头标书 商业广告
[01819.62-01822.38] 什么古权 木极书等等
[01822.38-01824.66] 这些都属于我们所说的要约邀请
[01824.66-01826.66] 而要要請當中有一個比較特殊
[01826.66-01827.62] 就是商業廣告
[01827.62-01829.56] 大家知道商業廣告原則上
[01829.56-01831.30] 屬於要約要請
[01831.30-01833.26] 而我們所說的立外情況之下
[01833.26-01834.74] 當他的內容起碑的時候
[01834.74-01835.64] 他就屬於什麼啦
[01835.64-01837.30] 他是屬於要約了
[01837.30-01838.54] 那這是我們所說的
[01838.54-01839.74] 丁麗合同的第一步
[01839.74-01840.74] 這是有一個人
[01840.74-01843.02] 就是我想把我的小天下通說
[01843.02-01844.42] 要增与給你
[01844.42-01846.02] 價值200塊錢一塊
[01846.02-01847.18] 那這個時候
[01847.18-01849.02] 就是我發出了要約
[01849.02-01849.94] 但是我們說了
[01849.94-01852.02] 合同一般是幾方當時
[01852.02-01854.38] 合同一般是雙方當時
[01854.38-01856.94] 只有我向你发出我的想法的时候
[01856.94-01858.34] 合同成立了吗
[01858.34-01859.54] 合同没成立
[01859.54-01861.70] 因为合同要越数双方当时
[01861.70-01864.22] 我作为要元人发出要元之后
[01864.22-01866.30] 那第二步就是合同要成立
[01866.30-01868.70] 作为接收这个意思表示的
[01868.70-01869.62] 受要元人
[01869.62-01870.58] 他要给出什么
[01870.58-01872.54] 他要给出成弄
[01872.54-01874.98] 所以我说了合同成立两步走第一个
[01874.98-01877.26] 一方当时发出意思表示
[01877.26-01878.70] 另外一方第二步
[01878.70-01881.18] 另外一方当时接受这个意思表示
[01881.18-01882.26] 并做出成弄
[01882.26-01886.22] 我接受意思表示的約束和統裁成立
[01886.22-01888.90] 所以有要約只是合同成立的第一步
[01888.90-01890.18] 第二步是什麼呢?
[01890.18-01892.18] 第二步就是數要約人
[01892.18-01894.50] 我向你發出你就是稍微人
[01894.50-01895.82] 你要給出相應的什麼?
[01895.82-01896.42] 成弄
[01896.42-01897.86] 所以我們來看一下在這裡面
[01897.86-01900.18] 他所給到的合同成立的第二步
[01900.18-01901.22] 就是成弄
[01902.22-01903.26] 成弄是啥呢?
[01903.26-01904.90] 成弄他是只你看說
[01904.90-01908.50] 是只數要約人同意要約的意思表示
[01908.50-01910.94] 就是我說我把東西送給你說
[01910.94-01913.64] 老師OK No Problem
[01913.64-01916.04] 那你看在這裡面所給到的就是什麼
[01916.04-01918.70] 就叫做統一要約的意思表示
[01918.70-01922.04] 如果你像我做出成落企程度到達我的時候
[01922.04-01923.44] 合同就成立了
[01923.44-01925.48] 所以承諾在理解上
[01925.48-01928.04] 它就是比要約要簡單一點
[01928.04-01930.24] 它其實就是一個對象的意思
[01930.24-01931.24] 對象的意思
[01931.24-01933.44] 好 那這個是承諾的概念
[01933.44-01936.14] 那我們來看一下承諾它有什麼樣的課程
[01936.14-01938.14] 在這裡面它給到承諾的課程說
[01938.14-01940.34] 承諾必須是有受要人做出的
[01940.34-01941.62] 比如说
[01942.14-01945.82] 假设,你叫小A,对吧,我说小A,我说你不错
[01945.82-01952.62] 对吧,如果你这次考商的话,我就把我一块价值200块的小天才组传而同社交生为你
[01952.90-01956.54] 这个时候我想你发出意思表示只能你向我做出成弄
[01956.54-01961.06] 你说老师,每个问题对吧,我不解商,而且我一定是第一名,我说真棒
[01961.34-01963.90] 你看这个时候你做出成弄,对我太小
[01963.90-01965.74] 能不能说我像你说出话的时候
[01965.74-01966.84] 旁边的小闭说说
[01966.84-01967.94] 哎呦老师不错
[01967.94-01969.70] 我也喜欢小天下这种说表说
[01969.70-01970.66] 小闭说
[01970.66-01972.10] OK No Problem
[01972.10-01974.02] 小闭说的这个意思
[01974.02-01975.06] 跟我有没有关系
[01975.06-01977.10] 没有就小闭做出的承诺
[01977.10-01978.82] 他并不能形成什么
[01978.82-01981.06] 他并不能形成我们所说的这个
[01981.06-01981.82] 合同成练
[01981.82-01983.50] 那说老师小闭说的
[01983.50-01984.62] OK No Problem
[01984.62-01985.74] 他可以够成什么
[01985.74-01987.30] 他可以够成新的要运了
[01987.30-01988.98] 因为我的要运不是对他发出的
[01988.98-01990.26] 但是他像我发出的
[01990.26-01990.58] 对吧
[01990.58-01992.10] 所以他够成一个新的要运
[01992.10-01992.86] 所以在这里
[01992.86-01999.26] 第一个点,大家知道,这是承论,他必须是有受要元人做出的,这是第一个点
[01999.52-02004.38] 第二个点,他说,承论必须在合理期限内,想要元人发出
[02004.64-02008.74] 因为我们说了,我发出的这个要元他不可能无限期的生效
[02009.76-02013.60] 大一点要注意一下,我发出的这个要元他不可能无限期的生效
[02013.86-02018.46] 所以在这个时候,他必须给出相应的承论期,一说换一说,我证于你
[02018.46-02020.46] 小天才是同手表的既然是
[02020.46-02021.94] 我不可能无限期等你
[02021.94-02023.58] 你比如说你都上案
[02023.58-02024.58] 都十年了
[02024.58-02026.26] 你现在都是某某局的局长了
[02026.26-02027.26] 你这有时候突然
[02027.26-02028.42] 老Berry拍摄
[02028.42-02029.42] 我相信个事
[02029.42-02031.90] 我们当时的老师的跟我说说啥呢
[02031.90-02033.06] 说要几个我上案了
[02033.06-02034.30] 他说小天才是同手
[02034.30-02035.82] 你就开始买世界早我
[02035.82-02036.90] 让我把小天才是同手
[02036.90-02037.54] 送给你
[02037.54-02038.58] 那不可能的
[02038.58-02038.90] 对吧
[02038.90-02039.82] 因为任何行为
[02039.82-02041.30] 他都要有期限的约束
[02041.30-02042.66] 所以在这里面他说了
[02042.66-02045.54] 说承诺必须是在合理期限内
[02045.54-02046.90] 想要有人发出的
[02046.90-02047.82] 第三个点
[02047.82-02049.42] 是在考试当中比较常接的点
[02049.42-02050.62] 从来标注出来
[02050.62-02053.46] 叫做承诺的内容必须
[02053.46-02055.50] 要约的内容保持
[02055.50-02056.26] 以至
[02056.26-02057.30] 也就是说
[02057.30-02058.06] 我说
[02058.06-02061.26] 我把我一块价值200块钱的
[02061.26-02062.94] 组传小天才是从手表
[02062.94-02063.94] 送给你
[02063.94-02065.18] 这个时候你
[02065.18-02067.26] 你对我做出的承诺
[02067.26-02069.02] 是针对于这个手表的承诺
[02069.02-02069.58] 明白了吧
[02069.58-02070.34] 你不能说
[02070.34-02070.98] 老师
[02070.98-02071.90] OK都 problem
[02071.90-02073.30] 说我要是考证了的话
[02073.30-02074.46] 我就要你
[02074.46-02076.74] 那个什么家里的内内内量跑车
[02076.74-02077.78] 你就把内内内量跑车
[02077.78-02080.02] 送給我 那這個時候可不行
[02080.02-02082.14] 對吧 因為我們是在這個地方給到說
[02082.14-02083.66] 承諾他必須於什麼
[02083.66-02086.78] 承諾他必須於要約的那種移制
[02086.78-02089.82] 那所以在這裡面我說給一下你就接受上
[02089.82-02092.70] 這個時候咱俩的送給合同才能成立
[02092.70-02095.30] 那你說老師 如果他真的就說了說
[02095.30-02097.50] 我想送你小天才能說不定
[02097.50-02099.74] 你反過給我的回應就說
[02099.74-02102.86] 給我的答覆就說 OK 老師 沒問題
[02102.86-02106.90] 如果我考上了 我要你家裡價值200萬的跑車
[02107.78-02111.34] 你看我在给大家举立的时候我是信口胡要嫁的
[02111.34-02112.38] 没有那么多钱
[02112.38-02116.42] 所以你看在这里你说你给我回复说你要我200万的这个跑车
[02116.42-02118.78] 你这个时候还就不叫成功了同学们
[02118.78-02119.82] 不叫了为什么
[02119.82-02124.02] 因为你成功的内容和我发出邀请的内容一币之然
[02124.02-02124.94] 不以之
[02124.94-02128.06] 那你这个时候你说要我驾制200万的跑车
[02128.06-02130.70] 你这个时候叫个什么叫做新的邀约
[02130.70-02131.94] 这个新的邀约
[02131.94-02134.66] 所以在这里你看他必须要求内容以至
[02134.66-02135.82] 下面的地方换出来
[02135.82-02140.48] 如果說人對腰約的內容做出實際性電鋼的示威什麼
[02140.48-02141.42] 新腰院
[02141.42-02146.54] 就是這個時候你用像我發出了一個重新修訂的
[02146.54-02147.98] 增与的這樣的一個腰院
[02147.98-02149.50] 那這個時候就看我同不同意
[02149.50-02150.52] 如果同意的話
[02150.52-02153.06] 那我就表示暫同拜
[02153.06-02155.56] 我時候我沒有問題考上2002測試你了
[02155.56-02155.98] 對吧
[02155.98-02158.46] 那這個時候增与新的增与和同就要成立了
[02158.46-02161.10] 但不是原來的小天才兒同時候表的這個了
[02161.10-02162.82] 所以在這裡面帶人知道
[02162.82-02165.42] 如果內容不一致做出實際性電鋼的叫做
[02165.42-02166.14] 新藥院
[02166.14-02168.30] 那什么叫做实质型变更呢
[02168.30-02169.38] 这个实质型变更
[02169.38-02170.90] 同时有点印象就行了
[02170.90-02171.78] 比如说标必
[02171.78-02174.94] 我刚才说了从小天天上说表辨成车
[02174.94-02177.78] 数量比较从一块变成实块
[02177.78-02178.34] 对吧
[02178.34-02180.50] 质量加款爆抽期限方式等等
[02180.50-02183.22] 这些变工成就位叫做实质型的变更
[02183.22-02185.42] 所以这个是我们所说的成弄
[02185.42-02186.54] 所以在这里成弄的
[02186.54-02189.06] 大家注意一下它的第三个特征就行了
[02189.06-02189.98] 这个地方呢
[02189.98-02191.62] 我们就把藥约和成弄
[02191.62-02193.22] 都给大家讲完了
[02193.22-02195.22] 本質上大家就能夠明確
[02195.22-02196.22] 合同定力
[02196.22-02197.92] 它就分兩步走
[02197.92-02198.62] 第一步走
[02198.62-02200.02] 發出要約
[02200.02-02200.72] 第二步走
[02200.72-02201.42] 做車
[02201.42-02202.12] 承諾
[02202.12-02203.02] 但是我們說了
[02203.02-02204.12] 要約和承諾
[02204.12-02206.12] 是雙方達成了合議
[02206.12-02208.02] 那要約和承諾
[02208.02-02210.12] 我在做出的這個過程當中
[02210.42-02212.02] 它並不一定有所有的情況
[02212.02-02212.92] 都是以這種
[02213.72-02215.72] 對於話的方式形成的
[02215.72-02218.22] 你比如說如果咱俩神面對面的這種交談
[02218.22-02219.42] 或者是我給你打電話說
[02219.42-02221.52] 我曾與你小天才而從說表的這個事
[02221.52-02223.92] 那这个时候要约合承诺的生效
[02223.92-02226.96] 就是对话主义生效或者承诺
[02226.96-02228.00] 你说话的话说呢
[02228.00-02229.92] 我把这件事说给你听了
[02229.92-02231.24] 你这个时候你听到了
[02231.24-02232.36] 你说OK了
[02232.36-02234.80] 你这个时候你知小了对话的内容
[02234.80-02235.88] 那这个时候就怎么样
[02235.88-02237.44] 这个时候要约就生效了
[02237.44-02239.28] 你说老师OK都 problem
[02239.28-02242.68] 你这个时候你给我了承诺承诺
[02242.68-02245.44] 你给我的这个达覆到达覆的时候
[02245.44-02246.88] 或者是让我知道的时候
[02246.88-02248.16] 那这个承诺生效
[02248.16-02250.48] 这个时候做出承诺之后
[02250.48-02251.68] 合同就成立了
[02251.68-02253.04] 但並不是所的那種
[02253.04-02255.40] 都是以這種對話的方式給出的
[02255.40-02257.00] 比如說舉個例子
[02257.00-02259.44] 我現在也不知道你的電話號碼
[02259.44-02260.84] 我也不知道你的微信號碼
[02260.84-02263.32] 我只知道你你的遊行
[02263.32-02265.40] 或者是只知道你的家庭的地址
[02265.40-02267.44] 那這時候我想你發出要約的時候
[02267.44-02270.44] 我就會給到一個點啥點
[02270.44-02272.44] 我說我要帶你考上之後
[02272.44-02274.64] 還是終於你小聽才能收表這個事
[02274.64-02277.84] 我給你寫了一份書面的東西
[02277.84-02279.00] 書面的東西之後
[02279.00-02281.52] 然后我就把它投帝到了游箱当中
[02281.52-02283.04] 投帝到了游箱当中
[02283.04-02286.80] 这个要约是就在路上一直走一直走
[02286.80-02288.52] 这个要约有没有生效呢
[02288.52-02291.16] 它走在路上的时候要约是没有生效的
[02291.16-02292.64] 什么时候要约生效呢
[02292.64-02294.88] 要约到打你家的时候
[02294.88-02297.32] 也就是说到打你的时候
[02297.32-02299.52] 到打你的注锁的游箱内的时候
[02299.52-02301.56] 这个时候要约才生效
[02301.56-02302.48] 所以这个时候呢
[02302.48-02303.64] 就会涉到一个问题
[02303.64-02305.32] 就是要约做出
[02305.32-02306.60] 和承诺做出
[02306.60-02308.44] 它中间会有一个时间差
[02308.44-02310.48] 如果有这个时间插在的话
[02310.48-02312.64] 核头什么时候成立呢
[02312.64-02314.24] 这就是一个问题
[02314.24-02316.12] 接下来就来讨论一下
[02316.12-02317.60] 我们所说的要约和承诺
[02317.60-02320.32] 它的一个生效的时间问题
[02320.32-02321.56] 我先把这个点
[02321.56-02324.04] 现在我给大家做一个简单的补充
[02324.04-02326.00] 也就是要约和承诺的生效
[02326.00-02327.08] 一般情况之下
[02327.08-02329.08] 我们先来看一下要约的生效
[02332.28-02334.76] 然后我们再来看一下承诺的生效
[02334.76-02336.60] 因为我们给到的是什么
[02336.60-02340.00] 我们给到的就说河通成立叫分两不走
[02340.00-02341.38] 那钥约声效的话
[02341.38-02342.40] 它有两种情况
[02342.40-02343.40] 第一种情况呢
[02343.40-02345.30] 就是以对话的方式做出
[02345.30-02346.80] 就是咱俩面对面聊天嘛
[02346.80-02348.00] 我就跟你说我说
[02348.00-02349.00] 你要是考上了
[02349.00-02350.00] 我就怎么怎么样
[02350.00-02351.40] 那这个是面对面聊天
[02351.40-02352.20] 那这种呢
[02352.20-02354.00] 我们就做对话的形式
[02354.00-02355.80] 那这个对话的形式
[02355.80-02357.20] 钥约什么时候声效呢
[02357.20-02358.40] 也就是我说的这个
[02358.40-02360.00] 我做出的这个意思表示
[02360.00-02361.80] 它就把上定了呢
[02361.80-02363.20] 那这个时候大家注意下
[02363.20-02365.60] 如果是这种对话形式的话
[02365.60-02366.62] 在旁邊标注一下
[02366.62-02369.56] 它是相對人知道內容的時候
[02372.56-02375.68] 相對人知道內容的時候
[02375.68-02376.94] 要約就生效了
[02376.94-02378.30] 你就坐在我面前
[02378.30-02379.94] 我就跟你把話聊
