[00000.00-00004.76] 好,那我们了解了河通是如何一部一部定力之后呢?
[01224.98-01225.86] 规定这个是有
[01225.86-01227.14] 但是出现了哪些情况
[01227.14-01228.82] 这个合同就可以被解除了
[01228.82-01230.42] 这个就叫做第一个
[01230.42-01232.34] 他的情形大家知道
[01232.34-01235.62] 第二个就是如果在这里形式法定解除全的话
[01235.62-01238.10] 谁能形式
[01238.10-01239.32] 哎,那去了呢
[01241.06-01242.70] 找一下啊,在这
[01242.70-01245.46] 这是谁能形使法定解除权
[01245.46-01247.90] 就是哪一方可以提出解除合同
[01247.90-01249.02] 就是谁能提
[01251.98-01254.10] 那这是第二个需要我们去掌握的
[01254.10-01254.94] 那第三个呢
[01254.94-01257.58] 就是我们要在这里要知道法定解除权
[01257.58-01259.14] 它是一项权益对吧
[01259.14-01262.90] 或者是我们说它只是一个简单的形容权
[01262.90-01265.18] 那这个权力要形使的话
[01265.18-01266.22] 如何形使啊
[01266.22-01268.54] 你不能说 你看到了这个事情发生你说
[01268.54-01269.58] 我要解除合同
[01269.58-01271.70] 你就在心里莫莫想解出解除
[01271.70-01272.82] 你内心的想法
[01272.82-01275.58] 它是没有办法对外发生法律效率的
[01275.58-01277.70] 所以你要行使解除权
[01277.70-01279.58] 我们就要知道怎么行使
[01281.58-01282.30] 对吧
[01282.30-01284.38] 如何行使解除权的问题
[01284.38-01286.82] 因为我们都知道在法律上你行权的话
[01286.82-01290.42] 要么种才要么起诉 要么通知
[01290.42-01292.34] 那你这有时候行使解除权你怎么行使
[01292.34-01295.58] 你是去起诉向法院起诉解除你们这件合同
[01295.58-01298.18] 還是像重裁委提到重裁解釋你們的合同
[01298.18-01299.68] 還是說在這個地方
[01299.68-01301.98] 你只要通知對方合同就解除了
[01301.98-01304.38] 這裡面就要涉及到如何形使的問題
[01304.38-01306.08] 那知道了如何形使我們說了
[01306.08-01308.58] 那法定解除權一旦解除合同之後
[01308.58-01310.48] 它會產生什麼樣的法律後果
[01310.48-01312.48] 那這個時候還會涉及到最後一個問題
[01312.48-01313.58] 我寫不下流行的這
[01313.58-01316.68] 好吧 就是法律後果的問題
[01316.68-01318.68] 那如果說要把合同撤銷了
[01318.68-01321.08] 是不是我們所說的所發生的行為
[01321.08-01322.98] 全部都是自始無銷的
[01322.98-01325.18] 這裡面也是需要我們去討論的問題
[01325.18-01326.98] 所以在法定解除权当中
[01326.98-01329.54] 我们需要掌握的是这四个方面的内容
[01329.54-01331.58] 他如果考察得比较简单的话
[01331.58-01333.10] 就是那种单一的案例
[01333.10-01335.10] 就给你设置一个情形问
[01335.10-01337.22] 这个时候这个人应该怎么办
[01337.22-01339.26] 也是问他能不能形式解除权
[01339.26-01341.58] 这时候就看他服服个法定情形
[01341.58-01343.58] 他如果想要考的哪一点
[01343.58-01344.38] 负责一点
[01344.38-01346.42] 他就会给你一个好几行
[01346.42-01347.98] 五六行论这样的案例
[01347.98-01349.98] 然后在这五六行论的案例当中
[01349.98-01350.98] 就给你去说
[01350.98-01354.50] 以下关于他形式解除权说法正确错误的事
[01354.50-01357.38] 那这四个问题都有可能变成显向
[01357.38-01359.10] 就看他在这个地方考
[01359.10-01361.58] 是考到想要拿一点还是简单一点
[01361.58-01363.02] 对吧 但是咱们被考的话呢
[01363.02-01366.98] 就尽量了在一个支点上都给他搞到稍微细续一点
[01366.98-01370.34] 好 那这个就是我们所说的有关于法定解出去
[01370.34-01371.86] 那我们就具体来看一下
[01371.86-01373.42] 我们所说的这个法定解出去
[01373.42-01374.86] 这四个方面的问题吧
[01374.86-01376.58] 实际上第一个就是我们来看一下
[01376.58-01380.66] 到底什么时候我可以形容使法定解出去呢
[01380.66-01382.14] 就是出现了什么情况
[01382.14-01384.84] 雙方當時人當中的任意一方
[01384.84-01387.14] 他就可以提出解除合同了呢
[01387.14-01389.24] 那我們就來看一下法定解除
[01389.24-01390.64] 全是用的情形
[01390.64-01393.44] 也叫做法定解除的條件
[01393.44-01395.64] 來看一下書上的誇張一
[01395.64-01398.44] 當然法定解除的條件有這麼幾個
[01398.44-01399.74] 來看一下第一個
[01399.74-01401.14] 同樣畫一下就做音
[01401.14-01402.44] 把不可抗力畫出來
[01402.44-01406.14] 說音不可抗力支持和同不能實現
[01406.14-01407.84] 在這裡面怎麼判斷
[01407.84-01410.14] 他甚至能夠形使解除全
[01410.14-01412.44] 同们来看一下你把这个解除化出来
[01413.98-01416.34] 把盒通解除条件当中的解除化出来
[01416.34-01418.84] 同们知道什么时候可以解除盒通呢
[01418.84-01422.04] 大家知道解除盒通只有一个原因
[01422.04-01424.74] 就是合通的目的无法实现了
[01429.08-01432.84] 现在旁边这是合通的目的无法实现
[01432.84-01435.24] 如果合通的目的无法实现的话
[01435.24-01436.74] 这个时候就可以怎么样
[01436.74-01439.04] 就可以提出要解除盒通
[01439.04-01441.60] 若老是什么叫河头的目的无法实现呢
[01441.60-01443.64] 比如说几个简单的例子
[01443.64-01446.84] 我要把这个小天才儿通手表综育给你
[01446.84-01447.24] 对吧
[01447.24-01449.96] 但是我还没有把这个表给你的时候
[01449.96-01451.52] 突然有一天有一个人
[01451.52-01452.60] 然后他就看
[01452.60-01454.80] 说你居然有小天才儿通手表
[01454.80-01455.52] 现死我了
[01455.52-01457.28] 他就把这个小天才儿通手表
[01457.28-01458.84] 从我的手上录下来
[01458.84-01459.88] 然后放在地上
[01459.88-01461.12] 猛得多了二十秒
[01461.12-01462.40] 把我这个小天才儿通手表
[01462.40-01463.32] 给我采费了
[01463.32-01465.28] 那小天才儿通手表采费了
[01465.28-01466.28] 的话同学想一下
[01466.28-01468.16] 我在旅行综育河头的时候
[01468.16-01469.76] 我还能不能终于你
[01469.76-01471.76] 我原本的这个小天才是说不好了
[01471.76-01472.48] 不能了
[01472.48-01473.96] 这种情况就叫做什么
[01473.96-01476.76] 就叫做合同目的无法实现
[01476.76-01478.40] 你在体验当中看到什么呢
[01478.40-01480.04] 看到说谁谁和谁
[01480.04-01480.96] 前进合同说
[01480.96-01482.36] 为了怎么怎么样
[01482.36-01483.16] 明白了吧
[01483.16-01484.12] 那这种情况之下
[01484.12-01485.56] 你看到很明显的为了
[01485.56-01487.24] 它是不是就是提到了合同的目的
[01487.24-01489.40] 那他如果说出现了什么特殊情况
[01489.40-01490.96] 说他原本想要
[01490.96-01492.64] 达到这个目的达到不了了
[01492.64-01494.04] 那这个就叫做什么
[01494.04-01495.92] 就叫做合同目的无法实现
[01495.92-01497.60] 所以合同目的无法
[01497.60-01500.56] 我们所说的解除如何去判断
[01500.56-01501.96] 你就先判断一个大原则
[01501.96-01504.56] 就看一下这个合同目的到底能不能实现
[01504.56-01506.36] 如果合同目的无法实现的话
[01506.36-01508.56] 那这个时候就可以先试解除去
[01508.56-01510.16] 那到底是什么样的原因
[01510.16-01512.28] 使得合同目的没有办法实现呢
[01512.28-01514.28] 第一个就叫做不可抗力
[01514.28-01516.32] 咱们来看一下这个不可抗力是打说的
[01516.32-01518.12] 但是不可抗力这是合同
[01518.96-01520.96] 不能实现看了目的
[01520.96-01522.24] 几个简单的例子吧
[01522.24-01524.24] 比如说我们经常看到的是啥呢
[01524.24-01526.24] 是防护买卖合同
[01526.24-01528.16] 我们就以防满耐核通
[01528.16-01528.92] 没力
[01528.92-01530.16] 比如说我
[01531.32-01532.04] 别我了
[01532.04-01532.80] 小阿姨
[01532.80-01533.48] 好吧
[01533.48-01536.28] 比如说小阿姨要和小毕业结婚了
[01536.28-01540.68] 于是小阿姨就和我们所说的幸福开发商
[01541.96-01546.20] 现在显然就是幸福房地产有些公司
[01546.20-01546.84] 简单了
[01546.84-01547.84] 幸福房地产
[01547.84-01550.56] 幸福房产有些公司签跌了一个什么
[01550.56-01552.60] 签跌了一个买卖核通
[01552.60-01554.60] 它为什么要核幸福房地产开发工
[01554.60-01556.52] 开发商牵定一个买卖合同
[01556.52-01557.68] 原因很简单
[01557.68-01559.92] 因为当时这个幸福房地产
[01559.92-01560.88] 开发有些公司
[01560.88-01562.52] 我们就检称为幸福公司
[01562.52-01565.08] 这个幸福公司当时他就做成落
[01565.08-01567.52] 说我们这个小区全都是为了
[01567.52-01569.32] 年轻人结婚打造的
[01569.32-01569.72] 对吧
[01569.72-01570.56] 他们
[01570.56-01572.64] 我就简单写把这个要素放在这
[01572.64-01573.56] 这是混方
[01573.56-01575.20] 说你想要什么都有
[01575.20-01577.04] 年轻人现在追求的是什么
[01577.04-01578.76] 年轻人现在追求的是
[01578.76-01580.72] 舒适自由
[01580.72-01582.20] 然后环境好
[01582.20-01582.88] 新加币高
[01582.88-01586.24] 对吧 这是它我们所说的它主义的这样的一个概念
[01586.24-01588.36] 然后当时小印买这个坤房的时候
[01588.36-01592.00] 它说了 它说我主要是想买一个坤房
[01592.00-01593.00] 这个坤房干嘛呢
[01593.00-01594.36] 它有一定的设施
[01594.36-01596.20] 它就说了 我就是充着
[01596.20-01598.20] 就是它对这个坤房的要求
[01598.20-01600.40] 就要求这个坤房所在的这个小区
[01600.40-01602.64] 要有比如说吧 游泳池
[01604.80-01607.08] 要游泳池 游泳池
[01607.08-01610.16] 还要有啥呢 还要有健身房
[01610.16-01613.44] 还有建设房
[01613.44-01614.48] 还有什么呢
[01614.48-01617.44] 我们所说的咖啡馆
[01617.44-01619.60] 反正这个小区里管他开啥呢
[01619.60-01620.40] 我就简单写
[01620.40-01621.92] 他对于这个温房的要求啊
[01621.92-01623.60] 就说要有游泳吃建设吗
[01623.60-01624.16] 咖啡馆
[01624.16-01626.24] 然后当时幸福房里闪开发公司
[01626.24-01627.04] 他就说了说
[01627.04-01627.60] 没问题
[01627.60-01627.92] 对吧
[01627.92-01630.32] 我刚说了年生人主大一个书市
[01630.32-01631.44] 主大一个情调
[01631.44-01633.44] 所以他就说说我们这个
[01633.44-01634.64] 小区
[01634.64-01637.60] 他绝对游泳吃建设房和咖啡馆
[01637.60-01640.68] 你看这个时候小 A它要结婚
[01640.68-01643.24] 它的目的是买一个膚袋这么多条件的互访
[01643.24-01643.76] 对吧
[01643.76-01646.56] 那这个时候小 A和这个幸福公司
[01646.56-01648.60] 就签定了防护了买来合同
[01648.60-01650.64] 签定了防买买合同之后
[01650.64-01652.04] 然后最后呢
[01652.04-01653.92] 这个小区也见完了
[01653.92-01655.68] 这个小区在最开始见完的时候
[01655.68-01658.28] 它确实是配套了这一系列的措施
[01658.28-01660.80] 就是在留小区里确实有它承诺的
[01660.80-01662.92] 游泳池健身防合咖啡馆
[01662.92-01663.72] 但是呢
[01663.72-01666.20] 当它把这个防色健完之后
[01666.20-01668.76] 還沒有給小蝙蝠燈記的時候
[01668.76-01669.92] 完了 出事了
[01669.92-01670.80] 啥事呢
[01670.80-01673.12] 天塌了 地獻了 小花骨不見了
[01673.12-01675.40] 這個時候就發生了我們所說的
[01675.40-01678.68] 比如說 地獻的問題 天空的問題
[01678.68-01680.48] 就是這個小區當中
[01680.48-01683.04] 就發生了這種人力不夠抗的這種資安災難
[01683.04-01684.84] 對吧 比如說 地震等等
[01684.84-01687.84] 所有小區的防護 全都回損滅施了
[01687.84-01690.12] 就小區的這個防子全都沒有了
[01690.12-01691.80] 同時在這個時候
[01691.80-01693.12] 小區所帶的
[01693.12-01695.80] 就是幸福公司所帶的這裏面的
[01695.80-01697.40] 流稳持健身房和咖啡館
[01698.20-01698.88] 也没了
[01698.88-01699.20] 对
[01699.20-01701.60] 无论是地县也好地这一号东西都没了
[01701.80-01702.76] 但你看
[01702.76-01704.80] 如果他负带这条件都没了
[01704.80-01708.40] 然后小银还没有和这个公司去办理过护登记
[01708.40-01711.20] 只是说你要建成跟前几百万合同
[01711.20-01712.00] 然后怎么怎么样
[01712.00-01713.32] 你看在这个里面
[01713.32-01717.60] 如果说因为不可抗力支持小银所提到的这些条件
[01717.60-01719.00] 全都没有实现的话
[01719.00-01722.60] 那这个时候就叫做不可抗力支持合同目的不能实现
[01722.60-01725.00] 那这个时候可不可以行实结束选
[01725.00-01726.64] 可以形式解釋
[01726.64-01728.36] 这个可以形式解釋
[01728.36-01729.48] 谁可以解釋
[01729.48-01730.36] 大家注意一下
[01730.36-01732.20] 首先小A可不可以解釋
[01732.20-01734.52] 小A只定是可以解釋的
[01734.52-01736.16] 因为小A的目的
[01736.16-01738.36] 是不是要有这些条件的官方
[01738.36-01739.52] 所以小A可也解釋
[01739.52-01741.32] 今天来我来问一下大家
[01741.32-01743.96] 幸福公司可不可以解釋合同
[01745.24-01746.24] 大家注意
[01746.24-01748.60] 这个事情发生的原因是
[01748.60-01750.04] 规结于幸福公司吗
[01750.04-01750.92] 不是的
[01750.92-01751.96] 因为在这里面
[01751.96-01753.96] 他们是满满双方
[01753.96-01755.96] 现在房子都没有了
[01755.96-01757.44] 宣佛公司也没有办法
[01757.44-01760.16] 实现给小业交房的这样的一个意误了
[01760.16-01761.32] 所以在这里面
[01761.32-01763.80] 宣佛公司也是可以提起出权的
[01763.80-01765.52] 所以在这里大家就知道
[01765.52-01766.88] 因不可抗力支持河通
[01766.88-01767.88] 不能实现的话
[01767.88-01768.80] 谁有解除权的
[01768.80-01771.88] 在旁边写上就可以双方军想有解除权
[01771.88-01773.28] 大家注意一下
[01773.28-01774.72] 这是第一个我们所说的
[01774.72-01776.48] 不可抗力
[01776.48-01778.08] 不可抗力这是第一个
[01778.08-01779.60] 第二个
[01779.60-01780.40] 来看一下
[01780.40-01783.32] 第二种可以形容法定解除权的情况是啥呢
[01783.32-01784.72] 来看在这里他说了
[01784.72-01787.00] 说在旅行期进满之前
[01787.00-01788.20] 也就是在交房
[01788.20-01789.80] 办理过户东西之前
[01789.80-01791.60] 这还是小一买混房的这个事
[01791.60-01794.84] 说当时一方明确表示自己
[01794.84-01797.08] 或者是以行为表明什么
[01797.08-01799.32] 不能旅行主要战互的
[01799.32-01800.56] 那这种情况之下
[01800.56-01802.64] 也可以享有解除选
[01802.64-01804.20] 那这个说谁想要解除选呢
[01804.20-01806.88] 大家注意下期的旁边是非委员方
[01810.68-01812.40] 非委员方小解除选
[01812.40-01815.48] 若老师这是咋回事 比如说我们说了
[01815.48-01819.96] 这个时候小A和幸福房产台外公司签订了一个
[01819.96-01823.40] 房屋买卖和同买卖的是我们所说的婚房
[01823.40-01824.88] 双方约定是什么呢
[01824.88-01827.68] 双方约定就是他们在几号
[01827.68-01831.28] 就房在几号之前完成过后登记 对吧
[01831.28-01834.60] 假设现在他们约定 我就给简单的例子
[01834.60-01837.04] 咱们把这个案例定上一个时间
[01837.04-01838.64] 假设呢双方约定
[01838.64-01839.60] 约定的在
[01839.60-01848.12] 我想一下,在6月1日,幸福公司向所所的交方。
[01848.12-01854.60] 然后,在7月1日之前,幸福公司要配合小亚医去办理过户登记。
[01854.60-01860.08] 刚才所说的英部顾抗力,在交方之前,或者是房屋都盖好,
[01860.08-01861.68] 在7月1號過過不動計之前
[01861.68-01862.76] 這個房子沒了
[01862.76-01863.16] 對吧
[01863.16-01863.88] 這個叫不很抗力
[01863.88-01864.88] 這個比較好理解
[01864.88-01867.28] 那什麼叫旅行期接滿之前
[01867.28-01868.88] 當時一方明確表示
[01868.88-01870.00] 或者是最行為表明
[01870.00-01871.36] 不能旅行主要債務的呢
[01871.36-01872.48] 舉個簡單例子
[01872.48-01873.28] 現在我們說了
[01873.28-01874.08] 它在時間上的
[01874.08-01875.68] 限定是6月1號交房
[01875.68-01877.20] 7月1號去辦理過貨
[01877.20-01877.84] 登記
[01877.84-01879.28] 但是現在已經幾月了
[01879.28-01882.24] 現在已經到了5月10號
[01882.24-01884.56] 假設現在已經5月10號了
[01884.56-01886.32] 現在已經5月10號了
[01886.32-01888.08] 結果小一發現
[01888.08-01889.28] 這個幸福
[01890.08-01893.40] 公司 这个幸福公司 持持不开工
[01895.40-01898.02] 那如果他持持不开工的话 团位想一下
[01898.02-01901.08] 你6月1号就交房了 结果今天已经5月10号了
[01901.08-01903.40] 你6月1号能不能如期交上房
[01903.64-01906.20] 老天爷 这怎么可能交上个房
[01906.20-01910.04] 对吧 用现在的话来说过了个豆腐 对吧 这是干啥就是没赶上热口的
[01910.04-01913.88] 所以6月1号就交房了 他5月1号他还没有动工
[01913.88-01915.98] 那这个时候你看就是在什么
[01915.98-01918.16] 就是在旅行期间嘛
[01918.16-01920.22] 之前在旅行期间嘛
[01920.22-01921.56] 之前你看
[01921.56-01924.38] 幸福公司就以自己的行为表明了
[01924.38-01926.92] 它能不能如期旅行主要交房的这个战
[01926.92-01928.42] 这个主要的这个战务
[01928.42-01929.02] 不行
[01929.02-01931.42] 那如果说这种情况下产生了
[01931.42-01932.16] 那谁呢
[01932.16-01933.08] 小A
[01933.08-01934.32] 那这种情况产生了
[01934.32-01935.54] 小A就可以怎么办
[01935.54-01938.52] 小A它就可以提出解除合同
[01938.52-01940.72] 这个时候就是单房解除了
[01940.72-01941.78] 就是单房解除了
[01941.78-01942.60] 所以大家注意一下
[01942.60-01944.60] 是非委员方
[01945.32-01947.24] 所以这是我们所说的第二种情况
[01947.24-01949.26] 第二种情况被称之为叫做
[01949.26-01950.24] 预期委员
[01952.60-01953.96] 就做预期委员
[01953.96-01956.04] 当达到预期的时候
[01956.04-01957.52] 应该做到的你没有做到
[01957.52-01958.88] 这个时候就要预期委员
[01958.88-01960.20] 所以预期委员
[01960.20-01962.08] 非委员方可以解除和通
[01962.08-01963.68] 可以单方形式解除权
[01963.68-01965.16] 这是第二种情况
[01965.16-01966.40] 第三种情况是什么呢
[01966.40-01967.44] 第三种情况叫做
[01967.44-01969.16] 杰女型经粹钢
[01969.16-01973.72] 他說當時人一方說實驗旅行主要在五經推告之後
[01973.72-01976.06] 在合理期限內認為旅行的
[01976.06-01980.60] 這個時候還是一樣的非委員方現在旁邊
[01980.60-01983.60] 叫做非委員方
[01983.60-01985.48] 享有單方的解出去
[01985.48-01987.40] 非委員方享有單方的解出去
[01987.40-01990.36] 所以大家注意一下這是我們所說的第三種情況
[01990.36-01992.28] 第三種情況咱們怎麼去看呢
[01992.28-01993.76] 還是剛才的案例班
[01993.76-01997.00] 咱們說了6月1號就防
[01997.00-02000.08] 然后7月1号协助小蕾办理过户
[02000.08-02000.76] 登记
[02000.76-02004.76] 这是咱们当时在河通当中签订了这样的一个情况
[02004.76-02007.12] 但是7月1号这天
[02009.00-02010.44] 幸福公司找不到了
[02011.24-02013.48] 这是幸福公司找不到了
[02013.48-02015.16] 幸福公司不仅找不到了
[02015.16-02019.40] 而且他没有如月去带小蕾
[02021.00-02023.32] 去带小蕾办登记
[02024.20-02026.44] 他本来是这一天应该领他办登记了
[02026.44-02028.52] 但是他在这一天没有领他半东西
[02028.52-02030.52] 小蝶就想着说这个公司
[02030.52-02031.76] 他可能是有点什么事
[02031.76-02033.08] 于是小蝶就怎么样
[02033.08-02034.96] 小蝶就去吹告
[02034.96-02035.84] 小蝶吹告
[02035.84-02037.28] 说那个幸福公司
[02037.28-02037.96] 说你赶紧
[02037.96-02038.72] 说赶紧
[02038.72-02039.96] 你这房子都该好了
[02039.96-02041.36] 我这边还着急结婚
[02041.36-02043.68] 说你赶紧给我把这个过不登记办了
[02043.68-02045.24] 不然的话我结婚就不敢怕了
[02045.24-02047.92] 说我要在9月1号之前结婚
[02047.92-02049.48] 那你这个时候他就吹告
[02049.48-02050.16] 吹告说什么
[02050.16-02053.48] 说你要在9月1日之前
[02055.16-02056.08] 帮我
[02056.44-02056.94] 啊
[02059.08-02061.08] 追告啊要在9月1号之前
[02061.40-02062.04] 办好
[02062.24-02064.84] 那这个时候你看是不是前女生什么
[02064.84-02067.52] 是不是7月1号这一天应该去办理过户东西
[02067.52-02068.96] 办没办没办
[02068.96-02070.44] 于是小艺族吹告
[02070.44-02072.16] 说吹告是在9月1号之前
[02072.16-02074.04] 是我给他预留了两个月的时间
[02074.04-02075.36] 让他去办理过户东西
[02075.36-02077.04] 结果到了什么时候呢
[02077.04-02079.84] 结果到了9月10号这一天
[02080.16-02081.88] 热没有办理过户东西
[02081.88-02082.88] 那这个时候
[02082.88-02083.84] 没没没没约
[02083.84-02088.12] 唯约了,你本来7月1号进来帮你过后东西让我拿到房屋的所有钱
[02088.12-02089.52] 结果现在你没有弄
[02089.52-02091.96] 这个时候就要是什么?就要做实验旅行
[02091.96-02093.76] 你没有给我的房屋帮你过后东西
[02093.76-02097.04] 这时候谁可以提到谁可以解释和通
[02097.04-02098.40] 小 A可以解释和通
[02098.40-02101.76] 所以这个情况就是我们所说的第一三种情形
[02101.76-02105.20] 大家就吃完旅行经吹告人为旅行的
[02105.20-02106.88] 吃完旅行经吹告人为旅行的
[02106.88-02110.64] 所以大家注意一下,这是我们所说的第三种情况
[02110.64-02111.92] 第四种情况是什么呢
[02111.92-02113.32] 他说当时一方
[02113.32-02115.40] 实验旅行在我会有其他委员
[02115.40-02119.80] 支持合同的目的不能实现的这种法定情形
[02119.80-02122.04] 这种人把的称为叫做根本的委员
[02125.56-02126.44] 根本的委员
[02126.44-02128.16] 那如果出现这种情况的话
[02128.16-02130.48] 那还是一样的叫做非委员方
[02132.68-02134.12] 叫做非委员方
[02134.12-02136.60] 可以单方解除合同
[02136.60-02137.88] 可以单方解除合同
[02137.88-02139.36] 所以在这里面大家注意一下
[02139.36-02140.88] 那这个怎么去理解呢
[02140.88-02143.52] 比如说在这个时候房子都已经盖好了
[02143.52-02145.60] 你看因为他当时他承诺他买房
[02145.60-02147.76] 待用持代健身房代台费咖啡馆
[02147.76-02150.00] 结果到6月1号交房这一天
[02150.00-02151.84] 房子都已经盖好了
[02151.84-02154.24] 但是没有他所说的什么
[02154.24-02155.04] 咖啡馆
[02155.04-02156.08] 健身房啊
[02156.08-02157.52] 然后等等这一系列的
[02157.52-02160.64] 那你看人家就想买一个这样的房子作为婚房
[02160.64-02161.84] 但是你怎么样
[02161.84-02162.72] 你没有搞
[02162.72-02164.40] 你看人家结婚
[02164.40-02166.40] 想要要正婚房的目的不能实现
[02166.40-02167.92] 那这个时候你就购成什么
[02167.92-02169.52] 就够成了根本的月
[02169.52-02171.56] 如果够成根本的月的话
[02171.56-02173.52] 那非为月一方就可以准备
[02173.52-02177.12] 非月一方就可以享有我们所说的结束选
[02177.12-02178.16] 小爷们一看
[02178.16-02180.20] 你这个简直跟你宣传的不一样嘛
[02180.20-02181.12] 这个就欺账了嘛
[02181.12-02182.52] 所以在这里面我们就说了
[02182.52-02185.72] 它可以单方形式结束选
[02185.72-02187.72] 那这里面它可能会睡到一个问题
[02187.72-02188.36] 什么问题呢
[02188.36-02189.92] 这是这个点它是一个难点
[02189.92-02192.24] 我还是希望给朋友们能够说透
[02192.24-02194.04] 我把这个地方花一个小对号
[02194.04-02195.04] 稍微注意一下
[02195.04-02196.84] 说他如果持眼旅行
[02196.84-02200.68] 在我就是到期了房子就是不给你这个叫持眼旅行
[02200.68-02204.00] 或者有其他行为每月行为支持河通目的不能实现
[02204.00-02205.28] 就是我刚才所说的
[02205.28-02209.12] 人家要这种带健身房有用管的这种灰房
[02209.12-02212.96] 然后你当时也承诺了人家才买你结果交房的时候
[02212.96-02214.76] 你就是没有这些配套设施
[02214.76-02218.32] 你这个时候是不是就是我们所说的这个根本的围园
[02218.32-02220.12] 就是河通目的不能实现
[02220.12-02223.72] 那这里面河通目的不能实现它可能会涉及两个情况
[02223.72-02224.80] 哪有的情况呢
[02224.80-02227.04] 这是女原的宣传的时候你说有
[02227.04-02229.52] 结果到了实际你没有
[02229.52-02232.52] 这个时候你是不是感觉你被骗了呀
[02232.52-02233.76] 那你如果被骗了的话
[02233.76-02234.88] 你这个时候我们说了
[02234.88-02237.12] 那这个时候幸福公司就够称了什么
[02238.16-02239.64] 幸福公司就够称了
[02239.64-02240.60] 起炸
[02240.60-02243.16] 所以在这里面是不是就出现了一个什么问题
[02243.16-02246.44] 就出现了一个围权的进河问题
[02246.44-02247.84] 或者是出现了一个
[02247.84-02249.72] 我们所说的民法商的进河
[02249.72-02250.92] 什么进河呢
[02250.92-02253.28] 我把这个根本维围在给他居甲化一件好话
[02253.28-02255.88] 我把这个按情现在旁边了
[02255.88-02257.72] 这是糟糕房时
[02260.08-02263.20] 没有健身房
[02265.84-02267.20] 没有健身房
[02267.40-02268.60] 游泳管
[02271.40-02272.48] 等等这些
[02272.60-02274.24] 这是我们所说的第送情况
[02274.24-02274.64] 对吧
[02274.64-02276.12] 那他就会出现进合
[02276.12-02277.36] 他这个进合就在于
[02277.36-02279.08] 你给我宣传的时候咱们说了
[02279.08-02279.56] 你说的
[02279.56-02280.48] 铁好铁好
[02280.48-02281.68] 铁好铁好铁好
[02281.68-02283.00] 说的你那个没谁了
[02283.00-02285.64] 这个小区简直的直通天停了
[02285.64-02286.92] 你就是宣传的时候挺好
[02286.92-02288.80] 但实际你给我的东西没有这样
[02288.80-02290.08] 你说不感觉到你被骗了
[02290.08-02291.72] 那被骗了的时候我们就有什么
[02292.72-02295.20] 被骗了我们就把它称着没叫做欺账
[02295.20-02296.32] 通常还记得
[02296.32-02298.32] 如果出现了中纳物杰
[02298.32-02299.60] 显示公平
[02299.60-02301.92] 协迫欺账他属于什么
[02301.92-02305.80] 他属于可撤销的民事法律行为
[02305.80-02306.24] 对不对
[02306.24-02308.52] 所以他属于可撤销的
[02308.52-02310.52] 消
[02310.52-02314.02] 属于可撤销的明示法律行为
[02314.02-02315.52] 这个时候我们说了
[02315.52-02318.02] 这个小A可不可以形使撤销选
[02318.02-02320.52] 撤销原本他们之间的买卖合逗
[02320.52-02321.52] 可以
[02321.52-02324.02] 叫可以撤销他们原本之间买卖合逗
[02324.02-02325.52] 这个就要做其战
[02325.52-02326.52] 其战
[02326.52-02327.52] 但是同时它在这里
[02327.52-02330.52] 是不是我的合途的目的没有实现
[02330.52-02331.52] 它是不是也够成根本的约
[02331.52-02333.52] 如果够成根本的约的话
[02333.52-02334.52] 小A还可以怎么办
[02334.52-02336.52] 小A还可以解除
[02338.52-02340.52] 小亚亚科一解除
[02340.52-02342.52] 这里面其实就说明了
[02342.52-02345.52] 到底是选期障,到底是选期障
[02345.52-02347.52] 可是小亚亚科一解除
[02347.52-02349.52] 这个就是交给律师来好像两个
[02349.52-02352.52] 就看哪一个对小亚亚亚亚
[02352.52-02354.52] 这个就是法定解除的情形
[02354.52-02356.52] 法定解除除了情形之外
[02356.52-02357.52] 其实还有一种情形
[02357.52-02359.52] 这叫做情事变功
[02359.52-02361.52] 这个情事变功的主要是正测变化
[02361.52-02363.52] 导致它出现了一系列的
[02363.52-02365.52] 不能实现和同根本目的的正情话
[02365.52-02368.52] 那这个也可以解除合同
[02368.52-02369.52] 这个解除呢
[02369.52-02371.52] 其实就和我们的不可抗力一样了
[02371.52-02373.52] 就是双方都没有过错的话
[02373.52-02374.52] 那种双方都可以解除
[02374.52-02376.52] 所以我把这个不可抗力
[02376.52-02377.52] 上面再加一个
[02377.52-02378.52] 好吧 大家就知道
[02378.52-02380.52] 就是我们所说的 全是变更
[02380.52-02382.52] 全是变更和不可抗力不一样
[02382.52-02383.52] 全是变更我们在提案当中
[02383.52-02384.52] 更多出现的就是
[02384.52-02386.52] 国家政策调整了
[02386.52-02387.52] 怎么怎么样呢
[02387.52-02389.52] 这个时候到这核通目的不能实现
[02389.52-02391.52] 这个时候都是双方享受解除去
[02391.52-02392.52] 那双方享受就出现
[02392.52-02394.52] 那这个是法庭解除的条件
[02394.52-02397.04] 我把这个地方再给大家去书理一下
[02397.04-02397.92] 咱们来看一下
[02397.92-02398.88] 法定解除
[02398.88-02400.16] 一共是有无种情况
[02400.16-02401.08] 第一个就是
[02401.08-02401.92] 请是变更
[02401.92-02403.28] 我说了这种政策调整
[02403.28-02404.00] 第二个就是
[02404.00-02404.76] 不可抗力
[02404.76-02405.56] 我比如说像
[02405.56-02406.16] 地震
[02406.16-02407.44] 如果出现这样的话是
