[00000.00-00003.58] 接着来看一下第七个明确
[01213.40-01214.36] 地位一旦整会了
[01214.36-01215.68] 这要提出一定会做错
[01215.68-01217.40] 所以在这里面大家要知道
[01217.40-01218.76] 这是我们所提到的
[01218.76-01221.24] 有关于公有之为主体
[01221.24-01222.64] 它的主体地位的体现
[01222.64-01223.28] 所以在这呢
[01223.28-01224.32] 我们就能够明确了
[01224.32-01226.36] 第一个它的组成是三种形式
[01226.36-01227.84] 在这里面有一个小的细节
[01227.84-01229.64] 我给大家详细地去讲述了
[01229.64-01230.92] 混合所有之经济
[01230.92-01232.20] 他的原因
[01232.20-01234.00] 以及他是把民营企业
[01234.00-01235.00] 住到国际当中
[01235.00-01237.92] 让民营和国有一块去经营
[01237.92-01239.36] 共同投资的政行事
[01239.36-01239.88] 对吧
[01239.88-01240.64] 所以在这里
[01240.64-01241.40] 注意下这个细节
[01241.40-01243.20] 因为毕竟23年考慍一次
[01243.20-01244.40] 而国有之经济
[01244.40-01245.76] 他的主体地位
[01245.76-01246.80] 就体现在
[01246.80-01248.56] 国有资产占用是
[01248.56-01249.84] 国有经济起住的
[01249.84-01251.12] 然后一层一层玻璃下来
[01251.12-01252.68] 国有经济最典型的就是
[01252.68-01253.56] 国有企业
[01253.56-01255.36] 这个点大家是一定要明确
[01255.36-01256.76] 这是我们所提到的
[01256.76-01260.08] 供用这位主体当中的第一个部分叫做公有制
[01260.08-01263.40] 那它的第二个部分其实在这里面的提到了就叫做什么
[01263.40-01264.68] 非供用这经济
[01264.68-01269.16] 非供用这经济就是它所提到的多种所有之经济
[01269.16-01272.64] 供同发展的这个供同这个多种所之经济
[01272.64-01275.20] 那一样大家在这里需要明确这么几个点
[01275.20-01281.08] 第一个就是非供用这经济它的组成
[01281.08-01287.04] 我知道非国武之经济他的具体短暂时后组成包括那些包括我们所说的各体经济
[01287.04-01290.74] 包括我们所说的私影经济 对吧
[01290.74-01293.74] 还有我们所提到的外资经济
[01293.74-01297.08] 当然还包括混合所有制当中的
[01297.08-01306.16] 混合所有制中的非国武之形式
[01306.16-01310.52] 混合所有制当中的非国武之成分
[01310.52-01312.12] 一共是这几个 大家知道
[01312.12-01315.28] 这里面经常会混着烤的一个是个体一个是私有
[01315.28-01317.96] 我们在考试的时候怎么去区分个体和私有呢
[01317.96-01319.68] 就看有没有产生贡用关系
[01319.68-01323.00] 如果我自己在楼下 太了一个小的这种
[01323.00-01324.88] 烤锦冥果子的小门脸
[01324.88-01326.96] 或者是烤冷面的这样的一个小门电
[01326.96-01330.68] 我自己干那这种情况之下 我就数约 个体经济
[01330.68-01334.40] 如果说我这个门电越做一大 比如说我原来的高中
[01334.40-01336.44] 我们那个地方叫白沙二中
[01336.44-01338.68] 白沙二中的最开始就一家烤冷面
[01338.68-01339.60] 可好吃了
[01339.60-01340.84] 那家口了面
[01341.56-01342.92] 它最开始是一个
[01342.92-01343.72] 一个姐姐
[01343.72-01344.52] 就是一个美女
[01344.52-01345.64] 她在那口喝她的妈妈
[01345.64-01346.80] 推了一个小车子
[01346.80-01347.84] 然后听她在那口
[01347.84-01349.44] 后来的跟我上高二的时候
[01349.44-01351.04] 她家就已经不单单
[01351.04-01352.40] 只是说推着车子在那口
[01352.40-01354.28] 她喝她的妈妈就在学校的附近
[01354.28-01355.64] 小附近吃的多嘛
[01355.64-01356.60] 然后就在那个地方
[01356.60-01357.72] 又开了一个小门是房
[01357.72-01358.60] 还是他们两个
[01358.60-01360.56] 这时候没有产生任何的规觋关系
[01360.56-01361.64] 那她就属于什么
[01361.64-01363.00] 她属于个体经济
[01363.00-01364.20] 但是这几年
[01364.20-01365.92] 我每年回家的时候我就会发现
[01365.92-01368.12] 她专门开了很多的电叫
[01368.12-01369.40] 而中考冷面
[01369.40-01371.96] 然后这个二中考冷面开了好多分店
[01371.96-01373.00] 那他开分店的话
[01373.00-01376.32] 大家就发现他指定不能是他和他妈妈一块再去考
[01376.32-01378.76] 他开分店了之后他一定会固有工人
[01378.76-01380.00] 一大产生固有关系
[01380.00-01383.04] 他的二中考冷面的这个店就变成了什么经济
[01383.04-01384.44] 就变成了私营经济
[01384.44-01386.60] 所以有关于个体经济和私营经济
[01386.60-01388.20] 我们在区分的时候就看
[01388.20-01390.88] 他是否有产生固有用关系
[01390.88-01392.44] 这一点是制观重要的
[01392.44-01393.40] 大家知道一下
[01393.40-01395.36] 这个店确实是要考过区分
[01395.36-01396.20] 大家明确
[01396.20-01398.50] 那外資經濟大助理下外資
[01398.50-01400.04] 不單單指的是國外的錢
[01400.04-01401.58] 而指的是境外資產
[01401.58-01402.84] 這裡面的境外
[01402.84-01404.38] 指的是大陸以外
[01404.38-01407.20] 包括我們國家的港澳台來到中國投資
[01407.20-01408.24] 它都處於什麼
[01408.24-01409.26] 外資經濟
[01409.26-01411.30] 所以在這裡面大家知道這是外資
[01411.30-01414.62] 還有一個就是混合所有制當中的飛共制成分
[01414.62-01415.40] 比如說
[01415.40-01416.94] 剛才我們所提到的
[01416.94-01418.98] 混合所有制當中的國有成分
[01418.98-01420.78] 原本的在A企業當中
[01420.78-01421.80] 它是純粹的國有
[01421.80-01424.88] 然後我們放開明天資本來明天資本進來了
[01424.88-01426.42] 他就属于混合作证
[01426.42-01428.54] 而混合作证当中原本的国有
[01428.54-01430.76] 那就是公劉制成分
[01430.76-01432.56] 那新进来的名仰
[01432.56-01433.46] 他就属于什么
[01433.46-01435.52] 混合作证当中的非购物证
[01435.52-01435.88] 成分
[01435.88-01437.38] 那他就属于非购物证经济
[01437.38-01437.94] 这个点
[01437.94-01438.96] 大家要注意一下
[01438.96-01440.24] 那问题就是在于
[01440.24-01442.04] 我们国家搞购物证搞得好好的
[01442.04-01445.88] 为什么要放开或者是为什么要进行改革
[01445.88-01450.22] 实现非购物证经济和购物证经济共同发展的这样一个情况
[01450.22-01451.58] 在这里面我们来看一下
[01451.58-01453.80] 非购物证存在它的根本原因
[01454.88-01462.00] 大主要非货之经济存在他的根本原因在本质上
[01462.00-01466.56] 其实就为了一点就是为了适应谁的需要为了适应生产力的需要
[01466.56-01472.28] 为了适应生产力的需要他为了促进生产力的发展
[01472.28-01475.92] 所以在这里面他才搞了我们所说的非货之经济
[01475.92-01478.72] 就是非货之经济最典型的是私营经济
[01478.72-01481.54] 私营经济的代表其实就是我们现在所看到的
[01481.54-01485.74] 民營企业在大医生边当中的民企业特别特别多
[01485.74-01487.90] 你比如说像阿里像王毅
[01487.90-01492.06] 对吧 像我们所提到的什么猛烟猛手
[01492.06-01495.62] 对吧 甚至包括我们现在讲课用的平台
[01495.62-01498.18] 它其实都属于什么 民營企业所开办的
[01498.18-01500.50] 那民企业在整个中国发展过程当中
[01500.50-01502.14] 共歇了非常大的力量
[01502.14-01505.06] 大家知道它其实是代动了99%的就业
[01505.06-01507.34] 创造了7%的岁税收
[01507.34-01509.50] 对吧 战基地品总量比中也很大
[01509.50-01513.34] 所以非贵贵存在于现在中国特征社会主义市场道路
[01513.34-01518.22] 它是符合当下国家国情已经现实情况的这样一个需要的
[01518.22-01521.86] 所以在这里我们说了它本质上是为了释用生产力的发展
[01521.86-01524.62] 只要它在它这能够推动生产力的发展
[01524.62-01526.22] 所以它存在的标击
[01526.22-01529.46] 而我们分析非贵贵贵存在的因素特别的多
[01529.46-01531.54] 我们现在分析的根本原因是中泡
[01531.54-01534.02] 把所有的因素拿出来改在一块最根源上
[01534.02-01536.62] 其实是为了释用生产力发展的需要
[01536.62-01538.50] 这是它产生的根本原因
[01538.50-01540.04] 今天我们要知道的是
[01540.04-01541.72] 那共有这他是主体地位
[01541.72-01544.14] 那非国有职集他处在什么地位上
[01544.14-01545.66] 我们来看一下第三个问题
[01545.66-01547.72] 就是非国有职集的地位
[01547.72-01549.00] 非国有职集的地位
[01549.00-01550.54] 同时可以标注在旁边
[01550.54-01552.32] 一个字都不能差
[01552.32-01554.36] 一个字都不能差的原因
[01554.36-01555.66] 就是在旁边写上
[01555.66-01558.98] 非国有职集是社会主义
[01558.98-01561.28] 那标注在旁边是社会主义
[01561.28-01563.58] 市场经济的
[01564.36-01566.40] 社会主义市场经济的
[01566.66-01567.68] 重要
[01567.68-01570.04] 组成部分
[01570.50-01572.58] 主要一个字都不能差
[01572.58-01575.82] 叫非过之经济是社会主义市场经济的装组成部分
[01575.82-01576.96] 考试的考虑在哪
[01576.96-01579.02] 社会主义市场经济这个字
[01579.02-01582.42] 大家注意 社会主义市场经济和社会主义经济
[01582.42-01583.62] 可不是一个概念
[01585.44-01588.42] 它和社会主义经济可不是一个概念
[01588.42-01590.32] 社会主义经济是什么概念
[01590.32-01591.78] 社会主义经济
[01591.78-01593.88] 它从下一的理解上来看的话
[01593.88-01596.68] 它是纯粗的公有之经济
[01596.68-01601.80] 如果说只谈传统意义上的社会主义经济的话
[01601.80-01604.36] 它能不能允许非购之间去存在
[01604.36-01606.92] 是不能允许非购之间去存在的
[01606.92-01608.64] 而存随的社会主义经济
[01608.64-01612.56] 它其实就是单纯的去搞计划配置的这种经济形势
[01612.56-01613.76] 你觉得可行吗
[01613.76-01614.60] 不可行
[01614.60-01617.40] 中国以前不是没搞过我们所说的计划经济
[01617.40-01619.72] 那你还上以前的那种计划经济的话
[01619.72-01621.32] 它带来的一个结果是什么
[01621.32-01622.44] 咱们在经济学当中讲过
[01622.44-01623.68] 就是脱法效率嘛
[01623.68-01625.88] 所有的东西都追求公平但他干什么
[01625.88-01626.76] 效率不高
[01626.76-01627.48] 所以我们说了
[01627.48-01629.36] 我们采对社会主义经济进行改革
[01629.36-01631.28] 于是我们国家现在叫做什么
[01631.28-01632.36] 社会主义市场经济
[01633.36-01634.52] 社会主义经济
[01634.52-01635.96] 它是存缺的公有之间階
[01635.96-01638.12] 它是不允许非购我之间階存在的
[01638.12-01639.96] 而我们说了市场
[01639.96-01641.84] 它是允许明年企业存在的
[01641.84-01644.24] 所以我们国家的经济形势
[01644.24-01646.48] 社会主义市场经济
[01646.48-01647.64] 而非购我之间階
[01647.64-01650.68] 它是社会主义市场经济的装处成部分
[01650.68-01653.36] 而不是社会主义经济的装处成部分
[01653.36-01654.68] 考涉的时候经常会
[01654.68-01656.56] 好一个判断结果判断写相
[01656.56-01661.04] 说非国务之经济是社会主义经济的装族成部分
[01661.04-01662.36] 众说法对还是错
[01662.36-01664.44] 众说法很联想是错的
[01664.44-01665.00] 知道了吗
[01665.00-01667.36] 它是社会主义市场经济的装族成部分
[01667.36-01668.56] 这个点一定要明确
[01668.56-01670.24] 我就说到这这是第一句话
[01670.24-01671.84] 第二句话同时判断一下
[01673.12-01677.64] 公有之经济是社会主义市场经济的装族成部分
[01677.64-01679.00] 考过判断提哦
[01679.00-01680.40] 来看一下这句话对不对
[01680.40-01685.40] 說公有之經紀是社會主義市場經濟的招組成部分
[01685.40-01687.40] 對還是錯
[01687.40-01690.40] 再說一遍重要的事情說三遍
[01690.40-01695.40] 叫做公有之經紀是社會主義市場經濟的招組成部分
[01695.40-01696.40] 對不对
[01696.40-01698.40] 大家注意一下是對的
[01698.40-01700.40] 你問老實那不對啊
[01700.40-01701.40] 你剛才可能這麼說的啊
[01701.40-01702.40] 你剛才說的說的說的說
[01702.40-01703.40] 一個在這不能差
[01703.40-01704.40] 朋友想
[01704.40-01707.40] 飛過我之經紀都是社會主義市場經濟的招組成部分
[01707.40-01709.40] 那公有這位主體
[01709.40-01713.66] 公佑制他必然也是社会主义市场经济的招呼部分
[01713.66-01719.00] 所以本身不在于是社会主义市场经济的招呼部分
[01719.00-01722.90] 本身是社会主义市场经济这个词明白了吧
[01722.90-01726.30] 所以在这里大家一定要知道这个点考过好几次
[01726.30-01727.90] 就是考文字游戏
[01727.90-01731.80] 所以他遇到这个点你一定要给他相对来说掌握的戏制一点
[01731.80-01733.80] 这个是我们所说的叫做
[01733.80-01736.20] 公佑制为主体多种所知进行共同发展
[01736.20-01738.76] 考试的时候在这里面考了5-8门
[01738.76-01740.56] 就比如说我们给大家说了
[01740.56-01743.64] 他单独的考规有混合作制改革
[01743.64-01745.16] 对吧 考混合作制改革
[01745.16-01747.92] 又或者他在这里面给我们去单独的考试
[01747.92-01750.12] 一个给你一个案例作为背景
[01750.12-01752.28] 让去变息观一台说法正求错的事
[01752.28-01753.36] 考试很多元
[01753.36-01755.16] 所以咱们掌握得要细细一点
[01755.16-01757.64] 这个就是我们所说的第一个
[01757.64-01758.84] 叫做过后这位主体
[01758.84-01761.52] 多种所知经济共同发展
[01761.52-01762.84] 只是第一项制度
[01762.84-01764.36] 第二项制度是什么呢
[01764.36-01768.16] 我们来看一下第二条制度是按老分配为主
[01768.16-01770.36] 多种分配方式并存
[01770.36-01772.88] 在这里面我们就来看一下这里所谓的
[01772.88-01776.20] 按老分配以及多种分配方式分别指的是什么
[01776.20-01780.08] 这个地方在去考察的时候大家注意是理解型的题目骗多
[01782.84-01784.28] 理解型题目骗多
[01784.28-01785.96] 而且它给你一个按例
[01785.96-01788.20] 问他拿到的这个钱
[01788.20-01789.56] 他属于按老分配
[01789.56-01790.96] 还是生长要素分配
[01790.96-01793.44] 还是按劳动要素分配还是按啥小分配
[01793.44-01794.42] 他出会这么烤
[01794.42-01796.20] 所以在这里面大家就要明白
[01796.20-01799.20] 我们所说的他在考试的方向上是相对的出票
[01799.20-01800.04] 翻译的
[01800.04-01801.70] 这个地方我相信大家都喜欢了吧
[01801.70-01803.24] 想了之后就擦掉了
[01803.24-01805.44] 不然的话咱们没有把书写了 分配了
[01808.72-01810.00] 同们来看一下
[01810.00-01811.92] 这里面我们所提到的这一个
[01811.92-01812.76] 阿老分配
[01812.76-01814.56] 他其实是和前面我们所说的
[01814.56-01815.64] 够置为主体
[01815.64-01817.60] 多种所知经济共同发展
[01817.60-01819.24] 是仅仅仅仅和在块的
[01819.24-01821.36] 因为上面这个公有值的这个
[01821.36-01823.04] 我们把它其实称之为
[01823.04-01824.58] 是在生产成面上的
[01824.58-01826.88] 他是切合生产资料素之形式的
[01827.14-01830.20] 而我们在马斯主义哲学当中给大家去讲过
[01830.20-01830.98] 讲过啥呢
[01830.98-01833.28] 我们说了生产资料所有之形式
[01833.28-01835.32] 绝定了产品的分配方式
[01835.32-01836.86] 我不知道大家有没有听到这
[01836.86-01839.16] 我也不知道大家听了还记得多少
[01839.16-01839.94] 我把它写的这啊
[01839.94-01840.64] 我们在
[01840.96-01843.26] 哲学当中讲到过生产关系
[01843.26-01845.06] 我们在生产关系当中讲过
[01845.06-01848.38] 生产关系的主要内容包括生产资料所有的罪形式
[01850.18-01851.96] 包括生产资料
[01851.96-01853.96] 所有知识形式
[01855.96-01857.64] 也包括我们所说的
[01857.64-01859.36] 按老分配为主
[01861.08-01862.04] 也包括我们所说的
[01862.04-01863.04] 按老分配
[01863.84-01865.36] 不能叫按老分配
[01865.36-01866.84] 就生产造所有知识
[01866.84-01868.60] 第二是产品分配方式
[01869.96-01871.96] 产品分配方式
[01872.88-01875.20] 第三个就是我们所说的人
[01875.20-01878.08] 有人之间的地位以及相互关系
[01878.08-01879.44] 但是第三项不重要
[01879.44-01882.38] 那你看刚才生产资料所有职情会遇到本质上就是
[01882.38-01886.24] 国务这位主体多种缩职经济共同发展这种
[01886.24-01890.50] 那我们说了生产资料所有职情是绝丁了产品增费方式
[01890.50-01894.70] 那刚才的生产资料所有职情是分为供有质和飞过者
[01894.70-01899.28] 那他绝定的就是供有质项可能是一个分配形式
[01899.28-01902.88] 飞过有质条件下也有可能是一种分配形式吧
[01905.10-01906.04] 这个没有问题吧
[01906.04-01909.26] 因为生产资料所有职情是绝丁了产品的分配方式
[01909.26-01910.58] 所以公有制是一个
[01910.58-01911.70] 那非国有制就是
[01911.70-01912.34] 六一个
[01912.34-01913.74] 所以在这里大家要知道
[01913.74-01914.54] 那么都知道
[01914.54-01915.98] 公有制条件之下
[01915.98-01918.26] 那公有制就决定了
[01918.54-01920.62] 我们所说的在分配上是
[01920.62-01921.98] 按老分配
[01924.94-01925.98] 按老分配
[01925.98-01927.46] 而在非国有制当中
[01927.46-01928.90] 非国有制决定的就是什么
[01928.90-01930.38] 就是多种分配方式并存
[01930.38-01933.62] 我们把这种叫做按生产要素分配
[01936.02-01938.46] 叫做按生产要素分配
[01938.46-01941.86] 那这里面我们所提到的这个澳分配大助一下
[01941.86-01944.86] 澳分配既然它的前提是在国务制条件之下
[01944.86-01946.50] 那它经常就会考察到
[01946.50-01949.82] 比如说某某是它是国家公园
[01949.82-01952.74] 然后它的公司奖金和金贴一共合了多少钱
[01952.74-01953.58] 然后出问
[01953.58-01955.82] 它的这些钱属于什么分配形式
[01955.82-01957.70] 那这种情况之下我们就知道了
[01957.70-01960.86] 澳分配一般情况还表现出来的就是我们所提到了
[01960.86-01963.06] 国务制具体的表现是比如说
[01963.06-01965.66] 谁是谁是国有企业的员工
[01965.66-01968.48] 是国企的工作人员
[01971.04-01973.60] 又或者我们所说的 农村集体用地
[01973.60-01976.16] 农村集体土地
[01978.46-01980.50] 重地赚的钱 那同们来看一下
[01980.50-01983.84] 农村集体的土地 你拿他去重地你赚到了钱
[01983.84-01985.88] 集体土地是不是属于集体经济
[01985.88-01987.42] 集体经济是不是属于购物质
[01987.42-01989.72] 那购物质你干活赚到的钱就属于什么
[01989.72-01990.50] 按老三配
[01990.50-01994.34] 所谓的按老三配其实就是根据你劳动的多管去进行
[01994.34-01997.98] 相应的生产资料分配是进行相应的金钱分配
[01997.98-02000.82] 你工作的量越多你赚的就越多
[02000.82-02002.82] 你工作的质量越高赚的就越高
[02002.82-02004.42] 它其实是一个正向的机率
[02004.42-02005.82] 在线我的经济水平之下
[02005.82-02008.66] 你怎么样能够让老百姓让工作人员
[02008.66-02009.82] 或者是对一个企业来说
[02009.82-02011.22] 你怎么能够让他给你干活
[02011.22-02012.62] 这有顺序就讲了一趟
[02012.62-02013.34] 多了多的
[02013.34-02014.50] 他干得多你给得多
[02014.50-02016.26] 这个时候他就越来越乖
[02016.26-02018.18] 他其实是一个双有那个政策
[02018.18-02019.82] 一方面你干得多我给得多
[02019.82-02021.46] 能够正向及发你的机机性
[02021.46-02021.90] 对吧
[02021.90-02025.86] 那这个时候就能够原人不断的创造社会财富的计计性就很高
[02025.86-02028.10] 那第二个呢就是你赚的多
[02028.10-02030.82] 你干了多赚的多相对来说太失准
[02030.82-02032.86] 相对公平分配的一种形势
[02032.86-02034.06] 所以在这里你看
[02034.06-02035.22] 像国优企业
[02035.22-02036.34] 农村集体土地
[02036.34-02038.66] 然后你去重地所换到的这个钱
[02038.66-02039.54] 或者是什么
[02039.54-02041.02] 事业单位当中呢
[02042.02-02043.66] 以后大家左上岗位
[02043.66-02046.42] 你拿到的工资和玩拿到的工资就不一样
[02046.42-02047.34] 各位局长
[02047.34-02048.78] 你们考上了国家工员
[02048.78-02050.22] 你考了国考考的声考
[02050.22-02050.70] 你杀了
[02050.70-02052.50] 你的公司就叫做按勞分配
[02052.50-02054.80] 那我做一個名言起的當中的工作人員
[02054.80-02056.50] 我拿了的公司就叫做什麼
[02056.50-02058.90] 就叫做按生產要素配配
[02058.90-02059.70] 這就是差點
[02059.70-02060.50] 因為什麼不同
[02060.50-02061.70] 因為經濟體制不同
[02061.70-02064.10] 生產制度它是不一樣的
[02064.10-02066.70] 這生產資料所有制度它的規數是不一樣的
[02066.70-02067.60] 所以在這種呢
[02067.60-02068.10] 我們說了
[02068.10-02070.50] 小世界大位國企業的工作人員
[02070.50-02073.50] 世界大位的工作人員
[02073.50-02074.80] 等等這些
[02074.80-02076.50] 出現這些詞的時候
[02076.50-02077.10] 大家注意一下
[02077.10-02078.50] 他們所拿到的這個錢
[02078.50-02079.10] 就是屬於
[02079.10-02082.06] 老分配当然还考慍着更新的这种形式
[02082.06-02083.94] 这更新的形式当时说的是什么
[02083.94-02086.98] 说国家经常去搞以宫带真的形式
[02086.98-02088.58] 然后国家搞以正带这
[02088.58-02091.02] 以宫带这政府就会顾忧
[02091.02-02091.78] 什么什么人
[02091.78-02093.46] 然后定期给他们去解散公子
[02093.46-02096.26] 然后就说了说政府顾忧的这些人
[02096.26-02097.98] 去给解算的这个公子
[02097.98-02099.98] 政府公子这些人拿到的这些钱
[02099.98-02101.46] 他属于什么分配形式
[02101.46-02102.74] 阿老分配
[02102.74-02104.30] 毕暗生产要素分配
[02104.30-02106.26] 虽爱什么资本要素分配
[02106.26-02107.82] 当的政府
[02107.82-02109.02] 我们政府属于啥
[02109.22-02110.50] 政府属于关家
[02110.66-02112.34] 政府代表的是公有之伴
[02112.50-02114.54] 所以这有时候他拿到的这个钱就属于什么
[02114.74-02115.66] 他就属于公有之
[02115.86-02118.18] 所以搬请完之下你就看到天安当中出现了什么
[02118.30-02120.66] 又出现了和政府有关的这些表说的时候
[02120.90-02123.26] 你一定要记得他就是我们所说的什么
[02123.42-02124.14] 按老分配
[02124.26-02127.46] 你说老师单位啥在国务之间一当中非一带按老分配呢
[02127.66-02130.46] 因为你没有其他的东西可以公现给国家呀
[02130.66-02132.62] 你想一下如果你是一个国企的话
[02132.78-02134.02] 你做一个国企的员工
[02134.02-02135.74] 你唯一能共限的就只有什么
[02135.74-02136.66] 劉冬立
[02136.66-02140.62] 我们也下代家国企当中的土地需要你来提供吗
[02140.62-02141.30] 不需要
[02141.30-02144.50] 国有企业当中的场方需要你来提供的不需要
[02144.50-02147.10] 国企业当中的生产资料需要你提供不需要
[02147.10-02148.14] 都是国家给的
[02148.14-02150.66] 所以你唯一在国企当中能共限了之后啥
[02150.66-02151.70] 中你的劳动
[02151.70-02154.02] 所以我们说了才要按按劳分配
[02154.02-02156.46] 而不是叫劳冬要素把最终按劳
[02156.46-02159.10] 一定要劳记住非国是国有制挑战之下
[02159.10-02161.10] 具体的表现是在考试当中的案例
[02161.10-02163.54] 国有企业员工拿到工资奖劫和今天
[02163.54-02166.36] 農村集体用地看到村集体相关的
[02166.36-02168.80] 它属于集体经济属于阿老分配
[02168.80-02170.10] 是业单位的工作人员
[02170.10-02171.10] 是业单位
[02171.10-02172.30] 是业边吗
[02172.30-02172.74] 对吧
[02172.74-02173.90] 那大家都知道相对稳定
[02173.90-02176.60] 或者是出现了一些其他和政府有关的字
[02176.60-02179.34] 你这有时候你的雷达就读渡作响
[02179.34-02181.46] 它就是我们打体的这样的一个关键
[02182.24-02184.48] 所以大家注意一下这是第一个阿老分配
[02184.48-02186.06] 但是我们国家不仅有跟我之
[02186.06-02187.42] 还有非贡质
[02187.42-02190.58] 所以除了阿老分配还有按生产药素分配
[02190.58-02192.98] 那这里面的生产药素就很多元了
[02192.98-02196.06] 咱们来看一下我们所提到的生产药素包括那些
[02196.30-02199.38] 我们所提到的生产药素第一个包括我们所提到的
[02199.38-02200.66] 老动药素
[02201.94-02202.98] 同样都是干活
[02203.22-02205.02] 你干活拿的钱和我干活拿的钱
[02205.26-02206.02] 就不一样对吧
[02206.30-02207.58] 这个第一个就是老动药素
[02207.82-02210.38] 第二个呢就是我们常见的这种资本药素
[02211.42-02213.98] 这个资本药素相对来说会啥一点
[02213.98-02215.50] 我们做题经常会考啥一点
[02215.50-02218.06] 比如说金钱和食物资本这些
[02218.34-02219.86] 或者是专利
[02219.86-02225.86] 应该是管理啊管理和知识产权要素
[02225.86-02228.86] 我先写管理啊管理要素
[02232.86-02235.86] 还有一个就是知识产权要素
[02236.86-02237.86] 这是这个
[02237.86-02239.86] 那首先第一个我们在这来看一下
[02239.86-02241.86] 这是我们所提到的楼动要素
[02241.86-02243.86] 这里面的楼动要素的
[02243.86-02245.86] 它就是我们所提到的两种形式
[02245.86-02247.86] 第一个就是你是个体的楼动者
[02247.86-02251.86] 那这个时候你的个体 老动成果
[02255.86-02258.10] 还记得我那个二中考术面的那个电铺
[02258.10-02260.10] 二中考术面那个电铺那个小姐姐
[02260.10-02261.62] 他自己在这考术面
[02261.62-02264.26] 那他一天赚五百块钱一天赚一钱
[02264.26-02265.94] 会现在在哪块钱一天赚一万块钱
[02265.94-02267.38] 那都是他属于什么
[02267.38-02268.74] 他的个体老动成果
[02268.74-02270.98] 是我他的老动所得
[02270.98-02273.62] 那这个时候就叫做按老动要素分配
[02273.62-02274.98] 不是老分配
[02274.98-02276.90] 因为按老分配只在过有这条件之下
[02276.90-02278.90] 大家注意一下 这是按牢动成果
[02278.90-02280.74] 当然在这里面
[02280.74-02283.18] 在有一些绝区考试的时候
[02283.18-02284.38] 这地方存在过争议
[02284.38-02285.98] 这个地方存在过争议是什么的
[02285.98-02287.54] 这当时他考个提供商户
[02287.54-02289.06] 然后说他一个月赚了多少钱
[02289.06-02290.66] 然后问这个钱他属于
[02290.66-02291.54] 按什么分配
[02291.54-02292.82] 他当时给了两个选项
[02292.82-02293.70] 第一个选项
[02293.70-02295.82] 给到A按个提牢动者
[02295.82-02296.90] 牢动成果分配
[02296.90-02298.82] 就是咱们所写的这个
[02298.82-02299.82] 然后他又给了个币
[02299.82-02301.26] 叫做牢动要素分配
[02301.26-02302.82] 同样如果这样的时候
[02302.82-02304.62] 牢动要素和个提牢动者
[02304.62-02306.10] 牢动成果同时出现
[02306.10-02307.90] 对于个体工商户你选谁呢
[02307.90-02310.44] 就选个体牢东者牢东成果就行了
[02310.44-02312.38] 这是在之前考试当中
[02312.38-02314.04] 存在争议的地方
[02314.04-02315.94] 就是他今年把两个选上放在一块了
[02315.94-02317.10] 但其他本质上是什么
[02317.10-02317.82] 是一个
[02317.82-02319.86] 我们就优终选优败就选内了
[02319.86-02321.46] 就选最经的那个
[02321.46-02322.54] 更精准的那个
[02322.54-02323.10] 没卖了
[02323.10-02325.42] 所以当初选个体工商户专的钱的时候
[02325.42-02327.42] 有个体牢东者牢东成果分配
[02327.42-02330.18] 就选他没有的时候就选牢东要素就可以了
[02330.18-02332.94] 第二个就是我们最练典型的明映起
[02333.70-02335.54] 也就是非光我之经济当中
[02335.54-02338.26] 但是非共之經濟形式很多不但在這名起
[02338.26-02340.66] 我們就說民營企業的員工
[02340.66-02342.02] 他拿到的這個錢
[02342.02-02343.18] 他就屬於什麼
[02343.18-02344.78] 劉洞要素粉沛
[02344.78-02346.06] 所以這是第二個
[02346.06-02346.78] 大家要注意一下
[02346.78-02348.46] 這是劉洞要素
[02348.46-02349.18] 那我們說了
[02349.18-02350.26] 除了劉洞要素之外
[02350.26-02351.78] 還有資本要素
[02351.78-02352.42] 資本要素
[02352.42-02353.30] 一般情況之下
[02353.30-02356.22] 就強調的是貨幣資本和食物資本了
[02356.22-02357.94] 如果是貨幣資本的話
[02357.94-02359.46] 你就可以把你的這個錢
[02359.46-02360.98] 投到銀行
[02360.98-02362.74] 你從銀行當中拿到了什麼
[02362.74-02363.18] 利息
[02363.18-02363.74] 大家注意一下
[02363.74-02365.22] 這裡面我強調的是貨幣
[02365.22-02366.20] 你料住一下
[02366.20-02368.18] 又或者你把这个钱拿出去买
[02368.18-02369.02] 债劫了
[02369.02-02370.26] 拿出去买债劫
[02370.26-02371.86] 这个时候会拿到骨稀
[02371.86-02372.78] 和红利
[02372.78-02373.50] 但大家知道
[02373.50-02375.30] 并不是所有的骨稀和红利
[02375.30-02377.54] 它都属于资本要素
[02377.54-02380.06] 只是在非购之条件之下的货币
[02380.06-02380.70] 明白吧
[02380.70-02381.38] 所以在这里
[02381.38-02382.90] 不要看到骨稀和红利
[02382.90-02384.94] 你上了你就给我选资本要素
[02384.94-02387.42] 你要看它是在什么治条件之下
[02387.42-02388.50] 那看如果在
[02388.50-02389.94] 会和所企业当中
[02389.94-02391.22] 它有没有骨稀和分红
[02391.22-02391.86] 它也有
[02391.86-02394.10] 那如果在会和所之企业当中
[02394.10-02396.50] 國有成分拿到了這個古兴號紅列
[02396.50-02398.90] 他就不屬於我們所說的什麼
[02398.90-02399.58] 資本要素了
[02399.58-02400.50] 沒辦法這個點
