[00000.00-00003.40] 我们讲完了生物的基本支持之后
[01117.68-01119.56] 次装有能够让人体爆发出来
[01119.56-01121.04] 我们想像不到这种钱的
[01121.04-01124.88] 又或者说我们看到电影 刀大有没有看过木光支程
[01124.88-01127.18] 摩执程 答应该都看过
[01127.18-01130.52] 那个时候是我高中的时候 最喜欢看着这不电影
[01130.52-01133.32] 摩执程电影当中的第一步 答应该还记得吧
[01133.32-01137.16] 当时那个女主角 他串跟那个车撞到
[01137.16-01141.00] 然后这个男主角呢 突然跳过来 把车一下子也推开了
[01141.00-01145.12] 后来那个女主角就问他说 你为什么有那么大的力气能够推开车
[01145.12-01146.12] 这一动那么快
[01146.12-01148.32] 当时那个男主角为了演示
[01148.32-01150.12] 他是希希的尾的身份
[01150.12-01151.20] 然后他当时说的是
[01151.20-01153.36] 当然说他有事实上的线素
[01153.36-01154.24] 标升症
[01154.24-01155.36] 对吧就类似于这种
[01155.36-01156.76] 所以我们就知道市场线素
[01156.76-01158.80] 他是一种内分秘基素
[01158.80-01159.80] 所以在这种情况之下
[01159.80-01161.52] 能够刺激人的身体
[01161.52-01162.64] 只是第二事场线素
[01162.64-01164.88] 但是了解极可这是第二个
[01164.88-01166.64] 第三一个就是假装线
[01166.64-01167.92] 假装线分秘乡
[01167.92-01169.52] 大家都知道假装线分秘
[01169.52-01170.68] 假装线素
[01170.68-01172.00] 那假装线素
[01172.00-01173.36] 他对人体的身体
[01173.36-01174.96] 之类发援一定的影响
[01174.96-01176.96] 而我们所说的假装线素的分秘
[01176.96-01178.08] 我们再后面会讲到
[01178.08-01182.42] 它一口典得和成 典得促進才能和成
[01182.42-01185.44] 所以缺典就容易假裝先
[01185.44-01188.24] 金融基礎分裏不足 說是大幅的資料
[01188.24-01190.58] 如果說假裝線速過度
[01190.58-01193.12] 那這種情況之下典收入過度
[01193.12-01196.54] 那這種情況可能導致的就是假抗
[01196.54-01199.34] 所以這是我們所說的關於假裝線
[01199.34-01202.72] 所以在這 大注意下又關於我們所說的這個
[01202.72-01205.44] 內分秘線 以後就兩個細節
[01205.44-01208.04] 他注意下就是第二第3个系统
[01208.04-01210.34] 那在我下我们来看一下免疫系统
[01210.34-01211.88] 免疫系统在这里他说了
[01211.88-01214.72] 免疫系统他们换一下是由免疫器官
[01214.72-01215.90] 他给到了一个体验
[01215.90-01217.84] 对吧 从把这个体验化出来
[01217.84-01220.08] 在上面标注却一体验
[01220.08-01224.18] 体验是人体最大的免疫器官
[01224.18-01225.60] 就想最大的就行了
[01225.60-01227.00] 人体最大的免疫器官
[01227.00-01229.86] 这是第一个免疫系统由免疫器官组成
[01229.86-01232.66] 第二个他说是由免疫系统组成
[01232.66-01234.76] 这个免疫系报的话就是确小版
[01234.76-01235.64] 大家注意一下
[01235.64-01238.80] 销板它有杀军的功能
[01238.80-01240.48] 杀军直血凝血的功能
[01240.48-01243.16] 那只不能说杀军直血
[01243.16-01244.82] 应该是有凝血的功能
[01244.82-01247.56] 还有就是我们所说的免疫活性物质
[01247.56-01249.04] 也知道这个免疫系统
[01249.04-01250.58] 它不是单一的就可以了
[01250.58-01252.36] 这是第一个大家要掌握的
[01252.36-01253.78] 那第二个就是在这里面
[01253.78-01256.48] 大家要掌握的就是我们所说的这个免疫系统
[01256.48-01259.60] 它就有监视防御和调控的功能
[01259.60-01261.46] 主要就是对人气
[01261.46-01263.98] 主外来的这些细均和病人体
[01263.98-01265.90] 他没有办法去进入到人体之内
[01265.90-01267.90] 主要就是第一个免疫系统会监视他
[01267.90-01270.10] 第二就是会访语看一下
[01270.10-01271.98] 就是他如果想到人体身体里充的话
[01271.98-01274.58] 我的免疫系统会发挥相的作用
[01274.58-01275.54] 所以在这里面
[01275.54-01276.10] 大家注意一下
[01276.10-01277.74] 真是免疫系统当中的第二个免疫系统
[01277.74-01280.90] 就是他有监视访语和调控的功能
[01280.90-01281.54] 所以在这
[01281.54-01283.66] 大家知道免疫系统大概什么样子就行了
[01283.66-01286.78] 这个点在之前还会考
[01286.78-01287.70] 什么时候考的
[01287.70-01289.66] 就是考照时代没有过去的时候
[01289.66-01291.66] 在疫情期待的时候这个点考过
[01291.66-01293.90] 但这几年就没有再考了
[01293.90-01295.66] 所以同一们掌握住这两个点
[01295.66-01296.74] 大概了解一下就行
[01296.74-01297.38] 可以吧
[01297.38-01298.74] 这是免疫系统
[01298.74-01299.62] 这些思考
[01299.62-01301.58] 第五个就是循环系统
[01301.58-01303.14] 周深的身体循环
[01303.14-01305.62] 主要是血液和养棄的这样一个循环
[01305.62-01307.02] 人体的循环系统
[01307.02-01308.02] 比如说
[01308.02-01309.94] 我吸进来一口气
[01309.94-01311.62] 然后我在把这口气呼出去
[01311.62-01313.22] 那他其实是经历了
[01313.22-01314.70] 就是我吸进出来的这一口
[01314.70-01316.02] 吸进来的这一口气
[01316.02-01317.46] 在我周深走了那边
[01317.46-01320.28] 这个就是我们所说的这个循环系头
[01320.28-01322.58] 那人的这个循环它分为两个
[01322.58-01325.14] 一个是大循环,一个是小循环
[01325.14-01327.96] 我们把小循环也称着为叫做废循环
[01327.96-01330.52] 我们要在这里面掌握的点,就是第一个
[01331.02-01333.34] 我们所说的它的循环的路径
[01333.60-01335.64] 大概是什么样子,同学需要掌握
[01335.90-01339.48] 第二个,在这个循环路径当中,我们要能够去区分
[01339.74-01342.54] 它到底是属于静卖雪还是动卖雪
[01342.54-01344.34] 就是这两个点,需要我们去掌握
[01344.60-01346.90] 我们一点点来看了,它其实并不难
[01346.90-01349.20] 他说的首先第一个他提到了
[01349.20-01353.94] 他提到说那首先第一个循环就做废讯环也叫做小循环
[01353.94-01355.90] 这个废讯环是小循环干嘛呢
[01355.90-01358.04] 大家注意一下你在旁边闲几个字
[01358.04-01361.90] 就是废讯的小循环就是装车的装啥车装养器
[01365.30-01368.42] 在旁边闲上一会我们讲完了你就知道看指观了
[01368.42-01371.22] 这个废讯环其实就是装车
[01371.22-01372.70] 就是我们常说的装养器
[01372.70-01374.22] 它是怎么跟路经呢
[01374.22-01377.10] 来看一下人的新造人的新造分成4%的
[01377.10-01377.78] 你看一下
[01377.78-01378.38] 在这里呢
[01378.38-01379.86] 他包括右新房
[01380.86-01382.34] 然后右新是
[01382.58-01384.18] 然后左新房
[01384.18-01385.50] 然后左新是
[01385.50-01386.74] 是为于用这四个部分
[01386.74-01388.42] 而费铁环从点出发呢
[01388.42-01389.62] 费铁环在这儿
[01389.62-01390.86] 大家看一下费铁环
[01390.86-01392.82] 它是从这个地方出发
[01392.82-01393.94] 从这个地方出发
[01395.90-01397.34] 我用对号来表示
[01397.34-01399.34] 费铁环从右新是出发
[01399.34-01400.02] 来看一下
[01400.02-01402.50] 它们从右新是出发
[01402.50-01404.22] 经过哪儿呢,在下面
[01406.62-01411.94] 等一下啊,从尤其是出发的经过废动员,你看下面这条其实是废动员
[01411.94-01416.02] 经过废动员,然后呢,在废毛系绪裹网
[01416.02-01425.54] 然后进入到废境闷,然后在进入到哪儿呢,进入到左心房,留在哪儿呢,留在这儿,就进入到我们所说的左心房的这个位置了,就进入到这了
[01425.54-01427.94] 那他这个过程是一个什么过程的大助理
[01427.94-01431.02] 小关说了其实就是一个装车装养气的过程
[01431.02-01432.14] 装着装着装的气过程
[01432.14-01433.62] 他主要是什么功能呢
[01433.62-01436.06] 我们来看一下看一下这个施图
[01436.06-01438.66] 首先他是从右心市出发的
[01438.66-01439.86] 比如说我现在
[01439.86-01442.30] 同样的想一下你心静来一口气
[01442.30-01443.90] 然后心静来这一口空气当中
[01443.90-01445.86] 这空气当中是有大量的中的养气
[01445.86-01448.90] 你心静出来的养气会处存处在哪
[01448.90-01451.30] 你的养气是不是存处在废里
[01451.30-01452.42] 那这种情况之下
[01452.42-01453.42] 你的养气都在废里
[01453.42-01455.26] 它没有办法循环到全身
[01455.26-01459.74] 那我们需要的就是把你废里面的养气运输到全身当中去
[01459.74-01464.98] 那他怎么运输呢 他其实分两步的第一步就是通过我们所说的废训环
[01464.98-01470.06] 然后去进行装车来看一下我们都知道新造式人体的
[01470.06-01474.82] 我们所说的这种什么呢 像一个梦机一样 他说把这个血碰到全身
[01474.82-01477.46] 那我们其实运输养气主要靠的是嘛
[01477.46-01482.94] 这是靠的你的全身的血眼血眼在全身血环的养气就会带到全身
[01482.94-01485.66] 所以想要把你废里面的这养戏
[01485.66-01487.42] 带到周深循环当中去
[01487.42-01488.58] 就通过血液
[01488.58-01489.78] 而血液的流通
[01489.78-01491.90] 它的总扎就在心脏
[01491.90-01493.06] 所以现在怎么办呢
[01493.06-01494.86] 现在就是我们看到
[01494.86-01496.06] 是我们所说的
[01496.06-01498.06] 整个血液先从那出发
[01498.06-01500.26] 先从右心是出发
[01500.26-01501.66] 来看这是我画的这个地方
[01501.66-01503.38] 它从右心是出发之后
[01503.38-01504.98] 同们发现有没有一个问题
[01504.98-01507.58] 这是它从右心是流出来的血
[01507.82-01509.30] 它里面有没有养戏
[01509.30-01510.18] 没有养戏
[01510.18-01511.46] 因为养戏都在废里
[01511.46-01513.74] 你现在是要干嘛去装养型
[01513.74-01516.38] 你现在想要想把你的血流到废里面去
[01516.38-01517.42] 把养器装回来
[01517.42-01519.70] 然后再放到新养里在投放到全身
[01519.70-01522.42] 所以首先他从又兴使出发
[01522.42-01524.66] 从又兴使出发之后经过什么呢
[01524.66-01525.42] 经过
[01526.10-01526.82] 在这里
[01526.82-01528.82] 经过废动门 对吧
[01528.82-01530.66] 但经过废动门之后能不能说
[01530.66-01531.82] 废动门很粗
[01531.82-01534.10] 大家都知道动门很粗流经的血也很多吧
[01534.10-01536.30] 那这时候能不能说从废动门流出来的血
[01536.30-01538.30] 一股脑的权用入道废里面
[01538.30-01540.26] 那不完了门废不充血下死了
[01540.26-01544.46] 所以从我们所说的诱心是出来的空车的血液
[01544.46-01546.06] 这是师傅没有养弃的
[01546.06-01547.38] 他经过废动卖
[01547.38-01548.50] 然后进入到哪呢
[01548.50-01551.02] 进入到废某系绪的网
[01551.02-01553.30] 废某系绪的网
[01553.30-01554.86] 就在这我就不坏了好吧
[01554.86-01555.74] 你会不太好坏
[01555.74-01557.86] 进入到了废某系绪的网当中
[01557.86-01559.14] 到了某系绪的网当中
[01559.14-01560.30] 是我就进入到了废某
[01560.30-01561.50] 就到了废某干嘛
[01561.50-01563.78] 把原本的二话看排出去
[01563.78-01565.26] 因为你是空车来的嘛
[01565.26-01567.10] 就用手你是空车的血液
[01568.30-01569.78] 空车没有养弃
[01569.78-01571.38] 然后你去废不去装养
[01571.38-01573.90] 进入到废谋系绪过往的时候进入到了废谋
[01573.90-01576.34] 然后就把二花开排除开始装什么呢
[01576.34-01578.02] 开始装养气
[01578.02-01579.62] 看到没有装养气之后
[01579.62-01581.46] 这个养气是要运述到全身
[01581.46-01584.34] 运述到全身还是要经过新疆的
[01584.34-01587.30] 所以你装养气的使装养气的这个血液
[01587.30-01588.90] 现在就已经不是空车了吧
[01588.90-01591.14] 你这个装养气的血液流进的奶奶
[01591.14-01592.54] 流进了废境奶
[01592.54-01594.54] 然后通过废境奶流进了奶
[01594.54-01596.26] 流进了左心房
[01596.26-01600.22] 也就是現在你的血又回流到你的心臟了
[01600.22-01601.10] 回流到你的心臟
[01601.10-01604.02] 你現在這個血液裡面是不是充滿了養氣
[01604.02-01607.74] 這時候我們所說的這個人身體當中
[01607.74-01609.58] 這個循環當中的第一步就完成了
[01609.58-01611.22] 所以我剛才說了第一步幹嘛呢
[01611.22-01613.18] 第一步就是裝車裝養氣
[01613.18-01616.54] 從又顯示出發經過廢東賣和廢毛西瓜網
[01616.54-01618.74] 到了廢布的時候養氣就裝滿了
[01618.74-01621.70] 然後在通過廢東賣回到左心房
[01621.70-01622.90] 就是又回到心臟
[01622.90-01624.18] 那这是只是第一步
[01624.18-01626.22] 第一步完成的是装车完成了
[01626.22-01627.26] 那第二步干嘛呢
[01627.26-01630.06] 这是把这个带有养弃的续业
[01630.06-01631.34] 输送到淺身
[01631.34-01633.14] 那这个输送全身的过程
[01633.14-01634.18] 就叫做什么徐环
[01634.18-01635.58] 就叫做大徐环
[01635.58-01636.58] 也叫做什么呢
[01636.58-01637.94] 也叫做体寻环
[01637.94-01638.78] 那叫体寻环
[01638.78-01639.54] 来看一下
[01639.54-01641.34] 刚才的这个过程是到了这儿
[01641.34-01642.10] 同一们看一下
[01642.10-01642.82] 是刚才呢
[01642.82-01644.42] 是这个非动满
[01644.42-01644.98] 对不对
[01644.98-01646.10] 是孙重所说的
[01646.10-01646.90] 非静满
[01646.90-01647.66] 这个血
[01647.66-01649.10] 它就流到了左心房
[01649.10-01649.78] 但左心房
[01649.78-01651.82] 你看它这个地方是有山门
[01652.90-01655.72] 看一下新房和西市之间是有善门
[01655.72-01656.86] 这种所办门
[01656.86-01657.26] 对吧
[01657.26-01658.46] 在这里面有善门
[01658.46-01661.36] 那这种情况之下你的车已经装满了
[01661.36-01663.74] 你的血腰当中也就还有大量的养弃了
[01663.74-01667.18] 你现在要把血腰双构全身就把这个门打开
[01667.18-01668.74] 这个血腰就流入到了呢
[01668.74-01671.08] 血腰就流进了左心市
[01671.08-01673.66] 所以你看第二部循环从点开循环
[01673.66-01675.22] 从左心市出发
[01675.22-01677.14] 从左心市出发经过什么呢
[01677.14-01679.02] 经过全身的主动卖
[01679.02-01681.42] 你看哎就从这个动卖这就出去了
[01681.42-01683.22] 所以经过全身的主动卖
[01683.22-01684.34] 只有经过主动卖
[01684.34-01686.02] 你的血液才能流通全身
[01686.02-01688.58] 所以同主动卖到各级动卖
[01688.58-01691.02] 到我们所说的毛泄血管碗到各级进卖
[01691.02-01692.30] 到了各级进卖之后
[01692.30-01693.58] 你看各级进卖
[01693.58-01694.98] 是不是就你的手脚
[01694.98-01697.50] 就是什么各种什么血液的墨稍儿
[01697.50-01698.86] 是不是都给你送过去讲了
[01698.86-01699.86] 不然的话你会发现
[01699.86-01702.38] 如果你手缺样的话你都手指会发马
[01702.38-01703.50] 的脚指会发马吧
[01703.50-01705.34] 所以他就通过各级毛泄血管碗
[01705.34-01706.66] 各级进卖
[01706.66-01709.34] 把你的养气全部给你送过去
[01709.34-01712.54] 就是送到你的神经的各处身体运行的各处
[01712.54-01713.82] 然后把养器给你
[01713.82-01715.50] 然后这个血液把什么带回来
[01715.50-01716.70] 把二话探带回来
[01716.70-01719.82] 所以在这里面到了我们所说的上下境外的时候
[01719.82-01723.02] 你的这个血当中已经没有养起了
[01723.02-01727.10] 因为养器已经通过各级毛续序华碗和各级卖分散到了全身
[01727.10-01730.62] 现在你的这个血当中到了上下枪境卖的时候
[01730.62-01732.14] 就是空车养起
[01732.14-01734.14] 就是空车血液没有养起了
[01734.14-01736.22] 然后这时候血液又回到那儿的
[01736.22-01737.98] 血液又回流到了我们所说的
[01737.98-01740.28] 循環一遍回流到了又新房
[01740.28-01741.94] 回流到了又新房之后
[01741.94-01742.58] 接下来
[01742.58-01745.88] 你看这个养妾是不是这个血液是不是又没有养妾了
[01745.88-01748.38] 然后怎么办开启下一个血管把这个模儿
[01748.38-01751.18] 把这个门打开血液流到我们所说的哪里
[01751.18-01753.68] 血液流到我们所说的又新势力
[01753.68-01756.78] 然后从又新势触发再去装养妾
[01756.78-01759.58] 那这个就是我们所说大型行方过程
[01759.58-01761.28] 所以我们来看一下在这里面
[01761.28-01766.58] 重复一下刚才的就是从这装了养妾的血液流进了左心房
[01766.58-01768.66] 然后从左心事处发
[01768.66-01770.94] 要把血碰到全身的血
[01771.44-01775.22] 压述到全身是不是通过什么通过我们所说的主动卖呀
[01776.82-01780.14] 看啊通过这个主动卖通过主动卖之后
[01780.14-01782.82] 然后进入到我们所说的是全身的毛细续玩弯
[01782.82-01785.38] 到了毛细弯的说是把养气给人家了
[01785.38-01788.50] 你非常无私现在什么把二人发看拿回来了吧
[01788.50-01790.62] 那把二人发看拿回来了之后怎么办呢
[01790.62-01791.86] 把二人发看拿回来了
[01791.86-01794.02] 到了上下枪境卖的时候
[01794.02-01795.34] 只有说已经没有养弃了
[01795.34-01796.18] 没有养弃怎么办
[01796.18-01797.26] 回去装车
[01797.26-01798.82] 回制装车再来一鲁儿班
[01798.82-01800.66] 所以在这里就进入到了用心房
[01800.66-01802.74] 然后再从用心房到又心事
[01802.74-01803.50] 所以在这里面
[01803.50-01804.90] 同没有掌握的低了点
[01804.90-01806.30] 我在这里给大家标出
[01806.30-01807.34] 这是我们要知道
[01807.34-01808.74] 废寻还和体寻还
[01808.74-01810.90] 它大概的一个循环过程是什么样子
[01810.90-01811.94] 你要有一个印象
[01811.94-01812.58] 你要知道
[01812.58-01815.78] 它的废寻还的体点是又心事
[01815.78-01817.74] 然后到左心房
[01817.74-01819.42] 然后从左心事出发
[01819.42-01821.14] 一直到我们所说的又心房
[01821.14-01823.78] 最起码在每一个循环的开头
[01823.78-01825.38] 你要能够记住它是从哪儿
[01825.58-01827.86] 过的起点这是第一个大家要注意一下
[01828.02-01831.02] 第二个呢就在这里它的旅行路径大住一下
[01831.18-01834.22] 在西式这块就是在废径环这块大住一下
[01834.22-01835.82] 它之所以就要废径环
[01836.02-01838.26] 主要就是因为它要喝谁有关
[01838.26-01840.14] 它是和废有关去
[01840.14-01842.54] 在我们所说的这个废理却装养气的
[01842.70-01843.78] 所以在这里你看
[01843.78-01847.50] 它旅行的地方一定是废动卖和废境卖
[01847.50-01850.02] 因为是废径环小径环装车的过程吗
[01850.18-01851.70] 而体径环是旅行什么
[01851.90-01852.70] 主动卖
[01852.70-01854.50] 这两个点你要能够去去分
[01854.50-01856.54] 也就是在这个废行环里面最起码
[01856.54-01858.18] 把开头净得记住
[01858.18-01860.62] 把中间看流经的最主要的记住
[01860.62-01861.94] 你要知道废动卖
[01861.94-01863.18] 在这种情况之下
[01863.18-01864.86] 就和废行环有关
[01864.86-01866.46] 废行卖也和废行环有关
[01866.46-01867.14] 明白了吧
[01867.14-01869.50] 所以在这里面我就把这个点
[01869.50-01871.06] 通标一个圈一
[01871.06-01871.94] 通标一个圈一
[01871.94-01872.66] 那我就知道
[01872.66-01875.10] 这是第一个需要我们去掌握的内容
[01875.10-01876.06] 就是它的一个循环
[01876.06-01876.82] 大概的情况
[01876.82-01877.78] 这是第一个
[01877.78-01879.26] 那第二个细节是什么呢
[01879.26-01880.86] 第二个细节就是在这里面
[01880.86-01882.02] 我们要去做一个区分
[01882.02-01884.38] 什么区分呢 同们来看一下这张图
[01884.38-01886.30] 张图里面我刚才给大家说了
[01886.30-01887.92] 在废许还当中你看
[01887.92-01890.28] 废许还从又心事出发
[01890.28-01891.18] 然后呢
[01891.68-01893.54] 血液从又心事出发之后
[01893.54-01896.02] 流住了呢 流入了 废动门
[01896.02-01897.12] 但同们想一下
[01897.12-01899.18] 这时候流入废动闷的血
[01899.18-01901.82] 大住一下 这时候废动闷当中的血液
[01901.82-01903.34] 有没有养气呢
[01904.90-01906.22] 他才从又心事出来
[01906.22-01908.86] 说没有啊 因为他要去废里面装养气
[01908.86-01911.46] 所以在这时候从又心事流出来的
[01911.46-01914.46] 设计划训练中养妻还量几滴
[01918.46-01919.46] 养妻还量几滴
[01919.46-01920.46] 这种情况之下
[01920.46-01922.46] 这个动卖当中的设计
[01922.46-01923.46] 那注意下
[01923.46-01924.46] 它其实是什么许
[01924.46-01925.46] 是境卖许
[01928.46-01929.46] 说我是啥呀
[01929.46-01930.46] 什么动卖当中
[01930.46-01931.46] 进卖许
[01931.46-01932.46] 大注意下
[01932.46-01933.46] 动卖许
[01933.46-01934.46] 和境卖许
[01934.46-01935.46] 它是有区分的
[01939.46-01940.46] 动卖许
[01940.46-01941.86] 他是有區分的
[01941.86-01943.54] 但東麥協和境外協的區分
[01943.54-01945.22] 不看他留在哪個血管裡
[01945.22-01947.70] 而看他的氧氣含量的多少
[01947.70-01949.70] 如果氧氣含量多
[01952.10-01953.06] 簡單協
[01953.06-01954.70] 看他氧氣含量的多少
[01954.70-01956.98] 如果氧氣含量多的法
[01956.98-01958.54] 那就意味著他就是什麼血
[01958.54-01959.78] 他就是動麥協
[01959.78-01961.22] 他不管留在哪去管裡
[01961.22-01962.98] 他只要氧氣含量多的都麥協
[01962.98-01965.14] 而動麥協成什麼色 先紅色
[01965.14-01973.14] 而如果养弃含量少,那这时候他就被称着为叫做静卖血
[01976.14-01979.14] 静卖血称什么色呢,静卖血称按红色
[01983.14-01993.14] 静卖血称按红色,所以大家来看一下在这里,我们到达了这个情况的时候,就是到了废东卖这个时候,到达废东卖的时候,收拾这个时候才充满装车
[01993.14-01995.64] 但是这时候的血液当中养强量很少
[01995.64-01998.34] 但是养强量少它什么血是静卖血
[01998.34-02002.34] 欢迎话说呢就是飞动卖当中留的是静卖血
[02002.34-02004.14] 这是第一个点 大家要注意啊
[02004.14-02007.24] 那第二个呢就是我们适着这个思路来往下看
[02007.24-02009.54] 飞动卖留出来的血液
[02009.54-02011.64] 因为没有养弃 所以这时候静卖血
[02011.64-02014.54] 这些静卖血进入到飞模系绪乱往妆了车之后
[02014.54-02016.64] 是不是还有了充足的养血
[02016.64-02019.54] 还有了充足的养血 这些还有养弃的血液
[02019.54-02026.34] 而且它是很有氧气的血液
[02026.34-02029.10] 这还有一氧气的血液就进入到了什么当中
[02029.10-02030.26] 非静买当中
[02030.26-02032.26] 氧气还量高它是为什么血
[02032.26-02034.46] 它是约动卖血
[02034.46-02036.90] 所以这里面大住一下第二点
[02036.90-02038.62] 就是在这里面我们要知道
[02038.62-02042.06] 是非静买当中流着什么血
[02042.06-02044.66] 非静买当中流的是动卖血
[02044.66-02046.34] 所以再一次说明了
[02046.34-02050.16] 这个动卖雪和金卖雪不看它留在哪个血管里
[02050.16-02052.70] 只看它的养气很量明白了吧
[02052.70-02055.50] 所以在这里它如果给到一个判断体说
[02055.50-02057.82] 在动卖当中的雪就是动卖雪
[02057.82-02059.82] 在境卖当中的雪就是境卖雪
[02059.82-02060.82] 中说法对不对
[02060.82-02062.78] 这种说法是不对的
[02062.78-02067.50] 明白了因为区分动卖和境卖是看它的养气很量
[02067.50-02068.70] 是看它的养气很量
[02068.70-02071.94] 所以在这打把这个点补充在旁边就圈二
[02071.94-02073.14] 动卖雪和境卖雪
[02073.14-02074.58] 它的区分看养气很量
[02074.58-02076.54] 养气还量多就是动卖雪
[02076.54-02077.52] 所以是先红色
[02077.52-02078.70] 养气还量少
[02078.70-02080.18] 就是进卖雪是按红色
[02080.18-02081.14] 所以在这里面
[02081.14-02082.38] 我们要顺着点
[02082.38-02083.94] 刚才那个点不冲上
[02083.94-02085.34] 比如说在这里面
[02085.34-02086.30] 我们所说的
[02086.30-02087.78] 飞进卖当中
[02089.98-02091.14] 就是这个图
[02091.14-02092.74] 只是飞进卖中
[02093.70-02095.82] 流躺的是动卖雪
[02099.38-02100.98] 然后但是到了这
[02101.46-02103.02] 就是飞动卖动
[02103.02-02106.02] 这是性卖的进卖血
[02110.02-02112.02] 对动卖中是进卖血
[02112.02-02116.02] 所以在这里面这是我们所说的第二层考虑
[02116.02-02117.02] 这第二层考虑
[02117.02-02120.02] 大家注意一下这是我们所说的循环循环
[02120.02-02122.02] 所以大家先知道这个循环系统师
[02122.02-02124.02] 先去废里面装养器
[02124.02-02127.02] 然后装养器预租到全身装养器的过程是小循环
[02127.02-02130.02] 预租到全身的过程是大循环
[02130.02-02132.08] 而只是在这个循环的过程当中
[02132.08-02134.74] 我们不能单纯的根据它留在那个
[02134.74-02136.02] 续稿当中给它命名
[02136.02-02138.52] 而说要看在这个过程里面
[02138.52-02141.88] 我们所提到的它是否含养量充足
[02141.88-02143.62] 再去定义金败选合度面旬
[02143.62-02146.22] 好 这是我们所说的循环系统
[02146.22-02149.22] 我们就把整个人体它正常的一个运行
[02149.22-02152.22] 九大系统在这里给大家产出清楚了
[02152.22-02156.02] 我们所说这九大系统保证人身体的运行
[02156.02-02158.82] 我们刚才有说了人的周深的循环
[02158.82-02160.30] 他其实要依靠的是谁啊
[02160.30-02161.82] 依靠的是血液
[02161.82-02162.62] 所以我们来看一下
[02162.62-02164.26] 第二个问题就是血液
[02164.26-02166.26] 首先第一个就是人造血液
[02166.26-02167.98] 大家就在这里简单的知道
[02167.98-02170.10] 说人造血液是白色的就可以了
[02170.10-02172.14] 在这不需要过多掌握
[02172.14-02173.62] 第二个就是在血液当中
[02173.62-02174.94] 他有动卖血和静卖血
[02174.94-02175.82] 咱们刚刚讲完
[02175.82-02177.26] 对吧就是动卖血
[02177.26-02178.54] 含养量叫高
[02178.54-02179.54] 先红色
[02179.54-02181.22] 静卖血含养量叫低
[02181.22-02183.14] 而且二人花探多了
[02183.14-02185.34] 这说他就是静卖血
[02185.34-02186.62] 但是动卖血和静卖血
[02186.62-02188.58] 不看他流精在哪一个血瓦
[02188.58-02190.46] 然后就只看它的含有料
[02190.46-02191.86] 只刚才所提到点
[02191.86-02194.06] 咱们在前面做了一个全面总结
[02194.06-02194.54] 对吧
[02194.54-02195.94] 所以这个咱就不说了
[02195.94-02197.10] 这东西学界面学
[02197.10-02197.86] 那第二个呢
[02197.86-02199.34] 知道知道了
[02199.34-02200.90] 我们所说的这个续界
[02200.90-02202.10] 它的一个流经情况
[02202.10-02203.94] 我们再来看一下续界的功能
[02203.94-02205.42] 续界的功能有很多
[02205.42-02207.14] 这个里面简单了解一下就行了
[02207.14-02209.30] 目前我见过的学员会考慮了
[02209.30-02210.94] 在这个地方只考过一次
[02210.94-02212.94] 所以咱们来看一下续界的基本功能
[02212.94-02214.14] 所以续界的基本功能的
[02214.14-02217.02] 包括运输、允数、养妻、运输、允量、护家
[02217.02-02219.84] 第2个就是体验条件
[02219.84-02222.60] 这有时候我们所说的血当中
[02222.60-02224.80] 它会带一些我们所说中水分
[02224.80-02228.14] 这有时候体验条件或者是体温条件
[02228.14-02230.60] 这有时候你的血环坏
[02230.60-02232.34] 这有时候体温上升的就快
[02232.34-02233.84] 所以这是它的功能
[02233.84-02236.14] 简单了解这是它的具体的功能
[02236.14-02240.48] 重点是在于我们所说的血系包这一块
[02240.48-02242.10] 我们来看一下血系包
[02242.10-02245.02] 它其实就是血液的组成成分
[02245.02-02247.22] 宣租总场是由续细包组成的
[02247.22-02249.30] 而我们常见的续细包有三个
[02249.30-02251.50] 这个地方在考试的时候考什么呢
[02251.50-02252.94] 考察的是对应
[02252.94-02256.10] 就是每一个续细包还有什么样的功能
[02256.10-02257.50] 这个地方大家注意一下
[02257.50-02258.78] 那首先第一个就是
[02258.78-02260.14] 续红续包
[02260.14-02262.78] 续红续包那就是我们常说的续红蛋白了
[02262.78-02264.50] 那续红续包主要运出什么呢
[02264.50-02265.98] 红续包主要运说
[02265.98-02266.86] 养妻
[02266.86-02268.10] 那主要运说养妻
[02268.10-02269.78] 如果红续包渏少的话
[02269.78-02271.78] 那这时候很容易得平血
[02271.78-02272.70] 只是红续包
[02272.70-02273.38] 那第二个呢
[02273.38-02276.18] 就是我们所说的白系包 白系包应该都知道
[02276.18-02278.86] 白系包起到什么作用 杀军免疫的作用
[02278.86-02283.22] 所以白系包的作用主要在约免疫就是免疫
[02283.22-02286.50] 它其实是我们所说的免疫系同当中的一个非常照顾内容
[02286.50-02288.38] 它说白系包如果減少的话
[02288.38-02290.38] 那就因为人体免疫机能会
[02290.38-02291.62] 其所下降
[02291.62-02293.10] 人体免疫机能几书下降的话
[02293.10-02294.90] 这个人呢 它其实是没有办法
[02294.90-02299.06] 非常好的对抗拜计环境对它的一个干扰和清洗的
[02299.06-02300.82] 所以你看像我们所说的这种
[02300.82-02303.32] 有非常患有病痛的这些
[02303.32-02304.94] 比較可怜的这些人
[02304.94-02306.50] 他比如说患有白血病
[02306.50-02308.76] 对吧 或者是我们所说的有很多这种
[02308.76-02310.18] SIV的这种
[02310.18-02311.18] 寫代者
