[00000.00-00001.40] 大家好 我是杰瑞
[00001.40-00002.76] 咱們書接上回
[01211.72-01213.26] 或者是外部的客觀
[01213.26-01213.90] 刺激
[01213.90-01216.34] 或者是外部的客觀是我都行
[01217.10-01218.38] 他就相當原材料
[01218.38-01219.92] 原材料投入家工廠當中
[01219.92-01221.96] 一定是產出了一個產成品
[01221.96-01223.76] 我們把這個產成品就叫做
[01224.02-01224.78] 意識
[01225.04-01227.60] 所以在這裡面我們叫充分的理解
[01227.60-01228.88] 到底什麼是意識
[01229.14-01230.92] 而沒有說了意識他是
[01230.92-01231.94] 無形的
[01231.94-01235.98] 所以意识想要表达出来就要接触一定的方式和手段
[01235.98-01237.98] 因为形式方式不同
[01237.98-01242.02] 所以导致意识在形式上具有主观性因而意
[01242.02-01244.86] 但是意识的产生确实来自外部世界
[01244.86-01247.66] 所以在内容上它就有一定的课观性
[01247.66-01251.66] 所以我们经常说意识是主观和课观的孔依
[01251.66-01254.54] 那最后有点就是我们探讨了一个热点
[01254.54-01255.98] 就是人工智能的问题
[01255.98-01258.06] 人工智能我们在折裙上就知道
[01258.06-01259.86] 它不可能代替人类
[01259.86-01262.02] 不可能产生一生就可以了
[01262.02-01263.38] 这是我们所说的
[01263.38-01264.22] 一生
[01264.22-01266.42] 一生它本身不太好理解
[01266.42-01268.78] 但是一旦理解的就发现很有很简单
[01268.78-01272.34] 一生它本身不是一个独立的考察属性
[01272.34-01274.10] 特别强的一个独立的考点
[01274.10-01274.98] 但是
[01274.98-01276.14] 充分理解一生
[01276.14-01279.10] 变于我们后面去学习物质和一世的关系
[01279.10-01282.10] 所以它也算是一个成上起下的一个知识点了
[01282.10-01282.58] 好
[01282.58-01283.94] 这个就是我们所说的
[01283.94-01285.58] 一生的全部内容
